place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ1W49VQbf1IkR1clO8-C-YTM,Walmart Supercentre,,False,1283,"Name: Canadian Tire
link: https://www.google.com/maps/search/Canadian+Tire/@48.958367499999994,-57.92119609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 614 reviews

Name: Staples
link: https://www.google.com/maps/search/Staples/@48.9602921,-57.92180629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: Mark's
link: https://www.google.com/maps/search/Mark%27s/@48.959640099999994,-57.924198499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: Walmart Photo Centre
link: https://www.google.com/maps/search/Walmart+Photo+Centre/@48.9602215,-57.9234896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Walmart Wireless Corner Brook
link: https://www.google.com/maps/search/Walmart+Wireless+Corner+Brook/@48.960341199999995,-57.923543300000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.walmart.ca/en/stores-near-me/corner-brook-store-3185%3Futm_source%3Dlocal%26utm_medium%3Dlistings%26utm_campaign%3Dsc%26cmpid%3Dgmb,Walmart Supercentre (Ye Zhu ),https://www.google.com/maps/contrib/115348269243049492834,https://lh5.googleusercontent.com/p/AF1QipNiNWB0KFF-eXqpNok4f39L7XsvQhT_irtqAS65=w426-h240-k-no,Bai Huo Gong Si ,"Bai Huo Gong Si , Dian Qi Xing , Ying Er Yong Pin Dian , Fu Zhuang Dian , Dian Qi Ling Shou , Jia Dian , Za Huo Dian , Chao Ji Shi Chang , Wan Ju Dian , You Xi Guang Die Zhuan Men Dian ",3.9,07:00-22:00,"Xing Qi Yi , Xing Qi Er ",+1 709-634-2310,"Walmart Supercentre, 16 Murphy Square, Corner Brook, NL A2H 1R4Jia Na Da ","Jia Zi , Za Huo , Zi Zhu Jie Zhang , Xian Jin , Ting Che Chang , Nai , Nong Chan Pin ",https://www.google.com/maps/place/Walmart+Supercentre/data=!4m7!3m6!1s0x89d4df06553d6ed5:0x3361bee0f34ec9d5!8m2!3d48.9603412!4d-57.9235433!16s%2Fg%2F1hdzmclhx!19sChIJ1W49VQbf1IkR1clO8-C-YTM?authuser=0&hl=zh-TW&rclk=1
ChIJ43TLTH2ze0sRxwEDx_VTKVA,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,932,"Name: Pizza Delight
link: https://www.google.com/maps/search/Pizza+Delight/@48.95865,-57.924303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: Crown & Moose
link: https://www.google.com/maps/search/Crown+%26+Moose/@48.951735,-57.942908499999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 274 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@48.9509189,-57.941193399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Newfoundland Comfort Food
link: https://www.google.com/maps/search/Newfoundland+Comfort+Food/@48.9507304,-57.9542189?authuser=0&hl=zh-TW&entry=ttu
Reviews: 180 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@48.94297470000001,-57.948469300000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 171 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MTk1NTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/101485602448771746484,https://lh5.googleusercontent.com/p/AF1QipOSWCXN9PcM0Xq-W5SW2DFAJdmVZjyXTIubMq0z=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.8,24 Xiao Shi Ying Ye ,Open All Days,+1 709-634-4182,"McDonald's, 16 Confederation Dr, Corner Brook, NL A2H 7K5Jia Na Da ","De Lai Su , Ka Pei , Ju Wu Ba , Chuang , Zhi Fu , Guan Li , Wu Zhi , Xiao Hai ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x4b7bb37d4ccb74e3:0x502953f5c70301c7!8m2!3d48.9462914!4d-57.917668!16s%2Fg%2F1pv19zt_2!19sChIJ43TLTH2ze0sRxwEDx_VTKVA?authuser=0&hl=zh-TW&rclk=1
ChIJ-yZaCQ6ye0sRNCdD7bS5gGQ,Jungle Jim's Eatery,,False,716,"Name: Boston Pizza
link: https://www.google.com/maps/search/Boston+Pizza/@48.9485323,-57.9176182?authuser=0&hl=zh-TW&entry=ttu
Reviews: 607 reviews

Name: Wing'n It
link: https://www.google.com/maps/search/Wing%27n+It/@48.9427707,-57.948500499999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Best Coast Restaurant
link: https://www.google.com/maps/search/Best+Coast+Restaurant/@48.9517646,-57.9418001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: Jennifer's
link: https://www.google.com/maps/search/Jennifer%27s/@48.95142,-57.9547091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews",https://www.junglejims.ca/,Jungle Jim's Eatery (Ye Zhu ),https://www.google.com/maps/contrib/110486763893686350291,https://lh5.googleusercontent.com/p/AF1QipO2A3CsjPnDVrS7hvVLKoCP64_uYdE39MxDou9D=w408-h306-k-no,Jia Ting Can Ting ,"Jia Ting Can Ting , Can Ting ",4.3,07:00-23:00,Open All Days,+1 709-639-2222,"Jungle Jim's Eatery, 41 Maple Valley Rd, Corner Brook, NL A2H 6T2Jia Na Da ","Jia Ge , Can Yin , Zao Can , Niu Pai , Ba , nachos, Sheng Ri , Yu , Bang Wan ",https://www.google.com/maps/place/Jungle+Jim%27s+Eatery/data=!4m7!3m6!1s0x4b7bb20e095a26fb:0x6480b9b4ed432734!8m2!3d48.9438225!4d-57.9169903!16s%2Fg%2F1tfchb_4!19sChIJ-yZaCQ6ye0sRNCdD7bS5gGQ?authuser=0&hl=zh-TW&rclk=1
ChIJI91Q9Puxe0sR3WVvJx0nqR4,Dominion Murphy Square,,False,632,"Name: Colemans Food Centre
link: https://www.google.com/maps/search/Colemans+Food+Centre/@48.9505604,-57.956202999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: NLC Liquor Store
link: https://www.google.com/maps/search/NLC+Liquor+Store/@48.957690799999995,-57.9234514?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: M&M Food Market
link: https://www.google.com/maps/search/M%26M+Food+Market/@48.9586407,-57.92445550000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Bulk Barn
link: https://www.google.com/maps/search/Bulk+Barn/@48.9600772,-57.9213793?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: DRUGStore Pharmacy
link: https://www.google.com/maps/search/DRUGStore+Pharmacy/@48.957712,-57.923965?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://www.newfoundlandgrocerystores.ca/store-locator/details/0926%3Futm_source%3DG%26utm_medium%3DLPM%26utm_campaign%3DLoblaws,Dominion Murphy Square (Ye Zhu ),https://www.google.com/maps/contrib/117448550638558334017,https://lh5.googleusercontent.com/p/AF1QipMEtblXM7LGnsp2x9OhbyCwsxA6BfRPGgc078Pv=w408-h306-k-no,Za Huo Dian ,"Za Huo Dian , Mian Bao Xi Bing Dian , Shou Shi Dian , Shu Guo Dian , Yao Fang ",4.2,07:00-22:00,"Xing Qi Yi , Xing Qi Er ",+1 709-634-9450,"Dominion Murphy Square, 5 Murphy Square, Corner Brook, NL A2H 1R4Jia Na Da ","Jia Ge , Nong Chan Pin , Shou Yin , Xuan Ze , You Hui , Rou , Sheng Xian , Pin Zhi ",https://www.google.com/maps/place/Dominion+Murphy+Square/data=!4m7!3m6!1s0x4b7bb1fbf450dd23:0x1ea9271d276f65dd!8m2!3d48.958759!4d-57.9225699!16s%2Fg%2F1vzn54dp!19sChIJI91Q9Puxe0sR3WVvJx0nqR4?authuser=0&hl=zh-TW&rclk=1
ChIJ0_Z0kwGue0sR5ChcrbIFwj4,Colemans Gardens Market,,False,528,"Name: Sobeys Corner Brook
link: https://www.google.com/maps/search/Sobeys+Corner+Brook/@48.950787,-57.95115?authuser=0&hl=zh-TW&entry=ttu
Reviews: 282 reviews

Name: Humber Nurseries Ltd.
link: https://www.google.com/maps/search/Humber+Nurseries+Ltd./@48.945922100000004,-57.923398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: The Orchid
link: https://www.google.com/maps/search/The+Orchid/@48.952229,-57.94323490000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Corner Market
link: https://www.google.com/maps/search/Corner+Market/@48.943796999999996,-57.9559779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Lasting Impressions
link: https://www.google.com/maps/search/Lasting+Impressions/@48.9597468,-57.930397899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.colemans.ca/,Colemans Gardens Market (Ye Zhu ),https://www.google.com/maps/contrib/114273782542331333042,https://lh5.googleusercontent.com/p/AF1QipNHmrESBdCc0NX2OmsPl1_PO9O1f3zxl0pS2pva=w408-h306-k-no,Za Huo Dian ,Za Huo Dian ,4.5,08:00-22:00,Open All Days,+1 709-637-6767,"Colemans Gardens Market, 137 O'Connell Dr, Corner Brook, NL A2H 5M8Jia Na Da ","Nong Chan Pin , Jia Ge , Rou , Xuan Ze , Mian Bao Dian , Pin Zhi , Shou Si , Sheng Xian , Can , Fan Mai ",https://www.google.com/maps/place/Colemans+Gardens+Market/data=!4m7!3m6!1s0x4b7bae019374f6d3:0x3ec205b2ad5c28e4!8m2!3d48.9438889!4d-57.9466667!16s%2Fg%2F1tkb4q1m!19sChIJ0_Z0kwGue0sR5ChcrbIFwj4?authuser=0&hl=zh-TW&rclk=1
ChIJ8xN7EACue0sRfUaIdH3VAYo,A&W Canada,"Su Shi Dian ,Gong Ying Tong Ming De Mai Gen Sha Shi , Piao Fu Yin Pin , Han Bao , Ji Rou Yu Shu Tiao . ",False,508,"Name: Wing'n It
link: https://www.google.com/maps/search/Wing%27n+It/@48.9427707,-57.948500499999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Crown & Moose
link: https://www.google.com/maps/search/Crown+%26+Moose/@48.951735,-57.942908499999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 274 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@48.9509189,-57.941193399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Newfoundland Comfort Food
link: https://www.google.com/maps/search/Newfoundland+Comfort+Food/@48.9507304,-57.9542189?authuser=0&hl=zh-TW&entry=ttu
Reviews: 180 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@48.94297470000001,-57.948469300000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 171 reviews",https://web.aw.ca/,A&W Canada (Ye Zhu ),https://www.google.com/maps/contrib/108196170301116088523,https://lh5.googleusercontent.com/p/AF1QipMLlF4F3I7BetLWjXJ-trEcqQc872ioC-UG850N=w408-h306-k-no,Han Bao Can Ting ,"Han Bao Can Ting , Mei Shi Can Ting , Zao Can Can Ting , Ji Rou Can Ting , Kuai Can Dian ",4,07:00-23:00,Open All Days,+1 709-634-3053,"A&W Canada, 15 Union St, Corner Brook, NL A2H 6G7Jia Na Da ","Zao Can , Yang Cong Quan , Jia Ge , Su Shi Dian , You Hui Quan , De Lai Su , Qing Jie , Shou , Fa ",https://www.google.com/maps/place/A%26W+Canada/data=!4m7!3m6!1s0x4b7bae00107b13f3:0x8a01d57d7488467d!8m2!3d48.942979!4d-57.948505!16s%2Fg%2F1tg81174!19sChIJ8xN7EACue0sRfUaIdH3VAYo?authuser=0&hl=zh-TW&rclk=1
ChIJmWfAWRCye0sRu45eK_ljTCs,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,339,"Name: Pizza Delight
link: https://www.google.com/maps/search/Pizza+Delight/@48.95865,-57.924303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@48.9584465,-57.9249793?authuser=0&hl=zh-TW&entry=ttu
Reviews: 326 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@48.9509189,-57.941193399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Mary Brown's Chicken & Taters
link: https://www.google.com/maps/search/Mary+Brown%27s+Chicken+%26+Taters/@48.9585454,-57.924630099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 195 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@48.958624699999994,-57.924554?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html?y_source=1_MTQ1MTkyMTAtNzE1LWxvY2F0aW9uLndlYnNpdGU=,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/101388325237014719127,https://lh5.googleusercontent.com/p/AF1QipN-djWMRlXLQf-82OzfkXn6zG-C4aM0T0ObFZqx=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.9,08:00-21:00,Open All Days,+1 709-634-7377,"McDonald's, 16 Murphy Square, Corner Brook, NL A2H 1R4Jia Na Da ","Qing Jie , Jia Ge , Zhuo , Gan Mou , Ji Kuai ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x4b7bb21059c06799:0x2b4c63f92b5e8ebb!8m2!3d48.9597809!4d-57.9237077!16s%2Fg%2F1tj32qgs!19sChIJmWfAWRCye0sRu45eK_ljTCs?authuser=0&hl=zh-TW&rclk=1
ChIJM58WjwGue0sRMbYhtdebcEs,Tim Hortons,,False,326,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@48.9597809,-57.923707699999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 339 reviews

Name: Mary Brown's Chicken & Taters
link: https://www.google.com/maps/search/Mary+Brown%27s+Chicken+%26+Taters/@48.9585454,-57.924630099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 195 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@48.958624699999994,-57.924554?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews

Name: Marine Lounge Takeout
link: https://www.google.com/maps/search/Marine+Lounge+Takeout/@48.957994,-57.93978649999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",http://locations.timhortons.ca/nl/corner-brook/28-murphy-square,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/102401804989277579862,https://lh5.googleusercontent.com/p/AF1QipPL_Jxds1acRl1ErrN9OVGjYJoWDpWTQVIRRWSX=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.8,24 Xiao Shi Ying Ye ,Open All Days,+1 709-634-8115,"Tim Hortons, 28 Murphy Square, Corner Brook, NL A2H 1R4Jia Na Da ","De Lai Su , San Ming Zhi , Bei Guo , Tian Tian Quan , Jia Ge ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4b7bae018f169f33:0x4b709bd7b521b631!8m2!3d48.9584465!4d-57.9249793!16s%2Fg%2F11yk0p6j7!19sChIJM58WjwGue0sRMbYhtdebcEs?authuser=0&hl=zh-TW&rclk=1
ChIJoStvt-Sxe0sR_5f5w_StnRE,Tim Hortons,,False,322,"Name: KFC
link: https://www.google.com/maps/search/KFC/@48.9509189,-57.941193399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Aroma's Plus
link: https://www.google.com/maps/search/Aroma%27s+Plus/@48.95057920000001,-57.95086789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Brewed Awakening - Brewed on West
link: https://www.google.com/maps/search/Brewed+Awakening+-+Brewed+on+West/@48.952227099999995,-57.9429567?authuser=0&hl=zh-TW&entry=ttu
Reviews: 152 reviews

Name: Best Coast Restaurant
link: https://www.google.com/maps/search/Best+Coast+Restaurant/@48.9517646,-57.9418001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: Big Daves Diner
link: https://www.google.com/maps/search/Big+Daves+Diner/@48.951968699999995,-57.9549016?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews",http://locations.timhortons.ca/nl/corner-brook/105-west-st,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/103054182951909952045,https://lh5.googleusercontent.com/p/AF1QipOr1-7lVhoP935d0T-9qa3kLZdJwzrGUNoRwZPo=w533-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",4.1,06:00-23:00,Open All Days,+1 709-634-4946,"Tim Hortons, 105 West St, Corner Brook, NL A2H 2Y6Jia Na Da ","De Lai Su , Qing Jie , Xiang Cao , Nong Min , Gou Wu Zhong Xin , Tian Tian Quan , Gong Yuan ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4b7bb1e4b76f2ba1:0x119dadf4c3f997ff!8m2!3d48.9507676!4d-57.9392539!16s%2Fg%2F1tf9mvgh!19sChIJoStvt-Sxe0sR_5f5w_StnRE?authuser=0&hl=zh-TW&rclk=1
ChIJM58WjwGue0sRP6sgAUctG5g,Tim Hortons,,False,286,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@48.9462914,-57.917668?authuser=0&hl=zh-TW&entry=ttu
Reviews: 932 reviews

Name: Aroma's Plus
link: https://www.google.com/maps/search/Aroma%27s+Plus/@48.95057920000001,-57.95086789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Sugar & Dice
link: https://www.google.com/maps/search/Sugar+%26+Dice/@48.941982100000004,-57.96816489999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Tai An Restaurant
link: https://www.google.com/maps/search/Tai+An+Restaurant/@48.943105700000004,-57.948787499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews",http://locations.timhortons.ca/nl/corner-brook/183-oconnell-dr,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/114971932277141603596,https://lh5.googleusercontent.com/p/AF1QipM6IWWPzic8XAEaqWdDKmO9Bz592fuGr1msNGLy=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",4.1,06:00-23:00,Open All Days,+1 709-634-4157,"Tim Hortons, 183 O'Connell Dr, Corner Brook, NL A2H 5M9Jia Na Da ","De Lai Su , Tian Tian Quan , Juan Bing , Wu Can ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4b7bae018f169f33:0x981b2d470120ab3f!8m2!3d48.9441019!4d-57.9550535!16s%2Fg%2F1v_w1z4n!19sChIJM58WjwGue0sRP6sgAUctG5g?authuser=0&hl=zh-TW&rclk=1
