place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJf4uS9WqWW48RF6Zfn_6-gj8,RD's Diner,,False,97,"Name: Corozo Blue's
link: https://www.google.com/maps/search/Corozo+Blue%27s/@18.381524,-88.396576?authuser=0&hl=zh-TW&entry=ttu
Reviews: 521 reviews

Name: Al's Cafe
link: https://www.google.com/maps/search/Al%27s+Cafe/@18.3906746,-88.38787769999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: June's Kitchen
link: https://www.google.com/maps/search/June%27s+Kitchen/@18.3923852,-88.3905227?authuser=0&hl=zh-TW&entry=ttu
Reviews: 83 reviews

Name: Border Restaurant
link: https://www.google.com/maps/search/Border+Restaurant/@18.3914121,-88.38775?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: Holiday Restaurant
link: https://www.google.com/maps/search/Holiday+Restaurant/@18.395367999999998,-88.3822198?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews",https://rds-diner-restaurant.business.site/?utm_source=gmb&utm_medium=referral,RD's Diner (Ye Zhu ),https://www.google.com/maps/contrib/111508509387337934713,https://lh5.googleusercontent.com/p/AF1QipPBuc8KE184AV_pIiOoxQAjSHx-LuLtCVlTvovi=w426-h240-k-no,Can Ting ,Can Ting ,4.4,10:30-22:30,Open All Days,+501 615-2574,"RD's Diner, 7 4th Ave, Corozal, Bo Li Zi ","Zhu Chu , Pi Sa , Su Shi , Jia Ge , Nong Tang , Juan Bing , Jiang ",https://www.google.com/maps/place/RD%27s+Diner/data=!4m7!3m6!1s0x8f5b966af5928b7f:0x3f82befe9f5fa617!8m2!3d18.3942831!4d-88.3835399!16s%2Fg%2F1tl1phq5!19sChIJf4uS9WqWW48RF6Zfn_6-gj8?authuser=0&hl=zh-TW&rclk=1
ChIJ_9njcm2XW48RZlFXhDoj33g,Caramelo,,False,55,"Name: Le Deliclassy
link: https://www.google.com/maps/search/L%C3%A9+Deliclassy/@18.3953959,-88.3899241?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Gongora's Bakery & Pastry
link: https://www.google.com/maps/search/Gongora%27s+Bakery+%26+Pastry/@18.392337599999998,-88.38610949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews",http://facebook.com/caramelo.bz,Caramelo (Ye Zhu ),https://www.google.com/maps/contrib/106079510888612747253,https://lh5.googleusercontent.com/p/AF1QipOw6Kil2y1KVesr4PXCE3k9N4nr3NkEfJRkqj2O=w408-h408-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,13:00-19:00,Xing Qi Yi ,,"Caramelo, Altamira Road, Baymen Street, Corozal, Bo Li Zi ",Gao ,https://www.google.com/maps/place/Caramelo/data=!4m7!3m6!1s0x8f5b976d72e3d9ff:0x78df233a84575166!8m2!3d18.4019717!4d-88.3829297!16s%2Fg%2F11h5_v_gyk!19sChIJ_9njcm2XW48RZlFXhDoj33g?authuser=0&hl=zh-TW&rclk=1
ChIJm6dgtXGWW48RTVRa2_bzfzc,Circle K,,False,43,"Name: China Store
link: https://www.google.com/maps/search/China+Store/@18.3942494,-88.38891269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 89 reviews

Name: Season Supermarket
link: https://www.google.com/maps/search/Season+Supermarket/@18.3894686,-88.3893258?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Family Supermarket
link: https://www.google.com/maps/search/Family+Supermarket/@18.392062499999998,-88.3878125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: New World
link: https://www.google.com/maps/search/New+World/@18.3895786,-88.3911889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Rong's Supermarket
link: https://www.google.com/maps/search/Rong%27s+Supermarket/@18.3956314,-88.3821463?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",https://circle-k-grocery-store.business.site/,Circle K (Ye Zhu ),https://www.google.com/maps/contrib/106740976886406700165,https://lh5.googleusercontent.com/p/AF1QipMReqcDYVLo6HxlM3TRqMc0xgFE1DJ7m0cZGCh0=w408-h306-k-no,Za Huo Dian ,Za Huo Dian ,4.1,08:00-20:00,Open All Days,,"Circle K, 25 San Andres Road, Bo Li Zi ",,https://www.google.com/maps/place/Circle+K/data=!4m7!3m6!1s0x8f5b9671b560a79b:0x377ff3f6db5a544d!8m2!3d18.3883581!4d-88.3928946!16s%2Fg%2F11cspr7hjd!19sChIJm6dgtXGWW48RTVRa2_bzfzc?authuser=0&hl=zh-TW&rclk=1
ChIJhZ0mNGqWW48RGLDaPj_dHhc,Las Villitas del Mar & LVDM Coffee Stop,,False,37,"Name: Al's Cafe
link: https://www.google.com/maps/search/Al%27s+Cafe/@18.3906746,-88.38787769999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Caramelo
link: https://www.google.com/maps/search/Caramelo/@18.4019717,-88.38292969999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Le Deliclassy
link: https://www.google.com/maps/search/L%C3%A9+Deliclassy/@18.3953959,-88.3899241?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Mari's Deliciosas pupusas
link: https://www.google.com/maps/search/Mari%27s+Deliciosas+pupusas/@18.392412699999998,-88.3882489?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://rudyriveroll.wixsite.com/las-villitas-del-mar,Las Villitas del Mar & LVDM Coffee Stop (Ye Zhu ),https://www.google.com/maps/contrib/115046643197462012729,https://lh5.googleusercontent.com/p/AF1QipM7deP_aEaPan4elOqXs3jlhOb7NTAW90kHTtKq=w426-h240-k-no,Bin Guan ,"Bin Guan , Ka Pei Dian ",4.9,,Open All Days,+501 638-2163,"Las Villitas del Mar & LVDM Coffee Stop, 3 2nd St N, Corozal, Bo Li Zi ","Ka Pei Ting , Yong Chi ",https://www.google.com/maps/place/Las+Villitas+del+Mar+%26+LVDM+Coffee+Stop/data=!4m7!3m6!1s0x8f5b966a34269d85:0x171edd3f3edab018!8m2!3d18.3922407!4d-88.3844671!16s%2Fg%2F11g6py0ftc!19sChIJhZ0mNGqWW48RGLDaPj_dHhc?authuser=0&hl=zh-TW&rclk=1
ChIJa7jaM2qWW48RRRZ0O-KgWDY,Vamp's Ice Cream,,False,30,"Name: DELCAFE ICECREAM SPOT
link: https://www.google.com/maps/search/DELCAF%C3%89+ICECREAM+SPOT/@18.3955789,-88.40464449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Pepper's Snack Shop
link: https://www.google.com/maps/search/Pepper%27s+Snack+Shop/@18.394720799999998,-88.3851167?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Oopsie's. S&B
link: https://www.google.com/maps/search/Oopsie%27s.+S%26B/@18.3921047,-88.38605179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Here We Are
link: https://www.google.com/maps/search/Here+We+Are/@18.3889685,-88.38902340000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://facebook.com/vampsicecream,Vamp's Ice Cream (Ye Zhu ),https://www.google.com/maps/contrib/109029034753929640243,https://lh5.googleusercontent.com/p/AF1QipOyyRdiCM5CQ5sn9ODnIdRpiAlJD6hzxFn7bb20=w408-h408-k-no,Xue Gao Dian ,Xue Gao Dian ,4.6,13:00-20:00,Open All Days,+501 621-7889,"Vamp's Ice Cream, 1st Ave, Corozal, Bo Li Zi ",,https://www.google.com/maps/place/Vamp%27s+Ice+Cream/data=!4m7!3m6!1s0x8f5b966a33dab86b:0x3658a0e23b741645!8m2!3d18.3920701!4d-88.3841369!16s%2Fg%2F1hf4nwbqp!19sChIJa7jaM2qWW48RRRZ0O-KgWDY?authuser=0&hl=zh-TW&rclk=1
ChIJiZ_Qp26WW48RjhKthCdqZ0c,Odette's Home Center,,False,17,"Name: Courts
link: https://www.google.com/maps/search/Courts/@18.387061,-88.3911349?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: MVC Gongora Appliance Store
link: https://www.google.com/maps/search/MVC+Gongora+Appliance+Store/@18.4034904,-88.39188329999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: JMD STORE
link: https://www.google.com/maps/search/JMD+STORE/@18.390730599999998,-88.3866383?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Muebleria Dominguez
link: https://www.google.com/maps/search/Muebleria+Dominguez/@18.3942083,-88.38842220000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Multi-Electra Company Limited
link: https://www.google.com/maps/search/Multi-Electra+Company+Limited/@18.4008456,-88.391998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.shopodettes.com/,Odette's Home Center (Ye Zhu ),,,Jia Ju Yong Pin Dian ,Jia Ju Yong Pin Dian ,4.3,08:00-17:00,Xing Qi Ri ,+501 422-0118,"Odette's Home Center, Corner 5th Avenue &, 2nd St S, Corozal, Bo Li Zi ",,https://www.google.com/maps/place/Odette%27s+Home+Center/data=!4m7!3m6!1s0x8f5b966ea7d09f89:0x47676a2784ad128e!8m2!3d18.3908!4d-88.3876946!16s%2Fg%2F11f1226qmp!19sChIJiZ_Qp26WW48RjhKthCdqZ0c?authuser=0&hl=zh-TW&rclk=1
ChIJW67Su26WW48Rb1NC6kx2_II,Quality Poultry Products Corozal,,False,9,"Name: Caribbean Chicken
link: https://www.google.com/maps/search/Caribbean+Chicken/@18.3899865,-88.3906128?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Franks Meat Products
link: https://www.google.com/maps/search/Franks+Meat+Products/@18.394935099999998,-88.3825782?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Quality Poultry Park
link: https://www.google.com/maps/search/Quality+Poultry+Park/@18.3867095,-88.3916818?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Corozal Farmers Supply
link: https://www.google.com/maps/search/Corozal+Farmers+Supply/@18.3908169,-88.3879407?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Frutas y Verduras El Pollito
link: https://www.google.com/maps/search/Frutas+y+Verduras+El+Pollito/@18.3929044,-88.3874324?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.qualitypoultryproducts.com/,Quality Poultry Products Corozal (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNUOsu2mNRNd7-rVIBeEDaUl8XjhS3oVBStlBeU=w408-h272-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.9,08:00-17:00,Xing Qi Ri ,+501 422-2210,"9JR6+2VG Quality Poultry Products Corozal, 3rd St S, Corozal, Bo Li Zi ",,https://www.google.com/maps/place/Quality+Poultry+Products+Corozal/data=!4m7!3m6!1s0x8f5b966ebbd2ae5b:0x82fc764cea42536f!8m2!3d18.3900722!4d-88.3878107!16s%2Fg%2F11g8wj7xrs!19sChIJW67Su26WW48Rb1NC6kx2_II?authuser=0&hl=zh-TW&rclk=1
ChIJc2ES8GSXW48RtUpLNSl5ozg,Blues Bites,,False,2,,https://bitesbyblues.com/,Blues Bites (Ye Zhu ),https://www.google.com/maps/contrib/101601510778425604203,https://lh5.googleusercontent.com/p/AF1QipPwW4OcUUe2zJAHxFcX06EyrZ0eHei01j8viKIn=w408-h305-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,16:00-22:00,Xing Qi Er ,+501 666-2424,"9JQ6+RWG Blues Bites, Corozal, Bo Li Zi ",,https://www.google.com/maps/place/Blues+Bites/data=!4m7!3m6!1s0x8f5b9764f0126173:0x38a37929354b4ab5!8m2!3d18.3894577!4d-88.3877667!16s%2Fg%2F11l2vc19jg!19sChIJc2ES8GSXW48RtUpLNSl5ozg?authuser=0&hl=zh-TW&rclk=1
ChIJZYYwpG6WW48RfPqzxv-AS74,Al's Cafe,,False,118,"Name: Jo- Mel In
link: https://www.google.com/maps/search/Jo-+Mel+In/@18.3909807,-88.3875958?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: RD's Diner
link: https://www.google.com/maps/search/RD%27s+Diner/@18.3942831,-88.3835399?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Cielo Restaurant
link: https://www.google.com/maps/search/Cielo+Restaurant/@18.3809444,-88.39679810000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Perfect Restaurant
link: https://www.google.com/maps/search/Perfect+Restaurant/@18.391387899999998,-88.38739009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",,Al's Cafe (Ye Zhu ),https://www.google.com/maps/contrib/105545410405719212159,https://lh5.googleusercontent.com/p/AF1QipPVwdoForxsMW_cspw5_edwhKre1PKUsl58yBym=w408-h544-k-no,Ke Li Ao Er Can Ting ,Ke Li Ao Er Can Ting ,4.3,07:00-16:00,Xing Qi Ri ,+501 629-9884,"Al's Cafe, 5th Ave, Corozal, Bo Li Zi ","Zao Can , Jia Ge , Nong Tang ",https://www.google.com/maps/place/Al%27s+Cafe/data=!4m7!3m6!1s0x8f5b966ea4308665:0xbe4b80ffc6b3fa7c!8m2!3d18.3906746!4d-88.3878777!16s%2Fg%2F11c5wq4dgv!19sChIJZYYwpG6WW48RfPqzxv-AS74?authuser=0&hl=zh-TW&rclk=1
ChIJL8o-2oeXW48RR9KZXBPECCo,Jo- Mel In,,False,107,"Name: Wood House Restaurant and Bar
link: https://www.google.com/maps/search/Wood+House+Restaurant+and+Bar/@18.3867435,-88.3900671?authuser=0&hl=zh-TW&entry=ttu
Reviews: 151 reviews

Name: Al's Cafe
link: https://www.google.com/maps/search/Al%27s+Cafe/@18.3906746,-88.38787769999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: RD's Diner
link: https://www.google.com/maps/search/RD%27s+Diner/@18.3942831,-88.3835399?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: June's Kitchen
link: https://www.google.com/maps/search/June%27s+Kitchen/@18.3923852,-88.3905227?authuser=0&hl=zh-TW&entry=ttu
Reviews: 83 reviews

Name: Jai Ambe Restaurant
link: https://www.google.com/maps/search/Jai+Ambe+Restaurant/@18.389087699999997,-88.3899866?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",,Jo- Mel In (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNI_gLd_zOBmpb4JuTwRCzAwmsFgonYBKtzCyFr=w408-h306-k-no,Can Ting ,Can Ting ,4.5,06:00-16:00,Xing Qi Ri ,+501 402-2526,"9JR6+9XR Jo- Mel In, Corozal, Bo Li Zi ","Zao Can , Guo Zhi , Jia Ge , Juan Bing ",https://www.google.com/maps/place/Jo-+Mel+In/data=!4m7!3m6!1s0x8f5b9787da3eca2f:0x2a08c4135c99d247!8m2!3d18.3909807!4d-88.3875958!16s%2Fg%2F11g_v6p9x_!19sChIJL8o-2oeXW48RR9KZXBPECCo?authuser=0&hl=zh-TW&rclk=1
