place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJlZl5aXaTBUgRwnVMc_1ojaA,Super U et Drive,,False,1378,"Name: Super U et Drive
link: https://www.google.com/maps/search/Super+U+et+Drive/@47.1234168,-2.1193779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2606 reviews

Name: Carrefour Market Coueron
link: https://www.google.com/maps/search/Carrefour+Market+Coueron/@47.2139132,-1.724596?authuser=0&hl=zh-TW&entry=ttu
Reviews: 825 reviews

Name: Station U
link: https://www.google.com/maps/search/Station+U/@47.215098499999996,-1.6856394?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: U Location
link: https://www.google.com/maps/search/U+Location/@47.2153395,-1.6850996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: U Drive
link: https://www.google.com/maps/search/U+Drive/@47.176358,-1.6773871999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.coursesu.com/f-superu-lachabossiere-informations,Super U et Drive (Ye Zhu ),https://www.google.com/maps/contrib/113196810389861365812,https://lh5.googleusercontent.com/p/AF1QipOnRo5nftEx05vkirxNEhCtM2BxbQALvyY8DkyG=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Shu Dian , Qi Che Zu Ren Dai Li , Kuai Di Gong Si ",3.9,08:30-20:00,Xing Qi Yi ,+33 2 40 86 10 13,"Super U et Drive, La Chabossiere, 48 Bd de la Liberation, 44220 Coueron, Fa Guo ","Bian Li Chao Shang , Hai Chan Dian , Ri Qi , Ren , Zu , Che Liang ",https://www.google.com/maps/place/Super+U+et+Drive/data=!4m7!3m6!1s0x4805937669799995:0xa08d68fd734c75c2!8m2!3d47.2155482!4d-1.6848846!16s%2Fg%2F1tfmms9j!19sChIJlZl5aXaTBUgRwnVMc_1ojaA?authuser=0&hl=zh-TW&rclk=1
ChIJC01sTOKTBUgR3Bvgv0M6Wp8,Carrefour Market Coueron,,False,826,"Name: Super U et Drive
link: https://www.google.com/maps/search/Super+U+et+Drive/@47.2155482,-1.6848846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1378 reviews

Name: Le P'tit Poids
link: https://www.google.com/maps/search/Le+P%27tit+Poids/@47.2102388,-1.728218?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Station Service Carrefour - Coueron
link: https://www.google.com/maps/search/Station+Service+Carrefour+-+Cou%C3%ABron/@47.2135832,-1.7239023000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Photomaton
link: https://www.google.com/maps/search/Photomaton/@47.2140455,-1.7270839000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.carrefour.fr/magasin/market-coueron,Carrefour Market Coueron (Ye Zhu ),https://www.google.com/maps/contrib/107488962998127226986,https://lh5.googleusercontent.com/p/AF1QipNPMPEtOaNTrKt7JQ8vGdeMK-VfufD3ROMmgKXh=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Dian Qi Xing , Mian Bao Xi Bing Dian , Jia Gong Rou Pin Dian , Hua Zhuang Pin Dian , Luo Nong Qu , Yu Fan , Xian Shi Shi Chang , Shu Guo Dian , You Ji Shi Pin Dian ",3.6,08:45-19:30,Xing Qi Yi ,+33 2 40 86 12 69,"Carrefour Market Coueron, 98 Bd Paul Langevin, 44220 Coueron, Fa Guo ","Zhou Ri , Bian Li Chao Shang , Shou Yin , Ting Che Chang , Ke Ren , Zhu Yi , E , Xuan Ze , Xiao Rong ",https://www.google.com/maps/place/Carrefour+Market+Coueron/data=!4m7!3m6!1s0x480593e24c6c4d0b:0x9f5a3a43bfe01bdc!8m2!3d47.2139132!4d-1.724596!16s%2Fg%2F1thggdhm!19sChIJC01sTOKTBUgR3Bvgv0M6Wp8?authuser=0&hl=zh-TW&rclk=1
ChIJ72ZAh5XsBUgRuIjEf02bG6c,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,806,"Name: Cafe Charbon Atlantis
link: https://www.google.com/maps/search/Caf%C3%A9+Charbon+Atlantis/@47.2235494,-1.6248032?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1084 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@47.2243602,-1.6256285?authuser=0&hl=zh-TW&entry=ttu
Reviews: 636 reviews

Name: Haagen-Dazs
link: https://www.google.com/maps/search/H%C3%A4agen-Dazs/@47.223437,-1.631718?authuser=0&hl=zh-TW&entry=ttu
Reviews: 242 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@47.2163314,-1.5423559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews",https://www.starbucks.fr/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/103784302513266961803,https://lh5.googleusercontent.com/p/AF1QipMTJz_kEY1Cg7vubnBa5kOsqa07_WFqBTVxLm0C=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Mei Shi Can Ting , Zao Can Can Ting , Zheng Liu Ka Pei Ba , Wang Ka /Wang Lu Yong Pin Dian , Gao Bing Dian , Wu Jiu Jing Yin Liao Dian , Cha Yi Guan ",3.8,09:00-21:00,Xing Qi Ri ,+33 2 28 25 86 57,"Starbucks, Bd Salvador Allende, 44800 Saint-Herblain, Fa Guo ","Xiao Rong , Bing Kuai , Zhuo , Nai , Dian Yuan , Shui , Zhu Yi ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x4805ec95874066ef:0xa71b9b4d7fc488b8!8m2!3d47.2233271!4d-1.6317772!16s%2Fg%2F11ggk97hww!19sChIJ72ZAh5XsBUgRuIjEf02bG6c?authuser=0&hl=zh-TW&rclk=1
ChIJha9nlXaTBUgRBfI3rhOHvew,Boulangerie Carlier,,False,287,"Name: Au P'tit Petrin
link: https://www.google.com/maps/search/Au+P%27tit+P%C3%A9trin/@47.215557399999994,-1.6794797?authuser=0&hl=zh-TW&entry=ttu
Reviews: 188 reviews

Name: Boulangerie Banette Signes Jose
link: https://www.google.com/maps/search/Boulangerie+Banette+Signes+Jos%C3%A9/@47.210779599999995,-1.7273159999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews

Name: Boulangerie La croisee des saveurs
link: https://www.google.com/maps/search/Boulangerie+La+crois%C3%A9e+des+saveurs/@47.218640099999995,-1.7383697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 83 reviews

Name: Boulangerie Jamet
link: https://www.google.com/maps/search/Boulangerie+Jamet/@47.2105144,-1.7296288?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Olivier Sarl
link: https://www.google.com/maps/search/Olivier+Sarl/@47.215539,-1.6828452999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",https://boulangerie-carlier.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Boulangerie Carlier (Ye Zhu ),https://www.google.com/maps/contrib/114935254181845681702,https://lh5.googleusercontent.com/p/AF1QipNLoNmI8Tn9sqyNjswiet2X83PqoDt0AuRsc8s0=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.3,06:00-19:30,Xing Qi Ri ,+33 2 40 85 02 44,"Boulangerie Carlier, 16 Bd de la Liberation, 44220 Coueron, Fa Guo ","San Ming Zhi , Fa Guo Mian Bao , Ma Qia Long , Jia Ge , Dian Yuan , Xiao Rong , Qiao Ke Li ",https://www.google.com/maps/place/Boulangerie+Carlier/data=!4m7!3m6!1s0x480593769567af85:0xecbd8713ae37f205!8m2!3d47.2155156!4d-1.6818933!16s%2Fg%2F1tdc0049!19sChIJha9nlXaTBUgRBfI3rhOHvew?authuser=0&hl=zh-TW&rclk=1
ChIJK2Udp4CRBUgRmpe_pZOviXs,Gamm vert,,False,214,"Name: Truffaut
link: https://www.google.com/maps/search/Truffaut/@47.2482289,-1.6061033999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3507 reviews

Name: Jardiland
link: https://www.google.com/maps/search/Jardiland/@47.2528792,-1.620174?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1437 reviews

Name: Atlantic Vert
link: https://www.google.com/maps/search/Atlantic+Vert/@47.1526189,-1.5370264999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 317 reviews

Name: Jane Jardinerie
link: https://www.google.com/maps/search/Jane+Jardinerie/@47.217568299999996,-1.5603276?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: AU JARDIN PROVENCAL
link: https://www.google.com/maps/search/AU+JARDIN+PROVENCAL/@47.2099441,-1.7303670999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",https://www.gammvert.fr/magasins/magasin-de-coueron%3Futm_source%3DGMB%26utm_campaign%3DMultidiffusion%26utm_medium%3Dlocal%26utm_content%3D1025797,Gamm vert (Ye Zhu ),https://www.google.com/maps/contrib/105188446438293213989,https://lh5.googleusercontent.com/p/AF1QipPtvOVx-zqhXcrZMcKJiGI6E64c3wC_zt5iIYET=w598-h240-k-no,Yuan Yi Dian ,"Yuan Yi Dian , Jia Ting Zhuang Xiu  DIY Bai Huo Mai Chang , Jian Cao Ji Dian , Chong Wu Dian , Chong Wu Yong Pin Dian , Miao Pu ",3.8,"09:00-12:00, 14:00-18:30",Xing Qi Ri ,+33 2 40 86 02 92,"Gamm vert, LA GALONNIERE, 1 La Galonniere, 44220 Coueron, Fa Guo ","Jia Ge , Shou Yin , Xuan Ze ",https://www.google.com/maps/place/Gamm+vert/data=!4m7!3m6!1s0x48059180a71d652b:0x7b89af93a5bf979a!8m2!3d47.2455377!4d-1.7293817!16s%2Fg%2F1v7pxvsc!19sChIJK2Udp4CRBUgRmpe_pZOviXs?authuser=0&hl=zh-TW&rclk=1
ChIJbwGOS5uTBUgRwcCcYzfvZx0,Au P'tit Petrin,,False,188,"Name: Boulangerie Carlier
link: https://www.google.com/maps/search/Boulangerie+Carlier/@47.215515599999996,-1.6818932999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 287 reviews

Name: Boulangerie Patisserie Chez Juline
link: https://www.google.com/maps/search/Boulangerie+Patisserie+Chez+Juline/@47.2114149,-1.7264414?authuser=0&hl=zh-TW&entry=ttu
Reviews: 229 reviews

Name: Boulangerie La croisee des saveurs
link: https://www.google.com/maps/search/Boulangerie+La+crois%C3%A9e+des+saveurs/@47.218640099999995,-1.7383697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 83 reviews

Name: Boulangerie Jamet
link: https://www.google.com/maps/search/Boulangerie+Jamet/@47.2105144,-1.7296288?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Olivier Sarl
link: https://www.google.com/maps/search/Olivier+Sarl/@47.215539,-1.6828452999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",https://au-ptit-petrin.jimdosite.com/,Au P'tit Petrin (Ye Zhu ),https://www.google.com/maps/contrib/117315880062439619813,https://lh5.googleusercontent.com/p/AF1QipOwKVoSqnwQtjrTpcDHiMWw3VeIxFtj9ngx7uan=w408-h271-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Zhu Gu Li Dian , Gao Bing Dian ",4.4,06:30-19:00,Xing Qi Yi ,+33 2 40 86 09 03,"Au P'tit Petrin, 1 bis Bd de la Liberation, 44220 Coueron, Fa Guo ","Fa Guo Mian Bao , Xiao Rong , Jia Ge , Qiao Ke Li , San Ming Zhi , Ke Song , Leng Dong ",https://www.google.com/maps/place/Au+P%27tit+P%C3%A9trin/data=!4m7!3m6!1s0x4805939b4b8e016f:0x1d67ef37639cc0c1!8m2!3d47.2155574!4d-1.6794797!16s%2Fg%2F11hftc2qtl!19sChIJbwGOS5uTBUgRwcCcYzfvZx0?authuser=0&hl=zh-TW&rclk=1
ChIJZ4leH4OUBUgRY0nLqoYOT2E,Cafe du Port,,False,181,"Name: Le Relais du Bac
link: https://www.google.com/maps/search/Le+Relais+du+Bac/@47.198330299999995,-1.6733665?authuser=0&hl=zh-TW&entry=ttu
Reviews: 340 reviews

Name: Cafe du Marche
link: https://www.google.com/maps/search/Caf%C3%A9+du+March%C3%A9/@47.1981956,-1.6728508?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews

Name: Cafe De La Piscine
link: https://www.google.com/maps/search/Cafe+De+La+Piscine/@47.199869299999996,-1.6715145999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://www.facebook.com/pages/category/Restaurant/Caf%C3%A9-du-port-271870426357381/,Cafe du Port (Ye Zhu ),https://www.google.com/maps/contrib/111178447747393567658,https://lh5.googleusercontent.com/p/AF1QipMCWgyyesskN7w4aMwVqINiFOdDO6shzVgy1PZs=w408-h306-k-no,Fa Guo Can Ting ,"Fa Guo Can Ting , Jiu Ba , Ka Pei Dian , Cave a vins",4.7,"11:30-14:00, 18:00-19:00","Xing Qi Yi , Xing Qi Liu ",+33 9 54 38 21 70,"Cafe du Port, 27 Quai Besnard, 44610 Indre, Fa Guo ","Jia Ge , Yi Dao Cai , Hong Jiu , Qian Cai , Xiang Kuang ",https://www.google.com/maps/place/Caf%C3%A9+du+Port/data=!4m7!3m6!1s0x480594831f5e8967:0x614f0e86aacb4963!8m2!3d47.199387!4d-1.6756657!16s%2Fg%2F11ckr4z_87!19sChIJZ4leH4OUBUgRY0nLqoYOT2E?authuser=0&hl=zh-TW&rclk=1
ChIJLabsHzSRBUgRj9l6nQOnvN8,Bistrot le Paradis,,False,161,"Name: Osmoz
link: https://www.google.com/maps/search/Osmoz/@47.210738899999996,-1.7277665999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 335 reviews

Name: Le Francois 2
link: https://www.google.com/maps/search/Le+Fran%C3%A7ois+2/@47.2110092,-1.7277791?authuser=0&hl=zh-TW&entry=ttu
Reviews: 330 reviews

Name: Le Bruit qui court
link: https://www.google.com/maps/search/Le+Bruit+qui+court/@47.2456603,-1.7039271000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 253 reviews

Name: La Maison
link: https://www.google.com/maps/search/La+Maison/@47.215343,-1.6804773?authuser=0&hl=zh-TW&entry=ttu
Reviews: 217 reviews

Name: La Cuisine de l'Entrepot
link: https://www.google.com/maps/search/La+Cuisine+de+l%27Entrepot/@47.2381368,-1.6711156999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 151 reviews",http://bistrot-le-paradis.eatbu.com/,Bistrot le Paradis (Ye Zhu ),https://www.google.com/maps/contrib/112574879803953770836,https://lh5.googleusercontent.com/p/AF1QipP2gK1_H2SA48mMnZIu3TYFNZpAZJ2P5UiocS2d=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Ting ",4.1,,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Liu ",+33 2 40 43 28 81,"Bistrot le Paradis, 2 Le Paradis, 44220 Coueron, Fa Guo ","Xiang Kuang , Chu Fang , Shi Jue , Jia Ge ",https://www.google.com/maps/place/Bistrot+le+Paradis/data=!4m7!3m6!1s0x480591341feca62d:0xdfbca7039d7ad98f!8m2!3d47.2059302!4d-1.7520513!16s%2Fg%2F1wc47bmk!19sChIJLabsHzSRBUgRj9l6nQOnvN8?authuser=0&hl=zh-TW&rclk=1
ChIJTSfwbJKRBUgRgy8S9AreOV0,Boulangerie La croisee des saveurs,,False,84,"Name: Boulangerie Carlier
link: https://www.google.com/maps/search/Boulangerie+Carlier/@47.215515599999996,-1.6818932999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 287 reviews

Name: Boulangerie Patisserie Chez Juline
link: https://www.google.com/maps/search/Boulangerie+Patisserie+Chez+Juline/@47.2114149,-1.7264414?authuser=0&hl=zh-TW&entry=ttu
Reviews: 229 reviews

Name: Boulangerie Banette Signes Jose
link: https://www.google.com/maps/search/Boulangerie+Banette+Signes+Jos%C3%A9/@47.210779599999995,-1.7273159999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews

Name: Boulangerie Jamet
link: https://www.google.com/maps/search/Boulangerie+Jamet/@47.2105144,-1.7296288?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Olivier Sarl
link: https://www.google.com/maps/search/Olivier+Sarl/@47.215539,-1.6828452999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",http://www.lacroiseedessaveurs.com/,Boulangerie La croisee des saveurs (Ye Zhu ),https://www.google.com/maps/contrib/110837419329585703721,https://lh5.googleusercontent.com/p/AF1QipMmK9JbFK4-ePMdjXcTvuxdp6UKys2khoZKa4uR=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Fa Shi Gao Bing Dian ",4.8,"07:00-13:30, 15:00-19:30",Xing Qi Yi ,+33 2 40 94 45 09,"Boulangerie La croisee des saveurs, 25 quinter, Rue Jean-Claude Maisonneuve, 44220 Coueron, Fa Guo ","Zi , Qiao Ke Li Ke Song , Tian Dian , Tuan Dui ",https://www.google.com/maps/place/Boulangerie+La+crois%C3%A9e+des+saveurs/data=!4m7!3m6!1s0x480591926cf0274d:0x5d39de0af4122f83!8m2!3d47.2186401!4d-1.7383697!16s%2Fg%2F11smjr70pz!19sChIJTSfwbJKRBUgRgy8S9AreOV0?authuser=0&hl=zh-TW&rclk=1
ChIJ53X87leRBUgRc2wdaNvgY1Q,Le P'tit Poids,,False,70,"Name: Carrefour Market Coueron
link: https://www.google.com/maps/search/Carrefour+Market+Coueron/@47.2139132,-1.724596?authuser=0&hl=zh-TW&entry=ttu
Reviews: 825 reviews

Name: Pile Poids, L'epicerie Juste
link: https://www.google.com/maps/search/Pile+Poids%2C+L%27%C3%A9picerie+Juste/@47.2284897,-1.5414151999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Le P'tit Local
link: https://www.google.com/maps/search/Le+P%27tit+Local/@47.3802472,-2.1138196?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",http://epicerie-leptitpoids.fr/,Le P'tit Poids (Ye Zhu ),https://www.google.com/maps/contrib/101664232026680966958,https://lh5.googleusercontent.com/p/AF1QipNlcp01uTyIEvSEBVTi9LbBDwbc9YNRAeDGm6Fy=w408-h725-k-no,Za Huo Dian ,Za Huo Dian ,4.8,"09:30-13:00, 15:00-19:00","Xing Qi Ri , Xing Qi Yi ",+33 9 83 02 87 22,"Le P'tit Poids, 8 Rue Alcide Charles d'Orbigny, 44220 Coueron, Fa Guo ","Jing Pin Dian , Bao Zhuang , Huan Jing You Shan , Mao Yi ",https://www.google.com/maps/place/Le+P%27tit+Poids/data=!4m7!3m6!1s0x48059157eefc75e7:0x5463e0db681d6c73!8m2!3d47.2102388!4d-1.728218!16s%2Fg%2F1td3qw6q!19sChIJ53X87leRBUgRc2wdaNvgY1Q?authuser=0&hl=zh-TW&rclk=1
