place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJmwfIiKIQzpQRUipLCXcYpX4,Florida Cafe,,False,1354,"Name: Panificadora e Restaurante e Pizzaria Lisboa
link: https://www.google.com/maps/search/Panificadora+e+Restaurante+e+Pizzaria+Lisboa/@-23.8809987,-46.421286599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1658 reviews

Name: Casa de Ferragens Florida
link: https://www.google.com/maps/search/Casa+de+Ferragens+Fl%C3%B3rida/@-23.884288599999998,-46.4210186?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Forest Cafe
link: https://www.google.com/maps/search/Forest+Caf%C3%A9/@-23.891435299999998,-46.422036299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Vila Gastronomica
link: https://www.google.com/maps/search/Vila+Gastron%C3%B4mica/@-23.8840652,-46.421256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews",https://florida-cafe.goomer.app/,Florida Cafe (Ye Zhu ),https://www.google.com/maps/contrib/111892512408939824842,https://lh5.googleusercontent.com/p/AF1QipOzCXWCBe-TwQHbMGneQ16Y6kNZtaNyEbxAWHSW=w513-h240-k-no,Ba Xi Can Ting ,"Ba Xi Can Ting , Ka Pei Dian , Tian Pin Dian , Mei Shi Can Che Dian ",4.4,07:00-20:00,Xing Qi Yi ,+55 13 3361-2905,"Florida Cafe - Av. 9 de Abril, 2125 - CENTRO, Cubatao - SP, 11505-000Ba Xi ","Xiao Chi , Jia Ge , Huan Jing , Zao Can , Qia Bu Qi Nuo , Guo Jiang , Zu Zhi ",https://www.google.com/maps/place/Fl%C3%B3rida+Caf%C3%A9/data=!4m7!3m6!1s0x94ce10a288c8079b:0x7ea51877094b2a52!8m2!3d-23.8843117!4d-46.4206199!16s%2Fg%2F1thk9w16!19sChIJmwfIiKIQzpQRUipLCXcYpX4?authuser=0&hl=zh-TW&rclk=1
ChIJ3Tx736wbzpQRZlzCKmStc10,Panificadora Santo Antonio,,False,105,"Name: Panificadora Brasil
link: https://www.google.com/maps/search/Panificadora+Brasil/@-23.9289688,-46.4099128?authuser=0&hl=zh-TW&entry=ttu
Reviews: 953 reviews

Name: Panificadora Jardim Casqueiro
link: https://www.google.com/maps/search/Panificadora+Jardim+Casqueiro/@-23.9299514,-46.4055366?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: Panificadora Santo Antonio
link: https://www.google.com/maps/search/Panificadora+Santo+Ant%C3%B4nio/@-23.9506227,-46.3343403?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Padaria Santo Antonio
link: https://www.google.com/maps/search/Padaria+Santo+Antonio/@-23.9727316,-46.4113792?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Padaria Sao Luiz de Cubatao
link: https://www.google.com/maps/search/Padaria+S%C3%A3o+Luiz+de+Cubatao/@-23.926488499999998,-46.4114881?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://www.instagram.com/padaria.stoantonio/,Panificadora Santo Antonio (Ye Zhu ),https://www.google.com/maps/contrib/105699206762642355589,https://lh5.googleusercontent.com/p/AF1QipNCV7UWUi-4IjiynypDea_omzraGgqHsdr7YDW7=w408-h654-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting , Can Ting , San Wen Zhi Dian ",4.1,06:00-21:00,Open All Days,+55 13 3363-1999,"Panificadora Santo Antonio - Av. Brasil, 203 - Casqueiro, Cubatao - SP, 11153-300Ba Xi ","Chan Pin , Ka Pei ",https://www.google.com/maps/place/Panificadora+Santo+Antonio/data=!4m7!3m6!1s0x94ce1bacdf7b3cdd:0x5d73ad642ac25c66!8m2!3d-23.9269882!4d-46.4079087!16s%2Fg%2F11dxf00_sv!19sChIJ3Tx736wbzpQRZlzCKmStc10?authuser=0&hl=zh-TW&rclk=1
ChIJPevCkQ4RzpQRQVNpRvAnstI,Coffee House,,False,46,,https://instagram.com/coffeehouse_013%3Figshid%3DNTc4MTIwNjQ2YQ%3D%3D,Coffee House (Ye Zhu ),https://www.google.com/maps/contrib/108302074066634205740,https://lh5.googleusercontent.com/p/AF1QipOgfWRfztTvx3kkO8COnYGcMEdz_tHlOqfWH1o9=w408-h408-k-no,Ka Pei Dian ,Ka Pei Dian ,5,09:00-18:30,Xing Qi Ri ,+55 13 98209-3546,"Coffee House - Av. Martins Fontes, 141 - Vila Nova, Cubatao - SP, 11520-110Ba Xi ","Huan Jing , Tian Tian Quan , Jia Ting ",https://www.google.com/maps/place/Coffee+House/data=!4m7!3m6!1s0x94ce110e91c2eb3d:0xd2b227f046695341!8m2!3d-23.8914803!4d-46.4220179!16s%2Fg%2F11sv00mh8k!19sChIJPevCkQ4RzpQRQVNpRvAnstI?authuser=0&hl=zh-TW&rclk=1
ChIJrXbZg-gbzpQRCk6rn3qhxOI,Cacau Show,,False,43,"Name: Cacau Show
link: https://www.google.com/maps/search/Cacau+Show/@-23.8846702,-46.4214268?authuser=0&hl=zh-TW&entry=ttu
Reviews: 241 reviews

Name: CACAU SHOW
link: https://www.google.com/maps/search/CACAU+SHOW/@-23.9661787,-46.334559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 159 reviews

Name: Cacau Show Praca 1 de Maio
link: https://www.google.com/maps/search/Cacau+Show+Pra%C3%A7a+1+de+Maio/@-23.9604341,-46.3765606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Cacau Show
link: https://www.google.com/maps/search/Cacau+Show/@-23.9547362,-46.319974699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://www.cacaushow.com.br/,Cacau Show (Ye Zhu ),https://www.google.com/maps/contrib/104804748674799007062,https://lh5.googleusercontent.com/p/AF1QipPsd0_QMGETCIml10uANCaaj85FUfNIEu9utkl2=w426-h240-k-no,Qiao Ke Li Gong Chang ,"Qiao Ke Li Gong Chang , Tang Guo Dian , Qiao Ke Li Gong Jiang , Ka Pei Dian , Xue Gao Dian ",4.9,09:00-19:00,"Xing Qi Yi , Xing Qi Ri ",+55 13 3500-7985,"Cacau Show - Av. Nossa Sra. da Lapa, 562 - Vila Nova, Cubatao - SP, 11520-060Ba Xi ",Zu Zhi ,https://www.google.com/maps/place/Cacau+Show/data=!4m7!3m6!1s0x94ce1be883d976ad:0xe2c4a17a9fab4e0a!8m2!3d-23.8953321!4d-46.425804!16s%2Fg%2F11tjt65g7z!19sChIJrXbZg-gbzpQRCk6rn3qhxOI?authuser=0&hl=zh-TW&rclk=1
ChIJHQDetGQbzpQR3wsMVQ24EjY,Degusta Acai e Lanches,,False,39,"Name: R Doze Acai
link: https://www.google.com/maps/search/R+Doze+A%C3%A7a%C3%AD/@-23.8953576,-46.4306177?authuser=0&hl=zh-TW&entry=ttu
Reviews: 274 reviews

Name: Cantinho da Coxinha/Point Do Acai
link: https://www.google.com/maps/search/Cantinho+da+Coxinha%2FPoint+Do+A%C3%A7a%C3%AD/@-23.9234528,-46.4297871?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Siri Lanches
link: https://www.google.com/maps/search/Siri+Lanches/@-23.9256393,-46.4040935?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Esquina Do Acai
link: https://www.google.com/maps/search/Esquina+Do+A%C3%A7a%C3%AD/@-23.896065699999998,-46.4227284?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",https://degustaa.menudino.com/,Degusta Acai e Lanches (Ye Zhu ),https://www.google.com/maps/contrib/110963139982807642922,https://lh5.googleusercontent.com/p/AF1QipMvU5nZTTYM5KocZJ5EhG-TvHhyvaeU3Zxz4Qlc=w426-h240-k-no,Xiao Shi /Ling Shi Ba ,"Xiao Shi /Ling Shi Ba , Xue Gao Dian , Can Ting ",4.6,14:00-00:00,Open All Days,+55 13 98110-8493,"Degusta Acai e Lanches - R. Brasilio Martins Fontes - Jardim Nova Republica, Cubatao - SP, 11534-100Ba Xi ",,https://www.google.com/maps/place/Degusta+A%C3%A7ai+e+Lanches/data=!4m7!3m6!1s0x94ce1b64b4de001d:0x3612b80d550c0bdf!8m2!3d-23.9194243!4d-46.4282253!16s%2Fg%2F11flgc3btf!19sChIJHQDetGQbzpQR3wsMVQ24EjY?authuser=0&hl=zh-TW&rclk=1
ChIJsfOTfvsQzpQRxO9T4kS3OOk,Cafe da Loira,,False,32,"Name: Florida Cafe
link: https://www.google.com/maps/search/Fl%C3%B3rida+Caf%C3%A9/@-23.884311699999998,-46.4206199?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1353 reviews

Name: A Lanchonetinha Cafe
link: https://www.google.com/maps/search/A+Lanchonetinha+Caf%C3%A9/@-23.8913211,-46.421437999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Cafe Estrelas
link: https://www.google.com/maps/search/Cafe+Estrelas/@-23.8864435,-46.420535799999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://cafe-da-loira.negocio.site/,Cafe da Loira (Ye Zhu ),https://www.google.com/maps/contrib/105482796797337898796,https://lh5.googleusercontent.com/p/AF1QipNdRHkjHq21fL1P4o1LOFM00rULYhsZLd1QTssv=w408-h725-k-no,Zao Can Can Ting ,"Zao Can Can Ting , Ka Pei Ting ",4.6,06:15-11:00,Open All Days,+55 13 98143-5153,"Cafe da Loira - Rod. Conego Domenico Rangoni, 264 - Raiz da Serra, Cubatao - SP, 11573-000Ba Xi ",,https://www.google.com/maps/place/Caf%C3%A9+da+Loira/data=!4m7!3m6!1s0x94ce10fb7e93f3b1:0xe938b744e253efc4!8m2!3d-23.8478112!4d-46.3995723!16s%2Fg%2F11cntjf9yf!19sChIJsfOTfvsQzpQRxO9T4kS3OOk?authuser=0&hl=zh-TW&rclk=1
ChIJneYed7ARzpQR5sdtZnr_Yro,Noiz Cafe,,False,16,,http://www.noizcafe.com.br/,Noiz Cafe (Ye Zhu ),https://www.google.com/maps/contrib/117064909070966028393,https://lh5.googleusercontent.com/p/AF1QipNsa3MR7qVDpfxAmsfjuegNf9RddxHDwDPirA6D=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Zheng Liu Ka Pei Ba ",3.2,06:00-18:00,Xing Qi Ri ,+55 13 99640-5085,"Noiz Cafe - Av. 9 de Abril, 2081 - CENTRO, Cubatao - SP, 11510-000Ba Xi ",,https://www.google.com/maps/place/Noiz+Caf%C3%A9/data=!4m7!3m6!1s0x94ce11b0771ee69d:0xba62ff7a666dc7e6!8m2!3d-23.8838321!4d-46.4207001!16s%2Fg%2F11stb56pyr!19sChIJneYed7ARzpQR5sdtZnr_Yro?authuser=0&hl=zh-TW&rclk=1
ChIJk0JpIIUbzpQRFTMEfinWq4Q,Coffee Tattoo's,,False,,"Name: Martte Tattoo
link: https://www.google.com/maps/search/Martte+Tattoo/@-23.950055499999998,-46.3247353?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: PS C2 TATTOO
link: https://www.google.com/maps/search/PS+C2+TATTOO/@-23.890578899999998,-46.423345499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: tattoo 1995 studio
link: https://www.google.com/maps/search/tattoo+1995+studio/@-23.8905413,-46.423294399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Lokatattoo Tattoo E Barber Shop
link: https://www.google.com/maps/search/Lokatattoo+Tattoo+E+Barber+Shop/@-23.880816000000003,-46.4212322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.instagram.com/coffeetattoocs/,Coffee Tattoo's (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOckkr8aXP-MXJv071F1Ynj4I6w5_QVQbYaemDV=w408-h544-k-no,Wen Shen Dian ,Wen Shen Dian ,,24 Xiao Shi Ying Ye ,Open All Days,+55 13 98218-4126,"Coffee Tattoo's - Rua Josefa Araujo de Oliveira bloco 01 apto 24, Rua 8, ndeg 55 - Parque Sao Luis, Cubatao - SP, Ba Xi ",,https://www.google.com/maps/place/Coffee+Tattoo%27s/data=!4m7!3m6!1s0x94ce1b8520694293:0x84abd6297e043315!8m2!3d-23.9281085!4d-46.4137018!16s%2Fg%2F11t514w3yd!19sChIJk0JpIIUbzpQRFTMEfinWq4Q?authuser=0&hl=zh-TW&rclk=1
ChIJG5MSJ50RzpQRKOkvH4wQfr0,Emporio Cubatao,,False,180,"Name: Bakery Vila Paulista
link: https://www.google.com/maps/search/Bakery+Vila+Paulista/@-23.887655799999997,-46.425921599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1126 reviews

Name: Panificadora Nova Cubatao
link: https://www.google.com/maps/search/Panificadora+Nova+Cubat%C3%A3o/@-23.8895826,-46.425519?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Emporio Afonsinho
link: https://www.google.com/maps/search/Emp%C3%B3rio+Afonsinho/@-23.8869208,-46.4200009?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: RG paes
link: https://www.google.com/maps/search/RG+p%C3%A3es/@-23.8853214,-46.4248401?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews",,Emporio Cubatao (Ye Zhu ),https://www.google.com/maps/contrib/101340199583782727961,https://lh5.googleusercontent.com/p/AF1QipOoYALlE--4EAQl0N2UnpBffqYiJPGJO3U2oKMM=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.3,06:00-21:30,Open All Days,+55 13 3512-5000,"Emporio Cubatao - Rua Joao, Av. Joaquim Miguel Couto, 618 - Vila Paulista, Cubatao - SP, 11510-010Ba Xi ","Jia Ge , Wu Can , Ka Pei ",https://www.google.com/maps/place/Emp%C3%B3rio+Cubat%C3%A3o/data=!4m7!3m6!1s0x94ce119d2712931b:0xbd7e108c1f2fe928!8m2!3d-23.8845089!4d-46.4218152!16s%2Fg%2F11f89pl7kd!19sChIJG5MSJ50RzpQRKOkvH4wQfr0?authuser=0&hl=zh-TW&rclk=1
ChIJC-UOQc0bzpQRfmhTcEpsPRk,Panificadora Costa Sol,,False,118,"Name: Panificadora Nova Cubatao
link: https://www.google.com/maps/search/Panificadora+Nova+Cubat%C3%A3o/@-23.8895826,-46.425519?authuser=0&hl=zh-TW&entry=ttu
Reviews: 170 reviews

Name: Panificadora Jardim Sao Francisco
link: https://www.google.com/maps/search/Panificadora+Jardim+S%C3%A3o+Francisco/@-23.8836341,-46.4171425?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: Panificadora Jardim Costa Silva
link: https://www.google.com/maps/search/Panificadora+Jardim+Costa+Silva/@-23.8771952,-46.415464?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: NA HORA BOLOS
link: https://www.google.com/maps/search/NA+HORA+BOLOS/@-23.9340238,-46.428365199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Panificadora Paes E Cia
link: https://www.google.com/maps/search/Panificadora+P%C3%A3es+E+Cia/@-23.9346513,-46.4322984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",,Panificadora Costa Sol (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM6TGlQaqsjP5-nVcZE6U3yxdshnvXkodKm-Qkt=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,05:30-23:00,Open All Days,,"Panificadora Costa Sol - Av. Nadir Tereza Esteves, 179 - Jardim Caraguata, Cubatao - SP, 11535-380Ba Xi ",,https://www.google.com/maps/place/Panificadora+Costa+Sol/data=!4m7!3m6!1s0x94ce1bcd410ee50b:0x193d6c4a7053687e!8m2!3d-23.9343692!4d-46.4287865!16s%2Fg%2F11c0xw99xb!19sChIJC-UOQc0bzpQRfmhTcEpsPRk?authuser=0&hl=zh-TW&rclk=1
