place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJE8u8JnBnJA0RfX3lflTbs90,Minipreco,,False,715,"Name: Pingo Doce Custoias
link: https://www.google.com/maps/search/Pingo+Doce+Cust%C3%B3ias/@41.197711299999995,-8.6370193?authuser=0&hl=zh-TW&entry=ttu
Reviews: 714 reviews

Name: Minipreco Market - Silva Tapada
link: https://www.google.com/maps/search/Minipre%C3%A7o+Market+-+Silva+Tapada/@41.1670303,-8.593935499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 205 reviews

Name: Supermercado Minipreco Corujeira
link: https://www.google.com/maps/search/Supermercado+Minipre%C3%A7o+Corujeira/@41.158676400000004,-8.580078199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 195 reviews

Name: Supermercado Monopreco - Padrao da Legua
link: https://www.google.com/maps/search/Supermercado+Monopre%C3%A7o+-+Padr%C3%A3o+da+L%C3%A9gua/@41.1923783,-8.6348482?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Bom Preco
link: https://www.google.com/maps/search/Bom+Pre%C3%A7o/@41.2053209,-8.6421279?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",http://www.minipreco.pt/,Minipreco (Ye Zhu ),https://www.google.com/maps/contrib/114728219246467032827,https://lh5.googleusercontent.com/p/AF1QipMk1S8-4a0CY9QoHziSRukFuxV9hmY9WjjL36wT=w426-h240-k-no,Ping Jia Chao Ji Shi Chang ,Ping Jia Chao Ji Shi Chang ,4,09:00-21:00,Open All Days,+351 808 200 795,"Minipreco, R. Candido dos Reis s/n, 4460-706 Custoias, Pu Tao Ya ","Ting Che , Kao Ji , Ka Pei Ting , Mian Bao , Shou ",https://www.google.com/maps/place/Minipre%C3%A7o/data=!4m7!3m6!1s0xd24677026bccb13:0xddb3db547ee57d7d!8m2!3d41.2018038!4d-8.6457903!16s%2Fg%2F11p0pkw30t!19sChIJE8u8JnBnJA0RfX3lflTbs90?authuser=0&hl=zh-TW&rclk=1
ChIJSwjmdV1lJA0R5uoB4uFy5oA,SO Coffee Roasters,,False,501,"Name: Noshi Coffee
link: https://www.google.com/maps/search/Noshi+Coffee/@41.147068,-8.6168155?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1652 reviews

Name: FABRICA COFFEE ROASTERS - PORTO
link: https://www.google.com/maps/search/F%C3%81BRICA+COFFEE+ROASTERS+-+PORTO/@41.1489811,-8.6141743?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1014 reviews

Name: My Coffee Porto (Specialty Coffee Shop)
link: https://www.google.com/maps/search/My+Coffee+Porto+%28Specialty+Coffee+Shop%29/@41.1411563,-8.610052099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 882 reviews

Name: O Vicio do Cafe
link: https://www.google.com/maps/search/O+V%C3%ADcio+do+Caf%C3%A9/@41.1472276,-8.607410699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 581 reviews

Name: Sanzala Coffee Roasters
link: https://www.google.com/maps/search/Sanzala+Coffee+Roasters/@41.1490249,-8.609601999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews",http://www.soroasters.com/,SO Coffee Roasters (Ye Zhu ),https://www.google.com/maps/contrib/107568338126803269565,https://lh5.googleusercontent.com/p/AF1QipOH17zACJ5sHgg46BwyEwUIVCf3L1SkKUihvGE=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Zi Zhu Can Ting , Ka Pei Hong Bei Shang , Ka Pei Dian , Wai Dai Ka Pei Zhuan Mai Dian ",4.7,09:00-17:00,Open All Days,+351 22 316 0735,"SO Coffee Roasters, R. de Sa de Noronha 119, 4050-528 Porto, Pu Tao Ya ","flat white, Tu Si , Ke Song , Ka Pei Shi , Dou , Wan , Wen Qing , Qing Jiang , Zao Wu Can ",https://www.google.com/maps/place/SO+Coffee+Roasters/data=!4m7!3m6!1s0xd24655d75e6084b:0x80e672e1e201eae6!8m2!3d41.1484471!4d-8.6150923!16s%2Fg%2F11qpv1gxdk!19sChIJSwjmdV1lJA0R5uoB4uFy5oA?authuser=0&hl=zh-TW&rclk=1
ChIJ9Uwcr2ZpJA0RIVHJBRYwURk,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,212,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@41.209359,-8.687153?authuser=0&hl=zh-TW&entry=ttu
Reviews: 692 reviews

Name: Jeronymo
link: https://www.google.com/maps/search/Jeronymo/@41.209248099999996,-8.6882223?authuser=0&hl=zh-TW&entry=ttu
Reviews: 104 reviews

Name: Nespresso
link: https://www.google.com/maps/search/Nespresso/@41.2092909,-8.688243700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.starbucks.pt/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/107317315017738452635,https://lh5.googleusercontent.com/p/AF1QipM1wthVuGVxyDiJ8WciDUo0DkgzClCK_DsBNJQR=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Zi Zhu Can Ting ",4.3,10:00-23:00,Open All Days,,"Starbucks, Av. Dr. Oscar Lopes, LJ CC Mar Shopping Matosinhos, 4450-337 Leca da Palmeira, Pu Tao Ya ","Chan Pin , Jia Ge , Zhuo , Jiao Tang , Zhu Yi , Kong Jian , Na Tie ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0xd246966af1c4cf5:0x1951301605c95121!8m2!3d41.2085995!4d-8.6873703!16s%2Fg%2F11h2bc6vrh!19sChIJ9Uwcr2ZpJA0RIVHJBRYwURk?authuser=0&hl=zh-TW&rclk=1
ChIJiyPgpN5lJA0RBoO3k1VvVMM,Contrast Cafe,,False,165,"Name: Cafe D. Pedro
link: https://www.google.com/maps/search/Caf%C3%A9+D.+Pedro/@41.1915535,-8.6306368?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Cafetaria Tia Catia
link: https://www.google.com/maps/search/Cafetaria+Tia+C%C3%A1tia/@41.1928856,-8.632947999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Cafe Jovem
link: https://www.google.com/maps/search/Caf%C3%A9+Jovem/@41.2105197,-8.6368572?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Cafetaria Estrelinha
link: https://www.google.com/maps/search/Cafetaria+Estrelinha/@41.198636199999996,-8.701351899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://m.facebook.com/cafecontraste/%3Flocale2%3Dpt_PT,Contrast Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNKtWjufV1gNCiW_6xcBdKQ3VhDqtwmavosdUWy=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,05:00-21:00,Xing Qi Ri ,+351 22 953 0730,"Contrast Cafe, R. Monte da Mina 4140, 4465-693 Leca do Balio, Pu Tao Ya ","Qian Cai , Huo Tui ",https://www.google.com/maps/place/Contrast+Cafe/data=!4m7!3m6!1s0xd2465dea4e0238b:0xc3546f5593b78306!8m2!3d41.1930488!4d-8.6335291!16s%2Fg%2F1hc593k45!19sChIJiyPgpN5lJA0RBoO3k1VvVMM?authuser=0&hl=zh-TW&rclk=1
ChIJe3X_EQ1mJA0R5G0BWWDW8F8,Area Servico A4 Porto,,False,157,"Name: Gas station
link: https://www.google.com/maps/search/Gas+station/@41.2008006,-8.5678413?authuser=0&hl=zh-TW&entry=ttu
Reviews: 710 reviews

Name: Estacao de Servico Repsol
link: https://www.google.com/maps/search/Esta%C3%A7%C3%A3o+de+Servi%C3%A7o+Repsol/@41.2331278,-8.1792889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 419 reviews

Name: S4S S.A.
link: https://www.google.com/maps/search/S4S+S.A./@41.17674100000001,-8.585474999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: LOOKING4PARKING
link: https://www.google.com/maps/search/LOOKING4PARKING/@41.22262,-8.6540299?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: [P] 4,50eur/ dia EUROPARKING PORTO COBERTO
link: https://www.google.com/maps/search/%5BP%5D+4%2C50eur%2F+dia+EUROPARKING+PORTO+COBERTO/@41.225162399999995,-8.656931100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://galp.pt/,Area Servico A4 Porto (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPvhAPXMqYQ-tuX22EbAQa0vfZGGAvrZVxk-Zy_=w408-h306-k-no,Shang Dian ,Shang Dian ,4.1,24 Xiao Shi Ying Ye ,Open All Days,,"Area Servico A4 Porto, 4460-739 Custoias, Pu Tao Ya ",,https://www.google.com/maps/place/%C3%81rea+Servi%C3%A7o+A4+Porto/data=!4m7!3m6!1s0xd24660d11ff757b:0x5ff0d66059016de4!8m2!3d41.2053589!4d-8.6401111!16s%2Fg%2F11b7lb851v!19sChIJe3X_EQ1mJA0R5G0BWWDW8F8?authuser=0&hl=zh-TW&rclk=1
ChIJdUd67zdvJA0RDhwDKm9OZHE,Ruivos Caffe,,False,124,"Name: Cafe da Praca
link: https://www.google.com/maps/search/Caf%C3%A9+da+Pra%C3%A7a/@41.1839376,-8.6824889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1647 reviews

Name: Negra Cafe
link: https://www.google.com/maps/search/Negra+Caf%C3%A9/@41.1767543,-8.688647999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1029 reviews

Name: Cilas Cafe
link: https://www.google.com/maps/search/Cilas+Caf%C3%A9/@41.1741756,-8.687920799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Cafe snack-bar 4 estacoes
link: https://www.google.com/maps/search/Caf%C3%A9+snack-bar+4+esta%C3%A7%C3%B5es/@41.1767709,-8.688478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",https://ruivoscaffe.eatbu.com/,Ruivos Caffe (Ye Zhu ),https://www.google.com/maps/contrib/107174516993749679068,https://lh5.googleusercontent.com/p/AF1QipM5-THcPYo12P2XWk3c8G75NxbvNBFge21nZKrV=w408-h544-k-no,Mei Shi Can Che Dian ,"Mei Shi Can Che Dian , Mian Bao Xi Bing Dian , Pi Jiu Niang Zhi Chang , Ka Pei Ting , Xi Bing Dian , Ka Pei Dian , Han Bao Can Ting , Ye Zong Hui , Gao Bing Dian ",4.6,09:00-23:00,Xing Qi Ri ,+351 22 243 9280,"Ruivos Caffe, Rua de Alfredo Cunha 99, 4450-025 Matosinhos, Pu Tao Ya ","Huan Jing , Jia Ge ",https://www.google.com/maps/place/Ruivos+Caffe/data=!4m7!3m6!1s0xd246f37ef7a4775:0x71644e6f2a031c0e!8m2!3d41.184345!4d-8.682688!16s%2Fg%2F11c58kx79f!19sChIJdUd67zdvJA0RDhwDKm9OZHE?authuser=0&hl=zh-TW&rclk=1
ChIJu9GOl5JlJA0RLc17IPoEfcg,Colina do Pao,,False,106,"Name: Capricho Doce
link: https://www.google.com/maps/search/Capricho+Doce/@41.181294,-8.6836805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 577 reviews

Name: O Moinho
link: https://www.google.com/maps/search/O+Moinho/@41.18492880000001,-8.6954637?authuser=0&hl=zh-TW&entry=ttu
Reviews: 241 reviews

Name: O Nosso Pao
link: https://www.google.com/maps/search/O+Nosso+P%C3%A3o/@41.186296500000005,-8.655699499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 232 reviews",https://www.facebook.com/colinadopao/,Colina do Pao (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM-6C-VzHyi8NRRkSOD2m_DSNmPvTEVDnvdm0X7=w408-h725-k-no,Gao Bing Dian ,Gao Bing Dian ,4.1,07:00-19:30,Xing Qi Yi ,,"Colina do Pao, Av. Xanana Gusmao 290, 4460-805 Custoias, Pu Tao Ya ",,https://www.google.com/maps/place/Colina+do+P%C3%A3o/data=!4m7!3m6!1s0xd246592978ed1bb:0xc87d04fa207bcd2d!8m2!3d41.1897468!4d-8.6360387!16s%2Fg%2F11j1nmbgyd!19sChIJu9GOl5JlJA0RLc17IPoEfcg?authuser=0&hl=zh-TW&rclk=1
ChIJb19UjItvJA0RC50MvbzGERE,The Coffee,,False,87,,https://thecoffee.jp/,The Coffee (Ye Zhu ),https://www.google.com/maps/contrib/106783542744985918688,https://lh5.googleusercontent.com/p/AF1QipPtA72C4aNRSRebeKlIJ8mS0OcL3WMmvqHx95eK=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,08:30-19:00,Open All Days,+55 41 99279-7895,"The Coffee, R. Roberto Ivens 979, 4450-069 Matosinhos, Pu Tao Ya ","Ka Pei Shi , Dan Gao , Bu Lang Ni , Xiang Jiao , Song Bing , Xuan Ze , Ping Ban , Ji Jian , Mei Gan ",https://www.google.com/maps/place/The+Coffee/data=!4m7!3m6!1s0xd246f8b8c545f6f:0x1111c6bcbd0c9d0b!8m2!3d41.1788412!4d-8.6901251!16s%2Fg%2F11tghx65jg!19sChIJb19UjItvJA0RC50MvbzGERE?authuser=0&hl=zh-TW&rclk=1
ChIJU2X9wUlnJA0RJfcWZsDBzgg,Cafe Koln,,False,75,"Name: Moka Coffee Shop
link: https://www.google.com/maps/search/M%C3%B8ka+Coffee+Shop/@41.1826964,-8.6878165?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Bombom Cafe
link: https://www.google.com/maps/search/Bombom+Caf%C3%A9/@41.2129453,-8.6365229?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: cafe we read
link: https://www.google.com/maps/search/cafe+we+read/@41.18854470000001,-8.6509687?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Cafe Jovem
link: https://www.google.com/maps/search/Caf%C3%A9+Jovem/@41.2105197,-8.6368572?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: ALBUQUERQUE Cafe
link: https://www.google.com/maps/search/ALBUQUERQUE+Caf%C3%A9/@41.1475144,-8.6056212?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://cafe-koln.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Cafe Koln (Ye Zhu ),https://www.google.com/maps/contrib/104286113891163230485,https://lh5.googleusercontent.com/p/AF1QipMz546isJ4FINCNJgyHm5kRJIhGlkOr3TXeLLR9=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:00-23:00,Open All Days,+351 22 951 7168,"Cafe Koln, R. Monte do Vale 825, 4465-700 Porto, Pu Tao Ya ","Shu Shi ,Shi Wu ",https://www.google.com/maps/place/Caf%C3%A9+Koln/data=!4m7!3m6!1s0xd246749c1fd6553:0x8cec1c06616f725!8m2!3d41.2091055!4d-8.6365436!16s%2Fg%2F11h0vt53d5!19sChIJU2X9wUlnJA0RJfcWZsDBzgg?authuser=0&hl=zh-TW&rclk=1
ChIJRdG0GC5vJA0RKgazl01nrcU,Loja do Cafe Casa Angola,,False,50,"Name: Negra Cafe
link: https://www.google.com/maps/search/Negra+Caf%C3%A9/@41.1767543,-8.688647999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1029 reviews

Name: Booinga - Coffee Roasters
link: https://www.google.com/maps/search/Boo%C3%ADnga+-+Coffee+Roasters/@41.178053399999996,-8.6861158?authuser=0&hl=zh-TW&entry=ttu
Reviews: 174 reviews

Name: Armazem do Caffe
link: https://www.google.com/maps/search/Armaz%C3%A9m+do+Caff%C3%A8/@41.1819448,-8.688578999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Moka Coffee Shop
link: https://www.google.com/maps/search/M%C3%B8ka+Coffee+Shop/@41.1826964,-8.6878165?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Coffee bean
link: https://www.google.com/maps/search/Coffee+bean/@41.1805035,-8.6861604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews",https://www.casaangola.pt/,Loja do Cafe Casa Angola (Ye Zhu ),https://www.google.com/maps/contrib/116090969759686447867,https://lh5.googleusercontent.com/p/AF1QipPK-M5fjjzcrq2L_sx3iOYfwGjnOpVSjuOLv0fi=w408-h322-k-no,Ka Pei Dian ,"Ka Pei Dian , Gao Ji Shi Cai Dian ",4.6,09:00-18:00,"Xing Qi Yi , Xing Qi Ri ",+351 22 937 1833,"Loja do Cafe Casa Angola, R. Franca Junior 51, 4450-135 Matosinhos, Pu Tao Ya ",,https://www.google.com/maps/place/Loja+do+Caf%C3%A9+Casa+Angola/data=!4m7!3m6!1s0xd246f2e18b4d145:0xc5ad674d97b3062a!8m2!3d41.1867823!4d-8.6932456!16s%2Fg%2F119wnt5ps!19sChIJRdG0GC5vJA0RKgazl01nrcU?authuser=0&hl=zh-TW&rclk=1
