place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJGRHCpfGOQUcRLBtAYUfDli4,Desszert- Szalon,,False,204,"Name: Bor Cukraszda es Kavezo - Dabas
link: https://www.google.com/maps/search/Bor+Cukr%C3%A1szda+%C3%A9s+K%C3%A1v%C3%A9z%C3%B3+-+Dabas/@47.189522499999995,19.3253606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1078 reviews

Name: Autos Fagyizo
link: https://www.google.com/maps/search/Aut%C3%B3s+Fagyiz%C3%B3/@47.2195563,19.2696216?authuser=0&hl=zh-TW&entry=ttu
Reviews: 386 reviews

Name: Palermo Confectionery
link: https://www.google.com/maps/search/Palermo+Confectionery/@47.2113909,19.2800434?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews",https://www.facebook.com/dessertszalon/,Desszert- Szalon (Ye Zhu ),https://www.google.com/maps/contrib/107265295059555712456,https://lh5.googleusercontent.com/p/AF1QipMG7GUjsfLHmNhWzykPWtRT0i93VQJ4f184h0A6=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,07:15-19:00,Open All Days,+36 30 829 5909,"Dabas, Desszert- Szalon, Szent Istvan ut 60, 2370 Xiong Ya Li ",,https://www.google.com/maps/place/Desszert-+Szalon/data=!4m7!3m6!1s0x47418ef1a5c21119:0x2e96c34761401b2c!8m2!3d47.1815669!4d19.3138029!16s%2Fg%2F11g8cxv0dq!19sChIJGRHCpfGOQUcRLBtAYUfDli4?authuser=0&hl=zh-TW&rclk=1
ChIJ32d2J1eOQUcRbiZHSGrikIw,Laguna Cafe,,False,169,"Name: Bor Cukraszda es Kavezo - Dabas
link: https://www.google.com/maps/search/Bor+Cukr%C3%A1szda+%C3%A9s+K%C3%A1v%C3%A9z%C3%B3+-+Dabas/@47.189522499999995,19.3253606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1078 reviews

Name: Arany Korso Sorozo
link: https://www.google.com/maps/search/Arany+Kors%C3%B3+S%C3%B6r%C3%B6z%C5%91/@47.190585999999996,19.327281?authuser=0&hl=zh-TW&entry=ttu
Reviews: 152 reviews

Name: Vogtland Kavezo
link: https://www.google.com/maps/search/Vogtland+K%C3%A1v%C3%A9z%C3%B3/@47.1891398,19.3232757?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Laguna Gold Ekszerbolt
link: https://www.google.com/maps/search/Laguna+Gold+%C3%89kszerbolt/@47.1915121,19.328219999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Dabas, Laguna
link: https://www.google.com/maps/search/Dabas%2C+Laguna/@47.191629999999996,19.329376?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/lagunakavezodabas,Laguna Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNqqEkYtPSfri6uffbSjktMXqu-wcisbbAvLv2X=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.4,07:00-22:00,Open All Days,,"Dabas, Laguna Cafe, Bartok Bela ut 90, 2370 Xiong Ya Li ",,https://www.google.com/maps/place/Laguna+Caf%C3%A9/data=!4m7!3m6!1s0x47418e57277667df:0x8c90e26a4847266e!8m2!3d47.1916007!4d19.3281116!16s%2Fg%2F1tycvf3g!19sChIJ32d2J1eOQUcRbiZHSGrikIw?authuser=0&hl=zh-TW&rclk=1
ChIJo0lYHViOQUcR7cRZmjHReGs,Vogtland Kavezo,,False,36,"Name: Bor Cukraszda es Kavezo - Dabas
link: https://www.google.com/maps/search/Bor+Cukr%C3%A1szda+%C3%A9s+K%C3%A1v%C3%A9z%C3%B3+-+Dabas/@47.189522499999995,19.3253606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1078 reviews

Name: Laguna Cafe
link: https://www.google.com/maps/search/Laguna+Caf%C3%A9/@47.191600699999995,19.3281116?authuser=0&hl=zh-TW&entry=ttu
Reviews: 169 reviews

Name: Vogtland Pekseg
link: https://www.google.com/maps/search/Vogtland+P%C3%A9ks%C3%A9g/@47.181059499999996,19.313755?authuser=0&hl=zh-TW&entry=ttu
Reviews: 149 reviews

Name: Piknikseg
link: https://www.google.com/maps/search/Pikniks%C3%A9g/@47.1858873,19.3190539?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Vogtland Kft. Dabas Pekseg Mintabolt
link: https://www.google.com/maps/search/Vogtland+Kft.+Dabas+P%C3%A9ks%C3%A9g+Mintabolt/@47.294097099999995,19.225199399999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews",,Vogtland Kavezo (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOpQIQ-2lvxKXHRiLGuCKj0EFi8L058bJYcYvKB=w426-h240-k-no,Zheng Liu Ka Pei Ba ,Zheng Liu Ka Pei Ba ,4.6,05:30-17:00,Xing Qi Ri ,,"Dabas, Vogtland Kavezo, Bartok Bela ut 54, 2370 Xiong Ya Li ",,https://www.google.com/maps/place/Vogtland+K%C3%A1v%C3%A9z%C3%B3/data=!4m7!3m6!1s0x47418e581d5849a3:0x6b78d1319a59c4ed!8m2!3d47.1891398!4d19.3232757!16s%2Fg%2F11c20dd8w9!19sChIJo0lYHViOQUcR7cRZmjHReGs?authuser=0&hl=zh-TW&rclk=1
ChIJhS6oM64HDTkR1RmqBwlN68s,APNA CYBER WORLD,,False,22,"Name: AS Internet Planet
link: https://www.google.com/maps/search/AS+Internet+Planet/@28.7082407,77.0356877?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: INTERNET CAFE
link: https://www.google.com/maps/search/INTERNET+CAFE/@28.764547099999998,77.0429521?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,APNA CYBER WORLD (Ye Zhu ),https://www.google.com/maps/contrib/111968372635677831597,https://lh5.googleusercontent.com/p/AF1QipP-dBWByHg8KgcAooSoHRTLwjFXyqdthZE9LGQR=w408-h268-k-no,Yi Lang Ka Pei Ting ,Yi Lang Ka Pei Ting ,4.6,08:00-21:00,Open All Days,+91 82855 37845,"APNA CYBER WORLD, shukr, Shani Bazar Rd, Pervesh Nagar, Mubarakpur Dabas, Delhi, 110081Yin Du ",,https://www.google.com/maps/place/APNA+CYBER+WORLD/data=!4m7!3m6!1s0x390d07ae33a82e85:0xcbeb4d0907aa19d5!8m2!3d28.7082774!4d77.034815!16s%2Fg%2F11jw2vpvvc!19sChIJhS6oM64HDTkR1RmqBwlN68s?authuser=0&hl=zh-TW&rclk=1
ChIJodIuwXgPDTkR1lh2tMU-4co,Dabas Cyber Cafe,,False,13,"Name: SADDA ADDA CAFE
link: https://www.google.com/maps/search/SADDA+ADDA+CAFE/@28.686624699999996,76.9657076?authuser=0&hl=zh-TW&entry=ttu
Reviews: 215 reviews

Name: CSC CENTER CYBER CAFE
link: https://www.google.com/maps/search/CSC+CENTER+CYBER+CAFE/@28.680012200000004,76.9758487?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: DABAS CYBER CAFE
link: https://www.google.com/maps/search/DABAS+CYBER+CAFE/@28.765615399999998,77.0411228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Dagar Cyber Cafe
link: https://www.google.com/maps/search/Dagar+Cyber+Cafe/@28.6371333,76.96272139999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: KARAN CYBER CAFE & TELCOME
link: https://www.google.com/maps/search/KARAN+CYBER+CAFE+%26+TELCOME/@28.692230100000003,76.96574629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Dabas Cyber Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPvYjtj1seYxK4TrtG1P3mjCI98wwX7k8uerqUy=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,3.6,09:00-21:00,Open All Days,,"MXM8+X54 Dabas Cyber Cafe, Billu properties wali gali, Tikri Kalan, Delhi 110041Yin Du ",,https://www.google.com/maps/place/Dabas+Cyber+Cafe/data=!4m7!3m6!1s0x390d0f78c12ed2a1:0xcae13ec5b47658d6!8m2!3d28.6848764!4d76.9654556!16s%2Fg%2F11g0l42d2f!19sChIJodIuwXgPDTkR1lh2tMU-4co?authuser=0&hl=zh-TW&rclk=1
ChIJT2AEU_YHDTkRxaGb7VkUF2I,Shamsher cafe,,False,9,"Name: R R CAFE
link: https://www.google.com/maps/search/R+R+CAFE/@28.715285599999994,77.03110649999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",,Shamsher cafe (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EbGtu9ubQ02xPRqqkYDN5Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=355.86908&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,4.3,09:00-22:00,Open All Days,,"Shamsher cafe, C-50, Block A, Meer Vihar, Mubarakpur Dabas, Delhi, 110081Yin Du ",,https://www.google.com/maps/place/Shamsher+cafe/data=!4m7!3m6!1s0x390d07f65304604f:0x62171459ed9ba1c5!8m2!3d28.7143418!4d77.0322436!16s%2Fg%2F11fstwcknh!19sChIJT2AEU_YHDTkRxaGb7VkUF2I?authuser=0&hl=zh-TW&rclk=1
ChIJQ-GKnDMHDTkRdxVqdN6p-cE,R R CAFE,,False,8,"Name: Shamsher cafe
link: https://www.google.com/maps/search/Shamsher+cafe/@28.7143418,77.0322436?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Aadil Roll Corner
link: https://www.google.com/maps/search/Aadil+Roll+Corner/@28.712988599999996,77.0317756?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,R R CAFE (Ye Zhu ),https://www.google.com/maps/contrib/100582410566778232116,https://lh5.googleusercontent.com/p/AF1QipPmfqyMhXIm4BWl6J8udb08YUZwQTBNSOM45akW=w408-h884-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,,Open All Days,+91 72900 66663,"R R CAFE, Mangal Bazar Rd, Block E, Meer Vihar, Madanpur Dabas, New Delhi, Delhi, 110081Yin Du ",,https://www.google.com/maps/place/R+R+CAFE/data=!4m7!3m6!1s0x390d07339c8ae143:0xc1f9a9de746a1577!8m2!3d28.7152856!4d77.0311065!16s%2Fg%2F11t867g74w!19sChIJQ-GKnDMHDTkRdxVqdN6p-cE?authuser=0&hl=zh-TW&rclk=1
ChIJoaVsiKsHDTkRaX5vEJJXfjs,DABAS CYBER CAFE,,False,6,"Name: Dabas Cyber Cafe
link: https://www.google.com/maps/search/Dabas+Cyber+Cafe/@28.6848764,76.9654556?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Kashyap Cyber Cafe
link: https://www.google.com/maps/search/Kashyap+Cyber+Cafe/@28.7630759,77.04122919999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Ft Cyber Cafe
link: https://www.google.com/maps/search/Ft+Cyber+Cafe/@28.7650268,77.0488759?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,DABAS CYBER CAFE (Ye Zhu ),https://www.google.com/maps/contrib/116696513583052720991,https://lh5.googleusercontent.com/p/AF1QipNv5RHAWNJa1mcjVDy6dDE9-EHJbcHKzWrfbGPt=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,09:00-21:00,Open All Days,,"DABAS CYBER CAFE, Sultanpur Dabas, New Delhi, Delhi, 110039Yin Du ",,https://www.google.com/maps/place/DABAS+CYBER+CAFE/data=!4m7!3m6!1s0x390d07ab886ca5a1:0x3b7e5792106f7e69!8m2!3d28.7656154!4d77.0411228!16s%2Fg%2F11h1kd171g!19sChIJoaVsiKsHDTkRaX5vEJJXfjs?authuser=0&hl=zh-TW&rclk=1
ChIJR97sNAYHDTkR9MHO1b-LRfk,Ankit tea stal,,False,2,"Name: Asha Tea Stall
link: https://www.google.com/maps/search/Asha+Tea+Stall/@28.763843899999998,77.0554186?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Ankit tea stal (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP566lHEKlGRz-RSNFr_8Ez26WCQ2tWVAha7wp2=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,,"Q27X+RFR Ankit tea stal, Sultanpur Dabas, Delhi, 110039Yin Du ",,https://www.google.com/maps/place/Ankit+tea+stal/data=!4m7!3m6!1s0x390d070634ecde47:0xf9458bbfd5cec1f4!8m2!3d28.7646052!4d77.048649!16s%2Fg%2F11pyvq901r!19sChIJR97sNAYHDTkR9MHO1b-LRfk?authuser=0&hl=zh-TW&rclk=1
ChIJ64Mt8GwGDTkRS7GGiAhhpvc,KC Cafe,,False,1,"Name: Shamsher cafe
link: https://www.google.com/maps/search/Shamsher+cafe/@28.7143418,77.0322436?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: R R CAFE
link: https://www.google.com/maps/search/R+R+CAFE/@28.715285599999994,77.03110649999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",,KC Cafe (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Gxw0_BQ6T-MQDr9KoW-xBw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=83.09031&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"P27P+47J KC Cafe, Block G, Meer Vihar, Mubarakpur Dabas, Delhi, 110081Yin Du ",,https://www.google.com/maps/place/KC+Cafe/data=!4m7!3m6!1s0x390d066cf02d83eb:0xf7a661088886b14b!8m2!3d28.7128369!4d77.0356366!16s%2Fg%2F11ggyzw8hf!19sChIJ64Mt8GwGDTkRS7GGiAhhpvc?authuser=0&hl=zh-TW&rclk=1
