place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_bAR11AABDQRGxsNeGwaZYM,Shi Dai Guang Chang ,"Zhe Dong Duo Lou Ceng Gou Wu Zhong Xin She You Guo Ji Pin Pai Shang Dian , Zheng Shi Can Ting ,Yi Ji Yong You  5 Jian Ying Ting De Dian Ying Yuan . ",False,14900,"Name: Guo Ji Guang Chang 
link: https://www.google.com/maps/search/%E5%9C%8B%E9%9A%9B%E5%BB%A3%E5%A0%B4/@22.297024999999998,114.17189590000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10459 reviews

Name: Xi Shen Guang Chang 
link: https://www.google.com/maps/search/%E5%B8%8C%E6%85%8E%E5%BB%A3%E5%A0%B4/@22.2798226,114.1837972?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7449 reviews

Name: Zhi Di Guang Chang 
link: https://www.google.com/maps/search/%E7%BD%AE%E5%9C%B0%E5%BB%A3%E5%A0%B4/@22.2811864,114.1578201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3081 reviews

Name: Shi Dai Guang Chang 
link: https://www.google.com/maps/search/%E6%99%82%E4%BB%A3%E5%BB%A3%E5%A0%B4/@22.278707000000004,114.18328199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: GIVENCHY
link: https://www.google.com/maps/search/GIVENCHY/@22.278150999999998,114.1821136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.timessquare.com.hk/,Shi Dai Guang Chang  (Ye Zhu ),https://www.google.com/maps/contrib/101922511319853311749,https://lh5.googleusercontent.com/p/AF1QipPGm23BUaHZlcG2HL5ZHtP45IIjVCA7Fxw0rnaM=w408-h306-k-no,Gou Wu Zhong Xin ,Gou Wu Zhong Xin ,4.1,10:00-23:00,Open All Days,2118 8900,Tong Luo Wan Wu Di Chen Jie 1Hao Shi Dai Guang Chang ,"Ming Pai , Jing Pin , Zhan Lan , Lu You , Di Ku , Di Biao , Di Tie Zhan , Chu Kou , Le Gao ",https://www.google.com/maps/place/%E6%99%82%E4%BB%A3%E5%BB%A3%E5%A0%B4/data=!4m7!3m6!1s0x34040050d711b0fd:0x83651a6c780d1b1b!8m2!3d22.278151!4d114.1821136!16zL20vMDZuMTNf!19sChIJ_bAR11AABDQRGxsNeGwaZYM?authuser=0&hl=zh-TW&rclk=1
ChIJN5rXM3_5AzQRvwI877_AxGM,"Tasse Coffee Ka Pei Jiao Yu Zhong Xin  SCA Premier Training Campus (Q-Grader, SCA, City & Guilds, Latte Art, TQUK, IBM Ka Pei Ke Cheng , Shou Chong Ji La Hua Ban , Tuan Ti Ji NGOHuo Dong He Zuo )",,False,626,"Name: Barista HK@T2 Coffee Fantasy
link: https://www.google.com/maps/search/Barista+HK%40T2+Coffee+Fantasy/@22.3720359,114.1087267?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Takumi coffee roastery
link: https://www.google.com/maps/search/Takumi+coffee+roastery/@22.358557,114.1319982?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Coffee Base Ka Pei Ji Di 
link: https://www.google.com/maps/search/Coffee+Base+%E5%92%96%E5%95%A1%E5%9F%BA%E5%9C%B0/@22.3632843,114.13548180000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Author CoffeeZuo Zhe Ka Pei ~ I Turn Coffee Into Books
link: https://www.google.com/maps/search/Author+Coffee%E4%BD%9C%E8%80%85%E5%92%96%E5%95%A1%EF%BD%9E+I+Turn+Coffee+Into+Books/@22.370231,114.136782?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.tasse-coffee.com/,"Tasse Coffee Ka Pei Jiao Yu Zhong Xin  SCA Premier Training Campus (Q-Grader, SCA, City & Guilds, Latte Art, TQUK, IBM Ka Pei Ke Cheng , Shou Chong Ji La Hua Ban , Tuan Ti Ji NGOHuo Dong He Zuo ) (Ye Zhu )",https://www.google.com/maps/contrib/111636698971838781032,https://lh5.googleusercontent.com/p/AF1QipOmHtbsh43rN-BWVvbwTHXaOJPw0tzm1mf6LzSe=w426-h240-k-no,Jiao Yu Zhong Xin ,"Jiao Yu Zhong Xin , Ka Pei Ji Gong Ying Shang , Ka Pei Hong Bei Shang , Ka Pei Pi Fa Shang ",4.9,10:00-18:00,Open All Days,7073 3512,"Kui Yong Da Lian Pai Dao 6Lou EShi  TLP132, Tasse Coffee Ka Pei Jiao Yu Zhong Xin  SCA Premier Training Campus (Q-Grader, SCA, City & Guilds, Latte Art, TQUK, IBM Ka Pei Ke Cheng , Shou Chong Ji La Hua Ban , Tuan Ti Ji NGOHuo Dong He Zuo ) 6e","Ti Yan , Dao Shi , Zhuan Ye , Shang Ke , Zhu Jiao , Nai Xin , Bing Ren , Le Qu , Ka Pei Shi ","https://www.google.com/maps/place/Tasse+Coffee+%E5%92%96%E5%95%A1%E6%95%99%E8%82%B2%E4%B8%AD%E5%BF%83+SCA+Premier+Training+Campus+%28Q-Grader,+SCA,+City+%26+Guilds,+Latte+Art,+TQUK,+IBM+%E5%92%96%E5%95%A1%E8%AA%B2%E7%A8%8B%E3%80%81%E6%89%8B%E6%B2%96%E5%8F%8A%E6%8B%89%E8%8A%B1%E7%8F%AD%E3%80%81%E5%9C%98%E9%AB%94%E5%8F%8ANGO%E6%B4%BB%E5%8B%95%E5%90%88%E4%BD%9C%29/data=!4m7!3m6!1s0x3403f97f33d79a37:0x63c4c0bfef3c02bf!8m2!3d22.3597487!4d114.132184!16s%2Fg%2F11rgbxxf4_!19sChIJN5rXM3_5AzQRvwI877_AxGM?authuser=0&hl=zh-TW&rclk=1"
ChIJL4HriLkABDQR6KzcrPHk_uM,Craft Coffee Roaster (Tai Kok Tsui),,False,390,"Name: Craft Coffee Roaster (Wan Chai)
link: https://www.google.com/maps/search/Craft+Coffee+Roaster+%28Wan+Chai%29/@22.2777794,114.1796289?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Cold Brew Factory
link: https://www.google.com/maps/search/Cold+Brew+Factory/@22.3193928,114.16315329999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: ROASTWORK
link: https://www.google.com/maps/search/ROASTWORK/@22.323674399999998,114.16357590000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://craftcoffeeroaster.hk/,Craft Coffee Roaster (Tai Kok Tsui) (Ye Zhu ),https://www.google.com/maps/contrib/108605234401830451623,https://lh5.googleusercontent.com/p/AF1QipNZ6OD_snDHAP3XSCGflzw9phnbXvaTf25eOhoz=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,08:00-18:00,Open All Days,5109 6770,"Craft Coffee Roaster (Tai Kok Tsui), 29 Tai Kok Tsui Rd, Tai Kok Tsui","Dou , San Wen Zhi , flat white, scone, Wai Dai , Nai , Bei , Hei Qiao Ke Li , Zuo Wei ",https://www.google.com/maps/place/Craft+Coffee+Roaster+%28Tai+Kok+Tsui%29/data=!4m7!3m6!1s0x340400b988eb812f:0xe3fee4f1acdcace8!8m2!3d22.3192387!4d114.1618893!16s%2Fg%2F11b6bl8x64!19sChIJL4HriLkABDQR6KzcrPHk_uM?authuser=0&hl=zh-TW&rclk=1
ChIJV3hCtQkHBDQRyF0CKsDF2j8,Dear Coffee & Bakery,,False,280,"Name: E For Egg Cafe
link: https://www.google.com/maps/search/E+For+Egg+Cafe/@22.3764041,114.1792885?authuser=0&hl=zh-TW&entry=ttu
Reviews: 211 reviews

Name: Guo Zhi Dian 
link: https://www.google.com/maps/search/%E8%8F%93%E4%B9%8B%E5%BA%97/@22.3688508,114.177645?authuser=0&hl=zh-TW&entry=ttu
Reviews: 124 reviews

Name: HeyDay Cafe
link: https://www.google.com/maps/search/HeyDay+Cafe/@None,None?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: The Shack Cafe
link: https://www.google.com/maps/search/The+Shack+Cafe/@22.3692603,114.1783336?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Na.Bi Yun Die 
link: https://www.google.com/maps/search/Na.Bi+%E9%9B%B2%E8%9D%B6/@22.3685312,114.1775646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",https://www.instagram.com/dear.coffee.bakery/,Dear Coffee & Bakery (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPWyQsQjzWqyr8Sw9oyVc-acyFMcEgOFsroxxWV=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4,10:00-18:00,Open All Days,2682 0093,"Dear Coffee & Bakery, Yun Die Hua Yuan Shang Chang Di Xia 7Hao Pu , 20Hao  Tin Sam St, Tai Wai","Mian Bao , bagel, Ma , Mo Cha , Tian , flat white, Bei , scone, Cao Mei ",https://www.google.com/maps/place/Dear+Coffee+%26+Bakery/data=!4m7!3m6!1s0x34040709b5427857:0x3fdac5c02a025dc8!8m2!3d22.3685177!4d114.1775361!16s%2Fg%2F11cjht3vfc!19sChIJV3hCtQkHBDQRyF0CKsDF2j8?authuser=0&hl=zh-TW&rclk=1
ChIJnxK-21sBBDQRHGlD_t8j4XA,SO Coffee & Gin,,False,84,"Name: Cafe Sausalito
link: https://www.google.com/maps/search/Cafe+Sausalito/@22.3274466,114.16279349999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 589 reviews

Name: DOZY
link: https://www.google.com/maps/search/DOZY/@22.327826599999998,114.1630916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: Cofflow Shun Liu Jing Pin Ka Pei 
link: https://www.google.com/maps/search/Cofflow+%E9%A0%86%E6%B5%81%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1/@22.3268363,114.16393439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Wu Er San  NONE23
link: https://www.google.com/maps/search/%E7%84%A1%E4%BA%8C%E4%B8%89+NONE23/@22.3279759,114.1641592?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: So Good So Yummy
link: https://www.google.com/maps/search/So+Good+So+Yummy/@22.3201263,114.1631872?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://socoffeegin.com/,SO Coffee & Gin (Ye Zhu ),https://www.google.com/maps/contrib/116813758610002195746,https://lh5.googleusercontent.com/p/AF1QipPNrAD05FCesTYXQfRlx4lng4ua7pqXgikxYcmd=w408-h544-k-no,Can Ting ,"Can Ting , Xi Bing Dian , Ka Pei Dian ",4.3,11:00-20:00,Open All Days,5595 5756,Shen Shui Bu Li Zhi Jiao Dao 221Hao SO Coffee & Gin,"cafe, Sheng Tong , Hei Mao Zhu , Cha Shao , Dan , San Wen Zhi , espresso, Mian , Tian Pin ",https://www.google.com/maps/place/SO+Coffee+%26+Gin/data=!4m7!3m6!1s0x3404015bdbbe129f:0x70e123dffe43691c!8m2!3d22.3269006!4d114.1623579!16s%2Fg%2F11qz3l727f!19sChIJnxK-21sBBDQRHGlD_t8j4XA?authuser=0&hl=zh-TW&rclk=1
ChIJq8f06zH_AzQR-_rXHDoQ3Eg,G'Day Cafe and Restaurant,,False,43,"Name: Da Ao Bing Shi Xiao Chu 
link: https://www.google.com/maps/search/%E5%A4%A7%E6%BE%B3%E5%86%B0%E5%AE%A4%E5%B0%8F%E5%BB%9A/@22.2855722,114.1349868?authuser=0&hl=zh-TW&entry=ttu
Reviews: 508 reviews

Name: ethos
link: https://www.google.com/maps/search/ethos/@22.2844177,114.1366553?authuser=0&hl=zh-TW&entry=ttu
Reviews: 228 reviews

Name: Cafe ToGather by LOG-ON
link: https://www.google.com/maps/search/Cafe+ToGather+by+LOG-ON/@22.286417999999998,114.21732?authuser=0&hl=zh-TW&entry=ttu
Reviews: 178 reviews

Name: Home A Day
link: https://www.google.com/maps/search/Home+A+Day/@22.285964,114.15339290000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews",https://instagram.com/gdaycafeandrestaurant%3Figshid%3DOGQ5ZDc2ODk2ZA%3D%3D,G'Day Cafe and Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/107111063602729869182,https://lh5.googleusercontent.com/p/AF1QipOO_QafCot5HtU0w2gJgdHm_0Wqjc1M1sDUIkTA=w408-h544-k-no,Can Ting ,"Can Ting , Jiu Ba , Ka Pei Ting ",3.9,11:00-22:00,Open All Days,5436 5358,"Shop A, G/F, G'Day Cafe and Restaurant, MTR B2 Exit behind the park, Nan Chang Da Sha 48-52 Hill Rd, Shek Tong Tsui","Ka Pei , Jia Qian , You , Ba , Zhi Shi ",https://www.google.com/maps/place/G%27Day+Cafe+and+Restaurant/data=!4m7!3m6!1s0x3403ff31ebf4c7ab:0x48dc103a1cd7fafb!8m2!3d22.2852094!4d114.1353401!16s%2Fg%2F11pytsnmdt!19sChIJq8f06zH_AzQR-_rXHDoQ3Eg?authuser=0&hl=zh-TW&rclk=1
ChIJ9a5LJ8cBBDQR3T8hgcJjnLM,SonneCAD,,False,32,"Name: FINEPRINT
link: https://www.google.com/maps/search/FINEPRINT/@22.279382899999998,114.1923995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: OMA Specialty Coffee
link: https://www.google.com/maps/search/OMA+Specialty+Coffee/@22.2789431,114.1927089?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: UNAR Coffee Company
link: https://www.google.com/maps/search/UNAR+Coffee+Company/@22.2780938,114.19196679999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews",https://sonnecad.com/,SonneCAD (Ye Zhu ),https://www.google.com/maps/contrib/114141447915166714488,https://lh5.googleusercontent.com/p/AF1QipMS5KicvXa9_zNDjGy1dySRZbGZ69jB4UdpU-Fv=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,11:00-18:00,Open All Days,6922 5398,Da Keng Xin Cun Jie 16Hao SonneCAD,"Dou Zi , Xuan Ze ",https://www.google.com/maps/place/SonneCAD/data=!4m7!3m6!1s0x340401c7274baef5:0xb39c63c281213fdd!8m2!3d22.2780453!4d114.1921419!16s%2Fg%2F11rrvstmc7!19sChIJ9a5LJ8cBBDQR3T8hgcJjnLM?authuser=0&hl=zh-TW&rclk=1
ChIJnV_21OP_AzQR2hclHK9n4wc,Ka Pei Ya Wu Gai  Ah Jeng's Coffee Club,,False,20,,https://www.google.com/url?sa=t&source=web&rct=j,Ka Pei Ya Wu Gai  Ah Jeng's Coffee Club (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMeJxkE9PZI9tKkhuNhGK0LQT2dsdc4rlL_rnLc=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,08:00-18:00,Open All Days,,"1APu Di Xia , Ka Pei Ya Wu Gai  Ah Jeng's Coffee Club, Dong Xiang Da Sha  Second St, Sai Ying Pun",,https://www.google.com/maps/place/%E5%92%96%E5%95%A1%E5%91%80%E5%94%94%E8%A9%B2+Ah+Jeng%27s+Coffee+Club/data=!4m7!3m6!1s0x3403ffe3d4f65f9d:0x7e367af1c2517da!8m2!3d22.2862192!4d114.143529!16s%2Fg%2F11v60pt8_5!19sChIJnV_21OP_AzQR2hclHK9n4wc?authuser=0&hl=zh-TW&rclk=1
ChIJxeSd3vMBBDQRBLnq8UuXiA8,Fragile Coffeehouse,,False,19,"Name: Ban Lu Ka Pei 
link: https://www.google.com/maps/search/%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1/@22.284756299999998,114.14971609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 680 reviews

Name: Friday Cafe & Wine Bar
link: https://www.google.com/maps/search/Friday+Cafe+%26+Wine+Bar/@22.2854839,114.1520444?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Hidden Figures
link: https://www.google.com/maps/search/Hidden+Figures/@22.288043599999998,114.1481523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Sense Coffee
link: https://www.google.com/maps/search/Sense+Coffee/@22.2858795,114.151994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",http://fragile.coffee/,Fragile Coffeehouse (Ye Zhu ),https://www.google.com/maps/contrib/111502406717318395272,https://lh5.googleusercontent.com/p/AF1QipMajY2rJdKhPxdfwEBvB1keBdmYBF7jVahP90iZ=w408-h507-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.7,11:00-20:00,Xing Qi San ,,"Sheung Wan, Lok Ku Rd, 68Hao Fragile Coffeehouse Shop 7A",Dou ,https://www.google.com/maps/place/Fragile+Coffeehouse/data=!4m7!3m6!1s0x340401f3de9de4c5:0xf88974bf1eab904!8m2!3d22.2847312!4d114.1501466!16s%2Fg%2F11pf778n8b!19sChIJxeSd3vMBBDQRBLnq8UuXiA8?authuser=0&hl=zh-TW&rclk=1
ChIJKx-HWMABBDQRTh1N5NW4g50,Dusting Coffee,,False,17,,https://www.instagram.com/dusting_coffee_roastery/,Dusting Coffee (Ye Zhu ),https://www.google.com/maps/contrib/101915439443798572416,https://lh5.googleusercontent.com/p/AF1QipOnd2E6wofZ9ZqVbOVlRTt8Uaj_Ulzj69-xE3x8=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting , Ka Pei Hong Bei Shang ",4.2,12:00-19:30,Open All Days,5416 0026,Shen Shui Bu Ji Long Jie Chang Sha Wan Dao 145Hao Dusting Coffee,"Ti La Mi Su , Shu Fu , Bing ",https://www.google.com/maps/place/Dusting+Coffee/data=!4m7!3m6!1s0x340401c058871f2b:0x9d83b8d5e44d1d4e!8m2!3d22.3268947!4d114.164356!16s%2Fg%2F11kj_5l85s!19sChIJKx-HWMABBDQRTh1N5NW4g50?authuser=0&hl=zh-TW&rclk=1
