place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJQdqgMDktAjQRoIC3FfYqx0A,Starbucks Coffee,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,4,"Name: Halo Cafe
link: https://www.google.com/maps/search/Halo+Cafe/@22.52528,113.32809999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Halo Cafe (Xinyue Daeshin Branch)
link: https://www.google.com/maps/search/Halo+Cafe+%28Xinyue+Daeshin+Branch%29/@22.5096214,113.3658026?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei (Min Zhong Fu Wu Qu )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%EF%BC%88%E6%B0%91%E7%9C%BE%E6%9C%8D%E5%8B%99%E5%8D%80%EF%BC%89/@22.6383102,113.44809989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Ka Pei He Fang 
link: https://www.google.com/maps/search/%E5%92%96%E5%95%A1%E8%8D%B7%E5%9D%8A/@22.5209356,113.3904274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Halo Cafe
link: https://www.google.com/maps/search/Halo+Cafe/@22.58147,113.39281?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/,Starbucks Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM2oJBS2qUknQrYeEi66ZX5TWniW1YbM19cWh_i=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,,Open All Days,+86 760 8826 2708,Zhong Guo Yan Dong Sheng Zhong Shan Shi Xi Di Lu 28Hao Zhong Shan Xi Lai Deng Jiu Dian 1Ceng 01Dan Yuan  Starbucks Coffee You Zheng Bian Ma : 528403,,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x34022d3930a0da41:0x40c72af615b780a0!8m2!3d22.519503!4d113.365205!16s%2Fg%2F12vt0r6gr!19sChIJQdqgMDktAjQRoIC3FfYqx0A?authuser=0&hl=zh-TW&rclk=1
ChIJFw_zkTgtAjQRiboE-q-z9k0,Starbucks Coffee,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1,"Name: Starbucks Coffee Xingguang Union Br
link: https://www.google.com/maps/search/Starbucks+Coffee+Xingguang+Union+Br/@22.61553,113.19059?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Xing Ba Ke Ka Pei (Min Zhong Fu Wu Qu )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%EF%BC%88%E6%B0%91%E7%9C%BE%E6%9C%8D%E5%8B%99%E5%8D%80%EF%BC%89/@22.6383102,113.44809989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@22.5782857,113.89388679999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei Nuo De Zhong Xin Dian 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%E8%AB%BE%E5%BE%B7%E4%B8%AD%E5%BF%83%E5%BA%97/@23.010009999999998,113.35243?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Starbucks Shunde Svc. W Area Br.
link: https://www.google.com/maps/search/Starbucks+Shunde+Svc.+W+Area+Br./@22.91548,113.26902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/,Starbucks Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOte1oe53FQs6wuZ71rTvLgKzjbNB5xpDb8QvGn=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,+86 760 8886 3905,"Zhong Guo Yan Dong Sheng Zhong Shan Shi Feng Ming Lu Feng Ming Lu Duan Gai Zao Gong Cheng Er Qi BDuan Xing Zhong Yan Chang B1Qu 1Ceng 01Dan Yuan , 2Ceng 02Dan Yuan  Starbucks Coffee",,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x34022d3891f30f17:0x4df6b3affa04ba89!8m2!3d22.522104!4d113.366642!16s%2Fg%2F11cm1hfzph!19sChIJFw_zkTgtAjQRiboE-q-z9k0?authuser=0&hl=zh-TW&rclk=1
ChIJ9TwACPDSAzQR-NXn4BTQH-s,Starbucks Coffee,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1,"Name: Tai Ping Yang Ka Pei 
link: https://www.google.com/maps/search/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/@22.513116999999998,113.3838492?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Starbucks Coffee Xingguang Union Br
link: https://www.google.com/maps/search/Starbucks+Coffee+Xingguang+Union+Br/@22.61553,113.19059?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Yan Zhi Hua Ka Pei 
link: https://www.google.com/maps/search/%E9%B9%BD%E4%B9%8B%E8%8A%B1%E5%92%96%E5%95%A1/@22.500609999999998,113.41864?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Ba Ke Ka Pei (Min Zhong Fu Wu Qu )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%EF%BC%88%E6%B0%91%E7%9C%BE%E6%9C%8D%E5%8B%99%E5%8D%80%EF%BC%89/@22.6383102,113.44809989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Yue Heng Ka Pei 
link: https://www.google.com/maps/search/%E6%82%85%E6%81%86%E5%92%96%E5%95%A1/@22.52438,113.39222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/,Starbucks Coffee (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,3,,Open All Days,,Zhong Guo Yan Dong Sheng Zhong Shan Shi Bo Ai Liu Lu Bo Ai Liu Lu Yu Bo Lan Lu Jiao Hui Chu Yuan Yang Cheng Yan Chang Nei  Starbucks Coffee,,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x3403d2f008003cf5:0xeb1fd014e0e7d5f8!8m2!3d22.503935!4d113.418828!16s%2Fg%2F11cnp904bw!19sChIJ9TwACPDSAzQR-NXn4BTQH-s?authuser=0&hl=zh-TW&rclk=1
ChIJi8MTps3SAzQRsm0VYkEhHq8,Xing Ba Ke ,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1,"Name: Nen Xie Ka Pei Ting 
link: https://www.google.com/maps/search/%E5%AB%A9%E8%91%89%E5%92%96%E5%95%A1%E5%BB%B3/@22.511547,113.38163700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Xing Ba Ke Ka Pei (Min Zhong Fu Wu Qu )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%EF%BC%88%E6%B0%91%E7%9C%BE%E6%9C%8D%E5%8B%99%E5%8D%80%EF%BC%89/@22.6383102,113.44809989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Dian Ka Pei Sheng Huo Guan 
link: https://www.google.com/maps/search/%E6%98%9F%E9%BB%9E%E5%92%96%E5%95%A1%E7%94%9F%E6%B4%BB%E9%A4%A8/@22.5087165,113.38588700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/,Xing Ba Ke  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMvO_kAMODwEdGHt65bEGZxTFQcnIVxO0FCix9p=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,+86 760 8896 3801,Zhong Guo Yan Dong Sheng Zhong Shan Shi Jing Hua Shang Quan Zhong Shan San Lu 8Hao Xing Ba Ke  You Zheng Bian Ma : 528400,,https://www.google.com/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B/data=!4m7!3m6!1s0x3403d2cda613c38b:0xaf1e214162156db2!8m2!3d22.511044!4d113.3856031!16s%2Fg%2F113g7zzcq!19sChIJi8MTps3SAzQRsm0VYkEhHq8?authuser=0&hl=zh-TW&rclk=1
ChIJVzlJ5ywtAjQRndYS6DN631s,Jie Ke Mo Dou Ka Pei Sheng Huo Guan ,,False,3,"Name: Mai Tian Ka Pei 
link: https://www.google.com/maps/search/%E9%BA%A5%E7%94%B0%E5%92%96%E5%95%A1/@22.5091452,113.3799343?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mansen Coffee
link: https://www.google.com/maps/search/Mansen+Coffee/@22.506628,113.38104399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Guglielmo Coffee
link: https://www.google.com/maps/search/Guglielmo+Coffee/@22.511881,113.385463?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Yan Mo Shi Guang 
link: https://www.google.com/maps/search/%E7%A0%94%E7%A3%A8%E6%99%82%E5%85%89/@22.506186,113.38335099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Jie Ke Mo Dou Ka Pei Sheng Huo Guan  (Ye Zhu ),,,Ka Pei Dian ,"Ka Pei Dian , Can Ting ",3.7,,Open All Days,+86 760 8822 0717,Zhong Guo Yan Dong Sheng Zhong Shan Shi Jing Hua Shang Quan Qi Guan Xi Lu 39Hao Jie Ke Mo Dou Ka Pei Sheng Huo Guan  You Zheng Bian Ma : 528400,,https://www.google.com/maps/place/%E5%82%91%E5%85%8B%E9%AD%94%E8%B1%86%E5%92%96%E5%95%A1%E7%94%9F%E6%B4%BB%E9%A4%A8/data=!4m7!3m6!1s0x34022d2ce7493957:0x5bdf7a33e812d69d!8m2!3d22.506571!4d113.380792!16s%2Fg%2F1vc7_bsp!19sChIJVzlJ5ywtAjQRndYS6DN631s?authuser=0&hl=zh-TW&rclk=1
ChIJU_jJPoA6AjQRGqGmLWND040,Starbucks Coffee Xingguang Union Br,,False,1,"Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@22.669566,113.24774599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Xing Ba Ke Ka Pei (Min Zhong Fu Wu Qu )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B%E5%92%96%E5%95%A1%EF%BC%88%E6%B0%91%E7%9C%BE%E6%9C%8D%E5%8B%99%E5%8D%80%EF%BC%89/@22.6383102,113.44809989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Diao Ke Shi Guang 
link: https://www.google.com/maps/search/%E9%9B%95%E5%88%BB%E6%99%82%E5%85%89/@22.612724999999998,113.18614199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Free Tower Coffee
link: https://www.google.com/maps/search/Free+Tower+Coffee/@22.60335,113.18896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Starbucks Coffee Xingguang Union Br (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,1,,Open All Days,+86 760 8896 3270,Zhong Guo CN Yan Dong Sheng  Zhong Shan Shi  Zhong Xing Da Dao  LED Zhao Ming Deng Shi Zhong Xing Yan Chang 1Ceng A01Dan Yuan  Starbucks Coffee Xingguang Union Br You Zheng Bian Ma : 528421,,https://www.google.com/maps/place/Starbucks+Coffee+Xingguang+Union+Br/data=!4m7!3m6!1s0x34023a803ec9f853:0x8dd343632da6a11a!8m2!3d22.61553!4d113.19059!16s%2Fg%2F11js8npvh3!19sChIJU_jJPoA6AjQRGqGmLWND040?authuser=0&hl=zh-TW&rclk=1
ChIJcTQGzTItAjQRsfvMgIuagU8,Zi Yang Hua Ka Pei Wu ,,False,,"Name: Nen Xie Ka Pei Ting 
link: https://www.google.com/maps/search/%E5%AB%A9%E8%91%89%E5%92%96%E5%95%A1%E5%BB%B3/@22.511547,113.38163700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Gaoyue Cafe
link: https://www.google.com/maps/search/Gaoyue+Cafe/@22.511291999999997,113.38200599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Jing Hua Cha Can Ting 
link: https://www.google.com/maps/search/%E4%BA%AC%E8%8F%AF%E8%8C%B6%E9%A4%90%E5%BB%B3/@22.5112256,113.3855688?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Fen Se Xiang Hui 
link: https://www.google.com/maps/search/%E7%B2%89%E8%89%B2%E9%A6%99%E5%8C%AF/@22.511466,113.382477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Ming Ri Hua Ka Pei Ting 
link: https://www.google.com/maps/search/%E6%98%8E%E6%97%A5%E8%8A%B1%E5%92%96%E5%95%A1%E5%BB%B3/@22.51147,113.382385?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Zi Yang Hua Ka Pei Wu  (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,+86 760 8830 8687,Zhong Guo Yan Dong Sheng Zhong Shan Shi Jing Hua Shang Quan Hua Xia Jie Zi Yang Hua Ka Pei Wu  You Zheng Bian Ma : 528400,,https://www.google.com/maps/place/%E7%B4%AB%E9%99%BD%E8%8A%B1%E5%92%96%E5%95%A1%E5%B1%8B/data=!4m7!3m6!1s0x34022d32cd063471:0x4f819a8b80ccfbb1!8m2!3d22.511505!4d113.38215!16s%2Fg%2F1td22zrn!19sChIJcTQGzTItAjQRsfvMgIuagU8?authuser=0&hl=zh-TW&rclk=1
ChIJl7QfUNfSAzQRbi7QoXgotC8,SPR Coffee,,False,,"Name: SPRKa Pei Zhong Shan Gong Yuan Dian 
link: https://www.google.com/maps/search/SPR%E5%92%96%E5%95%A1%E4%B8%AD%E5%B1%B1%E5%85%AC%E5%9C%92%E5%BA%97/@22.513825,113.409994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Na Po Li Ka Pei 
link: https://www.google.com/maps/search/%E6%8B%BF%E7%A0%B4%E8%A3%A1%E5%92%96%E5%95%A1/@22.510763,113.38120099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Pan Duo La Cheng Shi Xing Dong Ka Pei Dian 
link: https://www.google.com/maps/search/%E6%BD%98%E6%9C%B5%E6%8B%89%E5%9F%8E%E5%B8%82%E8%A1%8C%E5%8B%95%E5%92%96%E5%95%A1%E5%BA%97/@22.530212,113.394176?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Shun
link: https://www.google.com/maps/search/Shun/@22.504849999999998,113.37753?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Private Coffee
link: https://www.google.com/maps/search/Private+Coffee/@22.535214999999997,113.46239100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,SPR Coffee (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,+86 760 8836 2277,Zhong Guo Yan Dong Sheng Zhong Shan Shi Dong Qu Bo Ai Wu Lu  SPR Coffee You Zheng Bian Ma : 528405,,https://www.google.com/maps/place/SPR+Coffee/data=!4m7!3m6!1s0x3403d2d7501fb497:0x2fb42878a1d02e6e!8m2!3d22.501577!4d113.393525!16s%2Fg%2F1tr7fztf!19sChIJl7QfUNfSAzQRbi7QoXgotC8?authuser=0&hl=zh-TW&rclk=1
ChIJ0SlOzcPSAzQRA_VLNhP1B2g,Hash Coffee,,False,,"Name: Qiang Wei Xin Qing Ka Pei Wu 
link: https://www.google.com/maps/search/%E8%96%94%E8%96%87%E5%BF%83%E6%83%85%E5%92%96%E5%95%A1%E5%B1%8B/@22.515908900000003,113.39528680000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Yue Heng Ka Pei 
link: https://www.google.com/maps/search/%E6%82%85%E6%81%86%E5%92%96%E5%95%A1/@22.52438,113.39222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Caffe Bene
link: https://www.google.com/maps/search/Caffe+Bene/@22.520167,113.38982399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Wenzhi Coffee
link: https://www.google.com/maps/search/Wenzhi+Coffee/@22.50045,113.39301999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Ming Wa Qu 
link: https://www.google.com/maps/search/%E9%B3%B4%E8%9B%99%E8%B6%A3/@22.51119,113.40316?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Hash Coffee (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,+86 134 1780 3011,"Zhong Guo  2, Zhong Shan Wu Lu 2Hao CN Yan Dong Sheng  Zhong Shan Shi  Zi Ma Ben Teng, *Yi Tian Holiday Park2Lou  Hash Coffee You Zheng Bian Ma : 528405",,https://www.google.com/maps/place/Hash+Coffee/data=!4m7!3m6!1s0x3403d2c3cd4e29d1:0x6807f513364bf503!8m2!3d22.51119!4d113.40316!16s%2Fg%2F11swwygnmq!19sChIJ0SlOzcPSAzQRA_VLNhP1B2g?authuser=0&hl=zh-TW&rclk=1
ChIJ1XOJ2cvSAzQRpZIBDVP2Dkc,Xiaobi Cafe,,False,,"Name: Ka Pei You Ai 
link: https://www.google.com/maps/search/%E5%92%96%E5%95%A1%E6%9C%89%E6%84%9B/@22.51628,113.38551?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Guangda Tea Company
link: https://www.google.com/maps/search/Guangda+Tea+Company/@22.5164698,113.3865613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xiao Zhu Ka Pei 
link: https://www.google.com/maps/search/%E5%B0%8F%E8%B1%AC%E5%92%96%E5%95%A1/@22.509280000000004,113.40016999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Open Cafe%Ab
link: https://www.google.com/maps/search/Open+Cafe%25Ab/@22.51628,113.38335?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Yuan Ka Pei 
link: https://www.google.com/maps/search/%E7%B7%A3%E5%92%96%E5%95%A1/@22.51439,113.38866999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Xiaobi Cafe (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,+86 158 2010 6395,"Zhong Guo Yan Dong Sheng Zhong Shan Shi Bo Yuan Lu 159Hao , Xiaobi Cafe You Zheng Bian Ma : 528405",,https://www.google.com/maps/place/Xiaobi+Cafe/data=!4m7!3m6!1s0x3403d2cbd98973d5:0x470ef6530d0192a5!8m2!3d22.51625!4d113.38795!16s%2Fg%2F11rv74sj7t!19sChIJ1XOJ2cvSAzQRpZIBDVP2Dkc?authuser=0&hl=zh-TW&rclk=1
