place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ5dlyXK1pbo8RjsLc4vbLvMY,S'tasty Coffee and Wine,,False,12,"Name: Espresso Americano
link: https://www.google.com/maps/search/Espresso+Americano/@14.0307663,-86.57038089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: S'tasty Coffee & Wine
link: https://www.google.com/maps/search/S%27tasty+Coffee+%26+Wine/@14.0308089,-86.56549609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Don Esteban Cafe
link: https://www.google.com/maps/search/Don+Esteban+Caf%C3%A9/@14.027660500000001,-86.57996109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Mi Cafe
link: https://www.google.com/maps/search/Mi+Caf%C3%A9/@14.0315321,-86.56543889999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Cafetin Dona Justina
link: https://www.google.com/maps/search/Cafetin+Do%C3%B1a+Justina/@14.030920000000002,-86.56993829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://coffeestasty.blogspot.com/,S'tasty Coffee and Wine (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM1RoaOIcyhZohMNvFA3E8WXnyQQdZfMTsKsnhz=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4,08:00-20:00,Open All Days,,"2FH2+63Q S'tasty Coffee and Wine, Danli, El Paraiso, Hong Du La Si ",,https://www.google.com/maps/place/S%27tasty+Coffee+and+Wine/data=!4m7!3m6!1s0x8f6e69ad5c72d9e5:0xc6bccbf6e2dcc28e!8m2!3d14.0280878!4d-86.5497684!16s%2Fg%2F11f_1xnjyc!19sChIJ5dlyXK1pbo8RjsLc4vbLvMY?authuser=0&hl=zh-TW&rclk=1
ChIJt7lGmlBpbo8R1Ga9HTdYDt4,Estacion 0703,,False,8,"Name: Cafeteria y Restaurante Oriental
link: https://www.google.com/maps/search/Cafeter%C3%ADa+y+Restaurante+Oriental/@14.013374200000001,-86.5687822?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Moya's Grill
link: https://www.google.com/maps/search/Moya%27s+Grill/@14.015048199999999,-86.56997779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews

Name: Comedor Tatiana's
link: https://www.google.com/maps/search/Comedor+Tatiana%27s/@14.0340261,-86.57049959999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: La Condesa
link: https://www.google.com/maps/search/La+Condesa/@14.027385299999999,-86.5796833?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Estacion Naranja
link: https://www.google.com/maps/search/Estacion+Naranja/@14.026095,-86.58508900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/Estacion0703/,Estacion 0703 (Ye Zhu ),https://www.google.com/maps/contrib/105859004432800509159,https://lh5.googleusercontent.com/p/AF1QipOtqk4QLonr0TITJ96gq-cjvdC5-OPEItjOZAXk=w507-h240-k-no,Can Ting ,"Can Ting , Ka Pei Dian ",4.4,07:00-19:00,Open All Days,+504 3175-1988,"Estacion 0703, 0703, Danli, El Paraiso, Hong Du La Si ",,https://www.google.com/maps/place/Estaci%C3%B3n+0703/data=!4m7!3m6!1s0x8f6e69509a46b9b7:0xde0e58371dbd66d4!8m2!3d14.0317369!4d-86.5677529!16s%2Fg%2F11gj24540_!19sChIJt7lGmlBpbo8R1Ga9HTdYDt4?authuser=0&hl=zh-TW&rclk=1
ChIJI_LbpJppbo8RRxTQ0_1tfCE,La Creperia,,False,7,"Name: Paseo Pupuseria
link: https://www.google.com/maps/search/Paseo+Pupuser%C3%ADa/@14.028272099999999,-86.5744065?authuser=0&hl=zh-TW&entry=ttu
Reviews: 338 reviews

Name: Coco Baleadas * Paseo Las Colinas
link: https://www.google.com/maps/search/Coco+Baleadas+%E2%80%A2+Paseo+Las+Colinas/@14.0151776,-86.56996029999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Espresso Americano
link: https://www.google.com/maps/search/Espresso+Americano/@14.0307663,-86.57038089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Pupusas El Fogoncito
link: https://www.google.com/maps/search/Pupusas+El+Fogoncito/@14.039533599999999,-86.5693826?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: Jugos el economico
link: https://www.google.com/maps/search/Jugos+el+econ%C3%B3mico/@14.041073899999999,-86.5703747?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://website--197528496269337653848-creperie.negocio.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,La Creperia (Ye Zhu ),,,Fa Shi Bo Bing Can Ting ,Fa Shi Bo Bing Can Ting ,4.7,,Open All Days,,"La Creperia, portones blancos, Residencial Monte Fresco Qinta casa al lado izquierdo, casa verde limon con, Danli, Hong Du La Si ",,https://www.google.com/maps/place/La+Creperia/data=!4m7!3m6!1s0x8f6e699aa4dbf223:0x217c6dfdd3d01447!8m2!3d14.0433435!4d-86.5658276!16s%2Fg%2F11mw7n49n4!19sChIJI_LbpJppbo8RRxTQ0_1tfCE?authuser=0&hl=zh-TW&rclk=1
ChIJJ6r5prRpbo8R1L_ZiU8PhSo,Mi Cafe,,False,3,"Name: KFE ""Cocktail & Wine""
link: https://www.google.com/maps/search/KFE+%22Cocktail+%26+Wine%22/@14.0300137,-86.5699633?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Cafe Marie
link: https://www.google.com/maps/search/Caf%C3%A9+Mar%C3%ADe/@14.0282985,-86.57945169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Tea Lounge Coffee
link: https://www.google.com/maps/search/Tea+Lounge+Coffee/@14.0310004,-86.5706974?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: S'tasty Coffee & Wine
link: https://www.google.com/maps/search/S%27tasty+Coffee+%26+Wine/@14.0308089,-86.56549609999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Don Esteban Cafe
link: https://www.google.com/maps/search/Don+Esteban+Caf%C3%A9/@14.027660500000001,-86.57996109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://micafehn.blogspot.com/,Mi Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPWkE8UU9ROfQxy5tHWpngsWIlK5wv2nVMMVC88=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,08:00-19:00,Open All Days,+504 9629-6740,"2CJM+JR7 Mi Cafe, Unnamed Road, Danli, Hong Du La Si ",,https://www.google.com/maps/place/Mi+Caf%C3%A9/data=!4m7!3m6!1s0x8f6e69b4a6f9aa27:0x2a850f4f89d9bfd4!8m2!3d14.0315321!4d-86.5654389!16s%2Fg%2F11g2xcmnmw!19sChIJJ6r5prRpbo8R1L_ZiU8PhSo?authuser=0&hl=zh-TW&rclk=1
ChIJQ8_Uzdtpbo8RwmNri5UMhbM,Cafe Las Colinas,,False,1,"Name: Luna Cafe
link: https://www.google.com/maps/search/Luna+Caf%C3%A9/@14.030173600000001,-86.5675856?authuser=0&hl=zh-TW&entry=ttu
Reviews: 270 reviews

Name: Tea Lounge Coffee
link: https://www.google.com/maps/search/Tea+Lounge+Coffee/@14.0310004,-86.5706974?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Cafe Danli
link: https://www.google.com/maps/search/Caf%C3%A9+Danl%C3%AD/@14.030465099999999,-86.56726030000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Mi Cafe
link: https://www.google.com/maps/search/Mi+Caf%C3%A9/@14.0315321,-86.56543889999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Beneficio Las Colinas
link: https://www.google.com/maps/search/Beneficio+Las+Colinas/@14.046147399999999,-86.54949889999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://cafelascolinashn.com/,Cafe Las Colinas (Ye Zhu ),https://www.google.com/maps/contrib/108418890947725243435,https://lh5.googleusercontent.com/p/AF1QipMcypT3yT4oyjteeFO8UFn--IoK_wZPp_uoqFPi=w630-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,5,08:00-17:00,Xing Qi Ri ,+504 8771-5503,"Cafe Las Colinas, Barrio Oriental, salida a, 13201 Danli, El Paraiso, Hong Du La Si ",,https://www.google.com/maps/place/Caf%C3%A9+Las+Colinas/data=!4m7!3m6!1s0x8f6e69dbcdd4cf43:0xb3850c958b6b63c2!8m2!3d14.0294509!4d-86.5593377!16s%2Fg%2F11p0v0fl2v!19sChIJQ8_Uzdtpbo8RwmNri5UMhbM?authuser=0&hl=zh-TW&rclk=1
ChIJ7yLsJo1pbo8RJjZOMCyBUUc,Nicolati's,,False,1,"Name: Luna Cafe Uniplaza
link: https://www.google.com/maps/search/Luna+Caf%C3%A9+Uniplaza/@14.0271391,-86.5791307?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: La Minut
link: https://www.google.com/maps/search/La+Minut/@14.0248732,-86.5864016?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: carnitas Nicoll
link: https://www.google.com/maps/search/carnitas+Nicoll/@14.0372075,-86.5673235?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Nicolati's
link: https://www.google.com/maps/search/Nicolati%C2%B4s/@14.0447698,-86.58469749999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Natural Juice #2
link: https://www.google.com/maps/search/Natural+Juice+%232/@14.027095699999999,-86.57915299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.nicolatis.com/,Nicolati's (Ye Zhu ),https://www.google.com/maps/contrib/102238911589528504218,https://lh5.googleusercontent.com/p/AF1QipOeyclVHnun_C0gxDe6IeS1PUlESXhqYPzitXsG=w408-h544-k-no,Fa Shi Bo Bing Can Ting ,"Fa Shi Bo Bing Can Ting , Ka Pei Dian , Guo Zhi Dian , Can Ting ",5,09:00-20:00,Open All Days,,"2CGC+V9M Nicolati's, CA-6, 13201 Danli, El Paraiso, Hong Du La Si ",,https://www.google.com/maps/place/Nicolati%27s/data=!4m7!3m6!1s0x8f6e698d26ec22ef:0x4751812c304e3626!8m2!3d14.0271875!4d-86.5790625!16s%2Fg%2F11twj4lc_c!19sChIJ7yLsJo1pbo8RJjZOMCyBUUc?authuser=0&hl=zh-TW&rclk=1
ChIJG7dUIElpbo8R0N4TpM3N-nU,Ay Que Rico,,False,,"Name: Cafe Danli
link: https://www.google.com/maps/search/Caf%C3%A9+Danl%C3%AD/@14.030465099999999,-86.56726030000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Comedor Don Quike
link: https://www.google.com/maps/search/Comedor+Don+Quike/@14.024901799999999,-86.5684291?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cafeteria Alcala
link: https://www.google.com/maps/search/Cafeter%C3%ADa+Alcal%C3%A1/@14.046788500000002,-86.5602614?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cafe Bandola de oro
link: https://www.google.com/maps/search/Caf%C3%A9+Bandola+de+oro/@14.0392765,-86.5717413?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Comedor
link: https://www.google.com/maps/search/Comedor/@14.0317805,-86.57720220000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/100087048395277/videos/514144720615510/,Ay Que Rico (Ye Zhu ),https://www.google.com/maps/contrib/102498699217251051249,https://lh5.googleusercontent.com/p/AF1QipN9z1szVej1epvoGH0XPV3nc0POY9eGTJSCEWoj=w408-h408-k-no,Zheng Liu Ka Pei Ba ,Zheng Liu Ka Pei Ba ,,13:00-21:00,Xing Qi Yi ,+504 9850-7653,"Ay Que Rico, 14.018722, 86.570255, 13201 Danli, El Paraiso, Hong Du La Si ",,https://www.google.com/maps/place/Ay+Que+Rico/data=!4m7!3m6!1s0x8f6e69492054b71b:0x75facdcda413ded0!8m2!3d14.0411045!4d-86.5703625!16s%2Fg%2F11tr_kqscj!19sChIJG7dUIElpbo8R0N4TpM3N-nU?authuser=0&hl=zh-TW&rclk=1
ChIJ4XjzFblpbo8R8vn0Qo-Xf0I,Ay Que Rico,,False,,"Name: Don Esteban Cafe
link: https://www.google.com/maps/search/Don+Esteban+Caf%C3%A9/@14.027660500000001,-86.57996109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Cafe Danli
link: https://www.google.com/maps/search/Caf%C3%A9+Danl%C3%AD/@14.030465099999999,-86.56726030000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Mi Cafe
link: https://www.google.com/maps/search/Mi+Caf%C3%A9/@14.0315321,-86.56543889999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Comedor Don Quike
link: https://www.google.com/maps/search/Comedor+Don+Quike/@14.024901799999999,-86.5684291?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Comedor
link: https://www.google.com/maps/search/Comedor/@14.0317805,-86.57720220000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/profile.php?id=100087048395277,Ay Que Rico (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPJ27nWQX4v0bqlfoi6XA14TiuXJQ1KvaHNY_DD=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,,13:00-21:00,Xing Qi Yi ,+504 9850-7653,"2C9H+MW5 Ay Que Rico, Danli, El Paraiso, Hong Du La Si ",,https://www.google.com/maps/place/Ay+Que+Rico/data=!4m7!3m6!1s0x8f6e69b915f378e1:0x427f978f42f4f9f2!8m2!3d14.0191308!4d-86.5701557!16s%2Fg%2F11shvrp1ky!19sChIJ4XjzFblpbo8R8vn0Qo-Xf0I?authuser=0&hl=zh-TW&rclk=1
ChIJq8a-hE5pbo8R9qmRiN9M4SE,Stop 'n Go * Danli,,False,,"Name: Todo en Uno, Danli
link: https://www.google.com/maps/search/Todo+en+Uno%2C+Danli/@14.0284908,-86.5701622?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Snack N' Drink 24/7
link: https://www.google.com/maps/search/Snack+N%E2%80%99+Drink+24%2F7/@14.031860799999999,-86.5715323?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Despensa Colinas
link: https://www.google.com/maps/search/Despensa+Colinas/@14.041073899999999,-86.5703747?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: BANIS GAITAN
link: https://www.google.com/maps/search/BANIS+GAITAN/@14.0410641,-86.5703612?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Distribuidora Godoy
link: https://www.google.com/maps/search/Distribuidora+Godoy/@14.0512065,-86.56951169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.copemsa.hn/,Stop 'n Go * Danli (Ye Zhu ),https://www.google.com/maps/contrib/107796049352109148400,https://lh5.googleusercontent.com/p/AF1QipPTuuJkV-Vb9CU90n7tn064c2LvwsAUKWbKiyYF=w408-h408-k-no,Bian Li Dian ,Bian Li Dian ,,24 Xiao Shi Ying Ye ,Open All Days,+504 9459-1372,"Stop 'n Go * Danli, C. del Canal RN53, 13201 Danli, Hong Du La Si ",,https://www.google.com/maps/place/Stop+%27n+Go+%E2%80%A2+Danl%C3%AD/data=!4m7!3m6!1s0x8f6e694e84bec6ab:0x21e14cdf8891a9f6!8m2!3d14.0293094!4d-86.5711193!16s%2Fg%2F11pf2r1m2h!19sChIJq8a-hE5pbo8R9qmRiN9M4SE?authuser=0&hl=zh-TW&rclk=1
ChIJOf03kDJobo8ReiQsTMOBfi4,Luna Cafe,,False,270,"Name: Coffee Road
link: https://www.google.com/maps/search/Coffee+Road/@14.0296761,-86.5676489?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: KFE ""Cocktail & Wine""
link: https://www.google.com/maps/search/KFE+%22Cocktail+%26+Wine%22/@14.0300137,-86.5699633?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Cafe Sebastian
link: https://www.google.com/maps/search/Cafe+Sebastian/@14.0273867,-86.5797876?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Cafe Marie
link: https://www.google.com/maps/search/Caf%C3%A9+Mar%C3%ADe/@14.0282985,-86.57945169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Luna Cafe Uniplaza
link: https://www.google.com/maps/search/Luna+Caf%C3%A9+Uniplaza/@14.0271391,-86.5791307?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Luna Cafe (Ye Zhu ),https://www.google.com/maps/contrib/118196088784836844906,https://lh5.googleusercontent.com/p/AF1QipMVco0t2FpxxTTd_BK8r33JYDcFtNNp7qSTLDWu=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,07:00-20:00,Open All Days,+504 3178-1212,"Luna Cafe, Frente a la casa de la Cultura Danli:, 13201 El Paraiso, Hong Du La Si ","Fu You , Ke Li Bing , Gong Yuan ",https://www.google.com/maps/place/Luna+Caf%C3%A9/data=!4m7!3m6!1s0x8f6e68329037fd39:0x2e7e81c34c2c247a!8m2!3d14.0301736!4d-86.5675856!16s%2Fg%2F11f54nswjf!19sChIJOf03kDJobo8ReiQsTMOBfi4?authuser=0&hl=zh-TW&rclk=1
