place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ6QsWG369SRYRE6l0EVW53h0,Student Cafe,,False,6,"Name: Teacher's Cafe
link: https://www.google.com/maps/search/Teacher%27s+Cafe/@9.6572851,39.5219993?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Debre Berhan Health Science College
link: https://www.google.com/maps/search/Debre+Berhan+Health+Science+College/@9.6687575,39.5247918?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Administrative building
link: https://www.google.com/maps/search/Administrative+building/@9.6596647,39.520164199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Student Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN2UBZy5YLAN2MqPO8yln6IgwjZZO-_oeQMyMyd=w408-h306-k-no,Zi Zhu Can Ting ,Zi Zhu Can Ting ,4,,Open All Days,+251 92 462 5858,"Student Cafe, Berhan University, Debre, 09 School of Computing, Debre Birhan, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Student+Cafe/data=!4m7!3m6!1s0x1649bd7e1b160be9:0x1ddeb9551174a913!8m2!3d9.6558102!4d39.523386!16s%2Fg%2F11c5zd5dfb!19sChIJ6QsWG369SRYRE6l0EVW53h0?authuser=0&hl=zh-TW&rclk=1
ChIJ5_htgXW9SRYRGBfyJFju_a4,Eden Cafe,,False,5,"Name: terasite bar & restaurant
link: https://www.google.com/maps/search/%E1%89%B5%E1%88%A8%E1%88%B2%E1%89%B5+bar+%26+restaurant/@9.6814719,39.5359846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Zenash Bar & Restourant
link: https://www.google.com/maps/search/Zenash+Bar+%26+Restourant/@9.679990499999999,39.5336196?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Selam Cafe
link: https://www.google.com/maps/search/Selam+Cafe/@9.6571114,39.5191302?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Pastry Shop
link: https://www.google.com/maps/search/Pastry+Shop/@9.6741043,39.5296669?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Eden Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO-ouzbIyvpA5NPyEsH3FFyJ2MXLtJMt-xjzCiU=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,07:30-20:00,Open All Days,,"MGCH+52F Eden Cafe, Debre Birhan, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Eden+Cafe/data=!4m7!3m6!1s0x1649bd75816df8e7:0xaefdee5824f21718!8m2!3d9.6704496!4d39.5275452!16s%2Fg%2F1q67prv3t!19sChIJ5_htgXW9SRYRGBfyJFju_a4?authuser=0&hl=zh-TW&rclk=1
ChIJdUoZ0H29SRYR-bl7TX_DpuY,Teacher's Cafe,,False,4,"Name: Student Cafe
link: https://www.google.com/maps/search/Student+Cafe/@9.6558102,39.523385999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Eden Cafe
link: https://www.google.com/maps/search/Eden+Cafe/@9.6704496,39.5275452?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: College of Law
link: https://www.google.com/maps/search/College+of+Law/@9.658419799999999,39.5221193?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Teacher's Cafe (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,3.8,07:30-20:00,Open All Days,+251 92 462 5858,"Teacher's Cafe, Berhan University, Debre, 09 School of Computing, Debre Birhan, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Teacher%27s+Cafe/data=!4m7!3m6!1s0x1649bd7dd0194a75:0xe6a6c37f4d7bb9f9!8m2!3d9.6572851!4d39.5219993!16s%2Fg%2F11c5_5k_q6!19sChIJdUoZ0H29SRYR-bl7TX_DpuY?authuser=0&hl=zh-TW&rclk=1
ChIJf5l2bKW9SRYR9HopZFkpWOk,Yeabsera Cafe,,False,2,"Name: Yetenbi restaurant
link: https://www.google.com/maps/search/Yetenbi+restaurant/@9.6766588,39.5329976?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: terasite bar & restaurant
link: https://www.google.com/maps/search/%E1%89%B5%E1%88%A8%E1%88%B2%E1%89%B5+bar+%26+restaurant/@9.6814719,39.5359846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: SERKAEM RESTURANT
link: https://www.google.com/maps/search/SERKAEM+RESTURANT/@9.6804756,39.539654399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Yilma shewa bar & restaurant
link: https://www.google.com/maps/search/Yilma+shewa+bar+%26+restaurant/@9.6815549,39.5404269?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Yeabsera Cafe (Ye Zhu ),,,Can Ting ,Can Ting ,5,07:30-20:00,Open All Days,,"MGHP+VJV Yeabsera Cafe, Debre Birhan, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Yeabsera+Cafe/data=!4m7!3m6!1s0x1649bda56c76997f:0xe958295964297af4!8m2!3d9.6797467!4d39.5365387!16s%2Fg%2F1td82gh2!19sChIJf5l2bKW9SRYR9HopZFkpWOk?authuser=0&hl=zh-TW&rclk=1
ChIJaeapua69SRYRW4kiHm9639E,FRIENDSHIP CAFE,,False,2,"Name: Teacher's Cafe
link: https://www.google.com/maps/search/Teacher%27s+Cafe/@9.6572851,39.5219993?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Yetenbi restaurant
link: https://www.google.com/maps/search/Yetenbi+restaurant/@9.6766588,39.5329976?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: terasite bar & restaurant
link: https://www.google.com/maps/search/%E1%89%B5%E1%88%A8%E1%88%B2%E1%89%B5+bar+%26+restaurant/@9.6814719,39.5359846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Selam Cafe
link: https://www.google.com/maps/search/Selam+Cafe/@9.6571114,39.5191302?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,FRIENDSHIP CAFE (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,1,,Open All Days,,"MGMM+VG2 FRIENDSHIP CAFE, Unnamed Road, Debre Birhan, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/FRIENDSHIP+CAFE/data=!4m7!3m6!1s0x1649bdaeb9a9e669:0xd1df7a6f1e22895b!8m2!3d9.684626!4d39.5337626!16s%2Fg%2F11fxw88rdq!19sChIJaeapua69SRYRW4kiHm9639E?authuser=0&hl=zh-TW&rclk=1
ChIJMbNHN2S9SRYRNOh4ZXN18eY,Friendship Cafe,,False,1,"Name: Eden Cafe
link: https://www.google.com/maps/search/Eden+Cafe/@9.6704496,39.5275452?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: SAROTIN DIARY
link: https://www.google.com/maps/search/SAROTIN+DIARY/@9.6615168,39.5177488?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Selam Cafe
link: https://www.google.com/maps/search/Selam+Cafe/@9.6571114,39.5191302?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: F.r.i.e.n.d.s fast food and coffe
link: https://www.google.com/maps/search/F.r.i.e.n.d.s+fast+food+and+coffe/@9.6587093,39.5185995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Friendship Cafe (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,5,24 Xiao Shi Ying Ye ,Open All Days,+251 92 088 2810,"MG77+79C Friendship Cafe, Debre Birhan, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Friendship+Cafe/data=!4m7!3m6!1s0x1649bd643747b331:0xe6f175736578e834!8m2!3d9.6631978!4d39.513395!16s%2Fg%2F11d_77_tj5!19sChIJMbNHN2S9SRYRNOh4ZXN18eY?authuser=0&hl=zh-TW&rclk=1
ChIJP1eJTca9SRYR8x2CTp-hrJ8,Sele coffee,,False,1,"Name: meelaate watate beete | Melat milk house |
link: https://www.google.com/maps/search/%E1%88%9C%E1%88%8B%E1%89%B5+%E1%8B%88%E1%89%B0%E1%89%B5+%E1%89%A4%E1%89%B5+%7C+Melat+milk+house+%7C/@9.6752323,39.5304266?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: F.r.i.e.n.d.s fast food and coffe
link: https://www.google.com/maps/search/F.r.i.e.n.d.s+fast+food+and+coffe/@9.6587093,39.5185995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Tsion cafe
link: https://www.google.com/maps/search/Tsion+cafe/@9.6663157,39.5178638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Biruk
link: https://www.google.com/maps/search/Biruk/@9.680805099999999,39.5386865?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: jagenocu qurethenaa ketefo
link: https://www.google.com/maps/search/%E1%8C%80%E1%8C%8D%E1%8A%96%E1%89%B9+%E1%89%81%E1%88%AD%E1%8C%A5%E1%8A%93+%E1%8A%AD%E1%89%B5%E1%8D%8E/@9.676890900000002,39.532199000000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Sele coffee (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,4,,Open All Days,,"MG58+FJ7 Sele coffee, Debre Birhan, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Sele+coffee/data=!4m7!3m6!1s0x1649bdc64d89573f:0x9faca19f4e821df3!8m2!3d9.6586544!4d39.5165382!16s%2Fg%2F11tslqtg7h!19sChIJP1eJTca9SRYR8x2CTp-hrJ8?authuser=0&hl=zh-TW&rclk=1
ChIJ3zWS2zq9SRYRuWnKVSRDHhI,Golden cafe,,False,1,"Name: terasite bar & restaurant
link: https://www.google.com/maps/search/%E1%89%B5%E1%88%A8%E1%88%B2%E1%89%B5+bar+%26+restaurant/@9.6814719,39.5359846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: meelaate watate beete | Melat milk house |
link: https://www.google.com/maps/search/%E1%88%9C%E1%88%8B%E1%89%B5+%E1%8B%88%E1%89%B0%E1%89%B5+%E1%89%A4%E1%89%B5+%7C+Melat+milk+house+%7C/@9.6752323,39.5304266?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Mekdes cafe
link: https://www.google.com/maps/search/Mekdes+cafe/@9.6766588,39.5329976?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: selashi barechaa beete
link: https://www.google.com/maps/search/%E1%88%B5%E1%88%88%E1%88%BA+%E1%89%A0%E1%88%AD%E1%8C%AB+%E1%89%A4%E1%89%B5/@9.6766588,39.5329976?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Yilma shewa bar & restaurant
link: https://www.google.com/maps/search/Yilma+shewa+bar+%26+restaurant/@9.6815549,39.5404269?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Golden cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM1rFDv2dxS5UXn8DQojyv3a1WXdPNlX716ddav=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4,,Open All Days,,"MGJQ+8CF Golden cafe, Debre Birhan, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Golden+cafe/data=!4m7!3m6!1s0x1649bd3adb9235df:0x121e432455ca69b9!8m2!3d9.6808098!4d39.5383322!16s%2Fg%2F11pv5n93hp!19sChIJ3zWS2zq9SRYRuWnKVSRDHhI?authuser=0&hl=zh-TW&rclk=1
ChIJSQWjbH29SRYRRlA9MgvJheY,Selam Cafe,,False,1,"Name: Eden Cafe
link: https://www.google.com/maps/search/Eden+Cafe/@9.6704496,39.5275452?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Teacher's Cafe
link: https://www.google.com/maps/search/Teacher%27s+Cafe/@9.6572851,39.5219993?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Yetenbi restaurant
link: https://www.google.com/maps/search/Yetenbi+restaurant/@9.6766588,39.5329976?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Friendship Cafe
link: https://www.google.com/maps/search/Friendship+Cafe/@9.663197799999999,39.513394999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Selam Cafe (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,+251 92 762 7925,"MG49+RMR Selam Cafe, Debre Birhan, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Selam+Cafe/data=!4m7!3m6!1s0x1649bd7d6ca30549:0xe685c90b323d5046!8m2!3d9.6571114!4d39.5191302!16s%2Fg%2F11c5spscc2!19sChIJSQWjbH29SRYRRlA9MgvJheY?authuser=0&hl=zh-TW&rclk=1
ChIJmwm-sgu9SRYRyU48nrOmxhU,meelaate watate beete | Melat milk house |,,False,1,"Name: Golden cafe
link: https://www.google.com/maps/search/Golden+cafe/@9.680809799999999,39.5383322?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: selashi barechaa beete
link: https://www.google.com/maps/search/%E1%88%B5%E1%88%88%E1%88%BA+%E1%89%A0%E1%88%AD%E1%8C%AB+%E1%89%A4%E1%89%B5/@9.6766588,39.5329976?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mekdes cafe
link: https://www.google.com/maps/search/Mekdes+cafe/@9.6766588,39.5329976?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Biruk
link: https://www.google.com/maps/search/Biruk/@9.680805099999999,39.5386865?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: feqere gerosari
link: https://www.google.com/maps/search/%E1%8D%8D%E1%89%85%E1%88%AD+%E1%8C%8D%E1%88%AE%E1%88%B0%E1%88%AA/@9.6766588,39.5329976?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,meelaate watate beete | Melat milk house | (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMyKwcTgP-E7-jjLg4QRMbzofT6lw3T-5RGGjrK=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,1,07:00-20:00,Xing Qi Liu ,,"MGGJ+35V meelaate watate beete | Melat milk house |, Debre Birhan, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/%E1%88%9C%E1%88%8B%E1%89%B5+%E1%8B%88%E1%89%B0%E1%89%B5+%E1%89%A4%E1%89%B5+%7C+Melat+milk+house+%7C/data=!4m7!3m6!1s0x1649bd0bb2be099b:0x15c6a6b39e3c4ec9!8m2!3d9.6752323!4d39.5304266!16s%2Fg%2F11s1y45t6z!19sChIJmwm-sgu9SRYRyU48nrOmxhU?authuser=0&hl=zh-TW&rclk=1
