place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJJbPcpwmpQjQRxCFK-CvIrMI,Feng Da Ka Pei ,,False,5105,"Name: Mu Cha Yue Du Ka Pei Guan 
link: https://www.google.com/maps/search/%E6%B2%90%E8%8C%B6%E9%96%B1%E8%AE%80%E5%92%96%E5%95%A1%E9%A4%A8/@25.043574500000002,121.5057826?authuser=0&hl=zh-TW&entry=ttu
Reviews: 956 reviews

Name: VD COFFEE
link: https://www.google.com/maps/search/VD+COFFEE/@25.0420709,121.507099?authuser=0&hl=zh-TW&entry=ttu
Reviews: 161 reviews

Name: Xi Men Ka Pei 
link: https://www.google.com/maps/search/%E8%A5%BF%E9%96%80%E5%92%96%E5%95%A1/@25.043258899999998,121.50437000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews",https://www.facebook.com/pages/%25E8%259C%2582%25E5%25A4%25A7%25E5%2592%2596%25E5%2595%25A1/183855974985361,Feng Da Ka Pei  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMOPNJ2k-HaOExUTygj070oTE1PaLslnhc-QZsT=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4,08:00-22:00,Open All Days,+886 2 2331 6110,108Tai Wan Tai Bei Shi Wan Hua Qu Cheng Du Lu 42Hao Feng Da Ka Pei ,"He Tao , Li Shi , Huo Tui Dan , Lu Dou Gao , Su Bing ",https://www.google.com/maps/place/%E8%9C%82%E5%A4%A7%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3442a909a7dcb325:0xc2acc82bf84a21c4!8m2!3d25.042566!4d121.506354!16s%2Fg%2F1tdxbzvt!19sChIJJbPcpwmpQjQRxCFK-CvIrMI?authuser=0&hl=zh-TW&rclk=1
ChIJbe5PTnsABDQR1euH3jQKgJs,Yi Le Shao E ,"Jian Yue Xiao Qiao De Kong Jian ,Gong Ying Zhong Shi Shao La He Qi Ta Chang Jian Liao Li . ",False,3268,"Name: Yong Ji Jiu Jia 
link: https://www.google.com/maps/search/%E9%8F%9E%E8%A8%98%E9%85%92%E5%AE%B6/@22.2815799,114.1555671?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2772 reviews

Name: Rong Ge Chen Pi Shao E 
link: https://www.google.com/maps/search/%E6%A6%95%E5%93%A5%E9%99%B3%E7%9A%AE%E7%87%92%E9%B5%9D/@22.3057908,114.1710082?authuser=0&hl=zh-TW&entry=ttu
Reviews: 615 reviews

Name: Long Ji Shao Wei Cha Can Ting 
link: https://www.google.com/maps/search/%E9%BE%8D%E8%A8%98%E7%87%92%E5%91%B3%E8%8C%B6%E9%A4%90%E5%BB%B3/@22.2866653,114.15087919999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 530 reviews

Name: Lian He Shao Zhu Can Ting 
link: https://www.google.com/maps/search/%E9%80%A3%E5%92%8C%E7%87%92%E8%B1%AC%E9%A4%90%E5%BB%B3/@22.2817251,114.15598159999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews",https://s.dimorder.com/yatlok,Yi Le Shao E  (Ye Zhu ),https://www.google.com/maps/contrib/114257925578383956734,https://lh5.googleusercontent.com/p/AF1QipMvqTYRM-8Iqs2ieg8FPV2_tH_Rxupn1WIZ-px0=w408-h306-k-no,Zhong Can Guan ,"Zhong Can Guan , Yue Cai Guan , Can Ting ",3.7,10:00-21:00,Open All Days,2524 3882,Zhong Huan Shi Dan Li Jie 34-38Hao Yi Le Shao E G/F,"Shao E , Mi Qi Lin , Pi , Tui , You Ji , E Rou ",https://www.google.com/maps/place/%E4%B8%80%E6%A8%82%E7%87%92%E9%B5%9D/data=!4m7!3m6!1s0x3404007b4e4fee6d:0x9b800a34de87ebd5!8m2!3d22.2824828!4d114.1552917!16s%2Fg%2F11c717b8n7!19sChIJbe5PTnsABDQR1euH3jQKgJs?authuser=0&hl=zh-TW&rclk=1
ChIJ-2v4XGMABDQRJH8TOKEqaZY,Mai Dang Lao ,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1253,"Name: Mei Xin  MX
link: https://www.google.com/maps/search/%E7%BE%8E%E5%BF%83+MX/@22.283433,114.157377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1544 reviews

Name: Mei Xin  MX
link: https://www.google.com/maps/search/%E7%BE%8E%E5%BF%83+MX/@22.2867163,114.1505417?authuser=0&hl=zh-TW&entry=ttu
Reviews: 746 reviews

Name: Ken De Ji 
link: https://www.google.com/maps/search/%E8%82%AF%E5%BE%B7%E5%9F%BA/@22.2877333,114.15244159999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 476 reviews

Name: Kuai Le Feng (Ju Le Bi )
link: https://www.google.com/maps/search/%E5%BF%AB%E6%A8%82%E8%9C%82%EF%BC%88%E8%A2%93%E6%A8%82%E6%AF%94%EF%BC%89/@22.285402700000002,114.15567039999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 433 reviews

Name: Mai Dang Lao 
link: https://www.google.com/maps/search/%E9%BA%A5%E7%95%B6%E5%8B%9E/@22.5379163,114.0535387?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews",https://www.mcdonalds.com.hk/,Mai Dang Lao  (Ye Zhu ),https://www.google.com/maps/contrib/111491421233215583719,https://lh5.googleusercontent.com/p/AF1QipMwV-cag1sPz_kxn7vZIy8D7hcTaY68QkCBiNMJ=w408-h544-k-no,Kuai Can Dian ,Kuai Can Dian ,3.6,06:00-00:00,Open All Days,2523 4310,Gan Nuo Dao Zhong 30-32Hao Zhuang Shi Da Sha Di Xia Gao Ceng Ji Di Xia Di Ceng Mai Dang Lao ,"Zuo Wei , Shu Shi , Qing Jie , Jia Qian , Di Ku , Wu Can , Wan Shang , Xi Tong , Li Mao , wifi",https://www.google.com/maps/place/%E9%BA%A5%E7%95%B6%E5%8B%9E/data=!4m7!3m6!1s0x340400635cf86bfb:0x96692aa138137f24!8m2!3d22.2836118!4d114.1571733!16s%2Fg%2F1td5zb8c!19sChIJ-2v4XGMABDQRJH8TOKEqaZY?authuser=0&hl=zh-TW&rclk=1
ChIJ31T-ZcYABDQRtavCaCmfsd4,Knockbox Coffee Company,,False,712,"Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.3184032,114.16869439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 670 reviews

Name: Pause It
link: https://www.google.com/maps/search/Pause+It/@22.3188733,114.1716623?authuser=0&hl=zh-TW&entry=ttu
Reviews: 475 reviews

Name: Zi Pei 
link: https://www.google.com/maps/search/%E5%AD%96%E5%95%A1/@22.315190899999997,114.16998230000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 306 reviews

Name: Home Place Cafe
link: https://www.google.com/maps/search/Home+Place+Cafe/@22.315161699999997,114.1699639?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",http://www.knockboxcoffee.hk/,Knockbox Coffee Company (Ye Zhu ),https://www.google.com/maps/contrib/114366107224706490113,https://lh5.googleusercontent.com/p/AF1QipN4Ns1zKqoz9iB-tAJO6M-0m4uWsgfuiShMCMQw=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,11:00-18:00,Open All Days,2781 0363,"Knockbox Coffee Company, 23Hao  Hak Po St, Mong Kok","Ka Pei Shi , Bei , latte, Wo Fu , flat white, Kou Wei , Shu Shi , Kao , Ce Suo ",https://www.google.com/maps/place/Knockbox+Coffee+Company/data=!4m7!3m6!1s0x340400c665fe54df:0xdeb19f2968c2abb5!8m2!3d22.3176204!4d114.1725583!16s%2Fg%2F1tfpxg90!19sChIJ31T-ZcYABDQRtavCaCmfsd4?authuser=0&hl=zh-TW&rclk=1
ChIJi2v8tOsABDQRGuG4jYOOMvg,Pu Guang Zhai ,,False,663,"Name: San De Su Shi Guan 
link: https://www.google.com/maps/search/%E4%B8%89%E5%BE%B7%E7%B4%A0%E9%A3%9F%E9%A4%A8/@22.3048985,114.1714927?authuser=0&hl=zh-TW&entry=ttu
Reviews: 881 reviews

Name: Liu Rong Xian Guan 
link: https://www.google.com/maps/search/%E5%85%AD%E6%A6%95%E4%BB%99%E9%A4%A8/@22.305348,114.168934?authuser=0&hl=zh-TW&entry=ttu
Reviews: 557 reviews

Name: Da Zhong Hua Su Shi 
link: https://www.google.com/maps/search/%E5%A4%A7%E4%B8%AD%E8%8F%AF%E7%B4%A0%E9%A3%9F/@22.3070691,114.17096889999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 395 reviews

Name: Lian Hua Jian Kang Su Shi 
link: https://www.google.com/maps/search/%E8%93%AE%E8%8A%B1%E5%81%A5%E5%BA%B7%E7%B4%A0%E9%A3%9F/@22.306573999999998,114.17111039999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 291 reviews

Name: Yi Sen Su Shi  Yat Sum Vegetarian
link: https://www.google.com/maps/search/%E4%B8%80%E6%A3%AE%E7%B4%A0%E9%A3%9F+Yat+Sum+Vegetarian/@22.313113599999998,114.1701751?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews",https://www.happycow.net/reviews/light-vegetarian-restaurant-kowloon-5956,Pu Guang Zhai  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMZzE_6uZbLMsD4HiwhjXxExeIMeJ0aa1pj4xek=w408-h306-k-no,Su Shi Can Ting ,Su Shi Can Ting ,3.7,11:00-22:00,Open All Days,2384 2833,"You Ma Di Zuo Dun Dao 13Hao Hua Feng Da Sha Pu Guang Zhai G/F, 1/F","Zi Zhu Can , Zhong Shi , Dian Xin , Xia Wu Cha , Zhuang Xiu , You Hui , Dan Dian , Yu , Cha Shao ",https://www.google.com/maps/place/%E6%99%AE%E5%85%89%E9%BD%8B/data=!4m7!3m6!1s0x340400ebb4fc6b8b:0xf8328e838db8e11a!8m2!3d22.305674!4d114.17197!16s%2Fg%2F1tfm47__!19sChIJi2v8tOsABDQRGuG4jYOOMvg?authuser=0&hl=zh-TW&rclk=1
ChIJodtmllQHBDQRLePnHA1E5H4,Rustico Spanish Restaurant,,False,638,"Name: Pici (Li Zhi Jiao )
link: https://www.google.com/maps/search/Pici+%28%E8%8D%94%E6%9E%9D%E8%A7%92%29/@22.3360897,114.1475583?authuser=0&hl=zh-TW&entry=ttu
Reviews: 529 reviews

Name: Food Garden
link: https://www.google.com/maps/search/Food+Garden/@22.336123,114.148845?authuser=0&hl=zh-TW&entry=ttu
Reviews: 262 reviews

Name: La Barra Spanish Tapas Restaurant
link: https://www.google.com/maps/search/La+Barra+Spanish+Tapas+Restaurant/@22.339137299999997,114.15375569999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 162 reviews

Name: Thai-ger
link: https://www.google.com/maps/search/Thai-ger/@22.3361152,114.1489435?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: Ricos
link: https://www.google.com/maps/search/Ricos/@22.2851043,114.14195869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews",https://www.rustico.com.hk/,Rustico Spanish Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/116630166146282315769,https://lh5.googleusercontent.com/p/AF1QipPgQraXzZ8rtjslI54gC13X-xwrjbXSLbZCZoCj=w408-h272-k-no,Xi Ban Ya Can Ting ,"Xi Ban Ya Can Ting , Can Ting ",4,"12:00-15:00, 18:00-23:00",Open All Days,2743 4511,"Rustico Spanish Restaurant, Shop G01, G/F, D2 Place One, 9 Cheung Yee Street, Cheung Sha Wan, Lai Chi Kok","Hai Xian , Shu Fu , Fan , Zhi Su , Ru Zhu , Cai , Jia Zhi , Kou Gan , Hei Mao Zhu , Tao Can ",https://www.google.com/maps/place/Rustico+Spanish+Restaurant/data=!4m7!3m6!1s0x340407549666dba1:0x7ee4440d1ce7e32d!8m2!3d22.3361138!4d114.1486593!16s%2Fg%2F11bc8z6k8n!19sChIJodtmllQHBDQRLePnHA1E5H4?authuser=0&hl=zh-TW&rclk=1
ChIJ0yyu84wABDQRdpIUJNaeMFM,Zhong Tian Nong Chang ,,False,607,"Name: Tian Xue 
link: https://www.google.com/maps/search/%E5%A4%A9%E7%A9%B4/@22.2948101,114.16492219999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 410 reviews

Name: Zhong Tian Nong Chang  Tsukada Nojo (Xin Cheng Shi Guang Chang Dian )
link: https://www.google.com/maps/search/%E5%A1%9A%E7%94%B0%E8%BE%B2%E5%A0%B4+Tsukada+Nojo+%28%E6%96%B0%E5%9F%8E%E5%B8%82%E5%BB%A3%E5%A0%B4%E5%BA%97%29/@22.3821506,114.1891202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 272 reviews

Name: Zhong Tian Nong Chang  Tsukada Nojo (APMDian )
link: https://www.google.com/maps/search/%E5%A1%9A%E7%94%B0%E8%BE%B2%E5%A0%B4+Tsukada+Nojo+%28APM%E5%BA%97%29/@22.3127329,114.22507139999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 204 reviews

Name: Man Tian Xing 
link: https://www.google.com/maps/search/%E6%BB%BF%E5%A4%A9%E6%98%9F/@22.2954004,114.1686012?authuser=0&hl=zh-TW&entry=ttu
Reviews: 160 reviews

Name: Ri Shan  (Jian Sha Ju )
link: https://www.google.com/maps/search/%E6%97%A5%E5%B1%B1+%28%E5%B0%96%E6%B2%99%E5%92%80%29/@22.2945902,114.1652773?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews",https://tsukadanojo-hongkong.com/zh-TW/,Zhong Tian Nong Chang  (Ye Zhu ),https://www.google.com/maps/contrib/109075766719391461375,https://lh5.googleusercontent.com/p/AF1QipOYjEXwmTuypEMUW3QCsYtqXhpD63mt97ikgRK6=w408-h306-k-no,Ri Ben Can Ting ,"Ri Ben Can Ting , Ju Jiu Wu , Can Ting ",4,"12:00-16:00, 17:30-23:00",Open All Days,2467 0777,"Jian Sha Ju Guang Dong Dao 3-27Hao Hai Gang Cheng Zhong Tian Nong Chang SHOP OTE 202, Level 2","Huo Guo , Huan Jing , Ji Tang , Yu Shan , Chuang , Ye Jing , Shu Hu Li , Jiao Yuan ",https://www.google.com/maps/place/%E5%A1%9A%E7%94%B0%E8%BE%B2%E5%A0%B4/data=!4m7!3m6!1s0x3404008cf3ae2cd3:0x53309ed624149276!8m2!3d22.2953381!4d114.1688303!16s%2Fg%2F11d_20rd08!19sChIJ0yyu84wABDQRdpIUJNaeMFM?authuser=0&hl=zh-TW&rclk=1
ChIJewI0zSoHBDQROd4UKT6Ark0,Rings Coffee,"Pu Shi De Xiao Xing Ka Pei Ting ,Gong Ying Ka Pei , Cha Yin He Chang Jian De Yi Guo Mei Shi . ",False,510,"Name: Zuan Shi Bing Shi 
link: https://www.google.com/maps/search/%E9%91%BD%E7%9F%B3%E5%86%B0%E5%AE%A4/@22.3361044,114.2059282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 618 reviews

Name: gladys'estatecoffee by HOMEBROWN
link: https://www.google.com/maps/search/gladys%27estatecoffee+by+HOMEBROWN/@22.3279742,114.18822709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Yoi coffee and bakery
link: https://www.google.com/maps/search/Yoi+coffee+and+bakery/@22.329335,114.190574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews",https://www.facebook.com/ringscoffee/,Rings Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNU3caQaYmNNjTYs9NrkgMR9-i4X4Q6azm6aXP8=w408-h271-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,07:30-17:00,Open All Days,9798 3510,Jiu Long Cheng Ya Qian Lang Dao 8Hao Rings Coffee,"Niu You Guo , Shu Bing , Bei Cha , La Hua , Re Qing , Hong Xi , carbonara, Huang Dian , Suan Zhong ",https://www.google.com/maps/place/Rings+Coffee/data=!4m7!3m6!1s0x3404072acd34027b:0x4dae803e2914de39!8m2!3d22.328197!4d114.1893816!16s%2Fg%2F11g01_0ybp!19sChIJewI0zSoHBDQROd4UKT6Ark0?authuser=0&hl=zh-TW&rclk=1
ChIJS2xgmHsABDQRTrVQ6t2r__k,SHARI SHARI Bing Wu  (Zhong Huan ),,False,439,"Name: Messina
link: https://www.google.com/maps/search/Messina/@22.282134199999998,114.15470839999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 299 reviews

Name: Yu Xie Fen Mian Tian Pin 
link: https://www.google.com/maps/search/%E7%8E%89%E8%91%89%E7%B2%89%E9%BA%B5%E7%94%9C%E5%93%81/@22.2829476,114.15274649999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 216 reviews

Name: Ba Shi Shen Xian Cao  - Zhong Huan Dian 
link: https://www.google.com/maps/search/%E5%85%AB%E6%99%82%E7%A5%9E%E4%BB%99%E8%8D%89+-+%E4%B8%AD%E7%92%B0%E5%BA%97/@22.2842271,114.1525344?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: SOCOCO
link: https://www.google.com/maps/search/SOCOCO/@22.2779031,114.1829047?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Xiao Que Xing  Zhong Huan Dian 
link: https://www.google.com/maps/search/%E5%B0%8F%E7%A2%BA%E5%B9%B8+%E4%B8%AD%E7%92%B0%E5%BA%97/@22.2842696,114.1520654?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.facebook.com/ShariShari.Kakigori/%3Fref%3Dbookmarks,SHARI SHARI Bing Wu  (Zhong Huan ) (Ye Zhu ),https://www.google.com/maps/contrib/100883303454792390212,https://lh5.googleusercontent.com/p/AF1QipNQOsnJ0SBPYez65eqs-bSb8g3KrtUZb54hkUWy=w408-h544-k-no,Tian Pin Can Ting ,Tian Pin Can Ting ,4.4,13:00-22:00,Open All Days,2661 2347,Zhong Huan Ao Bei Li Jie 11Hao SHARI SHARI Bing Wu  (Zhong Huan ),"Bao Bing , Mo Cha , Shi Duo Pi Li , Bo Jue , Xia Tian , Bei Cha , Ba Le , Huang Dou Fen , Nai Dong ",https://www.google.com/maps/place/SHARI+SHARI+%E6%B0%B7%E5%B1%8B+%28%E4%B8%AD%E7%92%B0%29/data=!4m7!3m6!1s0x3404007b98606c4b:0xf9ffabddea50b54e!8m2!3d22.2816269!4d114.1535267!16s%2Fg%2F11f33c7dp7!19sChIJS2xgmHsABDQRTrVQ6t2r__k?authuser=0&hl=zh-TW&rclk=1
ChIJ-RN6O1cABDQRWE-D9gb-O2I,Involtini Italian cuisine,,False,377,"Name: Cielos
link: https://www.google.com/maps/search/Cielos/@22.2770251,114.18166049999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 224 reviews

Name: Y PASTA
link: https://www.google.com/maps/search/Y+PASTA/@22.3831076,114.19119429999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 160 reviews

Name: Pici (Causeway Bay)
link: https://www.google.com/maps/search/Pici+%28Causeway+Bay%29/@22.2772905,114.181626?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: The L. Square
link: https://www.google.com/maps/search/The+L.+Square/@22.2803498,114.1816424?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews

Name: Passione Italian Restaurant
link: https://www.google.com/maps/search/Passione+Italian+Restaurant/@22.279408,114.1856449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.involtiniconcept.com/,Involtini Italian cuisine (Ye Zhu ),https://www.google.com/maps/contrib/113725905308536062167,https://lh5.googleusercontent.com/p/AF1QipMhKD805iU_VPYRAfKNGVFoTgz-BO4bowOQeVrc=w408-h270-k-no,Yi Da Li Can Ting ,"Yi Da Li Can Ting , Ka Pei Dian , Can Ting ",4.4,"12:00-15:00, 18:00-22:00",Open All Days,2658 2128,Tong Luo Wan The L. Square 459-461 Lockhart RoadInvoltini Italian cuisine11/F,"Kou Gan , Dan , Xian , Xie Bing , Shu Shi , Long Xia , Yan Zhi Xia , Zhi ",https://www.google.com/maps/place/Involtini+Italian+cuisine/data=!4m7!3m6!1s0x340400573b7a13f9:0x623bfe06f6834f58!8m2!3d22.2803023!4d114.1816578!16s%2Fg%2F11cm61j612!19sChIJ-RN6O1cABDQRWE-D9gb-O2I?authuser=0&hl=zh-TW&rclk=1
