place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ3xqX1ULFjRIRwVtWCXEVsxE,Raclette Restaurant DBK,,False,26,"Name: Family Lunch dbk
link: https://www.google.com/maps/search/Family+Lunch+dbk/@36.7325271,3.9623332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Bocata special khouya Ali
link: https://www.google.com/maps/search/Bocata+sp%C3%A9cial+khouya+Ali/@36.7309646,3.9588364?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Fast Food les 2 freres
link: https://www.google.com/maps/search/Fast+Food+les+2+fr%C3%A8res/@36.735636899999996,3.9608882999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Restaurant bendou
link: https://www.google.com/maps/search/Restaurant+bendou/@36.735636299999996,3.9608957?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://web.facebook.com/resto.raclette,Raclette Restaurant DBK (Ye Zhu ),https://www.google.com/maps/contrib/107936007289231987030,https://lh5.googleusercontent.com/p/AF1QipOwRbAbsRajSMe672VhmlLnUvwgvSmYvs2xSPBF=w408-h326-k-no,Can Ting ,Can Ting ,4.4,11:00-22:00,Open All Days,+213 551 67 26 62,"Raclette Restaurant DBK, Bd Boukhari Chafaa, Draa Ben Khedda 15100A Er Ji Li Ya ",Jia Ge ,https://www.google.com/maps/place/Raclette+Restaurant+DBK/data=!4m7!3m6!1s0x128dc542d5971adf:0x11b3157109565bc1!8m2!3d36.7318293!4d3.9656433!16s%2Fg%2F11smw43v42!19sChIJ3xqX1ULFjRIRwVtWCXEVsxE?authuser=0&hl=zh-TW&rclk=1
ChIJPfq9zYHFjRIRbDSKx2GfQqY,Nutella House,,False,20,"Name: Raclette Restaurant DBK
link: https://www.google.com/maps/search/Raclette+Restaurant+DBK/@36.7318293,3.9656433?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Cafeteria TOUR EIFFEL
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+TOUR+EIFFEL/@36.730514299999996,3.9565557?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Youva bitouche
link: https://www.google.com/maps/search/Youva+bitouche/@36.7318584,3.9659225999999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Fast Food les 2 freres
link: https://www.google.com/maps/search/Fast+Food+les+2+fr%C3%A8res/@36.735636899999996,3.9608882999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Restaurant bendou
link: https://www.google.com/maps/search/Restaurant+bendou/@36.735636299999996,3.9608957?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Nutella House (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM-IIEUL_aKINSQP_fWGGi0SgeKdkpG0uMhwv0R=w408-h306-k-no,Bo Bing Can Ting ,Bo Bing Can Ting ,4.5,11:00-00:00,Open All Days,+213 676 14 71 03,"PXJ8+VFC Nutella House, Bd Boukhari Chafaa, Draa Ben Khedda 15100A Er Ji Li Ya ",,https://www.google.com/maps/place/Nutella+House/data=!4m7!3m6!1s0x128dc581cdbdfa3d:0xa6429f61c78a346c!8m2!3d36.7321915!4d3.9661513!16s%2Fg%2F11k6nc3l06!19sChIJPfq9zYHFjRIRbDSKx2GfQqY?authuser=0&hl=zh-TW&rclk=1
ChIJFXyskr3FjRIR0xe5GPWGGTw,Restaurant Cafe Merdaoui Ahcene,,False,12,"Name: Restaurant Oasis
link: https://www.google.com/maps/search/Restaurant+Oasis/@36.7325199,3.9660154999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Cafeteria Benchikhoune
link: https://www.google.com/maps/search/Cafeteria+Benchikhoune/@36.729042299999996,3.9627013000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",,Restaurant Cafe Merdaoui Ahcene (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNdpMYK9paQqpaX7dMKl8b8F03zt8q_iaDiskYY=w408-h544-k-no,Can Ting ,Can Ting ,3.6,05:00-20:30,Open All Days,+213 550 40 93 68,"PXQ6+8J6 Restaurant Cafe Merdaoui Ahcene, N12, Draa Ben Khedda, A Er Ji Li Ya ",,https://www.google.com/maps/place/Restaurant+Caf%C3%A9+Merdaoui+Ahcene/data=!4m7!3m6!1s0x128dc5bd92ac7c15:0x3c1986f518b917d3!8m2!3d36.7382962!4d3.9615101!16s%2Fg%2F11bymysqwk!19sChIJFXyskr3FjRIR0xe5GPWGGTw?authuser=0&hl=zh-TW&rclk=1
ChIJew7VwpDFjRIRnFOVYYvNXdM,Cafeteria De La Paix,,False,9,"Name: Restaurant Oasis
link: https://www.google.com/maps/search/Restaurant+Oasis/@36.7325199,3.9660154999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Cafe Ahmed farrah
link: https://www.google.com/maps/search/Caf%C3%A9+Ahmed+farrah/@36.73023,3.9575185999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: qhw@ ltkHl
link: https://www.google.com/maps/search/%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D8%AA%D9%83%D8%AD%D8%A7%D9%84/@36.7313762,3.9603218?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafeteria De La Paix (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN9iRegs16_z1QQmYRrFF0p9VzXyKg_9TpaP1ay=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,,Open All Days,+213 775 10 74 77,"PXJ5+GM6 Cafeteria De La Paix, Draa Ben Khedda, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cafeteria+De+La+Paix/data=!4m7!3m6!1s0x128dc590c2d50e7b:0xd35dcd8b6195539c!8m2!3d36.7312831!4d3.9591417!16s%2Fg%2F11b808xzz4!19sChIJew7VwpDFjRIRnFOVYYvNXdM?authuser=0&hl=zh-TW&rclk=1
ChIJa3JEj5HFjRIRk_bNowR34fU,Cafeteria Benchikhoune,,False,8,"Name: Restaurant Cafe Merdaoui Ahcene
link: https://www.google.com/maps/search/Restaurant+Caf%C3%A9+Merdaoui+Ahcene/@36.7382962,3.9615101000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Bocata special khouya Ali
link: https://www.google.com/maps/search/Bocata+sp%C3%A9cial+khouya+Ali/@36.7309646,3.9588364?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Bitouchefood
link: https://www.google.com/maps/search/Bitouchefood/@36.7308631,3.9662582?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: cafe Bayou
link: https://www.google.com/maps/search/cafe+Bayou/@36.7289531,3.9616925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafeteria Benchikhoune (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOOnNEf4fwYPrB7-D5t7Wx_xzP_p_Y0J6zz0Pfo=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,24 Xiao Shi Ying Ye ,Xing Qi Wu ,,"PXH7+J38 Cafeteria Benchikhoune, Bd Larbaoui Mohamed, Draa Ben Khedda, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cafeteria+Benchikhoune/data=!4m7!3m6!1s0x128dc5918f44726b:0xf5e17704a3cdf693!8m2!3d36.7290423!4d3.9627013!16s%2Fg%2F11c57klrcz!19sChIJa3JEj5HFjRIRk_bNowR34fU?authuser=0&hl=zh-TW&rclk=1
ChIJxzqZkJTFjRIRnM-tdrm5lMk,Cafe Afadjene,,False,7,"Name: Cafeteria TOUR EIFFEL
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+TOUR+EIFFEL/@36.730514299999996,3.9565557?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Cafe Ahmed farrah
link: https://www.google.com/maps/search/Caf%C3%A9+Ahmed+farrah/@36.73023,3.9575185999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: food house
link: https://www.google.com/maps/search/food+house/@36.733454800000004,3.9634525?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Afadjene (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO9YjevbW2hr71v2zQ2vsEkqROmfOnpkWPFWEV0=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,05:30-20:00,Open All Days,+213 26 27 10 13,"PXM8+47R Cafe Afadjene, Bd KASRI Ahmed, Draa Ben Khedda, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Afadjene/data=!4m7!3m6!1s0x128dc59490993ac7:0xc994b9b976adcf9c!8m2!3d36.7328547!4d3.965645!16s%2Fg%2F11cjnnmsy8!19sChIJxzqZkJTFjRIRnM-tdrm5lMk?authuser=0&hl=zh-TW&rclk=1
ChIJVVQXCgrFjRIRbHnJoXZWmWo,House of tea,,False,5,"Name: Cahwat Si Moh
link: https://www.google.com/maps/search/Cahwat+Si+Moh/@36.728475599999996,3.9652249999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Cafeteria la zone
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+la+zone/@36.733950199999995,3.9721526999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafe Ahmed farrah
link: https://www.google.com/maps/search/Caf%C3%A9+Ahmed+farrah/@36.73023,3.9575185999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: qhw@ ltkHl
link: https://www.google.com/maps/search/%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D8%AA%D9%83%D8%AD%D8%A7%D9%84/@36.7313762,3.9603218?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,House of tea (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNYlHj-9RLXjs34Rr09ZxJV9UzFkIrI6SDxGP7U=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,5,08:00-23:00,Open All Days,+213 556 67 01 62,"PXMC+HVW House of tea, Draa Ben Khedda, A Er Ji Li Ya ",,https://www.google.com/maps/place/House+of+tea/data=!4m7!3m6!1s0x128dc50a0a175455:0x6a995676a1c9796c!8m2!3d36.7339898!4d3.972206!16s%2Fg%2F11j7vrw9dj!19sChIJVVQXCgrFjRIRbHnJoXZWmWo?authuser=0&hl=zh-TW&rclk=1
ChIJWwsWXZDFjRIRiJD2ZH8OVWc,CAFE DE LA CITE UNIVERSITAIRE BOUZELHA,,False,4,"Name: Cafeteria Mus
link: https://www.google.com/maps/search/Cafeteria+Mus/@36.7287513,3.9640578?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cafeteria la zone
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+la+zone/@36.733950199999995,3.9721526999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: food house
link: https://www.google.com/maps/search/food+house/@36.733454800000004,3.9634525?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: cafe Bayou
link: https://www.google.com/maps/search/cafe+Bayou/@36.7289531,3.9616925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,CAFE DE LA CITE UNIVERSITAIRE BOUZELHA (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPzIBMXfoz8x-dlOFEEThIFen2q8xOtISMg82Nr=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.5,04:00-20:00,Xing Qi Wu ,+213 664 66 50 35,"PXH5+MCQ CAFE DE LA CITE UNIVERSITAIRE BOUZELHA, Bd Larbaoui Mohamed, Draa Ben Khedda 15100A Er Ji Li Ya ",,https://www.google.com/maps/place/CAFE+DE+LA+CITE+UNIVERSITAIRE+BOUZELHA/data=!4m7!3m6!1s0x128dc5905d160b5b:0x67550e7f64f69088!8m2!3d36.7292239!4d3.9586149!16s%2Fg%2F11cs2sctk3!19sChIJWwsWXZDFjRIRiJD2ZH8OVWc?authuser=0&hl=zh-TW&rclk=1
ChIJRQxGS3XFjRIRmbxAJFblElc,mqh~ lryn mT`m,,False,4,,,mqh~ lryn mT`m (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN_A8Mzf9EGRNTr9NKuBgT9PCdzakPNcpPfWWja=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,,Open All Days,,"PXP9+2QQ mqh~ lryn mT`m, Draa Ben Khedda, A Er Ji Li Ya ",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D9%86+%D9%85%D8%B7%D8%B9%D9%85%E2%80%AD/data=!4m7!3m6!1s0x128dc5754b460c45:0x5712e5562440bc99!8m2!3d36.7351384!4d3.9691145!16s%2Fg%2F11stxy6q2s!19sChIJRQxGS3XFjRIRmbxAJFblElc?authuser=0&hl=zh-TW&rclk=1
ChIJX7rIqPLFjRIR5PkpkD8gY6U,Cafeteria Iguer,,False,4,"Name: Cafeteria TOUR EIFFEL
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+TOUR+EIFFEL/@36.730514299999996,3.9565557?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Cafeteria boughazi
link: https://www.google.com/maps/search/Cafeteria+boughazi/@36.717886899999996,3.9415392999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Cafeteria la zone
link: https://www.google.com/maps/search/Caf%C3%A9t%C3%A9ria+la+zone/@36.733950199999995,3.9721526999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafeteria Iguer (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP7TnJ6CX2NH6n8aNUxMwrqQvrD1rZHNEfBNaLb=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4,,Open All Days,,"PXG9+H5X Cafeteria Iguer, Draa Ben Khedda, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9t%C3%A9ria+Iguer/data=!4m7!3m6!1s0x128dc5f2a8c8ba5f:0xa563203f9029f9e4!8m2!3d36.7264943!4d3.9679779!16s%2Fg%2F11c75lktnc!19sChIJX7rIqPLFjRIR5PkpkD8gY6U?authuser=0&hl=zh-TW&rclk=1
