place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJUVYbspEzGQ0RJ-idtt1jBCI,Simo's,,False,644,"Name: Viewpoint of Monte Agudo
link: https://www.google.com/maps/search/Viewpoint+of+Monte+Agudo/@38.72614960000001,-9.1314932?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1959 reviews

Name: Esplanada Cafe
link: https://www.google.com/maps/search/Esplanada+Cafe/@38.7165599,-9.1489154?authuser=0&hl=zh-TW&entry=ttu
Reviews: 869 reviews

Name: Forest terrace
link: https://www.google.com/maps/search/Forest+terrace/@38.7598069,-9.1312708?authuser=0&hl=zh-TW&entry=ttu
Reviews: 613 reviews

Name: Esplanada da Graca
link: https://www.google.com/maps/search/Esplanada+da+Gra%C3%A7a/@38.716624599999996,-9.1314958?authuser=0&hl=zh-TW&entry=ttu
Reviews: 368 reviews

Name: Nandi Cafe & Companhia
link: https://www.google.com/maps/search/Nandi+Caf%C3%A9+%26+Companhia/@38.7267256,-9.165198799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://fb.me/CafEsplMiradouroDoMonteAgudo,Simo's (Ye Zhu ),https://www.google.com/maps/contrib/113814171356363488047,https://lh5.googleusercontent.com/p/AF1QipPjiv-jIy20RnehO85rRdRPn32nVBl_F40IsKKH=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Ji Wei Jiu Jiu Ba , Ka Pei Dian , Xiao Shi /Ling Shi Ba , Pu Tao Jiu Ba ",4.4,09:00-23:00,"Xing Qi Yi , Xing Qi Ri ",+351 932 232 217,"Simo's, R. Heliodoro Salgado, 1170-175 Lisboa, Pu Tao Ya ","Jia Ge , Xi Yang , Pi Jiu , Lu You , Guan Jing Tai , Shu , Tu Si , Qi Si ",https://www.google.com/maps/place/Sim%C3%B3%E2%80%99s/data=!4m7!3m6!1s0xd193391b21b5651:0x220463ddb69de827!8m2!3d38.7262683!4d-9.1314187!16s%2Fg%2F11btltctr7!19sChIJUVYbspEzGQ0RJ-idtt1jBCI?authuser=0&hl=zh-TW&rclk=1
ChIJCbVYn_H5AzQRakClzr4ky2g,Da Jia Le ,,False,526,"Name: Mai Dang Lao 
link: https://www.google.com/maps/search/%E9%BA%A5%E7%95%B6%E5%8B%9E/@22.360016299999998,114.10714949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 933 reviews

Name: Yi Le Can Ting 
link: https://www.google.com/maps/search/%E6%84%8F%E6%A8%82%E9%A4%90%E5%BB%B3/@22.3622336,114.1028747?authuser=0&hl=zh-TW&entry=ttu
Reviews: 770 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@22.3591848,114.10764309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 638 reviews

Name: Da Kuai Huo 
link: https://www.google.com/maps/search/%E5%A4%A7%E5%BF%AB%E6%B4%BB/@22.352981,114.108784?authuser=0&hl=zh-TW&entry=ttu
Reviews: 339 reviews

Name: Da Jia Le 
link: https://www.google.com/maps/search/%E5%A4%A7%E5%AE%B6%E6%A8%82/@22.325000300000003,114.18316999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.cafedecoralfastfood.com/,Da Jia Le  (Ye Zhu ),https://www.google.com/maps/contrib/116797195848731907468,https://lh5.googleusercontent.com/p/AF1QipMQTqvODCroUO5Opbtaw3CVdQ3t0Fr2qKHJkT0Q=w408-h306-k-no,Gang Shi Kuai Can Dian ,Gang Shi Kuai Can Dian ,3.4,06:30-22:00,Open All Days,2436 1025,Xin Jie Qing Yi Qing Yi Cheng Di Xia G32-33(ABu Fen )Hao Pu Da Jia Le ,"Qing Jie , Jia Qian , Shu Shi , Fan , Zao Can , Ba , Dong , Pai Dui , Zuo Wei , Wai Mai ",https://www.google.com/maps/place/%E5%A4%A7%E5%AE%B6%E6%A8%82/data=!4m7!3m6!1s0x3403f9f19f58b509:0x68cb24becea5406a!8m2!3d22.3603316!4d114.1070536!16s%2Fg%2F11g0jc_639!19sChIJCbVYn_H5AzQRakClzr4ky2g?authuser=0&hl=zh-TW&rclk=1
ChIJS_IKSMP5AzQRhTmgwTRwfn0,Bin Xu Bing Shi ,,False,327,"Name: The Story Cafe and Bakery
link: https://www.google.com/maps/search/The+Story+Cafe+and+Bakery/@22.3589587,114.1084228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 249 reviews

Name: Xiang Fa Cha Can Ting 
link: https://www.google.com/maps/search/%E7%A5%A5%E7%99%BC%E8%8C%B6%E9%A4%90%E5%BB%B3/@22.3533683,114.1049913?authuser=0&hl=zh-TW&entry=ttu
Reviews: 187 reviews

Name: Wei Lun Can Ting 
link: https://www.google.com/maps/search/%E5%81%89%E5%B4%99%E9%A4%90%E5%BB%B3/@22.3494861,114.11067770000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.cooker.com.hk/,Bin Xu Bing Shi  (Ye Zhu ),https://www.google.com/maps/contrib/100632073480222282341,https://lh5.googleusercontent.com/p/AF1QipP3iZ6bdyc37sUv9PUvG5dxWl0aocm2oknI-fUW=w427-h240-k-no,Gang Shi Cha Can Ting ,Gang Shi Cha Can Ting ,3.2,06:00-00:00,Open All Days,2668 3979,Hao Jing Wan Ya Ying Zhou Jie 8Hao Bin Xu Bing Shi Di Xia 1Hao Pu ,"Jia Qian , Zao Can , Fan , Shi Wu Pin Zhi , Tong Fen , Li Mao , Nai Cha , Yi Qing , Wan Can , Zuo Wei ",https://www.google.com/maps/place/%E8%B3%93%E5%A2%9F%E5%86%B0%E5%AE%A4/data=!4m7!3m6!1s0x3403f9c3480af24b:0x7d7e7034c1a03985!8m2!3d22.3614405!4d114.1054274!16s%2Fg%2F11h1kyvd8s!19sChIJS_IKSMP5AzQRhTmgwTRwfn0?authuser=0&hl=zh-TW&rclk=1
ChIJBX4s-QUHBDQR-koBBpJUx10,Hui Kang ,,False,271,"Name: Bai Jia Chao Ji Shi Chang  Dian Qu Yi  (Sha Tian Xian Jing Shang Chang )
link: https://www.google.com/maps/search/%E7%99%BE%E4%BD%B3%E8%B6%85%E7%B4%9A%E5%B8%82%E5%A0%B4+%E5%BA%97%E5%8F%96%E6%98%93+%28%E6%B2%99%E7%94%B0%E9%A1%AF%E5%BE%91%E5%95%86%E5%A0%B4%29/@22.3633638,114.1715984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 230 reviews

Name: Hui Kang Ren An Dian 
link: https://www.google.com/maps/search/%E6%83%A0%E5%BA%B7%E4%BB%81%E5%AE%89%E5%BA%97/@22.316043,114.172618?authuser=0&hl=zh-TW&entry=ttu
Reviews: 89 reviews

Name: Hui Kang Chao Ji Shi Chang 
link: https://www.google.com/maps/search/%E6%83%A0%E5%BA%B7%E8%B6%85%E7%B4%9A%E5%B8%82%E5%A0%B4/@22.322624299999998,114.16794850000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Hui Kang Chao Ji Guang Chang 
link: https://www.google.com/maps/search/%E6%83%A0%E5%BA%B7%E8%B6%85%E7%B4%9A%E5%BB%A3%E5%A0%B4/@22.2776756,114.22752299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Hui Kang Chao Ji Shi Chang 
link: https://www.google.com/maps/search/%E6%83%A0%E5%BA%B7%E8%B6%85%E7%B4%9A%E5%B8%82%E5%A0%B4/@22.3658877,114.1369642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews",https://www.wellcome.com.hk/,Hui Kang  (Ye Zhu ),https://www.google.com/maps/contrib/116305701893640062165,https://lh5.googleusercontent.com/p/AF1QipOlD5U9SiGnjlQXvpZSKvhCbp7C9236es7FJjQD=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.7,08:00-22:00,Open All Days,2698 0276,"HK HK HK Xiang Gang Shop 215, Lung Hang Shopping Centre, Lung Hang EstateHui Kang ","Huo Pin , Shou Yin Yuan , Jia Qian , Fu Wu ",https://www.google.com/maps/place/%E6%83%A0%E5%BA%B7/data=!4m7!3m6!1s0x34040705f92c7e05:0x5dc7549206014afa!8m2!3d22.3678964!4d114.179374!16s%2Fg%2F1tfzzpft!19sChIJBX4s-QUHBDQR-koBBpJUx10?authuser=0&hl=zh-TW&rclk=1
ChIJ0ysUS9s3Yg0R4byRGoov-Oo,Vanadi Coffee,,False,259,"Name: Madness Specialty Coffee
link: https://www.google.com/maps/search/Madness+Specialty+Coffee/@38.3453923,-0.4820198?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3388 reviews

Name: Sip and Wonder Coffee House
link: https://www.google.com/maps/search/Sip+and+Wonder+Coffee+House/@38.3476746,-0.487477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1596 reviews

Name: Vanadi Coffee
link: https://www.google.com/maps/search/Vanadi+Coffee/@38.3433193,-0.4894124?authuser=0&hl=zh-TW&entry=ttu
Reviews: 408 reviews

Name: Marfil Cafeteria
link: https://www.google.com/maps/search/Marfil+Cafeter%C3%ADa/@38.3406776,-0.4981904?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews",https://vanadi.es/,Vanadi Coffee (Ye Zhu ),https://www.google.com/maps/contrib/112238962424518850413,https://lh5.googleusercontent.com/p/AF1QipNV7_zXq0QsEHk0OQdoT0ja1V3rGsArZGUgMQ2o=w408-h549-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,08:00-00:00,Open All Days,+34 865 83 17 50,"Vanadi Coffee, Passeig Esplanada d'Espanya, 3, 03002 Alicante, Xi Ban Ya ","Zao Can , Jia Ge , Zhuo , Qia Bu Qi Nuo , Hua Sheng , Wan , Leng ",https://www.google.com/maps/place/Vanadi+Coffee/data=!4m7!3m6!1s0xd6237db4b142bd3:0xeaf82f8a1a91bce1!8m2!3d38.3442655!4d-0.4813315!16s%2Fg%2F11s7s86265!19sChIJ0ysUS9s3Yg0R4byRGoov-Oo?authuser=0&hl=zh-TW&rclk=1
ChIJWxe6ful6ATQRI4vrJt96wSY,Ka Pei Yuan  (Yong Li Ao Men Dian ),,False,45,"Name: Ka Pei Yuan  (Yong Li Huang Gong Dian )
link: https://www.google.com/maps/search/%E5%92%96%E5%95%A1%E8%8B%91+%28%E6%B0%B8%E5%88%A9%E7%9A%87%E5%AE%AE%E5%BA%97%29/@22.1475525,113.571202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Cafe Bela Vista Hui Jing Ge Ka Pei Shi 
link: https://www.google.com/maps/search/Caf%C3%A9+Bela+Vista+%E8%96%88%E6%99%AF%E9%96%A3%E5%92%96%E5%95%A1%E5%AE%A4/@22.1923459,113.5534126?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Wynn Palace: Cafe Fontana
link: https://www.google.com/maps/search/Wynn+Palace%3A+Cafe+Fontana/@22.147109,113.5706269?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Kai Xuan Men Ka Pei Ting 
link: https://www.google.com/maps/search/%E5%87%B1%E6%97%8B%E9%96%80%E5%92%96%E5%95%A1%E5%BB%B3/@22.1889222,113.54821199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Xin Yong Li Ka Pei Mei Shi 
link: https://www.google.com/maps/search/%E6%96%B0%E6%B0%B8%E5%88%A9%E5%92%96%E5%95%A1%E7%BE%8E%E9%A3%9F/@22.212812500000002,113.5459375?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.wynnmacau.com/en/restaurants-n-bars/casual-dining/cafe-esplanada,Ka Pei Yuan  (Yong Li Ao Men Dian ) (Ye Zhu ),https://www.google.com/maps/contrib/104688208902484588058,https://lh5.googleusercontent.com/p/AF1QipPQgqwlFL37kjron3N6_aketA9T7DltGGcYoY6K=w506-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Zi Zhu Can Can Ting ",4.2,11:30-22:30,Open All Days,+853 8986 3663,Ao Men Xian De Li Jie Yong Li Ao Men Ka Pei Yuan  (Yong Li Ao Men Dian ),"Jia Zhi , Ji , Hai Xian , Fan , Sha Lu ",https://www.google.com/maps/place/%E5%92%96%E5%95%A1%E8%8B%91+%28%E6%B0%B8%E5%88%A9%E6%BE%B3%E9%96%80%E5%BA%97%29/data=!4m7!3m6!1s0x34017ae97eba175b:0x26c17adf26eb8b23!8m2!3d22.1884974!4d113.5469195!16s%2Fg%2F11b6dc_76h!19sChIJWxe6ful6ATQRI4vrJt96wSY?authuser=0&hl=zh-TW&rclk=1
ChIJ6z0PTD0BBDQR5q-JuQZd6sE,Saturn Coffee Roaster,,False,27,"Name: MG Cafe
link: https://www.google.com/maps/search/MG+Cafe/@22.3129003,114.2172106?authuser=0&hl=zh-TW&entry=ttu
Reviews: 363 reviews

Name: NUTMAD cafe and dining
link: https://www.google.com/maps/search/NUTMAD+cafe+and+dining/@22.313354,114.2228428?authuser=0&hl=zh-TW&entry=ttu
Reviews: 250 reviews

Name: Pei Nu 
link: https://www.google.com/maps/search/%E5%95%A1%E5%A5%B4/@22.3120491,114.22117100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 246 reviews

Name: COTI (Fu Lin Ji Tuan )
link: https://www.google.com/maps/search/COTI+%28%E5%AF%8C%E8%87%A8%E9%9B%86%E5%9C%98%29/@22.307656599999998,114.2247865?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: COFFEE Lover Cafe
link: https://www.google.com/maps/search/COFFEE+Lover+Cafe/@22.312878599999998,114.22033499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",https://www.saturncoffeeroaster.com/,Saturn Coffee Roaster (Ye Zhu ),https://www.google.com/maps/contrib/117562461780153129852,https://lh5.googleusercontent.com/p/AF1QipNqC2yh43d9JcEyyTiaRWd5buxYKcSsoIpZ-mO2=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:00-18:00,Xing Qi Ri ,5540 3460,"Guan Tang Hai Bin Dao 181Hao , One Harbour Square, Saturn Coffee RoasterDi Xia 1Hao Pu ",bagel,https://www.google.com/maps/place/Saturn+Coffee+Roaster/data=!4m7!3m6!1s0x3404013d4c0f3deb:0xc1ea5d06b989afe6!8m2!3d22.309326!4d114.220464!16s%2Fg%2F11p9x8j199!19sChIJ6z0PTD0BBDQR5q-JuQZd6sE?authuser=0&hl=zh-TW&rclk=1
ChIJnxNu9SVxATQRSMEuJ-emglk,Zhu Wan Hai Tan Ka Pei Cha Zuo ,,False,9,"Name: Zhu Wan Jiu Dian 
link: https://www.google.com/maps/search/%E7%AB%B9%E7%81%A3%E9%85%92%E5%BA%97/@22.114066599999997,113.56186009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 241 reviews

Name: Lu Huan Hui Ji Mei Shi Cha Zuo 
link: https://www.google.com/maps/search/%E8%B7%AF%E7%92%B0%E8%BC%9D%E8%A8%98%E7%BE%8E%E9%A3%9F%E8%8C%B6%E5%BA%A7/@22.1169337,113.552357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: La Gondola Lu Zhou Can Ting 
link: https://www.google.com/maps/search/La+Gondola+%E9%99%B8%E8%88%9F%E9%A4%90%E5%BB%B3/@22.1131709,113.5589842?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: Zhu Wan Hai Tan 
link: https://www.google.com/maps/search/%E7%AB%B9%E7%81%A3%E6%B5%B7%E7%81%98/@22.1133226,113.56047369999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews

Name: Lu Huan Hua Ji Mei Shi 
link: https://www.google.com/maps/search/%E8%B7%AF%E7%92%B0%E8%8F%AF%E8%A8%98%E7%BE%8E%E9%A3%9F/@22.1187456,113.5505714?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews",https://m.facebook.com/cheocvancafe/,Zhu Wan Hai Tan Ka Pei Cha Zuo  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPWEa0sqei5_Tv0JTFObPYy7CY6KFOkAdO1VBcf=w408-h544-k-no,Can Ting ,Can Ting ,2.3,10:00-18:00,Open All Days,+853 2888 2528,Ao Men Zhu Wan Hai Tan Ao Men Zhu Wan Hai Tan Ka Pei Cha Zuo ,,https://www.google.com/maps/place/%E7%AB%B9%E7%81%A3%E6%B5%B7%E7%81%98%E5%92%96%E5%95%A1%E8%8C%B6%E5%BA%A7/data=!4m7!3m6!1s0x34017125f56e139f:0x5982a6e7272ec148!8m2!3d22.1135622!4d113.5603849!16s%2Fg%2F11ghltbszq!19sChIJnxNu9SVxATQRSMEuJ-emglk?authuser=0&hl=zh-TW&rclk=1
ChIJu_Kj_bJ7ATQROZfaDf66r74,Ka Pei Ting ,,False,8,"Name: Cathedral Cafe
link: https://www.google.com/maps/search/Cathedral+Cafe/@22.1931234,113.54056369999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 197 reviews

Name: Terra Coffee House (R. Central)
link: https://www.google.com/maps/search/Terra+Coffee+House+%28R.+Central%29/@22.1915041,113.53813249999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: The Place
link: https://www.google.com/maps/search/The+Place/@22.1981011,113.5393201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews

Name: Huang Gong Ka Pei Ting 
link: https://www.google.com/maps/search/%E7%9A%87%E5%AE%AE%E5%92%96%E5%95%A1%E5%BB%B7/@22.1478032,113.5720212?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Lobby Lounge
link: https://www.google.com/maps/search/Lobby+Lounge/@22.184841499999997,113.5481906?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",https://www.wynnresortsmacau.com/en/wynn-macau/dining/quente-a-sichuan-bistro,Ka Pei Ting  (Ye Zhu ),https://www.google.com/maps/contrib/103324992850761225094,https://lh5.googleusercontent.com/p/AF1QipO7-oNEcyYFcHO4c1Wu9dvuQ21p6QA1G9eyCqkQ=w548-h240-k-no,Si Chuan Jiu Jia ,Si Chuan Jiu Jia ,4.4,07:00-22:30,Open All Days,+853 8986 3663,Ao Men Xian De Li Jie Yong Li Ao Men Ka Pei Ting ,,https://www.google.com/maps/place/%E5%92%96%E5%95%A1%E5%BB%B7/data=!4m7!3m6!1s0x34017bb2fda3f2bb:0xbeafbafe0dda9739!8m2!3d22.1881397!4d113.5470483!16s%2Fg%2F11h194xryd!19sChIJu_Kj_bJ7ATQROZfaDf66r74?authuser=0&hl=zh-TW&rclk=1
ChIJec__AXgBBDQRc93Ajafxp-0,Rias Coffee Roastery Lab Shou Gong Ka Pei Dou Zhuan Mai Dian ,,False,4,"Name: Pei Nu 
link: https://www.google.com/maps/search/%E5%95%A1%E5%A5%B4/@22.3120491,114.22117100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 246 reviews

Name: Li Huo Ka Pei Yan Jiu Suo  Quench Coffee Labo
link: https://www.google.com/maps/search/%E9%9B%A2%E7%81%AB%E5%92%96%E5%95%A1%E7%A0%94%E7%A9%B6%E6%89%80+Quench+Coffee+Labo/@22.3128723,114.2242359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Avid Coffee HK
link: https://www.google.com/maps/search/Avid+Coffee+HK/@22.310347699999998,114.22669719999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: my flavor coffee roaster & workshop Xin Xian Hong Bei Jing Pin Ka Pei Zhuan Men Dian 
link: https://www.google.com/maps/search/my+flavor+coffee+roaster+%26+workshop+%E6%96%B0%E9%AE%AE%E7%83%98%E7%84%99%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1%E5%B0%88%E9%96%80%E5%BA%97/@22.3113644,114.226883?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: S.H. Coffee Lab
link: https://www.google.com/maps/search/S.H.+Coffee+Lab/@22.309662400000004,114.22264129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://riascoffeeroaster.com/,Rias Coffee Roastery Lab Shou Gong Ka Pei Dou Zhuan Mai Dian  (Ye Zhu ),https://www.google.com/maps/contrib/105688096350794885321,https://lh5.googleusercontent.com/p/AF1QipOfysxrfcuiUokDwXM5EM7J7cGIrFkhR088-r2m=w425-h240-k-no,Ka Pei Hong Bei Shang ,Ka Pei Hong Bei Shang ,4.8,,Open All Days,6093 8085,Guan Tang Cheng Ye Jie 15Hao 501Cheng Yun Gong Ye Da Sha Rias Coffee Roastery Lab Shou Gong Ka Pei Dou Zhuan Mai Dian ,,https://www.google.com/maps/place/Rias+Coffee+Roastery+Lab+%E6%89%8B%E5%B7%A5%E5%92%96%E5%95%A1%E8%B1%86%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m7!3m6!1s0x3404017801ffcf79:0xeda7f1a78dc0dd73!8m2!3d22.3103477!4d114.2266972!16s%2Fg%2F11mhvrdxg1!19sChIJec__AXgBBDQRc93Ajafxp-0?authuser=0&hl=zh-TW&rclk=1
