place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ3VtwXnsABDQRi0eCtkOsA98,The Cupping Room (Zhong Huan ),,False,719,"Name: The Cupping Room (Shang Huan )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E4%B8%8A%E7%92%B0%29/@22.2850412,114.15055179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 849 reviews

Name: elixir
link: https://www.google.com/maps/search/elixir/@22.2840629,114.1524721?authuser=0&hl=zh-TW&entry=ttu
Reviews: 93 reviews

Name: Hypebeans (Central)
link: https://www.google.com/maps/search/Hypebeans+%28Central%29/@22.2816658,114.15776819999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Cupping Room - HK Palace Museum
link: https://www.google.com/maps/search/Cupping+Room+-+HK+Palace+Museum/@22.3019326,114.15467280000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews",http://www.cuppingroom.hk/,The Cupping Room (Zhong Huan ) (Ye Zhu ),https://www.google.com/maps/contrib/116267591574541113650,https://lh5.googleusercontent.com/p/AF1QipPWHAjc4dvIgz_18sYOlTGfFcJrE4YF7ztknvHx=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,3.9,08:00-17:00,Open All Days,5523 3988,"G/F, The Cupping Room (Zhong Huan )18 Cochrane St, Central","Zao Wu Can , flat white, Suan Wei , Ban Ni Di Ke Dan , matcha, Fa Shi Tu Si ",https://www.google.com/maps/place/The+Cupping+Room+%28%E4%B8%AD%E7%92%B0%29/data=!4m7!3m6!1s0x3404007b5e705bdd:0xdf03ac43b682478b!8m2!3d22.283114!4d114.1545631!16s%2Fg%2F11cmf1pj2j!19sChIJ3VtwXnsABDQRi0eCtkOsA98?authuser=0&hl=zh-TW&rclk=1
ChIJWwKCvHsABDQRuS8cvcaIUDg,Hazel & Hershey Coffee Roasters,,False,436,"Name: The Cupping Room (Zhong Huan )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E4%B8%AD%E7%92%B0%29/@22.283113999999998,114.15456309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: FINEPRINT
link: https://www.google.com/maps/search/FINEPRINT/@22.282680799999998,114.1527794?authuser=0&hl=zh-TW&entry=ttu
Reviews: 402 reviews

Name: Hypebeans (Central)
link: https://www.google.com/maps/search/Hypebeans+%28Central%29/@22.2816658,114.15776819999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: COSHA
link: https://www.google.com/maps/search/COSHA/@22.2808575,114.1528427?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",http://www.hazelnhershey.com/,Hazel & Hershey Coffee Roasters (Ye Zhu ),https://www.google.com/maps/contrib/102958607994079558417,https://lh5.googleusercontent.com/p/AF1QipPwQFkZeJ8rgGVWa2GeIV0Ag4fYLz_aIcQ_dn8d=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Hong Bei Shang , Ka Pei Pi Fa Shang , Zheng Liu Ka Pei Ba , Shang Dian ",4.2,10:00-19:00,Open All Days,3106 0760,"Shop 3, Hazel & Hershey Coffee Roasters, 69 Peel St, Central","Ka Pei Shi , Kao , atmosphere, Chan Pin , Nai , Mian Ji , N, Shu ",https://www.google.com/maps/place/Hazel+%26+Hershey+Coffee+Roasters/data=!4m7!3m6!1s0x3404007bbc82025b:0x385088c6bd1c2fb9!8m2!3d22.2821528!4d114.1519694!16s%2Fg%2F12cnrmprf!19sChIJWwKCvHsABDQRuS8cvcaIUDg?authuser=0&hl=zh-TW&rclk=1
ChIJD4sRNLgBBDQRXL4MDkExcwU,break,,False,149,"Name: Flames (The Quayside)
link: https://www.google.com/maps/search/Flames+%28The+Quayside%29/@22.3167057,114.2134323?authuser=0&hl=zh-TW&entry=ttu
Reviews: 327 reviews

Name: FRITES Belgium on Tap
link: https://www.google.com/maps/search/FRITES+Belgium+on+Tap/@22.316793399999998,114.2134399?authuser=0&hl=zh-TW&entry=ttu
Reviews: 262 reviews

Name: Ulivo Italian Restaurant & Bar
link: https://www.google.com/maps/search/Ulivo+Italian+Restaurant+%26+Bar/@22.3164515,114.2137006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Machi Donburi Ting Ting Jing Jing 
link: https://www.google.com/maps/search/Machi+Donburi+%E7%94%BA%E7%94%BA%E4%B8%BC%E4%B8%BC/@22.3100518,114.2255362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://fb.com/break.com.hk,break (Ye Zhu ),https://www.google.com/maps/contrib/108181208414153664036,https://lh5.googleusercontent.com/p/AF1QipP7ob0Cdy5ku0ga37s69Lm0uHCSRq-tQwVENFoZ=w408-h544-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Ri Ben Can Ting ",4.3,,Open All Days,2886 0603,"1/F, break, Hai Bin Hui  Shop 13-14, 77 Hoi Bun Rd, Kwun Tong","Jing , Niu You Guo Jiang , Ji Lie Zhu Ba , Yu Zi Shao , Wei Cheng Tang , La Hua , Bei Cha , Ying Hua Xia ",https://www.google.com/maps/place/break/data=!4m7!3m6!1s0x340401b834118b0f:0x57331410e0cbe5c!8m2!3d22.316455!4d114.213702!16s%2Fg%2F11fty5kn82!19sChIJD4sRNLgBBDQRXL4MDkExcwU?authuser=0&hl=zh-TW&rclk=1
ChIJ_1YWEJr_AzQRUNY6YXKPoLI,The Cofftea Shop,,False,142,"Name: Blend & Grind Kennedy Town
link: https://www.google.com/maps/search/Blend+%26+Grind+Kennedy+Town/@22.2832708,114.1284577?authuser=0&hl=zh-TW&entry=ttu
Reviews: 337 reviews

Name: Winstons Coffee - Kennedy Town
link: https://www.google.com/maps/search/Winstons+Coffee+-+Kennedy+Town/@22.2814613,114.1271506?authuser=0&hl=zh-TW&entry=ttu
Reviews: 263 reviews

Name: For Single
link: https://www.google.com/maps/search/For+Single/@22.2827847,114.1277781?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Affee (Kennedy Town)
link: https://www.google.com/maps/search/Affee+%28Kennedy+Town%29/@22.2829478,114.12765519999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews",http://www.thecoffteashophk.com/,The Cofftea Shop (Ye Zhu ),https://www.google.com/maps/contrib/109268774549503265901,https://lh5.googleusercontent.com/p/AF1QipOaCig1P_FA9O7pQLgF_-v1GSb_Z6j5BoH-bUCF=w408-h408-k-no,Zheng Liu Ka Pei Ba ,"Zheng Liu Ka Pei Ba , Ka Pei Dian ",4.5,08:00-18:00,Open All Days,9104 2404,"The Cofftea Shop, Yu An Lou 78-86 Catchick St, Kennedy Town","Ka Pei Shi , Dan Gao , Na Tie , Bei , flat white, Wai Dai , Yi Da Li , Zao Shang ",https://www.google.com/maps/place/The+Cofftea+Shop/data=!4m7!3m6!1s0x3403ff9a101656ff:0xb2a08f72613ad650!8m2!3d22.2829774!4d114.126912!16s%2Fg%2F11b6jk5r2g!19sChIJ_1YWEJr_AzQRUNY6YXKPoLI?authuser=0&hl=zh-TW&rclk=1
ChIJH2rDYmuqBjQRasoo9hma-6Q,Tai Ping Yang Ka Pei ,,False,133,"Name: Pane e Latte
link: https://www.google.com/maps/search/Pane+e+Latte/@22.2185852,114.2117208?authuser=0&hl=zh-TW&entry=ttu
Reviews: 249 reviews

Name: Classified
link: https://www.google.com/maps/search/Classified/@22.2190238,114.2101325?authuser=0&hl=zh-TW&entry=ttu
Reviews: 184 reviews

Name: Xing Ba Ke  (Chi Zhu Guang Chang )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E8%B5%A4%E6%9F%B1%E5%BB%A3%E5%A0%B4%29/@22.219051800000003,114.2096518?authuser=0&hl=zh-TW&entry=ttu
Reviews: 103 reviews

Name: Le Petit Salon (Stanley)
link: https://www.google.com/maps/search/Le+Petit+Salon+%28Stanley%29/@22.2186192,114.2120652?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.pacificcoffee.com/,Tai Ping Yang Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/101739570871867434574,https://lh5.googleusercontent.com/p/AF1QipPk361ZEqKQBsFvDQBEVUGFderAnP7n7mBbBHTY=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4,07:00-19:00,Open All Days,2813 0008,"F, Tai Ping Yang Ka Pei  G/F & 1, 80 Stanley Village Rd, Stanley","Huan Jing , wifi",https://www.google.com/maps/place/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3406aa6b62c36a1f:0xa4fb9a19f628ca6a!8m2!3d22.2184449!4d114.2128793!16s%2Fg%2F1td2rhtz!19sChIJH2rDYmuqBjQRasoo9hma-6Q?authuser=0&hl=zh-TW&rclk=1
ChIJkS-JaQEABDQRb92SoYP6sXE,Black Cherry Coffee,,False,118,"Name: Pacific Coffee
link: https://www.google.com/maps/search/Pacific+Coffee/@22.286228299999998,114.133957?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Lin Li 
link: https://www.google.com/maps/search/%E9%84%B0%E9%87%8C/@22.2485243,114.15286529999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Black Sugar Coffee & Lifestyle - Central
link: https://www.google.com/maps/search/Black+Sugar+Coffee+%26+Lifestyle+-+Central/@22.2819549,114.1561536?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: 7 Coffee Corner Ka Pei Ge 
link: https://www.google.com/maps/search/7+Coffee+Corner+%E5%92%96%E5%95%A1%E9%96%A3/@22.2801029,114.2326602?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Jia Jia Hong Bei 
link: https://www.google.com/maps/search/%E5%AE%B6%E5%AE%B6%E7%83%98%E7%84%99/@22.2494329,114.1485513?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.facebook.com/blackcherrycoffee,Black Cherry Coffee (Ye Zhu ),https://www.google.com/maps/contrib/107349078856268127718,https://lh5.googleusercontent.com/p/AF1QipNIkJguAp23m9Cs6wjapBhg3GhVALqvyFmrF4xd=w408-h734-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,07:00-18:00,Open All Days,3686 0423,Tian Wan Shi Pai Wan Dao 81Hao 6 Hao  Pu Black Cherry Coffee,"Ka Pei Shi , Zao Shang , Liao Tian , Bei , Huo Tui , scone, latte, Duo Shi , croissant, Zhi Shi ",https://www.google.com/maps/place/Black+Cherry+Coffee/data=!4m7!3m6!1s0x3404000169892f91:0x71b1fa83a192dd6f!8m2!3d22.2493115!4d114.148826!16s%2Fg%2F11dzz7rdkf!19sChIJkS-JaQEABDQRb92SoYP6sXE?authuser=0&hl=zh-TW&rclk=1
ChIJW4rGy9bf5UcRdZCo9VNMoiY,ETIENNE Coffee & Shop,,False,101,"Name: PAUL
link: https://www.google.com/maps/search/PAUL/@48.6287574,2.4264607000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 548 reviews

Name: Le Club Sandwich Cafe - EVRY 2
link: https://www.google.com/maps/search/Le+Club+Sandwich+Caf%C3%A9+-+EVRY+2/@48.630404399999996,2.4278819?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@48.628751,2.427508?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: Coffea, boutique de cafe et de the a Evry
link: https://www.google.com/maps/search/Coffea%2C+boutique+de+caf%C3%A9+et+de+th%C3%A9+%C3%A0+Evry/@48.628276,2.4264812?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Evry Tabac Des Aunettes (cafe de la place)
link: https://www.google.com/maps/search/Evry+Tabac+Des+Aunettes+%28cafe+de+la+place%29/@48.618970499999996,2.4340935999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews",http://www.etienne-coffeeshop.com/,ETIENNE Coffee & Shop (Ye Zhu ),https://www.google.com/maps/contrib/116029251325222634715,https://lh5.googleusercontent.com/p/AF1QipOEgCIkJXoIg5MuKJrkv32inwlR8uV_-E08DSdT=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,10:00-20:00,Open All Days,+33 1 64 93 96 82,"ETIENNE Coffee & Shop, 2 Bd de l'Europe, 91000 Evry-Courcouronnes, Fa Guo ","Xuan Ze , Gao , Ke Li Bing , Shou Gou , Jing Yan , Xiao Rong ",https://www.google.com/maps/place/ETIENNE+Coffee+%26+Shop/data=!4m7!3m6!1s0x47e5dfd6cbc68a5b:0x26a24c53f5a89075!8m2!3d48.6281618!4d2.4270574!16s%2Fg%2F11tfcpzk51!19sChIJW4rGy9bf5UcRdZCo9VNMoiY?authuser=0&hl=zh-TW&rclk=1
ChIJj_I2JQsBBDQR6_ucHyxQD-w,Number 9 Coffee,,False,82,"Name: Dazzling Cafe Hong Kong
link: https://www.google.com/maps/search/Dazzling+Caf%C3%A9+Hong+Kong/@22.2996801,114.1722552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 446 reviews

Name: Mu Yang Shao Nian Ka Pei Guan  (Jian Sha Ju )
link: https://www.google.com/maps/search/%E7%89%A7%E7%BE%8A%E5%B0%91%E5%B9%B4%E5%92%96%E5%95%A1%E9%A4%A8+%28%E5%B0%96%E6%B2%99%E5%92%80%29/@22.2972778,114.1733357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 359 reviews

Name: Reaction Coffee Roasters (Jian Sha Ju )
link: https://www.google.com/maps/search/Reaction+Coffee+Roasters+%28%E5%B0%96%E6%B2%99%E5%92%80%29/@22.2970436,114.1748219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 162 reviews

Name: NOC (Tsim Sha Tsui East)
link: https://www.google.com/maps/search/NOC+%28Tsim+Sha+Tsui+East%29/@22.2983261,114.17847959999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 132 reviews",https://www.numberninecoffee.com/,Number 9 Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMp8jeEdreN3WgYvXcHcWkKclci7UsUezH8ULIQ=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,07:30-19:00,Xing Qi Ri ,2796 2286,Jian Sha Ju Jia Lian Wei Lao Dao 96Hao Xi Er Dun Da Sha Number 9 CoffeeShop 9 G/F,"Ka Pei Shi , Yi Fen , flat white, Guo , Jia Qian , Sha Lu , Kou Wei ",https://www.google.com/maps/place/Number+9+Coffee/data=!4m7!3m6!1s0x3404010b2536f28f:0xec0f502c1f9cfbeb!8m2!3d22.2996139!4d114.1774254!16s%2Fg%2F11g3_9jv6c!19sChIJj_I2JQsBBDQR6_ucHyxQD-w?authuser=0&hl=zh-TW&rclk=1
ChIJv053IDMBBDQR6C0UXoX5WKM,Clean,,False,82,"Name: The Cupping Room (Shang Huan )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E4%B8%8A%E7%92%B0%29/@22.2850412,114.15055179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 849 reviews

Name: Coco Espresso
link: https://www.google.com/maps/search/Coco+Espresso/@22.285214699999997,114.1523998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Coffee & Laundry
link: https://www.google.com/maps/search/Coffee+%26+Laundry/@22.2872986,114.14706799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews

Name: elixir
link: https://www.google.com/maps/search/elixir/@22.2840629,114.1524721?authuser=0&hl=zh-TW&entry=ttu
Reviews: 93 reviews

Name: Cafe Queen
link: https://www.google.com/maps/search/Cafe+Queen/@22.2847923,114.1515987?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews",http://www.instagram.com/youarecleanhk,Clean (Ye Zhu ),https://www.google.com/maps/contrib/109612792700327806006,https://lh5.googleusercontent.com/p/AF1QipOM4kNnn_0MwTXa-ql2tnzFaS6Z2MXgkSk1GC2C=w408-h271-k-no,Ka Pei Dian ,"Ka Pei Dian , Zi Zhu Xi Yi Dian , Xi Yi Dian ",4.6,08:00-17:00,Open All Days,9197 5360,"Di Pu  Clean, 100 Huang Hou Da Dao Xi Shang Huan ","vegan, Jia Ge , Yong Xu , Zi Zhu Xi Yi Dian , Gai Nian , Ka Pei Shi , Dan Gao ",https://www.google.com/maps/place/Clean/data=!4m7!3m6!1s0x3404013320774ebf:0xa358f9855e142de8!8m2!3d22.2861628!4d114.1464373!16s%2Fg%2F11rss4s1q8!19sChIJv053IDMBBDQR6C0UXoX5WKM?authuser=0&hl=zh-TW&rclk=1
ChIJe5TYG_b9AzQRwIuLQu30Lvg,Cowbird Coffee Roasters,,False,12,"Name: Xing Ba Ke  (Li Jing Wan )
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B+%28%E9%AF%89%E6%99%AF%E7%81%A3%29/@22.2849282,114.22335919999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 261 reviews

Name: Tai Ping Yang Ka Pei 
link: https://www.google.com/maps/search/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/@22.283467899999998,114.2234484?authuser=0&hl=zh-TW&entry=ttu
Reviews: 165 reviews

Name: LCC Roastery
link: https://www.google.com/maps/search/LCC+Roastery/@22.2677203,113.9975504?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: ROASTWORK
link: https://www.google.com/maps/search/ROASTWORK/@22.323674399999998,114.16357590000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: BeanCurious Coffee Subscription, Roasters & Delivery
link: https://www.google.com/maps/search/BeanCurious+Coffee+Subscription%2C+Roasters+%26+Delivery/@22.2479448,114.16487339999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.cowbirdcoffee.com/,Cowbird Coffee Roasters (Ye Zhu ),https://www.google.com/maps/contrib/101815076183937865382,https://lh5.googleusercontent.com/p/AF1QipP87_v8Q0-j4JLcAx3LxTJN-xaXORmPkb6CcrT2=w408-h725-k-no,Ka Pei Hong Bei Shang ,Ka Pei Hong Bei Shang ,5,24 Xiao Shi Ying Ye ,Open All Days,9406 1864,"Cowbird Coffee Roasters, Lei King Rd, Aldrich Bay",,https://www.google.com/maps/place/Cowbird+Coffee+Roasters/data=!4m7!3m6!1s0x3403fdf61bd8947b:0xf82ef4ed428b8bc0!8m2!3d22.2852123!4d114.2221617!16s%2Fg%2F11q8t_2pxk!19sChIJe5TYG_b9AzQRwIuLQu30Lvg?authuser=0&hl=zh-TW&rclk=1
