place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ78hfvWv-Lg0RuYjl-PdGT1Y,Cafetaria Fonseca (Santiago de Compostela),,False,422,"Name: Fonseca Cafe Bar
link: https://www.google.com/maps/search/Fonseca+Caf%C3%A9+Bar/@42.8794222,-8.5448796?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Restaurante El SEU
link: https://www.google.com/maps/search/Restaurante+El+SEU/@42.875471399999995,-8.5538826?authuser=0&hl=zh-TW&entry=ttu
Reviews: 180 reviews

Name: Restaurante Comedor Rodriguez Cadarso
link: https://www.google.com/maps/search/Restaurante+Comedor+Rodr%C3%ADguez+Cadarso/@42.87784430000001,-8.5546088?authuser=0&hl=zh-TW&entry=ttu
Reviews: 134 reviews

Name: USC ~ Cafeteria de Psicologia y C.C. de la Educacion
link: https://www.google.com/maps/search/USC+~+Cafeter%C3%ADa+de+Psicolog%C3%ADa+y+C.C.+de+la+Educaci%C3%B3n/@42.8749415,-8.5616611?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: USC ~ Comedor Universitario
link: https://www.google.com/maps/search/USC+~+Comedor+Universitario/@42.873037499999995,-8.5599698?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://comedorfonseca.es/,Cafetaria Fonseca (Santiago de Compostela) (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNuZ9rRxOdlN_CA5aywmD1SRMAcmZhOXlIhqQTi=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Dian ",4.5,07:30-23:00,Xing Qi Liu ,+34 981 56 36 02,"Cafetaria Fonseca (Santiago de Compostela), Praza de Rodriguez Cadarso, 3, 15705 Santiago de Compostela, A Coruna, Xi Ban Ya ","Jia Ge , Xiao Yuan , Jing Ji , Da Xue , Zao Can , Xiao Hai , Huan Jing ",https://www.google.com/maps/place/Cafetar%C3%ADa+Fonseca+%28Santiago+de+Compostela%29/data=!4m7!3m6!1s0xd2efe6bbd5fc8ef:0x564f46f7f8e588b9!8m2!3d42.8769444!4d-8.555!16s%2Fg%2F12qfqf2ct!19sChIJ78hfvWv-Lg0RuYjl-PdGT1Y?authuser=0&hl=zh-TW&rclk=1
ChIJGcsVbgxiLw0RsnsWubZEiIk,Fonseca Gourmet & Delicatessen,,False,152,"Name: THE BLACK COFFEE
link: https://www.google.com/maps/search/THE+BLACK+COFFEE/@42.2230752,-8.7309567?authuser=0&hl=zh-TW&entry=ttu
Reviews: 376 reviews

Name: ENXEBRE DELICATESSEN
link: https://www.google.com/maps/search/ENXEBRE+DELICATESSEN/@42.2371571,-8.7163222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Casa Hermo
link: https://www.google.com/maps/search/Casa+Hermo/@42.226312799999995,-8.7214046?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: A Veiga Productos Ibericos Delicatessen (Vigo)
link: https://www.google.com/maps/search/A+Veiga+Productos+Ib%C3%A9ricos+Delicatessen+%28Vigo%29/@42.2337381,-8.7231291?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Espacio gourmet
link: https://www.google.com/maps/search/Espacio+gourmet/@42.233081999999996,-8.7292881?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://m.facebook.com/fonseca.gourmet.vigo/,Fonseca Gourmet & Delicatessen (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNT092DyZBB726qbNB3FXZtE1fSoqNteVUN8TgM=w408-h306-k-no,Shang Dian ,Shang Dian ,3.7,"09:00-14:00, 16:00-20:00",Xing Qi Liu ,+34 986 48 15 42,"Fonseca Gourmet & Delicatessen, Av. das Camelias, 123, Freijeiro, 36211 Vigo, Pontevedra, Xi Ban Ya ","Chan Pin , Bing Qi Lin , Ka Pei Ting , Pi Jiu , Nai Xi , You Ge ",https://www.google.com/maps/place/Fonseca+Gourmet+%26+Delicatessen/data=!4m7!3m6!1s0xd2f620c6e15cb19:0x898844b6b9167bb2!8m2!3d42.2240683!4d-8.7298186!16s%2Fg%2F11b7q2b6s4!19sChIJGcsVbgxiLw0RsnsWubZEiIk?authuser=0&hl=zh-TW&rclk=1
ChIJ46yLUl74Ig0RrN7QsyKx1lQ,Snack Bar Fonseca,,False,132,"Name: Cafe Samambaia
link: https://www.google.com/maps/search/Caf%C3%A9+Samambaia/@40.1990755,-8.4110122?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1353 reviews

Name: Snack Bar Avenida - Prato do dia
link: https://www.google.com/maps/search/Snack+Bar+Avenida+-+Prato+do+dia/@40.1992153,-8.4638373?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Cafe STOP
link: https://www.google.com/maps/search/Caf%C3%A9+STOP/@40.2032082,-8.4697117?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Chafariz bar
link: https://www.google.com/maps/search/Chafariz+bar/@40.2099549,-8.4647801?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Baloico Bar
link: https://www.google.com/maps/search/Baloi%C3%A7o+Bar/@40.2027012,-8.4214675?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews",https://snackbarfonseca.eatbu.com/,Snack Bar Fonseca (Ye Zhu ),https://www.google.com/maps/contrib/106090306755214822758,https://lh5.googleusercontent.com/p/AF1QipPZyagHWIlO3EfE0ESD0resEbQffj_Gp37mkema=w408-h306-k-no,Jiu Ba ,"Jiu Ba , Ka Pei Ting ",4.3,10:00-02:00,Xing Qi Liu ,+351 239 152 868,"Snack Bar Fonseca, R. 5 de Outubro 52, 3045-016 Coimbra, Pu Tao Ya ",Huan Jing ,https://www.google.com/maps/place/Snack+Bar+Fonseca/data=!4m7!3m6!1s0xd22f85e528bace3:0x54d6b122b3d0deac!8m2!3d40.2007504!4d-8.4601739!16s%2Fg%2F11c5wpdcmr!19sChIJ46yLUl74Ig0RrN7QsyKx1lQ?authuser=0&hl=zh-TW&rclk=1
ChIJIWGSPmBsIg0RGmFXXHDgtHc,Cafe Fonseca,,False,103,"Name: Snack Bar Fonseca
link: https://www.google.com/maps/search/Snack+Bar+Fonseca/@40.2007504,-8.4601739?authuser=0&hl=zh-TW&entry=ttu
Reviews: 132 reviews

Name: Cafe Fonseca / Frescura do Campo
link: https://www.google.com/maps/search/Caf%C3%A9+Fonseca+%2F+Frescura+do+Campo/@39.82918,-8.8781112?authuser=0&hl=zh-TW&entry=ttu
Reviews: 45 reviews

Name: Cafe Mota
link: https://www.google.com/maps/search/Cafe+Mota/@39.8880243,-8.7588334?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://www.facebook.com/Karpa-Koi-758588634246146/,Cafe Fonseca (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMMjttr80791qUiDqIZH2KMgqy6R850fFJDxPko=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,07:00-02:00,Open All Days,+351 244 686 586,"Cafe Fonseca, CM1197 10Pu Tao Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Fonseca/data=!4m7!3m6!1s0xd226c603e926121:0x77b4e0705c57611a!8m2!3d39.8746729!4d-8.7910762!16s%2Fg%2F11bzsnd60g!19sChIJIWGSPmBsIg0RGmFXXHDgtHc?authuser=0&hl=zh-TW&rclk=1
ChIJ6d2y5nUBBDQRoCILLJNaBKw,Feng Zi Jia Bei ,,False,84,"Name: Cofflow Shun Liu Jing Pin Ka Pei 
link: https://www.google.com/maps/search/Cofflow+%E9%A0%86%E6%B5%81%E7%B2%BE%E5%93%81%E5%92%96%E5%95%A1/@22.3268363,114.16393439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Bu Ku 
link: https://www.google.com/maps/search/%E4%B8%8D%E8%8B%A6/@22.3261742,114.1642866?authuser=0&hl=zh-TW&entry=ttu
Reviews: 102 reviews

Name: KOKONI
link: https://www.google.com/maps/search/KOKONI/@22.327672,114.163713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews

Name: Flow
link: https://www.google.com/maps/search/Flow/@22.3273652,114.1628777?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Jimmy's Coffee & Kitchen
link: https://www.google.com/maps/search/Jimmy%27s+Coffee+%26+Kitchen/@22.323892,114.170628?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews",https://www.instagram.com/fonji.cafe/,Feng Zi Jia Bei  (Ye Zhu ),https://www.google.com/maps/contrib/113420871548753423613,https://lh5.googleusercontent.com/p/AF1QipPrCkz4_8U6r66QeRO-TV5TNK3kwSIVPSEnXKYR=w532-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.3,12:00-19:00,Xing Qi San ,,Shen Shui Bu Feng Shu Jie 5Hao Feng Zi Jia Bei ,"Qi Feng Dan Gao , Fu Gu , Feng , Huai Jiu , Ban Lan , Wu Dong , Ying Hua Xia , Ka Ye , La Hua , Dou Ru ",https://www.google.com/maps/place/%E6%A5%93%E5%AD%90%E7%8F%88%E7%90%B2/data=!4m7!3m6!1s0x34040175e6b2dde9:0xac045a932c0b22a0!8m2!3d22.3261742!4d114.1642866!16s%2Fg%2F11r26dlzsh!19sChIJ6d2y5nUBBDQRoCILLJNaBKw?authuser=0&hl=zh-TW&rclk=1
ChIJe0CCTeqwGw0R1MiimpNK_sA,Cafe Casa Fonseca,,False,68,"Name: Tia Augustinha Cafe-Restaurant
link: https://www.google.com/maps/search/Tia+Augustinha+Caf%C3%A9-Restaurant/@37.8911291,-8.6353163?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: A Flor Alentejena Cafe
link: https://www.google.com/maps/search/A+Fl%C3%B4r+Alentejena+Caf%C3%A9/@38.015453699999995,-8.692565?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",https://www.facebook.com/isabellaginha.cf,Cafe Casa Fonseca (Ye Zhu ),https://www.google.com/maps/contrib/116313818968480227254,https://lh5.googleusercontent.com/p/AF1QipN7Hf7hZ4WOweKIQnyXM-KVFksoG7OknyWdCpDy=w408-h306-k-no,Zheng Liu Ka Pei Ba ,"Zheng Liu Ka Pei Ba , Can Ting ",4.3,08:00-23:00,Xing Qi Er ,+351 269 012 173,"Cafe Casa Fonseca, Caixa Postal 3021, 7540-650 Santiago do Cacem, Pu Tao Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Casa+Fonseca/data=!4m7!3m6!1s0xd1bb0ea4d82407b:0xc0fe4a939aa2c8d4!8m2!3d37.8924165!4d-8.6356047!16s%2Fg%2F11gdqc2z6g!19sChIJe0CCTeqwGw0R1MiimpNK_sA?authuser=0&hl=zh-TW&rclk=1
ChIJY3GJYRsBBDQRsIlLByZEFu0,2 Soon Cafe,,False,46,,https://www.instagram.com/2soon_cafe/,2 Soon Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102315033756913602137,https://lh5.googleusercontent.com/p/AF1QipOFpgkG437bWngOdLizCPBhlIuSw4tRB8EWOQeg=w408-h375-k-no,Ka Pei Ting ,"Ka Pei Ting , Ji Wei Jiu Jiu Ba , Shui Yan Hu Ba , Can Ting ",3.8,11:30-23:00,Open All Days,5663 5003,"2 Soon Cafe, 324 Sai Yeung Choi St N, Mong Kok","Fu Te Jia , Tong Fen , Zhuan , Yun Ni Na Xue Gao , Niu You Guo , Ji Na Bang , Lian Jia , Gong , Xi Ban Ya ",https://www.google.com/maps/place/2+Soon+Cafe/data=!4m7!3m6!1s0x3404011b61897163:0xed164426074b89b0!8m2!3d22.3261859!4d114.1687033!16s%2Fg%2F11tp51fly1!19sChIJY3GJYRsBBDQRsIlLByZEFu0?authuser=0&hl=zh-TW&rclk=1
ChIJ-_DUgXEJdkgRZFgtk7QdOyM,Fonseca's Deli,,False,24,"Name: Cafe Galio
link: https://www.google.com/maps/search/Cafe+Galio/@51.400535399999995,-0.2559257?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: Roberto
link: https://www.google.com/maps/search/Roberto/@51.4045925,-0.25725149999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: Capital Cafe
link: https://www.google.com/maps/search/Capital+Caf%C3%A9/@51.3854038,-0.2633986?authuser=0&hl=zh-TW&entry=ttu
Reviews: 78 reviews

Name: Il Villaggio deli
link: https://www.google.com/maps/search/Il+Villaggio+deli/@51.400414500000004,-0.2547585?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: Blossom & Brew
link: https://www.google.com/maps/search/Blossom+%26+Brew/@51.394396,-0.238446?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",https://fonsecas-deli.business.site/?utm_source=gmb&utm_medium=referral,Fonseca's Deli (Ye Zhu ),https://www.google.com/maps/contrib/115578188986314565668,https://lh5.googleusercontent.com/p/AF1QipO0J2tdpwlZcuR5mwIygAxe4-S72PQEdj6BgyEY=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",5,08:00-15:00,"Xing Qi Ri , Xing Qi Yi ",+44 7799 838555,"Fonseca's Deli, 169 South Ln, New Malden KT3 5ESYing Guo ",Pa Ni Ni ,https://www.google.com/maps/place/Fonseca%E2%80%99s+Deli/data=!4m7!3m6!1s0x4876097181d4f0fb:0x233b1db4932d5864!8m2!3d51.3943089!4d-0.2664049!16s%2Fg%2F11qf_wcmmt!19sChIJ-_DUgXEJdkgRZFgtk7QdOyM?authuser=0&hl=zh-TW&rclk=1
ChIJiVdfUtxxATQRW3u2Vjidj6c,Feng Da Ka Pei ,,False,16,"Name: CuppaCoffee Taipa
link: https://www.google.com/maps/search/CuppaCoffee+Taipa/@22.1565723,113.55958570000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 141 reviews

Name: Bidas Bran Dessert Coffee
link: https://www.google.com/maps/search/Bidas+Bran+Dessert+Coffee/@22.1539218,113.5569276?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: ROOFTOP MACAU
link: https://www.google.com/maps/search/ROOFTOP+MACAU/@22.1529462,113.55727460000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Hideout Coffee Taipa
link: https://www.google.com/maps/search/Hideout+Coffee+Taipa/@22.1540401,113.5579919?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews",https://fongdacoffee.hk/,Feng Da Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/102369831495254287631,https://lh5.googleusercontent.com/p/AF1QipMs5GCswXdxRuyfI2U82xerUdVxLI-c4Z9gT_q5=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,12:00-18:00,Open All Days,+853 6388 5018,Ao Men Bing Fang Xie Xiang 22Hao Feng Da Ka Pei ,,https://www.google.com/maps/place/%E8%9C%82%E5%A4%A7%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x340171dc525f5789:0xa78f9d3856b67b5b!8m2!3d22.1530889!4d113.5577365!16s%2Fg%2F11j1c_qqgg!19sChIJiVdfUtxxATQRW3u2Vjidj6c?authuser=0&hl=zh-TW&rclk=1
ChIJHbFTLnG4xokRh552Zh7OVFQ,Fonseca Coffee,,False,7,"Name: Brown Street Coffee
link: https://www.google.com/maps/search/Brown+Street+Coffee/@39.970486,-75.179486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 354 reviews

Name: Cogito Coffee Philadelphia
link: https://www.google.com/maps/search/Cogito+Coffee+Philadelphia/@39.9498825,-75.1602178?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: OCF Coffee House
link: https://www.google.com/maps/search/OCF+Coffee+House/@39.9445824,-75.1717939?authuser=0&hl=zh-TW&entry=ttu
Reviews: 198 reviews

Name: Suprema Coffee Roastery
link: https://www.google.com/maps/search/Suprema+Coffee+Roastery/@39.9459497,-75.1672105?authuser=0&hl=zh-TW&entry=ttu
Reviews: 165 reviews

Name: Vamo Coffee Co.
link: https://www.google.com/maps/search/Vamo+Coffee+Co./@39.9582889,-75.1565902?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.fonseca-coffee.com/,Fonseca Coffee (Ye Zhu ),https://www.google.com/maps/contrib/104780411395629460203,https://lh5.googleusercontent.com/p/AF1QipPKoy5gFtdmH72bvi6bfgi2YVO8TZqyq1_oStLi=w630-h240-k-no,Shi Pin Zhi Zao Gong Ying ,Shi Pin Zhi Zao Gong Ying ,5,10:00-18:00,"Xing Qi Ri , Xing Qi Si , Xing Qi Wu , Xing Qi Liu ",+1 267-670-2834,"Fonseca Coffee, 3502 Scotts Ln Suite 1421A, Philadelphia, PA 19129Mei Guo ",,https://www.google.com/maps/place/Fonseca+Coffee/data=!4m7!3m6!1s0x89c6b8712e53b11d:0x5454ce1e66769e87!8m2!3d40.007776!4d-75.184375!16s%2Fg%2F11g6n_yhy0!19sChIJHbFTLnG4xokRh552Zh7OVFQ?authuser=0&hl=zh-TW&rclk=1
ChIJCazgdQB8JA0REdN52TByEnU,Os Fonseca,,False,532,"Name: Restaurante O Conde
link: https://www.google.com/maps/search/Restaurante+O+Conde/@41.0324223,-8.5972515?authuser=0&hl=zh-TW&entry=ttu
Reviews: 614 reviews

Name: Fonsecas 2
link: https://www.google.com/maps/search/Fonsecas+2/@41.0466154,-8.5645873?authuser=0&hl=zh-TW&entry=ttu
Reviews: 323 reviews

Name: Restaurante Zenha's
link: https://www.google.com/maps/search/Restaurante+Zenha%27s/@41.0438073,-8.5717573?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Cafe Bakano
link: https://www.google.com/maps/search/Caf%C3%A9+Bakano/@41.046488,-8.5656211?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",,Os Fonseca (Ye Zhu ),https://www.google.com/maps/contrib/114952729266634225607,https://lh5.googleusercontent.com/p/AF1QipNNX7n1hhmiVajBFIH3NbzcJYZuM9KX40LHOSkZ=w480-h240-k-no,Zheng Liu Ka Pei Ba ,"Zheng Liu Ka Pei Ba , Zao Can Can Ting ",4.5,07:00-22:00,Xing Qi Ri ,+351 22 764 6928,"Os Fonseca, R. Boavista 680, Grijo, Pu Tao Ya ","Jia Ge , star, Shu Tiao , Kong Jian , Chan Pin , Huan Jing ",https://www.google.com/maps/place/Os+Fonseca/data=!4m7!3m6!1s0xd247c0075e0ac09:0x75127230d979d311!8m2!3d41.0436875!4d-8.5720544!16s%2Fg%2F11hb817d47!19sChIJCazgdQB8JA0REdN52TByEnU?authuser=0&hl=zh-TW&rclk=1
ChIJd5xz7Tp9JA0RUSDUABakhyI,Fonsecas 2,,False,323,"Name: Os Fonseca
link: https://www.google.com/maps/search/Os+Fonseca/@41.0436875,-8.572054399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 531 reviews

Name: Cafe Pereira
link: https://www.google.com/maps/search/Caf%C3%A9+Pereira/@41.0912323,-8.5394659?authuser=0&hl=zh-TW&entry=ttu
Reviews: 299 reviews

Name: Estrela Cafe & Gelataria
link: https://www.google.com/maps/search/Estrela+Caf%C3%A9+%26+Gelataria/@41.0659606,-8.5737879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Cafe Frank
link: https://www.google.com/maps/search/Caf%C3%A9+Frank/@41.0364811,-8.555792499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Cafe Sousa
link: https://www.google.com/maps/search/Caf%C3%A9+Sousa/@41.0554983,-8.538623399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",,Fonsecas 2 (Ye Zhu ),https://www.google.com/maps/contrib/114734062854368929973,https://lh5.googleusercontent.com/p/AF1QipP7MNhzYuJWLt2RXIQ-7WymjR6yDun7wPrxA5k=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,06:30-19:00,Xing Qi Ri ,+351 22 496 5837,"Fonsecas 2, Tv. Seada, 4415-386 Pedroso, Pu Tao Ya ","Jia Ge , Ding , Zao Can ",https://www.google.com/maps/place/Fonsecas+2/data=!4m7!3m6!1s0xd247d3aed739c77:0x2287a41600d42051!8m2!3d41.0466154!4d-8.5645873!16s%2Fg%2F11h1yh0w98!19sChIJd5xz7Tp9JA0RUSDUABakhyI?authuser=0&hl=zh-TW&rclk=1
ChIJgZ9fUUH-Lg0RpDwBRdjd0r8,Fonseca Cafe Bar,,False,201,"Name: Cafe Bar Paris
link: https://www.google.com/maps/search/Caf%C3%A9+Bar+Paris/@42.877345,-8.545596999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1177 reviews

Name: Coffee & Coffee
link: https://www.google.com/maps/search/Coffee+%26+Coffee/@42.8737889,-8.5462327?authuser=0&hl=zh-TW&entry=ttu
Reviews: 728 reviews

Name: Cafe Bar Bendana
link: https://www.google.com/maps/search/Caf%C3%A9+Bar+Benda%C3%B1a/@42.877663299999995,-8.5443961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 461 reviews

Name: Cafetaria Fonseca (Santiago de Compostela)
link: https://www.google.com/maps/search/Cafetar%C3%ADa+Fonseca+%28Santiago+de+Compostela%29/@42.8769444,-8.555000000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 422 reviews

Name: Cafeteria
link: https://www.google.com/maps/search/Cafeter%C3%ADa/@42.8793763,-8.5449023?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",,Fonseca Cafe Bar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOHQgTlFM4U4ByqgNxZ8dM2Diep7iLHzu4_OPKX=w408-h725-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",2.8,09:00-23:00,Open All Days,,"Fonseca Cafe Bar, Praza de Fonseca, 2, 15704 Santiago de Compostela, A Coruna, Xi Ban Ya ","Pi Jiu , Yu Shi , Jia Ge , Fan Gan , Zhi Fu , Da Jiao Tang , tapas",https://www.google.com/maps/place/Fonseca+Caf%C3%A9+Bar/data=!4m7!3m6!1s0xd2efe41515f9f81:0xbfd2ddd845013ca4!8m2!3d42.8794222!4d-8.5448796!16s%2Fg%2F1q5bp7w2v!19sChIJgZ9fUUH-Lg0RpDwBRdjd0r8?authuser=0&hl=zh-TW&rclk=1
ChIJE8Br_WbNHg0RQQXStCkiGLo,Cafe Fonseca,,False,154,"Name: Cafe 50
link: https://www.google.com/maps/search/Caf%C3%A9+50/@38.7954289,-9.1874776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: Doce Fidalguinha
link: https://www.google.com/maps/search/Doce+Fidalguinha/@38.7919635,-9.1761961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 95 reviews

Name: Best Of
link: https://www.google.com/maps/search/Best+Of/@38.7914159,-9.194684299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Cafe Sergio
link: https://www.google.com/maps/search/Caf%C3%A9+S%C3%A9rgio/@38.790839399999996,-9.2100397?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews",,Cafe Fonseca (Ye Zhu ),https://www.google.com/maps/contrib/104103842906305809500,https://lh5.googleusercontent.com/p/AF1QipN1qBYN6fhj-Dpnk5E7pHelu8RDDQB0DdxecbU=w408-h408-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,06:30-23:00,Open All Days,+351 969 339 012,"Cafe Fonseca, Rua Norte numero 2, 1675-046 Odivelas, Pu Tao Ya ",Huan Jing ,https://www.google.com/maps/place/Caf%C3%A9+Fonseca/data=!4m7!3m6!1s0xd1ecd66fd6bc013:0xba182229b4d20541!8m2!3d38.7832264!4d-9.2148452!16s%2Fg%2F11fz7lzh7s!19sChIJE8Br_WbNHg0RQQXStCkiGLo?authuser=0&hl=zh-TW&rclk=1
