place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJleUTEzcS5kcRd7u9Kr-fnXk,Creperie Saint Germain,,False,235,"Name: Le Sarrasin
link: https://www.google.com/maps/search/Le+Sarrasin/@48.883113099999996,2.5136146999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 697 reviews

Name: Creperie Chez Jeannine
link: https://www.google.com/maps/search/Cr%C3%AAperie+Chez+Jeannine/@48.929365,2.4791611?authuser=0&hl=zh-TW&entry=ttu
Reviews: 575 reviews

Name: La Malotte
link: https://www.google.com/maps/search/La+Malotte/@48.8961541,2.5148793?authuser=0&hl=zh-TW&entry=ttu
Reviews: 230 reviews

Name: Mange ta crepe
link: https://www.google.com/maps/search/Mange+ta+cr%C3%AApe/@48.883994699999995,2.5353756?authuser=0&hl=zh-TW&entry=ttu
Reviews: 176 reviews

Name: Crepe Time
link: https://www.google.com/maps/search/Cr%C3%AApe+Time/@48.8829028,2.5335490999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://creperie-saint-germain.business.site/,Creperie Saint Germain (Ye Zhu ),https://www.google.com/maps/contrib/101431837240281236828,https://lh5.googleusercontent.com/p/AF1QipNPfqCnPda64k9YvI4977hxFtJnJNF4ml8kvTiT=w426-h240-k-no,Fa Shi Bo Bing Can Ting ,"Fa Shi Bo Bing Can Ting , Fa Guo Can Ting , Wai Mai Zi Qu Can Ting , Can Ting ",4.6,"12:00-14:30, 19:00-21:30","Xing Qi Ri , Xing Qi Yi ",+33 1 43 81 08 70,"Creperie Saint Germain, 18bis Av. Jean Jaures, 93220 Gagny, Fa Guo ","Jia Ge , Liao Li , Xin Qing , Xiao Rong ",https://www.google.com/maps/place/Cr%C3%AAperie+Saint+Germain/data=!4m7!3m6!1s0x47e612371313e595:0x799d9fbf2abdbb77!8m2!3d48.8840417!4d2.5308872!16s%2Fg%2F1tdgzlmb!19sChIJleUTEzcS5kcRd7u9Kr-fnXk?authuser=0&hl=zh-TW&rclk=1
ChIJn9by9TAS5kcRNldke4BW77M,Mange ta crepe,,False,177,"Name: Creperie Saint Germain
link: https://www.google.com/maps/search/Cr%C3%AAperie+Saint+Germain/@48.8840417,2.5308872?authuser=0&hl=zh-TW&entry=ttu
Reviews: 235 reviews

Name: H Burger Et Pizza
link: https://www.google.com/maps/search/H+Burger+Et+Pizza/@48.8989049,2.545143?authuser=0&hl=zh-TW&entry=ttu
Reviews: 205 reviews

Name: Les Saveurs De Gagny
link: https://www.google.com/maps/search/Les+Saveurs+De+Gagny/@48.8828262,2.5259913999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 156 reviews

Name: Chicken Caco
link: https://www.google.com/maps/search/Chicken+Caco/@48.8827697,2.5265152000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 132 reviews

Name: Crepe Time
link: https://www.google.com/maps/search/Cr%C3%AApe+Time/@48.8829028,2.5335490999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.mangetacrepegagny.fr/,Mange ta crepe (Ye Zhu ),https://www.google.com/maps/contrib/117937263046348481848,https://lh5.googleusercontent.com/p/AF1QipOuE-F5S5v69eVTels2-99Esi6wfAATLEswlvsb=w433-h240-k-no,Kuai Can Dian ,"Kuai Can Dian , Fa Shi Bo Bing Can Ting ",4.1,12:00-00:00,Open All Days,+33 1 72 88 70 07,"Mange ta crepe, 1 Rue Jules Guesde, 93220 Gagny, Fa Guo ","Jia Ge , taco, Nai Xi , Tang , Xia Ding , Bing Sha , Su Jiao , Xiao Hai ",https://www.google.com/maps/place/Mange+ta+cr%C3%AApe/data=!4m7!3m6!1s0x47e61230f5f2d69f:0xb3ef56807b645736!8m2!3d48.8839947!4d2.5353756!16s%2Fg%2F11gff69q6n!19sChIJn9by9TAS5kcRNldke4BW77M?authuser=0&hl=zh-TW&rclk=1
ChIJr0OXkLUT5kcR68BEPXziI3s,Cafe La Fayette,,False,61,"Name: La Maison - Bistrot
link: https://www.google.com/maps/search/La+Maison+-+Bistrot/@48.8975254,2.5155977?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1090 reviews

Name: Le Bear's Cafe
link: https://www.google.com/maps/search/Le+Bear%27s+Caf%C3%A9/@48.8930703,2.5126399999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 350 reviews

Name: Le Fontenoy
link: https://www.google.com/maps/search/Le+Fontenoy/@48.8989402,2.5173897999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews

Name: Le Galopin.
link: https://www.google.com/maps/search/Le+Galopin./@48.8967403,2.530771?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: La terrasse
link: https://www.google.com/maps/search/La+terrasse/@48.8966904,2.5307841?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://cafe-la-fayette.lany.io/,Cafe La Fayette (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMZnI1u5XmfurLjrWfW1uF1AKRoW_7CH-a1m0ca=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",3.9,06:30-23:55,Open All Days,+33 9 88 34 65 65,"Cafe La Fayette, 2 Rdpt de Montfermeil, 93340 Le Raincy, Fa Guo ",Jia Ge ,https://www.google.com/maps/place/Caf%C3%A9+La+Fayette/data=!4m7!3m6!1s0x47e613b5909743af:0x7b23e27c3d44c0eb!8m2!3d48.8954846!4d2.5270198!16s%2Fg%2F11c60814bf!19sChIJr0OXkLUT5kcR68BEPXziI3s?authuser=0&hl=zh-TW&rclk=1
ChIJixC1JzES5kcRBIWkSi88Ftc,L'arpei Cafe,,False,57,"Name: Cafe de la Place
link: https://www.google.com/maps/search/Caf%C3%A9+de+la+Place/@48.884259199999995,2.5351345?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews

Name: Le Cafe du Marche
link: https://www.google.com/maps/search/Le+Caf%C3%A9+du+March%C3%A9/@48.8840632,2.5350492?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Bistrot De La Gare
link: https://www.google.com/maps/search/Bistrot+De+La+Gare/@48.883201899999996,2.5276008?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Gagny Cafet
link: https://www.google.com/maps/search/Gagny+Caf%C3%A8t/@48.898495,2.5439906999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Le jour m'aime
link: https://www.google.com/maps/search/Le+jour+m%27aime/@48.8777294,2.5531745?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://www.arpei.fr/arpei-cafe/,L'arpei Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMsBj7gLKsuOPxCrbSrR_esrUt9y8Yx2FfIdDx2=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,09:00-15:00,Xing Qi Ri ,+33 1 43 00 08 95,"L'arpei Cafe, Rue Henri Maillard, 93220 Gagny, Fa Guo ","Jia Ge , Sha La ",https://www.google.com/maps/place/L%27arpei+Caf%C3%A9/data=!4m7!3m6!1s0x47e6123127b5108b:0xd7163c2f4aa48504!8m2!3d48.8851173!4d2.5336765!16s%2Fg%2F11bzz5flb1!19sChIJixC1JzES5kcRBIWkSi88Ftc?authuser=0&hl=zh-TW&rclk=1
ChIJT4Sk9H0R5kcR0O2J9ivQqNU,Cafe du Marche,,False,48,"Name: Le Resto' du marche
link: https://www.google.com/maps/search/Le+Resto%27+du+march%C3%A9/@48.90500120000001,2.5850438?authuser=0&hl=zh-TW&entry=ttu
Reviews: 124 reviews

Name: Yayla
link: https://www.google.com/maps/search/Yayla/@48.898132,2.5534784999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Jaures Cafe
link: https://www.google.com/maps/search/Jaures+Cafe/@48.898362899999995,2.5513049000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://4sq.com/12seavg,Cafe du Marche (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMVk0Beo2rn9dNgf8XLnFN_tqmJv-OLN3sdcqQ=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,06:00-22:00,Open All Days,,"Cafe du Marche, 171 Av. Jean Jaures, 93370 Montfermeil, Fa Guo ",,https://www.google.com/maps/place/Caf%C3%A9+du+March%C3%A9/data=!4m7!3m6!1s0x47e6117df4a4844f:0xd5a8d02bf689edd0!8m2!3d48.898365!4d2.5513313!16s%2Fg%2F11bzz1qsqr!19sChIJT4Sk9H0R5kcR0O2J9ivQqNU?authuser=0&hl=zh-TW&rclk=1
ChIJMx1RAUIT5kcReTj2kWIBcyQ,Le Delice de Gagny,,False,13,"Name: Les Bles D'or
link: https://www.google.com/maps/search/Les+Bl%C3%A9s+D%27or/@48.8748639,2.5448234?authuser=0&hl=zh-TW&entry=ttu
Reviews: 128 reviews

Name: Les Pains de Gagny
link: https://www.google.com/maps/search/Les+Pains+de+Gagny/@48.8836206,2.5360038?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Boulangerie Yakine
link: https://www.google.com/maps/search/Boulangerie+Yakine/@48.8985876,2.5372394?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Au Delices du Chenay
link: https://www.google.com/maps/search/Au+D%C3%A9lices+du+Chenay/@48.8777159,2.5529192?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Amor.
link: https://www.google.com/maps/search/Amor./@48.884463399999994,2.5323966?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",http://ledelicedegagny.eatbu.com/,Le Delice de Gagny (Ye Zhu ),https://www.google.com/maps/contrib/100376363068983100253,https://lh5.googleusercontent.com/p/AF1QipOxn1WhcAJ4l-R77xombmYoGqRaJDJIzs1AOiuN=w408-h816-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Xi Bing Dian , Zhu Gu Li Dian , Xue Gao Dian ",2.4,06:00-21:30,Xing Qi Ri ,,"Le Delice de Gagny, 15 Av. Jean Jaures, 93220 Gagny, Fa Guo ",,https://www.google.com/maps/place/Le+D%C3%A9lice+de+Gagny/data=!4m7!3m6!1s0x47e6134201511d33:0x2473016291f63879!8m2!3d48.8844634!4d2.5323966!16s%2Fg%2F11fncr0j70!19sChIJMx1RAUIT5kcReTj2kWIBcyQ?authuser=0&hl=zh-TW&rclk=1
ChIJj9PFZYkR5kcRf5dkL6t0A2k,Le jour m'aime,,False,7,"Name: L'Abbaye
link: https://www.google.com/maps/search/L%27Abbaye/@48.872980299999995,2.5595239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 130 reviews

Name: Cafe de la Place
link: https://www.google.com/maps/search/Caf%C3%A9+de+la+Place/@48.884259199999995,2.5351345?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews

Name: Le Cafe du Marche
link: https://www.google.com/maps/search/Le+Caf%C3%A9+du+March%C3%A9/@48.8840632,2.5350492?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: L'arpei Cafe
link: https://www.google.com/maps/search/L%27arpei+Caf%C3%A9/@48.8851173,2.5336765?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Crepe Time
link: https://www.google.com/maps/search/Cr%C3%AApe+Time/@48.8829028,2.5335490999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://le-jour-maime-bar-gagny.eatbu.com/%3Flang%3Dfr,Le jour m'aime (Ye Zhu ),https://www.google.com/maps/contrib/100762273851662529222,https://lh5.googleusercontent.com/p/AF1QipNzf5lptFu3TrFiM1DLNAIoNBzDYCtt1WNSEKPI=w438-h240-k-no,Jiu Ba ,"Jiu Ba , Ka Pei Ting , Ka Pei Dian , Xi Ban Ya Xiao Shi Can Ting ",4.7,05:30-20:00,Xing Qi Ri ,+33 6 32 19 18 35,"Le jour m'aime, 1 Pl. Tavarnelle Val di Pesa, 93220 Gagny, Fa Guo ",,https://www.google.com/maps/place/Le+jour+m%27aime/data=!4m7!3m6!1s0x47e6118965c5d38f:0x690374ab2f64977f!8m2!3d48.8777294!4d2.5531745!16s%2Fg%2F11h9yxvr7y!19sChIJj9PFZYkR5kcRf5dkL6t0A2k?authuser=0&hl=zh-TW&rclk=1
ChIJXX35W40R5kcR2BEP7q_F3yA,L'Abbaye,,False,130,"Name: Cafe de la Place
link: https://www.google.com/maps/search/Caf%C3%A9+de+la+Place/@48.884259199999995,2.5351345?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews

Name: Tabac de l'Epoque
link: https://www.google.com/maps/search/Tabac+de+l%27%C3%89poque/@48.8829048,2.5269358?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Le Clemenceau.
link: https://www.google.com/maps/search/Le+Cl%C3%A9menceau./@48.87816050000001,2.5292030999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Le Chavannes
link: https://www.google.com/maps/search/Le+Chavannes/@48.8983156,2.5363827999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: JKL.
link: https://www.google.com/maps/search/JKL./@48.8828971,2.5268672000000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,L'Abbaye (Ye Zhu ),https://www.google.com/maps/contrib/108704867158430319835,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nRsYN1BVM5jN-nidI0sCwg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=119.15061&pitch=0&thumbfov=100,Jiu Ba ,"Jiu Ba , Ka Pei Ting ",4,08:00-20:00,Xing Qi Yi ,+33 9 65 14 39 44,"L'Abbaye, 2 Rue de la Haute Carriere, 93220 Gagny, Fa Guo ","Ting Che Chang , You Xi ",https://www.google.com/maps/place/L%27Abbaye/data=!4m7!3m6!1s0x47e6118d5bf97d5d:0x20dfc5afee0f11d8!8m2!3d48.8729803!4d2.5595239!16s%2Fg%2F1ts_5xby!19sChIJXX35W40R5kcR2BEP7q_F3yA?authuser=0&hl=zh-TW&rclk=1
ChIJB1MNCyES5kcRYobKTnhYgX8,Les Bles D'or,,False,128,"Name: Au Fournil d'Autrefois
link: https://www.google.com/maps/search/Au+Fournil+d%27Autrefois/@48.8744431,2.5586978?authuser=0&hl=zh-TW&entry=ttu
Reviews: 181 reviews

Name: Les Pains de Gagny
link: https://www.google.com/maps/search/Les+Pains+de+Gagny/@48.8836206,2.5360038?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Aux Delices des Abbesses
link: https://www.google.com/maps/search/Aux+D%C3%A9lices+des+Abbesses/@48.8779979,2.5695905999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Les Bles d'Or
link: https://www.google.com/maps/search/Les+Bl%C3%A9s+d%27Or/@48.9098276,2.5500286?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Les Bles D'or
link: https://www.google.com/maps/search/Les+Bles+D%27or/@48.906095799999996,2.5564991?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",,Les Bles D'or (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM7Gr89dC-4gmkSwarpYFbYdrga3A4NOemBPXRp=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4,07:00-20:30,Open All Days,,"Les Bles D'or, 26 Pl. des Fetes, 93220 Gagny, Fa Guo ","Dian Yuan , Jia Ge , Fa Guo Mian Bao , Ping Jun ",https://www.google.com/maps/place/Les+Bl%C3%A9s+D%27or/data=!4m7!3m6!1s0x47e612210b0d5307:0x7f8158784eca8662!8m2!3d48.8748639!4d2.5448234!16s%2Fg%2F11f53tygnx!19sChIJB1MNCyES5kcRYobKTnhYgX8?authuser=0&hl=zh-TW&rclk=1
ChIJBzHaHsUT5kcR6ed-q0iM9J0,Les gourmandises du Portugal,,False,103,"Name: Doce portugues
link: https://www.google.com/maps/search/Doce+portugues/@48.951042,2.602279?authuser=0&hl=zh-TW&entry=ttu
Reviews: 424 reviews

Name: Yorem Patisserie
link: https://www.google.com/maps/search/Y%C3%B6rem+P%C3%A2tisserie/@48.8987798,2.5458425?authuser=0&hl=zh-TW&entry=ttu
Reviews: 132 reviews

Name: Les Pains de Gagny
link: https://www.google.com/maps/search/Les+Pains+de+Gagny/@48.8836206,2.5360038?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Le Delice de Gagny
link: https://www.google.com/maps/search/Le+D%C3%A9lice+de+Gagny/@48.884463399999994,2.5323966?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: CHEZ LIZ
link: https://www.google.com/maps/search/CHEZ+LIZ/@48.8831731,2.5376961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Les gourmandises du Portugal (Ye Zhu ),https://www.google.com/maps/contrib/100562448827241520507,https://lh5.googleusercontent.com/p/AF1QipMwTm7D_QKVYPXN4C0jhTDYYftmFWoarStNuAMO=w408-h306-k-no,Cha Yi Guan ,Cha Yi Guan ,4.6,08:00-19:00,Xing Qi Yi ,+33 1 80 62 64 34,"Les gourmandises du Portugal, 3 Rue Tainturier, 93220 Gagny, Fa Guo ","Gao , Jia Ge , Mian Bao Dian , Yin Shi , Zhong Wu , Nai You , Tuan Dui ",https://www.google.com/maps/place/Les+gourmandises+du+Portugal/data=!4m7!3m6!1s0x47e613c51eda3107:0x9df48c48ab7ee7e9!8m2!3d48.883687!4d2.535053!16s%2Fg%2F11pf29wqjv!19sChIJBzHaHsUT5kcR6ed-q0iM9J0?authuser=0&hl=zh-TW&rclk=1
