place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJv40R2o_r3TsRaTAw34Utgf4,Cafe Creme,,False,689,"Name: Cafe Creme - Indiranagar
link: https://www.google.com/maps/search/Cafe+Creme+-+Indiranagar/@19.974850099999998,73.7878806?authuser=0&hl=zh-TW&entry=ttu
Reviews: 594 reviews

Name: Cafe' Xpress
link: https://www.google.com/maps/search/Cafe%27+Xpress/@20.0062297,73.7625395?authuser=0&hl=zh-TW&entry=ttu
Reviews: 426 reviews

Name: Pokket Cafe
link: https://www.google.com/maps/search/Pokket+Cafe/@20.0096341,73.765073?authuser=0&hl=zh-TW&entry=ttu
Reviews: 256 reviews

Name: The Mocktail Cafe
link: https://www.google.com/maps/search/The+Mocktail+Cafe/@20.0052976,73.77597349999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 223 reviews",http://www.cafecreme.co.in/,Cafe Creme (Ye Zhu ),https://www.google.com/maps/contrib/110427512801347394837,https://lh5.googleusercontent.com/p/AF1QipMhaOp6_eEOTzALSiQ8srJTSXavOtM_LVGkHJ9D=w480-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Kuai Can Dian , Xue Gao Dian ",4.2,10:00-22:30,Open All Days,+91 99235 00637,"Cafe Creme, Shop No 1, Shiv Parvati Bunglow, Opposite Sur Hotel Jehan Circle Gangapur Road, Lane Number 2, Uday Nagar, Nashik, Maharashtra 422005Yin Du ","Qiao Ke Li , Jing Yan , Qian , Pin Zhi , Xue Yuan , Nai Xi , Yuan , Xing Wei , Ke Fu ",https://www.google.com/maps/place/Cafe+Creme/data=!4m7!3m6!1s0x3bddeb8fda118dbf:0xfe812d85df303069!8m2!3d20.0122283!4d73.7570929!16s%2Fg%2F11b6_n594c!19sChIJv40R2o_r3TsRaTAw34Utgf4?authuser=0&hl=zh-TW&rclk=1
ChIJq98mkJ_r3TsREK4iDOSWKJU,Pokket Cafe,,False,256,"Name: Cafe Creme
link: https://www.google.com/maps/search/Cafe+Creme/@20.0122283,73.7570929?authuser=0&hl=zh-TW&entry=ttu
Reviews: 689 reviews

Name: Pokket cafe College Road
link: https://www.google.com/maps/search/Pokket+cafe+College+Road/@20.0051587,73.76335329999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 586 reviews

Name: The Mocktail Cafe
link: https://www.google.com/maps/search/The+Mocktail+Cafe/@20.0052976,73.77597349999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 223 reviews

Name: Wraps Katta cafe canvas
link: https://www.google.com/maps/search/Wraps+Katta+cafe+canvas/@20.0060209,73.76633629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: Cafe black spoon
link: https://www.google.com/maps/search/Cafe+black+spoon/@20.0096405,73.7652066?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews",https://website--5079204633344473946220-cafe.business.site/,Pokket Cafe (Ye Zhu ),https://www.google.com/maps/contrib/104591563195623635113,https://lh5.googleusercontent.com/p/AF1QipPJFx-VIIViKlyWJMy9vWRcbBmsZjZBNd1O2yDB=w480-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4,10:00-22:00,Open All Days,+91 74477 67379,"Pokket Cafe, Shop No 7/8 Sancheti apt. Beside Swastik Croporation Vidya Vikas Circule, Gangapur Rd, Nashik, Maharashtra 422005Yin Du ","Yin Le , Sheng Ri , Shu Tiao , Pi Sa , San Ming Zhi ",https://www.google.com/maps/place/Pokket+Cafe/data=!4m7!3m6!1s0x3bddeb9f9026dfab:0x952896e40c22ae10!8m2!3d20.0096341!4d73.765073!16s%2Fg%2F11gtgdwmbn!19sChIJq98mkJ_r3TsREK4iDOSWKJU?authuser=0&hl=zh-TW&rclk=1
ChIJiYuoZofr3TsRw8Rtnlgfj8Q,Cafe Durga,,False,193,"Name: COFFEE CLUB NX
link: https://www.google.com/maps/search/COFFEE+CLUB+NX/@20.006447899999998,73.7656765?authuser=0&hl=zh-TW&entry=ttu
Reviews: 732 reviews

Name: Pokket cafe College Road
link: https://www.google.com/maps/search/Pokket+cafe+College+Road/@20.0051587,73.76335329999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 586 reviews

Name: Cafe Panchayat
link: https://www.google.com/maps/search/Cafe+Panchayat/@20.0061398,73.76506359999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 437 reviews

Name: Cafe' Xpress
link: https://www.google.com/maps/search/Cafe%27+Xpress/@20.0062297,73.7625395?authuser=0&hl=zh-TW&entry=ttu
Reviews: 426 reviews",http://www.durgacafe.com/,Cafe Durga (Ye Zhu ),https://www.google.com/maps/contrib/107449566105413260032,https://lh5.googleusercontent.com/p/AF1QipOV5ZaxBwJG0TGQ6ukOCC44NEX5ZUl9xy17437S=w533-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,07:30-23:00,Open All Days,,"Shop No. 3, Cafe Durga, Cuboid Business Centre, College Rd, Krishi Nagar, Nashik, Maharashtra 422005Yin Du ","Jing Yan , San Ming Zhi , atmosphere, Jia Ting , Shi Wu Pin Zhi , Ju Hui , Pi Sa , Lu ",https://www.google.com/maps/place/Cafe+Durga/data=!4m7!3m6!1s0x3bddeb8766a88b89:0xc48f1f589e6dc4c3!8m2!3d20.0064999!4d73.7595027!16s%2Fg%2F11sbzc4mc5!19sChIJiYuoZofr3TsRw8Rtnlgfj8Q?authuser=0&hl=zh-TW&rclk=1
ChIJsSuASsrr3TsRxxc23oxoTa0,Four Lost Cats,,False,163,"Name: All That's Coffee
link: https://www.google.com/maps/search/All+That%27s+Coffee/@20.011184200000002,73.7583239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews

Name: Katappa Chaha
link: https://www.google.com/maps/search/Katappa+Chaha/@20.0087506,73.7669145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews",http://fourlostcats.com/,Four Lost Cats (Ye Zhu ),https://www.google.com/maps/contrib/113268755853097601476,https://lh5.googleusercontent.com/p/AF1QipM_qN_PwfPej3Fr_svW5jPeamof5mOABBvWkPTn=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,09:00-23:00,Open All Days,+91 253 403 5695,"Four Lost Cats, Plot no. 14, Ajinkyatara building, D.K. nagar Swani Vivekanand marg, Gangapur Rd, Nashik, Maharashtra 422013Yin Du ","Mei Gan , San Ming Zhi , atmosphere, Qi Si , Jing Yan , Ke Ai , Zhuang Xiu , Gu , Wei Sheng ",https://www.google.com/maps/place/Four+Lost+Cats/data=!4m7!3m6!1s0x3bddebca4a802bb1:0xad4d688cde3617c7!8m2!3d20.0176084!4d73.7634571!16s%2Fg%2F11scjs1y8l!19sChIJsSuASsrr3TsRxxc23oxoTa0?authuser=0&hl=zh-TW&rclk=1
ChIJMwHnCS_s3TsRlMOmxrxY3hk,Diony's Bistro & Lounge,,False,158,"Name: The FRIENDS Bistro
link: https://www.google.com/maps/search/The+FRIENDS+Bistro/@20.0044804,73.7665701?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1324 reviews

Name: Cafe Bliss
link: https://www.google.com/maps/search/Cafe+Bliss/@20.0133272,73.7562088?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1078 reviews

Name: The Sidewalk at BLVD Nashik
link: https://www.google.com/maps/search/The+Sidewalk+at+BLVD+Nashik/@19.991515000000003,73.7436876?authuser=0&hl=zh-TW&entry=ttu
Reviews: 693 reviews

Name: Darling's Cafe
link: https://www.google.com/maps/search/Darling%27s+Cafe/@20.011706699999998,73.7567954?authuser=0&hl=zh-TW&entry=ttu
Reviews: 111 reviews

Name: DIVYAPRADNYA GENERAL STORE
link: https://www.google.com/maps/search/DIVYAPRADNYA+GENERAL+STORE/@20.0311159,73.7165632?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://dionys-bistro-lounge.business.site/,Diony's Bistro & Lounge (Ye Zhu ),https://www.google.com/maps/contrib/115215087464367544877,https://lh5.googleusercontent.com/p/AF1QipMv4f9qzsBZziBqMcn67R8r2hA_qPrAgWX-eNpB=w408-h725-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Can Ting ",4.1,13:00-23:30,Open All Days,+91 253 223 0666,"Diony's Bistro & Lounge, Ashok Astoria, Gangapur Road, Nashik, Govardhan, Maharashtra 422003Yin Du ","Fen Wei , Shi Wu Pin Zhi , Su Shi , Jing Yan ",https://www.google.com/maps/place/Diony%27s+Bistro+%26+Lounge/data=!4m7!3m6!1s0x3bddec2f09e70133:0x19de58bcc6a6c394!8m2!3d20.0295257!4d73.7102981!16s%2Fg%2F11g9wb06fm!19sChIJMwHnCS_s3TsRlMOmxrxY3hk?authuser=0&hl=zh-TW&rclk=1
ChIJ5UhFHOLt3TsROfUHnfrkB7o,Ki & Ka Cafe,,False,143,"Name: Cafe Tus Nua
link: https://www.google.com/maps/search/Cafe+Tus+Nua/@19.968455499999997,73.6670111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 412 reviews

Name: The Cafe Katta
link: https://www.google.com/maps/search/The+Cafe+Katta/@19.9903489,73.72687690000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 373 reviews

Name: Wraps Katta cafe canvas
link: https://www.google.com/maps/search/Wraps+Katta+cafe+canvas/@20.0060209,73.76633629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: Canvas Cafe
link: https://www.google.com/maps/search/Canvas+Cafe/@20.012319299999998,73.7667178?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: KK's Cafeteria
link: https://www.google.com/maps/search/KK%27s+Cafeteria/@20.0064639,73.762267?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://ki-ka-cafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Ki & Ka Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115869913806837904233,https://lh5.googleusercontent.com/p/AF1QipOn2gjcIId4HNR6B9k8TOAGNco-mLhSEiIn3wf3=w408-h543-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,10:00-22:00,Open All Days,+91 80073 65020,"Ki & Ka Cafe, Besides York Wines, Sula Wine Road, Gangawahre, Gangapur-Savargaon Rd, Nashik, Maharashtra 422222Yin Du ","Jia Ting , Ba , Jing Yan ",https://www.google.com/maps/place/Ki+%26+Ka+Cafe/data=!4m7!3m6!1s0x3bddede21c4548e5:0xba07e4fa9d07f539!8m2!3d20.0187105!4d73.6736663!16s%2Fg%2F11kx6k57n2!19sChIJ5UhFHOLt3TsROfUHnfrkB7o?authuser=0&hl=zh-TW&rclk=1
ChIJx_kepqbr3TsR_yVACDvOL4E,GALAXY CYBER CAFE,,False,137,"Name: Lucky Cyber Cafe And Game Zone
link: https://www.google.com/maps/search/Lucky+Cyber+Cafe+And+Game+Zone/@20.0059313,73.7637472?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Nashik Cyber Cafe ( aaple srkaar sevaa keNdr ( setu ) , kuriyr , inshurns poNlisiiN
link: https://www.google.com/maps/search/Nashik+Cyber+Cafe+%28+%E0%A4%86%E0%A4%AA%E0%A4%B2%E0%A5%87+%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0+%E0%A4%B8%E0%A5%87%E0%A4%B5%E0%A4%BE+%E0%A4%95%E0%A5%87%E0%A4%82%E0%A4%A6%E0%A5%8D%E0%A4%B0+%28+%E0%A4%B8%E0%A5%87%E0%A4%A4%E0%A5%81+%29+%2C+%E0%A4%95%E0%A5%81%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A4%B0+%2C+%E0%A4%87%E0%A4%A8%E0%A5%8D%E0%A4%B6%E0%A5%81%E0%A4%B0%E0%A4%A8%E0%A5%8D%E0%A4%B8+%E0%A4%AA%E0%A5%89%E0%A4%B2%E0%A4%BF%E0%A4%B8%E0%A5%80%E0%A4%82/@20.0109744,73.7963293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Riya Cyber Cafe
link: https://www.google.com/maps/search/Riya+Cyber+Cafe/@20.0056406,73.7667122?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: Yash Cyber Cafe
link: https://www.google.com/maps/search/Yash+Cyber+Cafe/@20.0003456,73.7819748?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Shree Cyber Cafe
link: https://www.google.com/maps/search/Shree+Cyber+Cafe/@19.980444,73.798344?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",https://galaxycybercafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,GALAXY CYBER CAFE (Ye Zhu ),https://www.google.com/maps/contrib/112716840852970263670,https://lh5.googleusercontent.com/p/AF1QipP6ZE5fvnqDtydMu-14Nl3_6AI_Ke6H8PACPRmU=w408-h288-k-no,Wang Ba ,"Wang Ba , Dian Nao Wei Xiu Fu Wu , Dian Nao Zhuan Men Dian , Zi Liao Shu Ru Fu Wu , You Xi Dian , Hu Lian Wang Fu Wu Gong Ying Shang , Pai Zhao Ju , Yin Shua Dian ",4.6,09:00-21:00,Open All Days,+91 99603 34909,"GALAXY CYBER CAFE, Unity Campus, Gangapur Rd, opposite K.T.H.M. College, Police Staff Colony, Nashik, Maharashtra 422005Yin Du ","Biao Dan , Ying Yong , Zhi Shi , Kao Shi , Mi Ma , Jing Yan ",https://www.google.com/maps/place/GALAXY+CYBER+CAFE/data=!4m7!3m6!1s0x3bddeba6a61ef9c7:0x812fce3b084025ff!8m2!3d20.005598!4d73.777951!16s%2Fg%2F11b6_th224!19sChIJx_kepqbr3TsR_yVACDvOL4E?authuser=0&hl=zh-TW&rclk=1
ChIJnTlsECjr3TsRLZH3Y_J84Ec,Little Comets Cafe,,False,134,"Name: Pokket cafe College Road
link: https://www.google.com/maps/search/Pokket+cafe+College+Road/@20.0051587,73.76335329999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 586 reviews

Name: Salim tea stall
link: https://www.google.com/maps/search/Salim+tea+stall/@20.0047207,73.7632091?authuser=0&hl=zh-TW&entry=ttu
Reviews: 348 reviews

Name: Pokket Cafe
link: https://www.google.com/maps/search/Pokket+Cafe/@20.0096341,73.765073?authuser=0&hl=zh-TW&entry=ttu
Reviews: 256 reviews

Name: Paradise Cafe
link: https://www.google.com/maps/search/Paradise+Cafe/@20.0096331,73.7650397?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",http://littlecometscafe.com/,Little Comets Cafe (Ye Zhu ),https://www.google.com/maps/contrib/105234344329121799403,https://lh5.googleusercontent.com/p/AF1QipNS0qkYR8VRJVyqEFr9va0ErA9sDOtBv5wKwiCF=w408-h408-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,11:00-22:00,Open All Days,,"Little Comets Cafe, Gangapur Rd, near old gangapur naka, next to shagun dining hall, Shreerang Nagar, Nashik, Maharashtra 422005Yin Du ","Zhen Zhu , Jing Yan , Jia Ge , San Ming Zhi , Cheng Ben , Xi Gua , Yi Da Li Mian ",https://www.google.com/maps/place/Little+Comets+Caf%C3%A9/data=!4m7!3m6!1s0x3bddeb28106c399d:0x47e07cf263f7912d!8m2!3d20.0084608!4d73.7693411!16s%2Fg%2F11tg6y5ztt!19sChIJnTlsECjr3TsRLZH3Y_J84Ec?authuser=0&hl=zh-TW&rclk=1
ChIJH-AWA23t3TsRYjbUEf8xw2w,Darling's Cafe,,False,111,"Name: Cafe Bliss
link: https://www.google.com/maps/search/Cafe+Bliss/@20.0133272,73.7562088?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1078 reviews

Name: The Sidewalk at BLVD Nashik
link: https://www.google.com/maps/search/The+Sidewalk+at+BLVD+Nashik/@19.991515000000003,73.7436876?authuser=0&hl=zh-TW&entry=ttu
Reviews: 693 reviews

Name: Cafe Coffee Day
link: https://www.google.com/maps/search/Caf%C3%A9+Coffee+Day/@19.9934275,73.7496243?authuser=0&hl=zh-TW&entry=ttu
Reviews: 671 reviews

Name: Chai Tapri (only members)
link: https://www.google.com/maps/search/Chai+Tapri+%28only+members%29/@20.000405,73.7395986?authuser=0&hl=zh-TW&entry=ttu
Reviews: 458 reviews

Name: The Cafe Katta
link: https://www.google.com/maps/search/The+Cafe+Katta/@19.9903489,73.72687690000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 373 reviews",http://darlings.in/,Darling's Cafe (Ye Zhu ),https://www.google.com/maps/contrib/115693112439806472238,https://lh5.googleusercontent.com/p/AF1QipPF1xjoB04bDYNbcmktrG8hS_eVdi6rBkuk_hBK=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,09:30-22:00,Open All Days,+91 253 406 3459,"5th floor, Tristarcomplex, Darling's Cafe, Jehan Circle, Gangapur Rd, D'souza Colony, Nashik, Maharashtra 422013Yin Du ","Chou Yan , San Ming Zhi , Bang Wan ",https://www.google.com/maps/place/Darling%27s+Cafe/data=!4m7!3m6!1s0x3bdded6d0316e01f:0x6cc331ff11d43662!8m2!3d20.0117067!4d73.7567954!16s%2Fg%2F11mr29lnd3!19sChIJH-AWA23t3TsRYjbUEf8xw2w?authuser=0&hl=zh-TW&rclk=1
ChIJ3bx9gqzr3TsRyeEIEiZzzBk,Cafe D Crush,,False,81,"Name: Cafe Creme
link: https://www.google.com/maps/search/Cafe+Creme/@20.0122283,73.7570929?authuser=0&hl=zh-TW&entry=ttu
Reviews: 689 reviews

Name: Cafe Essence
link: https://www.google.com/maps/search/Cafe+Essence/@20.0120164,73.767915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 279 reviews

Name: Cafe rainbow unicorn
link: https://www.google.com/maps/search/Cafe+rainbow+unicorn/@20.008779300000004,73.7640105?authuser=0&hl=zh-TW&entry=ttu
Reviews: 226 reviews

Name: Hangout cafe
link: https://www.google.com/maps/search/Hangout+cafe/@20.0064352,73.7620783?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews",https://www.facebook.com/D-Crush-Cafe-Resto-4141-310740532851264/,Cafe D Crush (Ye Zhu ),https://www.google.com/maps/contrib/107927761416055581325,https://lh5.googleusercontent.com/p/AF1QipMS_ipoK00t1ZoqXvlVjAp3cnOuCAk5dJ6twLul=w493-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,09:00-22:00,Open All Days,+91 85307 04141,"Cafe D Crush, Shop no 2, B - Wing, Archit Vihar, Gangapur Rd, opposite Dr Pritesh Junagade Lotus Hospital, Nashik, Maharashtra 422013Yin Du ",,https://www.google.com/maps/place/Cafe+D+Crush/data=!4m7!3m6!1s0x3bddebac827dbcdd:0x19cc73261208e1c9!8m2!3d20.0119633!4d73.7679066!16s%2Fg%2F11gxmvsz04!19sChIJ3bx9gqzr3TsRyeEIEiZzzBk?authuser=0&hl=zh-TW&rclk=1
