place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJeSBWT-AMBwcRpu-mrypAP_w,Chocolate Sete Colinas,,False,3094,"Name: Imperio do Cafe
link: https://www.google.com/maps/search/Imp%C3%A9rio+do+Caf%C3%A9/@-8.8841345,-36.4810697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 202 reviews

Name: Cacau Show
link: https://www.google.com/maps/search/Cacau+Show/@-8.891795499999999,-36.494826?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Nam Chocolates
link: https://www.google.com/maps/search/Nam+Chocolates/@-8.8811933,-36.4770991?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Chocolate Lugano Garanhuns
link: https://www.google.com/maps/search/Chocolate+Lugano+Garanhuns/@-8.8843587,-36.4812758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: chocolate erikas
link: https://www.google.com/maps/search/chocolate+erikas/@-8.8913013,-36.4831182?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.chocolatesetecolinas.com.br/,Chocolate Sete Colinas (Ye Zhu ),https://www.google.com/maps/contrib/111037092525791351172,https://lh5.googleusercontent.com/p/AF1QipPb17j89lprSwmzBUeFcszpCLgqYQV68IYtKqAZ=w408-h305-k-no,Zhu Gu Li Dian ,"Zhu Gu Li Dian , Tang Guo Dian , Li He Zhuan Mai Dian , Li Pin Dian , Xian Bing Dian , Xiao Shi /Ling Shi Ba , Ji Nian Pin Shang Dian ",4.5,09:30-19:00,Open All Days,+55 87 3761-2530,"Chocolate Sete Colinas - R. Ernesto Dourado, 582 - Heliopolis, Garanhuns - PE, 55296-280Ba Xi ","Lu You , Pai , Tai Shi , Zhuang Xiu ",https://www.google.com/maps/place/Chocolate+Sete+Colinas/data=!4m7!3m6!1s0x7070ce04f562079:0xfc3f402aafa6efa6!8m2!3d-8.8877455!4d-36.4818003!16s%2Fg%2F1ptvvj28n!19sChIJeSBWT-AMBwcRpu-mrypAP_w?authuser=0&hl=zh-TW&rclk=1
ChIJyb0mLt4MBwcRook_SSWGEjg,Republic - Coffee and Beer,,False,1018,"Name: Area Cafeteria
link: https://www.google.com/maps/search/%C3%81rea+Cafeteria/@-8.8929675,-36.4924921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 202 reviews

Name: Imperio do Cafe
link: https://www.google.com/maps/search/Imp%C3%A9rio+do+Caf%C3%A9/@-8.8841345,-36.4810697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 202 reviews

Name: Coffeeciencia Cafeteria
link: https://www.google.com/maps/search/Coffeeci%C3%AAncia+Cafeteria/@-8.888812,-36.489788499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Cafe Cupido
link: https://www.google.com/maps/search/Caf%C3%A9+Cupido/@-8.88184,-36.4602915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews",http://facebook.com/republicadocafe,Republic - Coffee and Beer (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMVNC2Sq34HvW3aZdnm7_qYuNb7D7-VSMnANCLL=w408-h271-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,09:00-22:00,Open All Days,+55 87 99819-6067,"Republic - Coffee and Beer - Av. Rui Barbosa, 522 - Heliopolis, Garanhuns - PE, 55296-230Ba Xi ","Huan Jing , Pai , Ke Ke , Xiao Chi , Guo Jiang , Zhuo , Yin Le , Hui Yi , Bing Qi Lin ",https://www.google.com/maps/place/Republic+-+Coffee+and+Beer/data=!4m7!3m6!1s0x7070cde2e26bdc9:0x38128625493f89a2!8m2!3d-8.8849607!4d-36.4828971!16s%2Fg%2F11c5xw69tq!19sChIJyb0mLt4MBwcRook_SSWGEjg?authuser=0&hl=zh-TW&rclk=1
ChIJ6cVxoOAMBwcRiLDIJup6ug8,MERCEARIA RUI BARBOSA DELICATESSEN,,False,983,"Name: D'Trigos
link: https://www.google.com/maps/search/D%27Trigos/@-8.8846135,-36.482773?authuser=0&hl=zh-TW&entry=ttu
Reviews: 337 reviews

Name: Imperio do Cafe
link: https://www.google.com/maps/search/Imp%C3%A9rio+do+Caf%C3%A9/@-8.8841345,-36.4810697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 202 reviews

Name: Padaria Art Pan
link: https://www.google.com/maps/search/Padaria+Art+Pan/@-8.87942,-36.476631?authuser=0&hl=zh-TW&entry=ttu
Reviews: 179 reviews

Name: Panificadora Delicatessen Garanhuns
link: https://www.google.com/maps/search/Panificadora+Delicatessen+Garanhuns/@-8.903713,-36.487376?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Novo Paladar Delicatessen
link: https://www.google.com/maps/search/Novo+Paladar+Delicatessen/@-8.883287,-36.4738926?authuser=0&hl=zh-TW&entry=ttu
Reviews: 110 reviews",https://www.facebook.com/pg/merceariaruibarbosadelicatessen/about/,MERCEARIA RUI BARBOSA DELICATESSEN (Ye Zhu ),https://www.google.com/maps/contrib/112281787378608513132,https://lh5.googleusercontent.com/p/AF1QipMytwMZk8bVXWeoIOhReZSYc1Cdep5F2Kbye90p=w425-h240-k-no,Shou Shi Dian ,"Shou Shi Dian , Mian Bao Xi Bing Dian , Fan He Gong Ying Shang , Ba Xi Zha Bing Can Ting , Xi Bing Dian , Tang Guo Dian , Ka Pei Dian , Can Ting , Pu Tao Jiu Ba ",4.4,06:30-21:00,Open All Days,+55 87 3762-6667,"MERCEARIA RUI BARBOSA DELICATESSEN - Av. Rui Barbosa, 400 - Heliopolis, Garanhuns - PE, 55296-300Ba Xi ","Chan Pin , Ka Pei , Zhu Can , Wu Can , Ke Ke , Zu Zhi ",https://www.google.com/maps/place/MERCEARIA+RUI+BARBOSA+DELICATESSEN/data=!4m7!3m6!1s0x7070ce0a071c5e9:0xfba7aea26c8b088!8m2!3d-8.885568!4d-36.4837896!16s%2Fg%2F11dzvhp6cp!19sChIJ6cVxoOAMBwcRiLDIJup6ug8?authuser=0&hl=zh-TW&rclk=1
ChIJYZTuuCANBwcRU3iknMWh44o,Recanto Paulista Bar e Restaurante - Garanhuns,,False,659,"Name: Bebelu Sanduiches
link: https://www.google.com/maps/search/Bebelu+Sandu%C3%ADches/@-8.88628,-36.4869998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 933 reviews

Name: Chez Pascal
link: https://www.google.com/maps/search/Chez+Pascal/@-8.8832272,-36.4800809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 434 reviews

Name: Hox Steakhouse - ROQUIS
link: https://www.google.com/maps/search/Hox+Steakhouse+-+ROQUIS/@-8.8820607,-36.4787779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 348 reviews

Name: Recanto da Tapioca
link: https://www.google.com/maps/search/Recanto+da+Tapioca/@-8.9052775,-36.48643990000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Restaurante paulista
link: https://www.google.com/maps/search/Restaurante+paulista/@-8.861842,-36.483202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.instagram.com/barrecantopaulista/,Recanto Paulista Bar e Restaurante - Garanhuns (Ye Zhu ),https://www.google.com/maps/contrib/102928814578558500324,https://lh5.googleusercontent.com/p/AF1QipP7Unfc8Vod8JL9KmcKJxOVuEmZw-z7gCWhQS9G=w408-h261-k-no,Jiu Ba ,"Jiu Ba , Pi Jiu Hua Yuan , Ba Xi Zha Bing Can Ting , Ka Pei Dian , Han Bao Can Ting , Ye Zong Hui , Can Ting , Zhong Dong San Jiao Su Bing Can Ting , Xi Ban Ya Xiao Shi Jiu Ba ",4.6,11:00-00:30,Open All Days,+55 87 99659-0727,"Recanto Paulista Bar e Restaurante - Garanhuns - Av. Euclides Dourado, 358 - Heliopolis, Garanhuns - PE, 55295-610 - Heliopolis, Garanhuns - PE, 55296-500Ba Xi ","Qian Cai , Fen Wei , Zhuang Xiu , Mian Tuan , Pin Wei , She Ying ",https://www.google.com/maps/place/Recanto+Paulista+Bar+e+Restaurante+-+Garanhuns/data=!4m7!3m6!1s0x7070d20b8ee9461:0x8ae3a1c59ca47853!8m2!3d-8.8820783!4d-36.4784831!16s%2Fg%2F11c6cg2qr0!19sChIJYZTuuCANBwcRU3iknMWh44o?authuser=0&hl=zh-TW&rclk=1
ChIJqcV0LmENBwcRqf15XMJh1yw,"AosCafuis - Cafe, Pao & Vinho",,False,204,"Name: Chez Pascal
link: https://www.google.com/maps/search/Chez+Pascal/@-8.8832272,-36.4800809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 434 reviews

Name: Area Cafeteria
link: https://www.google.com/maps/search/%C3%81rea+Cafeteria/@-8.8929675,-36.4924921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 202 reviews

Name: Cafe Luiza
link: https://www.google.com/maps/search/Caf%C3%A9+Luiza/@-8.890891800000002,-36.4943086?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews",http://aoscafuis-cafe-pao-vinho.negocio.site/,"AosCafuis - Cafe, Pao & Vinho (Ye Zhu )",https://www.google.com/maps/contrib/117936176735042166584,https://lh5.googleusercontent.com/p/AF1QipOPVv-vfKVjlleGITREqqguThRzD2Oju3cNhe6C=w427-h240-k-no,Can Ting ,"Can Ting , Ji Wei Jiu Jiu Ba , Ka Pei Dian ",4.6,,Open All Days,+55 87 98109-8371,"AosCafuis - Cafe, Pao & Vinho - Av. Goncalves Maia, 46 - Heliopolis, Garanhuns - PE, 55296-270Ba Xi ","Huan Jing , Jia Ge , Zhuang Xiu , Yin Le , Pi Jiu ","https://www.google.com/maps/place/AosCafuis+-+Caf%C3%A9,+P%C3%A3o+%26+Vinho/data=!4m7!3m6!1s0x7070d612e74c5a9:0x2cd761c25c79fda9!8m2!3d-8.8860494!4d-36.4807403!16s%2Fg%2F11g20hpxld!19sChIJqcV0LmENBwcRqf15XMJh1yw?authuser=0&hl=zh-TW&rclk=1"
ChIJ__8rb-4MBwcRC14u21d8oWs,Cacau Show,,False,82,"Name: Chocolate Sete Colinas
link: https://www.google.com/maps/search/Chocolate+Sete+Colinas/@-8.8877455,-36.481800299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3088 reviews

Name: Floricultura Jardim das Colinas
link: https://www.google.com/maps/search/Floricultura+Jardim+das+Colinas/@-8.8928653,-36.4950062?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Chocolate Lugano Garanhuns
link: https://www.google.com/maps/search/Chocolate+Lugano+Garanhuns/@-8.8843587,-36.4812758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: chocolate erikas
link: https://www.google.com/maps/search/chocolate+erikas/@-8.8913013,-36.4831182?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Emporio do Chocolate
link: https://www.google.com/maps/search/Emp%C3%B3rio+do+Chocolate/@-8.8974878,-36.497527999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.cacaushow.com.br/,Cacau Show (Ye Zhu ),https://www.google.com/maps/contrib/117136147740209627987,https://lh5.googleusercontent.com/p/AF1QipO4KNi2NQhR3qtT2rW1Ee-XDmuuyw44VWFwN4Cm=w426-h240-k-no,Qiao Ke Li Gong Chang ,"Qiao Ke Li Gong Chang , Tang Guo Dian , Qiao Ke Li Gong Jiang , Ka Pei Dian , Xue Gao Dian ",4.4,09:00-18:00,Xing Qi Ri ,+55 87 3762-2390,"Cacau Show - R. Dom Jose, 70 - Santo Antonio, Garanhuns - PE, 55293-120Ba Xi ",,https://www.google.com/maps/place/Cacau+Show/data=!4m7!3m6!1s0x7070cee6f2bffff:0x6ba17c57db2e5e0b!8m2!3d-8.8917955!4d-36.494826!16s%2Fg%2F11ggpl7cbm!19sChIJ__8rb-4MBwcRC14u21d8oWs?authuser=0&hl=zh-TW&rclk=1
ChIJd5xAMd4MBwcR3WpGj2G70-Q,Cacau Show,,False,74,"Name: Chocolate Sete Colinas
link: https://www.google.com/maps/search/Chocolate+Sete+Colinas/@-8.8877455,-36.481800299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3088 reviews

Name: CVC Loja Garanhuns
link: https://www.google.com/maps/search/CVC+Loja+Garanhuns/@-8.885013899999999,-36.4828723?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews

Name: Chocolate Lugano Garanhuns
link: https://www.google.com/maps/search/Chocolate+Lugano+Garanhuns/@-8.8843587,-36.4812758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: O Boticario
link: https://www.google.com/maps/search/O+Botic%C3%A1rio/@-8.8851731,-36.4830922?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: chocolate erikas
link: https://www.google.com/maps/search/chocolate+erikas/@-8.8913013,-36.4831182?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.cacaushow.com.br/,Cacau Show (Ye Zhu ),https://www.google.com/maps/contrib/117472833527185534855,https://lh5.googleusercontent.com/p/AF1QipONG4QHYz3ShfSkgjfSD0-tpUcQegjBTGHmBmou=w426-h240-k-no,Qiao Ke Li Gong Chang ,"Qiao Ke Li Gong Chang , Tang Guo Dian , Qiao Ke Li Gong Jiang , Ka Pei Dian , Xue Gao Dian ",4.4,09:00-19:00,Xing Qi Ri ,+55 87 3763-3486,"Cacau Show - Av. Rui Barbosa, 561 - Heliopolis, Garanhuns - PE, 55295-530Ba Xi ",,https://www.google.com/maps/place/Cacau+Show/data=!4m7!3m6!1s0x7070cde31409c77:0xe4d3bb618f466add!8m2!3d-8.884536!4d-36.4827334!16s%2Fg%2F11cn06q9kn!19sChIJd5xAMd4MBwcR3WpGj2G70-Q?authuser=0&hl=zh-TW&rclk=1
ChIJaWji--0NBwcRYw4Hjz6TLO8,A.E padaria e lanchonete,,False,72,"Name: Bread & Co.
link: https://www.google.com/maps/search/Bread+%26+Co./@-8.887877,-36.489958?authuser=0&hl=zh-TW&entry=ttu
Reviews: 127 reviews

Name: Panificadora Delicatessen Garanhuns
link: https://www.google.com/maps/search/Panificadora+Delicatessen+Garanhuns/@-8.903713,-36.487376?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Panificadora Paulista
link: https://www.google.com/maps/search/Panificadora+Paulista/@-8.9113662,-36.479419199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Esquina do pao
link: https://www.google.com/maps/search/Esquina+do+p%C3%A3o/@-8.8852006,-36.4656247?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Delira delicatessen
link: https://www.google.com/maps/search/Delira+delicatessen/@-8.8826837,-36.4807371?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://ae-padaria-e-lanchonete.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,A.E padaria e lanchonete (Ye Zhu ),https://www.google.com/maps/contrib/104534229374186675162,https://lh5.googleusercontent.com/p/AF1QipPWKs_gQmfYj92xn1Z4rNEtv21PQPN1tqKAzs5A=w408-h305-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.2,06:00-21:00,Open All Days,,"A.E padaria e lanchonete - Av. Deolinda Silvestre Valenca, 274 - Francisco Simao Dos Santos Figueira, Garanhuns - PE, 55291-625Ba Xi ",,https://www.google.com/maps/place/A.E+padaria+e+lanchonete/data=!4m7!3m6!1s0x7070dedfbe26869:0xef2c933e8f070e63!8m2!3d-8.9063583!4d-36.4852203!16s%2Fg%2F11fljjg37z!19sChIJaWji--0NBwcRYw4Hjz6TLO8?authuser=0&hl=zh-TW&rclk=1
ChIJicXyLyINBwcR0uX-3nv7-JA,Padaria Do Vava,,False,67,"Name: Padaria Art Pan
link: https://www.google.com/maps/search/Padaria+Art+Pan/@-8.87942,-36.476631?authuser=0&hl=zh-TW&entry=ttu
Reviews: 179 reviews

Name: Panificadora Rainha De Garanhuns
link: https://www.google.com/maps/search/Panificadora+Rainha+De+Garanhuns/@-8.8819498,-36.479974399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Novo Paladar Delicatessen
link: https://www.google.com/maps/search/Novo+Paladar+Delicatessen/@-8.883287,-36.4738926?authuser=0&hl=zh-TW&entry=ttu
Reviews: 110 reviews

Name: Panificadora Master Pao
link: https://www.google.com/maps/search/Panificadora+Master+P%C3%A3o/@-8.8838872,-36.4910321?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Padaria arrumada
link: https://www.google.com/maps/search/Padaria+arrumada/@-8.8850117,-36.4656897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/padaria_do_vava%3Figshid%3DOGQ5ZDc2ODk2ZA%3D%3D,Padaria Do Vava (Ye Zhu ),https://www.google.com/maps/contrib/104182555028542243830,https://lh5.googleusercontent.com/p/AF1QipOQjHH6SKTX8b4ik6DCGebIMF1tbsye6HnPQHSc=w408-h306-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.4,06:00-19:30,Xing Qi Ri ,+55 87 99634-8889,"Padaria Do Vava - R. Jose Ferreira Leal, 409 - Heliopolis, Garanhuns - PE, 55296-620Ba Xi ",Jia Ge ,https://www.google.com/maps/place/Padaria+Do+Vav%C3%A1/data=!4m7!3m6!1s0x7070d222ff2c589:0x90f8fb7bdefee5d2!8m2!3d-8.8847954!4d-36.4737558!16s%2Fg%2F11btxck1wn!19sChIJicXyLyINBwcR0uX-3nv7-JA?authuser=0&hl=zh-TW&rclk=1
ChIJeSiYOkINBwcR-uGi9ELlr9Y,Coffeeciencia Cafeteria,,False,59,"Name: Republic - Coffee and Beer
link: https://www.google.com/maps/search/Republic+-+Coffee+and+Beer/@-8.884960699999999,-36.482897099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1018 reviews

Name: Area Cafeteria
link: https://www.google.com/maps/search/%C3%81rea+Cafeteria/@-8.8929675,-36.4924921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 202 reviews

Name: Imperio do Cafe
link: https://www.google.com/maps/search/Imp%C3%A9rio+do+Caf%C3%A9/@-8.8841345,-36.4810697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 202 reviews",http://www.instagram.com/coffeeciencia,Coffeeciencia Cafeteria (Ye Zhu ),https://www.google.com/maps/contrib/109556156449983226589,https://lh5.googleusercontent.com/p/AF1QipPk2pif6n_bO4ASKknUhLm4gMWm-ksQgzPzGCMq=w408-h711-k-no,Ka Pei Dian ,Ka Pei Dian ,5,15:00-20:00,Xing Qi Yi ,+55 87 99173-0322,"Coffeeciencia Cafeteria - R. Napoleao Galvao, 47 - Santo Antonio, Garanhuns - PE, 55296-010Ba Xi ","Huan Jing , Jing Yan , Ji Rou , Yin Le ",https://www.google.com/maps/place/Coffeeci%C3%AAncia+Cafeteria/data=!4m7!3m6!1s0x7070d423a982879:0xd6afe542f4a2e1fa!8m2!3d-8.888812!4d-36.4897885!16s%2Fg%2F11tfmpj4_c!19sChIJeSiYOkINBwcR-uGi9ELlr9Y?authuser=0&hl=zh-TW&rclk=1
