place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJmRshrK-hiYURKs9oTIvK234,Starbucks Majadas,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,2700,"Name: Starbucks * Ciudad Cayala
link: https://www.google.com/maps/search/Starbucks+%E2%80%A2+Ciudad+Cayala/@14.611285599999999,-90.48551169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1490 reviews

Name: Starbucks Oakland Mall
link: https://www.google.com/maps/search/Starbucks+Oakland+Mall/@14.59901,-90.50787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1254 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@14.6066027,-90.5176105?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1120 reviews

Name: Starbucks Las americas
link: https://www.google.com/maps/search/Starbucks+Las+am%C3%A9ricas/@14.58278,-90.5209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@14.5910303,-90.52861779999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",https://www.starbucks.com/,Starbucks Majadas (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNncu4iL4oJ6dHcA59OCcZdvHBzGff0imsFi9MR=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,05:30-21:30,Open All Days,,"Starbucks Majadas, Parking lot, Cdad. de Guatemala, Wei Di Ma La ","Chan Pin , Fu You , Kou Wei , Huan Jing , Hui Yi , Nian Qing Ren , Gong Xiang ",https://www.google.com/maps/place/Starbucks+Majadas/data=!4m7!3m6!1s0x8589a1afac211b99:0x7edbca8b4c68cf2a!8m2!3d14.6207029!4d-90.5561496!16s%2Fg%2F11cn2k2sr8!19sChIJmRshrK-hiYURKs9oTIvK234?authuser=0&hl=zh-TW&rclk=1
ChIJPRua0wGjiYUR6OQLgc8EQxU,Starbucks * Ciudad Cayala,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1491,"Name: Starbucks Oakland Mall
link: https://www.google.com/maps/search/Starbucks+Oakland+Mall/@14.59901,-90.50787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1254 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@14.581014900000001,-90.4776411?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1131 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@14.5812333,-90.51577160000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 742 reviews

Name: Barista Coffee Cayala
link: https://www.google.com/maps/search/Barista+Coffee+Cayala/@14.6096096,-90.48630349999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 520 reviews

Name: Starbucks Las americas
link: https://www.google.com/maps/search/Starbucks+Las+am%C3%A9ricas/@14.58278,-90.5209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews",https://sbgt.premium.gt/,Starbucks * Ciudad Cayala (Ye Zhu ),https://www.google.com/maps/contrib/113631588112810950695,https://lh5.googleusercontent.com/p/AF1QipNxMnosE7nx5C6_F1DWRnGmAn_EyXlVXoy6hAYD=w408-h305-k-no,Can Ting ,"Can Ting , Ka Pei Dian ",4.5,08:00-21:00,Open All Days,+502 4210 6340,"Starbucks * Ciudad Cayala, Blvr. Rafael Landivar 10-05, Cdad. de Guatemala 01016Wei Di Ma La ","Ka Pei , Chan Pin , Jia Ge , Huan Jing , Ke Fu , Jing Yan , Leng , Kong Jian , Nai , Yu Shi ",https://www.google.com/maps/place/Starbucks+%E2%80%A2+Ciudad+Cayala/data=!4m7!3m6!1s0x8589a301d39a1b3d:0x154304cf810be4e8!8m2!3d14.6112856!4d-90.4855117!16s%2Fg%2F11bz0b0s1n!19sChIJPRua0wGjiYUR6OQLgc8EQxU?authuser=0&hl=zh-TW&rclk=1
ChIJsbKv68ejiYURIXw3ZPC8Z7A,Starbucks Oakland Mall,,False,1254,"Name: Starbucks * Ciudad Cayala
link: https://www.google.com/maps/search/Starbucks+%E2%80%A2+Ciudad+Cayala/@14.611285599999999,-90.48551169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1490 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@14.5812333,-90.51577160000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 742 reviews

Name: Starbucks * Fontabella
link: https://www.google.com/maps/search/Starbucks+%E2%80%A2+Fontabella/@14.599860000000001,-90.51232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 646 reviews

Name: Starbucks Las americas
link: https://www.google.com/maps/search/Starbucks+Las+am%C3%A9ricas/@14.58278,-90.5209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Cafe Barista
link: https://www.google.com/maps/search/Cafe+Barista/@14.598621999999997,-90.507312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews",https://sbgt.premium.gt/,Starbucks Oakland Mall (Ye Zhu ),https://www.google.com/maps/contrib/112149104500861586444,https://lh5.googleusercontent.com/p/AF1QipPVH-EZx456T3SpHU8UWspDhoY_jTxYBl2phhGG=w408-h306-k-no,Can Ting ,"Can Ting , Zi Zhu Can Ting , Ka Pei Dian ",4.5,08:00-20:30,Open All Days,+502 4210 6014,"Starbucks Oakland Mall, primer nivel, local 134, Diagonal 6 13-07 zona 10 C.C. Oakland Mall, Cdad. de Guatemala, Wei Di Ma La ","Ka Pei , Chan Pin , Huan Jing , Jia Ge , Fu You , wifi, Wang Lu , Jia Meng ",https://www.google.com/maps/place/Starbucks+Oakland+Mall/data=!4m7!3m6!1s0x8589a3c7ebafb2b1:0xb067bcf064377c21!8m2!3d14.59901!4d-90.50787!16s%2Fg%2F1pv0ys8dp!19sChIJsbKv68ejiYURIXw3ZPC8Z7A?authuser=0&hl=zh-TW&rclk=1
ChIJAxG539GjiYURbxrDDASB9H4,Starbucks,,False,1131,"Name: Starbucks * Ciudad Cayala
link: https://www.google.com/maps/search/Starbucks+%E2%80%A2+Ciudad+Cayala/@14.611285599999999,-90.48551169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1490 reviews

Name: Starbucks Oakland Mall
link: https://www.google.com/maps/search/Starbucks+Oakland+Mall/@14.59901,-90.50787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1254 reviews

Name: Starbucks * Fontabella
link: https://www.google.com/maps/search/Starbucks+%E2%80%A2+Fontabella/@14.599860000000001,-90.51232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 646 reviews

Name: Starbucks Condado Concepcion
link: https://www.google.com/maps/search/Starbucks+Condado+Concepci%C3%B3n/@14.5527623,-90.4539372?authuser=0&hl=zh-TW&entry=ttu
Reviews: 613 reviews

Name: Starbucks Las americas
link: https://www.google.com/maps/search/Starbucks+Las+am%C3%A9ricas/@14.58278,-90.5209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews",https://sbgt.premium.gt/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/116168715660792302379,https://lh5.googleusercontent.com/p/AF1QipOl2HlvSnGcG63bi-95nijpbDwQ6gWHd4Alc-wy=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Dian ",4.5,05:00-19:00,Open All Days,+502 5843 7873,"Starbucks, Km. 10.5 carretera a El Salvador CA 1 a Guatemala zona 4 local 1, Cdad. de Guatemala, Wei Di Ma La ","Shi Jue , Ka Pei , Zhuo , Jia Ge , Chan Pin , Wan Shang , Huan Jing , Xi Yang , Ting Che Chang ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x8589a3d1dfb91103:0x7ef481040cc31a6f!8m2!3d14.5810149!4d-90.4776411!16s%2Fg%2F11gtpr15cq!19sChIJAxG539GjiYURbxrDDASB9H4?authuser=0&hl=zh-TW&rclk=1
ChIJhXQ9PdKjiYURqfSZfDXFBGs,Starbucks,,False,1120,"Name: Starbucks * Ciudad Cayala
link: https://www.google.com/maps/search/Starbucks+%E2%80%A2+Ciudad+Cayala/@14.611285599999999,-90.48551169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1490 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@14.5812333,-90.51577160000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 742 reviews

Name: Starbucks Las americas
link: https://www.google.com/maps/search/Starbucks+Las+am%C3%A9ricas/@14.58278,-90.5209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Cafe de autor
link: https://www.google.com/maps/search/Caf%C3%A9+de+autor/@14.612731000000002,-90.5147418?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",https://www.facebook.com/StarbucksGuatemala/,Starbucks (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO4OMGguw5eg1b-81WKAeX2F11_s5tXZ6xZSzt7=w408-h305-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,07:00-19:00,Open All Days,+502 4210 8200,"Starbucks, 7 avenida 7-73, Zona 9, 7A Avenida, Cdad. de Guatemala 01009Wei Di Ma La ","Chan Pin , Pin Zhi , Jia Ge , Kou Wei , Yu Shi , Huan Jing , Jing Yan , Zhi Fu , Hui Yi ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x8589a3d23d3d7485:0x6b04c5357c99f4a9!8m2!3d14.6066027!4d-90.5176105!16s%2Fg%2F11byykt0l4!19sChIJhXQ9PdKjiYURqfSZfDXFBGs?authuser=0&hl=zh-TW&rclk=1
ChIJbWUA2AahiYURX2chs5jSn2I,Coffee Room,,False,1087,"Name: Coffee District Guatemala
link: https://www.google.com/maps/search/Coffee+District+Guatemala/@14.620708699999998,-90.5142857?authuser=0&hl=zh-TW&entry=ttu
Reviews: 365 reviews

Name: Tercer Espacio - Coffee Shop
link: https://www.google.com/maps/search/Tercer+Espacio+-+Coffee+Shop/@14.637476500000002,-90.5173556?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Caffe Boutique di Roma
link: https://www.google.com/maps/search/Caff%C3%A9+Boutique+di+Roma/@14.6241857,-90.56199140000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: BookWorm Cafe
link: https://www.google.com/maps/search/BookWorm+Caf%C3%A9/@14.600487199999998,-90.5605076?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/coffeeroomgt%3Fmibextid%3DZbWKwL,Coffee Room (Ye Zhu ),https://www.google.com/maps/contrib/118266858591489205915,https://lh5.googleusercontent.com/p/AF1QipPXSlwQ_pQbwNTCOU7x3ONY0kT7RGhJuTclzRct=w408-h306-k-no,Can Ting ,"Can Ting , Zi Zhu Can Ting , Fa Shi Bo Bing Can Ting , Duo Gong Neng Shi She Shi ",4.6,08:00-17:30,Open All Days,+502 2473 2068,"Coffee Room, Calle Mariscal 18-40, Cdad. de Guatemala 01011Wei Di Ma La ","Zi Ran , You Xi , Hua , Mian Ji , Ke Li Bing , Xiao Hai , Mei Rong Yuan ",https://www.google.com/maps/place/Coffee+Room/data=!4m7!3m6!1s0x8589a106d800656d:0x629fd298b321675f!8m2!3d14.6079656!4d-90.558819!16s%2Fg%2F11df80_g2r!19sChIJbWUA2AahiYURX2chs5jSn2I?authuser=0&hl=zh-TW&rclk=1
ChIJs4E0phaiiYURPYEMu7pF2sg,Cafe Leon,,False,970,"Name: La Discoteca Cafe y Musica
link: https://www.google.com/maps/search/La+Discoteca+Cafe+y+Musica/@14.640756099999999,-90.51506619999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: Cafe del Callejon
link: https://www.google.com/maps/search/Caf%C3%A9+del+Callej%C3%B3n/@14.641445099999999,-90.50890799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews

Name: Cafeteria Centro Historico
link: https://www.google.com/maps/search/Cafeter%C3%ADa+Centro+Hist%C3%B3rico/@14.638646900000001,-90.5113535?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: La Cafe
link: https://www.google.com/maps/search/La+Cafe/@14.6375852,-90.5052128?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://tclgt.com/,Cafe Leon (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOuUEmmeRhcTgF-nEFybfnV0Iqa4qJGXFjdRgKv=w408-h306-k-no,Zheng Liu Ka Pei Ba ,"Zheng Liu Ka Pei Ba , Zao Can Can Ting , Ka Pei Ting ",4.5,07:00-17:30,Xing Qi Ri ,+502 2232 7526,"Cafe Leon, Ciudad de, 8A Avenida 9-15, Cdad. de Guatemala 01001Wei Di Ma La ","Pin Zhi , Li Shi , Kou Wei , Dan Gao , Hui Hua , Huan Jing , Yue Du , Hui Yi , Can ",https://www.google.com/maps/place/Caf%C3%A9+Le%C3%B3n/data=!4m7!3m6!1s0x8589a216a63481b3:0xc8da45babb0c813d!8m2!3d14.6398581!4d-90.5118159!16s%2Fg%2F1ptzg41ny!19sChIJs4E0phaiiYURPYEMu7pF2sg?authuser=0&hl=zh-TW&rclk=1
ChIJVQHAqeCjiYURFi906rCRYVw,El Injerto Coffee,,False,861,"Name: El Cafetalito
link: https://www.google.com/maps/search/El+Cafetalito/@14.583146199999998,-90.5220705?authuser=0&hl=zh-TW&entry=ttu
Reviews: 388 reviews

Name: El injerto
link: https://www.google.com/maps/search/El+injerto/@14.5926682,-90.5129218?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: El Injerto cafe
link: https://www.google.com/maps/search/El+Injerto+caf%C3%A9/@14.626695999999997,-90.55667969999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Cafe El Injerto
link: https://www.google.com/maps/search/Caf%C3%A9+El+Injerto/@14.562831599999999,-90.4646422?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://elinjertocafe.com.gt/,El Injerto Coffee (Ye Zhu ),https://www.google.com/maps/contrib/107256264735566254058,https://lh5.googleusercontent.com/p/AF1QipPn5InWEIZclrAQWFNdHefEde8wDXxtqhLO3A7a=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,07:00-18:30,Xing Qi Ri ,+502 2425 8520,"El Injerto Coffee, 9 Calle 15-15, Cdad. de Guatemala 01013Wei Di Ma La ","Pin Zhi , Jing Yan , Ka Pei Shi , Chan Pin , Kou Wei , Jia Ge , Yi Ji , Ke Ren , Huan Jing ",https://www.google.com/maps/place/El+Injerto+Coffee/data=!4m7!3m6!1s0x8589a3e0a9c00155:0x5c6191b0ea742f16!8m2!3d14.5881967!4d-90.5214109!16s%2Fg%2F1ptx5rsb9!19sChIJVQHAqeCjiYURFi906rCRYVw?authuser=0&hl=zh-TW&rclk=1
ChIJ8bGYXXChiYURLBw5aftWJ1Y,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,788,"Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@14.558212299999997,-90.73418430000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 686 reviews

Name: Starbucks * Fontabella
link: https://www.google.com/maps/search/Starbucks+%E2%80%A2+Fontabella/@14.599860000000001,-90.51232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 646 reviews

Name: Starbucks Las americas
link: https://www.google.com/maps/search/Starbucks+Las+am%C3%A9ricas/@14.58278,-90.5209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Cafe Barista * SanKris Mall Z.8 de Mixco
link: https://www.google.com/maps/search/Caf%C3%A9+Barista+%E2%80%A2+SanKris+Mall+Z.8+de+Mixco/@14.611544799999997,-90.5982914?authuser=0&hl=zh-TW&entry=ttu
Reviews: 171 reviews

Name: Starbucks * San Jose Villa Nueva
link: https://www.google.com/maps/search/Starbucks+%E2%80%A2+San+Jos%C3%A9+Villa+Nueva/@14.5316067,-90.5957478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 159 reviews",https://sbgt.premium.gt/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/110935465516643040766,https://lh5.googleusercontent.com/p/AF1QipM8pgBF3vsefLNrufCkyAWv5ZWRVcfcMV-mm3nM=w426-h240-k-no,Can Ting ,"Can Ting , Ka Pei Dian ",4.4,05:30-21:00,Open All Days,,"Starbucks, Blu San Cristobal, 3 calle 9-32 sector A 2 ciudad san cristobal 1 zona 8 plaza comercial Fountain, Cdad. de Guatemala, Wei Di Ma La ","Ka Pei , Chan Pin , Ke Fu , Jia Ge , Huan Jing , Qia Bu Qi Nuo , Kong Jian ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x8589a1705d98b1f1:0x562756fb69391c2c!8m2!3d14.60865!4d-90.58914!16s%2Fg%2F11g0gc45nv!19sChIJ8bGYXXChiYURLBw5aftWJ1Y?authuser=0&hl=zh-TW&rclk=1
ChIJT292Q--jiYURxNKpRXVXYNY,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,742,"Name: Starbucks * Ciudad Cayala
link: https://www.google.com/maps/search/Starbucks+%E2%80%A2+Ciudad+Cayala/@14.611285599999999,-90.48551169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1490 reviews

Name: Starbucks Oakland Mall
link: https://www.google.com/maps/search/Starbucks+Oakland+Mall/@14.59901,-90.50787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1254 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@14.6066027,-90.5176105?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1120 reviews

Name: Starbucks Las americas
link: https://www.google.com/maps/search/Starbucks+Las+am%C3%A9ricas/@14.58278,-90.5209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews",https://sbgt.premium.gt/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/103636437284256370660,https://lh5.googleusercontent.com/p/AF1QipOK5Fq3cVapVgD7z_aJB3YFeSVEzCT1vAZxIaQd=w426-h240-k-no,Can Ting ,"Can Ting , Ka Pei Dian ",4.4,06:30-20:00,Open All Days,,"Starbucks, plaza comercial la noria, 10 Avenida 12-30, Cdad. de Guatemala, Wei Di Ma La ","Ka Pei , Jia Ge , Huan Jing , Shang Chang , Jing Yan , Bing Gan ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x8589a3ef43766f4f:0xd660577545a9d2c4!8m2!3d14.5812333!4d-90.5157716!16s%2Fg%2F1q6jzg88n!19sChIJT292Q--jiYURxNKpRXVXYNY?authuser=0&hl=zh-TW&rclk=1
