place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ8fHDG1QbNjoRQosBsGxFA6A,MORE Super Market,,False,1315,"Name: Rythu Bazar, Gudiwada
link: https://www.google.com/maps/search/Rythu+Bazar%2C+Gudiwada/@16.4335347,80.9957858?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2869 reviews

Name: Dmart
link: https://www.google.com/maps/search/Dmart/@16.427949899999998,80.9823346?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2782 reviews

Name: AMMA SUPER MARKET
link: https://www.google.com/maps/search/AMMA+SUPER+MARKET/@16.434185499999998,80.997266?authuser=0&hl=zh-TW&entry=ttu
Reviews: 268 reviews

Name: Alamuri Departmental Store
link: https://www.google.com/maps/search/Alamuri+Departmental+Store/@16.4427381,80.9964664?authuser=0&hl=zh-TW&entry=ttu
Reviews: 208 reviews

Name: Lakshmi Manikanta General Stores
link: https://www.google.com/maps/search/Lakshmi+Manikanta+General+Stores/@16.4250319,80.9910822?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.morestore.com/,MORE Super Market (Ye Zhu ),https://www.google.com/maps/contrib/109985370949826605753,https://lh5.googleusercontent.com/p/AF1QipONcMWTABDB0VJqAEDy5vVXShUJxkSjJrMU2Bsf=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.8,08:00-21:00,Open All Days,+91 99122 26859,"MORE Super Market, Loyaada, Gudivada, Andhra Pradesh 521301Yin Du ","Jia Ge , Ke Fu , Jing Yan , You Hui , Ting Che , Guo , Pin Zhi , Fa Piao , Cheng Ben ",https://www.google.com/maps/place/MORE+Super+Market/data=!4m7!3m6!1s0x3a361b541bc3f1f1:0xa003456cb0018b42!8m2!3d16.4399623!4d80.992082!16s%2Fg%2F11c486r6hl!19sChIJ8fHDG1QbNjoRQosBsGxFA6A?authuser=0&hl=zh-TW&rclk=1
ChIJq9kIKbgdNjoRiR3A17p6wIY,"Coffee day (Cappuccino, Espresso) & Kwality walls Ice cream (C/o- Donthu Cool Drinks)",,False,30,"Name: BHANU SRI COOL DRINKS
link: https://www.google.com/maps/search/BHANU+SRI+COOL+DRINKS/@16.433034,80.9945513?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Daily Ice Cream Parlor Gudivada
link: https://www.google.com/maps/search/Daily+Ice+Cream+Parlor+Gudivada/@16.4400443,80.9924704?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://donthu-cool-drinks-recharge-point.business.site/,"Coffee day (Cappuccino, Espresso) & Kwality walls Ice cream (C/o- Donthu Cool Drinks) (Ye Zhu )",https://www.google.com/maps/contrib/116622723685955225828,https://lh5.googleusercontent.com/p/AF1QipMRlRklljqi3mdxGg84mB5RAppYM2NNiH25Jnk0=w408-h306-k-no,Za Huo Dian ,Za Huo Dian ,4.6,"06:30-14:00, 16:00-22:00",Open All Days,+91 73961 40248,"Coffee day (Cappuccino, Espresso) & Kwality walls Ice cream (C/o- Donthu Cool Drinks), Bantumilli road, 1-567-e,C/O Donthu Satya Prasad, next to alankrutha function hall, Gudivada, Andhra Pradesh 521301Yin Du ",,"https://www.google.com/maps/place/Coffee+day+%28Cappuccino,+Espresso%29+%26+Kwality+walls+Ice+cream+%28C%2Fo-+Donthu+Cool+Drinks%29/data=!4m7!3m6!1s0x3a361db82908d9ab:0x86c07abad7c01d89!8m2!3d16.428062!4d81.0166932!16s%2Fg%2F11g21rhnr0!19sChIJq9kIKbgdNjoRiR3A17p6wIY?authuser=0&hl=zh-TW&rclk=1"
ChIJ11v64KkcNjoRV_EMGvj73W0,Satyam's Celebrations Bakery,,False,1748,"Name: V Sweets Happy Moments
link: https://www.google.com/maps/search/V+Sweets+Happy+Moments/@16.4403196,80.9921983?authuser=0&hl=zh-TW&entry=ttu
Reviews: 319 reviews

Name: Kadiyala Sweets And Bakery
link: https://www.google.com/maps/search/Kadiyala+Sweets+And+Bakery/@16.438253,80.99263359999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Sweet Way Cakery Gudivada
link: https://www.google.com/maps/search/Sweet+Way+Cakery+Gudivada/@16.433794700000004,80.9971707?authuser=0&hl=zh-TW&entry=ttu
Reviews: 153 reviews

Name: Banglore ayyangar bakery
link: https://www.google.com/maps/search/Banglore+ayyangar+bakery/@16.433999999999997,80.9923786?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Satyam's Celebrations Bakery (Ye Zhu ),https://www.google.com/maps/contrib/112543302337939254954,https://lh5.googleusercontent.com/p/AF1QipNeg_KxDAVEetEwnQQfAdXMMW_ZMvfiZqp3RhCm=w533-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,3.9,07:45-21:30,Open All Days,+91 86742 20500,"Satyam's Celebrations Bakery, Satyanarayana Puram, Gudivada, Andhra Pradesh 521301Yin Du ","Pin Zhi , Su Shi , Jia Ting , Ji Rou , Qian , Ting Che , Leng Qi , Ju Hui , Han Bao ",https://www.google.com/maps/place/Satyam%27s+Celebrations+Bakery/data=!4m7!3m6!1s0x3a361ca9e0fa5bd7:0x6dddfbf81a0cf157!8m2!3d16.4353842!4d80.9943382!16s%2Fg%2F1tsyhm6_!19sChIJ11v64KkcNjoRV_EMGvj73W0?authuser=0&hl=zh-TW&rclk=1
ChIJd7Myt6kcNjoRDV5EVofnhQ8,Hotel Sri Chaitanya,,False,1197,"Name: Flavours Restaurant
link: https://www.google.com/maps/search/Flavours+Restaurant/@16.4383153,80.99232169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1064 reviews

Name: Uma Tiffin Centre
link: https://www.google.com/maps/search/Uma+Tiffin+Centre/@16.4326536,80.9922473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 729 reviews

Name: Venkata rao meals hotel
link: https://www.google.com/maps/search/Venkata+rao+meals+hotel/@16.4346302,80.9924449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 256 reviews

Name: Sri Durga Tiffin Center
link: https://www.google.com/maps/search/Sri+Durga+Tiffin+Center/@16.4402454,80.9923807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews",,Hotel Sri Chaitanya (Ye Zhu ),https://www.google.com/maps/contrib/102241118097014583657,https://lh5.googleusercontent.com/p/AF1QipNYooZN9YvQbYtryi6ZZc51jjsvflauqrpnp0Vi=w408-h306-k-no,Zao Can Can Ting ,"Zao Can Can Ting , Fan He Gong Ying Shang ",3.9,07:00-22:00,Open All Days,+91 94416 46363,"No 7, 7A, Hotel Sri Chaitanya, 7B, near NTR Stadium Road, Satyanarayana Puram, Gudivada, Andhra Pradesh 521301Yin Du ","Wei Sheng , Jia Ge , Shi Wu Pin Zhi , Shu Liang , Leng Qi , Yun Dong Chang ",https://www.google.com/maps/place/Hotel+Sri+Chaitanya/data=!4m7!3m6!1s0x3a361ca9b732b377:0xf85e78756445e0d!8m2!3d16.433464!4d80.9948302!16s%2Fg%2F11dyzf_1b6!19sChIJd7Myt6kcNjoRDV5EVofnhQ8?authuser=0&hl=zh-TW&rclk=1
ChIJCUsb11UbNjoRNWuJ056YyaY,New Tea Tiffen Fastfood,,False,139,"Name: Hotel Sri Chaitanya
link: https://www.google.com/maps/search/Hotel+Sri+Chaitanya/@16.433464,80.9948302?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1196 reviews

Name: Uma Tiffin Centre
link: https://www.google.com/maps/search/Uma+Tiffin+Centre/@16.4326536,80.9922473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 729 reviews

Name: F3 Aroma Garden Restaurant
link: https://www.google.com/maps/search/F3+Aroma+Garden+Restaurant/@16.4425425,81.00025649999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 243 reviews",,New Tea Tiffen Fastfood (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMZQdtB6J0sHK0wo5A1q6I9cYE4Knh2JT75y4lY=w480-h240-k-no,Zao Can Can Ting ,"Zao Can Can Ting , Kuai Can Dian , Cha Yi Guan ",3.4,07:30-22:30,Open All Days,,"New Tea Tiffen Fastfood, besides G3 sindura, Eluru Rd, Gudivada, Andhra Pradesh 521301Yin Du ",Jia Ge ,https://www.google.com/maps/place/New+Tea+Tiffen+Fastfood/data=!4m7!3m6!1s0x3a361b55d71b4b09:0xa6c9989ed3896b35!8m2!3d16.4374992!4d80.992392!16s%2Fg%2F11hb3pv7md!19sChIJCUsb11UbNjoRNWuJ056YyaY?authuser=0&hl=zh-TW&rclk=1
ChIJuYKZUZQdNjoRYj3lbX11K50,Amul outlet,,False,111,"Name: Amul Outlet ( Kamadhenu Agencies)
link: https://www.google.com/maps/search/Amul+Outlet+%28+Kamadhenu+Agencies%29/@16.4378291,80.9923853?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: ANUGRAHA PARLOUR
link: https://www.google.com/maps/search/ANUGRAHA+PARLOUR/@16.4294066,80.9957867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Amul Distributors -Hari Enterprises
link: https://www.google.com/maps/search/Amul+Distributors+-Hari+Enterprises/@16.443196999999998,80.9935421?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Daily Ice Cream Parlor Gudivada
link: https://www.google.com/maps/search/Daily+Ice+Cream+Parlor+Gudivada/@16.4400443,80.9924704?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Amul outlet (Ye Zhu ),https://www.google.com/maps/contrib/116090990584297937458,https://lh5.googleusercontent.com/p/AF1QipPXeLGmvoBxd7s1rNXZ0rc4xycIpPM2MEjSoGUY=w426-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.3,03:00-21:00,Open All Days,,"Shop no 4, Amul outlet, sps complex, Moved to Nehru chowk, Nehru chowk, Gudivada, Andhra Pradesh 521301Yin Du ",Chan Pin ,https://www.google.com/maps/place/Amul+outlet/data=!4m7!3m6!1s0x3a361d94519982b9:0x9d2b757d6de53d62!8m2!3d16.4340712!4d80.9931474!16s%2Fg%2F11mw0k98j6!19sChIJuYKZUZQdNjoRYj3lbX11K50?authuser=0&hl=zh-TW&rclk=1
ChIJy3_8vqgcNjoRNuIYugPFXsM,Vani Cafe,,False,73,"Name: Hotel Sri Chaitanya
link: https://www.google.com/maps/search/Hotel+Sri+Chaitanya/@16.433464,80.9948302?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1196 reviews

Name: Flavours Restaurant
link: https://www.google.com/maps/search/Flavours+Restaurant/@16.4383153,80.99232169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1064 reviews

Name: Venkata rao meals hotel
link: https://www.google.com/maps/search/Venkata+rao+meals+hotel/@16.4346302,80.9924449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 256 reviews

Name: Sri Vijaya Sai Ganesh Tiffin Centre
link: https://www.google.com/maps/search/Sri+Vijaya+Sai+Ganesh+Tiffin+Centre/@16.433610599999998,80.9987285?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",,Vani Cafe (Ye Zhu ),https://www.google.com/maps/contrib/109971503999106936537,https://lh5.googleusercontent.com/p/AF1QipNcbWPrNU-4N55yZlXghkY6-B6jv8Of8IZ1bFA9=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Dian ",3.7,,Open All Days,+91 99668 85669,"Vani Cafe, Main Road, Gudivada, opp. Bus Stand, Gudivada, Andhra Pradesh 521301Yin Du ",,https://www.google.com/maps/place/Vani+Cafe/data=!4m7!3m6!1s0x3a361ca8befc7fcb:0xc35ec503ba18e236!8m2!3d16.4307225!4d80.9969451!16s%2Fg%2F11c574dljy!19sChIJy3_8vqgcNjoRNuIYugPFXsM?authuser=0&hl=zh-TW&rclk=1
ChIJm8NfQ_cbNjoRNzwGGBsz03s,Box Office Cafe,,False,48,,,Box Office Cafe (Ye Zhu ),https://www.google.com/maps/contrib/103770178171610055995,https://lh5.googleusercontent.com/p/AF1QipPcVRATKdZ8dMQuvX81SeA2RMmfcvJoYhD4WjZ5=w426-h240-k-no,Can Ting ,Can Ting ,4.9,11:00-23:00,Open All Days,,"Box Office Cafe, Gowri Shankara Puram, Chinna car stand, 9/219-a, road, opposite Indian Overseas Bank, Satyanarayana Puram, Gudivada, Andhra Pradesh 521301Yin Du ","Jia Ge , Jing Yan , Shai Jian ",https://www.google.com/maps/place/Box+Office+Cafe/data=!4m7!3m6!1s0x3a361bf7435fc39b:0x7bd3331b18063c37!8m2!3d16.435865!4d80.9938397!16s%2Fg%2F11vbbhhtvy!19sChIJm8NfQ_cbNjoRNzwGGBsz03s?authuser=0&hl=zh-TW&rclk=1
ChIJ06MNaCgbNjoRSiFNCwItADw,Tea Time,,False,43,"Name: Mahadev Tea Stall
link: https://www.google.com/maps/search/Mahadev+Tea+Stall/@16.4313187,80.9939002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Tea Home
link: https://www.google.com/maps/search/Tea+Home/@16.4389301,80.992307?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Amma Tea Corner
link: https://www.google.com/maps/search/Amma+Tea+Corner/@16.434052299999998,80.9946375?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Tea Time (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNvGtAmbxXMpY98aOQPxQwWxdfAEWTlIeb8rliP=w532-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4,,Open All Days,+91 78424 24646,"FX3Q+3M Tea Time, Nagavarappadu, Gudivada, Andhra Pradesh 521301Yin Du ",,https://www.google.com/maps/place/Tea+Time/data=!4m7!3m6!1s0x3a361b28680da3d3:0x3c002d020b4d214a!8m2!3d16.4531301!4d80.9889915!16s%2Fg%2F11s5918xhd!19sChIJ06MNaCgbNjoRSiFNCwItADw?authuser=0&hl=zh-TW&rclk=1
ChIJPywvNqgcNjoRw-6Dn1vvS7Q,Sri Durga Malleswara Fruit Juice & Ice Cream,,False,32,"Name: Hanuman Fruit Juice
link: https://www.google.com/maps/search/Hanuman+Fruit+Juice/@16.4337665,80.9981394?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: KRISHNA ICE CREAMS AND FRUIT JUICE
link: https://www.google.com/maps/search/KRISHNA+ICE+CREAMS+AND+FRUIT+JUICE/@16.429544,80.9744925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: PAVAN FRUIT JUICE
link: https://www.google.com/maps/search/PAVAN+FRUIT+JUICE/@16.4338266,80.99935239999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Sri Lakshmi Fruit juice
link: https://www.google.com/maps/search/Sri+Lakshmi+Fruit+juice/@16.4374949,80.9923884?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",,Sri Durga Malleswara Fruit Juice & Ice Cream (Ye Zhu ),https://www.google.com/maps/contrib/117448204525256432678,https://lh5.googleusercontent.com/p/AF1QipPayBuPdk-Niuc572q7-5RF4BQOeHq8dofp5It3=w408-h306-k-no,Guo Zhi Dian ,"Guo Zhi Dian , Xue Gao Dian ",3.9,10:00-22:00,Open All Days,+91 92472 98466,"Sri Durga Malleswara Fruit Juice & Ice Cream, Market Centre, Gudiwada, Andhra Pradesh 521301Yin Du ",,https://www.google.com/maps/place/Sri+Durga+Malleswara+Fruit+Juice+%26+Ice+Cream/data=!4m7!3m6!1s0x3a361ca8362f2c3f:0xb44bef5b9f83eec3!8m2!3d16.4337731!4d80.9958132!16s%2Fg%2F11c558hzx0!19sChIJPywvNqgcNjoRw-6Dn1vvS7Q?authuser=0&hl=zh-TW&rclk=1
