place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJszlv9GxZXz4R4EM_hEm_gyo,"Sharjah Coop, Halwan",,False,3989,"Name: Al Ansari Exchange, Sharjah Coop Society - Al Sweihat Branch
link: https://www.google.com/maps/search/Al+Ansari+Exchange%2C+Sharjah+Coop+Society+-+Al+Sweihat+Branch/@25.3482874,55.461309199999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 899 reviews

Name: Sharjah Coop, Muwailh
link: https://www.google.com/maps/search/Sharjah+Coop%2C+Muwailh/@25.309969,55.456199?authuser=0&hl=zh-TW&entry=ttu
Reviews: 796 reviews

Name: Sharjah Cooperative Society - Al Fayha
link: https://www.google.com/maps/search/Sharjah+Cooperative+Society+-+Al+Fayha/@25.3581534,55.4082571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 629 reviews

Name: mw'ss@ mjm` lt`wn ltjry
link: https://www.google.com/maps/search/%D9%85%D8%A4%D8%B3%D8%B3%D8%A9+%D9%85%D8%AC%D9%85%D8%B9+%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86+%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A/@25.3446951,55.43226860000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews",https://www.sharjahcoop.ae/,"Sharjah Coop, Halwan (Ye Zhu )",https://www.google.com/maps/contrib/110878332736914366491,https://lh5.googleusercontent.com/p/AF1QipPTZw-BgcylytMG0Rp-WzAmquBwr0RNqyfYKG9L=w408-h257-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4.3,24 Xiao Shi Ying Ye ,Open All Days,+971 600 548884,"Sharjah Coop, Halwan, 340 Sharjah Coop - Sheikh Zayed St - Al Abar - Halwan Suburb - Sharjah - A La Bo Lian He Qiu Chang Guo ","Kong Jian , Guo , Gou Wu Zhong Xin , Jia Zhi , Xin Xian Shu Cai , Zhu Hu , Wang Zhan ","https://www.google.com/maps/place/Sharjah+Coop,+Halwan/data=!4m7!3m6!1s0x3e5f596cf46f39b3:0x2a83bf49843f43e0!8m2!3d25.3468858!4d55.4224161!16s%2Fg%2F1hc2jg_64!19sChIJszlv9GxZXz4R4EM_hEm_gyo?authuser=0&hl=zh-TW&rclk=1"
ChIJAQAhpH4ABDQRJ9C5gcbz0II,Ban Lu Ka Pei ,,False,683,"Name: The Cupping Room (Shang Huan )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E4%B8%8A%E7%92%B0%29/@22.2850412,114.15055179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 849 reviews

Name: Barista Jam
link: https://www.google.com/maps/search/Barista+Jam/@22.285622,114.150544?authuser=0&hl=zh-TW&entry=ttu
Reviews: 419 reviews

Name: Common Ground
link: https://www.google.com/maps/search/Common+Ground/@22.2831659,114.15079709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 227 reviews

Name: Detour
link: https://www.google.com/maps/search/Detour/@22.2866195,114.1427858?authuser=0&hl=zh-TW&entry=ttu
Reviews: 190 reviews

Name: Flash Coffee
link: https://www.google.com/maps/search/Flash+Coffee/@22.285964,114.15339290000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews",https://instagram.com/halfwaycoffee,Ban Lu Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/103648958868667790196,https://lh5.googleusercontent.com/p/AF1QipMBXmUE1JyXgyHHOoWLieiSURCVMQ8NiVrlz_Xb=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,08:00-18:00,Open All Days,2606 1160,Shang Huan Mo Luo Shang Jie 26Hao Ban Lu Ka Pei ,"flat white, Gu Dong , Ci , Fu Gu , Long Yan , Jia Ju , Ning Meng Ta , Suan Zhong , Cha Bei ",https://www.google.com/maps/place/%E5%8D%8A%E8%B7%AF%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3404007ea4210001:0x82d0f3c681b9d027!8m2!3d22.2847563!4d114.1497161!16s%2Fg%2F11dfv58r80!19sChIJAQAhpH4ABDQRJ9C5gcbz0II?authuser=0&hl=zh-TW&rclk=1
ChIJWwKCvHsABDQRuS8cvcaIUDg,Hazel & Hershey Coffee Roasters,,False,436,"Name: The Cupping Room (Zhong Huan )
link: https://www.google.com/maps/search/The+Cupping+Room+%28%E4%B8%AD%E7%92%B0%29/@22.283113999999998,114.15456309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 719 reviews

Name: FINEPRINT
link: https://www.google.com/maps/search/FINEPRINT/@22.282680799999998,114.1527794?authuser=0&hl=zh-TW&entry=ttu
Reviews: 401 reviews

Name: Hypebeans (Central)
link: https://www.google.com/maps/search/Hypebeans+%28Central%29/@22.2816658,114.15776819999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: COSHA
link: https://www.google.com/maps/search/COSHA/@22.2808575,114.1528427?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",http://www.hazelnhershey.com/,Hazel & Hershey Coffee Roasters (Ye Zhu ),https://www.google.com/maps/contrib/102958607994079558417,https://lh5.googleusercontent.com/p/AF1QipPwQFkZeJ8rgGVWa2GeIV0Ag4fYLz_aIcQ_dn8d=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Hong Bei Shang , Ka Pei Pi Fa Shang , Zheng Liu Ka Pei Ba , Shang Dian ",4.2,10:00-19:00,Open All Days,3106 0760,"Shop 3, Hazel & Hershey Coffee Roasters, 69 Peel St, Central","Ka Pei Shi , Kao , atmosphere, Chan Pin , Nai , Mian Ji , N, Shu ",https://www.google.com/maps/place/Hazel+%26+Hershey+Coffee+Roasters/data=!4m7!3m6!1s0x3404007bbc82025b:0x385088c6bd1c2fb9!8m2!3d22.2821528!4d114.1519694!16s%2Fg%2F12cnrmprf!19sChIJWwKCvHsABDQRuS8cvcaIUDg?authuser=0&hl=zh-TW&rclk=1
ChIJtUkOQxMHBDQRFBPCpVi9Y58,Boholic,,False,309,"Name: Da Zhang Fu Shi Tang 
link: https://www.google.com/maps/search/%E5%A4%A7%E4%B8%88%E5%A4%AB%E9%A3%9F%E5%A0%82/@22.337828,114.1563895?authuser=0&hl=zh-TW&entry=ttu
Reviews: 617 reviews

Name: Hei Bu Xiao Xiang  <Li Zhi Jiao Tang Shi Dian > 
link: https://www.google.com/maps/search/%E9%BB%91%E5%B8%83%E5%B0%8F%E5%B7%B7+%E3%80%88%E8%8D%94%E6%9E%9D%E8%A7%92%E5%A0%82%E9%A3%9F%E5%BA%97%E3%80%89/@22.336758099999997,114.1477441?authuser=0&hl=zh-TW&entry=ttu
Reviews: 236 reviews

Name: Ha Qian 
link: https://www.google.com/maps/search/%E5%93%88%E6%AC%A0/@22.335041999999998,114.15908499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 71 reviews

Name: Fei Lao Hu Mei Wei Wu 
link: https://www.google.com/maps/search/%E8%82%A5%E8%80%81%E8%99%8E%E7%BE%8E%E5%91%B3%E5%B1%8B/@22.340300499999998,114.1527936?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews",https://boholic.oddle.me/zh_HK/reservations,Boholic (Ye Zhu ),https://www.google.com/maps/contrib/105610278739137090993,https://lh5.googleusercontent.com/p/AF1QipMDNpshaoKaSzRTDZONnSzSrADCH_VGzOzi_0cu=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Dian ",4.1,11:30-21:30,Open All Days,2388 3668,Chang Sha Wan Fu Hua Jie 561Hao 1Lou Jun Kai Hao Ting BoholicDi Pu Ji ,"Man Zhu , Xian Guo , Shu Hu Li , Cu Zhi , Zhu Tan , Shu Jiao ",https://www.google.com/maps/place/Boholic/data=!4m7!3m6!1s0x34040713430e49b5:0x9f63bd58a5c21314!8m2!3d22.3386398!4d114.1528881!16s%2Fg%2F11hm5vx0t5!19sChIJtUkOQxMHBDQRFBPCpVi9Y58?authuser=0&hl=zh-TW&rclk=1
ChIJYbDYjmxZXz4RRjb-6x_YACk,Dunkin',"Lao Zi Hao Lian Suo Dian ,Gong Ying Zhao Pai Zao Can Yu Duo Zhong Ka Pei Yin Pin . ",False,251,"Name: Dunkin' Drive Thru
link: https://www.google.com/maps/search/Dunkin%27+Drive+Thru/@25.3068134,55.3742245?authuser=0&hl=zh-TW&entry=ttu
Reviews: 316 reviews

Name: Donuts Time Al Mamzar
link: https://www.google.com/maps/search/Donuts+Time+Al+Mamzar/@25.309692,55.356750299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 161 reviews

Name: Dunkin' Donuts Office
link: https://www.google.com/maps/search/Dunkin%27+Donuts+Office/@25.343101299999997,55.385878299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",http://dunkin.ae/,Dunkin' (Ye Zhu ),https://www.google.com/maps/contrib/116251133628022037105,https://lh5.googleusercontent.com/p/AF1QipNT6ZU85bwmI8ntAvKsZNJ_LT0eRdVZBudfiiPV=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,06:00-01:00,Open All Days,+971 4 586 5061,Dunkin' - Co-op Society - 11 - Sharjah - A La Bo Lian He Qiu Chang Guo ,"Tian Tian Quan , De Lai Su , Che , Kong Jian , Bing Qi Lin , Ke Fu ",https://www.google.com/maps/place/Dunkin%27/data=!4m7!3m6!1s0x3e5f596c8ed8b061:0x2900d81febfe3646!8m2!3d25.345576!4d55.4226657!16s%2Fg%2F1pp2wzwpv!19sChIJYbDYjmxZXz4RRjb-6x_YACk?authuser=0&hl=zh-TW&rclk=1
ChIJJbREBHJZXz4R4xO4ZqSJxBM,Afamia Gourmet,,False,38,"Name: Feras Sweets
link: https://www.google.com/maps/search/Feras+Sweets/@25.345550199999998,55.431830899999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 555 reviews

Name: Afrina Sweets Wasit street Sharjah shr` wsT
link: https://www.google.com/maps/search/Afrina+Sweets+Wasit+street+Sharjah+%D8%B4%D8%A7%D8%B1%D8%B9+%D9%88%D8%A7%D8%B3%D8%B7/@25.3300781,55.4220481?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: lsyby llHlw~ l`mny@
link: https://www.google.com/maps/search/%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%A8%D9%8A+%D9%84%D9%84%D8%AD%D9%84%D9%88%D9%89+%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%86%D9%8A%D8%A9/@25.3344396,55.425536?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews",http://www.afamia.ae/,Afamia Gourmet (Ye Zhu ),https://www.google.com/maps/contrib/109825620992105082503,https://lh5.googleusercontent.com/p/AF1QipNqkJUctHWxES8tmiOLtHIISnuXmoVLy67DaynG=w493-h240-k-no,Tang Guo Gao Bing Dian ,Tang Guo Gao Bing Dian ,4.2,09:00-00:00,Open All Days,+971 6 544 1199,Afamia Gourmet - Al Abar - Halwan Suburb - Sharjah - A La Bo Lian He Qiu Chang Guo ,Jian Guo ,https://www.google.com/maps/place/Afamia+Gourmet/data=!4m7!3m6!1s0x3e5f59720444b425:0x13c489a466b813e3!8m2!3d25.3441236!4d55.4311038!16s%2Fg%2F11ql9g4hsj!19sChIJJbREBHJZXz4R4xO4ZqSJxBM?authuser=0&hl=zh-TW&rclk=1
ChIJsfS5CjhZXz4RIJkzzxoIoEg,Snackat Cafe | snkt kfyh,,False,33,"Name: Freez - Sharjah fryz
link: https://www.google.com/maps/search/Freez+-+Sharjah+%D9%81%D8%B1%D9%8A%D8%B2/@25.3442568,55.431160299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: Coffee & Cake
link: https://www.google.com/maps/search/Coffee+%26+Cake/@25.3686695,55.4045285?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Shaghf Cafe Wasit
link: https://www.google.com/maps/search/Shaghf+Cafe+Wasit/@25.3466353,55.4336822?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews

Name: A.dessert Cafe
link: https://www.google.com/maps/search/A.dessert+Cafe/@25.3108218,55.457640500000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Al Taka Cafeteria
link: https://www.google.com/maps/search/Al+Taka+Cafeteria/@25.3384452,55.4270807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",https://www.snackat.com/%3Futm_source%3DGMB_Listing%26utm_medium%3Dorganic%26utm_campaign%3Dhalwan_sharjah_branch,Snackat Cafe | snkt kfyh (Ye Zhu ),https://www.google.com/maps/contrib/113809064516608826855,https://lh5.googleusercontent.com/p/AF1QipMh-O80iTeXcdqjvSE3ftRe7QSqYc2EN4PbrZ-j=w408-h383-k-no,Tian Pin Dian ,"Tian Pin Dian , Mian Bao Xi Bing Dian , Ka Pei Ting , Xi Bing Dian , Tang Guo Dian , Qiao Ke Li Gong Jiang , Qiao Ke Li Ka Pei Guan , Zhu Gu Li Dian , Qu Qi Bing Dian , Bei Zi Dan Gao Dian ",4.1,12:00-22:00,Open All Days,+971 54 442 4715,Snackat Cafe | snkt kfyh - SHOP NO. 3 - Wasit St - opp. AL QASSIMI HOSPITAL - Al Abar - Halwan Suburb - Sharjah - A La Bo Lian He Qiu Chang Guo ,,https://www.google.com/maps/place/Snackat+Caf%C3%A9+%7C+%D8%B3%D9%86%D8%A7%D9%83%D8%A7%D8%AA+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e5f59380ab9f4b1:0x48a0081acf339920!8m2!3d25.3439933!4d55.4309627!16s%2Fg%2F11mtrtsvbl!19sChIJsfS5CjhZXz4RIJkzzxoIoEg?authuser=0&hl=zh-TW&rclk=1
ChIJd0G3OgUBBDQRZYF-7KMGfck,Fresh Coffee beans and tea house,,False,15,"Name: KOKO Coffee Roasters
link: https://www.google.com/maps/search/KOKO+Coffee+Roasters/@22.3750707,114.1101695?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews

Name: KoBaNe
link: https://www.google.com/maps/search/KoBaNe/@22.3750826,114.11024139999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Yuet Tea Yue Cha 
link: https://www.google.com/maps/search/Yuet+Tea+%E6%82%85%E8%8C%B6/@22.3736668,114.1061254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cha *Hou Shuo 
link: https://www.google.com/maps/search/%E8%8C%B6%C2%B7%E5%BE%8C%E8%AA%AA/@22.3726167,114.1094699?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://hkcoffee.com/phpbb2/viewtopic.php%3Ft%3D2975,Fresh Coffee beans and tea house (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPONUc6DU0Gn6JCWEajeEpvBqavUA6nylbesT-l=w408-h306-k-no,Cha Xie Dian ,Cha Xie Dian ,4.8,16:30-18:00,"Xing Qi San , Xing Qi Liu , Xing Qi Ri ",8209 2898,Quan Wan Chai Wan Jiao Jie 83-93Hao Rong Xing Gong Ye Da Sha Fresh Coffee beans and tea house906Shi ,Kao ,https://www.google.com/maps/place/Fresh+Coffee+beans+and+tea+house/data=!4m7!3m6!1s0x340401053ab74177:0xc97d06a3ec7e8165!8m2!3d22.3725809!4d114.1094778!16s%2Fg%2F11bxgmf4nm!19sChIJd0G3OgUBBDQRZYF-7KMGfck?authuser=0&hl=zh-TW&rclk=1
ChIJsxZUiphZXz4Rp0YIOkTgQjY,AL RAMAH CAFE,,False,6,"Name: Al Thameed Cafeteria
link: https://www.google.com/maps/search/Al+Thameed+Cafeteria/@25.342714899999997,55.4301118?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews

Name: AL JALLA CAFETERIA
link: https://www.google.com/maps/search/AL+JALLA+CAFETERIA/@25.3417441,55.4086879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: RashedAli Cafeteria
link: https://www.google.com/maps/search/RashedAli+Cafeteria/@25.346006499999998,55.4324204?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Al Hejaz Cafeteria
link: https://www.google.com/maps/search/Al+Hejaz+Cafeteria/@25.3678024,55.4047524?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Zahrath Al Manama Cafeteria
link: https://www.google.com/maps/search/Zahrath+Al+Manama+Cafeteria/@25.3462553,55.4209317?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://alramahcafe.online/,AL RAMAH CAFE (Ye Zhu ),https://www.google.com/maps/contrib/101121189477700341567,https://lh5.googleusercontent.com/p/AF1QipMOEn0I2MfSECYeGmgNWhMh5dAu-QHlHAeqbl7T=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,24 Xiao Shi Ying Ye ,Open All Days,+971 50 728 2154,"AL RAMAH CAFE, Al Ramah Cafe - Wasit St - near Halwan Centre - Al Abar - Halwan Suburb - Sharjah - A La Bo Lian He Qiu Chang Guo ",,https://www.google.com/maps/place/AL+RAMAH+CAFE/data=!4m7!3m6!1s0x3e5f59988a5416b3:0x3642e0443a0846a7!8m2!3d25.3465366!4d55.4328179!16s%2Fg%2F11spr243pk!19sChIJsxZUiphZXz4Rp0YIOkTgQjY?authuser=0&hl=zh-TW&rclk=1
ChIJ2Sm2m04ABDQRzd0Ht3HPAAU,Xiang Xing Ka Pei Shi ,,False,807,"Name: Peng Qing Ji 
link: https://www.google.com/maps/search/%E5%BD%AD%E6%85%B6%E8%A8%98/@22.2691569,114.1845232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 324 reviews

Name: Xiang Sheng Cha Can Ting 
link: https://www.google.com/maps/search/%E7%A5%A5%E5%8B%9D%E8%8C%B6%E9%A4%90%E5%BB%B3/@22.2697084,114.1850779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 237 reviews

Name: Wan Xing Cha Can Ting 
link: https://www.google.com/maps/search/%E8%90%AC%E8%88%88%E8%8C%B6%E9%A4%90%E5%BB%B3/@22.2684031,114.1867618?authuser=0&hl=zh-TW&entry=ttu
Reviews: 176 reviews

Name: Cotton Lane Cafe
link: https://www.google.com/maps/search/Cotton+Lane+Caf%C3%A9/@22.2688813,114.18653750000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews

Name: Xin Xiang Xing Cha Can Ting 
link: https://www.google.com/maps/search/%E6%96%B0%E7%A5%A5%E8%88%88%E8%8C%B6%E9%A4%90%E5%BB%B3/@22.269320999999998,114.1843756?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews",,Xiang Xing Ka Pei Shi  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMOA9TxmBo4QCIm2jaE9jKsy9uSIxOoKaWbVx9Y=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting ",3.7,07:00-17:00,Open All Days,2572 5097,Pao Ma Di Yi Yin Jie 9Hao Yi Yin Jie 9Hao Xiang Xing Ka Pei Shi ,"Bo Luo Bao , Dan Ta , Nai Cha , Cha Can Ting , Huai Jiu , Nai You , Qian Ming , Sha Dia , Bing Shi ",https://www.google.com/maps/place/%E7%A5%A5%E8%88%88%E5%92%96%E5%95%A1%E5%AE%A4/data=!4m7!3m6!1s0x3404004e9bb629d9:0x500cf71b707ddcd!8m2!3d22.2693572!4d114.1849808!16s%2Fg%2F155s8b4n!19sChIJ2Sm2m04ABDQRzd0Ht3HPAAU?authuser=0&hl=zh-TW&rclk=1
