place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJiTGYPVC9MRYRp8PsHZ6LFJU,Bun Coffee,,False,7,"Name: Nure Roasted Harar Coffee
link: https://www.google.com/maps/search/Nure+Roasted+Harar+Coffee/@9.3109825,42.1390563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Haro buna
link: https://www.google.com/maps/search/Haro+buna/@9.3113052,42.1218642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Centeral Cafe
link: https://www.google.com/maps/search/Centeral+Cafe/@9.311581000000002,42.131693299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Hikma kafe
link: https://www.google.com/maps/search/Hikma+kafe/@9.3007116,42.137511499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://website--3462401142846009169128-coffeeshop.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Bun Coffee (Ye Zhu ),https://www.google.com/maps/contrib/103314244159850960413,https://lh5.googleusercontent.com/p/AF1QipPa6qCVNXI42ipMc5wcl_F7tDdoPRm-Zb1S9N76=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,07:00-19:00,Open All Days,+251 93 680 0811,"Bun Coffee, Charleville Ave, Harar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Bun+Coffee/data=!4m7!3m6!1s0x1631bd503d983189:0x95148b9e1decc3a7!8m2!3d9.3114991!4d42.131244!16s%2Fg%2F11k6rdwgnx!19sChIJiTGYPVC9MRYRp8PsHZ6LFJU?authuser=0&hl=zh-TW&rclk=1
ChIJTWrPf869MRYR1CSxJNTHJKU,MORMOR HARRAR COFFEE,,False,1,"Name: HEBRON ADVERTISING AND PRINTING
link: https://www.google.com/maps/search/HEBRON+ADVERTISING+AND+PRINTING/@9.312213,42.1279278?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Odaa Online promotion site
link: https://www.google.com/maps/search/Odaa+Online+promotion+site/@9.3126494,42.1228407?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: TED Advertising
link: https://www.google.com/maps/search/TED+Advertising/@9.3120775,42.1228561?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: YD Printing & Advert
link: https://www.google.com/maps/search/YD+Printing+%26+Advert/@9.3125556,42.122682499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Tourisem Ethiopia
link: https://www.google.com/maps/search/Tourisem+Ethiopia/@9.3125556,42.122682499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://mormor-harar-coffee.blogspot.com/,MORMOR HARRAR COFFEE (Ye Zhu ),https://www.google.com/maps/contrib/110821143130315489622,https://lh5.googleusercontent.com/p/AF1QipN6HkgBilBhB3Bjxi7eqwAYyeOylD10YIdDnwiJ=w408-h272-k-no,Ka Pei Pi Fa Shang ,"Ka Pei Pi Fa Shang , Guang Gao Gong Si , Ka Pei Dian , Wai Dai Ka Pei Zhuan Mai Dian ",5,24 Xiao Shi Ying Ye ,Open All Days,,"MORMOR HARRAR COFFEE, Shawaber, Shash, Harar 3200Ai Sai E Bi Ya ",,https://www.google.com/maps/place/MORMOR+HARRAR+COFFEE/data=!4m7!3m6!1s0x1631bdce7fcf6a4d:0xa524c7d424b124d4!8m2!3d9.3094609!4d42.1321614!16s%2Fg%2F11t1ffthc2!19sChIJTWrPf869MRYR1CSxJNTHJKU?authuser=0&hl=zh-TW&rclk=1
ChIJNTeuOce9MRYRy5OEAXajyNg,Nure Roasted Harar Coffee,,False,12,"Name: Harla Cafe
link: https://www.google.com/maps/search/Harla+Cafe/@9.3047583,42.1288911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Bun Coffee
link: https://www.google.com/maps/search/Bun+Coffee/@9.311499099999999,42.131243999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: All day
link: https://www.google.com/maps/search/All+day/@9.3117584,42.125108499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Haro buna
link: https://www.google.com/maps/search/Haro+buna/@9.3113052,42.1218642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Nure Roasted Harar Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPooopn-cVXxF2HveazSrc-zrT-ahbrD-xLf8l0=w408-h408-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,08:00-17:30,Xing Qi Ri ,+251 25 666 3136,"846Q+9JV Nure Roasted Harar Coffee, Harar, Ai Sai E Bi Ya ",Kao ,https://www.google.com/maps/place/Nure+Roasted+Harar+Coffee/data=!4m7!3m6!1s0x1631bdc739ae3735:0xd8c8a376018493cb!8m2!3d9.3109825!4d42.1390563!16s%2Fg%2F1wrmhpgl!19sChIJNTeuOce9MRYRy5OEAXajyNg?authuser=0&hl=zh-TW&rclk=1
ChIJq7O7gDi9MRYR6QE-qOPnL4U,Nati Cafe & Restaurant,,False,11,"Name: Hirut Restaurant
link: https://www.google.com/maps/search/Hirut+Restaurant/@9.3151841,42.125868399999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: All day
link: https://www.google.com/maps/search/All+day/@9.3117584,42.125108499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Student Caffe
link: https://www.google.com/maps/search/Student+Caffe/@9.309444,42.1254833?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Timir Resturant
link: https://www.google.com/maps/search/Timir+Resturant/@9.313761699999999,42.1209896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Nati Cafe & Restaurant (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO49vq1Vb-UhFuSimxk9LuBg_zE5ii15xF8Rg2E=w408-h544-k-no,Can Ting ,Can Ting ,3.1,07:00-21:30,Open All Days,+251 93 212 6465,"8474+4VC Nati Cafe & Restaurant, A10, Harar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Nati+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x1631bd3880bbb3ab:0x852fe7e3a83e01e9!8m2!3d9.3128221!4d42.1071303!16s%2Fg%2F11gmxx4z11!19sChIJq7O7gDi9MRYR6QE-qOPnL4U?authuser=0&hl=zh-TW&rclk=1
ChIJS9zQDJe9MRYR42mQof7hghY,Harla Cafe,,False,9,"Name: Kim cafe
link: https://www.google.com/maps/search/Kim+cafe/@9.311431899999999,42.128985500000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Nure Roasted Harar Coffee
link: https://www.google.com/maps/search/Nure+Roasted+Harar+Coffee/@9.3109825,42.1390563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Asefa Restaurant
link: https://www.google.com/maps/search/Asefa+Restaurant/@9.3020427,42.1224992?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Student Caffe
link: https://www.google.com/maps/search/Student+Caffe/@9.309444,42.1254833?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,Harla Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNvcpmdmE-jh2aqM6fKy1avZU7vv3kOViKjOJ38=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,09:00-21:00,Open All Days,,"843H+WH2 Harla Cafe, Harar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Harla+Cafe/data=!4m7!3m6!1s0x1631bd970cd0dc4b:0x1682e1fea19069e3!8m2!3d9.3047583!4d42.1288911!16s%2Fg%2F11bz0bth9c!19sChIJS9zQDJe9MRYR42mQof7hghY?authuser=0&hl=zh-TW&rclk=1
ChIJLfaMVq69MRYRtSx--YCPw4g,Fares,,False,3,"Name: Student Caffe
link: https://www.google.com/maps/search/Student+Caffe/@9.309444,42.1254833?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Li's
link: https://www.google.com/maps/search/Li%E2%80%99s/@9.311430699999999,42.118476699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Haro buna
link: https://www.google.com/maps/search/Haro+buna/@9.3113052,42.1218642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Hikma kafe
link: https://www.google.com/maps/search/Hikma+kafe/@9.3007116,42.137511499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Fares (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOEJvwkujk5ONXV9qqfpqW2aZYLzzzWfR6U2aY0=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,3.3,,Open All Days,+251 91 219 7822,"847C+JQ2 Fares, Harar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Fares/data=!4m7!3m6!1s0x1631bdae568cf62d:0x88c38f80f97e2cb5!8m2!3d9.3140186!4d42.1218952!16s%2Fg%2F11rcwh5_k_!19sChIJLfaMVq69MRYRtSx--YCPw4g?authuser=0&hl=zh-TW&rclk=1
ChIJA5ctTne9MRYRf_yNSBUYLVs,Harar star,,False,3,"Name: Harar Brewery S.C.
link: https://www.google.com/maps/search/Harar+Brewery+S.C./@9.3004921,42.1261807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Nure Roasted Harar Coffee
link: https://www.google.com/maps/search/Nure+Roasted+Harar+Coffee/@9.3109825,42.1390563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Pastry Shop
link: https://www.google.com/maps/search/Pastry+Shop/@9.310905199999999,42.1343172?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Mulah bakery
link: https://www.google.com/maps/search/Mulah+bakery/@9.3078303,42.119564600000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: qaanaa segaa beetenaa gerosari
link: https://www.google.com/maps/search/%E1%89%83%E1%8A%93+%E1%88%B5%E1%8C%8B+%E1%89%A4%E1%89%B5%E1%8A%93+%E1%8C%8D%E1%88%AE%E1%88%B0%E1%88%AA/@9.3039391,42.1253168?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Harar star (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipORgxGTZs1_i2Dpl6r7WWmaVOc7PiHNjJHq1bZ9=w408-h725-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,2.3,,Open All Days,,"8459+4WM Harar star, Harar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Harar+star/data=!4m7!3m6!1s0x1631bd774e2d9703:0x5b2d1815488dfc7f!8m2!3d9.3078325!4d42.1197951!16s%2Fg%2F11qm9yjn15!19sChIJA5ctTne9MRYRf_yNSBUYLVs?authuser=0&hl=zh-TW&rclk=1
ChIJbdVbIHC9MRYRjsWaiuueNZM,Royal Garden Cafe And Restaurant,,False,3,,,Royal Garden Cafe And Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/111851023957810768810,https://lh5.googleusercontent.com/p/AF1QipN1cmRaWMJHXtqha7cvfT76T7zudBu9xZ7QMg2w=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4,09:00-17:00,Open All Days,+251 91 518 6083,"Royal Garden Cafe And Restaurant, Selassie, Harar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Royal+Garden+Cafe+And+Restaurant/data=!4m7!3m6!1s0x1631bd70205bd56d:0x93359eeb8a9ac58e!8m2!3d9.311354!4d42.1287493!16s%2Fg%2F11vb5gk3b4!19sChIJbdVbIHC9MRYRjsWaiuueNZM?authuser=0&hl=zh-TW&rclk=1
ChIJmQKmpry9MRYRVLvJ7_6fKL8,Canal Cafe,,False,3,"Name: Harla Cafe
link: https://www.google.com/maps/search/Harla+Cafe/@9.3047583,42.1288911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: All day
link: https://www.google.com/maps/search/All+day/@9.3117584,42.125108499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Haro buna
link: https://www.google.com/maps/search/Haro+buna/@9.3113052,42.1218642?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Centeral Cafe
link: https://www.google.com/maps/search/Centeral+Cafe/@9.311581000000002,42.131693299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Canal Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPyjhrsc6iBvF7UJzGgCmutZ5pwwIGxFmatwZYx=w408-h508-k-no,Ka Pei Ting ,Ka Pei Ting ,3.7,,Open All Days,+251 25 666 0805,"846H+HCJ Canal Cafe, Harar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Canal+Cafe/data=!4m7!3m6!1s0x1631bdbca6a60299:0xbf289ffeefc9bb54!8m2!3d9.3114573!4d42.1285129!16s%2Fg%2F1tfthl0t!19sChIJmQKmpry9MRYRVLvJ7_6fKL8?authuser=0&hl=zh-TW&rclk=1
ChIJSUYHega9MRYRqP8kQqZmAgg,Haro buna,,False,2,"Name: Nure Roasted Harar Coffee
link: https://www.google.com/maps/search/Nure+Roasted+Harar+Coffee/@9.3109825,42.1390563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Harla Cafe
link: https://www.google.com/maps/search/Harla+Cafe/@9.3047583,42.1288911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Bun Coffee
link: https://www.google.com/maps/search/Bun+Coffee/@9.311499099999999,42.131243999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Hikma kafe
link: https://www.google.com/maps/search/Hikma+kafe/@9.3007116,42.137511499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Haro buna (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMmhB6ZMTg_EoKL5UjWdXtSLs10QvwhYv0QwlT3=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,5,08:00-05:01,"Xing Qi Ri , Xing Qi Liu ",,"846C+GPH Haro buna, Butta St, Harar, Ai Sai E Bi Ya ",,https://www.google.com/maps/place/Haro+buna/data=!4m7!3m6!1s0x1631bd067a074649:0x80266a64224ffa8!8m2!3d9.3113052!4d42.1218642!16s%2Fg%2F11l_gbs88k!19sChIJSUYHega9MRYRqP8kQqZmAgg?authuser=0&hl=zh-TW&rclk=1
