place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJKVVoHZvnJjkRtLVDF6ictBM,REHMAN TRADERS HARNOLI,,False,14,"Name: Harnoli Bazar
link: https://www.google.com/maps/search/Harnoli+Bazar/@32.2801128,71.55510029999999?authuser=0&hl=nl&entry=ttu
Reviews: 99 reviews

Name: Hammad Sweet Harnoli Hmdswytt hrnwly
link: https://www.google.com/maps/search/Hammad+Sweet+Harnoli+%D8%AD%D9%85%D8%A7%D8%AF%D8%B3%D9%88%DB%8C%D9%B9+%DB%81%D8%B1%D9%86%D9%88%D9%84%DB%8C/@32.2890577,71.5645522?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: `dyl khrynh
link: https://www.google.com/maps/search/%D8%B9%D8%AF%DB%8C%D9%84+%DA%A9%D8%B1%DB%8C%D8%A7%D9%86%DB%81/@32.2805156,71.5578791?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: khbr khrynh
link: https://www.google.com/maps/search/%D8%A7%DA%A9%D8%A8%D8%B1+%DA%A9%D8%B1%DB%8C%D8%A7%D9%86%DB%81/@32.2803524,71.5578099?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: HAJI ASGHAR KARAYNA MERCHANT
link: https://www.google.com/maps/search/HAJI+ASGHAR+KARAYNA+MERCHANT/@32.2890872,71.5541355?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/profile.php%3Fid%3D100010639726601,REHMAN TRADERS HARNOLI (eigenaar),https://www.google.com/maps/contrib/115900763375702374129,https://lh5.googleusercontent.com/p/AF1QipOFwnp5npQRyLfgO1JNapaHiRK39QRJDSYifadT=w408-h544-k-no,Kruidenier,"Kruidenier, Supermarkt",4,,Open All Days,+92 301 2133444,"REHMAN TRADERS HARNOLI, Wan Bhachran Harnoli Rd, near MCB bank, Harnoli, Mianwali, Punjab 42020, Pakistan",,https://www.google.com/maps/place/REHMAN+TRADERS+HARNOLI/data=!4m7!3m6!1s0x3926e79b1d685529:0x13b49ca81743b5b4!8m2!3d32.2886331!4d71.5591229!16s%2Fg%2F11m9qfw7rq!19sChIJKVVoHZvnJjkRtLVDF6ictBM?authuser=0&hl=nl&rclk=1
ChIJUQVForfnJjkREftWfHRvU2U,Mudasir Ali milk bottle,,False,,"Name: RAHEEL Joice Point & Milk Shop
link: https://www.google.com/maps/search/%F0%9D%99%8D%F0%9D%98%BC%F0%9D%99%83%F0%9D%99%80%F0%9D%99%80%F0%9D%99%87+%F0%9D%99%85%F0%9D%99%A4%F0%9D%99%9E%F0%9D%99%98%F0%9D%99%9A+%F0%9D%99%8B%F0%9D%99%A4%F0%9D%99%9E%F0%9D%99%A3%F0%9D%99%A9+%26+%F0%9D%99%88%F0%9D%99%9E%F0%9D%99%A1%F0%9D%99%A0+%F0%9D%99%8E%F0%9D%99%9D%F0%9D%99%A4%F0%9D%99%A5/@32.2412023,71.62045309999999?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Mudasir Drink Corner
link: https://www.google.com/maps/search/Mudasir+Drink+Corner/@32.2870468,71.3631568?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Multani qulfi
link: https://www.google.com/maps/search/Multani+qulfi/@32.2888404,71.5590416?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews

Name: Tehzeeb milk shop
link: https://www.google.com/maps/search/Tehzeeb+milk+shop/@32.2890872,71.5541355?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",https://uplinks.co/premium/dl-gb-wa-pro,Mudasir Ali milk bottle (eigenaar),https://www.google.com/maps/contrib/112090230225922786421,https://lh5.googleusercontent.com/p/AF1QipO7BFGHJvrnABsBp6qtb2UTWRR5k0_JmmBjk4X9=w426-h240-k-no,IJssalon,IJssalon,,15:00-23:00,Open All Days,+92 321 1628528,"Mudasir Ali milk bottle, City road, Harnoli, Mianwali, Punjab 42020, Pakistan",,https://www.google.com/maps/place/Mudasir+Ali+milk+bottle/data=!4m7!3m6!1s0x3926e7b7a2450551:0x65536f747c56fb11!8m2!3d32.288657!4d71.5553459!16s%2Fg%2F11qbs92krl!19sChIJUQVForfnJjkREftWfHRvU2U?authuser=0&hl=nl&rclk=1
ChIJXwGq6ZDnJjkR5kMtjZW4B28,Harnoli Bazar,,False,99,"Name: Hammad Sweet Harnoli Hmdswytt hrnwly
link: https://www.google.com/maps/search/Hammad+Sweet+Harnoli+%D8%AD%D9%85%D8%A7%D8%AF%D8%B3%D9%88%DB%8C%D9%B9+%DB%81%D8%B1%D9%86%D9%88%D9%84%DB%8C/@32.2890577,71.5645522?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: Waseem sweet shop wsym s'wytt shp
link: https://www.google.com/maps/search/Waseem+sweet+shop+%D9%88%D8%B3%DB%8C%D9%85+%D8%B3%D9%B6%DB%8C%D9%B9+%D8%B4%D8%A7%D9%BE/@32.2798805,71.5557895?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: `dyl khrynh
link: https://www.google.com/maps/search/%D8%B9%D8%AF%DB%8C%D9%84+%DA%A9%D8%B1%DB%8C%D8%A7%D9%86%DB%81/@32.2805156,71.5578791?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Harnoli Sweet Shop
link: https://www.google.com/maps/search/Harnoli+Sweet+Shop/@32.2811684,71.5560655?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: khtr ary'yN khhwlw
link: https://www.google.com/maps/search/%D8%A7%D8%AE%D8%AA%D8%B1+%D8%A2%D8%B1%D8%A7%D8%A6%DB%8C%DA%BA+%DA%A9%DB%81%D9%88%D9%84%D9%88/@32.2811732,71.5579771?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Harnoli Bazar (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipNRQX-OKw34QPvBJGJ6jBZnnhPTLXSIxmfI7zjo=w426-h240-k-no,Supermarkt,Supermarkt,4.1,18:00-22:00,Open All Days,,"7HJ4+22X Harnoli Bazar, Harnoli, Mianwali, Punjab, Pakistan",,https://www.google.com/maps/place/Harnoli+Bazar/data=!4m7!3m6!1s0x3926e790e9aa015f:0x6f07b8958d2d43e6!8m2!3d32.2801128!4d71.5551003!16s%2Fg%2F11gycfbxlf!19sChIJXwGq6ZDnJjkR5kMtjZW4B28?authuser=0&hl=nl&rclk=1
ChIJiQmxcnPnJjkRPoJh8Q8EpRw,Asif Hotel Harnoli.,,False,26,"Name: Asif and Brother Hotel
link: https://www.google.com/maps/search/Asif+and+Brother+Hotel/@32.4296748,71.4724774?authuser=0&hl=nl&entry=ttu
Reviews: 22 reviews

Name: Anwar Hotel
link: https://www.google.com/maps/search/Anwar+Hotel/@32.4211689,71.6982149?authuser=0&hl=nl&entry=ttu
Reviews: 14 reviews

Name: bhchr nmkhyn hwttl
link: https://www.google.com/maps/search/%D8%A8%DA%BE%DA%86%D8%B1+%D9%86%D9%85%DA%A9%DB%8C%D9%86+%DB%81%D9%88%D9%B9%D9%84/@32.2891541,71.5761266?authuser=0&hl=nl&entry=ttu
Reviews: 11 reviews

Name: Rajpoot Housing
link: https://www.google.com/maps/search/Rajpoot+Housing/@32.2801834,71.55798709999999?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Sahiya hotel
link: https://www.google.com/maps/search/Sahiya+hotel/@32.2891875,71.5279375?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",,Asif Hotel Harnoli. (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipOgqt7BT5vwU3V7e5GSBjZIheOEIizzn5lTLL2T=w408-h408-k-no,Aziatisch restaurant,Aziatisch restaurant,4,,Open All Days,+92 306 3166339,"7HQ2+J8G Asif Hotel Harnoli., Wan Bhachran Harnoli Rd, Harnoli, Mianwali, Punjab, Pakistan",,https://www.google.com/maps/place/Asif+Hotel+Harnoli./data=!4m7!3m6!1s0x3926e77372b10989:0x1ca5040ff161823e!8m2!3d32.2890725!4d71.5508368!16s%2Fg%2F11c5_sbmlm!19sChIJiQmxcnPnJjkRPoJh8Q8EpRw?authuser=0&hl=nl&rclk=1
ChIJwfcHbpbnJjkRUZsTMpXnDN4,LAAL BADSHAH HOTEL & BAR.B.Q,,False,22,"Name: lmkhh hwttl
link: https://www.google.com/maps/search/%D8%A7%D9%84%D9%85%DA%A9%DB%81+%DB%81%D9%88%D9%B9%D9%84/@32.4019905,71.6770308?authuser=0&hl=nl&entry=ttu
Reviews: 56 reviews

Name: Bismillah Moch Hotel
link: https://www.google.com/maps/search/Bismillah+Moch+Hotel/@32.3891287,71.53493619999999?authuser=0&hl=nl&entry=ttu
Reviews: 23 reviews

Name: Lahori Bar B Q
link: https://www.google.com/maps/search/Lahori+Bar+B+Q/@32.2859352,71.4436468?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: l`l bdshh hnddy hwttl yndd br by khyw pplN
link: https://www.google.com/maps/search/%D9%84%D8%B9%D9%84+%D8%A8%D8%A7%D8%AF%D8%B4%D8%A7%DB%81+%DA%BE%D8%A7%D9%86%DA%88%DB%8C+%DA%BE%D9%88%D9%B9%D9%84+%D8%A7%DB%8C%D9%86%DA%88+%D8%A8%D8%A7%D8%B1+%D8%A8%DB%8C+%DA%A9%DB%8C%D9%88+%D9%BE%D9%BE%D9%84%D8%A7%DA%BA/@32.286990599999996,71.3712194?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Lahore Resturent
link: https://www.google.com/maps/search/Lahore+Resturent/@32.2859489,71.4434003?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,LAAL BADSHAH HOTEL & BAR.B.Q (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipNOq169uQROWCxJ64HjyRdxQH6zWNsSkfMrDHCI=w530-h240-k-no,Familierestaurant,Familierestaurant,4.4,24 uur geopend,Open All Days,+92 301 7803245,"7GQW+PW9 LAAL BADSHAH HOTEL & BAR.B.Q, Wan Bhachran, Road, Harnoli, Mianwali, Punjab, Pakistan",,https://www.google.com/maps/place/LAAL+BADSHAH+HOTEL+%26+BAR.B.Q/data=!4m7!3m6!1s0x3926e7966e07f7c1:0xde0ce79532139b51!8m2!3d32.2892867!4d71.547375!16s%2Fg%2F11ll7d55h2!19sChIJwfcHbpbnJjkRUZsTMpXnDN4?authuser=0&hl=nl&rclk=1
ChIJQ2kkMTXdJjkRXgB92lCP6cU,nyw Hmdkhn hwttl hrnwly,,False,12,"Name: bhchr nmkhyn hwttl
link: https://www.google.com/maps/search/%D8%A8%DA%BE%DA%86%D8%B1+%D9%86%D9%85%DA%A9%DB%8C%D9%86+%DB%81%D9%88%D9%B9%D9%84/@32.2891541,71.5761266?authuser=0&hl=nl&entry=ttu
Reviews: 11 reviews

Name: Jazi Hotel
link: https://www.google.com/maps/search/Jazi+Hotel/@32.2930282,71.58297830000001?authuser=0&hl=nl&entry=ttu
Reviews: 10 reviews

Name: sbHnyh hwttl
link: https://www.google.com/maps/search/%D8%B3%D8%A8%D8%AD%D8%A7%D9%86%DB%8C%DB%81+%DB%81%D9%88%D9%B9%D9%84/@32.2926374,71.5831948?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews",,nyw Hmdkhn hwttl hrnwly (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipP67QZ-LdmDIDvJiAwdY93Y8hmtFT-0nRId08Q5=w426-h240-k-no,Restaurant,Restaurant,4.7,,Open All Days,+92 300 6090757,"7HQG+MF8 nyw Hmdkhn hwttl hrnwly, Wan Bhachran Harnoli Rd, Mianwali, Punjab, Pakistan",,https://www.google.com/maps/place/%D9%86%DB%8C%D9%88+%D8%AD%D9%85%D8%A7%D8%AF%D8%AE%D8%A7%D9%86+%DA%BE%D9%88%D9%B9%D9%84+%DA%BE%D8%B1%D9%86%D9%88%D9%84%DB%8C%E2%80%AD/data=!4m7!3m6!1s0x3926dd3531246943:0xc5e98f50da7d005e!8m2!3d32.2891525!4d71.5762179!16s%2Fg%2F11jk_pjl9p!19sChIJQ2kkMTXdJjkRXgB92lCP6cU?authuser=0&hl=nl&rclk=1
ChIJJxQG4nDnJjkRNUhMsgwVodY,Lahori pizza & fast food harnoli,,False,7,"Name: LAAL BADSHAH HOTEL & BAR.B.Q
link: https://www.google.com/maps/search/LAAL+BADSHAH+HOTEL+%26+BAR.B.Q/@32.2892867,71.547375?authuser=0&hl=nl&entry=ttu
Reviews: 22 reviews

Name: Lahori Bar B Q
link: https://www.google.com/maps/search/Lahori+Bar+B+Q/@32.2859352,71.4436468?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: sbHnyh hwttl
link: https://www.google.com/maps/search/%D8%B3%D8%A8%D8%AD%D8%A7%D9%86%DB%8C%DB%81+%DB%81%D9%88%D9%B9%D9%84/@32.2926374,71.5831948?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Baloch Restaurant
link: https://www.google.com/maps/search/Baloch+Restaurant/@32.3628492,71.53103039999999?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Rajpoot Restaurant
link: https://www.google.com/maps/search/Rajpoot+Restaurant/@32.2890473,71.5628488?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Lahori pizza & fast food harnoli (eigenaar),https://www.google.com/maps/contrib/107198098211639610193,https://lh5.googleusercontent.com/p/AF1QipMVaoYlKgTRNgFrjLHGKMbuw0XHBPkwH6q-1t8M=w408-h905-k-no,Snackbar,Snackbar,4.4,08:00-21:45,Open All Days,+92 300 6103755,"Lahori pizza & fast food harnoli, Wan Bhachran, Road, Harnoli, Mianwali, Punjab, Pakistan",,https://www.google.com/maps/place/Lahori+pizza+%26+fast+food+harnoli/data=!4m7!3m6!1s0x3926e770e2061427:0xd6a1150cb24c4835!8m2!3d32.2890243!4d71.5540553!16s%2Fg%2F11fqgc0f40!19sChIJJxQG4nDnJjkRNUhMsgwVodY?authuser=0&hl=nl&rclk=1
ChIJ3f_AL3PnJjkRpxk3SBM88Wc,Hammad Sweet Harnoli Hmdswytt hrnwly,,False,5,"Name: Harnoli Bazar
link: https://www.google.com/maps/search/Harnoli+Bazar/@32.2801128,71.55510029999999?authuser=0&hl=nl&entry=ttu
Reviews: 99 reviews

Name: Waseem sweet shop wsym s'wytt shp
link: https://www.google.com/maps/search/Waseem+sweet+shop+%D9%88%D8%B3%DB%8C%D9%85+%D8%B3%D9%B6%DB%8C%D9%B9+%D8%B4%D8%A7%D9%BE/@32.2798805,71.5557895?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Harnoli Sweet Shop
link: https://www.google.com/maps/search/Harnoli+Sweet+Shop/@32.2811684,71.5560655?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: khtr ary'yN khhwlw
link: https://www.google.com/maps/search/%D8%A7%D8%AE%D8%AA%D8%B1+%D8%A2%D8%B1%D8%A7%D8%A6%DB%8C%DA%BA+%DA%A9%DB%81%D9%88%D9%84%D9%88/@32.2811732,71.5579771?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Khushab Sweet & Baker and General Store
link: https://www.google.com/maps/search/Khushab+Sweet+%26+Baker+and+General+Store/@32.288623799999996,71.554973?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Hammad Sweet Harnoli Hmdswytt hrnwly (eigenaar),https://www.google.com/maps/contrib/102045724717662348475,https://lh5.googleusercontent.com/p/AF1QipPhQ5zMHvEkWtqLUQKe3H7gl8XH0bZhjtOWaA2G=w408-h725-k-no,Kruidenier,Kruidenier,5,07:00-21:00,Open All Days,+92 300 3328017,"Hammad Sweet Harnoli Hmdswytt hrnwly, Wan Bhachran/Harno, i Road, Harnoli, 42020, Pakistan",,https://www.google.com/maps/place/Hammad+Sweet+Harnoli+%D8%AD%D9%85%D8%A7%D8%AF%D8%B3%D9%88%DB%8C%D9%B9+%DB%81%D8%B1%D9%86%D9%88%D9%84%DB%8C%E2%80%AD/data=!4m7!3m6!1s0x3926e7732fc0ffdd:0x67f13c13483719a7!8m2!3d32.2890577!4d71.5645522!16s%2Fg%2F11np0sd835!19sChIJ3f_AL3PnJjkRpxk3SBM88Wc?authuser=0&hl=nl&rclk=1
ChIJXUElNHfnJjkR4jES57plN1o,Sami Awan Chicken Shop Harnoli,,False,5,"Name: Amjid Nimko Shop
link: https://www.google.com/maps/search/Amjid+Nimko+Shop/@32.241668499999996,71.6207459?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Mosa Bhai Chicken Shop mwsy bhy'y chkhn shp
link: https://www.google.com/maps/search/Mosa+Bhai+Chicken+Shop+%D9%85%D9%88%D8%B3%DB%8C%D9%B0+%D8%A8%DA%BE%D8%A7%D8%A6%DB%8C+%DA%86%DA%A9%D9%86+%D8%B4%D8%A7%D9%BE/@32.263824899999996,71.5074405?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Ameer Alam Chicken Shop
link: https://www.google.com/maps/search/Ameer+Alam+Chicken+Shop/@32.212648,71.46325?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Afridi nimko shop
link: https://www.google.com/maps/search/Afridi+nimko+shop/@32.2773356,71.5545911?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Sami Awan Chicken Shop Harnoli (eigenaar),,,Kiprestaurant,Kiprestaurant,4.6,07:00-19:30,"zaterdag, zondag",+92 334 5578976,"7HQ5+CGV Sami Awan Chicken Shop Harnoli, Wan Bhachran Harnoli Rd, Harnoli, Mianwali, Punjab, Pakistan",,https://www.google.com/maps/place/Sami+Awan+Chicken+Shop+Harnoli/data=!4m7!3m6!1s0x3926e7773425415d:0x5a3765bae71231e2!8m2!3d32.2886144!4d71.5588059!16s%2Fg%2F11c2p8hkyk!19sChIJXUElNHfnJjkR4jES57plN1o?authuser=0&hl=nl&rclk=1
ChIJ7cKmjK_nJjkRz81Bx1Po08o,Rana Tanveer Internet Cafe,,False,4,"Name: Balouch Internet Services
link: https://www.google.com/maps/search/Balouch+Internet+Services/@32.2147601,71.4596859?authuser=0&hl=nl&entry=ttu
Reviews: 6 reviews

Name: Abid Joyia Town
link: https://www.google.com/maps/search/Abid+Joyia+Town/@32.3318867,71.5209745?authuser=0&hl=nl&entry=ttu
Reviews: 5 reviews

Name: Telenor Tower
link: https://www.google.com/maps/search/Telenor+Tower/@32.2130497,71.4636482?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Mustqeem Mobile Shop
link: https://www.google.com/maps/search/Mustqeem+Mobile+Shop/@32.2128422,71.2027931?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Net Cloud Broadband Pvt Ltd
link: https://www.google.com/maps/search/Net+Cloud+Broadband+Pvt+Ltd/@32.4191023,71.69699849999999?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,Rana Tanveer Internet Cafe (eigenaar),,,Internetcafe,Internetcafe,5,,Open All Days,+92 300 6084255,"7HV6+6MV Rana Tanveer Internet Cafe, Harnoli, Mianwali, Punjab, Pakistan",,https://www.google.com/maps/place/Rana+Tanveer+Internet+Cafe/data=!4m7!3m6!1s0x3926e7af8ca6c2ed:0xcad3e853c741cdcf!8m2!3d32.2931132!4d71.5616855!16s%2Fg%2F11q2s8f9bg!19sChIJ7cKmjK_nJjkRz81Bx1Po08o?authuser=0&hl=nl&rclk=1
