place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJoQRyXMxZwUcRkfYFWoCkiGY,Colruyt Heist-op-den-Berg,,False,987,"Name: Lidl
link: https://www.google.com/maps/search/Lidl/@51.059222399999996,4.7147393?authuser=0&hl=zh-TW&entry=ttu
Reviews: 703 reviews

Name: ALDI
link: https://www.google.com/maps/search/ALDI/@51.0694549,4.7350299?authuser=0&hl=zh-TW&entry=ttu
Reviews: 681 reviews

Name: SPAR
link: https://www.google.com/maps/search/SPAR/@51.0507595,4.7754103?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Carrefour market HEIST-OP-DEN-BERG
link: https://www.google.com/maps/search/Carrefour+market+HEIST-OP-DEN-BERG/@51.076969299999995,4.7186296?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews

Name: Collect&Go
link: https://www.google.com/maps/search/Collect%26Go/@51.072058399999996,4.6994167?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews",https://www.colruyt.be/nl/winkelzoeker/colruyt-heist-op-den-berg,Colruyt Heist-op-den-Berg (Ye Zhu ),https://www.google.com/maps/contrib/111373943958582166323,https://lh5.googleusercontent.com/p/AF1QipNTB-OJaWkMZY4cHBi-7ZbqBqLjtjPTQjya5R2Q=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.1,08:30-20:00,Xing Qi Ri ,+32 15 25 12 61,"Colruyt Heist-op-den-Berg, Mechelsesteenweg 40, 2220 Heist-op-den-Berg, Bi Li Shi ","Yuan Gong , Jia Ge , Ting Che , Gong Ying , Ya Li , Pin Zhi , Ke Ren , Yi Dao Cai ",https://www.google.com/maps/place/Colruyt+Heist-op-den-Berg/data=!4m7!3m6!1s0x47c159cc5c7204a1:0x6688a4805a05f691!8m2!3d51.0716711!4d4.6999806!16s%2Fg%2F1tl8jw1r!19sChIJoQRyXMxZwUcRkfYFWoCkiGY?authuser=0&hl=zh-TW&rclk=1
ChIJS8TJO8dZwUcRYWd-sLufdgo,Lidl,,False,703,"Name: Colruyt Heist-op-den-Berg
link: https://www.google.com/maps/search/Colruyt+Heist-op-den-Berg/@51.0716711,4.6999806?authuser=0&hl=zh-TW&entry=ttu
Reviews: 987 reviews

Name: ALDI
link: https://www.google.com/maps/search/ALDI/@51.0694549,4.7350299?authuser=0&hl=zh-TW&entry=ttu
Reviews: 681 reviews

Name: Cannaerts Food bvba
link: https://www.google.com/maps/search/Cannaerts+Food+bvba/@51.07084270000001,4.7198543?authuser=0&hl=zh-TW&entry=ttu
Reviews: 345 reviews

Name: Carrefour market HEIST-OP-DEN-BERG
link: https://www.google.com/maps/search/Carrefour+market+HEIST-OP-DEN-BERG/@51.076969299999995,4.7186296?authuser=0&hl=zh-TW&entry=ttu
Reviews: 167 reviews",https://www.lidl.be/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/114309190891057663231,https://lh5.googleusercontent.com/p/AF1QipMhaOHwqJ1TNi9qaLBkWOu00Ri6H3aGD48-MYHk=w425-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Ping Jia Chao Ji Shi Chang ",4.1,08:30-20:00,Xing Qi Ri ,,"Lidl, Schoorstraat 5, 2220 Heist-op-den-Berg, Bi Li Shi ","Yuan Gong , Jia Ge , Ting Che , Pin Zhi , Ke Ren , Tui Guang , Yi Dao Cai , Mian Bao Dian ",https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x47c159c73bc9c44b:0xa769fbbb07e6761!8m2!3d51.0592224!4d4.7147393!16s%2Fg%2F11h7d7dd0f!19sChIJS8TJO8dZwUcRYWd-sLufdgo?authuser=0&hl=zh-TW&rclk=1
ChIJu-HZSOZZwUcRUUtWCutOY94,'t Hoekske,,False,686,"Name: 't Pleintje
link: https://www.google.com/maps/search/%27t+Pleintje/@51.074852299999996,4.727022?authuser=0&hl=zh-TW&entry=ttu
Reviews: 504 reviews

Name: 't Eetkafee Heist
link: https://www.google.com/maps/search/%27t+Eetkafee+Heist/@51.075365299999994,4.7271111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 337 reviews

Name: The Old Kettle
link: https://www.google.com/maps/search/The+Old+Kettle/@51.0751123,4.7265755?authuser=0&hl=zh-TW&entry=ttu
Reviews: 163 reviews

Name: 't Kaffepotteke
link: https://www.google.com/maps/search/%27t+Kaffepotteke/@51.076308,4.722165899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: La Tazza
link: https://www.google.com/maps/search/La+Tazza/@51.076473299999996,4.7210027?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews",https://www.hoekske.be/,'t Hoekske (Ye Zhu ),https://www.google.com/maps/contrib/112652508150820535217,https://lh5.googleusercontent.com/p/AF1QipOjQ31NOtLXv88dHa8TJ_pvDSHMOVgCH3c4Nya5=w427-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,09:30-00:00,Open All Days,+32 15 25 09 28,"'t Hoekske, Bergstraat 2, 2220 Heist-op-den-Berg, Bi Li Shi ","tapas, Pi Jiu , Yuan Gong , Xiao Chi , Xia Tian , Yi Fen , Pi Sa ",https://www.google.com/maps/place/%27%27t+Hoekske%27/data=!4m7!3m6!1s0x47c159e648d9e1bb:0xde634eeb0a564b51!8m2!3d51.0752823!4d4.7270398!16s%2Fg%2F1tf5cx8p!19sChIJu-HZSOZZwUcRUUtWCutOY94?authuser=0&hl=zh-TW&rclk=1
ChIJZaJNud1ZwUcR-OBSGBYul28,Staminee The Living,,False,609,"Name: 't Pleintje
link: https://www.google.com/maps/search/%27t+Pleintje/@51.074852299999996,4.727022?authuser=0&hl=zh-TW&entry=ttu
Reviews: 504 reviews

Name: Tante Trien
link: https://www.google.com/maps/search/Tante+Trien/@51.076622199999996,4.7189473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews

Name: the Hosp
link: https://www.google.com/maps/search/the+Hosp/@51.0748293,4.7271681999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Cafe Den Don
link: https://www.google.com/maps/search/Cafe+Den+Don/@51.084102099999996,4.729355?authuser=0&hl=zh-TW&entry=ttu
Reviews: 162 reviews

Name: De Vijzen
link: https://www.google.com/maps/search/De+Vijzen/@51.076944,4.7186328?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews",https://www.stamineedeliving.be/,Staminee The Living (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNbdzPL4FUzJPcKylLmvIPRLAdgtpF8gzN1pJVh=w493-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,11:00-00:00,Xing Qi Er ,+32 494 65 11 33,"Staminee The Living, Neerweg, 2220 Heist-op-den-Berg, Bi Li Shi ","Pi Jiu , Yin Le , Yuan Gong , Di Tu , Jia Ge , Zhou Ri ",https://www.google.com/maps/place/Staminee+The+Living/data=!4m7!3m6!1s0x47c159ddb94da265:0x6f972e161852e0f8!8m2!3d51.0774731!4d4.7214085!16s%2Fg%2F119t_3tb8!19sChIJZaJNud1ZwUcR-OBSGBYul28?authuser=0&hl=zh-TW&rclk=1
ChIJwSmPY9xZwUcRxpiCp57pKQs,Hamburg,,False,579,"Name: Punch
link: https://www.google.com/maps/search/Punch/@51.0759128,4.718312900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 372 reviews

Name: 't Eetkafee Heist
link: https://www.google.com/maps/search/%27t+Eetkafee+Heist/@51.075365299999994,4.7271111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 337 reviews

Name: The Black Horse
link: https://www.google.com/maps/search/The+Black+Horse/@51.0756966,4.7248553?authuser=0&hl=zh-TW&entry=ttu
Reviews: 262 reviews

Name: 't Kaffepotteke
link: https://www.google.com/maps/search/%27t+Kaffepotteke/@51.076308,4.722165899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: 't Sonneschot
link: https://www.google.com/maps/search/%27t+Sonneschot/@51.06222330000001,4.7442145?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews",http://hamburg-heist.be/,Hamburg (Ye Zhu ),https://www.google.com/maps/contrib/114431183223450236948,https://lh5.googleusercontent.com/p/AF1QipOvzdFHxG6FAng07uxBIVBafMTKj6eRZugGTwra=w408-h306-k-no,Can Ting ,Can Ting ,4.2,12:00-20:30,Xing Qi Yi ,+32 15 68 10 68,"Hamburg, Bergstraat 135, 2220 Heist-op-den-Berg, Bi Li Shi ","Shu Tiao , Jia Ge , Yuan Gong , Rou , Chu Fang , Diao Jiu , Qian Cai , Jing Yan , Yi Fu ",https://www.google.com/maps/place/Hamburg/data=!4m7!3m6!1s0x47c159dc638f29c1:0xb29e99ea78298c6!8m2!3d51.076906!4d4.7180319!16s%2Fg%2F11c6q7z9hd!19sChIJwSmPY9xZwUcRxpiCp57pKQs?authuser=0&hl=zh-TW&rclk=1
ChIJYTlWzc9ZwUcRBwV2Knjbl5I,Kosmonaut,,False,521,"Name: 't Hoekske
link: https://www.google.com/maps/search/%27t+Hoekske/@51.0752823,4.7270398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 686 reviews

Name: Bar Hootch
link: https://www.google.com/maps/search/Bar+Hootch/@51.077722099999995,4.7242865?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: Ampersand
link: https://www.google.com/maps/search/Ampersand/@51.077397,4.714679299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Kaffee Den Afgrond In De Swa(e)nekelder
link: https://www.google.com/maps/search/Kaffee+Den+Afgrond+In+De+Swa%28e%29nekelder/@51.0757079,4.729097599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Moose bar
link: https://www.google.com/maps/search/Moose+bar/@51.0749784,4.7274747?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://nl-nl.facebook.com/deKosmonaut/,Kosmonaut (Ye Zhu ),https://www.google.com/maps/contrib/116308829101680424743,https://lh5.googleusercontent.com/p/AF1QipPcxjonT_yB3wQ5bk3DmwN0xVTl_-Vj1cDaGY-E=w424-h240-k-no,Jiu Ba ,"Jiu Ba , Ka Pei Ting , Hua Shi Zhuang Qiu Ju Le Bu ",4.6,12:00-01:00,Xing Qi Yi ,,"Kosmonaut, Mechelsesteenweg 12, 2220 Heist-op-den-Berg, Bi Li Shi ","Yuan Gong , Nian Ling , Xiao Chi ",https://www.google.com/maps/place/Kosmonaut/data=!4m7!3m6!1s0x47c159cfcd563961:0x9297db782a760507!8m2!3d51.0738895!4d4.7068362!16s%2Fg%2F11c6yz4lls!19sChIJYTlWzc9ZwUcRBwV2Knjbl5I?authuser=0&hl=zh-TW&rclk=1
ChIJRXBxOOZZwUcR-IHtioJxyew,'t Pleintje,,False,505,"Name: 't Hoekske
link: https://www.google.com/maps/search/%27t+Hoekske/@51.0752823,4.7270398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 686 reviews

Name: The Old Kettle
link: https://www.google.com/maps/search/The+Old+Kettle/@51.0751123,4.7265755?authuser=0&hl=zh-TW&entry=ttu
Reviews: 163 reviews

Name: 't Kaffepotteke
link: https://www.google.com/maps/search/%27t+Kaffepotteke/@51.076308,4.722165899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: Cafe Centrum
link: https://www.google.com/maps/search/Cafe+Centrum/@51.075515499999995,4.7259389?authuser=0&hl=zh-TW&entry=ttu
Reviews: 39 reviews",http://www.cafehetpleintje.be/,'t Pleintje (Ye Zhu ),https://www.google.com/maps/contrib/113465565512143873559,https://lh5.googleusercontent.com/p/AF1QipMuJZGSKw095JSYRcLf7WVgYcoi9CANWbPxrvZm=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,10:00-00:00,Open All Days,+32 15 24 11 27,"'t Pleintje, Oude Godstraat 2/16, 2220 Heist-op-den-Berg, Bi Li Shi ","Yuan Gong , Yin Le , Pi Jiu , Ya Li , Jia Ge ",https://www.google.com/maps/place/%27%27t+Pleintje%27/data=!4m7!3m6!1s0x47c159e638717045:0xecc971828aed81f8!8m2!3d51.0748523!4d4.727022!16s%2Fg%2F1v2ppc6j!19sChIJRXBxOOZZwUcR-IHtioJxyew?authuser=0&hl=zh-TW&rclk=1
ChIJrandfmxXwUcRWwXrS6Lmfbk,Ijssalon Vaniglia,,False,446,"Name: De Witte Lelie
link: https://www.google.com/maps/search/De+Witte+Lelie/@51.1018328,4.7806599?authuser=0&hl=zh-TW&entry=ttu
Reviews: 191 reviews

Name: Ijssalon Firenze
link: https://www.google.com/maps/search/Ijssalon+Firenze/@51.1065845,4.7287887?authuser=0&hl=zh-TW&entry=ttu
Reviews: 177 reviews

Name: d'Roomijs te Heist-op-den-Berg
link: https://www.google.com/maps/search/d%27Roomijs+te+Heist-op-den-Berg/@51.038697799999994,4.715476799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 106 reviews

Name: Ijskimo
link: https://www.google.com/maps/search/Ijskimo/@51.0442143,4.6682397?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews",https://ijssalonvaniglia.be/,Ijssalon Vaniglia (Ye Zhu ),https://www.google.com/maps/contrib/111078145588076421764,https://lh5.googleusercontent.com/p/AF1QipOV6_gznvkiZL9uqgKcIYVkT4PrYB48vXheudpf=w481-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.7,13:30-21:00,"Xing Qi Yi , Xing Qi Er , Xing Qi San ",+32 15 24 16 62,"Ijssalon Vaniglia, Schoolstraat 64, 2222 Heist-op-den-Berg, Bi Li Shi ","Tian Tong , Song Bing , Yuan Gong , Qiao Ke Li Jiang , Xuan Ze ",https://www.google.com/maps/place/Ijssalon+Vaniglia/data=!4m7!3m6!1s0x47c1576c7edda9ad:0xb97de6a24beb055b!8m2!3d51.1026843!4d4.7214154!16s%2Fg%2F1v1vcbc4!19sChIJrandfmxXwUcRWwXrS6Lmfbk?authuser=0&hl=zh-TW&rclk=1
ChIJmTz-jtxZwUcRqRKfU2V5atQ,"Theatercafe Het derde Bedrijf, Cafe",,False,371,"Name: Punch
link: https://www.google.com/maps/search/Punch/@51.0759128,4.718312900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 372 reviews

Name: 't Eetkafee Heist
link: https://www.google.com/maps/search/%27t+Eetkafee+Heist/@51.075365299999994,4.7271111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 337 reviews

Name: Oud Egypte
link: https://www.google.com/maps/search/Oud+Egypte/@51.06016220000001,4.7138781?authuser=0&hl=zh-TW&entry=ttu
Reviews: 327 reviews

Name: Tante Trien
link: https://www.google.com/maps/search/Tante+Trien/@51.076622199999996,4.7189473?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews

Name: 't Kaffepotteke
link: https://www.google.com/maps/search/%27t+Kaffepotteke/@51.076308,4.722165899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews",http://www.het3debedrijf.be/,"Theatercafe Het derde Bedrijf, Cafe (Ye Zhu )",https://www.google.com/maps/contrib/103721409256144776464,https://lh5.googleusercontent.com/p/AF1QipOGrMI7i0lHgaZ13xJSwQaiR25DZedg0NlwNxGO=w408-h240-k-no-pi-0-ya339.8582-ro-0-fo100,Can Ting ,Can Ting ,4.3,10:30-00:00,Xing Qi Yi ,+32 15 75 33 39,"Theatercafe Het derde Bedrijf, Cafe, Cultuurplein 1, 2220 Heist-op-den-Berg, Bi Li Shi ","Jia Ge , Yuan Gong , Yin Liao ","https://www.google.com/maps/place/Theatercaf%C3%A9+Het+derde+Bedrijf,+Caf%C3%A9/data=!4m7!3m6!1s0x47c159dc8efe3c99:0xd46a7965539f12a9!8m2!3d51.0760828!4d4.7174344!16s%2Fg%2F11g6vfr_1r!19sChIJmTz-jtxZwUcRqRKfU2V5atQ?authuser=0&hl=zh-TW&rclk=1"
ChIJMzy5pNxZwUcRyJOGQrFM7eg,Cannaerts Food bvba,,False,347,"Name: Colruyt Heist-op-den-Berg
link: https://www.google.com/maps/search/Colruyt+Heist-op-den-Berg/@51.0716711,4.6999806?authuser=0&hl=zh-TW&entry=ttu
Reviews: 987 reviews

Name: AD Delhaize Goor
link: https://www.google.com/maps/search/AD+Delhaize+Goor/@51.0432503,4.7179652?authuser=0&hl=zh-TW&entry=ttu
Reviews: 317 reviews

Name: AD Delhaize Itegem
link: https://www.google.com/maps/search/AD+Delhaize+Itegem/@51.1051764,4.7286225?authuser=0&hl=zh-TW&entry=ttu
Reviews: 274 reviews

Name: Johan Cannaerts
link: https://www.google.com/maps/search/Johan+Cannaerts/@51.1051764,4.7286225?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://delhaizeheistopdenberg.be/,Cannaerts Food bvba (Ye Zhu ),https://www.google.com/maps/contrib/105680039481996636227,https://lh5.googleusercontent.com/p/AF1QipMj63QgNqLqd65v8-KLHIJE3RO1N6Szx1SE55NA=w426-h240-k-no,Za Huo Dian ,"Za Huo Dian , Chao Ji Shi Chang ",4.4,08:00-20:00,Open All Days,+32 15 24 16 01,"Cannaerts Food bvba, Populierenhof 1, 2220 Heist-op-den-Berg, Bi Li Shi ","Yuan Gong , Chan Pin , Gong Ying , Zhou Ri , Wu Can Rou , Shui Guo , Shou Yin Ji ",https://www.google.com/maps/place/Cannaerts+Food+bvba/data=!4m7!3m6!1s0x47c159dca4b93c33:0xe8ed4cb1428693c8!8m2!3d51.0708427!4d4.7198543!16s%2Fg%2F1thx35ny!19sChIJMzy5pNxZwUcRyJOGQrFM7eg?authuser=0&hl=zh-TW&rclk=1
