place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJYV-nWtZgwUcRKy5ZEpKY0do,Cafe Commerce,,False,664,"Name: Leuven Central
link: https://www.google.com/maps/search/Leuven+Central/@50.8801537,4.700839?authuser=0&hl=zh-TW&entry=ttu
Reviews: 961 reviews

Name: Cafe Jeeskesboom
link: https://www.google.com/maps/search/Caf%C3%A9+Jeeskesboom/@50.8812491,4.7085889?authuser=0&hl=zh-TW&entry=ttu
Reviews: 281 reviews

Name: Revue
link: https://www.google.com/maps/search/Revue/@50.878695099999995,4.6996611999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 131 reviews

Name: De Kroeg
link: https://www.google.com/maps/search/De+Kroeg/@50.8779708,4.6990679?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Cafe Cuvee
link: https://www.google.com/maps/search/Caf%C3%A9+Cuvee/@50.8741181,4.7091974?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews",http://www.cafecommerce.be/,Cafe Commerce (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMRs8pboS-VmNWioapb0c6KdFLMZEA07uWkbw4c=w408-h254-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.4,11:00-02:00,Xing Qi Ri ,+32 16 22 55 78,"Cafe Commerce, Herbert Hooverplein 16, 3000 Leuven, Bi Li Shi ","Pi Jiu , Yi Fen , Jia Ge , Tang , Zuo , Fan Qie Rou Jiang , Xue Sheng , Bo Li ",https://www.google.com/maps/place/Caf%C3%A9+Commerce/data=!4m7!3m6!1s0x47c160d65aa75f61:0xdad1989212592e2b!8m2!3d50.877933!4d4.7064095!16s%2Fg%2F11bw_7lxmb!19sChIJYV-nWtZgwUcRKy5ZEpKY0do?authuser=0&hl=zh-TW&rclk=1
ChIJZx2w8dhgwUcRhudnWCU9xbA,Swartehond,,False,634,"Name: Coffee Onan
link: https://www.google.com/maps/search/Coffee+Onan/@50.8785781,4.6990592?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1018 reviews

Name: Noir Coffeebar
link: https://www.google.com/maps/search/Noir+Coffeebar/@50.876698499999996,4.7005916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 779 reviews

Name: Mont Cafe
link: https://www.google.com/maps/search/Mont+Cafe/@50.877511600000005,4.703988799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 302 reviews

Name: Le mustache
link: https://www.google.com/maps/search/Le+mustache/@50.8755293,4.7089716?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews",http://www.swartehond.be/,Swartehond (Ye Zhu ),https://www.google.com/maps/contrib/108720768906552082894,https://lh5.googleusercontent.com/p/AF1QipMg7nw9iByKmWkWrBSvUcs2wnnikRifpK9RKO_4=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Cha Yi Guan ",4.5,08:30-18:00,Open All Days,+32 478 28 90 19,"Swartehond, Joris Helleputteplein 1, 3000 Leuven, Bi Li Shi ","Bei Guo , Dan Gao , atmosphere, Qia Bu Qi Nuo , Bing Sha , Huan Jing , Bi Dian , Gou , Shuo Hua ",https://www.google.com/maps/place/Swartehond/data=!4m7!3m6!1s0x47c160d8f1b01d67:0xb0c53d255867e786!8m2!3d50.8781657!4d4.6976483!16s%2Fg%2F11bwh5mtr2!19sChIJZx2w8dhgwUcRhudnWCU9xbA?authuser=0&hl=zh-TW&rclk=1
ChIJSQ1B8JFhwUcRxNao2qSt9kI,madmum Coffee Roasters & Bar,,False,632,"Name: MOK COFFEE
link: https://www.google.com/maps/search/MOK+COFFEE/@50.881474,4.7096405?authuser=0&hl=zh-TW&entry=ttu
Reviews: 517 reviews

Name: Mont Cafe
link: https://www.google.com/maps/search/Mont+Cafe/@50.877511600000005,4.703988799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 302 reviews

Name: Le mustache
link: https://www.google.com/maps/search/Le+mustache/@50.8755293,4.7089716?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: Sweet Coffee
link: https://www.google.com/maps/search/Sweet+Coffee/@50.877842199999996,4.7038426?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews

Name: Madmum Coffee Roasters & bar Brusselsestraat
link: https://www.google.com/maps/search/Madmum+Coffee+Roasters+%26+bar+Brusselsestraat/@50.8800148,4.698203599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews",https://madmumcoffee.be/,madmum Coffee Roasters & Bar (Ye Zhu ),https://www.google.com/maps/contrib/111805274363910735056,https://lh5.googleusercontent.com/p/AF1QipN9C_9-iLQH2kE_vJkXUFa3rQqNZmXDnf76iQKC=w408-h407-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Hong Bei Shang ",4.3,08:30-18:00,Open All Days,,"madmum Coffee Roasters & Bar, Tiensestraat 38, 3000 Leuven, Bi Li Shi ","Zhuo , atmosphere, Wu Can , Xia Ding , Yin Du Nai Cha , Chou , Luo Li , Hu Luo Bo Dan Gao ",https://www.google.com/maps/place/madmum+Coffee+Roasters+%26+Bar/data=!4m7!3m6!1s0x47c16191f0410d49:0x42f6ada4daa8d6c4!8m2!3d50.8779579!4d4.7035299!16s%2Fg%2F11g0j0k9sg!19sChIJSQ1B8JFhwUcRxNao2qSt9kI?authuser=0&hl=zh-TW&rclk=1
ChIJuYmELshfwUcRFSSeOlu7VHg,Cafe Maritime,,False,622,"Name: Brasserie Brouwershof
link: https://www.google.com/maps/search/Brasserie+Brouwershof/@50.9647277,4.6092093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1310 reviews

Name: Brasserie Hof ter Dijle
link: https://www.google.com/maps/search/Brasserie+Hof+ter+Dijle/@50.9905167,4.6191441?authuser=0&hl=zh-TW&entry=ttu
Reviews: 328 reviews

Name: Taverne Den Dijk
link: https://www.google.com/maps/search/Taverne+Den+Dijk/@50.962105199999996,4.640536099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 296 reviews

Name: De Volle Pot
link: https://www.google.com/maps/search/De+Volle+Pot/@50.97730550000001,4.637794800000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 260 reviews",http://cafe-maritime.be/,Cafe Maritime (Ye Zhu ),https://www.google.com/maps/contrib/103544914190638403657,https://lh5.googleusercontent.com/p/AF1QipOla7pgEAKiaOER_JiAKnLvW_sF98GFazvVRRMh=w408-h270-k-no,Fa Shi Can Ting ,"Fa Shi Can Ting , Ka Pei Ting ",4.1,,Open All Days,+32 16 85 46 80,"Cafe Maritime, Sas 3, 3150 Haacht, Bi Li Shi ","Hua Yuan , Jiao Ta Che , Yun He , Kao Lu , Yuan Gong , Zou Lu , Zhi Fu ",https://www.google.com/maps/place/Caf%C3%A9+Maritime/data=!4m7!3m6!1s0x47c15fc82e8489b9:0x7854bb5b3a9e2415!8m2!3d50.9395212!4d4.6652552!16s%2Fg%2F11b7yvn3p1!19sChIJuYmELshfwUcRFSSeOlu7VHg?authuser=0&hl=zh-TW&rclk=1
ChIJVU6WpYlgwUcRO--UC7v9M4E,Fantasia Herent ijssalon & frituur,,False,603,"Name: 't Patatje
link: https://www.google.com/maps/search/%27t+Patatje/@50.9181729,4.6509332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 326 reviews

Name: Frituur Patana
link: https://www.google.com/maps/search/Frituur+Patana/@50.9064379,4.6737477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: T Keteltje
link: https://www.google.com/maps/search/T+Keteltje/@50.902962599999995,4.6218306?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews

Name: Frituur De Lente
link: https://www.google.com/maps/search/Frituur+De+Lente/@50.899152,4.680923?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews",https://fantasia.pickandgo.be/,Fantasia Herent ijssalon & frituur (Ye Zhu ),https://www.google.com/maps/contrib/103336583547500979378,https://lh5.googleusercontent.com/p/AF1QipOJewCCpqM8A6IdgDbcse_7vE9xSaae2nmO9uvi=w408-h272-k-no,Shu Tiao Dian ,"Shu Tiao Dian , Ka Pei Dian , Kuai Can Dian , Han Bao Can Ting , Xue Gao Dian , Sha Lu Dian , San Wen Zhi Dian ",4.3,"11:15-13:45, 16:30-20:45",Open All Days,+32 486 53 68 68,"Fantasia Herent ijssalon & frituur, Mechelsesteenweg 403, 3020 Herent, Bi Li Shi ","Han Bao , Xia Ding , Xiao Chi , Yuan Gong , Jiang , Tian Tong , Chuan Shao , Wu ",https://www.google.com/maps/place/Fantasia+Herent+ijssalon+%26+frituur/data=!4m7!3m6!1s0x47c16089a5964e55:0x8133fdbb0b94ef3b!8m2!3d50.9052797!4d4.6718622!16s%2Fg%2F11c0pw9_dh!19sChIJVU6WpYlgwUcRO--UC7v9M4E?authuser=0&hl=zh-TW&rclk=1
ChIJWQT-aN5gwUcRDvqzEtFxSY4,Bar Berlin,,False,545,"Name: Nosh
link: https://www.google.com/maps/search/Nosh/@50.8785089,4.700699?authuser=0&hl=zh-TW&entry=ttu
Reviews: 967 reviews

Name: Noir Coffeebar
link: https://www.google.com/maps/search/Noir+Coffeebar/@50.876698499999996,4.7005916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 779 reviews

Name: bar Stan
link: https://www.google.com/maps/search/bar+Stan/@50.8713549,4.7026689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 662 reviews

Name: Elisa by JAVA Coffee
link: https://www.google.com/maps/search/Elisa+by+JAVA+Coffee/@50.880698699999996,4.6939848?authuser=0&hl=zh-TW&entry=ttu
Reviews: 379 reviews

Name: Life Bar
link: https://www.google.com/maps/search/Life+Bar/@50.877987499999996,4.6986094?authuser=0&hl=zh-TW&entry=ttu
Reviews: 367 reviews",http://www.barberlin.be/,Bar Berlin (Ye Zhu ),https://www.google.com/maps/contrib/113627193659135061641,https://lh5.googleusercontent.com/p/AF1QipNoIvlXAzZOp-oqntjBhsjDdr0Qiy1XweDorzTE=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Zao Wu Can Can Ting , Wu Can Can Ting , Cha Yi Guan ",4.4,09:00-18:00,Open All Days,+32 484 77 62 61,"Bar Berlin, Brusselsestraat 115, 3000 Leuven, Bi Li Shi ","Jia Ge , Pin Zhi , Zao Can , Bu Lang Ni , Na Tie , Zao Wu Can , Yuan Gong , Huan Jing , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Bar+Berlin/data=!4m7!3m6!1s0x47c160de68fe0459:0x8e4971d112b3fa0e!8m2!3d50.8807215!4d4.6925915!16s%2Fg%2F11c45nzqq9!19sChIJWQT-aN5gwUcRDvqzEtFxSY4?authuser=0&hl=zh-TW&rclk=1
ChIJ-43k3MRgwUcRmt60iN_PVW8,Cafe Entrepot,,False,488,"Name: OPEK
link: https://www.google.com/maps/search/OPEK/@50.887720099999996,4.7002343?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1181 reviews

Name: Optimist
link: https://www.google.com/maps/search/Optimist/@50.8814133,4.7001669?authuser=0&hl=zh-TW&entry=ttu
Reviews: 874 reviews

Name: wereldcafe.coop
link: https://www.google.com/maps/search/wereldcafe.coop/@50.8783612,4.697950700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 415 reviews

Name: Hop - gastrobar
link: https://www.google.com/maps/search/Hop+-+gastrobar/@50.8879403,4.7004998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 315 reviews

Name: FoodBar
link: https://www.google.com/maps/search/FoodBar/@50.8807378,4.6930574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews",http://www.cafeentrepot.be/,Cafe Entrepot (Ye Zhu ),https://www.google.com/maps/contrib/114583489710020596192,https://lh5.googleusercontent.com/p/AF1QipPj3qL-4AbpPV9VOX6w_r599uUHK2xPusHgufzX=w408-h541-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.3,09:30-01:00,Open All Days,,"Cafe Entrepot, Vaartkom 4, 3000 Leuven, Bi Li Shi ","Jia Ge , Yuan Gong , Pin Zhi , Di Tu , Wu Can , Pi Jiu , Yi Fen , Su Shi , Xia Wu ",https://www.google.com/maps/place/Caf%C3%A9+Entrepot/data=!4m7!3m6!1s0x47c160c4dce48dfb:0x6f55cfdf88b4de9a!8m2!3d50.887711!4d4.7002991!16s%2Fg%2F11cn9gkdwx!19sChIJ-43k3MRgwUcRmt60iN_PVW8?authuser=0&hl=zh-TW&rclk=1
ChIJD5_wq3tgwUcRX_ioye4BCVo,Okay Herent,,False,472,"Name: Shop & Go Delhaize Herent
link: https://www.google.com/maps/search/Shop+%26+Go+Delhaize+Herent/@50.8863985,4.669904799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews

Name: Okay Hoegaarden
link: https://www.google.com/maps/search/Okay+Hoegaarden/@50.779016399999996,4.894012399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 113 reviews

Name: Mini Market
link: https://www.google.com/maps/search/Mini+Market/@50.89923710000001,4.680674799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Louis Delhaize Herent
link: https://www.google.com/maps/search/Louis+Delhaize+Herent/@50.901273100000004,4.668353499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: 24u shop
link: https://www.google.com/maps/search/24u+shop/@50.9063959,4.670044?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",https://www.okay.be/nl/onze-winkels/Okay-herent,Okay Herent (Ye Zhu ),https://www.google.com/maps/contrib/114577665696169403417,https://lh5.googleusercontent.com/p/AF1QipN25dHDcptUgfI23GPZdlSMOgekaWMwfTXm1P3c=w408-h272-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,08:30-19:30,Xing Qi Ri ,+32 16 58 59 10,"Okay Herent, Mechelsesteenweg 635, 3020 Herent, Bi Li Shi ","Yuan Gong , Jia Ge , Ting Che , Gong Ying , Shui Guo , Pai Dui ",https://www.google.com/maps/place/Okay+Herent/data=!4m7!3m6!1s0x47c1607babf09f0f:0x5a0901eec9a8f85f!8m2!3d50.912159!4d4.6615152!16s%2Fg%2F1tcvnf2z!19sChIJD5_wq3tgwUcRX_ioye4BCVo?authuser=0&hl=zh-TW&rclk=1
ChIJv7pVnv1gwUcRss_lRld5o7Y,UZ Leuven - Koffieshop,,False,435,"Name: Noir Coffeebar
link: https://www.google.com/maps/search/Noir+Coffeebar/@50.876698499999996,4.7005916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 779 reviews

Name: Mont Cafe
link: https://www.google.com/maps/search/Mont+Cafe/@50.877511600000005,4.703988799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 302 reviews

Name: Le mustache
link: https://www.google.com/maps/search/Le+mustache/@50.8755293,4.7089716?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: Sweet Coffee
link: https://www.google.com/maps/search/Sweet+Coffee/@50.877842199999996,4.7038426?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews",https://www.uzleuven.be/koffieshop,UZ Leuven - Koffieshop (Ye Zhu ),https://www.google.com/maps/contrib/106863973798595825899,https://lh5.googleusercontent.com/p/AF1QipNYtlTG0bGktmZG-xnQQwL8OFwXFeO5Imms-_DT=w408-h271-k-no,Ka Pei Dian ,Ka Pei Dian ,3.9,07:30-18:00,Open All Days,,"UZ Leuven - Koffieshop, Herestraat 49, 3001 Leuven, Bi Li Shi ","Yi Yuan , Ya Li , Xiao Chi Dian , Jia Ge , Dan Mai Mian Bao , Zuo Wei , Bing Ren , Yan Jiu ",https://www.google.com/maps/place/UZ+Leuven+-+Koffieshop/data=!4m7!3m6!1s0x47c160fd9e55babf:0xb6a3795746e5cfb2!8m2!3d50.8783449!4d4.6739889!16s%2Fg%2F11byxgff8q!19sChIJv7pVnv1gwUcRss_lRld5o7Y?authuser=0&hl=zh-TW&rclk=1
ChIJUwpFSVlhwUcRRNb8oZf9yDI,Elisa by JAVA Coffee,,False,380,"Name: Nosh
link: https://www.google.com/maps/search/Nosh/@50.8785089,4.700699?authuser=0&hl=zh-TW&entry=ttu
Reviews: 967 reviews

Name: The Daily Bread
link: https://www.google.com/maps/search/The+Daily+Bread/@50.8786424,4.6993111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 711 reviews

Name: Bar Leuv
link: https://www.google.com/maps/search/Bar+Leuv/@50.879157000000006,4.6995657?authuser=0&hl=zh-TW&entry=ttu
Reviews: 378 reviews

Name: Bite ontbijt - lunch - dessert
link: https://www.google.com/maps/search/Bite+ontbijt+-+lunch+-+dessert/@50.8785501,4.7031513?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews

Name: FoodBar
link: https://www.google.com/maps/search/FoodBar/@50.8807378,4.6930574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews",https://www.elisabyjavacoffee.be/,Elisa by JAVA Coffee (Ye Zhu ),https://www.google.com/maps/contrib/106060266130353097972,https://lh5.googleusercontent.com/p/AF1QipNFRYjYDEFSkY6FB0guFamIDy0LFZ2D_tMgiFHP=w408-h272-k-no,Zao Wu Can Can Ting ,"Zao Wu Can Can Ting , Zao Can Can Ting , Ka Pei Dian , Wu Can Can Ting ",4.3,08:30-16:00,Open All Days,+32 465 00 68 56,"Elisa by JAVA Coffee, Brusselsestraat 134, 3000 Leuven, Bi Li Shi ","Jia Ge , Ka Pei Ting , Dan Gao , Qia Bu Qi Nuo , Yuan Gong , Xia Ding , Ou Mu Dan , qr code",https://www.google.com/maps/place/Elisa+by+JAVA+Coffee/data=!4m7!3m6!1s0x47c1615949450a53:0x32c8fd97a1fcd644!8m2!3d50.8806987!4d4.6939848!16s%2Fg%2F11h858r4wn!19sChIJUwpFSVlhwUcRRNb8oZf9yDI?authuser=0&hl=zh-TW&rclk=1
