place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJU8bAdh58UkYRxXP3EGgCfLA,Kvickly,,False,1722,"Name: fotex
link: https://www.google.com/maps/search/f%C3%B8tex/@55.714033199999996,11.716294699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1700 reviews

Name: Kvickly
link: https://www.google.com/maps/search/Kvickly/@55.4573849,12.1780422?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1230 reviews

Name: Meny
link: https://www.google.com/maps/search/Meny/@55.71456,11.715686?authuser=0&hl=zh-TW&entry=ttu
Reviews: 857 reviews

Name: Svinninge Bageri Holbaek
link: https://www.google.com/maps/search/Svinninge+Bageri+Holb%C3%A6k/@55.7178396,11.709404000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: Coop Danmark A/S
link: https://www.google.com/maps/search/Coop+Danmark+A%2FS/@55.756532,11.708445099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://kvickly.coop.dk/find-butik/kvickly-slotscentret/4310/,Kvickly (Ye Zhu ),https://www.google.com/maps/contrib/103416497844769950644,https://lh5.googleusercontent.com/p/AF1QipNv3UGDmeS01hJKwJIcaHnMqbignFOjXo5W53Qr=w408-h279-k-no,Jia Ju Yong Pin Dian ,"Jia Ju Yong Pin Dian , Pi Fa Dian ",4,07:00-20:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+45 59 45 57 00,"Kvickly, Slotsvolden 7, 4300 Holbaek, Dan Mai ",Ting Che ,https://www.google.com/maps/place/Kvickly/data=!4m7!3m6!1s0x46527c1e76c0c653:0xb07c026810f773c5!8m2!3d55.7177939!4d11.703708!16s%2Fg%2F1hc250t8m!19sChIJU8bAdh58UkYRxXP3EGgCfLA?authuser=0&hl=zh-TW&rclk=1
ChIJYaoG5xt8UkYRHzePxMewweQ,Cafe Vivaldi,,False,1614,"Name: Cafe Korn
link: https://www.google.com/maps/search/Caf%C3%A9+Korn/@55.718350799999996,11.708248699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 952 reviews

Name: Cafe Zehros
link: https://www.google.com/maps/search/Cafe+Zehros/@55.717805999999996,11.712181?authuser=0&hl=zh-TW&entry=ttu
Reviews: 848 reviews

Name: Martin's Gastro
link: https://www.google.com/maps/search/Martin%27s+Gastro/@55.713048199999996,11.7167707?authuser=0&hl=zh-TW&entry=ttu
Reviews: 362 reviews

Name: Cafe Isabella
link: https://www.google.com/maps/search/Cafe+Isabella/@55.7177735,11.7105787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews",https://cafevivaldi.dk/cafe/Holbaek,Cafe Vivaldi (Ye Zhu ),https://www.google.com/maps/contrib/100973115126125155478,https://lh5.googleusercontent.com/p/AF1QipMB5RygxSCJCg8z1AcYPPCfsoZQnLsSpRXgBdKW=w408-h240-k-no-pi0-ya140-ro0-fo100,Ka Pei Ting ,"Ka Pei Ting , Wai Mai Zi Qu Can Ting , Can Ting ",3.9,10:00-22:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+45 59 44 52 62,"Cafe Vivaldi, Ahlgade 41, 4300 Holbaek, Dan Mai ","nachos, Han Bao ",https://www.google.com/maps/place/Cafe+Vivaldi/data=!4m7!3m6!1s0x46527c1be706aa61:0xe4c1b0c7c48f371f!8m2!3d55.717774!4d11.712417!16s%2Fg%2F1tdzvb1s!19sChIJYaoG5xt8UkYRHzePxMewweQ?authuser=0&hl=zh-TW&rclk=1
ChIJ59_bOhx8UkYRCP1SXXy1Nk8,Cafe Korn,,False,953,"Name: Cafe Vivaldi
link: https://www.google.com/maps/search/Cafe+Vivaldi/@55.717774,11.712417?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1613 reviews

Name: Cafe Svanen
link: https://www.google.com/maps/search/Cafe+Svanen/@55.717025799999995,11.723915199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 872 reviews

Name: Cafe Zehros
link: https://www.google.com/maps/search/Cafe+Zehros/@55.717805999999996,11.712181?authuser=0&hl=zh-TW&entry=ttu
Reviews: 848 reviews

Name: Kabyssen - The Pantry ApS
link: https://www.google.com/maps/search/Kabyssen+-+The+Pantry+ApS/@55.7199983,11.7071879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 509 reviews

Name: Cafe X
link: https://www.google.com/maps/search/Caf%C3%A9+X/@55.71715030000001,11.715069999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 360 reviews",https://cafekorn.dk/cafe-korn-holbaek/,Cafe Korn (Ye Zhu ),https://www.google.com/maps/contrib/102629876378511258361,https://lh5.googleusercontent.com/p/AF1QipPn-sywAHTRCz30LwpNCSZXoniUkBbMd0MUNqjI=w630-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4,10:00-21:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+45 20 80 43 00,"Cafe Korn, Ahlgade 10, 4300 Holbaek, Dan Mai ",Zao Wu Can ,https://www.google.com/maps/place/Caf%C3%A9+Korn/data=!4m7!3m6!1s0x46527c1c3adbdfe7:0x4f36b57c5d52fd08!8m2!3d55.7183508!4d11.7082487!16s%2Fg%2F11bz0bf0w_!19sChIJ59_bOhx8UkYRCP1SXXy1Nk8?authuser=0&hl=zh-TW&rclk=1
ChIJnfjWOhF8UkYREK7ROmln34I,Cafe Svanen,,False,874,"Name: Cafe Vivaldi
link: https://www.google.com/maps/search/Cafe+Vivaldi/@55.717774,11.712417?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1613 reviews

Name: Cafe Korn
link: https://www.google.com/maps/search/Caf%C3%A9+Korn/@55.718350799999996,11.708248699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 952 reviews

Name: Cafe Zehros
link: https://www.google.com/maps/search/Cafe+Zehros/@55.717805999999996,11.712181?authuser=0&hl=zh-TW&entry=ttu
Reviews: 848 reviews

Name: Cafe X
link: https://www.google.com/maps/search/Caf%C3%A9+X/@55.71715030000001,11.715069999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 360 reviews",http://www.cafesvanen.dk/,Cafe Svanen (Ye Zhu ),https://www.google.com/maps/contrib/105677944632705420746,https://lh5.googleusercontent.com/p/AF1QipMe0bXDchU2Qd6F2xeKRH-bXmNfy9jZkXXzdt1q=w493-h240-k-no,Can Ting ,Can Ting ,4.4,08:00-22:00,Open All Days,+45 59 43 06 28,"Cafe Svanen, Labaek 65, 4300 Holbaek, Dan Mai ",,https://www.google.com/maps/place/Cafe+Svanen/data=!4m7!3m6!1s0x46527c113ad6f89d:0x82df67693ad1ae10!8m2!3d55.7170258!4d11.7239152!16s%2Fg%2F1hc146_m8!19sChIJnfjWOhF8UkYREK7ROmln34I?authuser=0&hl=zh-TW&rclk=1
ChIJD-SG5ht8UkYReLqv0kwpEc4,Cafe Zehros,,False,848,"Name: Cafe Vivaldi
link: https://www.google.com/maps/search/Cafe+Vivaldi/@55.717774,11.712417?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1613 reviews

Name: Cafe Korn
link: https://www.google.com/maps/search/Caf%C3%A9+Korn/@55.718350799999996,11.708248699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 952 reviews

Name: Cafe Svanen
link: https://www.google.com/maps/search/Cafe+Svanen/@55.717025799999995,11.723915199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 872 reviews

Name: Cafe X
link: https://www.google.com/maps/search/Caf%C3%A9+X/@55.71715030000001,11.715069999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 360 reviews

Name: Cafe Isabella
link: https://www.google.com/maps/search/Cafe+Isabella/@55.7177735,11.7105787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews",https://zehros.dk/,Cafe Zehros (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMM3FY1ZdK8WRabAckUhrwX_BNfVQyOSIJhagTY=w408-h906-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",4.1,10:00-22:00,Open All Days,+45 59 43 25 48,"Cafe Zehros, Ahlgade 39, 4300 Holbaek, Dan Mai ","Jia Ge , Zao Wu Can , Han Bao ",https://www.google.com/maps/place/Cafe+Zehros/data=!4m7!3m6!1s0x46527c1be686e40f:0xce11294cd2afba78!8m2!3d55.717806!4d11.712181!16s%2Fg%2F11bwpznc38!19sChIJD-SG5ht8UkYReLqv0kwpEc4?authuser=0&hl=zh-TW&rclk=1
ChIJNUe4H0h8UkYRPN6DOxlTQwc,"Circle K Roskildevej, Holbaek",,False,618,"Name: OK
link: https://www.google.com/maps/search/OK/@55.7175369,11.7047511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Uno-X
link: https://www.google.com/maps/search/Uno-X/@55.708836,11.719821?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Uno-X
link: https://www.google.com/maps/search/Uno-X/@55.7027064,11.7156904?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Holbaek Roskildevej
link: https://www.google.com/maps/search/Holb%C3%A6k+Roskildevej/@55.708802,11.719878999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: PRIMES project
link: https://www.google.com/maps/search/PRIMES+project/@55.720137199999996,11.713214899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.circlek.dk/station/10845%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Dgoogle-local,"Circle K Roskildevej, Holbaek (Ye Zhu )",https://www.google.com/maps/contrib/116436285308000056642,https://lh5.googleusercontent.com/p/AF1QipOCXVf95qC9HmQDNjeXWAN3vaE0WIok-aINhC6T=w426-h240-k-no,You Zhan ,"You Zhan , Ka Pei Dian , Can Ting ",4.1,24 Xiao Shi Ying Ye ,Open All Days,+45 59 43 34 45,"Circle K Roskildevej, Holbaek, Roskildevej 195, 4300 Holbaek, Dan Mai ",,"https://www.google.com/maps/place/Circle+K+Roskildevej,+Holb%C3%A6k/data=!4m7!3m6!1s0x46527c481fb84735:0x74353193b83de3c!8m2!3d55.697752!4d11.72681!16s%2Fg%2F1hcb1d1hm!19sChIJNUe4H0h8UkYRPN6DOxlTQwc?authuser=0&hl=zh-TW&rclk=1"
ChIJsTSG4sh9UkYRlK745HQumY0,Kabyssen - The Pantry ApS,,False,509,"Name: Cafe Korn
link: https://www.google.com/maps/search/Caf%C3%A9+Korn/@55.718350799999996,11.708248699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 952 reviews

Name: Cafe Svanen
link: https://www.google.com/maps/search/Cafe+Svanen/@55.717025799999995,11.723915199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 872 reviews

Name: Cafe Zehros
link: https://www.google.com/maps/search/Cafe+Zehros/@55.717805999999996,11.712181?authuser=0&hl=zh-TW&entry=ttu
Reviews: 848 reviews

Name: Vaerftscafeen
link: https://www.google.com/maps/search/V%C3%A6rftscafeen/@55.720281,11.711747299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 189 reviews

Name: Cafe K by van Noort
link: https://www.google.com/maps/search/Cafe+K+by+van+Noort/@55.718276700000004,11.7117563?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews",http://www.thepantry.dk/,Kabyssen - The Pantry ApS (Ye Zhu ),https://www.google.com/maps/contrib/102575418236108769874,https://lh5.googleusercontent.com/p/AF1QipNHYKh14ab_nrL2j67vsKpocIRkObtmFLJ1llcJ=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",4.1,11:00-20:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+45 26 34 09 35,"Kabyssen - The Pantry ApS, Havnevej 1, 4300 Holbaek, Dan Mai ","Han Bao , Zha Yu Shu Tiao , Pi Jiu , Bing Qi Lin ",https://www.google.com/maps/place/Kabyssen+-+The+Pantry+ApS/data=!4m7!3m6!1s0x46527dc8e28634b1:0x8d992e74e4f8ae94!8m2!3d55.7199983!4d11.7071879!16s%2Fg%2F11fl0t61n4!19sChIJsTSG4sh9UkYRlK745HQumY0?authuser=0&hl=zh-TW&rclk=1
ChIJHxsmSiR8UkYRy_AabpZiJ4M,"365discount Holbaek, Taastrup Mollevej",,False,503,"Name: fotex
link: https://www.google.com/maps/search/f%C3%B8tex/@55.714033199999996,11.716294699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1700 reviews

Name: Lidl
link: https://www.google.com/maps/search/Lidl/@55.704077,11.707284999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1453 reviews

Name: Netto
link: https://www.google.com/maps/search/Netto/@55.7069848,11.713213399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 658 reviews

Name: 365discount Taastrup, Osterparken
link: https://www.google.com/maps/search/365discount+Taastrup%2C+%C3%98sterparken/@55.6504249,12.303126299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 582 reviews",https://coop365.coop.dk/find-butik/coop-365discount-holbaek-taastrup-moellevej/24499/,"365discount Holbaek, Taastrup Mollevej (Ye Zhu )",https://www.google.com/maps/contrib/107854840332020278934,https://lh5.googleusercontent.com/p/AF1QipNTNV5QEr5lLDWjXiDss5FuMYqSs91AEzzRKWzn=w408-h544-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.9,07:00-22:00,Open All Days,+45 43 86 43 86,"365discount Holbaek, Taastrup Mollevej, Tastrup Mollevej 2, 4300 Holbaek, Dan Mai ",,"https://www.google.com/maps/place/365discount+Holb%C3%A6k,+Taastrup+M%C3%B8llevej/data=!4m7!3m6!1s0x46527c244a261b1f:0x832762966e1af0cb!8m2!3d55.7038751!4d11.7063997!16s%2Fg%2F11b5pjsfys!19sChIJHxsmSiR8UkYRy_AabpZiJ4M?authuser=0&hl=zh-TW&rclk=1"
ChIJczRgfB58UkYRDh4F7WoFUcw,"Circle K Valdemar Sejrsvej, Holbaek",,False,393,"Name: Shell
link: https://www.google.com/maps/search/Shell/@55.7066577,11.7108717?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews

Name: OK
link: https://www.google.com/maps/search/OK/@55.7175369,11.7047511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 56 reviews

Name: Uno-X
link: https://www.google.com/maps/search/Uno-X/@55.7027064,11.7156904?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Retail Vestsjaelland
link: https://www.google.com/maps/search/Retail+Vestsj%C3%A6lland/@55.714594,11.6777064?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Holbaek Roskildevej
link: https://www.google.com/maps/search/Holb%C3%A6k+Roskildevej/@55.708802,11.719878999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.circlek.dk/station/10283%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Dgoogle-local,"Circle K Valdemar Sejrsvej, Holbaek (Ye Zhu )",https://www.google.com/maps/contrib/110968894680079034183,https://lh5.googleusercontent.com/p/AF1QipNKV638pgCfnmRIxuWcREMI5_-21uCu8qP3TwO3=w426-h240-k-no,You Zhan ,"You Zhan , Ka Pei Dian , Gao Bing Dian , Can Ting ",4,06:00-22:00,Open All Days,+45 59 43 13 90,"Circle K Valdemar Sejrsvej, Holbaek, Valdemar Sejrsvej 6, 4300 Holbaek, Dan Mai ",,"https://www.google.com/maps/place/Circle+K+Valdemar+Sejrsvej,+Holb%C3%A6k/data=!4m7!3m6!1s0x46527c1e7c603473:0xcc51056aed051e0e!8m2!3d55.717379!4d11.705831!16s%2Fg%2F11gzwlrj6!19sChIJczRgfB58UkYRDh4F7WoFUcw?authuser=0&hl=zh-TW&rclk=1"
ChIJJ59N4Jt9UkYRo3HD_meakwk,Cafe X,,False,360,"Name: Cafe Korn
link: https://www.google.com/maps/search/Caf%C3%A9+Korn/@55.718350799999996,11.708248699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 952 reviews

Name: Cafe Svanen
link: https://www.google.com/maps/search/Cafe+Svanen/@55.717025799999995,11.723915199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 872 reviews

Name: Cafe Zehros
link: https://www.google.com/maps/search/Cafe+Zehros/@55.717805999999996,11.712181?authuser=0&hl=zh-TW&entry=ttu
Reviews: 848 reviews

Name: Cafe Isabella
link: https://www.google.com/maps/search/Cafe+Isabella/@55.7177735,11.7105787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Cafe Falken
link: https://www.google.com/maps/search/Cafe+Falken/@55.7073282,11.712081099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",https://cafe-x.dk/%3Futm_source%3DGMBwebsite%26utm_medium%3Dorganic%26utm_campaign%3DGoogle%2520My%2520Business,Cafe X (Ye Zhu ),https://www.google.com/maps/contrib/117136415144210588433,https://lh5.googleusercontent.com/p/AF1QipPjDWUhXQ2JIZJmOyS5tGqTlvHRe7O_QhwfK3hC=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,09:00-21:00,Open All Days,+45 59 46 59 59,"Cafe X, Ahlgade 59, 4300 Holbaek, Dan Mai ",,https://www.google.com/maps/place/Caf%C3%A9+X/data=!4m7!3m6!1s0x46527d9be04d9f27:0x9939a67fec371a3!8m2!3d55.7171503!4d11.71507!16s%2Fg%2F11g08xlf38!19sChIJJ59N4Jt9UkYRo3HD_meakwk?authuser=0&hl=zh-TW&rclk=1
