place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJlV4l5odbKG8R9g1fsg93x9E,Breakwater Cafe,,False,88,"Name: The Coffee Bar
link: https://www.google.com/maps/search/The+Coffee+Bar/@-9.4296882,159.99974849999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Tenkai Sushi Cafe
link: https://www.google.com/maps/search/Tenkai+Sushi+Cafe/@-9.428924600000002,159.95148279999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Palm Sugar
link: https://www.google.com/maps/search/Palm+Sugar/@-9.430145999999999,159.9529169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Haydn's Steakhouse
link: https://www.google.com/maps/search/Haydn%27s+Steakhouse/@-9.429084999999999,159.94764669999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: The Terrace
link: https://www.google.com/maps/search/The+Terrace/@-9.4293102,159.95251399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://m.facebook.com/TheBreakwaterCafe/,Breakwater Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO2IbjOxXtZXd0wuJqie1oQXMqocstdpSyOXnjD=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,07:00-15:00,Open All Days,+677 23442,"HXC3+7G8 Breakwater Cafe, Mendana Ave, Honiara, Suo Luo Men Qun Dao ","Wu Can , Jia Ge , Dan Gao , Leng Qi , Bing Sha , Bei Guo , Ke Fu ",https://www.google.com/maps/place/Breakwater+Cafe/data=!4m7!3m6!1s0x6f285b87e6255e95:0xd1c7770fb25f0df6!8m2!3d-9.429325!4d159.9538262!16s%2Fg%2F11b6sxbs0z!19sChIJlV4l5odbKG8R9g1fsg93x9E?authuser=0&hl=zh-TW&rclk=1
ChIJpdDCLoZbKG8RGKQ9z6rVO84,Tenkai Sushi Cafe,,False,32,"Name: Haydn's Steakhouse
link: https://www.google.com/maps/search/Haydn%27s+Steakhouse/@-9.429084999999999,159.94764669999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Dynasty
link: https://www.google.com/maps/search/Dynasty/@-9.4294943,159.94573359999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: The Terrace
link: https://www.google.com/maps/search/The+Terrace/@-9.4293102,159.95251399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Saika Sushi and Teppan Bar
link: https://www.google.com/maps/search/Saika+Sushi+and+Teppan+Bar/@-9.4320532,159.9795392?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Pacific Seafood Restaurant
link: https://www.google.com/maps/search/Pacific+Seafood+Restaurant/@-9.432651100000001,159.97745490000003?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.facebook.com/tenkaisushicafe,Tenkai Sushi Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNjsUcvpKbIGvyS4Zk30yIax1iVJH0o3GYLoKFJ=w408-h306-k-no,Can Ting ,Can Ting ,4.4,11:30-21:00,Open All Days,+677 27288,"HXC2+CHQ Tenkai Sushi Cafe, Honiara, Suo Luo Men Qun Dao ","Ci Shen , Ri Ben Liao Li ",https://www.google.com/maps/place/Tenkai+Sushi+Cafe/data=!4m7!3m6!1s0x6f285b862ec2d0a5:0xce3bd5aacf3da418!8m2!3d-9.4289246!4d159.9514828!16s%2Fg%2F11dyp46j55!19sChIJpdDCLoZbKG8RGKQ9z6rVO84?authuser=0&hl=zh-TW&rclk=1
ChIJj3kLippbKG8RsWvFr-G8xIY,Mambo Juice!,,False,12,"Name: The Coffee Bar
link: https://www.google.com/maps/search/The+Coffee+Bar/@-9.4296882,159.99974849999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Palm Sugar
link: https://www.google.com/maps/search/Palm+Sugar/@-9.430145999999999,159.9529169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Local Fusion Cafe & Bar
link: https://www.google.com/maps/search/Local+Fusion+Cafe+%26+Bar/@-9.4319013,159.98932159999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Monarch
link: https://www.google.com/maps/search/Monarch/@-9.429153699999999,159.94565939999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Fun Cafe
link: https://www.google.com/maps/search/Fun+Caf%C3%A9/@-9.4325671,159.9795398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.facebook.com/mambojuice,Mambo Juice! (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO0t3Px4LBCsJzR_3KoB6uRsLeDqSf8QFWCyUWF=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , Guo Zhi Dian , Wai Mai Zi Qu Can Ting , San Wen Zhi Dian ",4.4,07:00-19:00,Open All Days,+677 28811,Suo Luo Men Qun Dao  Solomon Motors Complex. Tandai Highway Mambo Juice!,,https://www.google.com/maps/place/Mambo+Juice!/data=!4m7!3m6!1s0x6f285b9a8a0b798f:0x86c4bce1afc56bb1!8m2!3d-9.4242742!4d159.9255274!16s%2Fg%2F1hm4gvpsw!19sChIJj3kLippbKG8RsWvFr-G8xIY?authuser=0&hl=zh-TW&rclk=1
ChIJVxxinYxdKG8RtOKQjoa4D_Y,Local Fusion Cafe & Bar,,False,9,"Name: The Coffee Bar
link: https://www.google.com/maps/search/The+Coffee+Bar/@-9.4296882,159.99974849999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Mambo Juice!
link: https://www.google.com/maps/search/Mambo+Juice%21/@-9.4242742,159.9255274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Nicky's Fast Food
link: https://www.google.com/maps/search/Nicky%27s+Fast+Food/@-9.4318788,159.9503289?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Jina's Restaurant
link: https://www.google.com/maps/search/Jina%27s+Restaurant/@-9.43249,159.97910539999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Fun Cafe
link: https://www.google.com/maps/search/Fun+Caf%C3%A9/@-9.4325671,159.9795398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://m.facebook.com/pages/category/College---University/SINU.edu/posts/,Local Fusion Cafe & Bar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPT7FLeVtWpiRsOs7H6FH-7K1nl1KMizqyQ-9Vi=w408-h306-k-no,Can Ting ,Can Ting ,4.6,07:30-16:00,"Xing Qi Liu , Xing Qi Ri ",+677 42634,"HX9Q+6PP Local Fusion Cafe & Bar, Kukum Hwy, Honiara, Suo Luo Men Qun Dao ",,https://www.google.com/maps/place/Local+Fusion+Cafe+%26+Bar/data=!4m7!3m6!1s0x6f285d8c9d621c57:0xf60fb8868e90e2b4!8m2!3d-9.4319013!4d159.9893216!16s%2Fg%2F11h7g2sc67!19sChIJVxxinYxdKG8RtOKQjoa4D_Y?authuser=0&hl=zh-TW&rclk=1
ChIJlTlbp01cKG8RIpmRPmUhytI,The Coffee Bar,,False,32,"Name: Breakwater Cafe
link: https://www.google.com/maps/search/Breakwater+Cafe/@-9.429325,159.95382619999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: Tenkai Sushi Cafe
link: https://www.google.com/maps/search/Tenkai+Sushi+Cafe/@-9.428924600000002,159.95148279999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Club Havanah
link: https://www.google.com/maps/search/Club+Havanah/@-9.4397062,159.9656767?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Jina's Restaurant
link: https://www.google.com/maps/search/Jina%27s+Restaurant/@-9.43249,159.97910539999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",,The Coffee Bar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO0c47ZY62HYfTDVpcIwpYzRsGjm4UK0LgO97h1=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.5,07:00-18:00,Open All Days,+677 30300,"HXCX+4VH The Coffee Bar Kukum Hwy, Honiara, Suo Luo Men Qun Dao ",,https://www.google.com/maps/place/The+Coffee+Bar/data=!4m7!3m6!1s0x6f285c4da75b3995:0xd2ca21653e919922!8m2!3d-9.4296882!4d159.9997485!16s%2Fg%2F11c5bdybz1!19sChIJlTlbp01cKG8RIpmRPmUhytI?authuser=0&hl=zh-TW&rclk=1
ChIJ3eUhAuNbKG8R5UGbALoumQM,Palm Sugar,,False,27,"Name: Breakwater Cafe
link: https://www.google.com/maps/search/Breakwater+Cafe/@-9.429325,159.95382619999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: The Coffee Bar
link: https://www.google.com/maps/search/The+Coffee+Bar/@-9.4296882,159.99974849999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Mambo Juice!
link: https://www.google.com/maps/search/Mambo+Juice%21/@-9.4242742,159.9255274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Cafe Bliss
link: https://www.google.com/maps/search/Cafe+Bliss/@-9.4357729,159.9665162?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mai Grills
link: https://www.google.com/maps/search/Mai+Grills/@-9.4288996,159.9520293?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Palm Sugar (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMsSm84cUiDLDqqOuCxQoemcudNBps91kLK7_Xd=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,07:00-21:00,Open All Days,+677 25333,"HX93+W5V Palm Sugar, Mendana Ave, Honiara, Suo Luo Men Qun Dao ","Pi Sa , Han Bao , Xuan Ze ",https://www.google.com/maps/place/Palm+Sugar/data=!4m7!3m6!1s0x6f285be30221e5dd:0x3992eba009b41e5!8m2!3d-9.430146!4d159.9529169!16s%2Fg%2F11jdcyh69z!19sChIJ3eUhAuNbKG8R5UGbALoumQM?authuser=0&hl=zh-TW&rclk=1
ChIJlWHD3XtcKG8RB3PdgTc4i64,Frangipani Ice Cream,,False,12,"Name: Breakwater Cafe
link: https://www.google.com/maps/search/Breakwater+Cafe/@-9.429325,159.95382619999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: Palm Sugar
link: https://www.google.com/maps/search/Palm+Sugar/@-9.430145999999999,159.9529169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Mambo Juice!
link: https://www.google.com/maps/search/Mambo+Juice%21/@-9.4242742,159.9255274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Sammie's Cakes
link: https://www.google.com/maps/search/Sammie%27s+Cakes/@-9.438813399999999,159.9874941?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Sweet House
link: https://www.google.com/maps/search/Sweet+House/@-9.431422,159.9844766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Frangipani Ice Cream (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM-8fQ2XOCQ9U1PMyX4p32C_AeelhxTHdnwGezF=w408-h544-k-no,Xue Gao Dian ,"Xue Gao Dian , Shi Pin He Yin Pin ",4.3,08:00-18:00,Open All Days,+677 30023,"HX85+VVM Frangipani Ice Cream, Honiara, Suo Luo Men Qun Dao ",,https://www.google.com/maps/place/Frangipani+Ice+Cream/data=!4m7!3m6!1s0x6f285c7bddc36195:0xae8b383781dd7307!8m2!3d-9.4327878!4d159.959662!16s%2Fg%2F1tdpm86x!19sChIJlWHD3XtcKG8RB3PdgTc4i64?authuser=0&hl=zh-TW&rclk=1
ChIJC1lWaMZdKG8RE3Jm94WiXpU,Cafe Bliss,,False,8,"Name: Breakwater Cafe
link: https://www.google.com/maps/search/Breakwater+Cafe/@-9.429325,159.95382619999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: The Coffee Bar
link: https://www.google.com/maps/search/The+Coffee+Bar/@-9.4296882,159.99974849999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Palm Sugar
link: https://www.google.com/maps/search/Palm+Sugar/@-9.430145999999999,159.9529169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Cafe El-Shaddai
link: https://www.google.com/maps/search/Cafe+El-Shaddai/@-9.4318533,159.98406119999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe Bliss (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMyHZWxXuod-bAB9hHQujYzsBuJLEqTNJ-rQEzl=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,3.9,07:00-16:00,Open All Days,,"HX94+PQ6 Cafe Bliss, Honiara, Suo Luo Men Qun Dao ",,https://www.google.com/maps/place/Cafe+Bliss/data=!4m7!3m6!1s0x6f285dc66856590b:0x955ea285f7667213!8m2!3d-9.4307284!4d159.9568088!16s%2Fg%2F11jt17ptj0!19sChIJC1lWaMZdKG8RE3Jm94WiXpU?authuser=0&hl=zh-TW&rclk=1
ChIJFVcgvRBdKG8R9NppoNWZfU8,KUYA Cafe & Grill,,False,7,"Name: The Coffee Bar
link: https://www.google.com/maps/search/The+Coffee+Bar/@-9.4296882,159.99974849999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Palm Sugar
link: https://www.google.com/maps/search/Palm+Sugar/@-9.430145999999999,159.9529169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Local Fusion Cafe & Bar
link: https://www.google.com/maps/search/Local+Fusion+Cafe+%26+Bar/@-9.4319013,159.98932159999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Dhari cafe
link: https://www.google.com/maps/search/Dhari+caf%C3%A9/@-9.429865399999999,159.99751609999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,KUYA Cafe & Grill (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNqHx10ajuzQs4W43sCfvZDxmzJZmeSEujJidX1=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,,Open All Days,,"H2FX+H4W KUYA Cafe & Grill, Kukum Hwy, Lungga, Suo Luo Men Qun Dao ",Fei ,https://www.google.com/maps/place/KUYA+Cafe+%26+Grill/data=!4m7!3m6!1s0x6f285d10bd205715:0x4f7d99d5a069daf4!8m2!3d-9.4263976!4d160.0473904!16s%2Fg%2F11trsvynlq!19sChIJFVcgvRBdKG8R9NppoNWZfU8?authuser=0&hl=zh-TW&rclk=1
ChIJVWozgARdKG8RevGiEtdfQIw,Red Cross Cafe,,False,2,"Name: Breakwater Cafe
link: https://www.google.com/maps/search/Breakwater+Cafe/@-9.429325,159.95382619999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 88 reviews

Name: Tenkai Sushi Cafe
link: https://www.google.com/maps/search/Tenkai+Sushi+Cafe/@-9.428924600000002,159.95148279999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: Palm Sugar
link: https://www.google.com/maps/search/Palm+Sugar/@-9.430145999999999,159.9529169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Cowboy's Grill
link: https://www.google.com/maps/search/Cowboy%27s+Grill/@-9.4320125,159.97951559999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Solomon Islands Red Cross Society
link: https://www.google.com/maps/search/Solomon+Islands+Red+Cross+Society/@-9.439420300000002,159.9631423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Red Cross Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMsjJN_3hqW_Qzzvqs9d4jQkcaVaFTn87I2qvZD=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,5,09:30-16:30,Open All Days,,"HX67+676 Red Cross Cafe, New Chinatown, Honiara, Suo Luo Men Qun Dao ",,https://www.google.com/maps/place/Red+Cross+Cafe/data=!4m7!3m6!1s0x6f285d0480336a55:0x8c405fd712a2f17a!8m2!3d-9.4394668!4d159.963137!16s%2Fg%2F11n632_pqn!19sChIJVWozgARdKG8RevGiEtdfQIw?authuser=0&hl=zh-TW&rclk=1
