place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJT3eepjrKlkcRluiFQn_RFOE,Mai Dang Lao ,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,1966,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@48.576836799999995,7.8125935?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2755 reviews

Name: Le Pied de Mammouth Burger
link: https://www.google.com/maps/search/Le+Pied+de+Mammouth+Burger/@48.522117699999995,7.706012699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 425 reviews

Name: Lily & the Magic Potatoes
link: https://www.google.com/maps/search/Lily+%26+the+Magic+Potatoes/@48.5305347,7.7319081999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 171 reviews

Name: Class'croute
link: https://www.google.com/maps/search/Class%27croute/@48.522009,7.741502?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Resto Illkirch
link: https://www.google.com/maps/search/Resto+Illkirch/@48.531855799999995,7.716659799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",http://www.restaurants.mcdonalds.fr/mcdonalds-illkirch-campus,Mai Dang Lao  (Ye Zhu ),https://www.google.com/maps/contrib/108515621428382628365,https://lh5.googleusercontent.com/p/AF1QipNQgMht4N1XvbMCaVICjSZ_o8UVD0bBuA2q7Zk8=w426-h240-k-no,Kuai Can Dian ,"Kuai Can Dian , Han Bao Can Ting , Wai Mai Zi Qu Can Ting , Bo Bing Can Ting ",3.4,09:00-00:00,Xing Qi Yi ,+33 3 88 66 14 14,"Mai Dang Lao 33 Rue de l'Industrie, 67400 Illkirch-Graffenstaden, Fa Guo ","Ce Suo , Yan , Leng , Tu , Xue Sheng , Ju Kao , Ke Le , Jian Feng Shi Jian ",https://www.google.com/maps/place/%E9%BA%A5%E7%95%B6%E5%8B%9E/data=!4m7!3m6!1s0x4796ca3aa69e774f:0xe114d17f4285e896!8m2!3d48.5291812!4d7.7314095!16s%2Fg%2F119w9v057!19sChIJT3eepjrKlkcRluiFQn_RFOE?authuser=0&hl=zh-TW&rclk=1
ChIJjYRFKXXLlkcRunIxGKHFbbI,La perle bleue ILLKIRCH,,False,914,"Name: La Table de l'Ill
link: https://www.google.com/maps/search/La+Table+de+l%27Ill/@48.5274333,7.708918199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1250 reviews

Name: Restaurant La Bravade
link: https://www.google.com/maps/search/Restaurant+La+Bravade/@48.5107115,7.7268807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 849 reviews

Name: La Perle Bleue
link: https://www.google.com/maps/search/La+Perle+Bleue/@48.572106899999994,7.713900799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 494 reviews

Name: La Table d'Olivier
link: https://www.google.com/maps/search/La+Table+d%27Olivier/@48.531914799999996,7.716899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Au Bon Coin
link: https://www.google.com/maps/search/Au+Bon+Coin/@48.5228313,7.7071239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews",https://www.facebook.com/la.perle.bleue.ilk,La perle bleue ILLKIRCH (Ye Zhu ),https://www.google.com/maps/contrib/118318251106798482075,https://lh5.googleusercontent.com/p/AF1QipMmhEsHXoJJYooB7h5mWD-INT5a4QlWM13DeAMi=w426-h240-k-no,Can Ting ,"Can Ting , Ka Pei Ting , Cha Yi Guan ",4.3,"11:30-14:30, 18:00-22:00","Xing Qi Ri , Xing Qi Yi ",+33 3 88 60 54 54,"La perle bleue ILLKIRCH, 1 Rue du Hoelzel, 67400 Illkirch-Graffenstaden, Fa Guo ","Bai Pan , Diao Jiu , Qian Cai , Leng , Fu Pen Zi ",https://www.google.com/maps/place/La+perle+bleue+ILLKIRCH/data=!4m7!3m6!1s0x4796cb752945848d:0xb26dc5a1183172ba!8m2!3d48.5136584!4d7.7120399!16s%2Fg%2F11mwwfgt0t!19sChIJjYRFKXXLlkcRunIxGKHFbbI?authuser=0&hl=zh-TW&rclk=1
ChIJOS5w0xHKlkcR2wqJIVxjR0A,L'art du Cafe,,False,513,"Name: Saveurs & Saisons
link: https://www.google.com/maps/search/Saveurs+%26+Saisons/@48.524494999999995,7.708171699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 460 reviews

Name: Le Bistroquet
link: https://www.google.com/maps/search/Le+Bistroquet/@48.5252601,7.708666299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: La Table d'Olivier
link: https://www.google.com/maps/search/La+Table+d%27Olivier/@48.531914799999996,7.716899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Au Bon Coin
link: https://www.google.com/maps/search/Au+Bon+Coin/@48.5228313,7.7071239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Le 7eme Art
link: https://www.google.com/maps/search/Le+7%C3%A8me+Art/@48.5226834,7.7387846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews",https://m.facebook.com/pages/category/Coffee-Shop/LArt-du-Caf%25C3%25A9-1409021712741789/%3Flocale2%3Dfr_FR,L'art du Cafe (Ye Zhu ),https://www.google.com/maps/contrib/106299109758537715665,https://lh5.googleusercontent.com/p/AF1QipOSIIjVF08t3FTZGgadUxNfEghROIWIZICL6Q2z=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Fa Guo Can Ting , Can Ting ",4.3,08:00-19:00,Xing Qi Ri ,+33 3 88 43 06 77,"L'art du Cafe, 10 All. Francois Mitterrand, 67400 Illkirch-Graffenstaden, Fa Guo ","Jia Ge , Xiao Rong , Can , Han Bao , Tian Dian , Jia Ting , Pi Jiu ",https://www.google.com/maps/place/L%27art+du+Caf%C3%A9/data=!4m7!3m6!1s0x4796ca11d3702e39:0x4047635c21890adb!8m2!3d48.5277965!4d7.7080409!16s%2Fg%2F11b6nxg4d0!19sChIJOS5w0xHKlkcR2wqJIVxjR0A?authuser=0&hl=zh-TW&rclk=1
ChIJrQZNPRLKlkcRAmnt4eip1mQ,La Creperie Delices,,False,498,"Name: Auberge du Cerf
link: https://www.google.com/maps/search/Auberge+du+Cerf/@48.519690399999995,7.705264699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1867 reviews

Name: Saveurs & Saisons
link: https://www.google.com/maps/search/Saveurs+%26+Saisons/@48.524494999999995,7.708171699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 460 reviews

Name: Le Bistroquet
link: https://www.google.com/maps/search/Le+Bistroquet/@48.5252601,7.708666299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: La Table d'Olivier
link: https://www.google.com/maps/search/La+Table+d%27Olivier/@48.531914799999996,7.716899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Restaurant Les Terrasses d'Illkirch
link: https://www.google.com/maps/search/Restaurant+Les+Terrasses+d%27Illkirch/@48.528126400000005,7.710468799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews",https://www.facebook.com/people/La-Cr%25C3%25AAperie-D%25C3%25A9lices-Futterer/100075680268724/,La Creperie Delices (Ye Zhu ),https://www.google.com/maps/contrib/106394570293491754750,https://lh5.googleusercontent.com/p/AF1QipMRxFCPCiF8o2OL02YIwu08wVNGlrMbArotsKxW=w408-h725-k-no,Fa Shi Bo Bing Can Ting ,"Fa Shi Bo Bing Can Ting , Xue Gao Dian , Can Ting ",4.1,,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Liu ",+33 3 88 84 03 65,"La Creperie Delices, 156 Rte de Lyon, 67400 Illkirch-Graffenstaden, Fa Guo ","Tang , Song Bing , Xiao Rong , Dian Che , Fang Jian , Duo Rou ",https://www.google.com/maps/place/La+Cr%C3%AAperie+D%C3%A9lices/data=!4m7!3m6!1s0x4796ca123d4d06ad:0x64d6a9e8e1ed6902!8m2!3d48.5257825!4d7.7083532!16s%2Fg%2F11c48plzr4!19sChIJrQZNPRLKlkcRAmnt4eip1mQ?authuser=0&hl=zh-TW&rclk=1
ChIJ3ZXIrnLKlkcR9gqlq_BZrJQ,Pub Shamrock,,False,454,"Name: Auberge du Cerf
link: https://www.google.com/maps/search/Auberge+du+Cerf/@48.519690399999995,7.705264699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1867 reviews

Name: Le Bistroquet
link: https://www.google.com/maps/search/Le+Bistroquet/@48.5252601,7.708666299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Au Raisin
link: https://www.google.com/maps/search/Au+Raisin/@48.5183433,7.7072132?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: Cercle Saint Symphorien
link: https://www.google.com/maps/search/Cercle+Saint+Symphorien/@48.526717100000006,7.7125246999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Rock Shop cafe
link: https://www.google.com/maps/search/Rock+Shop+caf%C3%A9/@48.532666899999995,7.7324908?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://m.facebook.com/Shamrock.Illkirch/%3Flocale2%3Dfr_FR,Pub Shamrock (Ye Zhu ),https://www.google.com/maps/contrib/102905574665899438464,https://lh5.googleusercontent.com/p/AF1QipNjPnu0w5BnjT_Ze2jVm3pMELQBRF8AUHsXDcNb=w408-h544-k-no,Jiu Ba ,"Jiu Ba , Fa Guo Can Ting , Fa Shi Can Ting ",4.2,,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Liu ",+33 3 88 66 62 51,"Pub Shamrock, 196 Rte de Lyon, 67400 Illkirch-Graffenstaden, Fa Guo ","Diao Jiu , Jia Ge , You Cong , mojito, Xiao Rong , Wu , Yin Shi ",https://www.google.com/maps/place/Pub+Shamrock/data=!4m7!3m6!1s0x4796ca72aec895dd:0x94ac59f0aba50af6!8m2!3d48.5212613!4d7.7051094!16s%2Fg%2F1tkc5mmh!19sChIJ3ZXIrnLKlkcR9gqlq_BZrJQ?authuser=0&hl=zh-TW&rclk=1
ChIJo4MfohHKlkcRGjZM9i_R2Is,Le Cafe Monceau,,False,241,"Name: Le Monceau
link: https://www.google.com/maps/search/Le+Monceau/@48.579875300000005,7.744876400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 489 reviews

Name: Bakery Gantzer
link: https://www.google.com/maps/search/Bakery+Gantzer/@48.5304344,7.712597899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: La Belle Choc'
link: https://www.google.com/maps/search/La+Belle+Choc%27/@48.5279436,7.710309400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 213 reviews

Name: Au Bon Coin
link: https://www.google.com/maps/search/Au+Bon+Coin/@48.5228313,7.7071239?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Hostellerie du Jardin
link: https://www.google.com/maps/search/Hostellerie+du+Jardin/@48.535354999999996,7.7250706?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews",https://lecafemonceau.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Le Cafe Monceau (Ye Zhu ),https://www.google.com/maps/contrib/106502693412402266895,https://lh5.googleusercontent.com/p/AF1QipPRFEdvcFbQHD_1U3bFlvwzUy-cxGoYgKDZ10qO=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Pi Jiu Zhuan Mai Dian , Zao Can Can Ting , Xi Bing Dian , Zhu Gu Li Dian , Fa Guo Can Ting , Han Bao Can Ting , Xue Gao Dian , Gao Bing Dian , Pu Tao Jiu Ba ",4.2,07:00-19:30,Xing Qi Ri ,+33 9 86 73 70 80,"Le Cafe Monceau, 154a Rte de Lyon, 67400 Illkirch-Graffenstaden, Fa Guo ","Jia Ge , Xiao Rong , Xiang Kuang , Chou Yan , Pi Jiu ",https://www.google.com/maps/place/Le+Caf%C3%A9+Monceau/data=!4m7!3m6!1s0x4796ca11a21f83a3:0x8bd8d12ff64c361a!8m2!3d48.5279659!4d7.7099288!16s%2Fg%2F1tff1zqc!19sChIJo4MfohHKlkcRGjZM9i_R2Is?authuser=0&hl=zh-TW&rclk=1
ChIJmb78JobJlkcRAQGGivw5D6g,"Cafes Henri Baggersee, vente de cafes, thes & paniers gourmands",,False,222,"Name: Restaurant flunch Strasbourg Illkirch
link: https://www.google.com/maps/search/Restaurant+flunch+Strasbourg+Illkirch/@48.5440537,7.739812400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2559 reviews

Name: L'art du Cafe
link: https://www.google.com/maps/search/L%27art+du+Caf%C3%A9/@48.5277965,7.7080409?authuser=0&hl=zh-TW&entry=ttu
Reviews: 513 reviews

Name: Le Cafe Monceau
link: https://www.google.com/maps/search/Le+Caf%C3%A9+Monceau/@48.5279659,7.709928799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 241 reviews

Name: Couleurs du The
link: https://www.google.com/maps/search/Couleurs+du+Th%C3%A9/@48.5273207,7.7087171?authuser=0&hl=zh-TW&entry=ttu
Reviews: 107 reviews

Name: Kusmi Tea | Strasbourg Illkirch-Graffenstaden
link: https://www.google.com/maps/search/Kusmi+Tea+%7C+Strasbourg+Illkirch-Graffenstaden/@48.542810599999996,7.739669199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.cafeshenri.fr/,"Cafes Henri Baggersee, vente de cafes, thes & paniers gourmands (Ye Zhu )",https://www.google.com/maps/contrib/101114412031968126416,https://lh5.googleusercontent.com/p/AF1QipP7CUp-aiY4r3k7wZc0-1mog2u_0MLFgJSqlyNO=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting , Zhu Gu Li Dian , Ka Pei Fan Mai Ji , Shou Shi Dian , Li Pin Dian , Shang Dian , Cha Yi Guan , Cha Xie Dian ",4.1,08:30-19:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+33 3 88 79 25 61,"Cafes Henri Baggersee, vente de cafes, thes & paniers gourmands, 6 Av. de Strasbourg, 67400 Illkirch-Graffenstaden, Fa Guo ","Xiao Rong , Qiao Ke Li ","https://www.google.com/maps/place/Caf%C3%A9s+Henri+Baggersee,+vente+de+caf%C3%A9s,+th%C3%A9s+%26+paniers+gourmands/data=!4m7!3m6!1s0x4796c98626fcbe99:0xa80f39fc8a860101!8m2!3d48.545225!4d7.74052!16s%2Fg%2F1thq474y!19sChIJmb78JobJlkcRAQGGivw5D6g?authuser=0&hl=zh-TW&rclk=1"
ChIJcZnVoBHKlkcRDlaLr0bCEzI,La Belle Choc',,False,213,"Name: Daniel Michel Chocolates
link: https://www.google.com/maps/search/Daniel+Michel+Chocolates/@48.514613,7.7197604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 254 reviews

Name: La Boulangerie de l'Ill
link: https://www.google.com/maps/search/La+Boulangerie+de+l%27Ill/@48.532322699999995,7.718825599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 180 reviews

Name: Boulangerie Patisserie Christian Beck
link: https://www.google.com/maps/search/Boulangerie+P%C3%A2tisserie+Christian+Beck/@48.5222852,7.706809300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Beck Paul
link: https://www.google.com/maps/search/Beck+Paul/@48.5222587,7.7068848?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.hotelalsace.com/,La Belle Choc' (Ye Zhu ),https://www.google.com/maps/contrib/102026876940363455414,https://lh5.googleusercontent.com/p/AF1QipPsfhTAquG6ZWXZV6L55kVspSkuOP9Yzt9vq3Lb=w408-h272-k-no,Zhu Gu Li Dian ,"Zhu Gu Li Dian , Gao Bing Dian , Can Ting , Cha Yi Guan ",4,07:30-18:00,Xing Qi Yi ,+33 3 88 66 14 26,"La Belle Choc', 189 Rte de Lyon, 67400 Illkirch-Graffenstaden, Fa Guo ","Gao , Xiao Rong , Cha Dian , Jia Ge , Zao Can , Zhuo , Ka Pei Ting , Guo Zhi ",https://www.google.com/maps/place/La+Belle+Choc%27/data=!4m7!3m6!1s0x4796ca11a0d59971:0x3213c246af8b560e!8m2!3d48.5279436!4d7.7103094!16s%2Fg%2F1tx4n949!19sChIJcZnVoBHKlkcRDlaLr0bCEzI?authuser=0&hl=zh-TW&rclk=1
ChIJRa1upxHKlkcRi5NJG-JIfwc,Restaurant Les Terrasses d'Illkirch,,False,142,"Name: Auberge du Cerf
link: https://www.google.com/maps/search/Auberge+du+Cerf/@48.519690399999995,7.705264699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1867 reviews

Name: Saveurs & Saisons
link: https://www.google.com/maps/search/Saveurs+%26+Saisons/@48.524494999999995,7.708171699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 460 reviews

Name: Le Bistroquet
link: https://www.google.com/maps/search/Le+Bistroquet/@48.5252601,7.708666299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Auberge de L'Ecluse
link: https://www.google.com/maps/search/Auberge+de+L%27%C3%89cluse/@48.5454387,7.731488799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 355 reviews

Name: La Table d'Olivier
link: https://www.google.com/maps/search/La+Table+d%27Olivier/@48.531914799999996,7.716899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews",http://www.hotelalsace.com/,Restaurant Les Terrasses d'Illkirch (Ye Zhu ),https://www.google.com/maps/contrib/115852857426214182599,https://lh5.googleusercontent.com/p/AF1QipPFMqBc8CKbD-UZGpqpcI06BjSHbk5Uwx-8j5ji=w408-h306-k-no,Can Ting ,Can Ting ,4.1,"12:00-14:00, 19:00-21:30","Xing Qi Ri , Xing Qi Yi , Xing Qi Er , Xing Qi Liu ",+33 3 90 40 35 02,"Restaurant Les Terrasses d'Illkirch, 187 Rte de Lyon, 67400 Illkirch-Graffenstaden, Fa Guo ","Jia Ge , Liao Li , Xiang Kuang , Yi Dao Cai , Tian Dian , Bai Pan , Qian Cai , Shu Tiao , Fan Dian ",https://www.google.com/maps/place/Restaurant+Les+Terrasses+d%27Illkirch/data=!4m7!3m6!1s0x4796ca11a76ead45:0x77f48e21b49938b!8m2!3d48.5281264!4d7.7104688!16s%2Fg%2F1td68tqd!19sChIJRa1upxHKlkcRi5NJG-JIfwc?authuser=0&hl=zh-TW&rclk=1
ChIJqb81fiHKlkcRJF0anANlja4,Hostellerie du Jardin,,False,119,"Name: Hotel Restaurant Du Chasseur
link: https://www.google.com/maps/search/H%C3%B4tel+Restaurant+Du+Chasseur/@48.5325902,7.719523099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 506 reviews

Name: Le Bistroquet
link: https://www.google.com/maps/search/Le+Bistroquet/@48.5252601,7.708666299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: La Table d'Olivier
link: https://www.google.com/maps/search/La+Table+d%27Olivier/@48.531914799999996,7.716899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 349 reviews

Name: Le Cafe Monceau
link: https://www.google.com/maps/search/Le+Caf%C3%A9+Monceau/@48.5279659,7.709928799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 241 reviews

Name: Restaurant Les Terrasses d'Illkirch
link: https://www.google.com/maps/search/Restaurant+Les+Terrasses+d%27Illkirch/@48.528126400000005,7.710468799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 142 reviews",https://m.facebook.com/hostelleriedujardin/%3Flocale2%3Dfr_FR,Hostellerie du Jardin (Ye Zhu ),https://www.google.com/maps/contrib/103542864890701975042,https://lh5.googleusercontent.com/p/AF1QipPTvBns_P087ZI_KNqZ8iZrxICC6QPZMRQ06dRO=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , PMU Jiu Ba , Pi Jiu Guan , Pi Jiu Niang Zhi Chang , Zi Zhu Can Ting , Ji Wei Jiu Jiu Ba , Yun Dong Jiu Ba , Cha Yi Guan ",4.6,06:00-20:00,Open All Days,+33 3 88 66 20 85,"Hostellerie du Jardin, 51 Rte de Lyon, 67400 Illkirch-Graffenstaden, Fa Guo ","Ba , Xiao Rong , Sheng Dan ",https://www.google.com/maps/place/Hostellerie+du+Jardin/data=!4m7!3m6!1s0x4796ca217e35bfa9:0xae8d65039c1a5d24!8m2!3d48.535355!4d7.7250706!16s%2Fg%2F1tt0q1m4!19sChIJqb81fiHKlkcRJF0anANlja4?authuser=0&hl=zh-TW&rclk=1
