place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJkcUnNmqw6kcR2AakvorPVl8,Coconuts,,False,410,"Name: L'Insol!te
link: https://www.google.com/maps/search/L%27Insol%21te/@49.683528499999994,5.8148849?authuser=0&hl=zh-TW&entry=ttu
Reviews: 273 reviews

Name: Le Cocoon
link: https://www.google.com/maps/search/Le+Cocoon/@49.6841036,5.8135505?authuser=0&hl=zh-TW&entry=ttu
Reviews: 179 reviews

Name: Le coquetel
link: https://www.google.com/maps/search/Le+coquetel/@49.6849208,5.8132867?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Le Venitien
link: https://www.google.com/maps/search/Le+Venitien/@49.6840529,5.8136762?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Coco Sprl
link: https://www.google.com/maps/search/Coco+Sprl/@49.68453340000001,5.8137984000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://cocoarlon.be/,Coconuts (Ye Zhu ),https://www.google.com/maps/contrib/103901924315165251782,https://lh5.googleusercontent.com/p/AF1QipOxPTU9hFwUiu9yrXoJRrzElK3mqsVbhLkZUUhU=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba ",3.9,10:00-01:00,Open All Days,+32 63 22 51 12,"Coconuts, Pl. Didier 17, 6700 Arlon, Bi Li Shi ","Diao Jiu , Jia Ge , Yin Le , Pi Jiu ",https://www.google.com/maps/place/Coconuts/data=!4m7!3m6!1s0x47eab06a3627c591:0x5f56cf8abea406d8!8m2!3d49.6844928!4d5.8137827!16s%2Fg%2F1td4cwn5!19sChIJkcUnNmqw6kcR2AakvorPVl8?authuser=0&hl=zh-TW&rclk=1
ChIJD_7BG2qw6kcR8ef9r5lZHGk,Knopes,,False,348,"Name: Pause Gourmande
link: https://www.google.com/maps/search/Pause+Gourmande/@49.684100199999996,5.8122096?authuser=0&hl=zh-TW&entry=ttu
Reviews: 450 reviews

Name: Arcades (Taverne Les)
link: https://www.google.com/maps/search/Arcades+%28Taverne+Les%29/@49.683397,5.8133034?authuser=0&hl=zh-TW&entry=ttu
Reviews: 218 reviews

Name: Cafe Suisse
link: https://www.google.com/maps/search/Cafe+Suisse/@49.6841626,5.8117084?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: U.S. Coffee
link: https://www.google.com/maps/search/U.S.+Coffee/@49.6838317,5.8128196999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews

Name: LN Coffee
link: https://www.google.com/maps/search/LN+Coffee/@49.6838634,5.8135844?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews",http://maisonknopes.be/,Knopes (Ye Zhu ),https://www.google.com/maps/contrib/115750905628295474849,https://lh5.googleusercontent.com/p/AF1QipOi0jhPlp64oETYboBKBcYHqUzzo-4p7_-eBkwQ=w408-h306-k-no,Cha Yi Guan ,Cha Yi Guan ,4.2,09:00-18:00,"Xing Qi Yi , Xing Qi Ri ",+32 63 22 74 07,"Knopes, Grand-Place 24, 6700 Arlon, Bi Li Shi ","Jia Ge , Ke Li Bing , Zao Can , Song Bing , Qiao Ke Li , Xuan Ze , Sha La , Liao Li ",https://www.google.com/maps/place/Knopes/data=!4m7!3m6!1s0x47eab06a1bc1fe0f:0x691c5999affde7f1!8m2!3d49.6837175!4d5.8148248!16s%2Fg%2F1wt3mr2q!19sChIJD_7BG2qw6kcR8ef9r5lZHGk?authuser=0&hl=zh-TW&rclk=1
ChIJh1-t5Gmw6kcRoozZvEVcZ2g,Le Glacier,,False,113,"Name: Insomnia
link: https://www.google.com/maps/search/Insomnia/@49.684371899999995,5.8134909?authuser=0&hl=zh-TW&entry=ttu
Reviews: 237 reviews

Name: Cafe Suisse
link: https://www.google.com/maps/search/Cafe+Suisse/@49.6841626,5.8117084?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: LN Coffee
link: https://www.google.com/maps/search/LN+Coffee/@49.6838634,5.8135844?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Cigognes (Cafe Les)
link: https://www.google.com/maps/search/Cigognes+%28Caf%C3%A9+Les%29/@49.684526,5.812548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews",https://facebook.com/profile.php%3Fid%3D100065320250666,Le Glacier (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMP6bj5co6dJmB-hDoqOiSMBn0e_nkLygBJXNZv=w493-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,12:00-19:30,Xing Qi Ri ,+32 63 21 68 05,"Le Glacier, Rue Etienne-Lenoir 11, 6700 Arlon, Bi Li Shi ","Bing Qi Lin , Ke Li Bing , Zhi Fu , Zhuo ",https://www.google.com/maps/place/Le+Glacier/data=!4m7!3m6!1s0x47eab069e4ad5f87:0x68675c45bcd98ca2!8m2!3d49.6827376!4d5.8150123!16s%2Fg%2F11bzx45wzn!19sChIJh1-t5Gmw6kcRoozZvEVcZ2g?authuser=0&hl=zh-TW&rclk=1
ChIJmVh6LGqw6kcR_FJ57jW3F-E,U.S. Coffee,,False,85,"Name: Knopes
link: https://www.google.com/maps/search/Knopes/@49.6837175,5.814824799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 348 reviews

Name: Cafe Suisse
link: https://www.google.com/maps/search/Cafe+Suisse/@49.6841626,5.8117084?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: LN Coffee
link: https://www.google.com/maps/search/LN+Coffee/@49.6838634,5.8135844?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Brasserie L'oeuf
link: https://www.google.com/maps/search/Brasserie+L%27oeuf/@49.6481269,5.819492599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Lovalu
link: https://www.google.com/maps/search/Lovalu/@49.683927399999995,5.8128684?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.uscoffee.be/,U.S. Coffee (Ye Zhu ),https://www.google.com/maps/contrib/103261776079684818439,https://lh5.googleusercontent.com/p/AF1QipN6AK5gjCNAlp4unlQyGr6VAG-g9PtA0USlFm8r=w408-h408-k-no,Tang Geng Can Ting ,"Tang Geng Can Ting , Ka Pei Dian ",4.6,07:15-14:00,"Xing Qi Liu , Xing Qi Ri ",+32 63 58 39 85,"U.S. Coffee, Marche aux Legumes 3, 6700 Arlon, Bi Li Shi ","Ke Ke , Zao Can , Jia Ge ",https://www.google.com/maps/place/U.S.+Coffee/data=!4m7!3m6!1s0x47eab06a2c7a5899:0xe117b735ee7952fc!8m2!3d49.6838317!4d5.8128197!16s%2Fg%2F1pty9wphs!19sChIJmVh6LGqw6kcR_FJ57jW3F-E?authuser=0&hl=zh-TW&rclk=1
ChIJz-7BPWqw6kcRgy570bF-nsA,Up Epi,,False,65,"Name: Boulangerie EVRARD
link: https://www.google.com/maps/search/Boulangerie+EVRARD/@49.6861125,5.7983805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 236 reviews",http://www.upepi.com/,Up Epi (Ye Zhu ),https://www.google.com/maps/contrib/104978669963883302711,https://lh5.googleusercontent.com/p/AF1QipOFQQtGZMEc1nu6ApevNVGdEK4rYD8esTzs9vln=w408-h243-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Gao Bing Dian ",4.1,06:30-18:00,"Xing Qi Yi , Xing Qi Er ",+32 63 23 29 60,"Up Epi, Rue des Capucins 10, 6700 Arlon, Bi Li Shi ","Qiao Ke Li , Ke Song , Lao Mian , Xuan Ze , Ying Tao , Shi Wang , Fa Guo Mian Bao , Shou ",https://www.google.com/maps/place/Up+Epi/data=!4m7!3m6!1s0x47eab06a3dc1eecf:0xc09e7eb1d17b2e83!8m2!3d49.6843782!4d5.8141293!16s%2Fg%2F11h7zf6mbw!19sChIJz-7BPWqw6kcRgy570bF-nsA?authuser=0&hl=zh-TW&rclk=1
ChIJUS_uJmqw6kcRS05U9J9yFl0,Maison Pomba,,False,58,"Name: I Dolci di Pietro - Pasticceria Mazzei
link: https://www.google.com/maps/search/I+Dolci+di+Pietro+-+Pasticceria+Mazzei/@49.6836878,5.8136639?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Didier Tradition
link: https://www.google.com/maps/search/Didier+Tradition/@49.6833023,5.815982?authuser=0&hl=zh-TW&entry=ttu
Reviews: 54 reviews

Name: Aromes gourmands
link: https://www.google.com/maps/search/Ar%C3%B4mes+gourmands/@49.6834783,5.814525799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Wiltgen
link: https://www.google.com/maps/search/Wiltgen/@49.6831901,5.8149349?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",https://maison-pomba.business.site/,Maison Pomba (Ye Zhu ),https://www.google.com/maps/contrib/109823098438861162822,https://lh5.googleusercontent.com/p/AF1QipNnUwWL6_Gi9WEz5cK_8ObkGlYTGfc79nt8T_5w=w408-h544-k-no,Zhu Gu Li Dian ,Zhu Gu Li Dian ,4.2,09:00-18:00,Xing Qi Ri ,+32 63 22 42 99,"Maison Pomba, Grand-Rue 18, 6700 Arlon, Bi Li Shi ","San Ming Zhi , Song Bing ",https://www.google.com/maps/place/Maison+Pomba/data=!4m7!3m6!1s0x47eab06a26ee2f51:0x5d16729ff4544e4b!8m2!3d49.683632!4d5.8137064!16s%2Fg%2F1ty73ll6!19sChIJUS_uJmqw6kcRS05U9J9yFl0?authuser=0&hl=zh-TW&rclk=1
ChIJ5xFpeKO76kcR3N9HC3CH--A,L'Atelier Ponsar,,False,29,"Name: Coursdecouture Arlon
link: https://www.google.com/maps/search/Coursdecouture+Arlon/@49.6830338,5.8154921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Leonard-Ponsar P.
link: https://www.google.com/maps/search/L%C3%A9onard-Ponsar+P./@49.7188216,5.6382851?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Atelier Creatif
link: https://www.google.com/maps/search/Atelier+Cr%C3%A9atif/@49.6847765,5.8105752?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Schneidesch / Pierre
link: https://www.google.com/maps/search/Schneidesch+%2F+Pierre/@49.684735599999996,5.813311499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.latelierponsar.be/,L'Atelier Ponsar (Ye Zhu ),https://www.google.com/maps/contrib/104658308438426749050,https://lh5.googleusercontent.com/p/AF1QipP6poDO8yicLEbLqqXXJKfpOywbEK3egzTT4zOs=w426-h240-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Xue Gao Dian , Fa Shi Gao Bing Dian , San Wen Zhi Dian , Cha Yi Guan ",2.8,09:00-18:00,Xing Qi Ri ,+32 63 57 99 16,"L'Atelier Ponsar, Parc commercial de, Rue de l'Hydrion, 6700 Arlon, Bi Li Shi ","Yan , San Ming Zhi , Jia Ge , Zhuo , Ka Pei ",https://www.google.com/maps/place/L%27Atelier+Ponsar/data=!4m7!3m6!1s0x47eabba3786911e7:0xe0fb87700b47dfdc!8m2!3d49.6843151!4d5.7907736!16s%2Fg%2F11srzxv2qh!19sChIJ5xFpeKO76kcR3N9HC3CH--A?authuser=0&hl=zh-TW&rclk=1
ChIJr1NZDoSx6kcRCz_0AGRSuhs,La Focacceria cafe & epicerie,,False,8,"Name: ItalGrossPoint
link: https://www.google.com/maps/search/ItalGrossPoint/@49.647275799999996,5.9630448000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 220 reviews

Name: Le Comptoir de la Cigogne
link: https://www.google.com/maps/search/Le+Comptoir+de+la+Cigogne/@49.6491398,5.7798853?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: epicerie de la miff
link: https://www.google.com/maps/search/%C3%A9picerie+de+la+miff/@49.6832079,5.8155049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://la-focacceria-cafe-epicerie.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,La Focacceria cafe & epicerie (Ye Zhu ),https://www.google.com/maps/contrib/100501859140245918720,https://lh5.googleusercontent.com/p/AF1QipOCP1vJetl6fZZJ5LAOW3xOEn8BdfpIqTyYepSL=w440-h240-k-no,Za Huo Dian ,Za Huo Dian ,4.8,09:00-19:00,Open All Days,+32 474 22 89 03,"La Focacceria cafe & epicerie, Marche aux Legumes 9/11, 6700 Arlon, Bi Li Shi ",,https://www.google.com/maps/place/La+Focacceria+caf%C3%A9+%26+%C3%A9picerie/data=!4m7!3m6!1s0x47eab1840e5953af:0x1bba526400f43f0b!8m2!3d49.6838515!4d5.8131207!16s%2Fg%2F11qn9w_2zk!19sChIJr1NZDoSx6kcRCz_0AGRSuhs?authuser=0&hl=zh-TW&rclk=1
ChIJZwUINlex6kcR_qVyUkZ3Dew,Cafe P2R,,False,5,"Name: Coconuts
link: https://www.google.com/maps/search/Coconuts/@49.6844928,5.8137827?authuser=0&hl=zh-TW&entry=ttu
Reviews: 410 reviews

Name: L'Insol!te
link: https://www.google.com/maps/search/L%27Insol%21te/@49.683528499999994,5.8148849?authuser=0&hl=zh-TW&entry=ttu
Reviews: 273 reviews

Name: Arcades (Taverne Les)
link: https://www.google.com/maps/search/Arcades+%28Taverne+Les%29/@49.683397,5.8133034?authuser=0&hl=zh-TW&entry=ttu
Reviews: 218 reviews

Name: Le Comptoir de Mi-Orge Mi-Houblon
link: https://www.google.com/maps/search/Le+Comptoir+de+Mi-Orge+Mi-Houblon/@49.688220699999995,5.8224225?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: The Will and You Bar
link: https://www.google.com/maps/search/The+Will+and+You+Bar/@49.684383,5.814040299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://facebook.com/p2rcafe/,Cafe P2R (Ye Zhu ),https://www.google.com/maps/contrib/109604460805692176509,https://lh5.googleusercontent.com/p/AF1QipO63DKkmzSdXnBICcIL5hQ-MaytZ3c0OJxTYbtz=w408-h306-k-no,Jiu Ba ,Jiu Ba ,4.8,15:00-01:00,"Xing Qi Yi , Xing Qi Ri ",,"Cafe P2R, Pl. du Dr Hollenfeltz 1, 6700 Arlon, Bi Li Shi ",,https://www.google.com/maps/place/Caf%C3%A9+P2R/data=!4m7!3m6!1s0x47eab15736080567:0xec0d77465272a5fe!8m2!3d49.6840795!4d5.8134326!16s%2Fg%2F11q4k3xgfc!19sChIJZwUINlex6kcR_qVyUkZ3Dew?authuser=0&hl=zh-TW&rclk=1
ChIJU-8z_1Sx6kcR4fDEc0K4pZU,Nespresso Point - Delitraiteur Arlon,"Zhe Jian Guo Ji Lian Suo Shang Dian Fan Shou Zi Chan Ka Pei ,Yi Ji Shi He Ju Jia Chong Pao De Yi Shi Ka Pei Ji He Pei Jian . ",False,2,"Name: Delitraiteur
link: https://www.google.com/maps/search/Delitraiteur/@49.668094599999996,5.8245856?authuser=0&hl=zh-TW&entry=ttu
Reviews: 382 reviews

Name: U.S. Coffee
link: https://www.google.com/maps/search/U.S.+Coffee/@49.6838317,5.8128196999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews

Name: LN Coffee
link: https://www.google.com/maps/search/LN+Coffee/@49.6838634,5.8135844?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: La Focacceria cafe & epicerie
link: https://www.google.com/maps/search/La+Focacceria+caf%C3%A9+%26+%C3%A9picerie/@49.683851499999996,5.8131207?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Saladerie-Sandwicherie L'escale
link: https://www.google.com/maps/search/Saladerie-Sandwicherie+L%27escale/@49.684100199999996,5.8122096?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.nespresso.com/be,Nespresso Point - Delitraiteur Arlon (Ye Zhu ),https://www.google.com/maps/contrib/106589792764735669167,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z2As8kDOXJZ7LFSpYjknxw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=71.63571&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,4.5,07:30-22:00,Open All Days,+32 800 16 264,"Nespresso Point - Delitraiteur Arlon, Av. de Longwy 400, 6700 Arlon, Bi Li Shi ",,https://www.google.com/maps/place/Nespresso+Point+-+Delitraiteur+Arlon/data=!4m7!3m6!1s0x47eab154ff33ef53:0x95a5b84273c4f0e1!8m2!3d49.6680441!4d5.8246639!16s%2Fg%2F11h4yr5zlm!19sChIJU-8z_1Sx6kcR4fDEc0K4pZU?authuser=0&hl=zh-TW&rclk=1
