place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJpz_5yVrxakARHPbkANBZMsA,Express Cafe,,False,2,"Name: NOY Handisowt`yownneri Srah
link: https://www.google.com/maps/search/%D5%86%D5%88%D5%85+%D5%80%D5%A1%D5%B6%D5%A4%D5%AB%D5%BD%D5%B8%D6%82%D5%A9%D5%B5%D5%B8%D6%82%D5%B6%D5%B6%D5%A5%D6%80%D5%AB+%D5%8D%D6%80%D5%A1%D5%B0/@40.0839916,44.051567?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: RESTORAN GOXTAN
link: https://www.google.com/maps/search/RESTORAN+GOXTAN/@40.1529429,44.02377130000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Nor Ani
link: https://www.google.com/maps/search/%D5%86%D5%B8%D6%80+%D4%B1%D5%B6%D5%AB/@40.1495179,44.033747899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Boulangerie
link: https://www.google.com/maps/search/Boulangerie/@40.150334199999996,44.0347474?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://express-cafe-grand-cafe.business.site/?utm_source=gmb&utm_medium=referral,Express Cafe (Ye Zhu ),https://www.google.com/maps/contrib/100185961033006751356,https://lh5.googleusercontent.com/p/AF1QipPBz3L-KRafaZF7JqAh62736fLx2WyQFE0yA3HZ=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,5,09:00-22:00,Open All Days,+374 237 20406,"Express Cafe, 33A Hanrapetutyan Street, Armavir, Ya Mei Ni Ya ",,https://www.google.com/maps/place/Express+Cafe/data=!4m7!3m6!1s0x406af15ac9f93fa7:0xc03259d000e4f61c!8m2!3d40.1523776!4d44.0362052!16s%2Fg%2F11fjvtqv28!19sChIJpz_5yVrxakARHPbkANBZMsA?authuser=0&hl=zh-TW&rclk=1
ChIJk0vsPD_xakARFdE52snddI0,Tandzi poch` / Tandzi poch,,False,2,,https://www.facebook.com/tandzi.poch%3Fmibextid%3DLQQJ4d,Tandzi poch` / Tandzi poch (Ye Zhu ),https://www.google.com/maps/contrib/114015313919807569552,https://lh5.googleusercontent.com/p/AF1QipP1erYFdxxwKQiPRxDd8rHoc1_kUytl7CO-e10j=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,5,10:00-23:00,Open All Days,,"Tandzi poch` / Tandzi poch, Mashtots street, Armavir 0909Ya Mei Ni Ya ",,https://www.google.com/maps/place/%D5%8F%D5%A1%D5%B6%D5%B1%D5%AB+%D5%BA%D5%B8%D5%B9+%2F+Tandzi+poch/data=!4m7!3m6!1s0x406af13f3cec4b93:0x8d74ddc9da39d115!8m2!3d40.1533048!4d44.026272!16s%2Fg%2F11v0jhx4mf!19sChIJk0vsPD_xakARFdE52snddI0?authuser=0&hl=zh-TW&rclk=1
ChIJBXdJ54jvakAR8-4thNestMg,Coffee Mood,,False,1,,https://www.instagram.com/coffeemood_am/,Coffee Mood (Ye Zhu ),https://www.google.com/maps/contrib/107353959874065898764,https://lh5.googleusercontent.com/p/AF1QipNUzGZzLLGtaATPqo1LjbvWhj5g1zZu6EOwdyme=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,+374 98 827438,"Coffee Mood, Village of Norapat, 8 Street, 17, Village of Norapat, Armavir G. Norapat 8/17, Armavir 0904Ya Mei Ni Ya ",,https://www.google.com/maps/place/Coffee+Mood/data=!4m7!3m6!1s0x406aef88e7497705:0xc8b4acd7842deef3!8m2!3d40.139515!4d44.0389661!16s%2Fg%2F11kqkllv49!19sChIJBXdJ54jvakAR8-4thNestMg?authuser=0&hl=zh-TW&rclk=1
ChIJUX3Hn4XxakARLbDws2j_c8s,NooK Coffee-tea,,False,,"Name: Express Cafe
link: https://www.google.com/maps/search/Express+Cafe/@40.1523776,44.0362052?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Hanrapetutyan 43/2
link: https://www.google.com/maps/search/Hanrapetutyan+43%2F2/@40.155995999999995,44.0386953?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Armavir Mangal House
link: https://www.google.com/maps/search/Armavir+Mangal+House/@40.145689499999996,44.046025799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Lili Cafe
link: https://www.google.com/maps/search/Lili+Cafe/@40.1551398,44.0382655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Dr's Burger
link: https://www.google.com/maps/search/Dr%27s+Burger/@40.1546157,44.0242462?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/nook.coffeetea,NooK Coffee-tea (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,,10:00-21:00,Open All Days,+374 98 554406,"524Q+6GH NooK Coffee-tea, Sayat`-Nova 122, Armavir, Ya Mei Ni Ya ",,https://www.google.com/maps/place/NooK+Coffee-tea/data=!4m7!3m6!1s0x406af1859fc77d51:0xcb73ff68b3f0b02d!8m2!3d40.1555525!4d44.0388482!16s%2Fg%2F11h94jrvw0!19sChIJUX3Hn4XxakARLbDws2j_c8s?authuser=0&hl=zh-TW&rclk=1
ChIJY-F1qGjxakAR1Eq5vdXWUvY,<<Nrhani>> entanekan khanowt`,,False,,"Name: Minimarket
link: https://www.google.com/maps/search/Minimarket/@40.1459269,44.1128004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: pepsi supermarket
link: https://www.google.com/maps/search/pepsi+supermarket/@40.1302076,44.0051846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Store
link: https://www.google.com/maps/search/Store/@40.1407625,44.0353281?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Metsamormarket
link: https://www.google.com/maps/search/Metsamormarket/@40.1434814,44.1185398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Grocery store
link: https://www.google.com/maps/search/Grocery+store/@40.1840645,43.9153935?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://supermarket-4881.business.site/?utm_source=gmb&utm_medium=referral,<<Nrhani>> entanekan khanowt` (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPq3zFlsuiUYBYTib71LVcTJPCFHj0-100BmBSM=w408-h306-k-no,Bian Li Dian ,Bian Li Dian ,,24 Xiao Shi Ying Ye ,Open All Days,+374 93 198598,"<<Nrhani>> entanekan khanowt`, 0901 Lermontov St, Armavir 0901Ya Mei Ni Ya ",,https://www.google.com/maps/place/%C2%AB%D5%86%D5%BC%D5%A1%D5%B6%D5%AB%C2%BB+%D5%A8%D5%B6%D5%BF%D5%A1%D5%B6%D5%A5%D5%AF%D5%A1%D5%B6+%D5%AD%D5%A1%D5%B6%D5%B8%D6%82%D5%A9/data=!4m7!3m6!1s0x406af168a875e163:0xf652d6d5bdb94ad4!8m2!3d40.1622302!4d44.0375967!16s%2Fg%2F11frsdqkf5!19sChIJY-F1qGjxakAR1Eq5vdXWUvY?authuser=0&hl=zh-TW&rclk=1
ChIJmQbUlqjvakARrw-GkgyEJ3o,Shahverdyan Market,,False,,"Name: Isahakyan supermarket
link: https://www.google.com/maps/search/Isahakyan+supermarket/@40.1508762,44.0304297?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Shena
link: https://www.google.com/maps/search/%D0%A8%D0%B5%D0%BD%D0%B0/@40.150234399999995,44.0347252?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: ZET Market
link: https://www.google.com/maps/search/ZET+Market/@40.1306122,44.0058569?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Hayq
link: https://www.google.com/maps/search/Hayq/@40.1507979,44.0350858?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Erik's Market
link: https://www.google.com/maps/search/Erik%27s+Market/@40.155488999999996,44.0371862?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://shahverdyan-market.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Shahverdyan Market (Ye Zhu ),https://www.google.com/maps/contrib/103087705207914547805,https://lh5.googleusercontent.com/p/AF1QipME0Fug62YmWUThMCEBZd0FrNWpZZQc1PoshfWB=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,,24 Xiao Shi Ying Ye ,Open All Days,,"Shahverdyan Market, 17/2 Hanrapetutyan Street, Armavir, Ya Mei Ni Ya ",,https://www.google.com/maps/place/Shahverdyan+Market/data=!4m7!3m6!1s0x406aefa896d40699:0x7a27840c92860faf!8m2!3d40.149427!4d44.0339273!16s%2Fg%2F11fktkd07c!19sChIJmQbUlqjvakARrw-GkgyEJ3o?authuser=0&hl=zh-TW&rclk=1
ChIJ5YNons_vakARGBq46Bdn4pg,Armavir Garden,,False,36,"Name: City Park
link: https://www.google.com/maps/search/City+Park/@40.1477377,44.034035599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Aghayan
link: https://www.google.com/maps/search/%D4%B1%D5%B2%D5%A1%D5%B5%D5%A1%D5%B6/@40.1555525,44.0388482?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Lili Spask`i Srah
link: https://www.google.com/maps/search/%D4%BC%D5%AB%D5%AC%D5%AB+%D5%8D%D5%BA%D5%A1%D5%BD%D6%84%D5%AB+%D5%8D%D6%80%D5%A1%D5%B0/@40.1513597,44.0356835?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Aghayan
link: https://www.google.com/maps/search/Aghayan/@40.0943125,44.071437599999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Ame
link: https://www.google.com/maps/search/Ame/@40.0958125,44.0720625?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Armavir Garden (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPI8KxBGyaOlHz4T3n6Z2gbRJTK0laqnTzFZokl=w408-h725-k-no,Can Ting ,Can Ting ,4.7,10:00-23:00,Open All Days,,"Armavir Garden, 2 Hanrapetutyan Street, Armavir, Ya Mei Ni Ya ",,https://www.google.com/maps/place/Armavir+Garden/data=!4m7!3m6!1s0x406aefcf9e6883e5:0x98e26717e8b81a18!8m2!3d40.1473773!4d44.0332856!16s%2Fg%2F11q3d5gn_7!19sChIJ5YNons_vakARGBq46Bdn4pg?authuser=0&hl=zh-TW&rclk=1
ChIJ95Ua_tXvakAR617yUGo-rqg,Cafe Ponch`ik,,False,14,"Name: Express Cafe
link: https://www.google.com/maps/search/Express+Cafe/@40.1523776,44.0362052?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Hanrapetutyan 43/2
link: https://www.google.com/maps/search/Hanrapetutyan+43%2F2/@40.155995999999995,44.0386953?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Lili Cafe
link: https://www.google.com/maps/search/Lili+Cafe/@40.1551398,44.0382655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: NooK Coffee-tea
link: https://www.google.com/maps/search/NooK+Coffee-tea/@40.1555525,44.0388482?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Boulangerie
link: https://www.google.com/maps/search/Boulangerie/@40.150334199999996,44.0347474?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Ponch`ik (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM_guDqUosdCa0up1U85nmYyJQii_rhZJ5-D-OK=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,,Open All Days,+374 237 22211,"Cafe Ponch`ik, 16 Hanrapetutyan Street, Armavir 0901Ya Mei Ni Ya ",,https://www.google.com/maps/place/Cafe+%D5%8A%D5%B8%D5%B6%D5%B9%D5%AB%D5%AF/data=!4m7!3m6!1s0x406aefd5fe1a95f7:0xa8ae3e6a50f25eeb!8m2!3d40.1518298!4d44.0364712!16s%2Fg%2F11dzdh92wr!19sChIJ95Ua_tXvakAR617yUGo-rqg?authuser=0&hl=zh-TW&rclk=1
ChIJ6UkHSdbvakAR5R3xjH0GyC4,Shena,,False,8,"Name: Isahakyan supermarket
link: https://www.google.com/maps/search/Isahakyan+supermarket/@40.1508762,44.0304297?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Hayq
link: https://www.google.com/maps/search/Hayq/@40.1507979,44.0350858?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Erik's Market
link: https://www.google.com/maps/search/Erik%27s+Market/@40.155488999999996,44.0371862?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Shahverdyan Market
link: https://www.google.com/maps/search/Shahverdyan+Market/@40.149426999999996,44.033927299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Shena (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNfHihEHc_5wqECBN6C5NY61CdZr-2uMA2VLYXB=w533-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,3.4,08:00-00:00,Open All Days,+374 237 22444,"522M+3VX Shena, Armavir, Ya Mei Ni Ya ",,https://www.google.com/maps/place/%D0%A8%D0%B5%D0%BD%D0%B0/data=!4m7!3m6!1s0x406aefd6490749e9:0x2ec8067d8cf11de5!8m2!3d40.1502344!4d44.0347252!16s%2Fg%2F11c48xq4fj!19sChIJ6UkHSdbvakAR5R3xjH0GyC4?authuser=0&hl=zh-TW&rclk=1
ChIJf4UC8LjvakARVZGi-OVK_KY,Nor Ani,,False,3,"Name: Mer Tune Restaurant Complex
link: https://www.google.com/maps/search/Mer+Tune+Restaurant+Complex/@40.1581774,44.0268295?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: RESTORAN GOXTAN
link: https://www.google.com/maps/search/RESTORAN+GOXTAN/@40.1529429,44.02377130000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Cafe Dream
link: https://www.google.com/maps/search/Cafe+Dream/@40.1523968,44.036175899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Express Cafe
link: https://www.google.com/maps/search/Express+Cafe/@40.1523776,44.0362052?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Nor Ani (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNwFCsepLnaeKZnI8dL_e_y_bSI-3e9Lp99r32F=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,09:30-23:00,Open All Days,,"42XM+RF5 Nor Ani, Armavir, Ya Mei Ni Ya ",,https://www.google.com/maps/place/%D5%86%D5%B8%D6%80+%D4%B1%D5%B6%D5%AB/data=!4m7!3m6!1s0x406aefb8f002857f:0xa6fc4ae5f8a29155!8m2!3d40.1495179!4d44.0337479!16s%2Fg%2F11fflyw2_z!19sChIJf4UC8LjvakARVZGi-OVK_KY?authuser=0&hl=zh-TW&rclk=1
