place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ9Xq9QuC7FkgRirfXGSZDfuo,Burger King,"Zhu Ming De Lian Suo Su Shi Dian ,Fan Shou Shao Kao Han Bao , Shu Tiao He Nai Xi . ",False,3544,"Name: Big Fernand
link: https://www.google.com/maps/search/Big+Fernand/@48.3913234,-4.4840064?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1227 reviews

Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@48.3928757,-4.482125400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1186 reviews

Name: Brest Food delicieuse chicken
link: https://www.google.com/maps/search/Brest+Food+d%C3%A9licieuse+chicken/@48.39871540000001,-4.4732103?authuser=0&hl=zh-TW&entry=ttu
Reviews: 226 reviews",https://www.burgerking.fr/restaurants%3Fy_source%3D1_MTUwMTQ2MDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Burger King (Ye Zhu ),https://www.google.com/maps/contrib/116302918566810897050,https://lh5.googleusercontent.com/p/AF1QipMxrp3ZFb9TxrrHyAzkPiRiSeWqpbFkBHaa7BBl=w461-h240-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Jiu Ba Ba Fang , Jia Ting Can Ting , Han Bao Can Ting , Wai Mai Zi Qu Can Ting ",4.1,11:00-23:00,Open All Days,+33 2 30 63 00 10,"Burger King, 65 Rue Jean Jaures, 29200 Brest, Fa Guo ","Xia Ding , Leng , Jing Zheng , Hua Bao , Bai Pan , Pai Dui ",https://www.google.com/maps/place/Burger+King/data=!4m7!3m6!1s0x4816bbe042bd7af5:0xea7e432619d7b78a!8m2!3d48.3935094!4d-4.4806764!16s%2Fg%2F11b6v6s_d_!19sChIJ9Xq9QuC7FkgRirfXGSZDfuo?authuser=0&hl=zh-TW&rclk=1
ChIJU_JOCuG5FkgRVhrLks4TQmw,Le RemorKeur,,False,1275,"Name: Le Crabe Marteau
link: https://www.google.com/maps/search/Le+Crabe+Marteau/@48.381858799999996,-4.4875159?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1712 reviews

Name: Merluberlu Brest
link: https://www.google.com/maps/search/Merluberlu+Brest/@48.3828775,-4.4849155?authuser=0&hl=zh-TW&entry=ttu
Reviews: 940 reviews

Name: La Presqu'ile
link: https://www.google.com/maps/search/La+Presqu%27ile/@48.381944399999995,-4.4875?authuser=0&hl=zh-TW&entry=ttu
Reviews: 478 reviews

Name: Le Bistrot
link: https://www.google.com/maps/search/Le+Bistrot/@48.382601099999995,-4.4857906?authuser=0&hl=zh-TW&entry=ttu
Reviews: 387 reviews

Name: LE DEPANNEUR
link: https://www.google.com/maps/search/LE+DEPANNEUR/@48.396547299999995,-4.478202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 314 reviews",https://www.leremorkeur.fr/,Le RemorKeur (Ye Zhu ),https://www.google.com/maps/contrib/100748069672108942373,https://lh5.googleusercontent.com/p/AF1QipNssDOSpS62eNmSmDbdvQNITochHAuqs8SYVatA=w408-h272-k-no,Can Ting ,"Can Ting , Cave a vins, Jiu Pin Zhuan Mai Dian ",4.4,10:30-23:00,Xing Qi Ri ,+33 2 98 25 08 40,"Le RemorKeur, 2 Bis Quai de la Douane, 29200 Brest, Fa Guo ","Bai Pan , Qian Cai , Liao Li , Xiang Kuang , Bu Jing , Ce Suo ",https://www.google.com/maps/place/Le+RemorKeur/data=!4m7!3m6!1s0x4816b9e10a4ef253:0x6c4213ce92cb1a56!8m2!3d48.3813963!4d-4.4882256!16s%2Fg%2F11f8jgg9dc!19sChIJU_JOCuG5FkgRVhrLks4TQmw?authuser=0&hl=zh-TW&rclk=1
ChIJ-Tlwtlq5FkgRHp24k_vsQQk,Latitude Crepe,,False,1128,"Name: Creperie de Cornouaille
link: https://www.google.com/maps/search/Cr%C3%AAperie+de+Cornouaille/@48.3965008,-4.4754964?authuser=0&hl=zh-TW&entry=ttu
Reviews: 830 reviews

Name: Creperie Moderne
link: https://www.google.com/maps/search/Cr%C3%AAperie+Moderne/@48.3907187,-4.4904779999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 796 reviews

Name: La Crepe Flambee
link: https://www.google.com/maps/search/La+Cr%C3%AApe+Flamb%C3%A9e/@48.3911392,-4.4826976?authuser=0&hl=zh-TW&entry=ttu
Reviews: 616 reviews

Name: La Chaumine
link: https://www.google.com/maps/search/La+Chaumine/@48.3859286,-4.5005102?authuser=0&hl=zh-TW&entry=ttu
Reviews: 567 reviews

Name: Creperie Blev Hir
link: https://www.google.com/maps/search/Cr%C3%AAperie+Blev+Hir/@48.385589,-4.489698?authuser=0&hl=zh-TW&entry=ttu
Reviews: 400 reviews",http://www.latitudecrepe.com/,Latitude Crepe (Ye Zhu ),https://www.google.com/maps/contrib/105521290179755522464,https://lh5.googleusercontent.com/p/AF1QipPcBf6WOwyr5f_RTCM5eCoHdx_HWS3H73y0Nz9k=w408-h306-k-no,Fa Shi Bo Bing Can Ting ,"Fa Shi Bo Bing Can Ting , Fa Guo Can Ting ",4.4,"12:00-14:00, 18:30-21:30",Open All Days,+33 2 98 33 10 70,"Latitude Crepe, 4 Quai de la Douane, 29200 Brest, Fa Guo ","Bai Pan , Gang Kou , Zhou Ri , Shi Pu , Hai , Xiao Mai ",https://www.google.com/maps/place/Latitude+Cr%C3%AApe/data=!4m7!3m6!1s0x4816b95ab67039f9:0x941ecfb93b89d1e!8m2!3d48.381838!4d-4.4879178!16s%2Fg%2F1v_0j4kg!19sChIJ-Tlwtlq5FkgRHp24k_vsQQk?authuser=0&hl=zh-TW&rclk=1
ChIJSQS8xVm5FkgRGAo3tHcfRl8,Columbus Cafe & Co,,False,968,"Name: BEAJ KAFE
link: https://www.google.com/maps/search/BEAJ+KAFE/@48.3929337,-4.4806083999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 610 reviews

Name: BAGELSTEIN * Bagels & Coffee shop
link: https://www.google.com/maps/search/BAGELSTEIN+%E2%80%A2+Bagels+%26+Coffee+shop/@48.384851000000005,-4.4926921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 393 reviews

Name: Gringo's Cafe Restaurant
link: https://www.google.com/maps/search/Gringo%E2%80%99s+Caf%C3%A9+Restaurant/@48.385431,-4.4932615?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Brioche Doree
link: https://www.google.com/maps/search/Brioche+Dor%C3%A9e/@48.387085,-4.4901517?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews",https://www.columbuscafe.com/boutique/brest-rue-de-siam/,Columbus Cafe & Co (Ye Zhu ),https://www.google.com/maps/contrib/112916063240854309735,https://lh5.googleusercontent.com/p/AF1QipNxKO2syhNyfqguIDIAfzG1wSwBx94SsHN6TOSX=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4,09:00-19:00,Xing Qi Ri ,+33 2 98 33 18 40,"Columbus Cafe & Co, 64 Rue de Siam, 29200 Brest, Fa Guo ","Song Bing , San Ming Zhi , Ke Ke , Yin Du Nai Cha , Bing Gan , Bei Guo , Re Yin , Tang Jiang ",https://www.google.com/maps/place/Columbus+Caf%C3%A9+%26+Co/data=!4m7!3m6!1s0x4816b959c5bc0449:0x5f461f77b4370a18!8m2!3d48.3883333!4d-4.4891667!16s%2Fg%2F11bzwqysm4!19sChIJSQS8xVm5FkgRGAo3tHcfRl8?authuser=0&hl=zh-TW&rclk=1
ChIJGUO4Ul-5FkgR_pAV8p5x83I,Brasserie BHV,,False,962,"Name: Les Quatre Vents
link: https://www.google.com/maps/search/Les+Quatre+Vents/@48.3825631,-4.4857007?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2109 reviews

Name: L'Ambassade Bretonne Jaures
link: https://www.google.com/maps/search/L%E2%80%99Ambassade+Bretonne+Jaur%C3%A8s/@48.3935319,-4.4811967?authuser=0&hl=zh-TW&entry=ttu
Reviews: 752 reviews

Name: BEAJ KAFE
link: https://www.google.com/maps/search/BEAJ+KAFE/@48.3929337,-4.4806083999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 610 reviews

Name: Brioche Doree
link: https://www.google.com/maps/search/Brioche+Dor%C3%A9e/@48.3917091,-4.4840865999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 329 reviews

Name: Bar en Bol
link: https://www.google.com/maps/search/Bar+en+Bol/@48.3869419,-4.4851425?authuser=0&hl=zh-TW&entry=ttu
Reviews: 68 reviews",http://www.bhv-brest.com/,Brasserie BHV (Ye Zhu ),https://www.google.com/maps/contrib/116640470834797171028,https://lh5.googleusercontent.com/p/AF1QipOVV2MXtDFwQ22tzouAbMqznlWFY_XLWAcfSdBC=w408-h272-k-no,Can Ting ,"Can Ting , Jiu Ba , Shao Kao Can Ting , Zao Can Can Ting , Tian Pin Can Ting , Fa Guo Can Ting , Han Bao Can Ting , Wai Mai Zi Qu Can Ting , Fa Shi Can Ting , Sha Lu Dian , San Wen Zhi Dian , Cha Yi Guan ",3.7,09:00-20:00,Open All Days,+33 2 98 46 01 65,"Brasserie BHV, 1 Rue Jean Jaures, 29200 Brest, Fa Guo ","Xiao Rong , Bing Qi Lin , Bai Pan , Liao Li , Ka Pei Ting , Diao Jiu , Shui Guo ",https://www.google.com/maps/place/Brasserie+BHV/data=!4m7!3m6!1s0x4816b95f52b84319:0x72f3719ef21590fe!8m2!3d48.3908693!4d-4.4845872!16s%2Fg%2F1tpbbcvq!19sChIJGUO4Ul-5FkgR_pAV8p5x83I?authuser=0&hl=zh-TW&rclk=1
ChIJZScykXO7FkgRZmCQlIfUMzY,Loco Loca Brest,,False,924,"Name: La Coloc' Brest
link: https://www.google.com/maps/search/La+Coloc%27+Brest/@48.3804751,-4.4903685?authuser=0&hl=zh-TW&entry=ttu
Reviews: 724 reviews

Name: O'Local Restaurant
link: https://www.google.com/maps/search/O%27Local+Restaurant/@48.3857691,-4.479171099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 612 reviews

Name: La Gua
link: https://www.google.com/maps/search/La+Gua/@48.385174299999996,-4.493748699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 404 reviews

Name: Locus
link: https://www.google.com/maps/search/Locus/@48.3966419,-4.4815286?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews",http://www.locoloca.com/,Loco Loca Brest (Ye Zhu ),https://www.google.com/maps/contrib/103985396584737327645,https://lh5.googleusercontent.com/p/AF1QipNyOe4iAOnZiOmSqCoQiCl-lqOR4mIntxLFXTGG=w408-h271-k-no,Xi Ban Ya Xiao Shi Jiu Ba ,"Xi Ban Ya Xiao Shi Jiu Ba , Ji Wei Jiu Jiu Ba , Ka Pei Dian , Han Bao Can Ting , La Ding Mei Zhou Can Ting , Mo Xi Ge Za Huo Dian , Can Ting , Xi Ban Ya Xiao Shi Can Ting ",4.3,10:30-23:00,"Xing Qi Yi , Xing Qi Ri ",+33 9 82 81 22 22,"Loco Loca Brest, 207 Rue Jean Jaures, 29200 Brest, Fa Guo ","Xiang Kuang , Yin Shi , Zao Wu Can , Bu Jing , Luo Li Jiang , Lou Ceng , Bai Pan ",https://www.google.com/maps/place/Loco+Loca+Brest/data=!4m7!3m6!1s0x4816bb7391322765:0x3633d48794906066!8m2!3d48.3989812!4d-4.472367!16s%2Fg%2F11swlcxzn9!19sChIJZScykXO7FkgRZmCQlIfUMzY?authuser=0&hl=zh-TW&rclk=1
ChIJU-9iYea7FkgRKeDPQhHbcb0,The Dubliners,,False,895,"Name: THE BLIND PIPER
link: https://www.google.com/maps/search/THE+BLIND+PIPER/@48.388965,-4.487689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1272 reviews

Name: Les Fauvettes
link: https://www.google.com/maps/search/Les+Fauvettes/@48.3951159,-4.481205999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 648 reviews

Name: Pub Hamilton
link: https://www.google.com/maps/search/Pub+Hamilton/@48.391399,-4.482164?authuser=0&hl=zh-TW&entry=ttu
Reviews: 464 reviews

Name: Le Tudor
link: https://www.google.com/maps/search/Le+Tudor/@48.390032999999995,-4.48939?authuser=0&hl=zh-TW&entry=ttu
Reviews: 308 reviews

Name: Fil O Bar
link: https://www.google.com/maps/search/Fil+O+Bar/@48.3894015,-4.4884458?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews",http://dublinersbrest.weebly.com/,The Dubliners (Ye Zhu ),https://www.google.com/maps/contrib/117856721837245683617,https://lh5.googleusercontent.com/p/AF1QipNAs3BMXyVU3CeEPbNs33z6q25BaQzqFJR0uYDO=w408-h341-k-no,Jiu Ba ,"Jiu Ba , Ka Pei Dian , Yun Dong Jiu Ba ",4.4,17:00-01:00,Open All Days,+33 2 98 44 91 09,"The Dubliners, 28 Rue Mathieu Donnart, 29200 Brest, Fa Guo ","Diao Jiu Shi , Bi Sai , Jia Ge , Lou Ceng , Xue Sheng , Ke Ren ",https://www.google.com/maps/place/The+Dubliners/data=!4m7!3m6!1s0x4816bbe66162ef53:0xbd71db1142cfe029!8m2!3d48.3992119!4d-4.4850454!16s%2Fg%2F1tffj585!19sChIJU-9iYea7FkgRKeDPQhHbcb0?authuser=0&hl=zh-TW&rclk=1
ChIJixPxWMm7FkgR5UrtkeMpyFE,Ange,,False,800,"Name: Boulanger Artisan Patissier "" L'Atelier Gourmand""
link: https://www.google.com/maps/search/Boulanger+Artisan+P%C3%A2tissier+%22+L%27Atelier+Gourmand%22/@48.4158987,-4.4921263?authuser=0&hl=zh-TW&entry=ttu
Reviews: 286 reviews

Name: Au Bon Pain Chaud
link: https://www.google.com/maps/search/Au+Bon+Pain+Chaud/@48.4028857,-4.4890165?authuser=0&hl=zh-TW&entry=ttu
Reviews: 226 reviews

Name: La Boulange
link: https://www.google.com/maps/search/La+Boulange/@48.397022199999995,-4.4732118000000005?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: Boulangerie de L' Europe
link: https://www.google.com/maps/search/Boulangerie+de+L%E2%80%99+Europe/@48.4125857,-4.4689267?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Bakehouse Siam
link: https://www.google.com/maps/search/Bakehouse+Siam/@48.385982399999996,-4.4907957?authuser=0&hl=zh-TW&entry=ttu
Reviews: 86 reviews",http://www.boulangerie-ange.fr/,Ange (Ye Zhu ),https://www.google.com/maps/contrib/100136398183515091833,https://lh5.googleusercontent.com/p/AF1QipOZgu4FhOj_Pfdl6I9L2KXMJtZSdhARCDlQ2Dw8=w408-h240-k-no-pi-0-ya283.6983-ro-0-fo100,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting , Zheng Liu Ka Pei Ba , Kuai Can Dian , Gao Bing Dian , Bo Bing Can Ting , Cha Yi Guan ",4,07:00-20:00,Xing Qi Ri ,+33 2 98 42 52 08,"Ange, 29 Rue de Gouesnou, 29200 Brest, Fa Guo ","Pi Sa , San Ming Zhi , Dian Yuan , Xiao Rong , Fa Guo Mian Bao , Yuan Gong , Sha La , Ce Suo ",https://www.google.com/maps/place/Ange/data=!4m7!3m6!1s0x4816bbc958f1138b:0x51c829e391ed4ae5!8m2!3d48.4080493!4d-4.4645087!16s%2Fg%2F11bxc681q2!19sChIJixPxWMm7FkgR5UrtkeMpyFE?authuser=0&hl=zh-TW&rclk=1
ChIJi6xNW-C7FkgRriK_e3qXHQ0,L'Ambassade Bretonne Jaures,,False,752,"Name: Creperie de Cornouaille
link: https://www.google.com/maps/search/Cr%C3%AAperie+de+Cornouaille/@48.3965008,-4.4754964?authuser=0&hl=zh-TW&entry=ttu
Reviews: 830 reviews

Name: Creperie Moderne
link: https://www.google.com/maps/search/Cr%C3%AAperie+Moderne/@48.3907187,-4.4904779999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 796 reviews

Name: La Crepe Flambee
link: https://www.google.com/maps/search/La+Cr%C3%AApe+Flamb%C3%A9e/@48.3911392,-4.4826976?authuser=0&hl=zh-TW&entry=ttu
Reviews: 616 reviews

Name: L'Auberge de la Crepe
link: https://www.google.com/maps/search/L%27Auberge+de+la+Cr%C3%AApe/@48.3964334,-4.476672100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 478 reviews

Name: La Fermette
link: https://www.google.com/maps/search/La+Fermette/@48.400623200000005,-4.469941899999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 326 reviews",http://www.lambassadebretonne.bzh/,L'Ambassade Bretonne Jaures (Ye Zhu ),https://www.google.com/maps/contrib/112806586393168170659,https://lh5.googleusercontent.com/p/AF1QipPPAmYhQOmiwDWjozJQc9FAe9tN1Zohj4m6XZDy=w426-h240-k-no,Fa Shi Bo Bing Can Ting ,"Fa Shi Bo Bing Can Ting , Can Ting , Sheng Dai Can Ting , Cha Yi Guan ",4,09:00-22:30,Open All Days,+33 2 29 62 08 36,"L'Ambassade Bretonne Jaures, 70 Rue Jean Jaures, 29200 Brest, Fa Guo ","Song Bing , Ju Kao , Xia Ding , Gai Nian , Zi You , Yong Qi , Cang Ying ",https://www.google.com/maps/place/L%E2%80%99Ambassade+Bretonne+Jaur%C3%A8s/data=!4m7!3m6!1s0x4816bbe05b4dac8b:0xd1d977a7bbf22ae!8m2!3d48.3935319!4d-4.4811967!16s%2Fg%2F11fx95r5g9!19sChIJi6xNW-C7FkgRriK_e3qXHQ0?authuser=0&hl=zh-TW&rclk=1
ChIJhxdkWlC5FkgRfhclNhL-9ak,The Cottage,,False,693,"Name: Casa Havana
link: https://www.google.com/maps/search/Casa+Havana/@48.38489440000001,-4.4939947?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1386 reviews

Name: Tir na nOg
link: https://www.google.com/maps/search/T%C3%ADr+na+n%C3%93g/@48.3853199,-4.492278499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1240 reviews

Name: Mc Guigan's
link: https://www.google.com/maps/search/Mc+Guigan%27s/@48.3821982,-4.4877972999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 994 reviews

Name: La Coloc' Brest
link: https://www.google.com/maps/search/La+Coloc%27+Brest/@48.3804751,-4.4903685?authuser=0&hl=zh-TW&entry=ttu
Reviews: 724 reviews

Name: Le Tudor
link: https://www.google.com/maps/search/Le+Tudor/@48.390032999999995,-4.48939?authuser=0&hl=zh-TW&entry=ttu
Reviews: 308 reviews",https://www.facebook.com/Thecottagebrest/,The Cottage (Ye Zhu ),https://www.google.com/maps/contrib/118132731063762285547,https://lh5.googleusercontent.com/p/AF1QipN0AtZuI6N5tbaoKG12g7iDtcx_YUrYdtCPfChe=w493-h240-k-no,Ai Er Lan Jiu Ba ,"Ai Er Lan Jiu Ba , Ka Pei Ting ",4.5,11:00-01:00,Xing Qi Yi ,+33 2 98 80 17 73,"The Cottage, 2 Rue du Chateau, 29200 Brest, Fa Guo ","Zhuo You , Ya Li , Xiao Rong , Zao Wu Can , Zhong Wu , Liao Li ",https://www.google.com/maps/place/The+Cottage/data=!4m7!3m6!1s0x4816b9505a641787:0xa9f5fe123625177e!8m2!3d48.3833046!4d-4.4913986!16s%2Fg%2F11hb4hs3p6!19sChIJhxdkWlC5FkgRfhclNhL-9ak?authuser=0&hl=zh-TW&rclk=1
