place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJi2pPdodx8RIRTRJU4dJ1TIY,WONDER FOODS,,False,18,"Name: Croissanterie anouar
link: https://www.google.com/maps/search/Croissanterie+anouar/@36.2631438,6.5732631999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Wonder Food's superieur
link: https://www.google.com/maps/search/Wonder+Food%27s+sup%C3%A9rieur/@36.3658125,6.639562499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: mini superette djouri
link: https://www.google.com/maps/search/mini+superette+djouri/@36.2620503,6.5718087?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Coffee dream
link: https://www.google.com/maps/search/Coffee+dream/@36.2619464,6.582204099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/profile.php%3Fid%3D100078207994331%26mibextid%3DLQQJ4d,WONDER FOODS (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNz5OcZFBs3w6Sm8KuoHje43N1yL25NEsa6SlyQ=w408-h409-k-no,Ka Pei Dian ,Ka Pei Dian ,3.9,,Open All Days,+213 562 39 83 75,"7H9H+3C4 WONDER FOODS, El Khroub, A Er Ji Li Ya ",,https://www.google.com/maps/place/WONDER+FOODS/data=!4m7!3m6!1s0x12f17187764f6a8b:0x864c75d2e154124d!8m2!3d36.2676057!4d6.5784925!16s%2Fg%2F11sy5ggb5y!19sChIJi2pPdodx8RIRTRJU4dJ1TIY?authuser=0&hl=zh-TW&rclk=1
ChIJNxVmw65l8RIRH9yzDl-tjHk,Ben's Coffee,,False,7,"Name: Cafe Casa
link: https://www.google.com/maps/search/Caf%C3%A9+Casa/@36.243457299999996,6.5687967?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Cafe Bridj
link: https://www.google.com/maps/search/Caf%C3%A9+Bridj/@36.2615851,6.5807446?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/benscoffeeritajmall/,Ben's Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN25YGK2Jz0hPfPsc2Itd__l6OmXgDTsqI6FqpX=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,2.9,,Open All Days,+213 31 78 33 03,"7H2F+P5W Ben's Coffee, La gare routiere de, El Khroub, A Er Ji Li Ya ",,https://www.google.com/maps/place/Ben%27s+Coffee/data=!4m7!3m6!1s0x12f165aec3661537:0x798cad5f0eb3dc1f!8m2!3d36.2518533!4d6.5729622!16s%2Fg%2F11fn2vw657!19sChIJNxVmw65l8RIRH9yzDl-tjHk?authuser=0&hl=zh-TW&rclk=1
ChIJC3Y44TB38RIRm8xw-j_ZLkw,Cafe Du Pont,,False,1,"Name: Tassili coffee shop
link: https://www.google.com/maps/search/Tassili+coffee+shop/@36.3646969,6.6380992999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cafe dubai
link: https://www.google.com/maps/search/Cafe+dubai/@36.353750399999996,6.643045300000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cafe gusto
link: https://www.google.com/maps/search/Caf%C3%A9+gusto/@36.3525055,6.637250600000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.instagram.com/karim_squillaci/%3Fhl%3Den,Cafe Du Pont (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,5,24 Xiao Shi Ying Ye ,Open All Days,+213 772 78 33 58,"9J2J+JH7 Cafe Du Pont, Rue Filali, Constantine, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cafe+Du+Pont/data=!4m7!3m6!1s0x12f17730e138760b:0x4c2ed93ffa70cc9b!8m2!3d36.351536!4d6.6314168!16s%2Fg%2F11qq4b4wsb!19sChIJC3Y44TB38RIRm8xw-j_ZLkw?authuser=0&hl=zh-TW&rclk=1
ChIJr4kJ_6Nx8RIRDwXtdMmJ8eU,Coffee shop LA GONDOLE,,False,,,https://web.facebook.com/profile.php%3Fid%3D100054523026682,Coffee shop LA GONDOLE (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPqtNwWY3vbUEyACitmDnuyCpgCuGETKWAab8F6=w520-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,,24 Xiao Shi Ying Ye ,Open All Days,+213 770 13 72 98,"8J3C+V29 Coffee shop LA GONDOLE, Constantine, A Er Ji Li Ya ",,https://www.google.com/maps/place/Coffee+shop+LA+GONDOLE/data=!4m7!3m6!1s0x12f171a3ff0989af:0xe5f189c974ed050f!8m2!3d36.3046653!4d6.6201201!16s%2Fg%2F11t_gr1jnq!19sChIJr4kJ_6Nx8RIRDwXtdMmJ8eU?authuser=0&hl=zh-TW&rclk=1
ChIJ4TLSQzp38RIR0j9638J40Zo,Crepes & Coffee,,False,117,"Name: APEX Restaurant et Cafe
link: https://www.google.com/maps/search/APEX+Restaurant+et+Caf%C3%A9/@36.2610144,6.590201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 145 reviews

Name: La Caleche Plus
link: https://www.google.com/maps/search/La+Cal%C3%A8che+Plus/@36.262323699999996,6.5894074?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews

Name: Oxygene Snack
link: https://www.google.com/maps/search/Oxyg%C3%A8ne+Snack/@36.3671392,6.6115794?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Le KS Constantine
link: https://www.google.com/maps/search/Le+KS+Constantine/@36.3545155,6.6062859?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Coffee Prince
link: https://www.google.com/maps/search/Coffee+Prince/@36.3606154,6.6062484999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",,Crepes & Coffee (Ye Zhu ),https://www.google.com/maps/contrib/101271038424325123659,https://lh5.googleusercontent.com/p/AF1QipN3BfP0IyCm0JMhxlfLjAvwMKdA_L8prk2R42SZ=w408-h544-k-no,Fa Shi Bo Bing Can Ting ,"Fa Shi Bo Bing Can Ting , San Wen Zhi Dian ",4.4,11:00-22:30,Xing Qi Wu ,+213 540 13 31 34,"Crepes & Coffee, 49 Rue Bourefrouf Slimane, Constantine 25000A Er Ji Li Ya ",San Ming Zhi ,https://www.google.com/maps/place/Cr%C3%AApes+%26+Coffee/data=!4m7!3m6!1s0x12f1773a43d232e1:0x9ad178c2df7a3fd2!8m2!3d36.352796!4d6.6062295!16s%2Fg%2F11clzfbd1l!19sChIJ4TLSQzp38RIR0j9638J40Zo?authuser=0&hl=zh-TW&rclk=1
ChIJddR66K568RIRrdihTz3aiyA,Cafe Napoli,,False,29,"Name: Napoli Food
link: https://www.google.com/maps/search/Napoli+Food/@36.258597099999996,6.7004703?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Moka cafe
link: https://www.google.com/maps/search/Moka+caf%C3%A9/@36.2602544,6.5800971?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: mqh~ nbwly
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D9%86%D8%A7%D8%A8%D9%88%D9%84%D9%8A/@36.260035099999996,6.586201699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Napoli Food chapati
link: https://www.google.com/maps/search/Napoli+Food+chapati/@36.244275099999996,6.5708917?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe Napoli (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO4WyiCj_bkCdY28c5gQro9mK8uyyQOT5XjCPHW=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,07:00-00:00,Open All Days,+213 557 23 87 09,"7H7C+CJJ Cafe Napoli, Unnamed Rd, Ali Mendjeli,, El KhroubA Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Napoli/data=!4m7!3m6!1s0x12f17aaee87ad475:0x208bda3d4fa1d8ad!8m2!3d36.2635775!4d6.5715143!16s%2Fg%2F11bz00_p7m!19sChIJddR66K568RIRrdihTz3aiyA?authuser=0&hl=zh-TW&rclk=1
ChIJA9QnThtx8RIRYn16GcGb6vM,Cafe Zenith,,False,20,"Name: Coffee House
link: https://www.google.com/maps/search/Coffee+House/@36.3127819,6.6267152?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Coffee Shop Gosto
link: https://www.google.com/maps/search/Coffee+Shop+Gosto/@36.3075967,6.620521999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Wood coffee
link: https://www.google.com/maps/search/Wood+coffee/@36.3127004,6.618105?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: cafe zenith
link: https://www.google.com/maps/search/caf%C3%A9+z%C3%A9nith/@36.243988699999996,6.577792?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Tassili coffee shop
link: https://www.google.com/maps/search/Tassili+coffee+shop/@36.3646969,6.6380992999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe Zenith (Ye Zhu ),https://www.google.com/maps/contrib/115232361470817738599,https://lh5.googleusercontent.com/p/AF1QipNm4qzFOPBM4BA_7hEy73tWofMTPOtIhw1OX4EK=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4,05:00-20:00,Open All Days,,"Cafe Zenith, Constantine, A Er Ji Li Ya ",,https://www.google.com/maps/place/Caf%C3%A9+Z%C3%A9nith/data=!4m7!3m6!1s0x12f1711b4e27d403:0xf3ea9bc1197a7d62!8m2!3d36.3075625!4d6.6270625!16s%2Fg%2F11cn94s11l!19sChIJA9QnThtx8RIRYn16GcGb6vM?authuser=0&hl=zh-TW&rclk=1
ChIJa0dGMQdw8RIR_cNNGULDsgk,Peace Cafe,,False,16,"Name: coffee corner
link: https://www.google.com/maps/search/coffee+corner/@36.2633769,6.5691878?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: El helale
link: https://www.google.com/maps/search/El+helale/@36.2579954,6.5902538999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Mega Cofee
link: https://www.google.com/maps/search/Mega+Cofee/@36.2568699,6.585591?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Peace Cafe (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,4.3,24 Xiao Shi Ying Ye ,Open All Days,,"7H6J+H2V Peace Cafe, El Khroub, A Er Ji Li Ya ",,https://www.google.com/maps/place/Peace+Cafe/data=!4m7!3m6!1s0x12f170073146476b:0x9b2c342194dc3fd!8m2!3d36.2614818!4d6.5800542!16s%2Fg%2F1tdlr5s8!19sChIJa0dGMQdw8RIR_cNNGULDsgk?authuser=0&hl=zh-TW&rclk=1
ChIJw2JDOc138RIRkoWjA6Y4ldE,Cafe Maracana,,False,14,"Name: Cafe Maracana
link: https://www.google.com/maps/search/Caf%C3%A9+Maracana/@36.263409100000004,6.587774700000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Amine-Coffee teria
link: https://www.google.com/maps/search/Amine-Coffee+teria/@36.3446654,6.594463?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cafe des maquisards
link: https://www.google.com/maps/search/Caf%C3%A9+des+maquisards/@36.367447899999995,6.598458099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Amar cafe
link: https://www.google.com/maps/search/Amar+caf%C3%A9/@36.358088099999996,6.6356912?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Amesterdam chicha
link: https://www.google.com/maps/search/Amesterdam+chicha/@36.265276,6.5875483?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Cafe Maracana (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOReOJiTY1Q3tx9JyX3E15Bydl4HkOuITCxm5EL=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,24 Xiao Shi Ying Ye ,Open All Days,,"9J78+RJW Cafe Maracana, Constantine, A Er Ji Li Ya ",,https://www.google.com/maps/place/Cafe+Maracana/data=!4m7!3m6!1s0x12f177cd394362c3:0xd19538a603a38592!8m2!3d36.3646004!4d6.6165698!16s%2Fg%2F11s5kmq5bb!19sChIJw2JDOc138RIRkoWjA6Y4ldE?authuser=0&hl=zh-TW&rclk=1
ChIJqUFjwD138RIRitCDfHGLXqs,Coffee Prince,,False,13,"Name: Select BAKERY
link: https://www.google.com/maps/search/Select+BAKERY/@36.3557655,6.6028932?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Royal cafe
link: https://www.google.com/maps/search/Royal+cafe/@36.3617053,6.607294?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: mqh~
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89/@36.35466840000001,6.5965286?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: mqh~ knd
link: https://www.google.com/maps/search/%D9%85%D9%82%D9%87%D9%89+%D9%83%D9%86%D8%AF%D8%A7/@36.3637168,6.6096528?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Coffee Prince (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPPe8mJjEEF5D5ntlWTpr1CnFQMbRQu_eYWK234=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,3.6,,Open All Days,,"9J64+6FX Coffee Prince, Rue Ben Meliek Abderrahmane, Constantine, A Er Ji Li Ya ",,https://www.google.com/maps/place/Coffee+Prince/data=!4m7!3m6!1s0x12f1773dc06341a9:0xab5e8b717c83d08a!8m2!3d36.3606154!4d6.6062485!16s%2Fg%2F11csp8ddkf!19sChIJqUFjwD138RIRitCDfHGLXqs?authuser=0&hl=zh-TW&rclk=1
