place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJVTW1cIv7QUARX0lL8KpKAIc,Trezzo lounge-cafe,,False,157,"Name: Herbs & Honey
link: https://www.google.com/maps/search/Herbs+%26+Honey/@40.7862282,43.8435491?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: Aregak Bakery and Cafe
link: https://www.google.com/maps/search/Aregak+Bakery+and+Caf%C3%A9/@40.7863311,43.840889999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Florence Gyumri restaurant
link: https://www.google.com/maps/search/Florence+Gyumri+restaurant/@40.7877642,43.838218499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews

Name: Yaghli House
link: https://www.google.com/maps/search/Yaghli+House/@40.7863481,43.8437081?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Le Mans cafe
link: https://www.google.com/maps/search/Le+Mans+cafe/@40.78374,43.843746499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://www.facebook.com/Trezzo.lounge.cafe/,Trezzo lounge-cafe (Ye Zhu ),https://www.google.com/maps/contrib/106936967024508388394,https://lh5.googleusercontent.com/p/AF1QipPmwjawpwfNa4ZfZJ3zg4eNaZYQHwPOGZ4bD9GL=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Can Ting ",4,09:00-00:00,Open All Days,+374 312 50560,"Trezzo lounge-cafe, Rijkov St, Gyumri, Ya Mei Ni Ya ","Tian Dian , Sha La , Shui Yan , Diao Jiu ",https://www.google.com/maps/place/Trezzo+lounge-cafe/data=!4m7!3m6!1s0x4041fb8b70b53555:0x87004aaaf04b495f!8m2!3d40.7863504!4d43.8431892!16s%2Fg%2F1thmcw_1!19sChIJVTW1cIv7QUARX0lL8KpKAIc?authuser=0&hl=zh-TW&rclk=1
ChIJBR5KF4z7QUARhJS3AYe0Jy4,Aregak Bakery and Cafe,,False,117,"Name: Herbs & Honey
link: https://www.google.com/maps/search/Herbs+%26+Honey/@40.7862282,43.8435491?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: Havlabar Tavern
link: https://www.google.com/maps/search/Havlabar+Tavern/@40.7871683,43.8452024?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews

Name: Yaghli House
link: https://www.google.com/maps/search/Yaghli+House/@40.7863481,43.8437081?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: LeCAFE
link: https://www.google.com/maps/search/LeCAFE/@40.8030124,43.8479744?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",http://www.aregakbakeryandcafe.weebly.com/,Aregak Bakery and Cafe (Ye Zhu ),https://www.google.com/maps/contrib/111221955013676699760,https://lh5.googleusercontent.com/p/AF1QipOnyDciZ_TJtEjotBPdnZGiApYEM3AyYDQmeW8U=w408-h306-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Ka Pei Ting , Ka Pei Dian ",4.9,09:00-21:00,Open All Days,+374 98 441088,"Aregak Bakery and Cafe, 242 Abovyan St, Gyumri 3101Ya Mei Ni Ya ","Ke Song , Tian Dian , San Ming Zhi , Te Shu Xu Qiu , Can Zhang , Qia Bu Qi Nuo , atmosphere, Xiang Mu , Jia Ting ",https://www.google.com/maps/place/Aregak+Bakery+and+Caf%C3%A9/data=!4m7!3m6!1s0x4041fb8c174a1e05:0x2e27b48701b79484!8m2!3d40.7863311!4d43.84089!16s%2Fg%2F11gtq04mk3!19sChIJBR5KF4z7QUARhJS3AYe0Jy4?authuser=0&hl=zh-TW&rclk=1
ChIJA4q8jRC8akARwFO5C2UzOVs,Kilikia Bistro,,False,111,"Name: ""Gyumri"" Hatsatun
link: https://www.google.com/maps/search/%22Gyumri%22+Hatsatun/@40.7870567,43.8462053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 326 reviews

Name: Havlabar Tavern
link: https://www.google.com/maps/search/Havlabar+Tavern/@40.7871683,43.8452024?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews

Name: Restaurant Millenium
link: https://www.google.com/maps/search/Restaurant+Millenium/@40.793664299999996,43.8466646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Kilikia Restaurant
link: https://www.google.com/maps/search/Kilikia+Restaurant/@40.815590799999995,43.8815552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Kumayri Restaurant
link: https://www.google.com/maps/search/Kumayri+Restaurant/@40.7853319,43.8403815?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",http://web.facebook.com/kilikiabistro/,Kilikia Bistro (Ye Zhu ),https://www.google.com/maps/contrib/107274054535263910952,https://lh5.googleusercontent.com/p/AF1QipPlpr0z8sjXpVgcVVgrdQhHgnybZ5a7ttC6jb4w=w408-h272-k-no,Xiao Can Guan  (Bistro),Xiao Can Guan  (Bistro),4.1,11:00-23:00,Open All Days,+374 77 048878,"Kilikia Bistro, 22 Garegin Nzhdeh Avenue, Gyumri, Ya Mei Ni Ya ","Jia Ge , Sha Wei Ma , Ka Pei ",https://www.google.com/maps/place/Kilikia+Bistro/data=!4m7!3m6!1s0x406abc108dbc8a03:0x5b3933650bb953c0!8m2!3d40.7958964!4d43.8464201!16s%2Fg%2F11crssw823!19sChIJA4q8jRC8akARwFO5C2UzOVs?authuser=0&hl=zh-TW&rclk=1
ChIJ1wpD3oH7QUARGlf6CiVhxbo,gwoog gastrohouse,,False,99,"Name: Gyumri's Fish Restaurant (Cherkezi Dzor)
link: https://www.google.com/maps/search/Gyumri%27s+Fish+Restaurant+%28Cherkezi+Dzor%29/@40.7975594,43.828029099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 580 reviews

Name: ""Gyumri"" Hatsatun
link: https://www.google.com/maps/search/%22Gyumri%22+Hatsatun/@40.7870567,43.8462053?authuser=0&hl=zh-TW&entry=ttu
Reviews: 326 reviews

Name: Havlabar Tavern
link: https://www.google.com/maps/search/Havlabar+Tavern/@40.7871683,43.8452024?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews

Name: Florence Gyumri restaurant
link: https://www.google.com/maps/search/Florence+Gyumri+restaurant/@40.7877642,43.838218499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 80 reviews",https://gwoog.com/,gwoog gastrohouse (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOy8MNvL5j3dumr6p4IaEbd7ZfeEEd6Q69-vDKa=w408-h306-k-no,Can Ting ,Can Ting ,4.8,10:00-21:00,Xing Qi Yi ,+374 77 023025,"gwoog gastrohouse, 11/3 Tigran Mets Avenue, Gyumri 3102Ya Mei Ni Ya ","atmosphere, Zhuo , Jia Ting , Jia Ge , Chuan Tong ",https://www.google.com/maps/place/gwoog+gastrohouse/data=!4m7!3m6!1s0x4041fb81de430ad7:0xbac561250afa571a!8m2!3d40.7904311!4d43.8525429!16s%2Fg%2F11hdy_n3jh!19sChIJ1wpD3oH7QUARGlf6CiVhxbo?authuser=0&hl=zh-TW&rclk=1
ChIJI2CewmD7QUARmt3uwkCoF_Y,Hin Tun Pub Caffe Bar,,False,38,"Name: Basturma Shop & Grill Bar
link: https://www.google.com/maps/search/Basturma+Shop+%26+Grill+Bar/@40.7890298,43.840834699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 92 reviews

Name: Bunker Cocktail Bar
link: https://www.google.com/maps/search/Bunker+Cocktail+Bar/@40.786432399999995,43.8412432?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: BarBar Art Room
link: https://www.google.com/maps/search/BarBar+Art+Room/@40.7877357,43.8430392?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: Nowrh
link: https://www.google.com/maps/search/%D5%86%D5%B8%D6%82%D5%BC/@40.786113,43.8435351?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://www.facebook.com/hintungyumri/,Hin Tun Pub Caffe Bar (Ye Zhu ),https://www.google.com/maps/contrib/100161651971018764333,https://lh5.googleusercontent.com/p/AF1QipNrLj0uKs4YG3TKs83HGZdy4wQnnGKzUBgWieiL=w408-h408-k-no,Jiu Ba ,Jiu Ba ,4.7,10:00-04:00,Open All Days,+374 93 093207,"Hin Tun Pub Caffe Bar, 25 Rustaveli Street, Gyumri 3101Ya Mei Ni Ya ","atmosphere, You Xi ",https://www.google.com/maps/place/Hin+Tun+Pub+Caffe+Bar/data=!4m7!3m6!1s0x4041fb60c29e6023:0xf617a840c2eedd9a!8m2!3d40.7891047!4d43.8403623!16s%2Fg%2F11rylcf0xd!19sChIJI2CewmD7QUARmt3uwkCoF_Y?authuser=0&hl=zh-TW&rclk=1
ChIJ00rtR__7QUARoMIk0OFon6o,Nazowk,,False,34,"Name: Ponchik Monchik
link: https://www.google.com/maps/search/Ponchik+Monchik/@40.7846815,43.8408071?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: Havlabar Tavern
link: https://www.google.com/maps/search/Havlabar+Tavern/@40.7871683,43.8452024?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews

Name: Aregak Bakery and Cafe
link: https://www.google.com/maps/search/Aregak+Bakery+and+Caf%C3%A9/@40.7863311,43.840889999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 117 reviews

Name: Pizza Jazz
link: https://www.google.com/maps/search/Pizza+Jazz/@40.786921299999996,43.8444648?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Cafe De Flore
link: https://www.google.com/maps/search/Caf%C3%A9+De+Flore/@40.80443390000001,43.8335112?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",https://www.facebook.com/nazukcafeandbakery/,Nazowk (Ye Zhu ),https://www.google.com/maps/contrib/109397225164307036757,https://lh5.googleusercontent.com/p/AF1QipOBHCZKXMZHFK6P8c5Qnx7KYIFt_GmPrpY60707=w426-h240-k-no,Tian Pin Can Ting ,Tian Pin Can Ting ,4.6,09:00-23:00,Open All Days,+374 33 755705,"Nazowk, 4 Rizhkov street, Gyumri 3104Ya Mei Ni Ya ","Dan Gao , Ou Mu Dan ",https://www.google.com/maps/place/%D5%86%D5%A1%D5%A6%D5%B8%D6%82%D5%AF/data=!4m7!3m6!1s0x4041fbff47ed4ad3:0xaa9f68e1d024c2a0!8m2!3d40.7864667!4d43.8434205!16s%2Fg%2F11n7ddhyjd!19sChIJ00rtR__7QUARoMIk0OFon6o?authuser=0&hl=zh-TW&rclk=1
ChIJu4cmMYD7QUARf9JiUCThDjw,"Bar ""Otshel'nik""/ ""The Hermit Bar""",,False,14,,https://t.me/TheHermit_Bar,"Bar ""Otshel'nik""/ ""The Hermit Bar"" (Ye Zhu )",https://www.google.com/maps/contrib/116519212203214107561,https://lh5.googleusercontent.com/p/AF1QipPaSfV6VuA9syJx2dogtGIIIe3fGCEbxKoo72KD=w426-h240-k-no,Jiu Ba ,"Jiu Ba , Ka Pei Dian ",4.9,10:00-02:00,Open All Days,+374 98 142143,"QRQQ+52J Bar ""Otshel'nik""/ ""The Hermit Bar"", M7, Gyumri, Ya Mei Ni Ya ","Diao Jiu , atmosphere",https://www.google.com/maps/place/%D0%91%D0%B0%D1%80+%22%D0%9E%D1%82%D1%88%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA%22%2F+%22The+Hermit+Bar%22/data=!4m7!3m6!1s0x4041fb80312687bb:0x3c0ee1245062d27f!8m2!3d40.7878433!4d43.8370142!16s%2Fg%2F11sv1y0zy5!19sChIJu4cmMYD7QUARf9JiUCThDjw?authuser=0&hl=zh-TW&rclk=1
ChIJuYzmxub7QUARvO5ss6JpzQ8,M'bear Cookies,,False,8,"Name: Nazowk
link: https://www.google.com/maps/search/%D5%86%D5%A1%D5%A6%D5%B8%D6%82%D5%AF/@40.7864667,43.8434205?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Camellia Cakes
link: https://www.google.com/maps/search/Camellia+Cakes/@40.792660999999995,43.837877?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Little Sweets
link: https://www.google.com/maps/search/Little+Sweets/@40.7841124,43.8447812?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Basen
link: https://www.google.com/maps/search/%D4%B2%D5%A1%D5%BD%D5%A5%D5%B6/@40.8031758,43.832536999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Red Velvet Bakery
link: https://www.google.com/maps/search/Red+Velvet+Bakery/@40.8004888,43.8346467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://www.facebook.com/profile.php?id=100012308263512,M'bear Cookies (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPAt0BZ2X3Q-5_nFi6ollgd-TYCs_6zt0AULdJL=w408-h296-k-no,Gao Bing Dian ,Gao Bing Dian ,4.5,09:00-18:00,"Xing Qi Liu , Xing Qi Ri ",,"RR2Q+F73 M'bear Cookies, Nerses IV Shnorhali St, Gyumri, Ya Mei Ni Ya ",,https://www.google.com/maps/place/M%27bear+Cookies/data=!4m7!3m6!1s0x4041fbe6c6e68cb9:0xfcd69a2b36ceebc!8m2!3d40.8011486!4d43.8381791!16s%2Fg%2F11f12490bv!19sChIJuYzmxub7QUARvO5ss6JpzQ8?authuser=0&hl=zh-TW&rclk=1
ChIJ53GRZNL7QUAREnsKK-4xM2g,Coffee House Gyumri,,False,6,"Name: Yaghli House
link: https://www.google.com/maps/search/Yaghli+House/@40.7863481,43.8437081?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Le Mans cafe
link: https://www.google.com/maps/search/Le+Mans+cafe/@40.78374,43.843746499999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://www.coffeehouse.am/,Coffee House Gyumri (Ye Zhu ),https://www.google.com/maps/contrib/106786062248821144756,https://lh5.googleusercontent.com/p/AF1QipNxbm0r9VbYvRAiNA7PMyfPTZr0wTI1RWrScsNj=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,09:00-22:00,Open All Days,+374 33 885855,"Coffee House Gyumri, 12 Pushkin St, Gyumri, Ya Mei Ni Ya ",,https://www.google.com/maps/place/Coffee+House+Gyumri/data=!4m7!3m6!1s0x4041fbd2649171e7:0x683331ee2b0a7b12!8m2!3d40.7855538!4d43.8482388!16s%2Fg%2F11tg2lxpzb!19sChIJ53GRZNL7QUAREnsKK-4xM2g?authuser=0&hl=zh-TW&rclk=1
ChIJ3w4bcnD7QUARxkeggGWRsCk,ROOF 25,,False,6,,http://roof25.am/,ROOF 25 (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPN7YNjno0YNNCDf_j2ogqBZ3CSX08781yqMZgS=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,,"ROOF 25, 25 Haghtanaki Avenue, Gyumri, Ya Mei Ni Ya ",,https://www.google.com/maps/place/ROOF+25/data=!4m7!3m6!1s0x4041fb70721b0edf:0x29b0916580a047c6!8m2!3d40.7835973!4d43.8461045!16s%2Fg%2F11ty259zbw!19sChIJ3w4bcnD7QUARxkeggGWRsCk?authuser=0&hl=zh-TW&rclk=1
