place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJWR7YdPUQ_zkRxzeKJFDYuXU,Cafe Zotpot,,False,625,"Name: Cafe Mariot
link: https://www.google.com/maps/search/Cafe+Mariot/@23.163119,89.2127663?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2015 reviews

Name: Cafe de Light
link: https://www.google.com/maps/search/Cafe+de+Light/@23.1660467,89.2128189?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1141 reviews

Name: Theatre Cafe
link: https://www.google.com/maps/search/Theatre+Cafe/@23.1685145,89.21154419999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 603 reviews

Name: Cafe Divine Jashore
link: https://www.google.com/maps/search/Cafe+Divine+Jashore/@23.163905399999997,89.21130509999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: Quick Bites Cafe
link: https://www.google.com/maps/search/Quick+Bites+Cafe/@23.164060400000004,89.2056769?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews",https://cafezotpot.com/,Cafe Zotpot (Ye Zhu ),https://www.google.com/maps/contrib/101020963566072095019,https://lh5.googleusercontent.com/p/AF1QipN4S9_292YXtEAwVTJ6BS4VK2xlZirzK2DdhVlL=w426-h240-k-no,Can Ting ,"Can Ting , Ka Pei Ting , Kuai Can Dian ",4,09:30-21:00,Open All Days,+880 1855-965353,"Cafe Zotpot, 30 Mujib Sorok, Jashore, Meng Jia La ","Jia Ge , Shi Wu Pin Zhi , Han Bao , Huan Jing , Pei Song , Sheng Xian , Kong Jian , Zha Ji , Ka Pei , Xing Wei ",https://www.google.com/maps/place/Cafe+Zotpot/data=!4m7!3m6!1s0x39ff10f574d81e59:0x75b9d850248a37c7!8m2!3d23.1632009!4d89.2075548!16s%2Fg%2F11c5sbzv_x!19sChIJWR7YdPUQ_zkRxzeKJFDYuXU?authuser=0&hl=zh-TW&rclk=1
ChIJl7flUl4Q_zkRD8QB2juadE8,INTAZ coffee Shop,,False,44,"Name: Coffee Chai restaurant
link: https://www.google.com/maps/search/Coffee+Chai+restaurant/@23.16632,89.20687989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: The Coffee World,Jashore
link: https://www.google.com/maps/search/The+Coffee+World%2CJashore/@23.165967100000003,89.2103995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Jashore Coffee House
link: https://www.google.com/maps/search/Jashore+Coffee+House/@23.168557,89.21119829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: MACAW
link: https://www.google.com/maps/search/MACAW/@23.165190799999998,89.2146633?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://fb.me/intaz.coffee.shop,INTAZ coffee Shop (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNJlavF44ZQroWj4wnrSYFiyXmzHtySjYQw81ww=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,08:00-22:00,Xing Qi Wu ,+880 1719-698416,"5676+CGR INTAZ coffee Shop, keshablal road, Jashore, Meng Jia La ",,https://www.google.com/maps/place/INTAZ+coffee+Shop/data=!4m7!3m6!1s0x39ff105e52e5b797:0x4f749a3bda01c40f!8m2!3d23.163625!4d89.2112511!16s%2Fg%2F11c2qj2mry!19sChIJl7flUl4Q_zkRD8QB2juadE8?authuser=0&hl=zh-TW&rclk=1
ChIJge5GMx8R_zkRgJouVbgb-UI,taheri square taaheri sky'aar(baaNlaar caa khorder aandoln),,False,8,"Name: byaacelr pyyentt
link: https://www.google.com/maps/search/%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%9A%E0%A7%87%E0%A6%B2%E0%A6%B0+%E0%A6%AA%E0%A7%9F%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/@23.1695928,89.1646346?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: kaakiir caayyer dokaan
link: https://www.google.com/maps/search/%E0%A6%95%E0%A6%BE%E0%A6%95%E0%A7%80%E0%A6%B0+%E0%A6%9A%E0%A6%BE%E0%A7%9F%E0%A7%87%E0%A6%B0+%E0%A6%A6%E0%A7%8B%E0%A6%95%E0%A6%BE%E0%A6%A8/@23.164705599999998,89.19341109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: The Coffee World,Jashore
link: https://www.google.com/maps/search/The+Coffee+World%2CJashore/@23.165967100000003,89.2103995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Taher Tea Store
link: https://www.google.com/maps/search/Taher+Tea+Store/@23.1628518,89.1898361?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: raaiyyaan ddim ghr
link: https://www.google.com/maps/search/%E0%A6%B0%E0%A6%BE%E0%A6%87%E0%A7%9F%E0%A6%BE%E0%A6%A8+%E0%A6%A1%E0%A6%BF%E0%A6%AE+%E0%A6%98%E0%A6%B0/@23.1795849,89.209077?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://facebook.com/biggansamoiki,taheri square taaheri sky'aar(baaNlaar caa khorder aandoln) (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMoUkRGGh5Qcz3cGhRW17Vja7wsYd5s40-Kb443=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,07:00-22:30,Open All Days,+880 1755-419035,"555V+VVV taheri square taaheri sky'aar(baaNlaar caa khorder aandoln), Jessore, Meng Jia La ",,https://www.google.com/maps/place/taheri+square+%E0%A6%A4%E0%A6%BE%E0%A6%B9%E0%A7%87%E0%A6%B0%E0%A6%BF+%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0%28%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%B0+%E0%A6%9A%E0%A6%BE+%E0%A6%96%E0%A7%8B%E0%A6%B0%E0%A6%A6%E0%A7%87%E0%A6%B0+%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8B%E0%A6%B2%E0%A6%A8%29/data=!4m7!3m6!1s0x39ff111f3346ee81:0x42f91bb8552e9a80!8m2!3d23.1597387!4d89.1946571!16s%2Fg%2F11lltvx148!19sChIJge5GMx8R_zkRgJouVbgb-UI?authuser=0&hl=zh-TW&rclk=1
ChIJ_XE6QMQR_zkR_cz8vDbC4_M,Cafe Hilarious,,False,4,"Name: Cafe de Light
link: https://www.google.com/maps/search/Cafe+de+Light/@23.1660467,89.2128189?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1141 reviews

Name: Theatre Cafe
link: https://www.google.com/maps/search/Theatre+Cafe/@23.1685145,89.21154419999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 603 reviews

Name: The Lounge
link: https://www.google.com/maps/search/The+Lounge/@23.1640888,89.21248949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 118 reviews

Name: Hilarious Food Cafe
link: https://www.google.com/maps/search/Hilarious+Food+Cafe/@23.160023499999998,89.2039195?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://cafehilarious.com/,Cafe Hilarious (Ye Zhu ),https://www.google.com/maps/contrib/112651529784070970853,https://lh5.googleusercontent.com/p/AF1QipPm2RuM7aT-iQhyd2ZR8HPAM3YtEVZdxOAqhhk=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,+880 1887-575261,"Cafe Hilarious, jessore medical college, Jashore 7400Meng Jia La ",,https://www.google.com/maps/place/Cafe+Hilarious/data=!4m7!3m6!1s0x39ff11c4403a71fd:0xf3e3c236bcfcccfd!8m2!3d23.1509821!4d89.2196627!16s%2Fg%2F11sd98p64d!19sChIJ_XE6QMQR_zkR_cz8vDbC4_M?authuser=0&hl=zh-TW&rclk=1
ChIJoYS57RoR_zkRgbMge2JrQ58,Cafe 360 Jashore,,False,2,"Name: Cafe Zotpot
link: https://www.google.com/maps/search/Cafe+Zotpot/@23.1632009,89.2075548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 626 reviews

Name: mdhukr kyaanttin - Modhukor Canteen
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A6%A7%E0%A7%81%E0%A6%95%E0%A6%B0+%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%A8+-+Modhukor+Canteen/@23.164409,89.20537379999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Cafe Hungry Bites
link: https://www.google.com/maps/search/Cafe+Hungry+Bites/@23.1630729,89.21300760000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Jashore Coffee House
link: https://www.google.com/maps/search/Jashore+Coffee+House/@23.168557,89.21119829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: pedaa ttiN ttiN
link: https://www.google.com/maps/search/%E0%A6%AA%E0%A7%87%E0%A6%A6%E0%A6%BE+%E0%A6%9F%E0%A6%BF%E0%A6%82+%E0%A6%9F%E0%A6%BF%E0%A6%82/@23.1590985,89.20607989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.facebook.com/cafe360.jsr,Cafe 360 Jashore (Ye Zhu ),https://www.google.com/maps/contrib/103213648203841870962,https://lh5.googleusercontent.com/p/AF1QipMnGQ_zg7YIAF8e-k29yCOfjl0jass4HxL7Ucc=w408-h407-k-no,Ka Pei Ting ,Ka Pei Ting ,5,24 Xiao Shi Ying Ye ,Xing Qi Wu ,+880 1409-221317,"Cafe 360 Jashore, Jashore, Meng Jia La ",,https://www.google.com/maps/place/Cafe+360+Jashore/data=!4m7!3m6!1s0x39ff111aedb984a1:0x9f436b627b20b381!8m2!3d23.1633894!4d89.2143765!16s%2Fg%2F11k5gb8q4m!19sChIJoYS57RoR_zkRgbMge2JrQ58?authuser=0&hl=zh-TW&rclk=1
ChIJGSbxf1AR_zkRZzKe7VS0gt4,Best coffee shop in jessore | Dreamline,,False,,"Name: Rakib tea stall
link: https://www.google.com/maps/search/Rakib+tea+stall/@23.176711899999997,89.2031197?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Coffee Shop
link: https://www.google.com/maps/search/Coffee+Shop/@23.1638824,89.2077874?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: mjid tti sttor
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A6%9C%E0%A6%BF%E0%A6%A6+%E0%A6%9F%E0%A6%BF+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@23.1750735,89.21408129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Cafe Dream land
link: https://www.google.com/maps/search/Cafe+Dream+land/@23.142419300000004,89.21308309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://semicolonit.com/,Best coffee shop in jessore | Dreamline (Ye Zhu ),https://www.google.com/maps/contrib/102899486703995423851,https://lh5.googleusercontent.com/p/AF1QipNaP0bFl-00hFnAfdUvXE1_f41Dftv2z7_DlWFo=w408-h306-k-no,Can Ting ,"Can Ting , Ka Pei Dian , Wai Dai Ka Pei Zhuan Mai Dian ",,09:00-18:00,Xing Qi Wu ,+880 1908-613447,"Best coffee shop in jessore | Dreamline, Level-11, Sheikh Hasina Software Technology Park, Jashore 7400Meng Jia La ",,https://www.google.com/maps/place/Best+coffee+shop+in+jessore+%7C+Dreamline/data=!4m7!3m6!1s0x39ff11507ff12619:0xde82b454ed9e3267!8m2!3d23.1611684!4d89.1980479!16s%2Fg%2F11t6n29sll!19sChIJGSbxf1AR_zkRZzKe7VS0gt4?authuser=0&hl=zh-TW&rclk=1
ChIJv-bZVV4R_zkRIQxtlc6QOlI,Tanvir Coffee House,,False,,"Name: Coffee Chai restaurant
link: https://www.google.com/maps/search/Coffee+Chai+restaurant/@23.16632,89.20687989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Coffee House
link: https://www.google.com/maps/search/Coffee+House/@23.164664,89.2120676?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: MACAW
link: https://www.google.com/maps/search/MACAW/@23.165190799999998,89.2146633?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Jashore Coffee House
link: https://www.google.com/maps/search/Jashore+Coffee+House/@23.168557,89.21119829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: bhaai bhaai tti ssttor
link: https://www.google.com/maps/search/%E0%A6%AD%E0%A6%BE%E0%A6%87+%E0%A6%AD%E0%A6%BE%E0%A6%87+%E0%A6%9F%E0%A6%BF+%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@23.1448342,89.2353603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://tanvir-coffee-house.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Tanvir Coffee House (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lNCGOzG9U2idb5vmFabLQw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=203.16075&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,,09:00-17:00,Open All Days,+880 1998-621100,"5678+MV8 Tanvir Coffee House, RN Rd, Jashore 7400Meng Jia La ",,https://www.google.com/maps/place/Tanvir+Coffee+House/data=!4m7!3m6!1s0x39ff115e55d9e6bf:0x523a90ce956d0c21!8m2!3d23.1641529!4d89.217198!16s%2Fg%2F11r2rnwn6w!19sChIJv-bZVV4R_zkRIQxtlc6QOlI?authuser=0&hl=zh-TW&rclk=1
ChIJq6qqR18Q_zkRUYiQvhDUvXs,Anarul Tea Stall,,False,135,"Name: tti laabhaars
link: https://www.google.com/maps/search/%E0%A6%9F%E0%A6%BF+%E0%A6%B2%E0%A6%BE%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8/@23.1613638,89.21216410000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 465 reviews

Name: Dulal Tea Stall
link: https://www.google.com/maps/search/Dulal+Tea+Stall/@23.1605685,89.21232499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Raju Tea Stall
link: https://www.google.com/maps/search/Raju+Tea+Stall/@23.1516927,89.2115673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Jashore Coffee House
link: https://www.google.com/maps/search/Jashore+Coffee+House/@23.168557,89.21119829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Anarul Tea Stall (Ye Zhu ),https://www.google.com/maps/contrib/107528386056922070667,https://lh5.googleusercontent.com/p/AF1QipPUEZcasEaQgt_SitCLZO-d4sKNHcGWKEl_B1Jv=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.4,08:00-11:57,Open All Days,+880 1732-236230,"5665+9VW Anarul Tea Stall, Fire Service & Civil Defence Station, Kashoblal Rd, Jashore, Meng Jia La ",Xing Wei ,https://www.google.com/maps/place/Anarul+Tea+Stall/data=!4m7!3m6!1s0x39ff105f47aaaaab:0x7bbdd410be908851!8m2!3d23.1607281!4d89.210078!16s%2Fg%2F11hbst2c_r!19sChIJq6qqR18Q_zkRUYiQvhDUvXs?authuser=0&hl=zh-TW&rclk=1
ChIJVZRpxl4Q_zkRif7geZiwHsE,Dulal Tea Stall,,False,57,"Name: tti laabhaars
link: https://www.google.com/maps/search/%E0%A6%9F%E0%A6%BF+%E0%A6%B2%E0%A6%BE%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8/@23.1613638,89.21216410000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 465 reviews

Name: Anarul Tea Stall
link: https://www.google.com/maps/search/Anarul+Tea+Stall/@23.1607281,89.210078?authuser=0&hl=zh-TW&entry=ttu
Reviews: 135 reviews

Name: Coffee Chai restaurant
link: https://www.google.com/maps/search/Coffee+Chai+restaurant/@23.16632,89.20687989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Raju Tea Stall
link: https://www.google.com/maps/search/Raju+Tea+Stall/@23.1516927,89.2115673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Dulal Tea Stall (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOjIcXVYH738LA24-v5P515XQwgM2CJm1PbcfZO=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,08:00-23:00,Xing Qi Ri ,+880 1913-256552,"Dulal Tea Stall, 7400, Jashore 7400Meng Jia La ",,https://www.google.com/maps/place/Dulal+Tea+Stall/data=!4m7!3m6!1s0x39ff105ec6699455:0xc11eb09879e0fe89!8m2!3d23.1605685!4d89.212325!16s%2Fg%2F11bzt378dz!19sChIJVZRpxl4Q_zkRif7geZiwHsE?authuser=0&hl=zh-TW&rclk=1
ChIJySKD9u0Q_zkRi3hSebfBshQ,Cafe Aziz Exclusive,,False,46,"Name: pedaa ttiN ttiN
link: https://www.google.com/maps/search/%E0%A6%AA%E0%A7%87%E0%A6%A6%E0%A6%BE+%E0%A6%9F%E0%A6%BF%E0%A6%82+%E0%A6%9F%E0%A6%BF%E0%A6%82/@23.1590985,89.20607989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Azizur Coffe House
link: https://www.google.com/maps/search/Azizur+Coffe+House/@23.0919653,89.23840299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Cafe 360 Jashore
link: https://www.google.com/maps/search/Cafe+360+Jashore/@23.163389400000003,89.2143765?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Healthy food cafe
link: https://www.google.com/maps/search/Healthy+food+cafe/@23.1637743,89.2050072?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: AZIZ Tea Stall
link: https://www.google.com/maps/search/AZIZ+Tea+Stall/@23.1771288,89.16071740000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe Aziz Exclusive (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP9uZcQScFiyiPQMQCVQ5xZ5G-sAEGq7rXC1sQY=w408-h305-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,07:30-21:00,Open All Days,,"556X+CHX Cafe Aziz Exclusive, Kharki,Kashar Dighee Alaka,Jessore, Shah Abdul Karim Rd, Jashore, Meng Jia La ",,https://www.google.com/maps/place/Cafe+Aziz+Exclusive/data=!4m7!3m6!1s0x39ff10edf68322c9:0x14b2c1b77952788b!8m2!3d23.1611009!4d89.1989797!16s%2Fg%2F11b6v0rsyk!19sChIJySKD9u0Q_zkRi3hSebfBshQ?authuser=0&hl=zh-TW&rclk=1
