place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJP74kBjHlUjcRC1CJANuYl2Q,"Cafe Khadya Griha ( Alutila, Khagrachari sadar)",,False,7,"Name: Khagrachari Alutila Coffee House and restaurant
link: https://www.google.com/maps/search/Khagrachari+Alutila+Coffee+House+and+restaurant/@23.0843754,91.9570116?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: aaluttilaa jus krnaar endd resstturentt
link: https://www.google.com/maps/search/%E0%A6%86%E0%A6%B2%E0%A7%81%E0%A6%9F%E0%A6%BF%E0%A6%B2%E0%A6%BE+%E0%A6%9C%E0%A7%81%E0%A6%B8+%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%A8%E0%A6%BE%E0%A6%B0+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B0%E0%A7%87%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/@23.088199700000004,91.9567647?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Khamrang Resort, Alutila Guha (Matai Hakor), Khagrachari
link: https://www.google.com/maps/search/Khamrang+Resort%2C+Alutila+Guha+%28Matai+Hakor%29%2C+Khagrachari/@23.090617599999998,91.9533491?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Alutila ""Matai Hakor"" Watch Tower
link: https://www.google.com/maps/search/Alutila+%22Matai+Hakor%22+Watch+Tower/@23.0878275,91.9568711?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Street food
link: https://www.google.com/maps/search/Street+food/@23.1067485,91.9817011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://cafekhadyagriha.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,"Cafe Khadya Griha ( Alutila, Khagrachari sadar) (Ye Zhu )",,https://lh5.googleusercontent.com/p/AF1QipM55RCHGzi4EDImRzoQkpZ3MioCESxROWG0qBIa=w408-h430-k-no,Ka Pei Ting ,"Ka Pei Ting , Can Ting ",3.1,06:00-18:00,Open All Days,+880 1551-623181,"3XM4+W7P Cafe Khadya Griha ( Alutila, Khagrachari sadar), Chittagong - Khagrachari Road, Khagrachari 4400Meng Jia La ",,"https://www.google.com/maps/place/Cafe+Khadya+Griha+%28+Alutila,+Khagrachari+sadar%29/data=!4m7!3m6!1s0x3752e5310624be3f:0x649798db0089500b!8m2!3d23.0848346!4d91.9557172!16s%2Fg%2F11js24m443!19sChIJP74kBjHlUjcRC1CJANuYl2Q?authuser=0&hl=zh-TW&rclk=1"
ChIJL-C4WvHlUjcRcR7SBE79UT8,"DAS GUPTO COOLING CORNER, KHAGRACHHARI",,False,5,"Name: Khagrachari Coffee Shop
link: https://www.google.com/maps/search/Khagrachari+Coffee+Shop/@23.105115299999998,91.98269959999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews

Name: Horticulture Center ,Khagrachhari
link: https://www.google.com/maps/search/Horticulture+Center+%2CKhagrachhari/@23.115921099999998,91.9768027?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: Banoful - bnphul
link: https://www.google.com/maps/search/Banoful+-+%E0%A6%AC%E0%A6%A8%E0%A6%AB%E0%A7%81%E0%A6%B2/@23.1076572,91.98406419999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Nurnobi cooling corner
link: https://www.google.com/maps/search/Nurnobi+cooling+corner/@23.0747787,91.859782?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Khagrapur Community Center
link: https://www.google.com/maps/search/Khagrapur+Community+Center/@23.118985499999997,91.99288530000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://sourav731059359.wordpress.com/,"DAS GUPTO COOLING CORNER, KHAGRACHHARI (Ye Zhu )",https://www.google.com/maps/contrib/106108512896596441110,https://lh5.googleusercontent.com/p/AF1QipPcL4AjN0B3iDO0xIvhmGmlkK3W1ITE2KSvKoU6=w426-h240-k-no,Tian Pin Zi Zhu Can ,Tian Pin Zi Zhu Can ,4.4,05:30-20:00,Open All Days,,"DAS GUPTO COOLING CORNER, KHAGRACHHARI, Bazar Road, Khagrachari, Meng Jia La ",,"https://www.google.com/maps/place/DAS+GUPTO+COOLING+CORNER,+KHAGRACHHARI/data=!4m7!3m6!1s0x3752e5f15ab8e02f:0x3f51fd4e04d21e71!8m2!3d23.1043633!4d91.9824506!16s%2Fg%2F11h18zbk6s!19sChIJL-C4WvHlUjcRcR7SBE79UT8?authuser=0&hl=zh-TW&rclk=1"
ChIJ4f3-Wz_hUjcR3omFKcOflL4,"Alutila Battali,Matiranga,Khagrachari",,False,4,"Name: Alutila Battoli high school
link: https://www.google.com/maps/search/Alutila+Battoli+high+school/@23.0772075,91.8849626?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Alutila Battoli Baza
link: https://www.google.com/maps/search/Alutila+Battoli+Baza/@23.0764273,91.885015?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Alutila government primary school
link: https://www.google.com/maps/search/Alutila+government+primary+school/@23.0773157,91.88451769999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: jyynaal goldden maatth
link: https://www.google.com/maps/search/%E0%A6%9C%E0%A7%9F%E0%A6%A8%E0%A6%BE%E0%A6%B2+%E0%A6%97%E0%A7%8B%E0%A6%B2%E0%A7%8D%E0%A6%A1%E0%A7%87%E0%A6%A8+%E0%A6%AE%E0%A6%BE%E0%A6%A0/@23.124705799999997,91.8360359?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: gabtola talimul madrasha
link: https://www.google.com/maps/search/gabtola+talimul+madrasha/@23.1655898,91.39173249999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://spro.minewap.com/,"Alutila Battali,Matiranga,Khagrachari (Ye Zhu )",,https://lh5.googleusercontent.com/p/AF1QipPiz1P-DQpSJYiCDBHP-kGM1JghGUCMbjtkxhXz=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,+880 1629-369258,"3VGP+P5W Alutila Battali,Matiranga,Khagrachari, Meng Jia La ",,"https://www.google.com/maps/place/Alutila+Battali,Matiranga,Khagrachari/data=!4m7!3m6!1s0x3752e13f5bfefde1:0xbe949fc3298589de!8m2!3d23.076866!4d91.8854535!16s%2Fg%2F11jtdk1htb!19sChIJ4f3-Wz_hUjcR3omFKcOflL4?authuser=0&hl=zh-TW&rclk=1"
ChIJTdRlCk3lUjcR48yVtT5gvuM,"Kazi farms kitchen, collage road , khagrachori",,False,3,"Name: FnF Restaurant & Convention
link: https://www.google.com/maps/search/FnF+Restaurant+%26+Convention/@23.112822899999998,91.9802519?authuser=0&hl=zh-TW&entry=ttu
Reviews: 708 reviews

Name: Khang Moy
link: https://www.google.com/maps/search/Khang+Moy/@23.1067879,91.9915831?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Foodie.kgc
link: https://www.google.com/maps/search/Foodie.kgc/@23.1061776,91.9935247?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: I F C-INSTANT FOOD CAFE
link: https://www.google.com/maps/search/I+F+C-INSTANT+FOOD+CAFE/@23.112927499999998,91.98020149999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Fast Food Corner
link: https://www.google.com/maps/search/Fast+Food+Corner/@23.1074536,91.98376479999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://kazifarmskitchen.com/,"Kazi farms kitchen, collage road , khagrachori (Ye Zhu )",,https://lh5.googleusercontent.com/p/AF1QipOT2Fw4I1g-HEkvVW26hX3e16NnbUFTNxKElx0e=w426-h240-k-no,Kuai Can Dian ,Kuai Can Dian ,3.7,09:00-22:00,Open All Days,+880 1819-028571,"Kazi farms kitchen, collage road , khagrachori, Bazar, Road, Khagrachari, Meng Jia La ",,"https://www.google.com/maps/place/Kazi+farms+kitchen,+collage+road+,+khagrachori/data=!4m7!3m6!1s0x3752e54d0a65d44d:0xe3be603eb595cce3!8m2!3d23.1129702!4d91.9801857!16s%2Fg%2F11n0gckd27!19sChIJTdRlCk3lUjcR48yVtT5gvuM?authuser=0&hl=zh-TW&rclk=1"
ChIJI10Hx3XlUjcR6yvh2BlL4wI,aajaad tti haauj,,False,2,"Name: taaju ssttor
link: https://www.google.com/maps/search/%E0%A6%A4%E0%A6%BE%E0%A6%9C%E0%A7%81+%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@22.8115733,91.5170686?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: caudhurii ssttor endd kpi haauj
link: https://www.google.com/maps/search/%E0%A6%9A%E0%A7%8C%E0%A6%A7%E0%A7%81%E0%A6%B0%E0%A7%80+%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%95%E0%A6%AA%E0%A6%BF+%E0%A6%B9%E0%A6%BE%E0%A6%89%E0%A6%9C/@22.933342,91.51712859999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://myazadtv.wordpress.com/,aajaad tti haauj (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO0HA-t7-48PWY1U_00r39DmyxH1ZYQWLZNUr9S=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3,,Open All Days,+880 1883-592647,"4X2F+MQ9 aajaad tti haauj, Unnamed Road, Changrachhari 4400Meng Jia La ",,https://www.google.com/maps/place/%E0%A6%86%E0%A6%9C%E0%A6%BE%E0%A6%A6+%E0%A6%9F%E0%A6%BF+%E0%A6%B9%E0%A6%BE%E0%A6%89%E0%A6%9C/data=!4m7!3m6!1s0x3752e575c7075d23:0x2e34b19d8e12beb!8m2!3d23.1016697!4d91.9744901!16s%2Fg%2F11hz3jb0w6!19sChIJI10Hx3XlUjcR6yvh2BlL4wI?authuser=0&hl=zh-TW&rclk=1
ChIJqbeP0v_lUjcRB0sxtJI8Ma0,Parbatta Odikar Forum -paarbty adhikaar phoraam,,False,,"Name: maatR bhaanddaar
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A6%BE%E0%A6%A4%E0%A7%83+%E0%A6%AD%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A6%BE%E0%A6%B0/@22.9926113,91.4558883?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: PCssttor
link: https://www.google.com/maps/search/PC%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@23.1871831,91.47619929999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: plebhaar krnnaar
link: https://www.google.com/maps/search/%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A7%87%E0%A6%AD%E0%A6%BE%E0%A6%B0+%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%A3%E0%A6%BE%E0%A6%B0/@22.933785699999998,92.0308925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/ParbattaOdikarForum/,Parbatta Odikar Forum -paarbty adhikaar phoraam (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,,09:00-17:00,"Xing Qi Yi , Xing Qi Er ",+880 1556-594871,"Parbatta Odikar Forum -paarbty adhikaar phoraam, Khagrachari Cantonment, Khagrachari-Dighinala Road, Khagrachari, Meng Jia La ",,https://www.google.com/maps/place/Parbatta+Odikar+Forum+-%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%A4%E0%A7%8D%E0%A6%AF+%E0%A6%85%E0%A6%A7%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B0+%E0%A6%AB%E0%A7%8B%E0%A6%B0%E0%A6%BE%E0%A6%AE/data=!4m7!3m6!1s0x3752e5ffd28fb7a9:0xad313c92b4314b07!8m2!3d23.1175725!4d91.9863177!16s%2Fg%2F11h3ghkbrz!19sChIJqbeP0v_lUjcRB0sxtJI8Ma0?authuser=0&hl=zh-TW&rclk=1
ChIJ1cCXjCTlUjcRz6W098y0-3k,bgudd'aar di ghr endd suitts,,False,,"Name: Fast Food Corner
link: https://www.google.com/maps/search/Fast+Food+Corner/@23.1074536,91.98376479999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: gobindaa's restturentt
link: https://www.google.com/maps/search/%E0%A6%97%E0%A7%8B%E0%A6%AC%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BE%27%E0%A6%B8+%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/@23.104596600000004,91.98217?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Street food
link: https://www.google.com/maps/search/Street+food/@23.1067485,91.9817011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: sndbiip hottel endd bhaatghr
link: https://www.google.com/maps/search/%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%AC%E0%A7%80%E0%A6%AA+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%AD%E0%A6%BE%E0%A6%A4%E0%A6%98%E0%A6%B0/@23.1057152,91.9818622?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Lounge & Restaurant
link: https://www.google.com/maps/search/Lounge+%26+Restaurant/@23.0938514,91.9859213?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/%25E0%25A6%25AC%25E0%25A6%2597%25E0%25A7%2581%25E0%25A6%25A1%25E0%25A6%25BC%25E0%25A6%25BE%25E0%25A6%25B0-%25E0%25A6%25A6%25E0%25A6%2587-%25E0%25A6%2598%25E0%25A6%25B0-Sell-Buy-%25E0%25A6%2596%25E0%25A6%25BE%25E0%25A6%2597%25E0%25A6%25A1%25E0%25A6%25BC%25E0%25A6%25BE%25E0%25A6%259B%25E0%25A6%25A1%25E0%25A6%25BC%25E0%25A6%25BF-102845434447137/,bgudd'aar di ghr endd suitts (Ye Zhu ),https://www.google.com/maps/contrib/103566355774008804531,https://lh5.googleusercontent.com/p/AF1QipMmDKDONH-p23Bb3CszNfPHR8BSR189ll2GRixl=w408-h544-k-no,Kuai Can Dian ,Kuai Can Dian ,,07:00-21:00,Open All Days,+880 1866-378149,"bgudd'aar di ghr endd suitts, Khagrachari, Meng Jia La ",,https://www.google.com/maps/place/%E0%A6%AC%E0%A6%97%E0%A7%81%E0%A6%A1%E0%A6%BC%E0%A6%BE%E0%A6%B0+%E0%A6%A6%E0%A6%87+%E0%A6%98%E0%A6%B0+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B8%E0%A7%81%E0%A6%87%E0%A6%9F%E0%A6%B8%E0%A7%8D/data=!4m7!3m6!1s0x3752e5248c97c0d5:0x79fbb4ccf7b4a5cf!8m2!3d23.1031462!4d91.9803939!16s%2Fg%2F11rxhsw_l0!19sChIJ1cCXjCTlUjcRz6W098y0-3k?authuser=0&hl=zh-TW&rclk=1
ChIJeyCLLz3vUjcRmvF0luTI318,mjumdaar - ttreddaars,,False,,,https://www.facebook.com/profile.php%3Fid%3D100005219588909%26mibextid%3DZbWKwL,mjumdaar - ttreddaars (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iEvrGZYVhOJve-D4FLk0iQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=56.67833&pitch=0&thumbfov=100,Bian Li Dian ,Bian Li Dian ,,24 Xiao Shi Ying Ye ,Open All Days,+880 1870-810097,"4X6Q+MGW mjumdaar - ttreddaars, Changrachhari, Meng Jia La ",,https://www.google.com/maps/place/%E0%A6%AE%E0%A6%9C%E0%A7%81%E0%A6%AE%E0%A6%A6%E0%A6%BE%E0%A6%B0+-+%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8/data=!4m7!3m6!1s0x3752ef3d2f8b207b:0x5fdfc8e49674f19a!8m2!3d23.1117407!4d91.9888247!16s%2Fg%2F11y1fw2g2k!19sChIJeyCLLz3vUjcRmvF0luTI318?authuser=0&hl=zh-TW&rclk=1
ChIJlzhnfvPlUjcR_brIFyI3cz4,Khagrachari Bazar,,False,5506,"Name: mdhupur baajaar
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A6%A7%E0%A7%81%E0%A6%AA%E0%A7%81%E0%A6%B0+%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0/@23.1064771,91.99504850000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 191 reviews

Name: Khagrachari Mach Bazar
link: https://www.google.com/maps/search/Khagrachari+Mach+Bazar/@23.106035199999997,91.9827624?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Local Bazar
link: https://www.google.com/maps/search/Local+Bazar/@23.1249404,91.99704129999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Selim market
link: https://www.google.com/maps/search/Selim+market/@23.107370799999998,91.9839812?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: phenii ddipaarttmenttaal sttor
link: https://www.google.com/maps/search/%E0%A6%AB%E0%A7%87%E0%A6%A8%E0%A7%80+%E0%A6%A1%E0%A6%BF%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F%E0%A6%AE%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B2+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@23.106292,91.9825494?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Khagrachari Bazar (Ye Zhu ),https://www.google.com/maps/contrib/117266569994997582823,https://lh5.googleusercontent.com/p/AF1QipO77jn4I0x8_QTTLyMym3-ODRegLb1CxDpSHsP2=w408-h306-k-no,Shi Chang ,Shi Chang ,4.1,07:00-23:00,Open All Days,,"Khagrachari Bazar, Khagrachari, Meng Jia La ","Mei , Xiang Zhen , Zi Ran , Qiu , Fan Dian , Gong Che , Zhou Si , Pu Bu , Zao Yin ",https://www.google.com/maps/place/Khagrachari+Bazar/data=!4m7!3m6!1s0x3752e5f37e673897:0x3e73372217c8bafd!8m2!3d23.1053351!4d91.9829536!16s%2Fg%2F1hc6bvctd!19sChIJlzhnfvPlUjcR_brIFyI3cz4?authuser=0&hl=zh-TW&rclk=1
ChIJq3fvVV7vUjcRchWLIuh1CyA,System Restaurant,,False,1345,"Name: HERITAGE DINE
link: https://www.google.com/maps/search/HERITAGE+DINE/@23.1061339,91.9932659?authuser=0&hl=zh-TW&entry=ttu
Reviews: 178 reviews

Name: khagrachari Resort -Residential & Restaurant
link: https://www.google.com/maps/search/khagrachari+Resort+-Residential+%26+Restaurant/@23.109001199999998,91.98074369999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: Khang Moy
link: https://www.google.com/maps/search/Khang+Moy/@23.1067879,91.9915831?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Jamtola Restaurant
link: https://www.google.com/maps/search/Jamtola+Restaurant/@23.1051754,91.9876362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 81 reviews",,System Restaurant (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMHADp_oO4E432-FbvCl1Pyd8ujVFB4DCKftKNr=w426-h240-k-no,Can Ting ,Can Ting ,4.3,12:00-22:00,Open All Days,+880 1863-607090,"4X3R+X8W System Restaurant, Pankhaiya Para, Meng Jia La ","Shi Wu Pin Zhi , Ya Rou , Lu You , Zhuang Shi ",https://www.google.com/maps/place/System+Restaurant/data=!4m7!3m6!1s0x3752ef5e55ef77ab:0x200b75e8228b1572!8m2!3d23.1049916!4d91.9908182!16s%2Fg%2F11ckqr99s7!19sChIJq3fvVV7vUjcRchWLIuh1CyA?authuser=0&hl=zh-TW&rclk=1
