place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJVyIzn5LBVDcRaczBoTwk7DU,Lakshmipur Express Cafe,,False,34,"Name: Food Garden Restaurant & Party Center.
link: https://www.google.com/maps/search/Food+Garden+Restaurant+%26+Party+Center./@22.9387571,90.82853399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 182 reviews

Name: nbaab biriyyaani
link: https://www.google.com/maps/search/%E0%A6%A8%E0%A6%AC%E0%A6%BE%E0%A6%AC+%E0%A6%AC%E0%A6%BF%E0%A6%B0%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A6%A8%E0%A6%BF/@22.936963,90.829313?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: jgnnaath bhojnaalyy endd phaasttphudd
link: https://www.google.com/maps/search/%E0%A6%9C%E0%A6%97%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%BE%E0%A6%A5+%E0%A6%AD%E0%A7%8B%E0%A6%9C%E0%A6%A8%E0%A6%BE%E0%A6%B2%E0%A7%9F+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%AB%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%AB%E0%A7%81%E0%A6%A1/@22.9399764,90.82797169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: griin cili phaassttphudd endd mini caainij
link: https://www.google.com/maps/search/%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%A8+%E0%A6%9A%E0%A6%BF%E0%A6%B2%E0%A6%BF+%E0%A6%AB%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%AB%E0%A7%81%E0%A6%A1+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%AE%E0%A6%BF%E0%A6%A8%E0%A6%BF+%E0%A6%9A%E0%A6%BE%E0%A6%87%E0%A6%A8%E0%A6%BF%E0%A6%9C/@22.943612599999998,90.8281478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: LFC
link: https://www.google.com/maps/search/LFC/@22.9325293,90.82908239999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://www.facebook.com/laks.express/,Lakshmipur Express Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102611675648883417642,https://lh5.googleusercontent.com/p/AF1QipPoHqoeI1BlnBHlnZjLkr8kJcV6eAH-otuc5aV0=w408-h306-k-no,Kuai Can Dian ,Kuai Can Dian ,3.9,09:30-23:00,Open All Days,,"Lakshmipur Express Cafe, Hospital Road, Lakshmipur 3700Meng Jia La ",,https://www.google.com/maps/place/Lakshmipur+Express+Cafe/data=!4m7!3m6!1s0x3754c1929f332257:0x35ec243ca1c1cc69!8m2!3d22.9369511!4d90.8308669!16s%2Fg%2F11tb5r8crk!19sChIJVyIzn5LBVDcRaczBoTwk7DU?authuser=0&hl=zh-TW&rclk=1
ChIJDxKPg1DBVDcRWqK7GiyXYd8,Kettle,,False,28,"Name: shhid tti sttor
link: https://www.google.com/maps/search/%E0%A6%B6%E0%A6%B9%E0%A6%BF%E0%A6%A6+%E0%A6%9F%E0%A6%BF+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@22.9446744,90.8281907?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: muraader dokaan
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A7%81%E0%A6%B0%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B0+%E0%A6%A6%E0%A7%8B%E0%A6%95%E0%A6%BE%E0%A6%A8/@22.9396004,90.82761939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: sohaag sttor
link: https://www.google.com/maps/search/%E0%A6%B8%E0%A7%8B%E0%A6%B9%E0%A6%BE%E0%A6%97+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@22.9330164,90.8338556?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: aalm ssttor bttgaachtl
link: https://www.google.com/maps/search/%E0%A6%86%E0%A6%B2%E0%A6%AE+%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0+%E0%A6%AC%E0%A6%9F%E0%A6%97%E0%A6%BE%E0%A6%9B%E0%A6%A4%E0%A6%B2/@22.945396199999998,90.8340802?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/Kettle,Kettle (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM5oN-f6x2CBUOGqjq47UE6Jp0xuTc_Od1MY2g4=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,10:00-00:00,Open All Days,,"WRPJ+Q4R Kettle, Hospital Road, Lakshmipur, Meng Jia La ",,https://www.google.com/maps/place/Kettle/data=!4m7!3m6!1s0x3754c150838f120f:0xdf61972c1abba25a!8m2!3d22.9369868!4d90.830276!16s%2Fg%2F11s8dxfgvp!19sChIJDxKPg1DBVDcRWqK7GiyXYd8?authuser=0&hl=zh-TW&rclk=1
ChIJOdItHvvDVDcRTPorjSa6JWo,aallaahr daan sttor,,False,1,"Name: Food o'clock
link: https://www.google.com/maps/search/Food+o%27clock/@22.9689378,90.80814269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: kyaaphe kaabaab phyaakttrii
link: https://www.google.com/maps/search/%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AB%E0%A7%87+%E0%A6%95%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%AC+%E0%A6%AB%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%95%E0%A7%8D%E0%A6%9F%E0%A6%B0%E0%A7%80/@22.9678592,90.8099275?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Star Hotel & Restaurant
link: https://www.google.com/maps/search/Star+Hotel+%26+Restaurant/@22.9694666,90.80661099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: antr sttor
link: https://www.google.com/maps/search/%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@22.9605037,90.79980789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://cafe-42896.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,aallaahr daan sttor (Ye Zhu ),https://www.google.com/maps/contrib/112541643561794973902,,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"aallaahr daan sttor, Lakshmipur 3700Meng Jia La ",,https://www.google.com/maps/place/%E0%A6%86%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B9%E0%A6%B0+%E0%A6%A6%E0%A6%BE%E0%A6%A8+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/data=!4m7!3m6!1s0x3754c3fb1e2dd239:0x6a25ba268d2bfa4c!8m2!3d22.9224413!4d90.8010131!16s%2Fg%2F11nx19sk5l!19sChIJOdItHvvDVDcRTPorjSa6JWo?authuser=0&hl=zh-TW&rclk=1
ChIJiwsywSDDVDcRWmndJYWSwG0,ali ullaah tti sttor,,False,,,https://www.facebook.com/md.walid.90410%3Fmibextid%3DZbWKwL,ali ullaah tti sttor (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNieT8CA_EqUBj2gWKPpwRtaBTb9Yc0GNyzGRjl=w408-h883-k-no,Ka Pei Dian ,Ka Pei Dian ,,07:00-23:00,Open All Days,+880 1949-530189,"XR99+VF ali ullaah tti sttor, Lakshmipur, Meng Jia La ",,https://www.google.com/maps/place/%E0%A6%85%E0%A6%B2%E0%A6%BF+%E0%A6%89%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B9+%E0%A6%9F%E0%A6%BF+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/data=!4m7!3m6!1s0x3754c320c1320b8b:0x6dc0928525dd695a!8m2!3d22.9696751!4d90.8187322!16s%2Fg%2F11sv2dg2vl!19sChIJiwsywSDDVDcRWmndJYWSwG0?authuser=0&hl=zh-TW&rclk=1
ChIJH-qjJtXBVDcRUHVCP-MMw7s,sitti bekaarii endd suitts,,False,,"Name: mdhubn bekaarii endd suitts
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A6%A7%E0%A7%81%E0%A6%AC%E0%A6%A8+%E0%A6%AC%E0%A7%87%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%80+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B8%E0%A7%81%E0%A6%87%E0%A6%9F%E0%A6%B8/@22.944612,90.82842199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: mdhubn ddipaarttmenttaal ssttor
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A6%A7%E0%A7%81%E0%A6%AC%E0%A6%A8+%E0%A6%A1%E0%A6%BF%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F%E0%A6%AE%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B2+%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@22.94077,90.828169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Modhubon bakery & sweets
link: https://www.google.com/maps/search/Modhubon+bakery+%26+sweets/@22.9378198,90.828876?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/citybakerybd,sitti bekaarii endd suitts (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4aiqKw4sxAi7AurnHRlnTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=248.43439&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,,,Open All Days,+880 1825-003721,"sitti bekaarii endd suitts, maandaarii baajaar, Lakshmipur, Meng Jia La ",,https://www.google.com/maps/place/%E0%A6%B8%E0%A6%BF%E0%A6%9F%E0%A6%BF+%E0%A6%AC%E0%A7%87%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%80+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B8%E0%A7%81%E0%A6%87%E0%A6%9F%E0%A6%B8/data=!4m7!3m6!1s0x3754c1d526a3ea1f:0xbbc30ce33f427550!8m2!3d22.9453962!4d90.8340802!16s%2Fg%2F11h3k7db5c!19sChIJH-qjJtXBVDcRUHVCP-MMw7s?authuser=0&hl=zh-TW&rclk=1
ChIJ-72O9dfDVDcR2KD9KILsL6Y,Lakshmipur Pouro Super Market,,False,770,"Name: New Market, Lakshmipur
link: https://www.google.com/maps/search/New+Market%2C+Lakshmipur/@22.944625,90.826984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 636 reviews

Name: Argosy Super Shop
link: https://www.google.com/maps/search/Argosy+Super+Shop/@22.9434905,90.8280961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Asif Telecom.
link: https://www.google.com/maps/search/Asif+Telecom./@22.9394797,90.82859189999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: rupaa ssttor
link: https://www.google.com/maps/search/%E0%A6%B0%E0%A7%81%E0%A6%AA%E0%A6%BE+%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@22.9376495,90.8288616?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: saahaadaat supaar shp
link: https://www.google.com/maps/search/%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A6%BE%E0%A6%A6%E0%A6%BE%E0%A6%A4+%E0%A6%B8%E0%A7%81%E0%A6%AA%E0%A6%BE%E0%A6%B0+%E0%A6%B6%E0%A6%AA/@22.9441712,90.8339776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Lakshmipur Pouro Super Market (Ye Zhu ),https://www.google.com/maps/contrib/108044669808778952780,https://lh5.googleusercontent.com/p/AF1QipOQ22WtrFIuYcbRX-JafZ526rfVoS3mfCXetW5e=w408-h305-k-no,Fu Zhuang Dian ,Fu Zhuang Dian ,4.1,09:00-22:00,Open All Days,,"Lakshmipur Pouro Super Market, Lakshmipur Sadar Road, lkssmiipur, Meng Jia La ","Gou Wu Zhong Xin , Shou Ji , Shi Chang , Jia Ge , Di Ban , Chan Pin , Dian Nao , Bao ",https://www.google.com/maps/place/Lakshmipur+Pouro+Super+Market/data=!4m7!3m6!1s0x3754c3d7f58ebdfb:0xa62fec8228fda0d8!8m2!3d22.9394871!4d90.8283389!16s%2Fg%2F1hc1wwt5r!19sChIJ-72O9dfDVDcR2KD9KILsL6Y?authuser=0&hl=zh-TW&rclk=1
ChIJXxn-h9bDVDcRW82KzjNTVWM,"New Market, Lakshmipur",,False,636,"Name: Lakshmipur Pouro Super Market
link: https://www.google.com/maps/search/Lakshmipur+Pouro+Super+Market/@22.939487099999997,90.82833889999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 770 reviews

Name: Lakshmipur Fish Market
link: https://www.google.com/maps/search/Lakshmipur+Fish+Market/@22.936614,90.8276281?authuser=0&hl=zh-TW&entry=ttu
Reviews: 441 reviews

Name: laxmipur goruhata
link: https://www.google.com/maps/search/laxmipur+goruhata/@22.949083299999998,90.8083175?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: rupaa ssttor
link: https://www.google.com/maps/search/%E0%A6%B0%E0%A7%81%E0%A6%AA%E0%A6%BE+%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@22.9376495,90.8288616?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: mesaars aaleyyaa aamir enttaarpraaij
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A7%87%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8+%E0%A6%86%E0%A6%B2%E0%A7%87%E0%A7%9F%E0%A6%BE+%E0%A6%86%E0%A6%AE%E0%A6%BF%E0%A6%B0+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%87%E0%A6%9C/@22.9454404,90.82384689999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,"New Market, Lakshmipur (Ye Zhu )",https://www.google.com/maps/contrib/106725394631754012400,https://lh5.googleusercontent.com/p/AF1QipMo7G_43oMH7H-18Qey0Ijw3ZfwhppcJ52Zu6MC=w408-h306-k-no,Za Huo Dian ,Za Huo Dian ,4,08:00-20:00,Open All Days,,"New Market, Lakshmipur, 04 M22, Lakshmipur, Meng Jia La ","Gong Che , Gou Wu Zhong Xin , Chan Pin ","https://www.google.com/maps/place/New+Market,+Lakshmipur/data=!4m7!3m6!1s0x3754c3d687fe195f:0x63555333ce8acd5b!8m2!3d22.944625!4d90.826984!16s%2Fg%2F11cmbns3dd!19sChIJXxn-h9bDVDcRW82KzjNTVWM?authuser=0&hl=zh-TW&rclk=1"
ChIJVUMnXWHBVDcRjsHFgWOpzUk,aabul tti sttor,,False,144,"Name: kaalaam caa dokaan
link: https://www.google.com/maps/search/%E0%A6%95%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%AE+%E0%A6%9A%E0%A6%BE+%E0%A6%A6%E0%A7%8B%E0%A6%95%E0%A6%BE%E0%A6%A8/@22.9401777,90.8281763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: haaruner ntun caayyer dokaan
link: https://www.google.com/maps/search/%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A7%81%E0%A6%A8%E0%A7%87%E0%A6%B0+%E0%A6%A8%E0%A6%A4%E0%A7%81%E0%A6%A8+%E0%A6%9A%E0%A6%BE%E0%A7%9F%E0%A7%87%E0%A6%B0+%E0%A6%A6%E0%A7%8B%E0%A6%95%E0%A6%BE%E0%A6%A8/@22.9110428,90.85440799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Bellal tea stor
link: https://www.google.com/maps/search/Bellal+tea+stor/@22.9567555,90.83662360000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Abul tea store
link: https://www.google.com/maps/search/Abul+tea+store/@22.9328742,90.8331097?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: shkher ghr
link: https://www.google.com/maps/search/%E0%A6%B6%E0%A6%96%E0%A7%87%E0%A6%B0+%E0%A6%98%E0%A6%B0/@22.9440548,90.8331173?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,aabul tti sttor (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPJl0WwTllWO1-xra2mke2beHfSb0ZFT8moTGOW=w408-h306-k-no,Cha Xie Dian ,Cha Xie Dian ,4.3,08:00-00:00,Open All Days,+880 1829-348987,"WRMJ+GWP aabul tti sttor, S R Rd, Lakshmipur, Meng Jia La ",Cha Dian ,https://www.google.com/maps/place/%E0%A6%86%E0%A6%AC%E0%A7%81%E0%A6%B2+%E0%A6%9F%E0%A6%BF+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/data=!4m7!3m6!1s0x3754c1615d274355:0x49cda96381c5c18e!8m2!3d22.9338302!4d90.8323287!16s%2Fg%2F12hv1n3rf!19sChIJVUMnXWHBVDcRjsHFgWOpzUk?authuser=0&hl=zh-TW&rclk=1
ChIJAWfsDNjDVDcRYH-DIyPy2x0,Cafe Queen,,False,92,"Name: Food Garden Restaurant & Party Center.
link: https://www.google.com/maps/search/Food+Garden+Restaurant+%26+Party+Center./@22.9387571,90.82853399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 182 reviews

Name: smir cttptti
link: https://www.google.com/maps/search/%E0%A6%B8%E0%A6%AE%E0%A6%BF%E0%A6%B0+%E0%A6%9A%E0%A6%9F%E0%A6%AA%E0%A6%9F%E0%A6%BF/@22.932156499999998,90.8267004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: griin cili phaassttphudd endd mini caainij
link: https://www.google.com/maps/search/%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%A8+%E0%A6%9A%E0%A6%BF%E0%A6%B2%E0%A6%BF+%E0%A6%AB%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%AB%E0%A7%81%E0%A6%A1+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%AE%E0%A6%BF%E0%A6%A8%E0%A6%BF+%E0%A6%9A%E0%A6%BE%E0%A6%87%E0%A6%A8%E0%A6%BF%E0%A6%9C/@22.943612599999998,90.8281478?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: phuskaa paark
link: https://www.google.com/maps/search/%E0%A6%AB%E0%A7%81%E0%A6%B8%E0%A6%95%E0%A6%BE+%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%95/@22.93433,90.8293606?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: bhaai bhaai hottel
link: https://www.google.com/maps/search/%E0%A6%AD%E0%A6%BE%E0%A6%87+%E0%A6%AD%E0%A6%BE%E0%A6%87+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2/@22.9450424,90.83477409999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",,Cafe Queen (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPQplpcK-quZENDs49IQxWCUMuWRRSXy67PO95e=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,05:01-00:00,Open All Days,,"WRRH+972 Cafe Queen, Lakshmipur Sadar Road, Lakshmipur, Meng Jia La ",,https://www.google.com/maps/place/Cafe+Queen/data=!4m7!3m6!1s0x3754c3d80cec6701:0x1ddbf22323837f60!8m2!3d22.940895!4d90.8281555!16s%2Fg%2F1hc5pmc8h!19sChIJAWfsDNjDVDcRYH-DIyPy2x0?authuser=0&hl=zh-TW&rclk=1
ChIJu-cazmvBVDcRJC_PDzwG_KU,Bokul Tea Store,,False,63,"Name: baahaar sttor bkultlaa
link: https://www.google.com/maps/search/%E0%A6%AC%E0%A6%BE%E0%A6%B9%E0%A6%BE%E0%A6%B0+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0+%E0%A6%AC%E0%A6%95%E0%A7%81%E0%A6%B2%E0%A6%A4%E0%A6%B2%E0%A6%BE/@22.9427694,90.79932439999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Habib ullah tea stall
link: https://www.google.com/maps/search/Habib+ullah+tea+stall/@22.950722499999998,90.8467232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Bellal tea stor
link: https://www.google.com/maps/search/Bellal+tea+stor/@22.9567555,90.83662360000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Babul Tea Stall
link: https://www.google.com/maps/search/Babul+Tea+Stall/@22.9176024,90.843604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: JAMAL TEA STALL
link: https://www.google.com/maps/search/JAMAL+TEA+STALL/@22.9382005,90.8292932?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Bokul Tea Store (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMKvSQ1q0MW7kxDRRc-1EN9OUAHq0HJJIm7KdSA=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,07:20-22:00,Open All Days,+880 1718-489927,"Bokul Tea Store, 3700 Lokkhipur Rd, Lakshmipur 3700Meng Jia La ",Lu Bian Tan ,https://www.google.com/maps/place/Bokul+Tea+Store/data=!4m7!3m6!1s0x3754c16bce1ae7bb:0xa5fc063c0fcf2f24!8m2!3d22.9307577!4d90.844242!16s%2Fg%2F11c0t9rkzx!19sChIJu-cazmvBVDcRJC_PDzwG_KU?authuser=0&hl=zh-TW&rclk=1
