place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ3abCixj_IkARjtFh9ZbbneU,Xan Lenkaran restaurant,,False,73,"Name: Borani Restoran (L@nk@ran Filiali)
link: https://www.google.com/maps/search/Boran%C4%B1+Restoran+%28L%C9%99nk%C9%99ran+Filial%C4%B1%29/@38.757690499999995,48.8546486?authuser=0&hl=zh-TW&entry=ttu
Reviews: 307 reviews

Name: DAD house Lankaran
link: https://www.google.com/maps/search/DAD+house+Lankaran/@38.753136,48.771854?authuser=0&hl=zh-TW&entry=ttu
Reviews: 91 reviews

Name: L@nk@ran G@ncl@r m@rk@zi
link: https://www.google.com/maps/search/L%C9%99nk%C9%99ran+G%C9%99ncl%C9%99r+m%C9%99rk%C9%99zi/@38.754053899999995,48.854751099999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Terrace Lankaran
link: https://www.google.com/maps/search/Terrace+Lankaran/@38.70879730000001,48.7541209?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Nehre Restaurant , Lenkeran
link: https://www.google.com/maps/search/Nehre+Restaurant+%2C+Lenkeran/@38.755937100000004,48.8342929?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://khanlankaran.com/,Xan Lenkaran restaurant (Ye Zhu ),https://www.google.com/maps/contrib/106741581654032274769,https://lh5.googleusercontent.com/p/AF1QipOQBZfipz4Fh8-GBuQ0E3xzodMB1ziH0pJY9lcc=w408-h272-k-no,Can Ting ,Can Ting ,4.2,07:00-00:00,Open All Days,+994 50 632 34 30,"Xan Lenkaran restaurant, L@nk@ran, Ya Sai Bai Jiang ","Jia Ge , Fan Dian , Ce Suo ",https://www.google.com/maps/place/Xan+Lenkaran+restaurant/data=!4m7!3m6!1s0x4022ff188bc2a6dd:0xe59ddb96f561d18e!8m2!3d38.7787079!4d48.8251412!16s%2Fg%2F11j8hgyqkq!19sChIJ3abCixj_IkARjtFh9ZbbneU?authuser=0&hl=zh-TW&rclk=1
ChIJfWqu61P_IkAR55veSlNY6hU,Tor coffee shop,,False,33,"Name: Lighthouse Coffee
link: https://www.google.com/maps/search/Lighthouse+Coffee/@38.759622799999995,48.855792199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: QUTABCI L@NK@RAN
link: https://www.google.com/maps/search/QUTAB%C3%87I+L%C6%8FNK%C6%8FRAN/@38.758223699999995,48.85433?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Retro Tea House
link: https://www.google.com/maps/search/Retro+Tea+House/@38.7584695,48.8536479?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Dostum Cay Evi
link: https://www.google.com/maps/search/Dostum+Cay+Evi/@38.7586577,48.8577984?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: CayXana
link: https://www.google.com/maps/search/CayXana/@38.753113899999995,48.8473537?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://torcoffeeshop.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Tor coffee shop (Ye Zhu ),https://www.google.com/maps/contrib/108124665689346928258,https://lh5.googleusercontent.com/p/AF1QipOQeeGJFDm0Dp7uvmGsDo0G9xJTUnUacbz569rK=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,10:00-22:00,Open All Days,+994 50 244 90 08,"Tor coffee shop, Gala Khiiabany 13, L@nk@ran 4224Ya Sai Bai Jiang ",,https://www.google.com/maps/place/Tor+coffee+shop/data=!4m7!3m6!1s0x4022ff53ebae6a7d:0x15ea58534ade9be7!8m2!3d38.7573181!4d48.8546689!16s%2Fg%2F11spxv_f04!19sChIJfWqu61P_IkAR55veSlNY6hU?authuser=0&hl=zh-TW&rclk=1
ChIJ4Q02sA79IkARRQCxYrIbgyM,Cay Qiragi,,False,9,"Name: VAHIDIN YERI XANBULAN
link: https://www.google.com/maps/search/VAH%C4%B0D%C4%B0N+YER%C4%B0+XANBULAN/@38.668293500000004,48.7714803?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://facebook.com/cayqiragi/,Cay Qiragi (Ye Zhu ),https://www.google.com/maps/contrib/104071732027089190930,https://lh5.googleusercontent.com/p/AF1QipNiNM_04_YDYM6TYSx1D91CpEd9NZDxuOCXqYvV=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,5,12:00-22:00,"Xing Qi Liu , Xing Qi Ri ",+994 55 564 53 47,"Cay Qiragi, Istisu selo ulitsa, Qird@ni, Ya Sai Bai Jiang ",,https://www.google.com/maps/place/%C3%87ay+Q%C4%B1ra%C4%9F%C4%B1/data=!4m7!3m6!1s0x4022fd0eb0360de1:0x23831bb262b10045!8m2!3d38.796679!4d48.7730989!16s%2Fg%2F11gj755fb8!19sChIJ4Q02sA79IkARRQCxYrIbgyM?authuser=0&hl=zh-TW&rclk=1
ChIJS4uiM8H_IkARvgzkN49nfMo,Bookland Lankaran Cafe,,False,8,"Name: Xan Lenkaran restaurant
link: https://www.google.com/maps/search/Xan+Lenkaran+restaurant/@38.7787079,48.8251412?authuser=0&hl=zh-TW&entry=ttu
Reviews: 73 reviews

Name: BULVAR LANKARAN
link: https://www.google.com/maps/search/BULVAR+LANKARAN/@38.7697401,48.849572699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Albali Cafe
link: https://www.google.com/maps/search/Albali+Cafe/@38.7633332,48.8401542?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: BLACK Playstation Cafe
link: https://www.google.com/maps/search/BLACK+Playstation+Cafe/@38.7611985,48.842493499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Lenkeran Cayxanasi
link: https://www.google.com/maps/search/Lenkeran+Cayxanasi/@38.7596893,48.8350693?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://instagram.com/bookland.lankaran,Bookland Lankaran Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPQ4T7olC0EGUx4gT7ndFYtSWI5QlB11DysJ9AO=w408-h670-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,09:00-23:30,Open All Days,+994 55 896 66 87,"QR8P+WV4 Bookland Lankaran Cafe, H@nif@ Abdullayev, L@nk@ran, Ya Sai Bai Jiang ",,https://www.google.com/maps/place/Bookland+Lankaran+Cafe/data=!4m7!3m6!1s0x4022ffc133a28b4b:0xca7c678f37e40cbe!8m2!3d38.7672524!4d48.8371954!16s%2Fg%2F11ggsn8tt_!19sChIJS4uiM8H_IkARvgzkN49nfMo?authuser=0&hl=zh-TW&rclk=1
ChIJC7-X2Wf_IkAR1FaaILKRyVw,QUTABCI L@NK@RAN,,False,8,"Name: Tor coffee shop
link: https://www.google.com/maps/search/Tor+coffee+shop/@38.7573181,48.8546689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Ip@k Yolu sirniyyat evi
link: https://www.google.com/maps/search/Ip%C9%99k+Yolu+%C5%9Firniyyat+evi/@38.7574811,48.8543045?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Bu gun pullu, sabah pulsuz
link: https://www.google.com/maps/search/Bu+g%C3%BCn+pullu%2C+sabah+pulsuz/@38.755605599999996,48.834415299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Xan kabab
link: https://www.google.com/maps/search/Xan+kabab/@38.774145499999996,48.84764020000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://instagram.com/qutabci_lenkeran,QUTABCI L@NK@RAN (Ye Zhu ),https://www.google.com/maps/contrib/104562094152510369461,https://lh5.googleusercontent.com/p/AF1QipMh1X_xothCfs_Zqmorzxcm0T02do9MFQg7iycD=w408-h290-k-no,Ka Pei Ting ,Ka Pei Ting ,3.4,09:00-00:00,Open All Days,+994 70 925 00 27,"QUTABCI L@NK@RAN, 1 T. Ismayilov, L@nk@ran 4200Ya Sai Bai Jiang ",,https://www.google.com/maps/place/QUTAB%C3%87I+L%C6%8FNK%C6%8FRAN/data=!4m7!3m6!1s0x4022ff67d997bf0b:0x5cc991b2209a56d4!8m2!3d38.7582237!4d48.85433!16s%2Fg%2F11fmqc09m9!19sChIJC7-X2Wf_IkAR1FaaILKRyVw?authuser=0&hl=zh-TW&rclk=1
ChIJ_cc2KwH_IkAR4Yl_3KMcybU,Bazarstore,,False,8,"Name: City Bazaar
link: https://www.google.com/maps/search/City+Bazaar/@38.7523084,48.8485346?authuser=0&hl=zh-TW&entry=ttu
Reviews: 90 reviews

Name: @li Market
link: https://www.google.com/maps/search/%C6%8Fli+Market/@38.7495148,48.8476206?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: MARKET
link: https://www.google.com/maps/search/MARKET/@38.758365399999995,48.8556915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: N@sibin dukani
link: https://www.google.com/maps/search/N%C9%99sibin+d%C3%BCkan%C4%B1/@38.757769499999995,48.854537199999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.bazarstore.az/,Bazarstore (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipN-yir6KvXgiAqta0_va2GU6IWDqAaaF9eGB2j-=w408-h725-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.9,08:00-23:00,Open All Days,+994 12 447 99 01,"Bazarstore, 3 Qala Xiyabani, L@nk@ran, Ya Sai Bai Jiang ",,https://www.google.com/maps/place/Bazarstore/data=!4m7!3m6!1s0x4022ff012b36c7fd:0xb5c91ca3dc7f89e1!8m2!3d38.757992!4d48.8541721!16s%2Fg%2F11s617b_q8!19sChIJ_cc2KwH_IkAR4Yl_3KMcybU?authuser=0&hl=zh-TW&rclk=1
ChIJMzXyp4z_IkAR89ahKoQ0_V0,L@nk@ran/M@rk@z Aptek,,False,5,"Name: Aptek
link: https://www.google.com/maps/search/Aptek/@38.7525249,48.8337618?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: ""HEYAT""aptek
link: https://www.google.com/maps/search/%22HEYAT%22aptek/@38.7569209,48.8534212?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Hacioglu Aptek
link: https://www.google.com/maps/search/Hac%C4%B1o%C4%9Flu+Aptek/@38.7652758,48.8424626?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Kanon aptek
link: https://www.google.com/maps/search/Kanon+aptek/@38.7547754,48.8521919?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Aptek DOKTA
link: https://www.google.com/maps/search/Aptek+DOKTA/@38.758732699999996,48.8377148?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://aptekonline.az/,L@nk@ran/M@rk@z Aptek (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPS5x5xOljgAk3l9cydOUXKRgV6h6uLEOQQsGvl=w408-h306-k-no,Yao Fang ,Yao Fang ,3,24 Xiao Shi Ying Ye ,Open All Days,+994 25 255 19 95,"QV32+VRW L@nk@ran/M@rk@z Aptek, H.Aslanov, L@nk@ran, Ya Sai Bai Jiang ",,https://www.google.com/maps/place/L%C9%99nk%C9%99ran%2FM%C9%99rk%C9%99z+Aptek/data=!4m7!3m6!1s0x4022ff8ca7f23533:0x5dfd34842aa1d6f3!8m2!3d38.7547492!4d48.852073!16s%2Fg%2F11c5_x8g0l!19sChIJMzXyp4z_IkAR89ahKoQ0_V0?authuser=0&hl=zh-TW&rclk=1
ChIJbcizQwj_IkARfNeDsOon5MM,Shaurma N1 Lenkeran,,False,5,"Name: BAG EVIM
link: https://www.google.com/maps/search/BAG+EVIM/@38.783879899999995,48.828065099999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: S@fali Restoran
link: https://www.google.com/maps/search/S%C9%99fal%C4%B1+Restoran/@38.7080869,48.8649128?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: D@niz Restoran
link: https://www.google.com/maps/search/D%C9%99niz+Restoran/@38.7620375,48.856203099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: My Garden
link: https://www.google.com/maps/search/My+Garden/@38.7605241,48.8540862?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Donerchi
link: https://www.google.com/maps/search/Donerchi/@38.7574811,48.8543045?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/shaurma.az,Shaurma N1 Lenkeran (Ye Zhu ),https://www.google.com/maps/contrib/101858396820341965455,https://lh5.googleusercontent.com/p/AF1QipN_9__Y5UjaGlw4up7kJvL6eHAsPaXRpCaezCvy=w408-h406-k-no,Kuai Can Dian ,Kuai Can Dian ,4.4,10:00-00:00,Open All Days,+994 55 252 28 12,"Shaurma N1 Lenkeran, L@nk@ran s@h@ri, ev.1 H@zi Aslanov, L@nk@ran 4200Ya Sai Bai Jiang ",,https://www.google.com/maps/place/Shaurma+N1+Lenkeran/data=!4m7!3m6!1s0x4022ff0843b3c86d:0xc3e427eab083d77c!8m2!3d38.7580058!4d48.8546767!16s%2Fg%2F11k4nvrkc6!19sChIJbcizQwj_IkARfNeDsOon5MM?authuser=0&hl=zh-TW&rclk=1
ChIJAQAAAIz_IkARsPsDPZHhmD8,Cay qiragi kafe,,False,4,"Name: Tor coffee shop
link: https://www.google.com/maps/search/Tor+coffee+shop/@38.7573181,48.8546689?authuser=0&hl=zh-TW&entry=ttu
Reviews: 33 reviews

Name: Cay Evi
link: https://www.google.com/maps/search/%C3%87ay+Evi/@38.7585719,48.8540085?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Cay Qiragi
link: https://www.google.com/maps/search/%C3%87ay+Q%C4%B1ra%C4%9F%C4%B1/@38.796679,48.77309890000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: D@niz Restoran
link: https://www.google.com/maps/search/D%C9%99niz+Restoran/@38.7620375,48.856203099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Restoran liman
link: https://www.google.com/maps/search/Restoran+liman/@38.7528845,48.847464699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/%25C3%2587ay-q%25C4%25B1ra%25C4%259F%25C4%25B1-117101148956400/,Cay qiragi kafe (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,4.3,,Open All Days,+994 55 564 53 47,"QR3W+5X4 Cay qiragi kafe, L@nk@ran, Ya Sai Bai Jiang ",,https://www.google.com/maps/place/%C3%87ay+q%C4%B1ra%C4%9F%C4%B1+kafe/data=!4m7!3m6!1s0x4022ff8c00000001:0x3f98e1913d03fbb0!8m2!3d38.7528845!4d48.8474647!16s%2Fg%2F11fy_dlsg1!19sChIJAQAAAIz_IkARsPsDPZHhmD8?authuser=0&hl=zh-TW&rclk=1
ChIJk5l9fD7_IkARVBlUjsb3-LU,Winners.club,,False,3,"Name: Taksim Corner Cafe Lounge
link: https://www.google.com/maps/search/Taksim+Corner+Cafe+Lounge/@38.7589983,48.856929099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Bu gun pullu, sabah pulsuz
link: https://www.google.com/maps/search/Bu+g%C3%BCn+pullu%2C+sabah+pulsuz/@38.755605599999996,48.834415299999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Sirinl@r sirniyyat evi & Restoran
link: https://www.google.com/maps/search/%C5%9Eirinl%C9%99r+%C5%9Firniyyat+evi+%26+Restoran/@38.756132099999995,48.840758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Lenkaran
link: https://www.google.com/maps/search/Lenkaran/@38.7576483,48.84918?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://winnersclub.com/,Winners.club (Ye Zhu ),,,Ka Pei Ting ,Ka Pei Ting ,2.7,,Open All Days,+994 50 879 06 16,"QR6R+RGC Winners.club, L@nk@ran, Ya Sai Bai Jiang ",,https://www.google.com/maps/place/Winners.club/data=!4m7!3m6!1s0x4022ff3e7c7d9993:0xb5f8f7c68e541954!8m2!3d38.7620582!4d48.8412542!16s%2Fg%2F11fm1834kc!19sChIJk5l9fD7_IkARVBlUjsb3-LU?authuser=0&hl=zh-TW&rclk=1
ChIJ7yHGP9b_IkARFDdxi003cnA,OBA market,,False,3,"Name: Panda Market
link: https://www.google.com/maps/search/Panda+Market/@38.7504834,48.8330054?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Bazarstore
link: https://www.google.com/maps/search/Bazarstore/@38.7587186,48.834722?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: @li Market
link: https://www.google.com/maps/search/%C6%8Fli+Market/@38.7495148,48.8476206?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Oba market
link: https://www.google.com/maps/search/Oba+market/@39.2152461,48.525459700000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: OBA MARKET
link: https://www.google.com/maps/search/OBA+MARKET/@38.7401546,48.831832999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://obamarket.az/,OBA market (Ye Zhu ),,,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.3,09:00-21:00,Open All Days,+994 12 404 25 25,"PRXM+WCR OBA market, M3, L@nk@ran, Ya Sai Bai Jiang ",,https://www.google.com/maps/place/OBA+market/data=!4m7!3m6!1s0x4022ffd63fc621ef:0x7072374d8b713714!8m2!3d38.7498623!4d48.8335145!16s%2Fg%2F11h3_84qpb!19sChIJ7yHGP9b_IkARFDdxi003cnA?authuser=0&hl=zh-TW&rclk=1
