place_id,place_name,about,link
ChIJbaw6qNa_jRIRADuWkdFIiVA,SARL PHENIX MIZRANA,All,https://lh5.googleusercontent.com/p/AF1QipMJ6fez68d4Nm1e0fy2M5QjLbfxAXYwyLGk7y0H=w644-h298-k-no
ChIJbaw6qNa_jRIRADuWkdFIiVA,SARL PHENIX MIZRANA,Food & drink,https://lh5.googleusercontent.com/p/AF1QipP2tPRyE0l4j7T9UjlVAzPvrBGq3w1zigIY1F2G=w298-h298-k-no
ChIJbaw6qNa_jRIRADuWkdFIiVA,SARL PHENIX MIZRANA,Videos,https://lh5.googleusercontent.com/p/AF1QipOaNh732Zzd2gxT_fH5RePM-eYKfBMUYZ3rKf2A=w224-h484-k-no
ChIJbaw6qNa_jRIRADuWkdFIiVA,SARL PHENIX MIZRANA,Coffee,https://lh5.googleusercontent.com/p/AF1QipPA35K3duRnvx4GA9yxdJZzvI_YH_KBEpRNIGOr=w644-h298-k-no
ChIJg3g4BXjFjRIRMgK80aLuOPU,Cafeteria majistic,All,https://lh5.googleusercontent.com/p/AF1QipPAzNHQPAPibZNrwaL0Y7IWuPTPX85hwS3s8Ds_=w224-h298-k-no
ChIJg3g4BXjFjRIRMgK80aLuOPU,Cafeteria majistic,Food & drink,https://lh5.googleusercontent.com/p/AF1QipMGviq1r3zUEKqK44COGt6sy4WvywKck2QVDEIN=w224-h299-k-no
ChIJITXGAFi_jRIRdo3WrpFCGKE,Cafeteria ICHIKAR,All,https://lh5.googleusercontent.com/p/AF1QipNELNC9cx6oh5LLrZ_StoivGOiDCnPCAyneo_h7=w569-h298-k-no
ChIJITXGAFi_jRIRdo3WrpFCGKE,Cafeteria ICHIKAR,By owner,https://lh5.googleusercontent.com/p/AF1QipObsWFysAEbHt03EYvsMZE6qiefUMucSxzTc4Yf=w636-h298-k-no
ChIJ2RAx2AXBjRIRmMqEbQZJupU,Cafeteria Moh Said (The),All,https://lh5.googleusercontent.com/p/AF1QipNxX6uBAIbrOCBKMuo0M_Z6JcJ_ytXLOpeDaxgO=w224-h298-k-no
ChIJ2RAx2AXBjRIRmMqEbQZJupU,Cafeteria Moh Said (The),Vibe,https://lh5.googleusercontent.com/p/AF1QipNxX6uBAIbrOCBKMuo0M_Z6JcJ_ytXLOpeDaxgO=w224-h298-k-no
ChIJ2RAx2AXBjRIRmMqEbQZJupU,Cafeteria Moh Said (The),By owner,https://lh5.googleusercontent.com/p/AF1QipNHu_XH_Ir_zqyqqNheMc0RxkGHTOFZAEo8XLUA=w224-h298-k-no
