place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJLY2H858_Ko4RWt5BJl6Vbus,CAFE RIO INTAG,,False,759,"Name: La Casa de Intag
link: https://www.google.com/maps/search/La+Casa+de+Intag/@0.2996918,-78.26549519999999?authuser=0&hl=en&entry=ttu
Reviews: 109 reviews

Name: AROMA Coffee & Gelato
link: https://www.google.com/maps/search/AROMA+Coffee+%26+Gelato/@0.29758979999999996,-78.2655236?authuser=0&hl=en&entry=ttu
Reviews: 56 reviews

Name: Espresso Rio Intag Otavalo
link: https://www.google.com/maps/search/Espresso+R%C3%ADo+Intag+Otavalo/@0.23003769999999996,-78.2626959?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Cafe Lafayette
link: https://www.google.com/maps/search/Caf%C3%A9+Lafayette/@0.29955509999999996,-78.2660346?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews

Name: O'ley Express
link: https://www.google.com/maps/search/O%27ley+Express/@0.2981506,-78.2659984?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews",http://aacri.com/,CAFE RIO INTAG (Owner),https://www.google.com/maps/contrib/116330610359283214275,https://lh5.googleusercontent.com/p/AF1QipOl1ri5H5yk156BRqh5matNfY2Z_VQn57QNiWyU=w426-h240-k-no,Coffee shop,Coffee shop,4.6,8 AM-10 PM,Open All Days,+593 99 095 8242,"CAFE RIO INTAG, 9 de Octubre 1006, Cotacachi, Ecuador","desserts, family, garden, product, conversation, quality, nature, decoration, panini, meeting",https://www.google.com/maps/place/CAFE+RIO+INTAG/data=!4m7!3m6!1s0x8e2a3f9ff3878d2d:0xeb6e955e2641de5a!8m2!3d0.2974245!4d-78.2642359!16s%2Fg%2F11v0xcwqww!19sChIJLY2H858_Ko4RWt5BJl6Vbus?authuser=0&hl=en&rclk=1
ChIJ75WUqf8VKo4RGZjspEPlwO0,La Cosecha Coffee & Bakery,,False,5,"Name: Semillas Coffee
link: https://www.google.com/maps/search/Semillas+Coffee/@0.22769779999999998,-78.2630891?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Pan Premium
link: https://www.google.com/maps/search/Pan+Premium/@0.23257789999999995,-78.25829279999999?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Consuelito la Hueca del sabor
link: https://www.google.com/maps/search/Consuelito+la+Hueca+del+sabor/@0.23696409999999998,-78.2656609?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: Social coffee
link: https://www.google.com/maps/search/Social+coffee/@0.2340261,-78.2611148?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: El Buen Sabor
link: https://www.google.com/maps/search/El+Buen+Sabor/@0.23113270000000002,-78.2613569?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",http://www.lacosechaec.com/,La Cosecha Coffee & Bakery (Owner),https://www.google.com/maps/contrib/114238929582179615269,https://lh5.googleusercontent.com/p/AF1QipOAdtBoUZicxmjPHP1BYNBfFX1qHa3-GLBZImxO=w520-h240-k-no,Coffee shop,Coffee shop,4.4,12-10 PM,"Monday, Tuesday",+593 98 377 5800,"La Cosecha Coffee & Bakery, antes del peaje Frente a la bomba de gasolina pdv, Panamericana norte, Ecuador",,https://www.google.com/maps/place/La+Cosecha+Coffee+%26+Bakery/data=!4m7!3m6!1s0x8e2a15ffa99495ef:0xedc0e543a4ec9819!8m2!3d0.2823966!4d-78.2385021!16s%2Fg%2F11trvs1t2d!19sChIJ75WUqf8VKo4RGZjspEPlwO0?authuser=0&hl=en&rclk=1
ChIJr5cLQn8_Ko4RHmMoNKC8cFE,Kafeto Brunch Cafe,,False,4,,https://www.facebook.com/kafeto.ecu,Kafeto Brunch Cafe (Owner),https://www.google.com/maps/contrib/106562084514306906082,https://lh5.googleusercontent.com/p/AF1QipPVSN6n4uaWOyHCK_JzR7Rp0hTwZQbjEviuzaqa=w408-h306-k-no,Coffee shop,Coffee shop,5,"7:30 AM-12:30 PM, 4-8 PM",Monday,+593 98 797 2458,"Kafeto Brunch Cafe, Cotacachi, Ecuador",,https://www.google.com/maps/place/Kafeto+Brunch+Caf%C3%A9/data=!4m7!3m6!1s0x8e2a3f7f420b97af:0x5170bca03428631e!8m2!3d0.2967215!4d-78.2657364!16s%2Fg%2F11vbxk8mh3!19sChIJr5cLQn8_Ko4RHmMoNKC8cFE?authuser=0&hl=en&rclk=1
ChIJMTesHTYTKo4RqYTsVtmZoSE,HIWA CAFE - BAR,,False,3,"Name: La Cosecha Coffee & Bakery
link: https://www.google.com/maps/search/La+Cosecha+Coffee+%26+Bakery/@0.23098210000000002,-78.2618526?authuser=0&hl=en&entry=ttu
Reviews: 524 reviews

Name: Nukanchik Coffee
link: https://www.google.com/maps/search/%C3%91ukanchik+Coffee/@0.23030730000000002,-78.261268?authuser=0&hl=en&entry=ttu
Reviews: 24 reviews

Name: Craft coffee house
link: https://www.google.com/maps/search/Craft+coffee+house/@0.2296308,-78.2617128?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: Machana Lounge, Gallery & Coffee
link: https://www.google.com/maps/search/Machana+Lounge%2C+Gallery+%26+Coffee/@0.2298168,-78.26160709999999?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Wasi Takeaway & Restaurant
link: https://www.google.com/maps/search/Wasi+Takeaway+%26+Restaurant/@0.22876739999999995,-78.263425?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://kichwa-cafe-bar.ola.click/,HIWA CAFE - BAR (Owner),https://www.google.com/maps/contrib/100844233909815310877,https://lh5.googleusercontent.com/p/AF1QipM7Wrp5w2VSOTjkk5iMhOjsfCaw3s6eg5qcJPR8=w408-h306-k-no,Coffee shop,Coffee shop,5,4-9 PM,Open All Days,+593 99 238 1521,"HIWA CAFE - BAR, San Pablo 34, Otavalo 100210, Ecuador",,https://www.google.com/maps/place/HIWA+CAF%C3%89+-+BAR/data=!4m7!3m6!1s0x8e2a13361dac3731:0x21a199d956ec84a9!8m2!3d0.2110395!4d-78.2096782!16s%2Fg%2F11k4xndw_n!19sChIJMTesHTYTKo4RqYTsVtmZoSE?authuser=0&hl=en&rclk=1
ChIJ1xwMXX0_Ko4RFdoG3ZgtH_s,TEMKA Specialty Coffee Shop & Brunch,,False,3,,https://instagram.com/temkacoffee.ec%3Figshid%3DMzRlODBiNWFlZA%3D%3D,TEMKA Specialty Coffee Shop & Brunch (Owner),https://www.google.com/maps/contrib/108373916983364016694,https://lh5.googleusercontent.com/p/AF1QipPhlc7f0Pl6jrK2A6oy9rJSLdTwJe7mS3ECTFmT=w408-h374-k-no,Coffee shop,Coffee shop,5,8 AM-8 PM,Open All Days,+593 99 766 0908,"TEMKA Specialty Coffee Shop & Brunch, Cotacachi, Ecuador",,https://www.google.com/maps/place/TEMKA+Specialty+Coffee+Shop+%26+Brunch/data=!4m7!3m6!1s0x8e2a3f7d5d0c1cd7:0xfb1f2d98dd06da15!8m2!3d0.2985982!4d-78.267682!16s%2Fg%2F11kqxqzlg9!19sChIJ1xwMXX0_Ko4RFdoG3ZgtH_s?authuser=0&hl=en&rclk=1
ChIJZwdSBM0VKo4RUPVzJenJ-UA,Splash - Una Explosion De Sabor,,False,1,"Name: La Cosecha Coffee & Bakery
link: https://www.google.com/maps/search/La+Cosecha+Coffee+%26+Bakery/@0.23098210000000002,-78.2618526?authuser=0&hl=en&entry=ttu
Reviews: 524 reviews

Name: Semillas Coffee
link: https://www.google.com/maps/search/Semillas+Coffee/@0.22769779999999998,-78.2630891?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: FRUTI MIX
link: https://www.google.com/maps/search/FRUTI+MIX/@0.2290933,-78.2620654?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews

Name: Pan Premium
link: https://www.google.com/maps/search/Pan+Premium/@0.23257789999999995,-78.25829279999999?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Bubble waffle
link: https://www.google.com/maps/search/Bubble+waffle/@0.22919199999999998,-78.26198289999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/splashunaexplosiondesabor/,Splash - Una Explosion De Sabor (Owner),https://www.google.com/maps/contrib/109417216426428282938,https://lh5.googleusercontent.com/p/AF1QipOYwZW1Ncyj2Sx1ae3OFXtQ4dKa9qhmCikmzzkg=w533-h240-k-no,Coffee shop,Coffee shop,4,10 AM-6:30 PM,Open All Days,+593 96 234 3468,"Splash - Una Explosion De Sabor, Segundo Piso De La Cafeteria Daily Grind, Calle Sucre Juan Montalvo, Otavalo 100450, Ecuador",,https://www.google.com/maps/place/Splash+-+Una+Explosi%C3%B3n+De+Sabor/data=!4m7!3m6!1s0x8e2a15cd04520767:0x40f9c9e92573f550!8m2!3d0.2264461!4d-78.2639988!16s%2Fg%2F11s599n_d2!19sChIJZwdSBM0VKo4RUPVzJenJ-UA?authuser=0&hl=en&rclk=1
ChIJNxdORXYVKo4Rz5B5pSMPg64,SPLASH - Una Explosion De Sabor!,,False,,"Name: La Cosecha Coffee & Bakery
link: https://www.google.com/maps/search/La+Cosecha+Coffee+%26+Bakery/@0.23098210000000002,-78.2618526?authuser=0&hl=en&entry=ttu
Reviews: 524 reviews

Name: Semillas Coffee
link: https://www.google.com/maps/search/Semillas+Coffee/@0.22769779999999998,-78.2630891?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Pan Premium
link: https://www.google.com/maps/search/Pan+Premium/@0.23257789999999995,-78.25829279999999?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: La Saboreana
link: https://www.google.com/maps/search/La+Saboreana/@0.19837069999999998,-78.23748789999999?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews",https://www.facebook.com/splashunaexplosiondesabor/,SPLASH - Una Explosion De Sabor! (Owner),https://www.google.com/maps/contrib/112157858463369018584,https://lh5.googleusercontent.com/p/AF1QipMY_9DAENp65rBbGK8N1JYwhYXkWj9mnphF_Gaj=w513-h240-k-no,Coffee shop,Coffee shop,,11 AM-9 PM,Open All Days,+593 96 234 3468,"SPLASH - Una Explosion De Sabor!, Avenida Juan De Albarrazin Entre Baltazar Pillajo, Y, Otavalo 100450, Ecuador",,https://www.google.com/maps/place/SPLASH+-+Una+Explosi%C3%B3n+De+Sabor!/data=!4m7!3m6!1s0x8e2a1576454e1737:0xae830f23a57990cf!8m2!3d0.2354079!4d-78.2540121!16s%2Fg%2F11t6yqf46c!19sChIJNxdORXYVKo4Rz5B5pSMPg64?authuser=0&hl=en&rclk=1
ChIJkXqbfpgVKo4RS5Cd7D0pyy4,TAYTA WASI (Specialty Coffee & Meeting Space),,False,223,"Name: La Cosecha Coffee & Bakery
link: https://www.google.com/maps/search/La+Cosecha+Coffee+%26+Bakery/@0.23098210000000002,-78.2618526?authuser=0&hl=en&entry=ttu
Reviews: 524 reviews

Name: Inty-Huasi
link: https://www.google.com/maps/search/Inty-Huasi/@0.230937,-78.2619436?authuser=0&hl=en&entry=ttu
Reviews: 296 reviews

Name: YANNUK | Coffee & Brunch
link: https://www.google.com/maps/search/YANNUK+%7C+Coffee+%26+Brunch/@0.22686630000000002,-78.2615781?authuser=0&hl=en&entry=ttu
Reviews: 183 reviews

Name: Cafe Pachamama
link: https://www.google.com/maps/search/Cafe+Pachamama/@0.2333978,-78.2642382?authuser=0&hl=en&entry=ttu
Reviews: 29 reviews

Name: Craft coffee house
link: https://www.google.com/maps/search/Craft+coffee+house/@0.2296308,-78.2617128?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews",,TAYTA WASI (Specialty Coffee & Meeting Space) (Owner),https://www.google.com/maps/contrib/102701490302246544978,https://lh5.googleusercontent.com/p/AF1QipPd4Qxs5pBm5gha-rFH7EMLNMoLZ8WkW5mje8y-=w408-h408-k-no,Coffee shop,Coffee shop,4.7,8 AM-9 PM,Open All Days,+593 99 207 8126,"TAYTA WASI (Specialty Coffee & Meeting Space), Bolivar 13-11 y Quito, Otavalo 100450, Ecuador","dessert, price, environment, cheesecake, wealth, espresso, tiramisu",https://www.google.com/maps/place/TAYTA+WASI+%28Specialty+Coffee+%26+Meeting+Space%29/data=!4m7!3m6!1s0x8e2a15987e9b7a91:0x2ecb293dec9d904b!8m2!3d0.2299647!4d-78.2605201!16s%2Fg%2F11h7fn4w_n!19sChIJkXqbfpgVKo4RS5Cd7D0pyy4?authuser=0&hl=en&rclk=1
ChIJUwEWyIYVKo4RaZcng0VxUd8,Cafe Catimor,,False,33,"Name: Cafe Cotacachi
link: https://www.google.com/maps/search/Cafe+Cotacachi/@0.2914931,-78.27805239999999?authuser=0&hl=en&entry=ttu
Reviews: 67 reviews

Name: AROMA Coffee & Gelato
link: https://www.google.com/maps/search/AROMA+Coffee+%26+Gelato/@0.29758979999999996,-78.2655236?authuser=0&hl=en&entry=ttu
Reviews: 56 reviews

Name: Cafe Lafayette
link: https://www.google.com/maps/search/Caf%C3%A9+Lafayette/@0.29955509999999996,-78.2660346?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews

Name: The Pastry Shop
link: https://www.google.com/maps/search/The+Pastry+Shop/@0.29607859999999997,-78.2653334?authuser=0&hl=en&entry=ttu
Reviews: 15 reviews

Name: O'ley Express
link: https://www.google.com/maps/search/O%27ley+Express/@0.2981506,-78.2659984?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews",,Cafe Catimor (Owner),,https://lh5.googleusercontent.com/p/AF1QipMp8DgVfDvqF8Q053NqZYJGKcI_0vnWb1m2Q4Cw=w408-h306-k-no,Coffee shop,Coffee shop,4.8,8:30 AM-8 PM,Open All Days,+593 6-249-1078,"7PVM+4RM Cafe Catimor, Calle Eloy Alfaro y Santa Cecilia, Cotacachi, Ecuador",environment,https://www.google.com/maps/place/Caf%C3%A9+Catimor/data=!4m7!3m6!1s0x8e2a1586c8160153:0xdf51714583279769!8m2!3d0.2928399!4d-78.2654481!16s%2Fg%2F11hymb2tjp!19sChIJUwEWyIYVKo4RaZcng0VxUd8?authuser=0&hl=en&rclk=1
ChIJ78gpGSo_Ko4RH1af2NzDkMI,La Barca,,False,13,"Name: Cafe Cotacachi
link: https://www.google.com/maps/search/Cafe+Cotacachi/@0.2914931,-78.27805239999999?authuser=0&hl=en&entry=ttu
Reviews: 67 reviews

Name: Cafe Catimor
link: https://www.google.com/maps/search/Caf%C3%A9+Catimor/@0.2928399,-78.2654481?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: The Pastry Shop
link: https://www.google.com/maps/search/The+Pastry+Shop/@0.29607859999999997,-78.2653334?authuser=0&hl=en&entry=ttu
Reviews: 15 reviews

Name: O'ley Express
link: https://www.google.com/maps/search/O%27ley+Express/@0.2981506,-78.2659984?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: Avelina
link: https://www.google.com/maps/search/Avelina/@0.29707430000000007,-78.26514519999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",,La Barca (Owner),,https://lh5.googleusercontent.com/p/AF1QipOY4BxpRbX34VIOuAtFhKh8mglU7w8pCd14cOU-=w408-h670-k-no,Coffee shop,Coffee shop,4.5,,Open All Days,,"8P3R+6GH La Barca, Gonzales Suarez, Cotacachi, Ecuador",,https://www.google.com/maps/place/La+Barca/data=!4m7!3m6!1s0x8e2a3f2a1929c8ef:0xc290c3dcd89f561f!8m2!3d0.3030738!4d-78.2586371!16s%2Fg%2F11j1f8xdyv!19sChIJ78gpGSo_Ko4RH1af2NzDkMI?authuser=0&hl=en&rclk=1
