place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_4nBf36_V5QRFmfoaX9Fl7k,Bonafide Cafe Posadas,,False,1843,"Name: Havanna Posadas
link: https://www.google.com/maps/search/Havanna+Posadas/@-27.3641935,-55.8943793?authuser=0&hl=en&entry=ttu
Reviews: 2678 reviews

Name: Cafe Paris
link: https://www.google.com/maps/search/Caf%C3%A9+Par%C3%ADs/@-27.3663888,-55.892559999999996?authuser=0&hl=en&entry=ttu
Reviews: 1793 reviews

Name: Bonafide Expresso
link: https://www.google.com/maps/search/Bonafide+Expresso/@-27.3676514,-55.8971661?authuser=0&hl=en&entry=ttu
Reviews: 937 reviews

Name: Cafelito Posadas
link: https://www.google.com/maps/search/Cafelito+Posadas/@-27.3626338,-55.8928635?authuser=0&hl=en&entry=ttu
Reviews: 24 reviews",https://m.facebook.com/BonafideCafePosadas,Bonafide Cafe Posadas (Owner),https://www.google.com/maps/contrib/100510755964204971837,https://lh5.googleusercontent.com/p/AF1QipNCxGbFrczz6zivQOWuBQs-sOp7GYTT3qx8hu2f=w408-h544-k-no,Coffee shop,"Coffee shop, Breakfast restaurant",4.3,7 AM-9:30 PM,Open All Days,+54 376 471-2022,"Bonafide Cafe Posadas, KKT, Felix de Azara 1656, N3301 Posadas, Misiones, Argentina","wealth, letter, games, licuado, setting, cold, fruit juice, chipa",https://www.google.com/maps/place/Bonafide+Caf%C3%A9+Posadas/data=!4m7!3m6!1s0x9457bf7e7fc189ff:0xb997457f69e86716!8m2!3d-27.3655671!4d-55.8934884!16s%2Fg%2F11h6gc3b5b!19sChIJ_4nBf36_V5QRFmfoaX9Fl7k?authuser=0&hl=en&rclk=1
ChIJQ7RtdYi_V5QR1cL3jS84h4w,Costumbres argentinas coffee shop,,False,415,"Name: Bonafide Cafe Posadas
link: https://www.google.com/maps/search/Bonafide+Caf%C3%A9+Posadas/@-27.3655671,-55.893488399999995?authuser=0&hl=en&entry=ttu
Reviews: 1843 reviews

Name: Cafe Paris
link: https://www.google.com/maps/search/Caf%C3%A9+Par%C3%ADs/@-27.3663888,-55.892559999999996?authuser=0&hl=en&entry=ttu
Reviews: 1791 reviews

Name: Cafe Colon
link: https://www.google.com/maps/search/Caf%C3%A9+Col%C3%B3n/@-27.3719425,-55.8952186?authuser=0&hl=en&entry=ttu
Reviews: 700 reviews

Name: CBP CAFETERIA
link: https://www.google.com/maps/search/CBP+CAFETERIA/@-27.374348599999998,-55.894799899999995?authuser=0&hl=en&entry=ttu
Reviews: 37 reviews

Name: Costumbres Argentinas Carniceria Granja Y Pescaderia
link: https://www.google.com/maps/search/Costumbres+Argentinas+Carniceria+Granja+Y+Pescaderia/@-27.3858926,-55.899976900000006?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews",https://costumbres.com.ar/,Costumbres argentinas coffee shop (Owner),https://www.google.com/maps/contrib/112921919358784628127,https://lh5.googleusercontent.com/p/AF1QipMckZs_wBUbRLhRdg29FJO7dd3fqrYr4TVHmDoK=w408-h272-k-no,Coffee shop,Coffee shop,4,"7 AM-12 PM, 4:30-8:30 PM",Open All Days,+54 9 376 425-5360,"Costumbres argentinas coffee shop, San Martin 1506 3300, N3300 Posadas, Misiones, Argentina","croissant, environment, merienda, empanadas, burger, wealth, experience, frozen, letter",https://www.google.com/maps/place/Costumbres+argentinas+coffee+shop/data=!4m7!3m6!1s0x9457bf88756db443:0x8c87382f8df7c2d5!8m2!3d-27.3662486!4d-55.8904744!16s%2Fg%2F11t9vysp01!19sChIJQ7RtdYi_V5QR1cL3jS84h4w?authuser=0&hl=en&rclk=1
ChIJw3hvjzK_V5QRDKm0keLa4pI,Toresco Cafe de Especialidad,,False,4,,https://instagram.com/torescocafe%3Figshid%3DMzRlODBiNWFlZA%3D%3D,Toresco Cafe de Especialidad (Owner),,https://lh5.googleusercontent.com/p/AF1QipN9HESdq6gYqL6a8b3P-kk0XTiG5Un9zRwSuhq0=w408-h725-k-no,Coffee shop,Coffee shop,5,"8 AM-12 PM, 4-8 PM",Sunday,+54 376 482-9030,"Toresco Cafe de Especialidad, Sarmiento 1868, Posadas, Misiones, Argentina",,https://www.google.com/maps/place/Toresco+Caf%C3%A9+de+Especialidad/data=!4m7!3m6!1s0x9457bf328f6f78c3:0x92e2dae291b4a90c!8m2!3d-27.3649989!4d-55.8939881!16s%2Fg%2F11v9xxgn1r!19sChIJw3hvjzK_V5QRDKm0keLa4pI?authuser=0&hl=en&rclk=1
ChIJpbPJtbK_V5QRbi926N5YWnM,Cafe Colon,,False,700,"Name: Cristobal Cafe Posadas
link: https://www.google.com/maps/search/Crist%C3%B3bal+Caf%C3%A9+Posadas/@-27.3606527,-55.888343799999994?authuser=0&hl=en&entry=ttu
Reviews: 3379 reviews

Name: Havanna Posadas
link: https://www.google.com/maps/search/Havanna+Posadas/@-27.3641935,-55.8943793?authuser=0&hl=en&entry=ttu
Reviews: 2678 reviews

Name: Cafe Paris
link: https://www.google.com/maps/search/Caf%C3%A9+Par%C3%ADs/@-27.3663888,-55.892559999999996?authuser=0&hl=en&entry=ttu
Reviews: 1791 reviews

Name: Toresco Cafe
link: https://www.google.com/maps/search/Toresco+Caf%C3%A9/@-27.3855403,-55.8999527?authuser=0&hl=en&entry=ttu
Reviews: 64 reviews

Name: Cafelito Posadas
link: https://www.google.com/maps/search/Cafelito+Posadas/@-27.3626338,-55.8928635?authuser=0&hl=en&entry=ttu
Reviews: 24 reviews",,Cafe Colon (Owner),https://www.google.com/maps/contrib/114359251404159960330,https://lh5.googleusercontent.com/p/AF1QipNwna_s6ooH6SDi55b-1x2n7uGXrpeUrtYAfx14=w408-h306-k-no,Coffee shop,"Coffee shop, Breakfast restaurant",4.6,"8:15 AM-12:30 PM, 5-8 PM",Sunday,+54 376 443-0545,"Cafe Colon, Colon 2343 3300, N3300 Posadas, Misiones, Argentina","mbeju, wealth, environment, mate cocido, fruit juice, reading, ideal, licuado",https://www.google.com/maps/place/Caf%C3%A9+Col%C3%B3n/data=!4m7!3m6!1s0x9457bfb2b5c9b3a5:0x735a58dee8762f6e!8m2!3d-27.3719425!4d-55.8952186!16s%2Fg%2F11c0qrtyb1!19sChIJpbPJtbK_V5QRbi926N5YWnM?authuser=0&hl=en&rclk=1
ChIJkSAK7nu_V5QR401jplRCtcQ,Tahona Sucursal,,False,447,"Name: Havanna Posadas
link: https://www.google.com/maps/search/Havanna+Posadas/@-27.3641935,-55.8943793?authuser=0&hl=en&entry=ttu
Reviews: 2678 reviews

Name: Panaderia Tahona
link: https://www.google.com/maps/search/Panader%C3%ADa+Tahona/@-27.3775373,-55.898818?authuser=0&hl=en&entry=ttu
Reviews: 1807 reviews

Name: Tahona Express
link: https://www.google.com/maps/search/Tahona+Express/@-27.368586,-55.895173199999995?authuser=0&hl=en&entry=ttu
Reviews: 60 reviews

Name: Panaderia Tahona Sucursal Ayacucho
link: https://www.google.com/maps/search/Panader%C3%ADa+Tahona+Sucursal+Ayacucho/@-27.366058199999998,-55.8967616?authuser=0&hl=en&entry=ttu
Reviews: 36 reviews",,Tahona Sucursal (Owner),,https://lh5.googleusercontent.com/p/AF1QipO1lc9kGzOwLrfU6vatzUjW52p6dR-27d61azC6=w408-h305-k-no,Coffee shop,Coffee shop,4.2,7 AM-10 PM,Open All Days,+54 376 444-0256,"Tahona Sucursal, Tucuman 2193, Posadas, Misiones, Argentina","products, price, breakfast, wealth, floor, sweet, bakery, accessible, table, croissant",https://www.google.com/maps/place/Tahona+Sucursal/data=!4m7!3m6!1s0x9457bf7bee0a2091:0xc4b54254a6634de3!8m2!3d-27.3722389!4d-55.8984567!16s%2Fg%2F11fsq390qz!19sChIJkSAK7nu_V5QR401jplRCtcQ?authuser=0&hl=en&rclk=1
ChIJxf4XVb2_V5QR5WyhjXKd-eE,Lolo Cafe Posadas,,False,38,"Name: Cafe Colon
link: https://www.google.com/maps/search/Caf%C3%A9+Col%C3%B3n/@-27.3719425,-55.8952186?authuser=0&hl=en&entry=ttu
Reviews: 700 reviews

Name: Bolivar Cafe
link: https://www.google.com/maps/search/Bolivar+Caf%C3%A9/@-27.3669734,-55.8944377?authuser=0&hl=en&entry=ttu
Reviews: 51 reviews

Name: Cafelito Posadas
link: https://www.google.com/maps/search/Cafelito+Posadas/@-27.3626338,-55.8928635?authuser=0&hl=en&entry=ttu
Reviews: 24 reviews

Name: Estacion 24
link: https://www.google.com/maps/search/Estacion+24/@-27.3663745,-55.894670899999994?authuser=0&hl=en&entry=ttu
Reviews: 9 reviews

Name: Local 27
link: https://www.google.com/maps/search/Local+27/@-27.4019837,-55.9146813?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",,Lolo Cafe Posadas (Owner),https://www.google.com/maps/contrib/117074227902534973305,https://lh5.googleusercontent.com/p/AF1QipMbLY7zHwCaD-_ysdrNv0fbzTZZZUVymVAS2jaa=w408-h544-k-no,Coffee shop,Coffee shop,4.4,"8 AM-12 PM, 5-8 PM",Sunday,,"Lolo Cafe Posadas, Av. Sta. Catalina 1905, N3301BNZ Posadas, Misiones, Argentina","price, ham, environment",https://www.google.com/maps/place/Lolo+Caf%C3%A9+Posadas/data=!4m7!3m6!1s0x9457bfbd5517fec5:0xe1f99d728da16ce5!8m2!3d-27.3665112!4d-55.9087167!16s%2Fg%2F11k4kfc0z6!19sChIJxf4XVb2_V5QR5WyhjXKd-eE?authuser=0&hl=en&rclk=1
ChIJcWtppB-9V5QRS211cyw3I_I,Chocolates artesanales,,False,32,"Name: Cafelito Posadas
link: https://www.google.com/maps/search/Cafelito+Posadas/@-27.3626338,-55.8928635?authuser=0&hl=en&entry=ttu
Reviews: 24 reviews

Name: Chocolates en Posadas
link: https://www.google.com/maps/search/Chocolates+en+Posadas/@-27.361794399999997,-55.896189400000004?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: Chocomensajes Posadas
link: https://www.google.com/maps/search/Chocomensajes+Posadas/@-27.393280299999997,-55.947534399999995?authuser=0&hl=en&entry=ttu
Reviews: 11 reviews

Name: Chocolate Caliente
link: https://www.google.com/maps/search/Chocolate+Caliente/@-27.395396899999998,-55.9016337?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews",,Chocolates artesanales (Owner),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dTZpua98V_LnBDqbM1Sylw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=312.2586&pitch=0&thumbfov=100,Coffee shop,Coffee shop,4.5,,Open All Days,+54 376 507-6865,"Chocolates artesanales, C. 92, Posadas, Misiones, Argentina",,https://www.google.com/maps/place/Chocolates+artesanales/data=!4m7!3m6!1s0x9457bd1fa4696b71:0xf223372c73756d4b!8m2!3d-27.3847484!4d-55.9508476!16s%2Fg%2F11qzrf3gv9!19sChIJcWtppB-9V5QRS211cyw3I_I?authuser=0&hl=en&rclk=1
ChIJ03tYfmW_V5QRIOrGRtKOYk4,Warhol Bunker,,False,31,,,Warhol Bunker (Owner),,https://lh5.googleusercontent.com/p/AF1QipPF11vGaVhna8BpP0w375RCOIlQ7zEdr1DZYZMq=w408-h306-k-no,Coffee shop,Coffee shop,4.4,"8 AM-1 PM, 4-10 PM","Saturday, Sunday",,"Warhol Bunker, Buenos Aires 1369, N3301IJE Posadas, Misiones, Argentina","environment, carrot cake",https://www.google.com/maps/place/Warhol+Bunker/data=!4m7!3m6!1s0x9457bf657e587bd3:0x4e628ed246c6ea20!8m2!3d-27.363095!4d-55.891857!16s%2Fg%2F11v3rj99j8!19sChIJ03tYfmW_V5QRIOrGRtKOYk4?authuser=0&hl=en&rclk=1
ChIJO5ijGV2_V5QRdevNAib2ORw,Cafelito Posadas,,False,24,"Name: Bonafide Cafe Posadas
link: https://www.google.com/maps/search/Bonafide+Caf%C3%A9+Posadas/@-27.3655671,-55.893488399999995?authuser=0&hl=en&entry=ttu
Reviews: 1843 reviews

Name: Cafe Paris
link: https://www.google.com/maps/search/Caf%C3%A9+Par%C3%ADs/@-27.3663888,-55.892559999999996?authuser=0&hl=en&entry=ttu
Reviews: 1793 reviews

Name: Cafe Colon
link: https://www.google.com/maps/search/Caf%C3%A9+Col%C3%B3n/@-27.3719425,-55.8952186?authuser=0&hl=en&entry=ttu
Reviews: 700 reviews

Name: Toresco Cafe
link: https://www.google.com/maps/search/Toresco+Caf%C3%A9/@-27.3855403,-55.8999527?authuser=0&hl=en&entry=ttu
Reviews: 64 reviews

Name: El Murito
link: https://www.google.com/maps/search/El+Murito/@-27.377827099999998,-55.9235779?authuser=0&hl=en&entry=ttu
Reviews: 25 reviews",,Cafelito Posadas (Owner),,https://lh5.googleusercontent.com/p/AF1QipO72ILHohu7NS87OyhPz4nQrZUo6P1iGx-UZ79U=w408-h544-k-no,Coffee shop,Coffee shop,4.5,"7 AM-12:30 PM, 5-8 PM","Saturday, Sunday",,"Cafelito Posadas, Felix de Azara 1331, N3300KKP Posadas, Misiones, Argentina",,https://www.google.com/maps/place/Cafelito+Posadas/data=!4m7!3m6!1s0x9457bf5d19a3983b:0x1c39f62602cdeb75!8m2!3d-27.3626338!4d-55.8928635!16s%2Fg%2F11hztb9n5j!19sChIJO5ijGV2_V5QRdevNAib2ORw?authuser=0&hl=en&rclk=1
ChIJ8WYO0U-_V5QRSX9bYt2R5Bw,Cafe universitario,,False,8,"Name: Havanna Posadas
link: https://www.google.com/maps/search/Havanna+Posadas/@-27.3641935,-55.8943793?authuser=0&hl=en&entry=ttu
Reviews: 2678 reviews

Name: Cafe Colon
link: https://www.google.com/maps/search/Caf%C3%A9+Col%C3%B3n/@-27.3719425,-55.8952186?authuser=0&hl=en&entry=ttu
Reviews: 700 reviews

Name: Toresco Cafe
link: https://www.google.com/maps/search/Toresco+Caf%C3%A9/@-27.3855403,-55.8999527?authuser=0&hl=en&entry=ttu
Reviews: 64 reviews

Name: Cafe Coffe Break
link: https://www.google.com/maps/search/Cafe+Coffe+Break/@-27.3669734,-55.8944377?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: Mango Coffice
link: https://www.google.com/maps/search/Mango+Coffice/@-27.3647098,-55.892029099999995?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",,Cafe universitario (Owner),,https://lh5.googleusercontent.com/p/AF1QipNLvLZcdtzEhsCAARGLFXUw__stm_mHprvH6LOW=w408-h306-k-no,Coffee shop,Coffee shop,4.1,,Open All Days,,"Cafe universitario, Cmte. Rebollo 2062, N3300 Posadas, Misiones, Argentina",,https://www.google.com/maps/place/Caf%C3%A9+universitario/data=!4m7!3m6!1s0x9457bf4fd10e66f1:0x1ce491dd625b7f49!8m2!3d-27.3771077!4d-55.8979086!16s%2Fg%2F11s7d67z6k!19sChIJ8WYO0U-_V5QRSX9bYt2R5Bw?authuser=0&hl=en&rclk=1
