place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ1fvZHujKSIgRzLkRu8ZHDyw,Tim Hortons,"Canadian chain for signature premium-blend coffee, plus light fare, pastries & breakfast sandwiches.",True,525,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@38.387796,-81.824282?authuser=0&hl=en&entry=ttu
Reviews: 1217 reviews

Name: Dwight's Of St. Albans
link: https://www.google.com/maps/search/Dwight%27s+Of+St.+Albans/@38.3881753,-81.83120980000001?authuser=0&hl=en&entry=ttu
Reviews: 1115 reviews

Name: River's Edge Cafe
link: https://www.google.com/maps/search/River%27s+Edge+Cafe/@38.385987,-81.835703?authuser=0&hl=en&entry=ttu
Reviews: 679 reviews

Name: Tudor's Biscuit World
link: https://www.google.com/maps/search/Tudor%27s+Biscuit+World/@38.3858671,-81.8415026?authuser=0&hl=en&entry=ttu
Reviews: 342 reviews

Name: Coal River Coffee Company
link: https://www.google.com/maps/search/Coal+River+Coffee+Company/@38.3861139,-81.8378109?authuser=0&hl=en&entry=ttu
Reviews: 312 reviews",https://locations.timhortons.com/en/wv/saint-albans/223-maccorkle-ave/,Tim Hortons (Owner),https://www.google.com/maps/contrib/103224382234447801468,https://lh5.googleusercontent.com/p/AF1QipO5qCVEhEcwe9RPpAucFunYlsOwm2tp1rC2OKMh=w408-h306-k-no,Coffee shop,"Coffee shop, Bakery, Breakfast restaurant, Cafe, Donut shop, Fast food restaurant",3.8,5 AM-7 PM,Open All Days,(304) 722-3925,"Tim Hortons, 223 Maccorkle Ave, St Albans, WV 25177","donuts, ice cream, bagel, drive thru, timbits, pastries, breakfast sandwiches, bacon, clean, vanilla",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x8848cae81ed9fbd5:0x2c0f47c6bb11b9cc!8m2!3d38.3892647!4d-81.834185!16s%2Fg%2F1vm7c47k!19sChIJ1fvZHujKSIgRzLkRu8ZHDyw?authuser=0&hl=en&rclk=1
ChIJtUXOwSzTSIgR0CKHtO6S9_A,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,710,"Name: Charleys Cheesesteaks
link: https://www.google.com/maps/search/Charleys+Cheesesteaks/@38.3535764,-81.6380135?authuser=0&hl=en&entry=ttu
Reviews: 242 reviews

Name: Swiftwater Cafe
link: https://www.google.com/maps/search/Swiftwater+Cafe/@38.3516914,-81.63218140000001?authuser=0&hl=en&entry=ttu
Reviews: 184 reviews

Name: Sarku Japan
link: https://www.google.com/maps/search/Sarku+Japan/@38.3537213,-81.63729769999999?authuser=0&hl=en&entry=ttu
Reviews: 176 reviews

Name: Appalachian Tea
link: https://www.google.com/maps/search/Appalachian+Tea/@38.3620255,-81.6425502?authuser=0&hl=en&entry=ttu
Reviews: 64 reviews

Name: Great Lakes Coffee
link: https://www.google.com/maps/search/Great+Lakes+Coffee/@38.35,-81.64?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com/store-locator/store/15125/,Starbucks (Owner),https://www.google.com/maps/contrib/102715211645283368483,https://lh5.googleusercontent.com/p/AF1QipMtKI3kgyrvem1Kw5VXRJnXSvgGq9H47WbVG2DF=w422-h240-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4,,Open All Days,(304) 346-1634,"Starbucks, 3000 Charleston Town Center, Charleston, WV 25389","drive thru, mall, walking, latte, name, mocha, mobile, sandwich, quick service, pay",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x8848d32cc1ce45b5:0xf0f792eeb48722d0!8m2!3d38.3538007!4d-81.6377092!16s%2Fg%2F1tfgkhr2!19sChIJtUXOwSzTSIgR0CKHtO6S9_A?authuser=0&hl=en&rclk=1
ChIJsUI4nCY_dkgRhqw0Xv02LFc,Costa Coffee,"Counter-service coffee chain offering hot drinks, iced coolers, sweet snacks and sandwiches.",False,585,"Name: Pret a Manger
link: https://www.google.com/maps/search/Pret+a+Manger/@51.75316,-0.33815?authuser=0&hl=en&entry=ttu
Reviews: 488 reviews

Name: Caffe Nero
link: https://www.google.com/maps/search/Caff%C3%A8+Nero/@51.7519479,-0.33947649999999996?authuser=0&hl=en&entry=ttu
Reviews: 454 reviews

Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@51.750985799999995,-0.3405396?authuser=0&hl=en&entry=ttu
Reviews: 334 reviews

Name: Cafe Roma - St Albans
link: https://www.google.com/maps/search/Cafe+Roma+-+St+Albans/@51.754565899999996,-0.3365959?authuser=0&hl=en&entry=ttu
Reviews: 283 reviews

Name: Cafe on the Corner.
link: https://www.google.com/maps/search/Cafe+on+the+Corner./@51.7555474,-0.3379564?authuser=0&hl=en&entry=ttu
Reviews: 76 reviews",https://www.costa.co.uk/,Costa Coffee (Owner),https://www.google.com/maps/contrib/116157164133340124899,https://lh5.googleusercontent.com/p/AF1QipOnadx1Yc0yu_lEYTTh8UtG1HmaqdVTq_rYNrrK=w408-h246-k-no,Coffee shop,"Coffee shop, Cafe, Coffee store",4.1,6 AM-7 PM,Open All Days,+44 333 003 5883,"Costa Coffee, 29 St Peter's St, St Albans AL1 3DP, United Kingdom","atmosphere, toilet, cakes, clean, tables, latte, sitting, floor, sandwiches, cups",https://www.google.com/maps/place/Costa+Coffee/data=!4m7!3m6!1s0x48763f269c3842b1:0x572c36fd5e34ac86!8m2!3d51.7533!4d-0.338238!16s%2Fg%2F1yh9tvckc!19sChIJsUI4nCY_dkgRhqw0Xv02LFc?authuser=0&hl=en&rclk=1
ChIJHc8uDCQ_dkgRmO-cn-uaEEQ,Caffe Nero,Casual coffee shop with a menu of light dishes & specially blended hot & cold drinks.,False,454,"Name: Costa Coffee
link: https://www.google.com/maps/search/Costa+Coffee/@51.753299999999996,-0.338238?authuser=0&hl=en&entry=ttu
Reviews: 585 reviews

Name: Starbucks Coffee
link: https://www.google.com/maps/search/Starbucks+Coffee/@51.750985799999995,-0.3405396?authuser=0&hl=en&entry=ttu
Reviews: 334 reviews

Name: Cafe Roma - St Albans
link: https://www.google.com/maps/search/Cafe+Roma+-+St+Albans/@51.754565899999996,-0.3365959?authuser=0&hl=en&entry=ttu
Reviews: 283 reviews

Name: Nkora Coffee - St Albans
link: https://www.google.com/maps/search/Nkora+Coffee+-+St+Albans/@51.7518521,-0.3395293?authuser=0&hl=en&entry=ttu
Reviews: 278 reviews

Name: Cafe on the Corner.
link: https://www.google.com/maps/search/Cafe+on+the+Corner./@51.7555474,-0.3379564?authuser=0&hl=en&entry=ttu
Reviews: 76 reviews",https://caffenero.com/uk/store/st-albans-616/%3Futm_source%3DGMB%26utm_medium%3Dorganic%26utm_campaign%3Dst_albans_market_place,Caffe Nero (Owner),https://www.google.com/maps/contrib/114272412809700365653,https://lh5.googleusercontent.com/p/AF1QipMpGbPA7yMuynwnkk0yw46thHe_kwciiQUxdgfH=w479-h240-k-no,Coffee shop,Coffee shop,4.1,7 AM-6:30 PM,Open All Days,+44 1727 899392,"Caffe Nero, 30-32 Market Pl, St Albans AL3 5DG, United Kingdom","queue, dog, tables, cakes, floor, barista, cup, meeting, toilet, clean",https://www.google.com/maps/place/Caff%C3%A8+Nero/data=!4m7!3m6!1s0x48763f240c2ecf1d:0x44109aeb9f9cef98!8m2!3d51.7519479!4d-0.3394765!16s%2Fg%2F11b5whzhzb!19sChIJHc8uDCQ_dkgRmO-cn-uaEEQ?authuser=0&hl=en&rclk=1
ChIJ51GWIkKySIgRqnj-UqMzaAE,Dunkin',Long-running chain serving signature breakfast items & a variety of coffee drinks.,False,378,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@38.43874,-82.0175247?authuser=0&hl=en&entry=ttu
Reviews: 907 reviews

Name: Taco Bell
link: https://www.google.com/maps/search/Taco+Bell/@38.4421738,-82.01999099999999?authuser=0&hl=en&entry=ttu
Reviews: 567 reviews

Name: Tudor's Biscuit World
link: https://www.google.com/maps/search/Tudor%27s+Biscuit+World/@38.437577,-82.016674?authuser=0&hl=en&entry=ttu
Reviews: 546 reviews

Name: Arby's
link: https://www.google.com/maps/search/Arby%27s/@38.4426049,-82.0200188?authuser=0&hl=en&entry=ttu
Reviews: 365 reviews

Name: KFC
link: https://www.google.com/maps/search/KFC/@38.4426705,-82.02076919999999?authuser=0&hl=en&entry=ttu
Reviews: 353 reviews",https://locations.dunkindonuts.com/en/wv/hurricane/308-hurricane-creek-rd/352027%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Dlocalmaps%26utm_content%3D352027%26y_source%3D1_MTIxMTE0ODgtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,Dunkin' (Owner),https://www.google.com/maps/contrib/108036256755940540862,https://lh5.googleusercontent.com/p/AF1QipMMhMPngfVql8tNC_BSrY41R6Y_RhN9jw19dt5z=w426-h240-k-no,Coffee shop,"Coffee shop, Bagel shop, Bakery, Breakfast restaurant, Donut shop, Fast food restaurant, Takeout Restaurant",4.1,5 AM-9 PM,Open All Days,(681) 233-4001,"Dunkin', 308 Hurricane Creek Rd, Hurricane, WV 25526","donuts, drive thru, morning, cream, price, gas station, quick service, manager, sugar",https://www.google.com/maps/place/Dunkin%27/data=!4m7!3m6!1s0x8848b242229651e7:0x16833a352fe78aa!8m2!3d38.4383619!4d-82.0170886!16s%2Fg%2F11btmr5ylw!19sChIJ51GWIkKySIgRqnj-UqMzaAE?authuser=0&hl=en&rclk=1
ChIJkTBHTnwrT4gR0j60kuwEQEs,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,371,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@38.327898999999995,-81.6015163?authuser=0&hl=en&entry=ttu
Reviews: 1567 reviews

Name: Donut Connection
link: https://www.google.com/maps/search/Donut+Connection/@38.3280558,-81.5977173?authuser=0&hl=en&entry=ttu
Reviews: 302 reviews

Name: Mea Cuppa Coffee Lounge
link: https://www.google.com/maps/search/Mea+Cuppa+Coffee+Lounge/@38.3606397,-81.640022?authuser=0&hl=en&entry=ttu
Reviews: 207 reviews

Name: Mea Cuppa Coffeebar
link: https://www.google.com/maps/search/Mea+Cuppa+Coffeebar/@38.3520191,-81.6276352?authuser=0&hl=en&entry=ttu
Reviews: 131 reviews

Name: Appalachian Tea
link: https://www.google.com/maps/search/Appalachian+Tea/@38.3620255,-81.6425502?authuser=0&hl=en&entry=ttu
Reviews: 64 reviews",https://www.starbucks.com/store-locator/store/1025734,Starbucks (Owner),https://www.google.com/maps/contrib/105373137141629960250,https://lh5.googleusercontent.com/p/AF1QipNrp8hkoT69v7MLcQrLRI28pOaffzSy3EoAVb3B=w408-h306-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.2,5 AM-10 PM,Open All Days,(304) 859-9975,"Starbucks, 3320 MacCorkle Ave SE, Charleston, WV 25304","drive thru, mocha, morning, mobile, baristas, frappe, chocolate, drinks, foam, hospital",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x884f2b7c4e473091:0x4b4004ec92b43ed2!8m2!3d38.3286556!4d-81.6005062!16s%2Fg%2F11h5mq8cmb!19sChIJkTBHTnwrT4gR0j60kuwEQEs?authuser=0&hl=en&rclk=1
ChIJ57MPr8EaykwREbKljN0lCOI,Catalyst Coffee Bar,,False,362,"Name: The Traveled Cup
link: https://www.google.com/maps/search/The+Traveled+Cup/@44.813159000000006,-73.083258?authuser=0&hl=en&entry=ttu
Reviews: 329 reviews

Name: Green Mountain Cafe
link: https://www.google.com/maps/search/Green+Mountain+Cafe/@44.8119289,-73.1036611?authuser=0&hl=en&entry=ttu
Reviews: 223 reviews

Name: Feldmans Bagels
link: https://www.google.com/maps/search/Feldmans+Bagels/@44.814868399999995,-73.0817327?authuser=0&hl=en&entry=ttu
Reviews: 110 reviews",https://catalystcoffeebar.com/,Catalyst Coffee Bar (Owner),https://www.google.com/maps/contrib/110862115118655436001,https://lh5.googleusercontent.com/p/AF1QipOU-J-6dm2oD9E91Z8_UuSYm0DOPKVwiyCsUlAu=w427-h240-k-no,Coffee shop,"Coffee shop, Cafe, Tea house",4.8,7 AM-2 PM,Open All Days,(802) 393-4404,"Catalyst Coffee Bar, 10 Lake St Suite 2, St Albans City, VT 05478","atmosphere, bakery, latte, baristas, space, pastry, vacuum coffee maker, dog, gem",https://www.google.com/maps/place/Catalyst+Coffee+Bar/data=!4m7!3m6!1s0x4cca1ac1af0fb3e7:0xe20825dd8ca5b211!8m2!3d44.8107153!4d-73.0840484!16s%2Fg%2F11c0pnjpl6!19sChIJ57MPr8EaykwREbKljN0lCOI?authuser=0&hl=en&rclk=1
ChIJ7Zh2isEaykwR2diud3E6TUo,The Traveled Cup,,False,329,"Name: Catalyst Coffee Bar
link: https://www.google.com/maps/search/Catalyst+Coffee+Bar/@44.8107153,-73.0840484?authuser=0&hl=en&entry=ttu
Reviews: 362 reviews

Name: Dunkin'
link: https://www.google.com/maps/search/Dunkin%27/@44.7951516,-73.072923?authuser=0&hl=en&entry=ttu
Reviews: 278 reviews

Name: Green Mountain Cafe
link: https://www.google.com/maps/search/Green+Mountain+Cafe/@44.8119289,-73.1036611?authuser=0&hl=en&entry=ttu
Reviews: 223 reviews

Name: Tatro's Soup & Sandwich
link: https://www.google.com/maps/search/Tatro%27s+Soup+%26+Sandwich/@44.8120287,-73.083833?authuser=0&hl=en&entry=ttu
Reviews: 164 reviews",http://traveledcup.com/,The Traveled Cup (Owner),https://www.google.com/maps/contrib/114210812152550655206,https://lh5.googleusercontent.com/p/AF1QipNxNg_rYrqxKhRX1q_Tv1qv7ii46qzU8Szab58s=w489-h240-k-no,Coffee shop,"Coffee shop, Cafe, Ice cream shop, Pastry shop, Restaurant, Salad shop, Sandwich shop, Tea house, Wine bar",4.5,7 AM-5 PM,Open All Days,(802) 524-2037,"The Traveled Cup, 94 N Main St, St Albans City, VT 05478","atmosphere, quiche, sandwich, breakfast burrito, baked goods, lunch, soup, salad, book, scone",https://www.google.com/maps/place/The+Traveled+Cup/data=!4m7!3m6!1s0x4cca1ac18a7698ed:0x4a4d3a7177aed8d9!8m2!3d44.813159!4d-73.083258!16s%2Fg%2F11b5yswf7p!19sChIJ7Zh2isEaykwR2diud3E6TUo?authuser=0&hl=en&rclk=1
ChIJQ4yC42ctT4gRuX9gLk1X4Mc,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,293,"Name: Donut Connection
link: https://www.google.com/maps/search/Donut+Connection/@38.3280558,-81.5977173?authuser=0&hl=en&entry=ttu
Reviews: 302 reviews

Name: Mea Cuppa Coffee Lounge
link: https://www.google.com/maps/search/Mea+Cuppa+Coffee+Lounge/@38.3606397,-81.640022?authuser=0&hl=en&entry=ttu
Reviews: 207 reviews

Name: Daily Dose Cafe
link: https://www.google.com/maps/search/Daily+Dose+Cafe/@38.317562099999996,-81.5744323?authuser=0&hl=en&entry=ttu
Reviews: 143 reviews

Name: Mea Cuppa Coffeebar
link: https://www.google.com/maps/search/Mea+Cuppa+Coffeebar/@38.3520191,-81.6276352?authuser=0&hl=en&entry=ttu
Reviews: 131 reviews

Name: Appalachian Tea
link: https://www.google.com/maps/search/Appalachian+Tea/@38.3620255,-81.6425502?authuser=0&hl=en&entry=ttu
Reviews: 64 reviews",https://www.starbucks.com/store-locator/store/1013547,Starbucks (Owner),https://www.google.com/maps/contrib/104490992182185257389,https://lh5.googleusercontent.com/p/AF1QipMQqqOfiIMIOr-YcFpnxvuWN8YmrYG0e_mWnvis=w408-h544-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.2,5 AM-9 PM,Open All Days,(304) 400-5331,"Starbucks, 112 Kanawha Blvd E, Charleston, WV 25301","drive thru, latte, products, baristas, parking, cup, breakfast",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x884f2d67e3828c43:0xc7e0574d2e607fb9!8m2!3d38.3538934!4d-81.642671!16s%2Fg%2F11h6m8kcy3!19sChIJQ4yC42ctT4gRuX9gLk1X4Mc?authuser=0&hl=en&rclk=1
ChIJORo-Aq0aykwRaOjEAKF2tZs,Dunkin',Long-running chain serving signature breakfast items & a variety of coffee drinks.,False,279,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@44.8376898,-73.08069929999999?authuser=0&hl=en&entry=ttu
Reviews: 690 reviews

Name: The Traveled Cup
link: https://www.google.com/maps/search/The+Traveled+Cup/@44.813159000000006,-73.083258?authuser=0&hl=en&entry=ttu
Reviews: 329 reviews

Name: Feldmans Bagels
link: https://www.google.com/maps/search/Feldmans+Bagels/@44.814868399999995,-73.0817327?authuser=0&hl=en&entry=ttu
Reviews: 110 reviews

Name: Hangry The Donut Bar
link: https://www.google.com/maps/search/Hangry+The+Donut+Bar/@44.812931,-73.08331179999999?authuser=0&hl=en&entry=ttu
Reviews: 37 reviews",https://locations.dunkindonuts.com/en/vt/saint-albans/725-fairfax-rd/350564?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=350564&y_source=1_MTIxMTM5NjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Dunkin' (Owner),https://www.google.com/maps/contrib/110617203339458234509,https://lh5.googleusercontent.com/p/AF1QipMWrJSvE5dm74PeL7vBnyADZRh_afq09XcCS1kG=w472-h240-k-no,Coffee shop,"Coffee shop, Bagel shop, Bakery, Breakfast restaurant, Donut shop, Fast food restaurant, Takeout Restaurant",3.5,4 AM-10 PM,Open All Days,(802) 528-5267,"Dunkin', Jolly's, 725 Fairfax Rd, St Albans City, VT 05478","drive thru, donuts, latte, morning, sugar, hot chocolate, sandwich, kids",https://www.google.com/maps/place/Dunkin%27/data=!4m7!3m6!1s0x4cca1aad023e1a39:0x9bb576a100c4e868!8m2!3d44.7951516!4d-73.072923!16s%2Fg%2F12646sj0d!19sChIJORo-Aq0aykwRaOjEAKF2tZs?authuser=0&hl=en&rclk=1
