place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJR3TVXpD4jYARaXd-Zf_ZifQ,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,950,"Name: Cherry Bean Coffee Roasting Co.
link: https://www.google.com/maps/search/Cherry+Bean+Coffee+Roasting+Co./@36.672945299999995,-121.6550587?authuser=0&hl=en&entry=ttu
Reviews: 304 reviews

Name: The Beerded Bean
link: https://www.google.com/maps/search/The+Beerded+Bean/@36.6752359,-121.65552449999998?authuser=0&hl=en&entry=ttu
Reviews: 286 reviews

Name: Jack's Coffee
link: https://www.google.com/maps/search/Jack%27s+Coffee/@36.654736299999996,-121.66136259999999?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@36.674286599999995,-121.63815869999999?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews",https://www.starbucks.com/store-locator/store/1008985/,Starbucks (Owner),https://www.google.com/maps/contrib/105492675789598237393,https://lh5.googleusercontent.com/p/AF1QipO-EOfRPoopajLbvk4-7WpLpg0mbq4KEErzcmDz=w426-h240-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.1,4 AM-10 PM,Open All Days,(831) 444-1969,"Starbucks, 515 Work St, Salinas, CA 93901","drive thru, restrooms, caramel, window, name, mobile, frappuccino, hotel, frappes, parking",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x808df8905ed57447:0xf489d9ff657e7769!8m2!3d36.6706547!4d-121.6414563!16s%2Fg%2F11bw73sj7y!19sChIJR3TVXpD4jYARaXd-Zf_ZifQ?authuser=0&hl=en&rclk=1
ChIJAfZoRMr4jYARgn6RYHXrJA0,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,632,"Name: Viva Espresso Organics
link: https://www.google.com/maps/search/Viva+Espresso+Organics/@36.7130556,-121.6525?authuser=0&hl=en&entry=ttu
Reviews: 341 reviews

Name: The Beerded Bean
link: https://www.google.com/maps/search/The+Beerded+Bean/@36.6752359,-121.65552449999998?authuser=0&hl=en&entry=ttu
Reviews: 286 reviews

Name: Jack's Coffee
link: https://www.google.com/maps/search/Jack%27s+Coffee/@36.654736299999996,-121.66136259999999?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@36.674286599999995,-121.63815869999999?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews",https://www.starbucks.com/store-locator/store/10594/,Starbucks (Owner),https://www.google.com/maps/contrib/100408002425351109868,https://lh5.googleusercontent.com/p/AF1QipMHdn3tOWDJf4n2C3khidn9Y56xQIIkWo4y_V31=w408-h327-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.3,5 AM-10 PM,Open All Days,(831) 757-3164,"Starbucks, Sherwood Gardens Shopping Center, 917B N Main St, Salinas, CA 93906","drive thru, drinks, barista, ice, bathroom, management, frappe, hands, fruit",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x808df8ca4468f601:0xd24eb7560917e82!8m2!3d36.6911149!4d-121.6526845!16s%2Fg%2F1tmpw663!19sChIJAfZoRMr4jYARgn6RYHXrJA0?authuser=0&hl=en&rclk=1
ChIJv5ayyRP_jYARHgvW2fXMKlA,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,574,"Name: Viva Espresso Organics
link: https://www.google.com/maps/search/Viva+Espresso+Organics/@36.7130556,-121.6525?authuser=0&hl=en&entry=ttu
Reviews: 341 reviews

Name: Jack's Coffee
link: https://www.google.com/maps/search/Jack%27s+Coffee/@36.654736299999996,-121.66136259999999?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@36.674286599999995,-121.63815869999999?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews",https://www.starbucks.com/store-locator/store/15177/,Starbucks (Owner),https://www.google.com/maps/contrib/112151411391328652525,https://lh5.googleusercontent.com/p/AF1QipOl_mWa2pcDorbTQfSuy91WPPPXxXd5kcAtDLWz=w408-h329-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.3,5 AM-9 PM,Open All Days,(831) 442-0460,"Starbucks, Plaza, 1964 N Main St, Salinas, CA 93906","baristas, mobile, cup, mocha, name, quick service, drinks, frappuccino, employee, restrooms",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x808dff13c9b296bf:0x502accf5d9d60b1e!8m2!3d36.719696!4d-121.655462!16s%2Fg%2F1wcxd9wf!19sChIJv5ayyRP_jYARHgvW2fXMKlA?authuser=0&hl=en&rclk=1
ChIJ2dCYCST_jYARP_y372qUETc,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,458,"Name: Viva Espresso Organics
link: https://www.google.com/maps/search/Viva+Espresso+Organics/@36.7130556,-121.6525?authuser=0&hl=en&entry=ttu
Reviews: 341 reviews

Name: Jack's Coffee
link: https://www.google.com/maps/search/Jack%27s+Coffee/@36.654736299999996,-121.66136259999999?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@36.7058651,-121.66819710000001?authuser=0&hl=en&entry=ttu
Reviews: 21 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@36.674286599999995,-121.63815869999999?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews",https://www.starbucks.com/store-locator/store/9187/,Starbucks (Owner),https://www.google.com/maps/contrib/114049994115830476569,https://lh5.googleusercontent.com/p/AF1QipMrUhd1ALbn9KxCIEYQx5X44Qqn2GwM0T288d0q=w408-h306-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.1,5:30 AM-8:30 PM,Open All Days,(831) 771-2901,"Starbucks, Westridge Shopping Center, 1363 N Davis Rd, Salinas, CA 93907","restroom, clean, morning, traveling, name, barista, drinks, quick service, mocha, frappe",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x808dff240998d0d9:0x3711946aefb7fc3f!8m2!3d36.70437!4d-121.6672323!16s%2Fg%2F1txfpctt!19sChIJ2dCYCST_jYARP_y372qUETc?authuser=0&hl=en&rclk=1
ChIJyWVn1Pb4jYAR_zMtfaICU_4,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,420,"Name: Viva Espresso Organics
link: https://www.google.com/maps/search/Viva+Espresso+Organics/@36.7130556,-121.6525?authuser=0&hl=en&entry=ttu
Reviews: 341 reviews

Name: The Beerded Bean
link: https://www.google.com/maps/search/The+Beerded+Bean/@36.6752359,-121.65552449999998?authuser=0&hl=en&entry=ttu
Reviews: 286 reviews

Name: Peet's Coffee
link: https://www.google.com/maps/search/Peet%27s+Coffee/@36.6552704,-121.6617505?authuser=0&hl=en&entry=ttu
Reviews: 39 reviews

Name: Jack's Coffee
link: https://www.google.com/maps/search/Jack%27s+Coffee/@36.654736299999996,-121.66136259999999?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@36.674286599999995,-121.63815869999999?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews",https://www.starbucks.com/store-locator/store/15162/,Starbucks (Owner),https://www.google.com/maps/contrib/115987277963755836350,https://lh5.googleusercontent.com/p/AF1QipNeFi7Q1lUyLxZgvVtJPiSuZo_7SknO1U6EiDHy=w426-h240-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.2,5 AM-8:30 PM,Open All Days,(831) 751-3420,"Starbucks, 1186 South Main Street Main Street Shopping Center, Salinas, CA 93901","morning, baristas, mocha, efficient, quick service, name, espresso, restrooms, matter, smile",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x808df8f6d46765c9:0xfe5302a27d2d33ff!8m2!3d36.65835!4d-121.6603397!16s%2Fg%2F1tk6w3_p!19sChIJyWVn1Pb4jYAR_zMtfaICU_4?authuser=0&hl=en&rclk=1
ChIJdfvi5TwHkoARiVJourawS_s,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,364,"Name: Subway
link: https://www.google.com/maps/search/Subway/@36.6956481,-121.59759109999999?authuser=0&hl=en&entry=ttu
Reviews: 74 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@36.6747996,-121.61595949999999?authuser=0&hl=en&entry=ttu
Reviews: 39 reviews

Name: Jack's Coffee
link: https://www.google.com/maps/search/Jack%27s+Coffee/@36.654736299999996,-121.66136259999999?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@36.674286599999995,-121.63815869999999?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews

Name: 831 Nutrition
link: https://www.google.com/maps/search/831+Nutrition/@36.695235,-121.59728779999999?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com/store-locator/store/8632/,Starbucks (Owner),https://www.google.com/maps/contrib/103085181609051846341,https://lh5.googleusercontent.com/p/AF1QipOKydTtJVXMiJIqvSgrSuSzWMIJmSthtBWd5z7X=w426-h240-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.2,5:30 AM-10 PM,Open All Days,(831) 754-6399,"Starbucks, 1598 N Sanborn Rd, Salinas, CA 93905","drive thru, drinks, manager, morning, conversation",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x8092073ce5e2fb75:0xfb4bb0b6ba685289!8m2!3d36.6945025!4d-121.5959439!16s%2Fg%2F1tdkgx2k!19sChIJdfvi5TwHkoARiVJourawS_s?authuser=0&hl=en&rclk=1
ChIJ3bka3Tj_jYAR3oruS6jbY9w,Viva Espresso Organics,,False,341,"Name: Cherry Bean Coffee Roasting Co.
link: https://www.google.com/maps/search/Cherry+Bean+Coffee+Roasting+Co./@36.672945299999995,-121.6550587?authuser=0&hl=en&entry=ttu
Reviews: 304 reviews

Name: The Beerded Bean
link: https://www.google.com/maps/search/The+Beerded+Bean/@36.6752359,-121.65552449999998?authuser=0&hl=en&entry=ttu
Reviews: 286 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@36.676418,-121.655653?authuser=0&hl=en&entry=ttu
Reviews: 167 reviews

Name: Jack's Coffee
link: https://www.google.com/maps/search/Jack%27s+Coffee/@36.654736299999996,-121.66136259999999?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Healthy Choices
link: https://www.google.com/maps/search/Healthy+Choices/@36.714287899999995,-121.62466039999998?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews",https://m.facebook.com/Viva-Espresso-Organics-244183500163/,Viva Espresso Organics (Owner),https://www.google.com/maps/contrib/108155566867061910440,https://lh5.googleusercontent.com/p/AF1QipMJlZCukvqtHleQkVjZ-2XSyCrNJNTZn2YskjDa=w408-h306-k-no,Coffee shop,Coffee shop,4.7,6 AM-7 PM,Open All Days,(831) 442-8846,"Viva Espresso Organics, 1552 N Main St, Salinas, CA 93906","mocha, price, music, environment, atmosphere, organic coffee, baristas, art, restroom, chai latte",https://www.google.com/maps/place/Viva+Espresso+Organics/data=!4m7!3m6!1s0x808dff38dd1ab9dd:0xdc63dba84bee8ade!8m2!3d36.7130556!4d-121.6525!16s%2Fg%2F1ts3fvmf!19sChIJ3bka3Tj_jYAR3oruS6jbY9w?authuser=0&hl=en&rclk=1
ChIJS6PTwLT5jYARWIQgmnePbfE,The Beerded Bean,,False,286,"Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@36.65835,-121.6603397?authuser=0&hl=en&entry=ttu
Reviews: 420 reviews

Name: Viva Espresso Organics
link: https://www.google.com/maps/search/Viva+Espresso+Organics/@36.7130556,-121.6525?authuser=0&hl=en&entry=ttu
Reviews: 341 reviews

Name: Cherry Bean Coffee Roasting Co.
link: https://www.google.com/maps/search/Cherry+Bean+Coffee+Roasting+Co./@36.672945299999995,-121.6550587?authuser=0&hl=en&entry=ttu
Reviews: 304 reviews

Name: Peet's Coffee
link: https://www.google.com/maps/search/Peet%27s+Coffee/@36.6552704,-121.6617505?authuser=0&hl=en&entry=ttu
Reviews: 39 reviews

Name: Jack's Coffee
link: https://www.google.com/maps/search/Jack%27s+Coffee/@36.654736299999996,-121.66136259999999?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews",http://www.thebeerdedbean.com/,The Beerded Bean (Owner),https://www.google.com/maps/contrib/102908005732879699097,https://lh5.googleusercontent.com/p/AF1QipNWozhfRRwyNh7b_IS8d-BhMDUZG6iVkyNo5TzC=w408-h306-k-no,Coffee shop,Coffee shop,4.6,6 AM-9 PM,Open All Days,(831) 202-0966,"The Beerded Bean, 210 S Main St, Salinas, CA 93901","atmosphere, mocha, pastries, music, environment, mexican, latte, frappe, hot chocolate, craft beers",https://www.google.com/maps/place/The+Beerded+Bean/data=!4m7!3m6!1s0x808df9b4c0d3a34b:0xf16d8f779a208458!8m2!3d36.6752359!4d-121.6555245!16s%2Fg%2F11h4cqj7l0!19sChIJS6PTwLT5jYARWIQgmnePbfE?authuser=0&hl=en&rclk=1
ChIJ9UINPhf_jYARvaTdNkRCUQY,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,249,"Name: Viva Espresso Organics
link: https://www.google.com/maps/search/Viva+Espresso+Organics/@36.7130556,-121.6525?authuser=0&hl=en&entry=ttu
Reviews: 341 reviews

Name: Panera Bread
link: https://www.google.com/maps/search/Panera+Bread/@36.715886999999995,-121.655746?authuser=0&hl=en&entry=ttu
Reviews: 267 reviews

Name: Blazin' Bagelz
link: https://www.google.com/maps/search/Blazin%27+Bagelz/@36.7151609,-121.65697530000001?authuser=0&hl=en&entry=ttu
Reviews: 251 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@36.674286599999995,-121.63815869999999?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews

Name: Cinnabon
link: https://www.google.com/maps/search/Cinnabon/@36.7179698,-121.65845660000001?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews",https://www.starbucks.com/store-locator/store/1009365/,Starbucks (Owner),https://www.google.com/maps/contrib/116929915381589888590,https://lh5.googleusercontent.com/p/AF1QipOPZLw3OA5xX8LOzusUyTazp3cB5LBr_lHqgBR_=w493-h240-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.3,10 AM-7 PM,Open All Days,(831) 455-6042,"Starbucks, 472 Northridge Dr, Salinas, CA 93906","mall, water",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x808dff173e0d42f5:0x651424436dda4bd!8m2!3d36.7180931!4d-121.658238!16s%2Fg%2F11bwkhk90_!19sChIJ9UINPhf_jYARvaTdNkRCUQY?authuser=0&hl=en&rclk=1
ChIJf_vgy1MHkoARgulLr4Nw3Ys,Starbucks,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",False,248,"Name: Viva Espresso Organics
link: https://www.google.com/maps/search/Viva+Espresso+Organics/@36.7130556,-121.6525?authuser=0&hl=en&entry=ttu
Reviews: 341 reviews

Name: The Beerded Bean
link: https://www.google.com/maps/search/The+Beerded+Bean/@36.6752359,-121.65552449999998?authuser=0&hl=en&entry=ttu
Reviews: 286 reviews

Name: Jack's Coffee
link: https://www.google.com/maps/search/Jack%27s+Coffee/@36.654736299999996,-121.66136259999999?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@36.674286599999995,-121.63815869999999?authuser=0&hl=en&entry=ttu
Reviews: 19 reviews",https://www.starbucks.com/store-locator/store/13949/,Starbucks (Owner),https://www.google.com/maps/contrib/110991734000841831741,https://lh5.googleusercontent.com/p/AF1QipMMNvAinLjh8QCSzL172VflWMB8HXeEbbyXhKTR=w408-h544-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.3,4:30 AM-9 PM,Open All Days,(831) 443-1449,"Starbucks, Creekbridge Village Parking Lot, 1508 Constitution Blvd, Salinas, CA 93905","barista, morning",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x80920753cbe0fb7f:0x8bdd7083af4be982!8m2!3d36.7000034!4d-121.6201203!16s%2Fg%2F1tftx5z_!19sChIJf_vgy1MHkoARgulLr4Nw3Ys?authuser=0&hl=en&rclk=1
