place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJHWDELw0OEZYRj8jrmwgnVUc,Vieja Deli,,False,9971,"Name: Merken
link: https://www.google.com/maps/search/Merken/@-40.1583914,-71.3550321?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3014 reviews

Name: Ulises
link: https://www.google.com/maps/search/Ulises/@-40.157790299999995,-71.3540943?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2528 reviews

Name: BERLIN - Casa de Comidas
link: https://www.google.com/maps/search/BERLIN+-+Casa+de+Comidas/@-40.1575677,-71.35381480000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 620 reviews",https://www.facebook.com/viejadelisma/,Vieja Deli (Ye Zhu ),https://www.google.com/maps/contrib/103548068096704205722,https://lh5.googleusercontent.com/p/AF1QipMtJusw7zORWJS4FR3Xx8mWRd51O3KNtjyYbWFJ=w426-h240-k-no,Shou Shi Dian ,"Shou Shi Dian , Can Ting ",4.4,08:00-00:00,Open All Days,+54 2972 42-8898,"Vieja Deli, Gral. Villegas y, San Martin de los Andes, Neuquen, A Gen Ting ","Shi Jue , Hu , Ke Song , Xin , Zun Yu , Ni ",https://www.google.com/maps/place/Vieja+Deli/data=!4m7!3m6!1s0x96110e0d2fc4601d:0x475527089bebc88f!8m2!3d-40.1608591!4d-71.3588733!16s%2Fg%2F1hc41m5mx!19sChIJHWDELw0OEZYRj8jrmwgnVUc?authuser=0&hl=zh-TW&rclk=1
ChIJDakU73MOEZYRpMZtshcrGUs,Dublin South Pub,,False,8900,"Name: Merken
link: https://www.google.com/maps/search/Merken/@-40.1583914,-71.3550321?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3014 reviews

Name: La Costa del Pueblo
link: https://www.google.com/maps/search/La+Costa+del+Pueblo/@-40.161185499999995,-71.3583757?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2472 reviews

Name: Fassbier Cerveceria
link: https://www.google.com/maps/search/Fassbier+Cervecer%C3%ADa/@-40.156935499999996,-71.3491348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1602 reviews

Name: Torino Bar & Bistro
link: https://www.google.com/maps/search/Torino+Bar+%26+Bistr%C3%B3/@-40.1570256,-71.34809?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1313 reviews",https://m.facebook.com/DublinSMA/,Dublin South Pub (Ye Zhu ),https://www.google.com/maps/contrib/104261799240259152088,https://lh5.googleusercontent.com/p/AF1QipPbq7UP7vOO7DPNl9zoQGVr1HqH8IanL3LCNZM5=w408-h271-k-no,Jiu Ba ,"Jiu Ba , Ka Pei Ting , Ying Shi Gao Ji Jiu Ba , Can Ting ",4.1,08:00-01:00,Open All Days,+54 2972 41-0141,"Dublin South Pub, Av. San Martin 599, Q8370 San Martin de los Andes, Neuquen, A Gen Ting ","Xin , Zun Yu ",https://www.google.com/maps/place/Dublin+South+Pub/data=!4m7!3m6!1s0x96110e73ef14a90d:0x4b192b17b26dc6a4!8m2!3d-40.1578719!4d-71.353639!16s%2Fg%2F1hc10r6dh!19sChIJDakU73MOEZYRpMZtshcrGUs?authuser=0&hl=zh-TW&rclk=1
ChIJneWuIHEPEZYRvNvbmHP_BUY,Mamuschka,,False,4730,"Name: Mamusia
link: https://www.google.com/maps/search/Mamusia/@-40.1578472,-71.3534482?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3516 reviews

Name: Riche Patagonia
link: https://www.google.com/maps/search/Riche+Patagonia/@-40.156998099999996,-71.35074569999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3292 reviews

Name: Abolengo
link: https://www.google.com/maps/search/Abolengo/@-40.1566641,-71.353977?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1228 reviews

Name: HELADERIA SAN MARTIN
link: https://www.google.com/maps/search/HELADERIA+SAN+MARTIN/@-40.1567637,-71.3498599?authuser=0&hl=zh-TW&entry=ttu
Reviews: 854 reviews",http://www.mamuschka.com/,Mamuschka (Ye Zhu ),https://www.google.com/maps/contrib/115342347640627890761,https://lh5.googleusercontent.com/p/AF1QipMjSdS_Wk6E-qTWcat3U0w1MdRb81-XN3aGWmYQ=w408-h245-k-no,Qiao Ke Li Ka Pei Guan ,"Qiao Ke Li Ka Pei Guan , Zhu Gu Li Dian ",4.6,09:30-23:00,Open All Days,+54 2972 41-2500,"Mamuschka, Avenida San Martin, Belgrano y, Q8370 San Martin de los Andes, Neuquen, A Gen Ting ","Fu You , Bing Qi Lin Dian , You Hui , Wu Fu Zhi , Guan Tou ",https://www.google.com/maps/place/Mamuschka/data=!4m7!3m6!1s0x96110f7120aee59d:0x4605ff7398dbdbbc!8m2!3d-40.1564305!4d-71.3498376!16s%2Fg%2F11f79277r8!19sChIJneWuIHEPEZYRvNvbmHP_BUY?authuser=0&hl=zh-TW&rclk=1
ChIJXUh7MGoOEZYRv_Wi7dCbidA,Casa De Te Arrayan / Arrayan Lake View Mountain Lodge,,False,4426,,https://arrayanpatagonia.com/,Casa De Te Arrayan / Arrayan Lake View Mountain Lodge (Ye Zhu ),https://www.google.com/maps/contrib/108789473548113711200,https://lh5.googleusercontent.com/p/AF1QipPkh6c5UdnYwA824tP1yP5v85zI1jwQ5n4Ixelb=w426-h240-k-no,Cha Xie Dian ,"Cha Xie Dian , Mian Bao Xi Bing Dian , Zheng Liu Ka Pei Ba , Jiu Dian , Xiang Cun Xiao Wu ",4.4,,Open All Days,+54 9 11 3869-6318,"Casa De Te Arrayan / Arrayan Lake View Mountain Lodge, Circuito Arrayan, KM 4.5, Q8370 San Martin de los Andes, Neuquen, A Gen Ting ","Shi Jue , Li Shi , Xi Yang , Mao , Ru Luo Dan Gao , Si Kang , Ta , Zao Wu Can ",https://www.google.com/maps/place/Casa+De+Te+Arrayan+%2F+Arrayan+Lake+View+Mountain+Lodge/data=!4m10!3m9!1s0x96110e6a307b485d:0xd0899bd0eda2f5bf!5m2!4m1!1i2!8m2!3d-40.1698846!4d-71.3537476!16s%2Fg%2F11x9gbgh6!19sChIJXUh7MGoOEZYRv_Wi7dCbidA?authuser=0&hl=zh-TW&rclk=1
ChIJt9RD73MOEZYRE_qAjpbE4lw,Mamusia,,False,3518,"Name: Mamuschka
link: https://www.google.com/maps/search/Mamuschka/@-40.1564305,-71.3498376?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4727 reviews

Name: Riche Patagonia
link: https://www.google.com/maps/search/Riche+Patagonia/@-40.156998099999996,-71.35074569999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3292 reviews

Name: HELADERIA SAN MARTIN
link: https://www.google.com/maps/search/HELADERIA+SAN+MARTIN/@-40.1567637,-71.3498599?authuser=0&hl=zh-TW&entry=ttu
Reviews: 854 reviews

Name: Heladeria y Chocolateria Mamusia
link: https://www.google.com/maps/search/Helader%C3%ADa+y+Chocolater%C3%ADa+Mamusia/@-40.1555276,-71.3463604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews",https://mamusia.com.ar/,Mamusia (Ye Zhu ),https://www.google.com/maps/contrib/114343578870195306721,https://lh5.googleusercontent.com/p/AF1QipN9La85ksxqWnlyB2dzLwGXQIRoo7gXNt0r6kVU=w408-h544-k-no,Zhu Gu Li Dian ,"Zhu Gu Li Dian , Xue Gao Dian ",4.5,09:00-22:00,Open All Days,+54 2972 42-7560,"Mamusia, Av. San Martin 601, Q8370 San Martin de los Andes, Neuquen, A Gen Ting ","Fu You , Bing Qi Lin Dian , Shou Gong , Hua Yuan , Jiao Tang Niu Nai , Fu Pen Zi ",https://www.google.com/maps/place/Mamusia/data=!4m7!3m6!1s0x96110e73ef43d4b7:0x5ce2c4968e80fa13!8m2!3d-40.1578472!4d-71.3534482!16s%2Fg%2F11bycgg71g!19sChIJt9RD73MOEZYRE_qAjpbE4lw?authuser=0&hl=zh-TW&rclk=1
ChIJY-7TNnEOEZYRd4AP-xyJVOk,Riche Patagonia,,False,3293,"Name: Mamuschka
link: https://www.google.com/maps/search/Mamuschka/@-40.1564305,-71.3498376?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4727 reviews

Name: Mamusia
link: https://www.google.com/maps/search/Mamusia/@-40.1578472,-71.3534482?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3516 reviews

Name: Abolengo
link: https://www.google.com/maps/search/Abolengo/@-40.1566641,-71.353977?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1228 reviews

Name: Pata Negra Chocolates
link: https://www.google.com/maps/search/Pata+Negra+Chocolates/@-40.1567984,-71.3508299?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews",https://es-la.facebook.com/richepatagonia/,Riche Patagonia (Ye Zhu ),https://www.google.com/maps/contrib/112661221359249662879,https://lh5.googleusercontent.com/p/AF1QipPRTarDh_Fq6xB8UUriQO1Y9-TCuRl85HZMmtjL=w408-h272-k-no,Qiao Ke Li Ka Pei Guan ,"Qiao Ke Li Ka Pei Guan , Ka Pei Ting , Zhu Gu Li Dian , Ka Pei Dian , Xue Gao Dian ",4.3,08:00-23:00,Open All Days,+54 2972 42-9409,"Riche Patagonia, Av. San Martin 807, Q8370 San Martin de los Andes, Neuquen, A Gen Ting ","Tu Si , Xin , Qian Ting , vegan, Bing Qi Lin Dian , Liu Cheng Zhi ",https://www.google.com/maps/place/Riche+Patagonia/data=!4m7!3m6!1s0x96110e7136d3ee63:0xe954891cfb0f8077!8m2!3d-40.1569981!4d-71.3507457!16s%2Fg%2F11b7q93xvt!19sChIJY-7TNnEOEZYRd4AP-xyJVOk?authuser=0&hl=zh-TW&rclk=1
ChIJI8mSxHYOEZYRKo52lAPY964,Unser Traum,,False,2986,"Name: La Pasteleria
link: https://www.google.com/maps/search/La+Pasteleria/@-40.1575375,-71.35056279999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 348 reviews

Name: Cafe Montes
link: https://www.google.com/maps/search/Caf%C3%A9+Mont%C3%A9s/@-40.1576555,-71.35202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 139 reviews

Name: Unser Traum Vega
link: https://www.google.com/maps/search/Unser+Traum+Vega/@-40.1361881,-71.2873844?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: La Tempranera
link: https://www.google.com/maps/search/La+Tempranera/@-40.15289,-71.349958?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",https://www.facebook.com/UnserTraumPasteleria/,Unser Traum (Ye Zhu ),https://www.google.com/maps/contrib/113946215828531570056,https://lh5.googleusercontent.com/p/AF1QipPKgqGQb34EFooUQbVPn3sncpronbPkFcsVZ-sK=w434-h240-k-no,Xi Bing Dian ,"Xi Bing Dian , Mian Bao Xi Bing Dian , Zi Zhu Can Ting , Ka Pei Dian , Tang Guo Gao Bing Dian ",4.3,08:00-22:00,Open All Days,+54 9 2972 49-5527,"Unser Traum, 8370 Avenida San Martin 941, Tte. Gral Roca 868, Q8370 San Martin de los Andes, Neuquen, A Gen Ting ","Ke Song , Tu Si , Fa Piao , Cha Dian , Ji Na Bang , Qian Ting , Ning Meng Ta , Ka Pei Niu Nai ",https://www.google.com/maps/place/Unser+Traum/data=!4m7!3m6!1s0x96110e76c492c923:0xaef7d80394768e2a!8m2!3d-40.1563964!4d-71.3489318!16s%2Fg%2F1vfp4v98!19sChIJI8mSxHYOEZYRKo52lAPY964?authuser=0&hl=zh-TW&rclk=1
ChIJIeSUNnEOEZYRKsXLEU4cpso,Abolengo,,False,1228,"Name: Riche Patagonia
link: https://www.google.com/maps/search/Riche+Patagonia/@-40.156998099999996,-71.35074569999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3292 reviews

Name: Cafe Danes
link: https://www.google.com/maps/search/Caf%C3%A9+Dan%C3%A9s/@-40.1562067,-71.3455723?authuser=0&hl=zh-TW&entry=ttu
Reviews: 761 reviews

Name: Fiora Cafe
link: https://www.google.com/maps/search/Fiora+Caf%C3%A9/@-40.157091699999995,-71.34811930000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 558 reviews

Name: Vanila Pasteleria y Cafeteria
link: https://www.google.com/maps/search/Vanila+Pasteler%C3%ADa+y+Cafeter%C3%ADa/@-40.159211,-71.3537766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews",https://www.instagram.com/abolengo.sma/,Abolengo (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOl9bKXZRf4o2gronlRE1wZqictiKd_MvG_TCi2=w408-h306-k-no,Cha Yi Guan ,"Cha Yi Guan , Can Ting ",4.3,"09:00-13:00, 16:00-21:00",Xing Qi Ri ,+54 2972 42-7732,"Abolengo, Gral. Roca 604, Q8370 San Martin de los Andes, Neuquen, A Gen Ting ","Dan Gao , Fu You , Ke Ke , Mei Guo , Bu Lang Ni ",https://www.google.com/maps/place/Abolengo/data=!4m7!3m6!1s0x96110e713694e421:0xcaa61c4e11cbc52a!8m2!3d-40.1566641!4d-71.353977!16s%2Fg%2F1hc72h4z6!19sChIJIeSUNnEOEZYRKsXLEU4cpso?authuser=0&hl=zh-TW&rclk=1
ChIJYYw1n3MOEZYRDCVmWty-eQs,Pulgarcito,,False,1130,"Name: Corazon Contento
link: https://www.google.com/maps/search/Coraz%C3%B3n+Contento/@-40.1584891,-71.35526639999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2749 reviews

Name: Ulises
link: https://www.google.com/maps/search/Ulises/@-40.157790299999995,-71.3540943?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2528 reviews

Name: La Costa del Pueblo
link: https://www.google.com/maps/search/La+Costa+del+Pueblo/@-40.161185499999995,-71.3583757?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2472 reviews

Name: La Bernardita
link: https://www.google.com/maps/search/La+Bernardita/@-40.1589004,-71.35121269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 395 reviews",http://www.sanmartindelosandes.gov.ar/turismo/planifique_su_viaje/donde_comer/restaurante-pulgarcito.html,Pulgarcito (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM7KMuQW5QurfUcqU06sKA_Z5XCbqQrLTUOXXid=w425-h240-k-no,Can Ting ,Can Ting ,4.2,"12:00-14:30, 19:30-00:00",Xing Qi Ri ,+54 2972 42-7081,"Pulgarcito, Av. San Martin 461, Q8370 San Martin de los Andes, Neuquen, A Gen Ting ","Yi Da Li Mian , Zun Yu , Xin , Zu Qiu , Bu Ding ",https://www.google.com/maps/place/Pulgarcito/data=!4m7!3m6!1s0x96110e739f358c61:0xb79bedc5a66250c!8m2!3d-40.1585904!4d-71.3556939!16s%2Fg%2F1hc255xgv!19sChIJYYw1n3MOEZYRDCVmWty-eQs?authuser=0&hl=zh-TW&rclk=1
ChIJf7Df1nAOEZYRGYpGEEs7gpA,HELADERIA SAN MARTIN,,False,854,"Name: Mamuschka
link: https://www.google.com/maps/search/Mamuschka/@-40.1564305,-71.3498376?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4727 reviews

Name: Mamusia
link: https://www.google.com/maps/search/Mamusia/@-40.1578472,-71.3534482?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3516 reviews

Name: Grido Helado
link: https://www.google.com/maps/search/Grido+Helado/@-40.1536064,-71.3443054?authuser=0&hl=zh-TW&entry=ttu
Reviews: 582 reviews

Name: Pragelato Heladeria
link: https://www.google.com/maps/search/Pragelato+Helader%C3%ADa/@-40.1582155,-71.3515227?authuser=0&hl=zh-TW&entry=ttu
Reviews: 385 reviews",http://www.sanmartindelosandes.gov.ar/turismo/planifique_su_viaje/donde_comer/heladeria.html,HELADERIA SAN MARTIN (Ye Zhu ),https://www.google.com/maps/contrib/114322685861048190343,https://lh5.googleusercontent.com/p/AF1QipMVAW2JZkz3EUyCuo_02KQ9intCqFuXaQCprbOS=w426-h240-k-no,Xue Gao Dian ,Xue Gao Dian ,4.5,12:00-23:30,Open All Days,+54 2972 42-5248,"HELADERIA SAN MARTIN, Belgrano 837, Q8370 San Martin de los Andes, Neuquen, A Gen Ting ","Shou Gong , Fu You , Kai Xin Guo , Nai You Qi Si , Jiao Tang Niu Nai , Jing Ji , Luo Li , vegan, Hei Qiao Ke Li ",https://www.google.com/maps/place/HELADERIA+SAN+MARTIN/data=!4m7!3m6!1s0x96110e70d6dfb07f:0x90823b4b10468a19!8m2!3d-40.1567637!4d-71.3498599!16s%2Fg%2F11cr_09n6f!19sChIJf7Df1nAOEZYRGYpGEEs7gpA?authuser=0&hl=zh-TW&rclk=1
