place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ55G9EgNnt5UReuXEgUnYJ0g,Parador San Nicolas,,False,10854,"Name: Bus Station San Nicolas Village
link: https://www.google.com/maps/search/Bus+Station+San+Nicolas+Village/@-33.343400100000004,-60.2268511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: EMPRESA ARGENTINA
link: https://www.google.com/maps/search/EMPRESA+ARGENTINA/@-33.343514899999995,-60.226833000000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: El parador
link: https://www.google.com/maps/search/El+parador/@-33.363936700000004,-60.252348299999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Bien Asado
link: https://www.google.com/maps/search/Bien+Asado/@-33.3525268,-60.2404613?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Pte. Peron Y Parador San Nicolas
link: https://www.google.com/maps/search/Pte.+Peron+Y+Parador+San+Nicolas/@-33.3635788,-60.2528283?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.laguiasn.com.ar/sitio/paradorsn,Parador San Nicolas (Ye Zhu ),https://www.google.com/maps/contrib/115152891944381349468,https://lh5.googleusercontent.com/p/AF1QipOLGX_v_XblfjT-C-rw44gLiTEiV7iPCPPc_5WI=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Wai Hui Yin Shi Gong Ying Shang , You Zhan , Zi Xun Zhan , Can Ting ",3.5,24 Xiao Shi Ying Ye ,Open All Days,+54 336 444-3124,"Parador San Nicolas, Av. Pres. Juan Domingo Peron 2092, B2902 AHF, Provincia de Buenos Aires, A Gen Ting ","Yu Shi , Gong Che , Wei Sheng , Wei Xiu , Cheng Ke , Chi Dao Bao , Jia You Zhan , Ju Li ",https://www.google.com/maps/place/Parador+San+Nicol%C3%A1s/data=!4m7!3m6!1s0x95b7670312bd91e7:0x4827d84981c4e57a!8m2!3d-33.3639587!4d-60.2524309!16s%2Fg%2F11b8z62h4s!19sChIJ55G9EgNnt5UReuXEgUnYJ0g?authuser=0&hl=zh-TW&rclk=1
ChIJKf0HgItnt5URdQu7rb0jE5w,Cafe de la Plaza,,False,2881,"Name: El San Martin
link: https://www.google.com/maps/search/El+San+Mart%C3%ADn/@-33.3305705,-60.209300199999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2601 reviews

Name: La Mira
link: https://www.google.com/maps/search/La+Mira/@-33.3283443,-60.216658900000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2181 reviews

Name: The Market
link: https://www.google.com/maps/search/The+Market/@-33.337285099999995,-60.223521500000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Plaza Cafe Bar Restaurant
link: https://www.google.com/maps/search/Plaza+Cafe+Bar+Restaurant/@-33.333491699999996,-60.2282558?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/cafedelaplazasn,Cafe de la Plaza (Ye Zhu ),https://www.google.com/maps/contrib/113075079658672767479,https://lh5.googleusercontent.com/p/AF1QipNNjPQ6PBUc2gXCsAnCILy5tmvvTt09dMnTC8Fb=w408-h271-k-no,Can Ting ,"Can Ting , Jiu Ba ",4.3,08:00-02:00,Open All Days,+54 336 445-5900,"Cafe de la Plaza, Domingo Faustino Sarmiento 54, B2900 San Nicolas de Los Arroyos, Provincia de Buenos Aires, A Gen Ting ","Zao Can , Xin , Yu Shi , Shi Jue ",https://www.google.com/maps/place/Caf%C3%A9+de+la+Plaza/data=!4m7!3m6!1s0x95b7678b8007fd29:0x9c1323bdadbb0b75!8m2!3d-33.3284121!4d-60.2170438!16s%2Fg%2F1hc1g3pnw!19sChIJKf0HgItnt5URdQu7rb0jE5w?authuser=0&hl=zh-TW&rclk=1
ChIJE7pDM5Bnt5URHxQA08nIo3c,Carrefour Market,,False,2294,"Name: Musimundo
link: https://www.google.com/maps/search/Musimundo/@-33.333236299999996,-60.219341699999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1007 reviews

Name: Supermercados DIA
link: https://www.google.com/maps/search/Supermercados+DIA/@-33.3347115,-60.2187767?authuser=0&hl=zh-TW&entry=ttu
Reviews: 870 reviews

Name: Super Arenas
link: https://www.google.com/maps/search/Super+Arenas/@-33.3264174,-60.236301899999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Almacen borrago
link: https://www.google.com/maps/search/Almac%C3%A9n+borrago/@-33.3403298,-60.2263146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Pura Vida Almacen Saludable
link: https://www.google.com/maps/search/Pura+Vida+Almac%C3%A9n+Saludable/@-33.3293672,-60.2152951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.carrefour.com.ar/,Carrefour Market (Ye Zhu ),https://www.google.com/maps/contrib/111149713415703648703,https://lh5.googleusercontent.com/p/AF1QipO9vBiaMCiWjho5ZYCYB1Qhw1IVctxMD_-4bmnH=w408-h726-k-no,Da Xing Chao Ji Shi Chang ,"Da Xing Chao Ji Shi Chang , Za Huo Dian , Shi Chang , Chao Ji Shi Chang ",3.9,08:00-20:00,Open All Days,+54 800-444-8484,"Carrefour Market, Av. Mariano Moreno 10, B2900 San Nicolas de Los Arroyos, Provincia de Buenos Aires, A Gen Ting ","He , Gong Ying , Lian Tiao , Jing Ji , Zhou Mo , Zhen Kong , Mei Ti ",https://www.google.com/maps/place/Carrefour+Market/data=!4m7!3m6!1s0x95b767903343ba13:0x77a3c8c9d300141f!8m2!3d-33.3360197!4d-60.2224466!16s%2Fg%2F1pzq4s5nq!19sChIJE7pDM5Bnt5URHxQA08nIo3c?authuser=0&hl=zh-TW&rclk=1
ChIJP2ZrM5Bnt5URAZRkX2FpYvs,Restaurante Avenida,,False,1705,"Name: El San Martin
link: https://www.google.com/maps/search/El+San+Mart%C3%ADn/@-33.3305705,-60.209300199999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2601 reviews

Name: La Mira
link: https://www.google.com/maps/search/La+Mira/@-33.3283443,-60.216658900000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2181 reviews

Name: Via Pizza
link: https://www.google.com/maps/search/V%C3%ADa+Pizza/@-33.3281333,-60.217488900000006?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1396 reviews

Name: Restaurant El Trebol
link: https://www.google.com/maps/search/Restaurant+El+Trebol/@-33.3394951,-60.2179657?authuser=0&hl=zh-TW&entry=ttu
Reviews: 864 reviews

Name: Comedor Bartolome
link: https://www.google.com/maps/search/Comedor+Bartolom%C3%A9/@-33.3283256,-60.21647069999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 500 reviews",https://instagram.com/restauranteavenida.sn%3Figshid%3Dqoircsw370ad,Restaurante Avenida (Ye Zhu ),https://www.google.com/maps/contrib/108020777282154463154,https://lh5.googleusercontent.com/p/AF1QipP6rciBQyxVQNt5n2O1kRdE-IpRPbbjYoGsD3sH=w426-h240-k-no,Can Ting ,Can Ting ,4.1,09:00-02:00,Open All Days,+54 9 336 434-0454,"Restaurante Avenida, Bartolome Mitre 451 (Esq, Av. Mariano Moreno 2900, San Nicolas de Los Arroyos, Provincia de Buenos Aires, A Gen Ting ","Yi Da Li Mian , Fu You , Mian Ge Da , Song Shu , Huan Jing , Jing Ji , Xin , Yu Shi , Gong Xiang ",https://www.google.com/maps/place/Restaurante+Avenida/data=!4m7!3m6!1s0x95b76790336b663f:0xfb6269615f649401!8m2!3d-33.335397!4d-60.223825!16s%2Fg%2F1hc3sxknx!19sChIJP2ZrM5Bnt5URAZRkX2FpYvs?authuser=0&hl=zh-TW&rclk=1
ChIJ0-bNWbBnt5URdtitLysb_F8,Cooperativa Obrera,,False,1196,"Name: Super NICO
link: https://www.google.com/maps/search/Super+NICO/@-33.3534241,-60.2419611?authuser=0&hl=zh-TW&entry=ttu
Reviews: 191 reviews

Name: Super Coop
link: https://www.google.com/maps/search/Super+Coop/@-33.3448962,-60.20046550000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 60 reviews

Name: Despensa La Tucu
link: https://www.google.com/maps/search/Despensa+La+Tucu/@-33.345988,-60.236859700000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: Almacen de Sabores
link: https://www.google.com/maps/search/Almac%C3%A9n+de+Sabores/@-33.3481813,-60.2340069?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Farmacia
link: https://www.google.com/maps/search/Farmacia/@-33.3476328,-60.23378299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.cooperativaobrera.coop/,Cooperativa Obrera (Ye Zhu ),https://www.google.com/maps/contrib/106869690081694342863,https://lh5.googleusercontent.com/p/AF1QipPBBSnYXFHJqbaRUys95wha4QDS9b2AExq0SuMN=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,08:30-21:00,Open All Days,+54 336 444-0326,"Cooperativa Obrera, Av. Pres. Juan Domingo Peron 1028, B2900 San Nicolas de Los Arroyos, Provincia de Buenos Aires, A Gen Ting ","Jia Ge , Gong Ying , He , Pin Pai , Ting Che Chang , Jia Dian , Ke Ren ",https://www.google.com/maps/place/Cooperativa+Obrera/data=!4m7!3m6!1s0x95b767b059cde6d3:0x5ffc1b2b2fadd876!8m2!3d-33.3481445!4d-60.2335628!16s%2Fg%2F11h202nvtw!19sChIJ0-bNWbBnt5URdtitLysb_F8?authuser=0&hl=zh-TW&rclk=1
ChIJufNvbYBnt5URwydXFpi8AC8,Supermercado Jose,,False,1004,"Name: Super jazmin
link: https://www.google.com/maps/search/Super+jazmin/@-33.361449799999995,-60.1867171?authuser=0&hl=zh-TW&entry=ttu
Reviews: 108 reviews

Name: Supermercado Jose - Market Express
link: https://www.google.com/maps/search/Supermercado+Jos%C3%A9+-+Market+Express/@-33.3262453,-60.2186703?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Supermercado El Amigo
link: https://www.google.com/maps/search/Supermercado+El+Amigo/@-33.3554575,-60.19455269999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Supermercado Jose
link: https://www.google.com/maps/search/Supermercado+Jos%C3%A9/@-33.3559562,-60.2240202?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.instagram.com/supermercadojosesn/%3Fhl%3Des,Supermercado Jose (Ye Zhu ),https://www.google.com/maps/contrib/111316342929457764371,https://lh5.googleusercontent.com/p/AF1QipNRWfCsMjM6OUnOzObTiW2ejpKiFzjcR_EqxRdH=w561-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.3,08:30-21:00,Open All Days,+54 336 442-0975,"Supermercado Jose, Avenida Savio 451, lavalle 71, B2900 San Nicolas de Los Arroyos, Provincia de Buenos Aires, A Gen Ting ","He , You Hui , Pin Pai , Wu Can Rou , Zhi Fu ",https://www.google.com/maps/place/Supermercado+Jose/data=!4m7!3m6!1s0x95b767806d6ff3b9:0x2f00bc98165727c3!8m2!3d-33.3437729!4d-60.2119912!16s%2Fg%2F1hc1h64tv!19sChIJufNvbYBnt5URwydXFpi8AC8?authuser=0&hl=zh-TW&rclk=1
ChIJcdx0Uo5nt5URgLGxx29SL6I,Bar del Teatro,,False,754,"Name: El San Martin
link: https://www.google.com/maps/search/El+San+Mart%C3%ADn/@-33.3305705,-60.209300199999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2601 reviews

Name: Good Beer
link: https://www.google.com/maps/search/Good+Beer/@-33.3307399,-60.2228507?authuser=0&hl=zh-TW&entry=ttu
Reviews: 173 reviews",https://www.instagram.com/bardelteatrooficial/,Bar del Teatro (Ye Zhu ),https://www.google.com/maps/contrib/115250171863812132302,https://lh5.googleusercontent.com/p/AF1QipP5B8158bWHun33HpD3aQNT6mqFUj0rPP22h2DY=w408-h408-k-no,Jiu Ba Ba Fang ,"Jiu Ba Ba Fang , Jiu Ba ",4.3,"08:00-15:00, 17:00-00:00",Open All Days,+54 336 454-0964,"Bar del Teatro, De la Nacion 350, B2900AAH San Nicolas de Los Arroyos, Provincia de Buenos Aires, A Gen Ting ","Zao Can , Li Shi , Pi Sa , Jiu , Zhuo , Chuan Tong , Xin , Wu Zhang Ai ",https://www.google.com/maps/place/Bar+del+Teatro/data=!4m7!3m6!1s0x95b7678e5274dc71:0xa22f526fc7b1b180!8m2!3d-33.334251!4d-60.2202575!16s%2Fg%2F1th24_6m!19sChIJcdx0Uo5nt5URgLGxx29SL6I?authuser=0&hl=zh-TW&rclk=1
ChIJk5fHp3Bet5URvZjLhMRkIQE,Maxim's Helados Somisa,,False,502,"Name: Grido Helado
link: https://www.google.com/maps/search/Grido+Helado/@-33.340682,-60.21625389999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 430 reviews

Name: Otilio Helados & Paletas
link: https://www.google.com/maps/search/Otilio+Helados+%26+Paletas/@-33.3376695,-60.2207765?authuser=0&hl=zh-TW&entry=ttu
Reviews: 424 reviews

Name: Heladeria Quintana
link: https://www.google.com/maps/search/Helader%C3%ADa+Quintana/@-33.328100899999995,-60.21753159999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",https://www.facebook.com/maximshelados,Maxim's Helados Somisa (Ye Zhu ),https://www.google.com/maps/contrib/112553302742104951600,https://lh5.googleusercontent.com/p/AF1QipNYvvcyO0heaPXt-rxDde7-cAMd_vvt_LJSq9_i=w519-h240-k-no,Xue Gao Dian ,"Xue Gao Dian , Ka Pei Ting ",4.4,12:00-01:00,Open All Days,+54 9 336 457-9675,"Maxim's Helados Somisa, Av. Central Malvinas Argentinas, San Nicolas de Los Arroyos, Provincia de Buenos Aires, A Gen Ting ","Shou Gong , Jia Ge , Chan Pin , Fu You , Kou Wei , Ka Pei , Jia Ting ",https://www.google.com/maps/place/Maxim%27s+Helados+Somisa/data=!4m7!3m6!1s0x95b75e70a7c79793:0x12164c484cb98bd!8m2!3d-33.3824067!4d-60.1763786!16s%2Fg%2F1hm31v8fg!19sChIJk5fHp3Bet5URvZjLhMRkIQE?authuser=0&hl=zh-TW&rclk=1
ChIJ_3N1iDjJvJURYpGhDDl_vkc,Havanna,,False,483,"Name: Panaderia La Internacional
link: https://www.google.com/maps/search/Panader%C3%ADa+La+Internacional/@-33.3422957,-60.22844430000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 463 reviews

Name: Nicolino Coffee Bar & Drinks
link: https://www.google.com/maps/search/Nicolino+Coffee+Bar+%26+Drinks/@-33.3316378,-60.2185334?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: The Market
link: https://www.google.com/maps/search/The+Market/@-33.337285099999995,-60.223521500000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Madison Coffee
link: https://www.google.com/maps/search/Madison+Coffee/@-33.331842699999996,-60.218245?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.havanna.com.ar/,Havanna (Ye Zhu ),https://www.google.com/maps/contrib/109414897987565266414,https://lh5.googleusercontent.com/p/AF1QipO88AU8_Bl5S8Usw1MN71H6KB29NbooKAyBDAth=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,08:00-21:00,Open All Days,+54 336 442-5800,"Havanna, Nacion 144, San Nicolas, C1407DCB Buenos Aires, A Gen Ting ","Chan Pin , Jia Ge , Xin , Zao Can , Fan Dian , Shu Shi ",https://www.google.com/maps/place/Havanna/data=!4m7!3m6!1s0x95bcc938887573ff:0x47be7f390ca19162!8m2!3d-33.3302227!4d-60.2162836!16s%2Fg%2F11h2h9l1b_!19sChIJ_3N1iDjJvJURYpGhDDl_vkc?authuser=0&hl=zh-TW&rclk=1
ChIJWVQzoepdt5URQWbK-4gpLUw,Panaderia y Confiteria Guemes,,False,388,"Name: Panaderia Y Confiteria Molino
link: https://www.google.com/maps/search/Panaderia+Y+Confiteria+Molino/@-33.3555525,-60.1950087?authuser=0&hl=zh-TW&entry=ttu
Reviews: 209 reviews

Name: PANADERIA Y CONFITERIA SAN MARTIN
link: https://www.google.com/maps/search/PANADERIA+Y+CONFITERIA+SAN+MARTIN/@-33.3305364,-60.2235001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 85 reviews

Name: Panaderia Y Confiteria Buenas & Migas
link: https://www.google.com/maps/search/Panaderia+Y+Confiteria+Buenas+%26+Migas/@-33.3392342,-60.21836330000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Panaderia Avenida
link: https://www.google.com/maps/search/Panaderia+Avenida/@-33.3439532,-60.2115484?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.sannicolas.gov.ar/,Panaderia y Confiteria Guemes (Ye Zhu ),https://www.google.com/maps/contrib/114120952008876509219,https://lh5.googleusercontent.com/p/AF1QipOKOZHuJUVO3lfBz9sSaWEq4-_I402q0yqU-MKQ=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.4,05:00-20:30,Open All Days,+54 336 446-2909,"Panaderia y Confiteria Guemes, Av. Savio 1597, San Nicolas de Los Arroyos, Provincia de Buenos Aires, A Gen Ting ","Chan Pin , Jia Ge , Fa Piao , Fu You , Tian , Gui Hua ",https://www.google.com/maps/place/Panader%C3%ADa+y+Confiter%C3%ADa+G%C3%BCemes/data=!4m7!3m6!1s0x95b75deaa1335459:0x4c2d2988fbca6641!8m2!3d-33.3601658!4d-60.1882808!16s%2Fg%2F11c575pp65!19sChIJWVQzoepdt5URQWbK-4gpLUw?authuser=0&hl=zh-TW&rclk=1
