place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ53nCS6wVWxMRQ-wDmdTbTyQ,LuLu Cafe Saranda,,False,832,"Name: Caffe Italia
link: https://www.google.com/maps/search/Caffe+Italia/@39.865869599999996,20.0163194?authuser=0&hl=zh-TW&entry=ttu
Reviews: 173 reviews

Name: Bar Kafe Enea
link: https://www.google.com/maps/search/Bar+Kafe+Enea/@39.8717124,20.015780799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Saranda Central Coffee
link: https://www.google.com/maps/search/Saranda+Central+Coffee/@39.8743167,20.0078147?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: My Time Coffee Bar
link: https://www.google.com/maps/search/My+Time+Coffee+Bar/@39.874977799999996,20.0089766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews",https://m.facebook.com/lulucafesaranda/,LuLu Cafe Saranda (Ye Zhu ),https://www.google.com/maps/contrib/115454938908028242279,https://lh5.googleusercontent.com/p/AF1QipP2clQ4R7IYfOC9RDA2ApiYFu7uhT-0TsAc12oi=w408-h543-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Zao Can Can Ting , Zao Wu Can Can Ting ",4.9,,Open All Days,+355 69 266 9392,"LuLu Cafe Saranda, Rruga Gjergj Araniti, Sarande, A Er Ba Ni Ya ","Ou Mu Dan , Chao Dan , Pei Gen , Yan Mai , Xi Gua , Zao Wu Can , Zhan Jiang , You Ge , Ke Li Bing ",https://www.google.com/maps/place/LuLu+Cafe+Saranda/data=!4m7!3m6!1s0x135b15ac4bc279e7:0x244fdbd49903ec43!8m2!3d39.8719879!4d20.0168064!16s%2Fg%2F11lh6k26t6!19sChIJ53nCS6wVWxMRQ-wDmdTbTyQ?authuser=0&hl=zh-TW&rclk=1
ChIJ26ahQvEUWxMRjD9YnN4lW-M,Orange Club Sarande,,False,792,"Name: Jericho Cocktail Bar
link: https://www.google.com/maps/search/Jericho+Cocktail+Bar/@39.873649199999996,20.0110354?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1183 reviews

Name: City Lounge
link: https://www.google.com/maps/search/City+Lounge/@39.8699894,20.014244899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: Cocktail Bar Rei
link: https://www.google.com/maps/search/Cocktail+Bar+Rei/@39.8730129,20.004664?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: 21 Bar
link: https://www.google.com/maps/search/21+Bar/@39.874554599999996,20.0095067?authuser=0&hl=zh-TW&entry=ttu
Reviews: 48 reviews

Name: Old House Bar
link: https://www.google.com/maps/search/Old+House+Bar/@39.8708137,20.002138499999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",https://instagram.com/orange_club_sarande_albania,Orange Club Sarande (Ye Zhu ),https://www.google.com/maps/contrib/114812494601083187545,https://lh5.googleusercontent.com/p/AF1QipNyoXwDZasiMEWapzfvlKRR1lSF__Bb4L5cWco1=w408-h306-k-no,Ju Le Bu ,Ju Le Bu ,3,24 Xiao Shi Ying Ye ,Open All Days,+355 69 204 5566,"Orange Club Sarande, Rruga Butrinti SH81, Sarande 9701A Er Ba Ni Ya ","Diao Jiu , Ping , Shui Yan , DJ, Ban Ye , Ge Shou ",https://www.google.com/maps/place/Orange+Club+Sarande/data=!4m7!3m6!1s0x135b14f142a1a6db:0xe35b25de9c583f8c!8m2!3d39.8703188!4d20.0142371!16s%2Fg%2F11dztfhlqv!19sChIJ26ahQvEUWxMRjD9YnN4lW-M?authuser=0&hl=zh-TW&rclk=1
ChIJ_0DotvYUWxMR8-POzAuPdCY,Italian Mattarello pizzeria,,False,466,"Name: Taverna Laberia
link: https://www.google.com/maps/search/Taverna+Lab%C3%ABria/@39.869667,19.9995422?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1047 reviews

Name: Maria Madalena
link: https://www.google.com/maps/search/Maria+Madalena/@39.8690892,20.001623?authuser=0&hl=zh-TW&entry=ttu
Reviews: 348 reviews

Name: Gusto Italiano Ristorante-Pizzeria
link: https://www.google.com/maps/search/Gusto+Italiano+Ristorante-Pizzeria/@39.873765000000006,20.0099898?authuser=0&hl=zh-TW&entry=ttu
Reviews: 288 reviews

Name: Casa Nostra
link: https://www.google.com/maps/search/Casa+Nostra/@39.872413099999996,20.016117899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 148 reviews",https://m.facebook.com/mattarelloitaliano/,Italian Mattarello pizzeria (Ye Zhu ),https://www.google.com/maps/contrib/114942940370051912353,https://lh5.googleusercontent.com/p/AF1QipNkDC6dUyf9WfRmjzlveREE1D696RDKjMQr4GQ0=w408-h408-k-no,Can Ting ,"Can Ting , Zheng Liu Ka Pei Ba ",4.1,"08:00-16:30, 17:30-23:30",Open All Days,+355 67 577 4676,"Italian Mattarello pizzeria, Rruga Butrinti, Sarande 9711A Er Ba Ni Ya ","Pi Sa , Chan Pin , Fo Qia Xia , Mian Ge Da , Wu Ru ",https://www.google.com/maps/place/Italian+Mattarello+pizzeria/data=!4m7!3m6!1s0x135b14f6b6e840ff:0x26748f0bcccee3f3!8m2!3d39.8721984!4d20.0138953!16s%2Fg%2F11g9dc_mfx!19sChIJ_0DotvYUWxMR8-POzAuPdCY?authuser=0&hl=zh-TW&rclk=1
ChIJrRgh9O0UWxMRwbTnGxmog-k,Caffe Italia,,False,173,"Name: Bar Kafe Enea
link: https://www.google.com/maps/search/Bar+Kafe+Enea/@39.8717124,20.015780799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Saranda Central Coffee
link: https://www.google.com/maps/search/Saranda+Central+Coffee/@39.8743167,20.0078147?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: My Time Coffee Bar
link: https://www.google.com/maps/search/My+Time+Coffee+Bar/@39.874977799999996,20.0089766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Coffee House
link: https://www.google.com/maps/search/Coffee+House/@39.8711322,20.0011467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",https://italia-caffe-cafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Caffe Italia (Ye Zhu ),https://www.google.com/maps/contrib/101313274223930409471,https://lh5.googleusercontent.com/p/AF1QipPzygI6mB0-pBUabXjuh_uaor2ZqIwby5Lp-7up=w408-h541-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,07:00-00:00,Open All Days,,"Caffe Italia, Sarande, A Er Ba Ni Ya ","Jia Ge , Diao Jiu , Xi Yang , Bang Wan , Hai , atmosphere, wifi, Bu Li Ou ",https://www.google.com/maps/place/Caffe+Italia/data=!4m7!3m6!1s0x135b14edf42118ad:0xe983a8191be7b4c1!8m2!3d39.8658696!4d20.0163194!16s%2Fg%2F11fz2962ck!19sChIJrRgh9O0UWxMRwbTnGxmog-k?authuser=0&hl=zh-TW&rclk=1
ChIJE8Y8StoVWxMR4iv-YiD5aqU,Appetite Restaurant Bar & Coffee,,False,163,"Name: Hashtag2
link: https://www.google.com/maps/search/Hashtag2/@39.873827299999995,20.0038923?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Bar Reataurant Qesari
link: https://www.google.com/maps/search/Bar+Reataurant+Qesari/@39.8736762,20.0104228?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: Prishtina restorant
link: https://www.google.com/maps/search/Prishtina+restorant/@39.8644238,20.017685399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Caffe
link: https://www.google.com/maps/search/Caffe/@39.8615893,20.0195166?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://instagram.com/appetite_restaurant_bar%3Figshid%3DMzRlODBiNWFlZA%3D%3D,Appetite Restaurant Bar & Coffee (Ye Zhu ),https://www.google.com/maps/contrib/107650604013076590066,https://lh5.googleusercontent.com/p/AF1QipOCk70hZydW5IELO7GQ-dMtNstpseGzXucauaCl=w408-h544-k-no,Can Ting ,Can Ting ,4.8,,Open All Days,+355 69 535 2244,"V24C+2PJ Appetite Restaurant Bar & Coffee, SH81 9701, Sarande 9701A Er Ba Ni Ya ","Hong Jiu , Hai Xian , atmosphere, Zao Can , Zhu Chu , Jing Yan , Chu Fang , Xuan Ze ",https://www.google.com/maps/place/Appetite+Restaurant+Bar+%26+Coffee/data=!4m7!3m6!1s0x135b15da4a3cc613:0xa56af92062fe2be2!8m2!3d39.8550625!4d20.0218125!16s%2Fg%2F11sk36932q!19sChIJE8Y8StoVWxMR4iv-YiD5aqU?authuser=0&hl=zh-TW&rclk=1
ChIJSTNedZIVWxMRO8fa1c7V0po,ZUM cafe,,False,144,"Name: Bar Kafe Enea
link: https://www.google.com/maps/search/Bar+Kafe+Enea/@39.8717124,20.015780799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: Saranda Central Coffee
link: https://www.google.com/maps/search/Saranda+Central+Coffee/@39.8743167,20.0078147?authuser=0&hl=zh-TW&entry=ttu
Reviews: 69 reviews

Name: My Time Coffee Bar
link: https://www.google.com/maps/search/My+Time+Coffee+Bar/@39.874977799999996,20.0089766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Coffe Bar Seven
link: https://www.google.com/maps/search/Coffe+Bar+Seven/@39.875093,20.0083868?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: Kafe Meti
link: https://www.google.com/maps/search/Kafe+Meti/@39.8739141,20.005849899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://instagram.com/zum.cafe%3Figshid%3DMzRlODBiNWFlZA%3D%3D,ZUM cafe (Ye Zhu ),https://www.google.com/maps/contrib/112626483855486047874,https://lh5.googleusercontent.com/p/AF1QipNObGet5zuSoDLfB-UJsVqJD-Sa4FjkbNh8EJ9b=w408-h486-k-no,Ka Pei Ting ,Ka Pei Ting ,4.8,09:00-22:00,Xing Qi Ri ,+355 69 396 5286,"ZUM cafe, Onhezmi, Sarande 9701, Sarande 9700A Er Ba Ni Ya ","Tian Dian , Qia Bu Qi Nuo , atmosphere, Diao Jiu , Jia Ge , Dou Jiang , Dan Gao Juan ",https://www.google.com/maps/place/ZUM+cafe/data=!4m7!3m6!1s0x135b1592755e3349:0x9ad2d5ced5dac73b!8m2!3d39.8754639!4d20.0074528!16s%2Fg%2F11k4804462!19sChIJSTNedZIVWxMRO8fa1c7V0po?authuser=0&hl=zh-TW&rclk=1
ChIJSfuV2uUVWxMRa8902SXVHVc,Queen Coffe Bistro,,False,117,"Name: Sweesh
link: https://www.google.com/maps/search/Sweesh/@39.8741655,20.0100429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: Benn Kafe
link: https://www.google.com/maps/search/Benn+Kafe/@39.873859599999996,20.003785999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Esenca Cafe
link: https://www.google.com/maps/search/Esenca+Cafe/@39.8733468,19.9999136?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Meno/Com-Hari
link: https://www.google.com/maps/search/Meno%2FCom-Hari/@39.8422741,20.0377932?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Mondi's Fast Food
link: https://www.google.com/maps/search/Mondi%27s+Fast+Food/@39.8747993,20.0084783?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.queencoffe.com/,Queen Coffe Bistro (Ye Zhu ),https://www.google.com/maps/contrib/103549248597832751158,https://lh5.googleusercontent.com/p/AF1QipNy7yYjTr1ou6NxFcj_Gn8ncktU6vRRlml_-6lX=w408-h542-k-no,Xiao Can Guan  (Bistro),"Xiao Can Guan  (Bistro), Mian Bao Xi Bing Dian , Zi Zhu Can Ting , Gao Bing Dian ",4.2,07:00-00:30,Open All Days,,"V2F5+MMC Queen Coffe Bistro, Rruga Flamurit, Sarande, A Er Ba Ni Ya ","Ka Pei Ting , Bing Qi Lin , Gao , Zao Can , Ke Song , Qia Bu Qi Nuo , atmosphere, Sha Mo ",https://www.google.com/maps/place/Queen+Coffe+Bistro/data=!4m7!3m6!1s0x135b15e5da95fb49:0x571dd525d974cf6b!8m2!3d39.8742166!4d20.0091479!16s%2Fg%2F11t6nf9zc0!19sChIJSfuV2uUVWxMRa8902SXVHVc?authuser=0&hl=zh-TW&rclk=1
ChIJtSxPwPkUWxMR3tcq12mitvs,Saranda Central Coffee,,False,69,"Name: Caffe Italia
link: https://www.google.com/maps/search/Caffe+Italia/@39.865869599999996,20.0163194?authuser=0&hl=zh-TW&entry=ttu
Reviews: 173 reviews

Name: Bar Kafe Enea
link: https://www.google.com/maps/search/Bar+Kafe+Enea/@39.8717124,20.015780799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: My Time Coffee Bar
link: https://www.google.com/maps/search/My+Time+Coffee+Bar/@39.874977799999996,20.0089766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Coffee House
link: https://www.google.com/maps/search/Coffee+House/@39.8711322,20.0011467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Benn Kafe
link: https://www.google.com/maps/search/Benn+Kafe/@39.873859599999996,20.003785999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",https://www.facebook.com/pages/Central-Caffe-BarSarande/257045514365354,Saranda Central Coffee (Ye Zhu ),https://www.google.com/maps/contrib/110618158036768466045,https://lh5.googleusercontent.com/p/AF1QipMLri10QhUHL4ZpOEZ9SQR83i5tO2y-KHzJud7G=w426-h240-k-no,Zi Zhu Can Ting ,"Zi Zhu Can Ting , Ka Pei Dian ",4.7,05:00-23:30,Open All Days,+355 69 339 8333,"Saranda Central Coffee, Rruga e Flamurit,sheshi Nen Tereza, Rruga Flamurit 8, Sarande, A Er Ba Ni Ya ","Qia Bu Qi Nuo , Jia Ge ",https://www.google.com/maps/place/Saranda+Central+Coffee/data=!4m7!3m6!1s0x135b14f9c04f2cb5:0xfbb6a269d72ad7de!8m2!3d39.8743167!4d20.0078147!16s%2Fg%2F1hm214yfr!19sChIJtSxPwPkUWxMR3tcq12mitvs?authuser=0&hl=zh-TW&rclk=1
ChIJpaTnfbQVWxMRP9Z3uomnpZU,Coffe Bar Seven,,False,37,"Name: Bar Kafe Enea
link: https://www.google.com/maps/search/Bar+Kafe+Enea/@39.8717124,20.015780799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: My Time Coffee Bar
link: https://www.google.com/maps/search/My+Time+Coffee+Bar/@39.874977799999996,20.0089766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Corner Bar
link: https://www.google.com/maps/search/Corner+Bar/@39.8747707,20.0039536?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Coffee House
link: https://www.google.com/maps/search/Coffee+House/@39.8711322,20.0011467?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: SOS Bar
link: https://www.google.com/maps/search/SOS+Bar/@39.8744149,20.0069937?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://caffe-bar-seven.business.site/,Coffe Bar Seven (Ye Zhu ),https://www.google.com/maps/contrib/116583241338778366529,https://lh5.googleusercontent.com/p/AF1QipO6eF-gF4NlTz2C_AC4J3h7SoO_7rMyquodHfq9=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,07:00-00:00,Open All Days,+355 69 690 4363,"Coffe Bar Seven, Rruga Onhezmi, Sarande 1001A Er Ba Ni Ya ",,https://www.google.com/maps/place/Coffe+Bar+Seven/data=!4m7!3m6!1s0x135b15b47de7a4a5:0x95a5a789ba77d63f!8m2!3d39.875093!4d20.0083868!16s%2Fg%2F11g0gbyk9x!19sChIJpaTnfbQVWxMRP9Z3uomnpZU?authuser=0&hl=zh-TW&rclk=1
ChIJK8dkvMQVWxMRh2uNjE9M79M,Jesa Cafe Bar,,False,37,"Name: Caffe Italia
link: https://www.google.com/maps/search/Caffe+Italia/@39.865869599999996,20.0163194?authuser=0&hl=zh-TW&entry=ttu
Reviews: 173 reviews

Name: Bar Kafe Enea
link: https://www.google.com/maps/search/Bar+Kafe+Enea/@39.8717124,20.015780799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 154 reviews

Name: My Time Coffee Bar
link: https://www.google.com/maps/search/My+Time+Coffee+Bar/@39.874977799999996,20.0089766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Corner Bar
link: https://www.google.com/maps/search/Corner+Bar/@39.8747707,20.0039536?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews",https://jesa-cafe-bar.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Jesa Cafe Bar (Ye Zhu ),https://www.google.com/maps/contrib/109086454484549485494,https://lh5.googleusercontent.com/p/AF1QipPEYFX4CB_4aoc8K5Gg0z_kWdcTxoVb1UIWx6Co=w408-h408-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,,Open All Days,+355 69 512 2372,"Jesa Cafe Bar, AL, Rruga Mitat Hoxha, 9701A Er Ba Ni Ya ","Jia Ge , Jing Yan ",https://www.google.com/maps/place/Jesa+Cafe+Bar/data=!4m7!3m6!1s0x135b15c4bc64c72b:0xd3ef4c4f8c8d6b87!8m2!3d39.8704272!4d20.0023841!16s%2Fg%2F11fky_g6qc!19sChIJK8dkvMQVWxMRh2uNjE9M79M?authuser=0&hl=zh-TW&rclk=1
