place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ0Q8GOf_7_DkRpg7-G5Tsj8w,M/S Sheba Traders,,False,5,"Name: Motiur Rice Mill
link: https://www.google.com/maps/search/Motiur+Rice+Mill/@25.000596700000003,89.3203187?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: mesaars mhim ttreddaars
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A7%87%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8+%E0%A6%AE%E0%A6%B9%E0%A6%BF%E0%A6%AE+%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8/@25.005150699999998,89.3185529?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: mesaars mehedii plaassttik ssttor
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A7%87%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8+%E0%A6%AE%E0%A7%87%E0%A6%B9%E0%A7%87%E0%A6%A6%E0%A7%80+%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%95+%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/@25.0055515,89.31823949999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: mesaars bi.em ttreddaars
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A7%87%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8+%E0%A6%AC%E0%A6%BF.%E0%A6%8F%E0%A6%AE+%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8/@24.9993694,89.3249842?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: bismillaah ttreddaars
link: https://www.google.com/maps/search/%E0%A6%AC%E0%A6%BF%E0%A6%B8%E0%A6%AE%E0%A6%BF%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B9+%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8/@25.0060921,89.3145967?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,M/S Sheba Traders (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4v6H09cwqe2lquIvuzcdVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=153.37872&pitch=0&thumbfov=100,Za Huo Dian ,Za Huo Dian ,4.6,09:00-20:00,Open All Days,+880 1729-667799,"283C+2G8 M/S Sheba Traders, Shibganj, Meng Jia La ",,https://www.google.com/maps/place/M%2FS+Sheba+Traders/data=!4m7!3m6!1s0x39fcfbff39060fd1:0xcc8fec941bfe0ea6!8m2!3d25.002547!4d89.3213161!16s%2Fg%2F11gf4pq3qt!19sChIJ0Q8GOf_7_DkRpg7-G5Tsj8w?authuser=0&hl=zh-TW&rclk=1
ChIJF3ej1VH5_DkR4YllcQe49_s,"munnaa tti sttl, plipaadd'aa",,False,2,"Name: rphikul ssttor aadbaarriyyaa shimul tlaa
link: https://www.google.com/maps/search/%E0%A6%B0%E0%A6%AB%E0%A6%BF%E0%A6%95%E0%A7%81%E0%A6%B2+%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0+%E0%A6%86%E0%A6%A6%E0%A6%AC%E0%A6%BE%E0%A7%9C%E0%A6%BF%E0%A7%9F%E0%A6%BE+%E0%A6%B6%E0%A6%BF%E0%A6%AE%E0%A7%81%E0%A6%B2+%E0%A6%A4%E0%A6%B2%E0%A6%BE/@24.986948200000004,89.7551704?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Coffee House
link: https://www.google.com/maps/search/Coffee+House/@24.5944008,89.547518?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: musaa caa sttl
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A6%BE+%E0%A6%9A%E0%A6%BE+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%B2/@25.092384799999998,89.33264299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: aanis bhyaaraaitti sttor endd kphi shp
link: https://www.google.com/maps/search/%E0%A6%86%E0%A6%A8%E0%A6%BF%E0%A6%B8+%E0%A6%AD%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%87%E0%A6%9F%E0%A6%BF+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%95%E0%A6%AB%E0%A6%BF+%E0%A6%B6%E0%A6%AA/@25.067499299999998,88.9834582?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: mustaakim knphekshnaari endd kphi sp
link: https://www.google.com/maps/search/%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%95%E0%A6%BF%E0%A6%AE+%E0%A6%95%E0%A6%A8%E0%A6%AB%E0%A7%87%E0%A6%95%E0%A6%B6%E0%A6%A8%E0%A6%BE%E0%A6%B0%E0%A6%BF+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%95%E0%A6%AB%E0%A6%BF+%E0%A6%B8%E0%A6%AA/@25.2441264,89.5585449?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,"munnaa tti sttl, plipaadd'aa (Ye Zhu )",,https://lh5.googleusercontent.com/p/AF1QipOX4FuLnd4VtdBs45w1wvdbJDFY0tVm_jadu0FI=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,5,24 Xiao Shi Ying Ye ,Open All Days,,"X8H6+XCM munnaa tti sttl, plipaadd'aa, Meng Jia La ",,"https://www.google.com/maps/place/%E0%A6%AE%E0%A7%81%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%BE+%E0%A6%9F%E0%A6%BF+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%B2,+%E0%A6%AA%E0%A6%B2%E0%A6%BF%E0%A6%AA%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A6%BE/data=!4m7!3m6!1s0x39fcf951d5a37717:0xfbf7b807716589e1!8m2!3d24.9799664!4d89.3110611!16s%2Fg%2F11p17hk1wp!19sChIJF3ej1VH5_DkR4YllcQe49_s?authuser=0&hl=zh-TW&rclk=1"
ChIJeaAgBBr7_DkRq4xYtRKgVZA,phaahim kphi haauj | Fahim Coffee House,,False,2,"Name: Khairul Coffee House
link: https://www.google.com/maps/search/Khairul+Coffee+House/@24.849745199999997,89.3549366?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: krim kphi shp
link: https://www.google.com/maps/search/%E0%A6%95%E0%A6%B0%E0%A6%BF%E0%A6%AE+%E0%A6%95%E0%A6%AB%E0%A6%BF+%E0%A6%B6%E0%A6%AA/@25.288867999999997,89.174171?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: bimaan bhyaaraaitti sttor endd kphi haauj
link: https://www.google.com/maps/search/%E0%A6%AC%E0%A6%BF%E0%A6%AE%E0%A6%BE%E0%A6%A8+%E0%A6%AD%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%87%E0%A6%9F%E0%A6%BF+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%95%E0%A6%AB%E0%A6%BF+%E0%A6%B9%E0%A6%BE%E0%A6%89%E0%A6%9C/@24.9686894,88.96462939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: aayynaal tti sttl
link: https://www.google.com/maps/search/%E0%A6%86%E0%A7%9F%E0%A6%A8%E0%A6%BE%E0%A6%B2+%E0%A6%9F%E0%A6%BF+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%B2/@24.766042799999997,89.3241303?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: pngkj cndr
link: https://www.google.com/maps/search/%E0%A6%AA%E0%A6%99%E0%A7%8D%E0%A6%95%E0%A6%9C+%E0%A6%9A%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0/@25.2391799,89.4826495?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,phaahim kphi haauj | Fahim Coffee House (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPkKcJzUcHjvf-zH63OyAblkO1zgB-PQP1lwhWF=w408-h354-k-no,Ka Pei Dian ,Ka Pei Dian ,5,24 Xiao Shi Ying Ye ,Open All Days,+880 1740-620085,"27VF+VQW phaahim kphi haauj | Fahim Coffee House, Near of Kichak Union Council Office, Meng Jia La ",,https://www.google.com/maps/place/%E0%A6%AB%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%AE+%E0%A6%95%E0%A6%AB%E0%A6%BF+%E0%A6%B9%E0%A6%BE%E0%A6%89%E0%A6%9C+%7C+Fahim+Coffee+House/data=!4m7!3m6!1s0x39fcfb1a0420a079:0x9055a012b5588cab!8m2!3d25.0447385!4d89.2744541!16s%2Fg%2F11qwy044zb!19sChIJeaAgBBr7_DkRq4xYtRKgVZA?authuser=0&hl=zh-TW&rclk=1
ChIJtx5Z3ZL__DkR841pQyPa9M8,shriphul sttor,,False,2,"Name: Hanif store
link: https://www.google.com/maps/search/Hanif+store/@24.9029374,89.1751386?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Jaman Store
link: https://www.google.com/maps/search/Jaman+Store/@25.028285099999998,89.46698459999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: hk tteilaariN
link: https://www.google.com/maps/search/%E0%A6%B9%E0%A6%95+%E0%A6%9F%E0%A7%87%E0%A6%87%E0%A6%B2%E0%A6%BE%E0%A6%B0%E0%A6%BF%E0%A6%82/@25.0030307,89.3206117?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Shahin Store
link: https://www.google.com/maps/search/Shahin+Store/@24.8568866,89.3669232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,shriphul sttor (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMRIgpjiL-6Mqz4WdzTyQUuIv3xrf8m8Umbnyr0=w408-h723-k-no,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"X8FR+5PH shriphul sttor, Meng Jia La ",,https://www.google.com/maps/place/%E0%A6%B6%E0%A6%B0%E0%A6%BF%E0%A6%AB%E0%A7%81%E0%A6%B2+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/data=!4m7!3m6!1s0x39fcff92dd591eb7:0xcff4da2343698df3!8m2!3d24.9729377!4d89.3418683!16s%2Fg%2F11j0d3rlf4!19sChIJtx5Z3ZL__DkR841pQyPa9M8?authuser=0&hl=zh-TW&rclk=1
ChIJRQw1TFL__DkRzqVpboAfOjE,sttaa sttor,,False,1,"Name: Mohastan Garh Picnic Spot
link: https://www.google.com/maps/search/Mohastan+Garh+Picnic+Spot/@24.961819799999997,89.3472975?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: bulurck skul maatth
link: https://www.google.com/maps/search/%E0%A6%AC%E0%A7%81%E0%A6%B2%E0%A7%81%E0%A6%B0%E0%A6%9A%E0%A6%95+%E0%A6%B8%E0%A7%8D%E0%A6%95%E0%A7%81%E0%A6%B2+%E0%A6%AE%E0%A6%BE%E0%A6%A0/@24.9670912,89.3436789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: jaadughr maatth
link: https://www.google.com/maps/search/%E0%A6%9C%E0%A6%BE%E0%A6%A6%E0%A7%81%E0%A6%98%E0%A6%B0+%E0%A6%AE%E0%A6%BE%E0%A6%A0/@24.9607292,89.3469552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: aadrsh kRssi ttreddaars
link: https://www.google.com/maps/search/%E0%A6%86%E0%A6%A6%E0%A6%B0%E0%A7%8D%E0%A6%B6+%E0%A6%95%E0%A7%83%E0%A6%B7%E0%A6%BF+%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A1%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B8/@24.9694619,89.3433758?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: dinaajpurii aatp ghr
link: https://www.google.com/maps/search/%E0%A6%A6%E0%A6%BF%E0%A6%A8%E0%A6%BE%E0%A6%9C%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A7%80+%E0%A6%86%E0%A6%A4%E0%A6%AA+%E0%A6%98%E0%A6%B0/@24.9579547,89.35651659999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,sttaa sttor (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPvAp8eefw1CGzc_Mb2UVITK3RsC0ft967AtSWM=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,5,24 Xiao Shi Ying Ye ,Open All Days,,"X87V+VQW sttaa sttor, Mohasthan - Shibgonj Rd, Meng Jia La ",,https://www.google.com/maps/place/%E0%A6%B8%E0%A6%A4%E0%A6%A4%E0%A6%BE+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%B0/data=!4m7!3m6!1s0x39fcff524c350c45:0x313a1f806e69a5ce!8m2!3d24.9647405!4d89.3444392!16s%2Fg%2F11s04k7n5_!19sChIJRQw1TFL__DkRzqVpboAfOjE?authuser=0&hl=zh-TW&rclk=1
ChIJH8mYjUP7_DkRs6_khN7X3G0,Md soyaib,,False,,,,Md soyaib (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GNsN0aCnLEorR8TqVVsHhQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.356846&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"282C+RQH Md soyaib, Shibganj, Meng Jia La ",,https://www.google.com/maps/place/Md+soyaib/data=!4m7!3m6!1s0x39fcfb438d98c91f:0x6ddcd7de84e4afb3!8m2!3d25.0020594!4d89.3219938!16s%2Fg%2F11krfj12pz!19sChIJH8mYjUP7_DkRs6_khN7X3G0?authuser=0&hl=zh-TW&rclk=1
ChIJTZFGt677_DkROjGzOkxPhE0,Kajoli store Rajbabu,,False,,,,Kajoli store Rajbabu (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"282C+64G Kajoli store Rajbabu, Shibganj, Meng Jia La ",,https://www.google.com/maps/place/Kajoli+store+Rajbabu/data=!4m7!3m6!1s0x39fcfbaeb746914d:0x4d844f4c3ab3313a!8m2!3d25.0005577!4d89.3203149!16s%2Fg%2F11vlfhfjgs!19sChIJTZFGt677_DkROjGzOkxPhE0?authuser=0&hl=zh-TW&rclk=1
ChIJZw84JjL7_DkR1fvcgevJV0c,rupaa bekaari endd ttelikm senttaar,,False,,,,rupaa bekaari endd ttelikm senttaar (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vayi2xRZo8CzUpCZqub2Cg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=186.73938&pitch=0&thumbfov=100,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"2858+344 rupaa bekaari endd ttelikm senttaar, Shibganj, Meng Jia La ",,https://www.google.com/maps/place/%E0%A6%B0%E0%A7%81%E0%A6%AA%E0%A6%BE+%E0%A6%AC%E0%A7%87%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%BF+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%9F%E0%A7%87%E0%A6%B2%E0%A6%BF%E0%A6%95%E0%A6%AE+%E0%A6%B8%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0/data=!4m7!3m6!1s0x39fcfb3226380f67:0x4757c9eb81dcfbd5!8m2!3d25.0076767!4d89.3154101!16s%2Fg%2F11sv2dc3lj!19sChIJZw84JjL7_DkR1fvcgevJV0c?authuser=0&hl=zh-TW&rclk=1
ChIJy7uVRw37_DkRX4zVVDltBAs,Zobair Stor,,False,,,,Zobair Stor (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOcQQ5DcyXahdsLjnIpuLfKFAddct0iY0NLWphe=w533-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,+880 1764-717668,"Zobair Stor, Chondihara, Shibganj, Meng Jia La ",,https://www.google.com/maps/place/Zobair+Stor/data=!4m7!3m6!1s0x39fcfb0d4795bbcb:0xb046d3954d58c5f!8m2!3d25.0020593!4d89.3219938!16s%2Fg%2F11kjp_zc8b!19sChIJy7uVRw37_DkRX4zVVDltBAs?authuser=0&hl=zh-TW&rclk=1
ChIJeRff-Oz5_DkReqR28PnJb30,mtin tti sttl o phuskaa,,False,,,,mtin tti sttl o phuskaa (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"X8V6+5QF mtin tti sttl o phuskaa, Meng Jia La ",,https://www.google.com/maps/place/%E0%A6%AE%E0%A6%A4%E0%A6%BF%E0%A6%A8+%E0%A6%9F%E0%A6%BF+%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A6%B2+%E0%A6%93+%E0%A6%AB%E0%A7%81%E0%A6%B8%E0%A6%95%E0%A6%BE/data=!4m7!3m6!1s0x39fcf9ecf8df1779:0x7d6fc9f9f076a47a!8m2!3d24.9929417!4d89.3119234!16s%2Fg%2F11kk8grqmc!19sChIJeRff-Oz5_DkReqR28PnJb30?authuser=0&hl=zh-TW&rclk=1
