place_id,place_name,about,link
ChIJ57vOHBjF8RIROqds0deG6xc,cool coffee,All,https://lh5.googleusercontent.com/p/AF1QipMXrx0k_oqqmnoKJ3p9Qqcs2UCmHCEmh70GBLsM=w224-h298-k-no
ChIJ57vOHBjF8RIROqds0deG6xc,cool coffee,Menu,https://lh5.googleusercontent.com/p/AF1QipNVcwkDXE01DJ6ClDRohCGZAwyuOvJWaqt8idcw=w224-h298-k-no
ChIJ57vOHBjF8RIROqds0deG6xc,cool coffee,Food & drink,https://lh5.googleusercontent.com/p/AF1QipNHtu7S95ewfZtCPv7XrpKL3vLFUPiBxGxSVs-0=w224-h298-k-no
ChIJ57vOHBjF8RIROqds0deG6xc,cool coffee,Vibe,https://lh5.googleusercontent.com/p/AF1QipN1_VLcR8pDlOLSMdyZKWQLa8474V51-6DvyalP=w224-h497-k-no
ChIJ57vOHBjF8RIROqds0deG6xc,cool coffee,By owner,https://lh5.googleusercontent.com/p/AF1QipMPaINwfaKqXMU85NJfmD18Ik1Dc--DgOif3Mna=w397-h298-k-no
ChIJs3ePPTfP8RIR8panT3CwecU,Cafe Ammar - qhw@ `mr,All,https://lh5.googleusercontent.com/p/AF1QipPM3mq8ejNiYJIgt1nywKbc60U-fhyaGRvHSt7i=w397-h298-k-no
ChIJs3ePPTfP8RIR8panT3CwecU,Cafe Ammar - qhw@ `mr,Inside,https://lh5.googleusercontent.com/p/AF1QipPiNcTDG4TGcqGJFyyuM6FuyVP8SASVVLGWj1v8=w224-h398-k-no
ChIJs3ePPTfP8RIR8panT3CwecU,Cafe Ammar - qhw@ `mr,Coffee,https://lh5.googleusercontent.com/p/AF1QipOkFuIA-7apsyC24zy1kW1qI8WznlSaVg8Tkl2M=w224-h429-k-no
ChIJ3dfyM8PN8RIRLmCsyYGas9Q,Cafe  ROMA,All,https://lh5.googleusercontent.com/p/AF1QipNwsyGb5c2W5ROGOKzrHs_lbHNUHUJ3ZgyYthHq=w224-h298-k-no
ChIJ3dfyM8PN8RIRLmCsyYGas9Q,Cafe  ROMA,Food & drink,https://lh5.googleusercontent.com/p/AF1QipNG-Xrq30GKyLB1JgUBpgRUNSUZYHiO0RuShW_q=w224-h298-k-no
ChIJ3dfyM8PN8RIRLmCsyYGas9Q,Cafe  ROMA,Videos,https://lh5.googleusercontent.com/p/AF1QipPALmBm1rgo5bx8DBcwY1mWntjJlnvX73ZYX6G4=w224-h398-k-no
ChIJ3dfyM8PN8RIRLmCsyYGas9Q,Cafe  ROMA,Vibe,https://lh5.googleusercontent.com/p/AF1QipOxETc_qM8B_pYHkfYtFKoP0YD5IWi1hozrsco4=w224-h298-k-no
ChIJW3X2FIbP8RIRcLhgjQ5PtC4,Cafeteria Roma mqh~ rwm,All,https://lh5.googleusercontent.com/p/AF1QipOT4Zn8UUT46NNmIbbK0EmB5AOddZYL0G-JlrIm=w529-h298-k-no
ChIJW3X2FIbP8RIRcLhgjQ5PtC4,Cafeteria Roma mqh~ rwm,Vibe,https://lh5.googleusercontent.com/p/AF1QipOT4Zn8UUT46NNmIbbK0EmB5AOddZYL0G-JlrIm=w529-h298-k-no
ChIJSRZCbZXF8RIR3_MbXZJpR6g,shy w mksrt 'drr,All,https://lh5.googleusercontent.com/p/AF1QipMRFTzaCen93hSoGm5fpHC9hBCO0bbS1iYAIsSW=w224-h298-k-no
ChIJSRZCbZXF8RIR3_MbXZJpR6g,shy w mksrt 'drr,Food & drink,https://lh5.googleusercontent.com/p/AF1QipN3qswRw9gqycPGPBzdM0YrfG3sixbGzamd2YpF=w224-h298-k-no
ChIJSRZCbZXF8RIR3_MbXZJpR6g,shy w mksrt 'drr,Vibe,https://lh5.googleusercontent.com/p/AF1QipM2X1gewSDDm2marqAA0VXItnhKCmnjTKbdlGuJ=w224-h298-k-no
ChIJ3_dVanzP8RIR3IRAupSi5ZU,Bouleghlem Abdesalem,All,https://lh5.googleusercontent.com/p/AF1QipMLpKMP8O9vsvffBpc5QbY8n9MsTCGcLdG7xevf=w224-h298-k-no
ChIJLwoi8qzP8RIRqEa69osM0tY,cafeteria des freres bouchoucha,All,https://lh5.googleusercontent.com/p/AF1QipNLvYwlrvbrIiEQAPDa9gKjzBdvZIzDVgCfAynA=w529-h298-k-no
ChIJLwoi8qzP8RIRqEa69osM0tY,cafeteria des freres bouchoucha,Vibe,https://lh5.googleusercontent.com/p/AF1QipNLvYwlrvbrIiEQAPDa9gKjzBdvZIzDVgCfAynA=w529-h298-k-no
ChIJr_13k1zF8RIRnUFOjdG9GVI,Cafe djahid,All,https://lh5.googleusercontent.com/p/AF1QipPWXH1hlbZbPFaW1J5MgbZblckBzR-bLM9UBF4n=w224-h298-k-no
ChIJr_13k1zF8RIRnUFOjdG9GVI,Cafe djahid,Vibe,https://lh5.googleusercontent.com/p/AF1QipPWXH1hlbZbPFaW1J5MgbZblckBzR-bLM9UBF4n=w224-h298-k-no
ChIJYU9r_47P8RIRU69K_y0mymc,Cafeteriamqh~,All,https://lh5.googleusercontent.com/p/AF1QipNl7Pm9Tp69Kn8VbpsKKhYjrWZw3DDhv2cftThg=w529-h298-k-no
ChIJYU9r_47P8RIRU69K_y0mymc,Cafeteriamqh~,Vibe,https://lh5.googleusercontent.com/p/AF1QipNl7Pm9Tp69Kn8VbpsKKhYjrWZw3DDhv2cftThg=w529-h298-k-no
ChIJfafLwzbF8RIR6CnH4niE-FY,qhw@ SlH wrmzy,All,https://lh5.googleusercontent.com/p/AF1QipMO5byGKcWuNi0ncqKlyCaJbLPPy2yNEYWwp8Tm=w224-h442-k-no
ChIJfafLwzbF8RIR6CnH4niE-FY,qhw@ SlH wrmzy,Vibe,https://lh5.googleusercontent.com/p/AF1QipMO5byGKcWuNi0ncqKlyCaJbLPPy2yNEYWwp8Tm=w224-h442-k-no
ChIJd-qPtX3P8RIRxiDmyvaZT6E,fast food chez chaniki Cafe pluss,All,https://lh5.googleusercontent.com/p/AF1QipPEodFafbow8UGJvu9HrqvCOgvM90j50IK_fsQE=w397-h298-k-no
ChIJdYs9cUvF8RIR-ZFfUj_OcH0,mqhy wdyn@,All,https://lh5.googleusercontent.com/p/AF1QipNkrGMCld0hBzazTFJLx5Y82iMEon_rxGGgZF4v=w224-h486-k-no
ChIJZXvDWw_F8RIRJk6vv1GoG9w,Cafe le voilier,All,https://lh5.googleusercontent.com/p/AF1QipNeimaM30D6MrLf7jRmofHWRNT5jhltP0df04uv=w397-h298-k-no
ChIJZXvDWw_F8RIRJk6vv1GoG9w,Cafe le voilier,Food & drink,https://lh5.googleusercontent.com/p/AF1QipNeimaM30D6MrLf7jRmofHWRNT5jhltP0df04uv=w397-h298-k-no
ChIJZXvDWw_F8RIRJk6vv1GoG9w,Cafe le voilier,Coffee,https://lh5.googleusercontent.com/p/AF1QipNp5pEvXlte34BsnDqSKYUSa8gslrDM1hWM2aVe=w224-h397-k-no
ChIJ4UE4s6PP8RIRsMf48To0wds,mwswn@1,All,https://lh5.googleusercontent.com/p/AF1QipMbmgR61-s2TR6UgVtVzSl8kok4WtpoyNETksN0=w397-h298-k-no
ChIJi8J8zQLF8RIRELWV7hBgpSA,mqh~ bb qsnTynh,All,https://lh5.googleusercontent.com/p/AF1QipMszMKhpSE3viUQ-k8BnmePhqzVvk-ILxMFAy4K=w529-h298-k-no
ChIJi8J8zQLF8RIRELWV7hBgpSA,mqh~ bb qsnTynh,Vibe,https://lh5.googleusercontent.com/p/AF1QipPE4zn_1TckEJ7eCC7PJiR_7ADrca6zmiG-c5hA=w224-h398-k-no
ChIJ2TMXOXnN8RIRHmcTffcD6Gs,CAFE SISSOU,All,https://lh5.googleusercontent.com/p/AF1QipP0wyCWmb4qtzPgKFUmxGsQwLmRRpjhVSu0N4uL=w529-h298-k-no
