place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJKXVtaVptbUcRRmJhEYNb3C8,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,2115,"Name: Schnitzelpalast
link: https://www.google.com/maps/search/Schnitzelpalast/@48.3844524,16.2078144?authuser=0&hl=zh-TW&entry=ttu
Reviews: 376 reviews

Name: Kebab Haus & Pizza
link: https://www.google.com/maps/search/Kebab+Haus+%26+Pizza/@48.385496499999995,16.2071465?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: SMATRICS Schnellladestation (bei McDonald's)
link: https://www.google.com/maps/search/SMATRICS+Schnellladestation+%28bei+McDonald%27s%29/@48.389205100000005,16.1798124?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Merkur Restaurant
link: https://www.google.com/maps/search/Merkur+Restaurant/@48.3852859,16.2375291?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Stockerau Horner Strasse
link: https://www.google.com/maps/search/Stockerau+Horner+Stra%C3%9Fe/@48.388282,16.18321?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.mcdonalds.at/,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/101761461451922496006,https://lh5.googleusercontent.com/p/AF1QipM3JLM5pV67LqkSeu2ENqQf2tYboDD7-7b93KG0=w408-h306-k-no,Can Ting ,"Can Ting , Kuai Can Dian ",3.5,07:00-01:00,Open All Days,+43 2266 61911,"McDonald's, Horner Str. 101A, 2000 Stockerau, Ao Di Li ","Ji Kuai , Ke Le , Kai Guan , Wan Ju , Zhi Dai ",https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x476d6d5a696d7529:0x2fdc5b8311616246!8m2!3d48.3889278!4d16.1796111!16s%2Fg%2F12hls7159!19sChIJKXVtaVptbUcRRmJhEYNb3C8?authuser=0&hl=zh-TW&rclk=1
ChIJq8Vx6I8SbUcRI_6tbfQ_6uU,BILLA PLUS,,False,1481,"Name: Lidl Osterreich
link: https://www.google.com/maps/search/Lidl+%C3%96sterreich/@48.3859913,16.2320377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 688 reviews

Name: HOFER
link: https://www.google.com/maps/search/HOFER/@48.3870271,16.1848021?authuser=0&hl=zh-TW&entry=ttu
Reviews: 586 reviews

Name: SPAR Unfried Stockerau
link: https://www.google.com/maps/search/SPAR+Unfried+Stockerau/@48.3894302,16.2084676?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: BILLA
link: https://www.google.com/maps/search/BILLA/@48.3855168,16.2348093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 329 reviews

Name: PENNY Markt
link: https://www.google.com/maps/search/PENNY+Markt/@48.3868824,16.2245469?authuser=0&hl=zh-TW&entry=ttu
Reviews: 315 reviews",https://www.billa.at/,BILLA PLUS (Ye Zhu ),https://www.google.com/maps/contrib/114285015075979393828,https://lh5.googleusercontent.com/p/AF1QipNNe1M3vbNMJOe6bfx4PMpwSUya2CAJjQAKtiXW=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,07:20-19:30,Xing Qi Ri ,+43 59 9150 3750,"BILLA PLUS, Wienerstrasse 38, 2000 Stockerau, Ao Di Li ","Bao Jia , Dian Yuan ",https://www.google.com/maps/place/BILLA+PLUS/data=!4m7!3m6!1s0x476d128fe871c5ab:0xe5ea3ff46dadfe23!8m2!3d48.3848784!4d16.2373604!16s%2Fg%2F1tcy7psb!19sChIJq8Vx6I8SbUcRI_6tbfQ_6uU?authuser=0&hl=zh-TW&rclk=1
ChIJS6e6laQSbUcRtdvz-v98WUs,Rotzer ice cream and BackwarenerzeugunggesmbH,,False,700,"Name: K.u.K. Hofzuckerbacker L. Heiner Stockerau, Cafe-Konditorei
link: https://www.google.com/maps/search/K.u.K.+Hofzuckerb%C3%A4cker+L.+Heiner+Stockerau%2C+Caf%C3%A9-Konditorei/@48.385958599999995,16.2103798?authuser=0&hl=zh-TW&entry=ttu
Reviews: 445 reviews

Name: Geier. Die Backerei
link: https://www.google.com/maps/search/Geier.+Die+B%C3%A4ckerei/@48.384883699999996,16.2105423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 115 reviews

Name: Stadtcafe Stockerau
link: https://www.google.com/maps/search/Stadtcafe+Stockerau/@48.384896000000005,16.208355?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: Rotzer | Zentrum Stockerau
link: https://www.google.com/maps/search/R%C3%B6tzer+%7C+Zentrum+Stockerau/@48.385940399999996,16.2142405?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: Backerei Berthold
link: https://www.google.com/maps/search/B%C3%A4ckerei+Berthold/@48.389329,16.2138796?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews",http://www.roetzer.at/,Rotzer ice cream and BackwarenerzeugunggesmbH (Ye Zhu ),https://www.google.com/maps/contrib/106434778287374514313,https://lh5.googleusercontent.com/p/AF1QipPeUnbV8cfEhYKm_ZXnN8H6m-icRW3lKNrwzM3a=w408-h240-k-no-pi-0-ya30.103264-ro-0-fo100,Xue Gao Dian ,"Xue Gao Dian , Ka Pei Ting ",4.3,07:00-21:00,Open All Days,+43 2266 71907,"Rotzer ice cream and BackwarenerzeugunggesmbH, Sparkassapl. 3, 2000 Stockerau, Ao Di Li ","Jia Ge , Ba , Zao Can , Yin Liao , Zhuang Qiu , Sheng Dai , Xia Tian , Jiao Tong ",https://www.google.com/maps/place/R%C3%B6tzer+ice+cream+and+BackwarenerzeugunggesmbH/data=!4m7!3m6!1s0x476d12a495baa74b:0x4b597cfffaf3dbb5!8m2!3d48.3859565!4d16.2141838!16s%2Fg%2F1td_g10q!19sChIJS6e6laQSbUcRtdvz-v98WUs?authuser=0&hl=zh-TW&rclk=1
ChIJL0cNHI4SbUcRIZsrfnD07vw,Lidl Osterreich,,False,688,"Name: BILLA PLUS
link: https://www.google.com/maps/search/BILLA+PLUS/@48.3848784,16.2373604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1480 reviews

Name: HOFER
link: https://www.google.com/maps/search/HOFER/@48.3811245,16.2386354?authuser=0&hl=zh-TW&entry=ttu
Reviews: 590 reviews

Name: EUROSPAR
link: https://www.google.com/maps/search/EUROSPAR/@48.387536999999995,16.1857585?authuser=0&hl=zh-TW&entry=ttu
Reviews: 386 reviews

Name: BILLA
link: https://www.google.com/maps/search/BILLA/@48.3855168,16.2348093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 329 reviews

Name: PENNY Markt
link: https://www.google.com/maps/search/PENNY+Markt/@48.3868824,16.2245469?authuser=0&hl=zh-TW&entry=ttu
Reviews: 315 reviews",https://www.lidl.at/,Lidl Osterreich (Ye Zhu ),https://www.google.com/maps/contrib/103765534204278592761,https://lh5.googleusercontent.com/p/AF1QipOwQ2HaWsj1jRGnIYUdQsVPqrIPNWmSnJZeoc4=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Ka Pei Fan Mai Ji , Shou Shi Dian , Shu Guo Dian , Chao Ji Shi Chang ",4.3,07:40-20:00,Xing Qi Ri ,+43 800 500810,"Lidl Osterreich, Wienerstrasse 24-26, 2000 Stockerau, Ao Di Li ","Ting Che Chang , Bao Jia , Shou Yin , Gao ",https://www.google.com/maps/place/Lidl+%C3%96sterreich/data=!4m7!3m6!1s0x476d128e1c0d472f:0xfceef4707e2b9b21!8m2!3d48.3859913!4d16.2320377!16s%2Fg%2F1vppr9_z!19sChIJL0cNHI4SbUcRIZsrfnD07vw?authuser=0&hl=zh-TW&rclk=1
ChIJR1JHQqUSbUcRPHwRcf5LvOU,"K.u.K. Hofzuckerbacker L. Heiner Stockerau, Cafe-Konditorei",,False,445,"Name: Rotzer ice cream and BackwarenerzeugunggesmbH
link: https://www.google.com/maps/search/R%C3%B6tzer+ice+cream+and+BackwarenerzeugunggesmbH/@48.385956500000006,16.214183800000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 700 reviews

Name: Stadtcafe Stockerau
link: https://www.google.com/maps/search/Stadtcafe+Stockerau/@48.384896000000005,16.208355?authuser=0&hl=zh-TW&entry=ttu
Reviews: 101 reviews

Name: Hasi Backerei
link: https://www.google.com/maps/search/Hasi+B%C3%A4ckerei/@48.384696399999996,16.2046732?authuser=0&hl=zh-TW&entry=ttu
Reviews: 65 reviews

Name: Cafe Neuer Markt
link: https://www.google.com/maps/search/Cafe+Neuer+Markt/@48.3846649,16.2135371?authuser=0&hl=zh-TW&entry=ttu
Reviews: 59 reviews

Name: Cafe Doris
link: https://www.google.com/maps/search/Cafe+Doris/@48.3864355,16.217035?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews",http://www.heiner.co.at/,"K.u.K. Hofzuckerbacker L. Heiner Stockerau, Cafe-Konditorei (Ye Zhu )",https://www.google.com/maps/contrib/102407521247350346334,https://lh5.googleusercontent.com/p/AF1QipP4dEOslTahAr3HM8EBOUZ6zRQqgKwCS9yz1CYs=w493-h240-k-no,Tang Guo Gao Bing Dian ,"Tang Guo Gao Bing Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Tian Pin Can Ting , Xue Gao Dian , Can Ting ",4.4,07:00-18:30,Open All Days,+43 2266 64188,"K.u.K. Hofzuckerbacker L. Heiner Stockerau, Cafe-Konditorei, Dr. Karl Renner-Platz 1, 2000 Stockerau, Ao Di Li ","Zao Can , Ba , Jia Ge , Pin Zhi , atmosphere, Lou ","https://www.google.com/maps/place/K.u.K.+Hofzuckerb%C3%A4cker+L.+Heiner+Stockerau,+Caf%C3%A9-Konditorei/data=!4m7!3m6!1s0x476d12a542475247:0xe5bc4bfe71117c3c!8m2!3d48.3859586!4d16.2103798!16s%2Fg%2F1tgp91xz!19sChIJR1JHQqUSbUcRPHwRcf5LvOU?authuser=0&hl=zh-TW&rclk=1"
ChIJX3E2_7ASbUcRW68CrMEFAZk,SPAR Unfried Stockerau,,False,397,"Name: BILLA PLUS
link: https://www.google.com/maps/search/BILLA+PLUS/@48.3848784,16.2373604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1480 reviews

Name: PENNY Markt
link: https://www.google.com/maps/search/PENNY+Markt/@48.387910899999994,16.1868274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 286 reviews

Name: BILLA
link: https://www.google.com/maps/search/BILLA/@48.38971,16.21864?authuser=0&hl=zh-TW&entry=ttu
Reviews: 246 reviews

Name: SPAR Dobo
link: https://www.google.com/maps/search/SPAR+Dobo/@48.025914099999994,16.37789?authuser=0&hl=zh-TW&entry=ttu
Reviews: 111 reviews

Name: Unfried GmbH
link: https://www.google.com/maps/search/Unfried+GmbH/@48.3896081,16.208205100000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.spar.at/standorte/spar-stockerau-2000-manhartstrasse-13-16,SPAR Unfried Stockerau (Ye Zhu ),https://www.google.com/maps/contrib/103333625251318546041,https://lh5.googleusercontent.com/p/AF1QipMJxO8js2yrJXpZUk0tAZMS8QR7WsOoLddIrF7z=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4.3,07:15-19:30,Xing Qi Ri ,+43 2266 63520,"SPAR Unfried Stockerau, Manhartstrasse 13/16, 2000 Stockerau, Ao Di Li ",Xiang Chang ,https://www.google.com/maps/place/SPAR+Unfried+Stockerau/data=!4m7!3m6!1s0x476d12b0ff36715f:0x990105c1ac02af5b!8m2!3d48.3894302!4d16.2084676!16s%2Fg%2F1tdqsb85!19sChIJX3E2_7ASbUcRW68CrMEFAZk?authuser=0&hl=zh-TW&rclk=1
ChIJZSXxJGFtbUcR_hgyCk7QqOg,EUROSPAR,,False,386,"Name: BILLA PLUS
link: https://www.google.com/maps/search/BILLA+PLUS/@48.3848784,16.2373604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1480 reviews

Name: Lidl Osterreich
link: https://www.google.com/maps/search/Lidl+%C3%96sterreich/@48.3859913,16.2320377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 688 reviews

Name: HOFER
link: https://www.google.com/maps/search/HOFER/@48.3870271,16.1848021?authuser=0&hl=zh-TW&entry=ttu
Reviews: 586 reviews

Name: PENNY Markt
link: https://www.google.com/maps/search/PENNY+Markt/@48.387910899999994,16.1868274?authuser=0&hl=zh-TW&entry=ttu
Reviews: 286 reviews

Name: BILLA
link: https://www.google.com/maps/search/BILLA/@48.38971,16.21864?authuser=0&hl=zh-TW&entry=ttu
Reviews: 246 reviews",https://www.spar.at/standorte/eurospar-stockerau-2000-hornerstrasse-76,EUROSPAR (Ye Zhu ),https://www.google.com/maps/contrib/116814851923373732941,https://lh5.googleusercontent.com/p/AF1QipPQ8-lvLGSYGO3jTHtttTKlPVKzeIv6J-lcJkRg=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4.3,07:15-19:30,Xing Qi Ri ,+43 2266 64596,"EUROSPAR, Horner Str. 76, 2000 Stockerau, Ao Di Li ","Ting Che Chang , Jia Ge , Xuan Ze , Xiang Chang , Gong Ying , Shou Yin ",https://www.google.com/maps/place/EUROSPAR/data=!4m7!3m6!1s0x476d6d6124f12565:0xe8a8d04e0a3218fe!8m2!3d48.387537!4d16.1857585!16s%2Fg%2F11fp52hw99!19sChIJZSXxJGFtbUcR_hgyCk7QqOg?authuser=0&hl=zh-TW&rclk=1
ChIJo8MNWJASbUcRZNT_pM46cG4,BILLA,,False,329,"Name: BILLA PLUS
link: https://www.google.com/maps/search/BILLA+PLUS/@48.3848784,16.2373604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1480 reviews

Name: Lidl Osterreich
link: https://www.google.com/maps/search/Lidl+%C3%96sterreich/@48.3859913,16.2320377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 688 reviews

Name: HOFER
link: https://www.google.com/maps/search/HOFER/@48.3811245,16.2386354?authuser=0&hl=zh-TW&entry=ttu
Reviews: 590 reviews

Name: SPAR Bischof Stockerau
link: https://www.google.com/maps/search/SPAR+Bischof+Stockerau/@48.3838237,16.2115579?authuser=0&hl=zh-TW&entry=ttu
Reviews: 182 reviews

Name: BILLA
link: https://www.google.com/maps/search/BILLA/@47.880263799999994,16.2507523?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews",https://www.billa.at/,BILLA (Ye Zhu ),https://www.google.com/maps/contrib/107364001536915421283,https://lh5.googleusercontent.com/p/AF1QipM2q3MHW5MF-2hQnfYigpgPwdrsifINSlKGstlo=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.1,07:00-19:15,Xing Qi Ri ,+43 59 9150 3025,"BILLA, Wienerstrasse 32/32A, 2000 Stockerau, Ao Di Li ","Ke Ren , Pin Zhi ",https://www.google.com/maps/place/BILLA/data=!4m7!3m6!1s0x476d1290580dc3a3:0x6e703acea4ffd464!8m2!3d48.3855168!4d16.2348093!16s%2Fg%2F1ptx9q7b6!19sChIJo8MNWJASbUcRZNT_pM46cG4?authuser=0&hl=zh-TW&rclk=1
ChIJPeBFR74PbUcRbRtHghRbeNo,Gasthuber's Restaurant und Buhne,,False,249,"Name: Restaurant Santorini
link: https://www.google.com/maps/search/Restaurant+Santorini/@48.385404,16.214567?authuser=0&hl=zh-TW&entry=ttu
Reviews: 941 reviews

Name: Taverna Filotimo Griechische Spezialitaten
link: https://www.google.com/maps/search/Taverna+Filotimo+Griechische+Spezialit%C3%A4ten/@48.384671399999995,16.205747199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 613 reviews

Name: Gasthof Zum Weissen Rossl
link: https://www.google.com/maps/search/Gasthof+Zum+Wei%C3%9Fen+R%C3%B6ssl/@48.3851891,16.202095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 222 reviews

Name: 4Seasons Gasthaus
link: https://www.google.com/maps/search/4Seasons+Gasthaus/@48.3841676,16.206542799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews",http://www.gasthubers.at/,Gasthuber's Restaurant und Buhne (Ye Zhu ),https://www.google.com/maps/contrib/101742268958727812743,https://lh5.googleusercontent.com/p/AF1QipN1TJWFCQWVRS0mXcVjXS2FTEtr55rBPzaqag_n=w408-h272-k-no,Can Ting ,Can Ting ,4.4,10:30-15:00,"Xing Qi Liu , Xing Qi Ri ",+43 2266 62247,"Gasthuber's Restaurant und Buhne, Bahnhofpl. 9, 2000 Stockerau, Ao Di Li ","Ba , Jia Ge , Chu Fang , Fen Wei , Shi Wang ",https://www.google.com/maps/place/Gasthuber%27s+Restaurant+und+B%C3%BChne/data=!4m7!3m6!1s0x476d0fbe4745e03d:0xda785b1482471b6d!8m2!3d48.3830108!4d16.2111415!16s%2Fg%2F1tg6ny20!19sChIJPeBFR74PbUcRbRtHghRbeNo?authuser=0&hl=zh-TW&rclk=1
ChIJs5SmrZcSbUcRlkGa0tP9-8k,BILLA,,False,223,"Name: BILLA PLUS
link: https://www.google.com/maps/search/BILLA+PLUS/@48.3848784,16.2373604?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1480 reviews

Name: Lidl Osterreich
link: https://www.google.com/maps/search/Lidl+%C3%96sterreich/@48.3859913,16.2320377?authuser=0&hl=zh-TW&entry=ttu
Reviews: 688 reviews

Name: HOFER
link: https://www.google.com/maps/search/HOFER/@48.3811245,16.2386354?authuser=0&hl=zh-TW&entry=ttu
Reviews: 590 reviews

Name: PENNY Markt
link: https://www.google.com/maps/search/PENNY+Markt/@48.3868824,16.2245469?authuser=0&hl=zh-TW&entry=ttu
Reviews: 315 reviews

Name: SPAR Bischof Stockerau
link: https://www.google.com/maps/search/SPAR+Bischof+Stockerau/@48.3838237,16.2115579?authuser=0&hl=zh-TW&entry=ttu
Reviews: 182 reviews",https://www.billa.at/,BILLA (Ye Zhu ),https://www.google.com/maps/contrib/118402299473180502672,https://lh5.googleusercontent.com/p/AF1QipN_ywmzrpw-3WxLUMIwEpwuh9gTXA6POhUZ9O2D=w426-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.3,07:00-19:15,Xing Qi Ri ,+43 59 9150 9001,"BILLA, Eduard Rosch-Strasse 71/73, 2000 Stockerau, Ao Di Li ",Pin Zhi ,https://www.google.com/maps/place/BILLA/data=!4m7!3m6!1s0x476d1297ada694b3:0xc9fbfdd3d29a4196!8m2!3d48.38726!4d16.22691!16s%2Fg%2F1wg5wtdy!19sChIJs5SmrZcSbUcRlkGa0tP9-8k?authuser=0&hl=zh-TW&rclk=1
