place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJrUxpbg4a3hQRab26Vy2nKNM,Caffe Nero,Casual coffee shop with a menu of light dishes & specially blended hot & cold drinks.,False,590,"Name: Arabica Coffee House Engomi
link: https://www.google.com/maps/search/Arabica+Coffee+House+Engomi/@35.1652875,33.3188138?authuser=0&hl=en&entry=ttu
Reviews: 108 reviews

Name: Costa Coffee
link: https://www.google.com/maps/search/Costa+Coffee/@35.1609162,33.3439379?authuser=0&hl=en&entry=ttu
Reviews: 68 reviews

Name: Cargo Coffee & Bake Engomi
link: https://www.google.com/maps/search/Cargo+Coffee+%26+Bake+Engomi/@35.1655739,33.331072899999995?authuser=0&hl=en&entry=ttu
Reviews: 20 reviews

Name: KapheNio Egkome
link: https://www.google.com/maps/search/%CE%9A%CE%B1%CF%86%CE%B5%CE%9D%CE%AF%CE%BF+%CE%88%CE%B3%CE%BA%CF%89%CE%BC%CE%B7/@35.1581329,33.3176832?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews",http://www.caffenero.com.cy/,Caffe Nero (Owner),https://www.google.com/maps/contrib/110851336615579986792,https://lh5.googleusercontent.com/p/AF1QipPMfnJjvwWZqiYuK8N_kZJE3vjZ41CVreJdvVbw=w408-h544-k-no,Coffee shop,Coffee shop,4.4,8 AM-12 AM,Open All Days,+357 22 028390,"Caffe Nero, Andrea Avraamidi 5, Egkomi 2411, Cyprus","atmosphere, parking, baristas, prices, afternoon, decorated, tart, meeting, experience, music",https://www.google.com/maps/place/Caff%C3%A8+Nero/data=!4m7!3m6!1s0x14de1a0e6e694cad:0xd328a72d57babd69!8m2!3d35.1633592!4d33.3327053!16s%2Fg%2F11byfljpmz!19sChIJrUxpbg4a3hQRab26Vy2nKNM?authuser=0&hl=en&rclk=1
ChIJ9XkblYsZ3hQR4INzg40K_eo,Arabica Coffee House Strovolos,,False,243,"Name: Caffe Nero Strovolos Library
link: https://www.google.com/maps/search/Caff%C3%A8+Nero+Strovolos+Library/@35.149829,33.342687999999995?authuser=0&hl=en&entry=ttu
Reviews: 117 reviews

Name: Costa Coffee
link: https://www.google.com/maps/search/Costa+Coffee/@35.1352312,33.3541346?authuser=0&hl=en&entry=ttu
Reviews: 108 reviews

Name: COFFEEHOUSE TasteHabitat
link: https://www.google.com/maps/search/COFFEEHOUSE+TasteHabitat/@35.1521879,33.374339299999995?authuser=0&hl=en&entry=ttu
Reviews: 45 reviews

Name: Kawa Espresso Coffee Bar
link: https://www.google.com/maps/search/Kawa+Espresso+Coffee+Bar/@35.1326995,33.328353899999996?authuser=0&hl=en&entry=ttu
Reviews: 23 reviews

Name: Coffee Lab
link: https://www.google.com/maps/search/Coffee+Lab/@35.1467434,33.3264259?authuser=0&hl=en&entry=ttu
Reviews: 20 reviews",https://arabicanicosia.quiqi.net/index,Arabica Coffee House Strovolos (Owner),https://www.google.com/maps/contrib/109726683908008831937,https://lh5.googleusercontent.com/p/AF1QipPJ8OeOWxc8p96aI1N2XZ2LAh0BWa-dIYzdGGKy=w408-h306-k-no,Coffee shop,Coffee shop,4.1,7 AM-11 PM,Open All Days,+357 22 261100,"Arabica Coffee House Strovolos, Perikleous 62, Strovolos 2021, Cyprus","parking, environment",https://www.google.com/maps/place/Arabica+Coffee+House+Strovolos/data=!4m7!3m6!1s0x14de198b951b79f5:0xeafd0a8d837383e0!8m2!3d35.1421638!4d33.3529672!16s%2Fg%2F11_t55mw7!19sChIJ9XkblYsZ3hQR4INzg40K_eo?authuser=0&hl=en&rclk=1
ChIJcxHDBFgX3hQR2lLht3EEGlk,COFFEEHOUSE TasteHabitat,,False,236,"Name: BREW LAB
link: https://www.google.com/maps/search/BREW+LAB/@35.1669415,33.3583553?authuser=0&hl=en&entry=ttu
Reviews: 145 reviews

Name: iheart cafe
link: https://www.google.com/maps/search/iheart+cafe/@35.1635377,33.3600589?authuser=0&hl=en&entry=ttu
Reviews: 87 reviews

Name: Zest
link: https://www.google.com/maps/search/Zest/@35.167315699999996,33.3572145?authuser=0&hl=en&entry=ttu
Reviews: 78 reviews

Name: The Home Cafe
link: https://www.google.com/maps/search/The+Home+Cafe/@35.1781977,33.3554977?authuser=0&hl=en&entry=ttu
Reviews: 24 reviews",http://coffeehouse.com.cy/,COFFEEHOUSE TasteHabitat (Owner),https://www.google.com/maps/contrib/103405459977020339577,https://lh5.googleusercontent.com/p/AF1QipN_gTyHFVqdZrhKLMI90ryYkLaYQYXM4xabMOwo=w427-h240-k-no,Coffee shop,"Coffee shop, Cafe, Organic shop, Salad shop, Sandwich shop",4.5,7 AM-10:30 PM,Open All Days,+357 22 767688,"COFFEEHOUSE TasteHabitat, Pargas 9, Nicosia 1065, Cyprus","prices, baristas",https://www.google.com/maps/place/COFFEEHOUSE+TasteHabitat/data=!4m7!3m6!1s0x14de175804c31173:0x591a0471b7e152da!8m2!3d35.1638503!4d33.360101!16s%2Fg%2F11dzsxb66w!19sChIJcxHDBFgX3hQR2lLht3EEGlk?authuser=0&hl=en&rclk=1
ChIJF6t_GVwX3hQR72Mg8Uv5p1o,A kkhoffee project,,False,187,"Name: BREW LAB
link: https://www.google.com/maps/search/BREW+LAB/@35.1669415,33.3583553?authuser=0&hl=en&entry=ttu
Reviews: 145 reviews

Name: iheart cafe
link: https://www.google.com/maps/search/iheart+cafe/@35.1635377,33.3600589?authuser=0&hl=en&entry=ttu
Reviews: 87 reviews

Name: Serious Black Coffee
link: https://www.google.com/maps/search/Serious+Black+Coffee/@35.1672082,33.364494?authuser=0&hl=en&entry=ttu
Reviews: 57 reviews

Name: SENIMAN Coffee Shop
link: https://www.google.com/maps/search/SENIMAN+Coffee+Shop/@35.16195160000001,33.3634972?authuser=0&hl=en&entry=ttu
Reviews: 28 reviews

Name: The Home Cafe
link: https://www.google.com/maps/search/The+Home+Cafe/@35.1781977,33.3554977?authuser=0&hl=en&entry=ttu
Reviews: 24 reviews",https://www.facebook.com/AkxoffeeProject,A kkhoffee project (Owner),https://www.google.com/maps/contrib/101591575328937883867,https://lh5.googleusercontent.com/p/AF1QipPFw9XmEvTtLhSD6PnCBeHP18mQY7TtvPmm9xOq=w408-h408-k-no,Coffee shop,"Coffee shop, Coffee roasters",4.6,7:30 AM-8 PM,Sunday,+357 22 261898,"A kkhoffee project, Pindarou 29D, Nicosia 1060, Cyprus","snacks, roast, espresso, beans, atmosphere",https://www.google.com/maps/place/A+%CE%BA%CF%87offee+project/data=!4m7!3m6!1s0x14de175c197fab17:0x5aa7f94bf12063ef!8m2!3d35.1664865!4d33.3666372!16s%2Fg%2F11h_kg1fl7!19sChIJF6t_GVwX3hQR72Mg8Uv5p1o?authuser=0&hl=en&rclk=1
ChIJNew1AN4Z3hQR72J0rmAhpio,Lala Cafe,,False,151,"Name: Pieto
link: https://www.google.com/maps/search/Pieto/@35.170957,33.3612734?authuser=0&hl=en&entry=ttu
Reviews: 801 reviews

Name: Second Cup
link: https://www.google.com/maps/search/Second+Cup/@35.164364,33.330158?authuser=0&hl=en&entry=ttu
Reviews: 344 reviews

Name: Cafe la Mode Acropolis
link: https://www.google.com/maps/search/Cafe+la+Mode+Acropolis/@35.1461847,33.3596418?authuser=0&hl=en&entry=ttu
Reviews: 148 reviews

Name: Gloria Jean's Coffees - Acropolis
link: https://www.google.com/maps/search/Gloria+Jean%27s+Coffees+-+Acropolis/@35.1562014,33.371636599999995?authuser=0&hl=en&entry=ttu
Reviews: 114 reviews",https://second-cup-acropolis.business.site/,Lala Cafe (Owner),https://www.google.com/maps/contrib/102858086038022567587,https://lh5.googleusercontent.com/p/AF1QipPiaYLXFC0F5ry2x6aXlIEwfcsx6j30VK9c-ZAh=w426-h240-k-no,Coffee shop,Coffee shop,4.5,8 AM-9:30 PM,Open All Days,+357 22 005322,"Lala Cafe, Stasinou 46 Acropoli CY 2002, Cyprus","cat, atmosphere, pumpkin soup, snack",https://www.google.com/maps/place/Lala+Cafe/data=!4m7!3m6!1s0x14de19de0035ec35:0x2aa62160ae7462ef!8m2!3d35.1555575!4d33.371501!16s%2Fg%2F11c0t94cd1!19sChIJNew1AN4Z3hQR72J0rmAhpio?authuser=0&hl=en&rclk=1
ChIJn87HjY8Z3hQRbQf4wqdkLgE,Coffee Island,,False,146,"Name: Presse Cafe
link: https://www.google.com/maps/search/Presse+Caf%C3%A9/@35.134709799999996,33.3591178?authuser=0&hl=en&entry=ttu
Reviews: 145 reviews

Name: Costa Coffee
link: https://www.google.com/maps/search/Costa+Coffee/@35.1352312,33.3541346?authuser=0&hl=en&entry=ttu
Reviews: 108 reviews

Name: Coffee Station Espresso Bar
link: https://www.google.com/maps/search/Coffee+Station+Espresso+Bar/@35.131644099999995,33.3387773?authuser=0&hl=en&entry=ttu
Reviews: 61 reviews

Name: Coffeeway
link: https://www.google.com/maps/search/Coffeeway/@35.1346292,33.3564353?authuser=0&hl=en&entry=ttu
Reviews: 29 reviews",https://www.coffeeisland.com.cy/,Coffee Island (Owner),https://www.google.com/maps/contrib/115838681435114241048,https://lh5.googleusercontent.com/p/AF1QipNKjj6pPkeyEk11uBgZwHW7g7a5Krt34ukhkhav=w426-h240-k-no,Coffee shop,Coffee shop,4.5,6 AM-10:30 PM,Open All Days,+357 22 318650,"Coffee Island, Stavrou 79G, Strovolos 2035, Cyprus",,https://www.google.com/maps/place/Coffee+Island/data=!4m7!3m6!1s0x14de198f8dc7ce9f:0x12e64a7c2f8076d!8m2!3d35.1349671!4d33.3572416!16s%2Fg%2F1pxw9lgk_!19sChIJn87HjY8Z3hQRbQf4wqdkLgE?authuser=0&hl=en&rclk=1
ChIJYRxojI8Z3hQRWhYtCyAT-0s,Presse Cafe,,False,145,"Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@35.1349671,33.3572416?authuser=0&hl=en&entry=ttu
Reviews: 146 reviews

Name: Caffe Nero Strovolos Library
link: https://www.google.com/maps/search/Caff%C3%A8+Nero+Strovolos+Library/@35.149829,33.342687999999995?authuser=0&hl=en&entry=ttu
Reviews: 117 reviews

Name: Costa Coffee
link: https://www.google.com/maps/search/Costa+Coffee/@35.1352312,33.3541346?authuser=0&hl=en&entry=ttu
Reviews: 108 reviews

Name: Coffee Station Espresso Bar
link: https://www.google.com/maps/search/Coffee+Station+Espresso+Bar/@35.131644099999995,33.3387773?authuser=0&hl=en&entry=ttu
Reviews: 61 reviews

Name: CoffeeLab - Stavrou
link: https://www.google.com/maps/search/CoffeeLab+-+Stavrou/@35.135522,33.3536553?authuser=0&hl=en&entry=ttu
Reviews: 34 reviews",https://foody.com.cy/delivery/leykosia/presse-cafe,Presse Cafe (Owner),https://www.google.com/maps/contrib/103069743038656492501,https://lh5.googleusercontent.com/p/AF1QipO8WcSe8dVmfu0xCaMnGbLcSbVufpwQU9LIoSnl=w408-h272-k-no,Coffee shop,"Coffee shop, Cake shop, Delivery service, Hamburger restaurant, Indoor playground, Takeout Restaurant, Outdoor activity organiser, Pizza delivery, Pizza Takeout, Sports bar",4.3,7 AM-11 PM,Open All Days,+357 22 316102,"Presse Cafe, Stavrou 96, Strovolos 2094, Cyprus",,https://www.google.com/maps/place/Presse+Caf%C3%A9/data=!4m7!3m6!1s0x14de198f8c681c61:0x4bfb13200b2d165a!8m2!3d35.1347098!4d33.3591178!16s%2Fg%2F1ty83tbb!19sChIJYRxojI8Z3hQRWhYtCyAT-0s?authuser=0&hl=en&rclk=1
ChIJj0L6Yg4a3hQRQKtXZ8zNtgc,Costa Coffee,"Counter-service coffee chain offering hot drinks, iced coolers, sweet snacks and sandwiches.",False,138,"Name: Caffe Nero
link: https://www.google.com/maps/search/Caff%C3%A8+Nero/@35.163359199999995,33.3327053?authuser=0&hl=en&entry=ttu
Reviews: 589 reviews

Name: Second Cup
link: https://www.google.com/maps/search/Second+Cup/@35.164364,33.330158?authuser=0&hl=en&entry=ttu
Reviews: 344 reviews

Name: Arabica Coffee House Engomi
link: https://www.google.com/maps/search/Arabica+Coffee+House+Engomi/@35.1652875,33.3188138?authuser=0&hl=en&entry=ttu
Reviews: 108 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@35.1592189,33.316634799999996?authuser=0&hl=en&entry=ttu
Reviews: 59 reviews

Name: Cargo Coffee & Bake Engomi
link: https://www.google.com/maps/search/Cargo+Coffee+%26+Bake+Engomi/@35.1655739,33.331072899999995?authuser=0&hl=en&entry=ttu
Reviews: 20 reviews",https://www.costacoffee.com.cy/,Costa Coffee (Owner),,https://lh5.googleusercontent.com/p/AF1QipPBbClV5glu4GqJTpO1CAG6pfebzo_1zrMXttiX=w408-h306-k-no,Coffee shop,Coffee shop,4.3,6:30 AM-11 PM,Open All Days,+357 77 777050,"587M+M3C Costa Coffee, Ayiou Nikolaou, Egkomi 2408, Cyprus",pastries,https://www.google.com/maps/place/Costa+Coffee/data=!4m7!3m6!1s0x14de1a0e62fa428f:0x7b6cdcc6757ab40!8m2!3d35.1641767!4d33.3326263!16s%2Fg%2F1q5bmtkyx!19sChIJj0L6Yg4a3hQRQKtXZ8zNtgc?authuser=0&hl=en&rclk=1
ChIJYfnN59wb3hQRCymz2bPKwrI,Caffe Nero Strovolos Library,Casual coffee shop with a menu of light dishes & specially blended hot & cold drinks.,False,118,"Name: Arabica Coffee House Strovolos
link: https://www.google.com/maps/search/Arabica+Coffee+House+Strovolos/@35.1421638,33.3529672?authuser=0&hl=en&entry=ttu
Reviews: 242 reviews

Name: Presse Cafe
link: https://www.google.com/maps/search/Presse+Caf%C3%A9/@35.134709799999996,33.3591178?authuser=0&hl=en&entry=ttu
Reviews: 145 reviews

Name: Coffee Berry stadiou 77 strovolos
link: https://www.google.com/maps/search/Coffee+Berry+stadiou+77+strovolos/@35.1564068,33.338419?authuser=0&hl=en&entry=ttu
Reviews: 64 reviews

Name: Coffee Station Espresso Bar
link: https://www.google.com/maps/search/Coffee+Station+Espresso+Bar/@35.131644099999995,33.3387773?authuser=0&hl=en&entry=ttu
Reviews: 61 reviews

Name: Kawa Espresso Coffee Bar
link: https://www.google.com/maps/search/Kawa+Espresso+Coffee+Bar/@35.1326995,33.328353899999996?authuser=0&hl=en&entry=ttu
Reviews: 23 reviews",https://caffenero.com/cy/,Caffe Nero Strovolos Library (Owner),https://www.google.com/maps/contrib/110353864180754942939,https://lh5.googleusercontent.com/p/AF1QipPAF6HslVrO6NWprPX9ro0bXgi7tnFp4fZM3jzw=w408-h544-k-no,Coffee shop,"Coffee shop, Cafe",4.5,8 AM-10:30 PM,Open All Days,+357 22 051372,"Caffe Nero Strovolos Library, Archiepiskopou Kyprianou 24, Strovolos 2059, Cyprus","kids, garden, play, space, music",https://www.google.com/maps/place/Caff%C3%A8+Nero+Strovolos+Library/data=!4m7!3m6!1s0x14de1bdce7cdf961:0xb2c2cab3d9b3290b!8m2!3d35.149829!4d33.342688!16s%2Fg%2F11jmh_7l6x!19sChIJYfnN59wb3hQRCymz2bPKwrI?authuser=0&hl=en&rclk=1
ChIJo1yNJN4Z3hQRBywcm-6ghH0,Gloria Jean's Coffees - Acropolis,,False,114,"Name: Gloria Jean's Coffees Dereboyu
link: https://www.google.com/maps/search/Gloria+Jean%27s+Coffees+Dereboyu/@35.18544,33.3513832?authuser=0&hl=en&entry=ttu
Reviews: 1317 reviews

Name: Lala Cafe
link: https://www.google.com/maps/search/Lala+Cafe/@35.1555575,33.371500999999995?authuser=0&hl=en&entry=ttu
Reviews: 150 reviews

Name: Kennedy's Cafe
link: https://www.google.com/maps/search/Kennedy%27s+Cafe/@35.158294100000006,33.3644955?authuser=0&hl=en&entry=ttu
Reviews: 30 reviews",http://www.gloriajeanscoffees.com.cy/,Gloria Jean's Coffees - Acropolis (Owner),https://www.google.com/maps/contrib/103227380510401788160,https://lh5.googleusercontent.com/p/AF1QipNer9KiKgKBctbqG19SbMwiEPj_MDYcRZQJ241f=w408-h306-k-no,Coffee shop,Coffee shop,4,7 AM-9 PM,Open All Days,+357 22 251858,"Gloria Jean's Coffees - Acropolis, Stasinou 46a, Strovolos 2024, Cyprus",atmosphere,https://www.google.com/maps/place/Gloria+Jean%27s+Coffees+-+Acropolis/data=!4m7!3m6!1s0x14de19de248d5ca3:0x7d84a0ee9b1c2c07!8m2!3d35.1562014!4d33.3716366!16s%2Fg%2F11c0s8qsyq!19sChIJo1yNJN4Z3hQRBywcm-6ghH0?authuser=0&hl=en&rclk=1
