place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJj8rO1QFf1moRODQfUSyNEMw,Bean Lab,,False,141,"Name: Braybrook STN
link: https://www.google.com/maps/search/Braybrook+STN/@-37.7938046,144.86084739999998?authuser=0&hl=en&entry=ttu
Reviews: 391 reviews

Name: Da Coffee Bean
link: https://www.google.com/maps/search/Da+Coffee+Bean/@-37.7802553,144.8604403?authuser=0&hl=en&entry=ttu
Reviews: 37 reviews

Name: Espresso Bar
link: https://www.google.com/maps/search/Espresso+Bar/@-37.7936121,144.8605738?authuser=0&hl=en&entry=ttu
Reviews: 18 reviews

Name: Coffee House
link: https://www.google.com/maps/search/Coffee+House/@-37.7936964,144.86091109999998?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews",https://beanlab.bitebusiness.com/,Bean Lab (Owner),https://www.google.com/maps/contrib/112397999773031391971,https://lh5.googleusercontent.com/p/AF1QipNMEfw0At6NJ5lylyjDSIV5IaUK2xUkDAjNfv6C=w426-h240-k-no,Coffee shop,Coffee shop,4.4,7 AM-4 PM,Open All Days,+61 3 9069 2151,"Bean Lab, Kiosk 2/330 Ballarat Rd, Braybrook VIC 3019, Australia","barista, morning, snack, almond, croissant, latte, team, cappuccino, smile",https://www.google.com/maps/place/Bean+Lab/data=!4m7!3m6!1s0x6ad65f01d5ceca8f:0xcc108d2c511f3438!8m2!3d-37.7780746!4d144.8509492!16s%2Fg%2F11fhvn80q8!19sChIJj8rO1QFf1moRODQfUSyNEMw?authuser=0&hl=en&rclk=1
ChIJSaniJphh1moRsD2ebNMUB9g,TBC Coffee Shop,,False,3,,https://www.instagram.com/tbc.coffeeshop/,TBC Coffee Shop (Owner),https://www.google.com/maps/contrib/117959882745179503806,https://lh5.googleusercontent.com/p/AF1QipOmueabToRB4KjUAUGLQV5SZGvkJ9kGelK1mDzq=w408-h508-k-no,Coffee shop,"Coffee shop, Breakfast restaurant, Brunch restaurant, Cafe, Espresso bar, Event venue, Hobby store, Lunch restaurant, Motoring club, Racing car parts store",5,7 AM-3 PM,Open All Days,,"TBC Coffee Shop, Unit 19/19 Export Dr, Brooklyn VIC 3012, Australia",,https://www.google.com/maps/place/TBC+Coffee+Shop/data=!4m7!3m6!1s0x6ad6619826e2a949:0xd80714d36c9e3db0!8m2!3d-37.8207897!4d144.8558466!16s%2Fg%2F11y1m4nkrp!19sChIJSaniJphh1moRsD2ebNMUB9g?authuser=0&hl=en&rclk=1
ChIJqc40yMFf1moRdfXzdG7jVx8,CC Cafe - Coffee on Churchill,,False,2,"Name: Braybrook STN
link: https://www.google.com/maps/search/Braybrook+STN/@-37.7938046,144.86084739999998?authuser=0&hl=en&entry=ttu
Reviews: 391 reviews

Name: Espresso Bar
link: https://www.google.com/maps/search/Espresso+Bar/@-37.7936121,144.8605738?authuser=0&hl=en&entry=ttu
Reviews: 18 reviews

Name: Coffee House
link: https://www.google.com/maps/search/Coffee+House/@-37.7936964,144.86091109999998?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews

Name: Cafe Jc
link: https://www.google.com/maps/search/Cafe+Jc/@-37.7808488,144.8591202?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",http://www.churchillcellars.com.au/cafe/,CC Cafe - Coffee on Churchill (Owner),https://www.google.com/maps/contrib/113609289555911029428,https://lh5.googleusercontent.com/p/AF1QipMi93w4iNiNDPXQMBVYZ7hWAZSq6wUTX60uV1Hj=w408-h306-k-no,Coffee shop,"Coffee shop, Liquor store",5,8 AM-7 PM,Open All Days,+61 3 9311 1495,"CC Cafe - Coffee on Churchill, 160 Churchill Ave, Braybrook VIC 3019, Australia",,https://www.google.com/maps/place/CC+Cafe+-+Coffee+on+Churchill/data=!4m7!3m6!1s0x6ad65fc1c834cea9:0x1f57e36e74f3f575!8m2!3d-37.7857462!4d144.8533884!16s%2Fg%2F11mv508vgb!19sChIJqc40yMFf1moRdfXzdG7jVx8?authuser=0&hl=en&rclk=1
ChIJnYrXtEZh1moRj_nwlEFTtPw,Fiona's Cafe,,False,102,"Name: Grind Coffee Bar
link: https://www.google.com/maps/search/Grind+Coffee+Bar/@-37.779536,144.8325183?authuser=0&hl=en&entry=ttu
Reviews: 401 reviews

Name: iCaffe
link: https://www.google.com/maps/search/iCaffe/@-37.7851115,144.8331254?authuser=0&hl=en&entry=ttu
Reviews: 87 reviews

Name: Cafe Fresh
link: https://www.google.com/maps/search/Cafe+Fresh/@-37.812849799999995,144.8170783?authuser=0&hl=en&entry=ttu
Reviews: 51 reviews

Name: April's cafe and catering
link: https://www.google.com/maps/search/April%E2%80%99s+cafe+and+catering/@-37.8115284,144.825244?authuser=0&hl=en&entry=ttu
Reviews: 24 reviews",,Fiona's Cafe (Owner),https://www.google.com/maps/contrib/104616158146589972624,https://lh5.googleusercontent.com/p/AF1QipMDpdCj7SoI97lXUNwlUHe0cBhvkIgTkWAvUTs6=w408-h408-k-no,Coffee shop,Coffee shop,4.7,5 AM-3 PM,"Saturday, Sunday",+61 3 8589 0348,"Fiona's Cafe, 60 Industrial Dr, Sunshine West VIC 3020, Australia","lunch, salad, family, business, happy, wrap, burger, chicken, take away, healthy",https://www.google.com/maps/place/Fiona%27s+Cafe/data=!4m7!3m6!1s0x6ad66146b4d78a9d:0xfcb4534194f0f98f!8m2!3d-37.812315!4d144.8104475!16s%2Fg%2F11m_ktpcpq!19sChIJnYrXtEZh1moRj_nwlEFTtPw?authuser=0&hl=en&rclk=1
ChIJ9a4MP39f1moRMae1m6KhHUU,Shisha Luxe Cafe,,False,88,"Name: Empire Shisha Bar
link: https://www.google.com/maps/search/Empire+Shisha+Bar/@-37.7447831,144.80078?authuser=0&hl=en&entry=ttu
Reviews: 164 reviews

Name: Nineteen91 Cafe
link: https://www.google.com/maps/search/Nineteen91+Cafe/@-37.739586599999996,144.8243861?authuser=0&hl=en&entry=ttu
Reviews: 137 reviews

Name: Desta House
link: https://www.google.com/maps/search/Desta+House/@-37.7879777,144.8311961?authuser=0&hl=en&entry=ttu
Reviews: 46 reviews",,Shisha Luxe Cafe (Owner),https://www.google.com/maps/contrib/108582268800174165383,https://lh5.googleusercontent.com/p/AF1QipO67OE72wXozZ633jc_e2Ed1ntYVKncRJxMous=w408-h544-k-no,Coffee store,"Coffee store, Cafe, Dessert shop, Juice shop, Vietnamese restaurant",4.8,10 AM-6 PM,Sunday,+61 3 9312 1229,"Shisha Luxe Cafe, 67 McIntyre Rd, Sunshine North VIC 3020, Australia","kebab, price, environment",https://www.google.com/maps/place/Shisha+Luxe+Cafe/data=!4m7!3m6!1s0x6ad65f7f3f0caef5:0x451da1a29bb5a731!8m2!3d-37.7692774!4d144.8299844!16s%2Fg%2F11hzblhh2l!19sChIJ9a4MP39f1moRMae1m6KhHUU?authuser=0&hl=en&rclk=1
ChIJhTozpZhf1moRkQENnT2-KFo,T & tea coffee,,False,33,"Name: Grind Coffee Bar
link: https://www.google.com/maps/search/Grind+Coffee+Bar/@-37.779536,144.8325183?authuser=0&hl=en&entry=ttu
Reviews: 401 reviews

Name: The Granary Cafe
link: https://www.google.com/maps/search/The+Granary+Cafe/@-37.7848465,144.8310932?authuser=0&hl=en&entry=ttu
Reviews: 231 reviews

Name: Boba Tea
link: https://www.google.com/maps/search/Boba+Tea/@-37.785115999999995,144.831776?authuser=0&hl=en&entry=ttu
Reviews: 17 reviews

Name: Red Bean Espresso Bar
link: https://www.google.com/maps/search/Red+Bean+Espresso+Bar/@-37.786254199999995,144.8331585?authuser=0&hl=en&entry=ttu
Reviews: 10 reviews

Name: The Hood Cafe
link: https://www.google.com/maps/search/The+Hood+Cafe/@-37.7878879,144.83044669999998?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",,T & tea coffee (Owner),,https://lh5.googleusercontent.com/p/AF1QipPGHBNk4veMatE0Du-0hxHwjYfUZNOrSc6XLo8X=w426-h240-k-no,Coffee shop,Coffee shop,4.8,9 AM-7 PM,Open All Days,+61 3 9041 5678,"T & tea coffee, 1/284 Hampshire Rd, Sunshine VIC 3020, Australia","sugarcane, rice",https://www.google.com/maps/place/T+%26+tea+coffee/data=!4m7!3m6!1s0x6ad65f98a5333a85:0x5a28be3d9d0d0191!8m2!3d-37.78459!4d144.832507!16s%2Fg%2F11p_1g7d70!19sChIJhTozpZhf1moRkQENnT2-KFo?authuser=0&hl=en&rclk=1
ChIJ57csrzNf1moR2OO0EcuhKaE,Tico's,,False,27,"Name: Tico's Drive Thru
link: https://www.google.com/maps/search/Tico%E2%80%99s+Drive+Thru/@-37.8165987,144.8510191?authuser=0&hl=en&entry=ttu
Reviews: 520 reviews

Name: Bean Lab
link: https://www.google.com/maps/search/Bean+Lab/@-37.7780746,144.8509492?authuser=0&hl=en&entry=ttu
Reviews: 141 reviews

Name: Da Coffee Bean
link: https://www.google.com/maps/search/Da+Coffee+Bean/@-37.7802553,144.8604403?authuser=0&hl=en&entry=ttu
Reviews: 37 reviews

Name: Espresso Bar
link: https://www.google.com/maps/search/Espresso+Bar/@-37.7936121,144.8605738?authuser=0&hl=en&entry=ttu
Reviews: 18 reviews",,Tico's (Owner),,https://lh5.googleusercontent.com/p/AF1QipOkf0VfC7PR_3FtKIHGJ0S8j7eZi8tzudWZd7Bb=w408-h544-k-no,Coffee shop,Coffee shop,4.8,4:45 AM-12 PM,Open All Days,,"Tico's, 252 Ballarat Rd, Braybrook VIC 3019, Australia",drive through,https://www.google.com/maps/place/Tico%27s/data=!4m7!3m6!1s0x6ad65f33af2cb7e7:0xa129a1cb11b4e3d8!8m2!3d-37.7802539!4d144.8604396!16s%2Fg%2F11jp0ghl6q!19sChIJ57csrzNf1moR2OO0EcuhKaE?authuser=0&hl=en&rclk=1
ChIJd68WmwVh1moRTEZ_AUSTANY,JOE's MILKBAR * CAFE,,False,26,"Name: Grandpa Joe
link: https://www.google.com/maps/search/Grandpa+Joe/@-37.773087,144.915716?authuser=0&hl=en&entry=ttu
Reviews: 187 reviews

Name: Milky Joe's
link: https://www.google.com/maps/search/Milky+Joe%27s/@-37.810808699999995,144.9655074?authuser=0&hl=en&entry=ttu
Reviews: 129 reviews

Name: Sunrise Deli Cafe
link: https://www.google.com/maps/search/Sunrise+Deli+Cafe/@-37.7983225,144.8396736?authuser=0&hl=en&entry=ttu
Reviews: 101 reviews

Name: Three Zero Two Zero
link: https://www.google.com/maps/search/Three+Zero+Two+Zero/@-37.79009,144.8170246?authuser=0&hl=en&entry=ttu
Reviews: 65 reviews",,JOE's MILKBAR * CAFE (Owner),,https://lh5.googleusercontent.com/p/AF1QipN8DX5Xx25Y8_EVDWy1B1bme7pjDP-Fsc6Z3ZQM=w408-h306-k-no,Coffee shop,Coffee shop,4.7,,Open All Days,,"JOE's MILKBAR * CAFE, 83 Glengala Rd, Sunshine West VIC 3020, Australia","family, price",https://www.google.com/maps/place/JOE%E2%80%99s+MILKBAR+%E2%80%A2+CAFE/data=!4m7!3m6!1s0x6ad661059b16af77:0xd6009344017f464c!8m2!3d-37.7906282!4d144.8173728!16s%2Fg%2F11s4tdwmxw!19sChIJd68WmwVh1moRTEZ_AUSTANY?authuser=0&hl=en&rclk=1
ChIJXWVo1chf1moRI3mp3otsqRc,Red Bean Espresso Bar,,False,10,"Name: Grind Coffee Bar
link: https://www.google.com/maps/search/Grind+Coffee+Bar/@-37.779536,144.8325183?authuser=0&hl=en&entry=ttu
Reviews: 401 reviews

Name: The Granary Cafe
link: https://www.google.com/maps/search/The+Granary+Cafe/@-37.7848465,144.8310932?authuser=0&hl=en&entry=ttu
Reviews: 231 reviews

Name: T & tea coffee
link: https://www.google.com/maps/search/T+%26+tea+coffee/@-37.78459,144.832507?authuser=0&hl=en&entry=ttu
Reviews: 33 reviews

Name: The Hood Cafe
link: https://www.google.com/maps/search/The+Hood+Cafe/@-37.7878879,144.83044669999998?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Espresso Bar
link: https://www.google.com/maps/search/Espresso+Bar/@-37.787797399999995,144.8308406?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",,Red Bean Espresso Bar (Owner),,https://lh5.googleusercontent.com/p/AF1QipOeBakjzka6SdDbyaGQNFUesF2dS5abUXeICFsJ=w408-h306-k-no,Coffee shop,Coffee shop,3.9,8 AM-4 PM,"Saturday, Sunday",,"Red Bean Espresso Bar, 12 Clarke St, Sunshine VIC 3020, Australia",,https://www.google.com/maps/place/Red+Bean+Espresso+Bar/data=!4m7!3m6!1s0x6ad65fc8d568655d:0x17a96c8bdea97923!8m2!3d-37.7862542!4d144.8331585!16s%2Fg%2F11sn_8tz2y!19sChIJXWVo1chf1moRI3mp3otsqRc?authuser=0&hl=en&rclk=1
ChIJv_b1lEdh1moReJ3xT3UATSA,Afakasi Cafe,,False,9,"Name: Popeye's Cafe
link: https://www.google.com/maps/search/Popeye%27s+Cafe/@-37.8246918,144.79919429999998?authuser=0&hl=en&entry=ttu
Reviews: 67 reviews

Name: Little D's Cafe
link: https://www.google.com/maps/search/Little+D%27s+Cafe/@-37.8187163,144.81966309999999?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: AAFCANS Canteen
link: https://www.google.com/maps/search/AAFCANS+Canteen/@-37.8638611,144.76141049999998?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: K's Cafe
link: https://www.google.com/maps/search/K%27s+Cafe/@-37.8166668,144.8163909?authuser=0&hl=en&entry=ttu
Reviews: 0 reviews",,Afakasi Cafe (Owner),https://www.google.com/maps/contrib/117308519880129093858,https://lh5.googleusercontent.com/p/AF1QipOXvRg_GuD_kH-EmiY0ByGlbR14BCcI5ktFjVVn=w408-h544-k-no,Coffee shop,Coffee shop,3.7,,Open All Days,,"Afakasi Cafe, Unit 7/110-116 Fitzgerald Rd, Laverton North VIC 3026, Australia",bacon,https://www.google.com/maps/place/Afakasi+Cafe/data=!4m7!3m6!1s0x6ad6614794f5f6bf:0x204d00754ff19d78!8m2!3d-37.8262775!4d144.7864407!16s%2Fg%2F11rjm71gh9!19sChIJv_b1lEdh1moReJ3xT3UATSA?authuser=0&hl=en&rclk=1
