place_id,place_name,about,link
ChIJMaXAfVGjjxIRLvTqiX5hKzs,Mas O Menos,All,https://lh5.googleusercontent.com/p/AF1QipPh163QjvY1qtHOk9_SDzbkKYiP_6L1gmJjQnuf=w224-h298-k-no
ChIJMaXAfVGjjxIRLvTqiX5hKzs,Mas O Menos,Food & drink,https://lh5.googleusercontent.com/p/AF1QipNZQrLTFYoHpfk1YA_TTmeEgmwNnv7_4N4pmxs9=w224-h298-k-no
ChIJMaXAfVGjjxIRLvTqiX5hKzs,Mas O Menos,Videos,https://lh5.googleusercontent.com/p/AF1QipOrhsNQQDg98SCLjW9aVgEuV87e9x935eT9Od-R=w529-h298-k-no
ChIJ6VulL_CljxIRxKwb-dKfjSY,COFFEE Kazi,All,https://lh5.googleusercontent.com/p/AF1QipO-GuMfnn3OxXUCiu2GhO7ENlVcx10GO1QvygEn=w529-h298-k-no
ChIJ6VulL_CljxIRxKwb-dKfjSY,COFFEE Kazi,Food & drink,https://lh5.googleusercontent.com/p/AF1QipO-3iqkatM9aG7lkgccrGNQGtYDDjwFan0PnnWS=w224-h472-k-no
ChIJ6VulL_CljxIRxKwb-dKfjSY,COFFEE Kazi,Vibe,https://lh5.googleusercontent.com/p/AF1QipOFhb8SPoKYh7AxvUh7SqArM2gIDTwhjDN_9i-Q=w529-h298-k-no
ChIJj-U1CfqjjxIR-bYqBWdbTbA,Bayzid Coffee,All,https://lh5.googleusercontent.com/p/AF1QipMaT10erQG6a5-NKhlTYVJ9Rn4_LLa-TWtYdI7B=w397-h298-k-no
ChIJj-U1CfqjjxIR-bYqBWdbTbA,Bayzid Coffee,Vibe,https://lh5.googleusercontent.com/p/AF1QipPqvbCFYsAUS2BpNuFmkqF6i_sUd76iBEQ6UOtA=w529-h298-k-no
ChIJNVHC2_ajjxIROOrBXYHXsFY,Gatsby'land,All,https://lh5.googleusercontent.com/p/AF1QipNFm4yLVcopHAMe2syyNqPX3j-xD8OCB-jREVUe=w224-h397-k-no
ChIJb1wErO2jjxIRvbG7ECatEMA,Wonder food's terrasse,All,https://lh5.googleusercontent.com/p/AF1QipOmIdJYUf5EjWc2HngNwbHKq_GCW3VZtSTYcHsr=w395-h298-k-no
ChIJb1wErO2jjxIRvbG7ECatEMA,Wonder food's terrasse,Latest,https://lh5.googleusercontent.com/p/AF1QipPK76eJ0BuHBbE2kSa2aq1Tqo-r-_vADP0mmGrp=w224-h498-k-no
ChIJb1wErO2jjxIRvbG7ECatEMA,Wonder food's terrasse,Videos,https://lh5.googleusercontent.com/p/AF1QipOqNTCvejOSIpe-IU66nn0aCseusdrwv6WNl0EH=w224-h398-k-no
