place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJi2Bp7SlamhQRHR09ehNQ2-w,Coffee Island,,True,166,"Name: News Cafe
link: https://www.google.com/maps/search/News+Cafe/@35.3397654,25.133061?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1131 reviews

Name: Craft Coffeeshop
link: https://www.google.com/maps/search/Craft+Coffeeshop/@35.331732099999996,25.135125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews

Name: Coffeeway Crete
link: https://www.google.com/maps/search/Coffeeway+Crete/@35.337024,25.134217099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 99 reviews

Name: CoffeeWalk
link: https://www.google.com/maps/search/CoffeeWalk/@35.341876899999995,25.1343279?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",https://www.coffeeisland.gr/%3Futm_campaign%3Dwebsite%26utm_medium%3Dorganic%26utm_source%3Dgoogle,Coffee Island (Ye Zhu ),https://www.google.com/maps/contrib/100391533770353122611,https://lh5.googleusercontent.com/p/AF1QipNbWTjOJb84kiaaegqPAaUBrGMn0bY9VDA-js-S=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,06:00-22:00,Open All Days,+30 281 033 5595,"Coffee Island, Evans 93, Iraklio 712 01Xi La ",,https://www.google.com/maps/place/Coffee+Island/data=!4m7!3m6!1s0x149a5a29ed69608b:0xecdb50137a3d1d1d!8m2!3d35.3346832!4d25.1347895!16s%2Fg%2F11cmn0qj89!19sChIJi2Bp7SlamhQRHR09ehNQ2-w?authuser=0&hl=zh-TW&rclk=1
ChIJV5BYG4ZZmhQRvL8QF0KfJOg,Mare Coffee Bar & Food,,False,3867,"Name: Cafe Marina
link: https://www.google.com/maps/search/Cafe+Marina/@35.3427545,25.1369035?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2097 reviews

Name: Frankly cafe
link: https://www.google.com/maps/search/Frankly+cafe/@35.3378909,25.1312116?authuser=0&hl=zh-TW&entry=ttu
Reviews: 851 reviews

Name: Granary Espresso Bar & Eatery
link: https://www.google.com/maps/search/Granary+Espresso+Bar+%26+Eatery/@35.339653999999996,25.1332396?authuser=0&hl=zh-TW&entry=ttu
Reviews: 496 reviews

Name: Samaria Delizioso
link: https://www.google.com/maps/search/Samaria+Delizioso/@35.339496800000006,25.1327431?authuser=0&hl=zh-TW&entry=ttu
Reviews: 301 reviews

Name: Corner cafe eat'aliano
link: https://www.google.com/maps/search/Corner+cafe+eat%27aliano/@35.3396219,25.1334338?authuser=0&hl=zh-TW&entry=ttu
Reviews: 181 reviews",http://www.mareriviera.gr/,Mare Coffee Bar & Food (Ye Zhu ),https://www.google.com/maps/contrib/107822588313678710552,https://lh5.googleusercontent.com/p/AF1QipOhLi9Znv1MDMewoEC7qCtdzr1uzZuYMtdL-3Zl=w408-h544-k-no,Can Ting ,"Can Ting , Ji Wei Jiu Jiu Ba , Ka Pei Dian ",4.4,08:30-01:00,Open All Days,+30 281 024 1946,"Mare Coffee Bar & Food, Leof. Sofokli Venizelou, Iraklio 713 03Xi La ","Zao Can , Diao Jiu , Ka Pei Ting , Xi Yang , Zao Wu Can , Xiang Kuang , Yin Le ",https://www.google.com/maps/place/Mare+Coffee+Bar+%26+Food/data=!4m7!3m6!1s0x149a59861b589057:0xe8249f421710bfbc!8m2!3d35.3422562!4d25.1303266!16s%2Fg%2F1tcttvpn!19sChIJV5BYG4ZZmhQRvL8QF0KfJOg?authuser=0&hl=zh-TW&rclk=1
ChIJNTF16yFamhQR6i4s1UwePJA,ENVY,,False,3558,"Name: KAFEpoieio
link: https://www.google.com/maps/search/KAFEpoieio/@35.3226625,25.1501222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1119 reviews

Name: Flocafe Espresso Room
link: https://www.google.com/maps/search/Flocafe+Espresso+Room/@35.340537399999995,25.1199509?authuser=0&hl=zh-TW&entry=ttu
Reviews: 916 reviews

Name: Kids Block 62
link: https://www.google.com/maps/search/Kids+Block+62/@35.3337813,25.1148042?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews

Name: Miniatoures Kids
link: https://www.google.com/maps/search/Miniatoures+Kids/@35.3330556,25.122183099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 249 reviews

Name: Queen Cafe
link: https://www.google.com/maps/search/Queen+Cafe/@35.340198,25.1355819?authuser=0&hl=zh-TW&entry=ttu
Reviews: 239 reviews",https://www.facebook.com/pages/Envy-Cafe-Club/202166116481754,ENVY (Ye Zhu ),https://www.google.com/maps/contrib/102457578220455297195,https://lh5.googleusercontent.com/p/AF1QipPIA2p6WG5Gjl3E-GW4Bw-n2QqTiO_Szv1r1uhB=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,09:00-01:00,Open All Days,+30 281 037 2763,"ENVY, Leof. Sofokli Venizelou, Iraklio 713 03Xi La ","Hai , Jia Ge , Pi Sa , You Le Chang , Jia Ting , Diao Jiu , Yin Le , Zhuo , Kong Jian ",https://www.google.com/maps/place/ENVY/data=!4m7!3m6!1s0x149a5a21eb753135:0x903c1e4cd52c2eea!8m2!3d35.3409645!4d25.1190698!16s%2Fg%2F1pxq5wvtn!19sChIJNTF16yFamhQR6i4s1UwePJA?authuser=0&hl=zh-TW&rclk=1
ChIJJxSY44ZZmhQRqbEHEpayMio,Hacienda.,,False,2373,"Name: Utopia
link: https://www.google.com/maps/search/Utopia/@35.340266799999995,25.1310368?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2399 reviews

Name: Indigo
link: https://www.google.com/maps/search/Indigo/@35.3403445,25.1340064?authuser=0&hl=zh-TW&entry=ttu
Reviews: 966 reviews

Name: Frankly cafe
link: https://www.google.com/maps/search/Frankly+cafe/@35.3378909,25.1312116?authuser=0&hl=zh-TW&entry=ttu
Reviews: 851 reviews

Name: Eridanos cafe-bar-bistro
link: https://www.google.com/maps/search/%CE%97%CF%81%CE%B9%CE%B4%CE%B1%CE%BD%CF%8C%CF%82+cafe-bar-bistro/@35.3391522,25.134230000000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 620 reviews

Name: Samaria Delizioso
link: https://www.google.com/maps/search/Samaria+Delizioso/@35.339496800000006,25.1327431?authuser=0&hl=zh-TW&entry=ttu
Reviews: 301 reviews",https://haciendacafe.com/,Hacienda. (Ye Zhu ),https://www.google.com/maps/contrib/101034579214787806080,https://lh5.googleusercontent.com/p/AF1QipPLdegiUx4nspP94IrSx6VleJWGrKc27eIum0Z_=w408-h272-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Zao Wu Can Can Ting , Ka Pei Ting , Zi Zhu Can Ting , Mei Shi Can Che Dian , Zheng Liu Ka Pei Ba , Can Ting ",4.6,06:30-22:00,Open All Days,+30 281 029 9300,"Hacienda., Leof. Andrea Papandreou 25, Iraklio 713 05Xi La ","Zao Wu Can , Song Bing , Jia Ge , atmosphere, Ban Ni Di Ke Dan , Yin Le , San Ming Zhi , Pin Zhi , Xiao Chi ",https://www.google.com/maps/place/Hacienda./data=!4m7!3m6!1s0x149a5986e3981427:0x2a32b2961207b1a9!8m2!3d35.3308542!4d25.133703!16s%2Fg%2F11b7c8y85k!19sChIJJxSY44ZZmhQRqbEHEpayMio?authuser=0&hl=zh-TW&rclk=1
ChIJORB51C5amhQRbsELDU2Vh9A,Phyllosophies,,False,2358,"Name: Eiffel
link: https://www.google.com/maps/search/Eiffel/@35.3307062,25.134856400000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1598 reviews

Name: SPELLS Cafe Patisserie
link: https://www.google.com/maps/search/SPELLS+Cafe+Patisserie/@35.3254994,25.0668863?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1242 reviews

Name: Kirkor
link: https://www.google.com/maps/search/Kirk%C3%B3r/@35.339032599999996,25.1329899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 959 reviews

Name: Samaria Delizioso
link: https://www.google.com/maps/search/Samaria+Delizioso/@35.339496800000006,25.1327431?authuser=0&hl=zh-TW&entry=ttu
Reviews: 301 reviews

Name: Phyllosophies at Ace
link: https://www.google.com/maps/search/Phyllosophies+at+Ace/@35.324323299999996,25.1187097?authuser=0&hl=zh-TW&entry=ttu
Reviews: 166 reviews",https://phyllosophies.gr/,Phyllosophies (Ye Zhu ),https://www.google.com/maps/contrib/105718194665792177469,https://lh5.googleusercontent.com/p/AF1QipMRrLiU8g2N1McJe2Z8GviyGASCk20QHhZiBg_l=w408-h509-k-no,Ka Pei Dian ,"Ka Pei Dian , Gao Bing Dian , Fa Shi Gao Bing Dian ",4.8,06:00-00:00,Open All Days,+30 281 028 4774,"Phyllosophies, Pl. El. Venizelou 33, Iraklio 712 01Xi La ","Pen Quan , Feng Mi , Guang Chang , Shi , He Tao , Qia Shi Da ",https://www.google.com/maps/place/Phyllosophies/data=!4m7!3m6!1s0x149a5a2ed4791039:0xd087954d0d0bc16e!8m2!3d35.3389727!4d25.1330673!16s%2Fg%2F11b7lnr014!19sChIJORB51C5amhQRbsELDU2Vh9A?authuser=0&hl=zh-TW&rclk=1
ChIJEc3HLMVbmhQRnkkn3b28ffA,Hacienda,,False,2234,"Name: KOSTIS Espresso Bar
link: https://www.google.com/maps/search/KOSTIS+Espresso+Bar/@35.339143199999995,25.155822999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 281 reviews

Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@35.338388,25.157815?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews

Name: Authentikon Kaphe
link: https://www.google.com/maps/search/%CE%91%CF%85%CE%B8%CE%B5%CE%BD%CF%84%CE%B9%CE%BA%CE%BF%CE%BD+%CE%9A%CE%B1%CF%86%CE%B5/@35.3383233,25.1594029?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Dream Coffee and Snacks
link: https://www.google.com/maps/search/Dream+Coffee+and+Snacks/@35.3425358,25.1552899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://haciendacafe.com/,Hacienda (Ye Zhu ),https://www.google.com/maps/contrib/106537785494043680101,https://lh5.googleusercontent.com/p/AF1QipPMfPtcGuyCwn51xe-VQPvAY6JxNi6_ls4ivuL9=w408-h272-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Zao Wu Can Can Ting , Ka Pei Ting , Zi Zhu Can Ting , Mei Shi Can Che Dian , Zheng Liu Ka Pei Ba , Can Ting ",4.5,06:30-22:00,Open All Days,+30 281 029 9300,"Hacienda, Leof. Ikarou 22, Nea Alikarnassos 716 01Xi La ","Jia Ge , Huan Jing , Song Bing , Xiao Chi , Pin Zhi , Zao Wu Can , Ji Chang , vegan, San Ming Zhi , Han Bao ",https://www.google.com/maps/place/Hacienda/data=!4m7!3m6!1s0x149a5bc52cc7cd11:0xf07dbcbddd27499e!8m2!3d35.338912!4d25.1557551!16s%2Fg%2F11g70jpqsy!19sChIJEc3HLMVbmhQRnkkn3b28ffA?authuser=0&hl=zh-TW&rclk=1
ChIJtU_AJYdZmhQRoQKqNufrYfA,Eiffel,,False,1598,"Name: Phyllosophies
link: https://www.google.com/maps/search/Phyllosophies/@35.3389727,25.1330673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2356 reviews

Name: Cafe Marina
link: https://www.google.com/maps/search/Cafe+Marina/@35.3427545,25.1369035?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2097 reviews

Name: Indigo
link: https://www.google.com/maps/search/Indigo/@35.3403445,25.1340064?authuser=0&hl=zh-TW&entry=ttu
Reviews: 966 reviews

Name: Kirkor
link: https://www.google.com/maps/search/Kirk%C3%B3r/@35.339032599999996,25.1329899?authuser=0&hl=zh-TW&entry=ttu
Reviews: 959 reviews

Name: Frankly cafe
link: https://www.google.com/maps/search/Frankly+cafe/@35.3378909,25.1312116?authuser=0&hl=zh-TW&entry=ttu
Reviews: 851 reviews",https://www.facebook.com/EiffelHer/,Eiffel (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMubeM3wcIWZ2d-RjgPCVLOSYCtci8kTR05tlLB=w533-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting ",4.5,07:00-00:30,Open All Days,+30 281 175 3224,"Eiffel, Leof. Ionias 11, Iraklio 713 06Xi La ","Tian Dian , Jia Ge , Zao Wu Can , Ke Li Bing , Pao Fu , Song Bing ",https://www.google.com/maps/place/Eiffel/data=!4m7!3m6!1s0x149a598725c04fb5:0xf061ebe736aa02a1!8m2!3d35.3307062!4d25.1348564!16s%2Fg%2F11bx4k4y0l!19sChIJtU_AJYdZmhQRoQKqNufrYfA?authuser=0&hl=zh-TW&rclk=1
ChIJzdxTHCxamhQR-Y4ZWfkBAoo,Crop,,False,1201,"Name: Frankly cafe
link: https://www.google.com/maps/search/Frankly+cafe/@35.3378909,25.1312116?authuser=0&hl=zh-TW&entry=ttu
Reviews: 851 reviews

Name: Arch coffee and food
link: https://www.google.com/maps/search/Arch+coffee+and+food/@35.3293992,25.1192429?authuser=0&hl=zh-TW&entry=ttu
Reviews: 660 reviews

Name: Granary Espresso Bar & Eatery
link: https://www.google.com/maps/search/Granary+Espresso+Bar+%26+Eatery/@35.339653999999996,25.1332396?authuser=0&hl=zh-TW&entry=ttu
Reviews: 496 reviews

Name: THINK TANK
link: https://www.google.com/maps/search/THINK+TANK/@35.3393679,25.1350448?authuser=0&hl=zh-TW&entry=ttu
Reviews: 494 reviews

Name: Craft Coffeeshop
link: https://www.google.com/maps/search/Craft+Coffeeshop/@35.331732099999996,25.135125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 125 reviews",http://www.crop.coffee/,Crop (Ye Zhu ),https://www.google.com/maps/contrib/114722966957871422618,https://lh5.googleusercontent.com/p/AF1QipNcCKDcMlcjoNUrAeb6MpD1jzOgKgIX3tAn1_o6=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Pi Jiu Zhuan Mai Dian , Zao Can Can Ting , Zao Wu Can Can Ting , Pu Tao Jiu Ba ",4.6,07:00-22:30,Open All Days,+30 281 022 1058,"Crop, 4, Aretousas street, Iraklio 712 02Xi La ","Zao Wu Can , Song Bing , Pi Jiu , vegan, Kao , Han Bao , Ban Ni Di Ke Dan , Dou , Hu ",https://www.google.com/maps/place/Crop/data=!4m7!3m6!1s0x149a5a2c1c53dccd:0x8a0201f959198ef9!8m2!3d35.3395472!4d25.1358064!16s%2Fg%2F1s04b9yrm!19sChIJzdxTHCxamhQR-Y4ZWfkBAoo?authuser=0&hl=zh-TW&rclk=1
ChIJq7Be849ZmhQR0MfDxW51Tso,Favela,,False,1172,"Name: News Cafe
link: https://www.google.com/maps/search/News+Cafe/@35.3397654,25.133061?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1131 reviews

Name: Dizzy Coffee - Bar & Food
link: https://www.google.com/maps/search/Dizzy+Coffee+-+Bar+%26+Food/@35.3270008,25.1287014?authuser=0&hl=zh-TW&entry=ttu
Reviews: 743 reviews

Name: Sinaitiko Cafe
link: https://www.google.com/maps/search/Sinaitiko+Cafe/@35.338158199999995,25.1306644?authuser=0&hl=zh-TW&entry=ttu
Reviews: 223 reviews

Name: AROMA CAFE
link: https://www.google.com/maps/search/AROMA+CAFE/@35.3384864,25.120538099999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews

Name: Filoi Cafe
link: https://www.google.com/maps/search/Filoi+Caf%C3%A9/@35.3286107,25.1341884?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.instagram.com/favela_alternative/,Favela (Ye Zhu ),https://www.google.com/maps/contrib/117651563765783044708,https://lh5.googleusercontent.com/p/AF1QipNbJYPSo5nchkUTw3g6-JnJWZ8T2hiGWatGxPQh=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Gou Er Ka Pei Guan ",4.5,08:30-01:00,Open All Days,+30 281 032 0556,"Favela, Lefthereou 25, Iraklio 713 05Xi La ","Yin Le , atmosphere, Pi Jiu ",https://www.google.com/maps/place/Favela/data=!4m7!3m6!1s0x149a598ff35eb0ab:0xca4e756ec5c3c7d0!8m2!3d35.3254142!4d25.1292678!16s%2Fg%2F11bzq2yl3p!19sChIJq7Be849ZmhQR0MfDxW51Tso?authuser=0&hl=zh-TW&rclk=1
ChIJz9K0zqqkoRQRveCNIz-r2Dw,News Cafe,,False,1130,,https://newscafe.gr/,News Cafe (Ye Zhu ),https://www.google.com/maps/contrib/111921691981329385055,https://lh5.googleusercontent.com/p/AF1QipP5G8ALIC6mariTiO_kivhPrF6lMYmeIp-114nU=w408-h273-k-no,Ka Pei Ting ,"Ka Pei Ting , Jiu Ba , Xiao Can Guan  (Bistro), Shui Yan Hu Ba , Pu Tao Jiu Ba ",4.5,08:00-02:00,Open All Days,+30 281 024 1545,"News Cafe, Kantanoleon &, Minotavrou Street, Iraklio 712 02Xi La ","Shui Yan , Jia Ge , Diao Jiu , Yin Le , atmosphere, Fu Wu , Zong Hui San Ming Zhi , Song Bing , Pi Jiu ",https://www.google.com/maps/place/News+Cafe/data=!4m7!3m6!1s0x14a1a4aaceb4d2cf:0x3cd8ab3f238de0bd!8m2!3d35.3397654!4d25.133061!16s%2Fg%2F11b6qknx3d!19sChIJz9K0zqqkoRQRveCNIz-r2Dw?authuser=0&hl=zh-TW&rclk=1
