place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ9yZEYbtVzpQRSdN_yJyBtfk,Atacadao - Itapecerica da Serra,,False,7332,"Name: Atacadao - Parelheiros
link: https://www.google.com/maps/search/Atacad%C3%A3o+-+Parelheiros/@-23.767730699999998,-46.71810250000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7663 reviews

Name: Cercadao Supermercados
link: https://www.google.com/maps/search/Cercad%C3%A3o+Supermercados/@-23.7072509,-46.8499615?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2624 reviews

Name: Mercado Extra - Itapecerica da Serra Centro
link: https://www.google.com/maps/search/Mercado+Extra+-+Itapecerica+da+Serra+Centro/@-23.7133224,-46.848846599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 637 reviews

Name: DIA Supermercado
link: https://www.google.com/maps/search/DIA+Supermercado/@-23.710421699999998,-46.8491638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 446 reviews",https://www.atacadao.com.br/,Atacadao - Itapecerica da Serra (Ye Zhu ),https://www.google.com/maps/contrib/113071376395875772448,https://lh5.googleusercontent.com/p/AF1QipNkL3y_QGlwc43prMPboi4doBmw6YXTS2JCD1XS=w427-h240-k-no,Pi Fa Dian ,Pi Fa Dian ,4.4,07:00-22:00,Open All Days,+55 11 4165-9125,"Atacadao - Itapecerica da Serra - Rod. Armando Salles, 5888 - Recreio Campestre, Itapecerica da Serra - SP, 06856-000Ba Xi ","Ting Che , Xin Yong Qia , Zu Zhi , Di Qu , Tui Guang , Zhai , Pai Dui ",https://www.google.com/maps/place/Atacad%C3%A3o+-+Itapecerica+da+Serra/data=!4m7!3m6!1s0x94ce55bb614426f7:0xf9b5819cc87fd349!8m2!3d-23.6887687!4d-46.8071116!16s%2Fg%2F11gjhb0236!19sChIJ9yZEYbtVzpQRSdN_yJyBtfk?authuser=0&hl=zh-TW&rclk=1
ChIJFUsh1BhTzpQRFrKahrPacxE,Sonda Supermercados - Estrada de Itapecerica,,False,5678,"Name: Supermarkets Beira Alta
link: https://www.google.com/maps/search/Supermarkets+Beira+Alta/@-23.674808,-46.7885432?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2119 reviews

Name: Sacolao Rei das Frutas
link: https://www.google.com/maps/search/Sacol%C3%A3o+Rei+das+Frutas/@-23.6746588,-46.787869?authuser=0&hl=zh-TW&entry=ttu
Reviews: 158 reviews

Name: SONDA
link: https://www.google.com/maps/search/SONDA/@-23.516337,-46.856050100000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 136 reviews

Name: DIA Supermercado
link: https://www.google.com/maps/search/DIA+Supermercado/@-23.6711322,-46.787127?authuser=0&hl=zh-TW&entry=ttu
Reviews: 134 reviews

Name: Sonda
link: https://www.google.com/maps/search/Sonda/@-23.4931765,-46.7023576?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.sondadelivery.com.br/,Sonda Supermercados - Estrada de Itapecerica (Ye Zhu ),https://www.google.com/maps/contrib/105522741013182328207,https://lh5.googleusercontent.com/p/AF1QipPAcQz2j5Q2Ur96eLfR3PBQE-542IEwva_BkjN7=w408-h725-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Mian Bao Xi Bing Dian , Rou Fan , Zi Zhu Can Ting , Yu Fan , Xian Shi Shi Chang , Can Ting , Jiu Lei Ku Cun She Shi ",4.5,07:00-22:00,Open All Days,+55 11 2065-4106,"Sonda Supermercados - Estrada de Itapecerica - Conj. Hab. Jardim Sao Bento, Sao Paulo - SP, Ba Xi ","Zu Zhi , Di Qu , Ting Che , Tui Guang , An Quan , Jiao Tong , Pin Wei , Xiao Chi Dian ",https://www.google.com/maps/place/Sonda+Supermercados+-+Estrada+de+Itapecerica/data=!4m7!3m6!1s0x94ce5318d4214b15:0x1173dab3869ab216!8m2!3d-23.6764759!4d-46.789788!16s%2Fg%2F11h1hvzbst!19sChIJFUsh1BhTzpQRFrKahrPacxE?authuser=0&hl=zh-TW&rclk=1
ChIJwdlSfhOtz5QRvm9JXAx3ruo,ITAPECERICA SHOPPING,,False,5626,"Name: Shopping Taboao
link: https://www.google.com/maps/search/Shopping+Tabo%C3%A3o/@-23.6144942,-46.7753139?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52712 reviews

Name: GRUPO CINE
link: https://www.google.com/maps/search/GRUPO+CINE/@-23.715587499999998,-46.8500075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2069 reviews

Name: Americanas
link: https://www.google.com/maps/search/Americanas/@-23.715495,-46.850291999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 982 reviews

Name: XPETS A loja mais completa para seu Pet / autorizada STIHL
link: https://www.google.com/maps/search/XPETS+A+loja+mais+completa+para+seu+Pet+%2F+autorizada+STIHL/@-23.757851199999998,-46.841278599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://itapecericashopping.com.br/,ITAPECERICA SHOPPING (Ye Zhu ),https://www.google.com/maps/contrib/118162082211974258183,https://lh5.googleusercontent.com/p/AF1QipMJo82jKqCPZO3la-isqAAcPpG0FhV-hFQrdTJH=w485-h240-k-no,Gou Wu Zhong Xin ,"Gou Wu Zhong Xin , Xi Yuan ",4.4,10:00-22:00,Open All Days,+55 11 4668-9900,"ITAPECERICA SHOPPING - Av. Quinze de Novembro, 89 - Centro, Itapecerica da Serra - SP, 06850-100Ba Xi ","Mei Shi Guang Chang , Jia Ting , Bao Ling Qiu , Yu Le , You Qi , Ren Xing Dao , Shou Fu Ti , Xiao Chi Dian , Bao Rong ",https://www.google.com/maps/place/ITAPECERICA+SHOPPING/data=!4m7!3m6!1s0x94cfad137e52d9c1:0xeaae770c5c496fbe!8m2!3d-23.7155669!4d-46.8501937!16s%2Fg%2F11dfjzqvkv!19sChIJwdlSfhOtz5QRvm9JXAx3ruo?authuser=0&hl=zh-TW&rclk=1
ChIJ_aOG6Datz5QRW3Yu5Xzh8MU,Padaria Belas Artes Itapecerica da Serra,,False,3880,"Name: Panificadora Confeitaria da Serra
link: https://www.google.com/maps/search/Panificadora+Confeitaria+da+Serra/@-23.7166364,-46.8499256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3582 reviews

Name: Padaria Inovacao paes e doces
link: https://www.google.com/maps/search/Padaria+Inova%C3%A7%C3%A3o+p%C3%A3es+e+doces/@-23.6991812,-46.852260699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews

Name: Estrela do Sampaio Padaria
link: https://www.google.com/maps/search/Estrela+do+Sampaio+Padaria/@-23.718336299999997,-46.8647905?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Padaria e Confeitaria Bella Paraiso
link: https://www.google.com/maps/search/Padaria+e+Confeitaria+Bella+Para%C3%ADso/@-23.7046681,-46.8600367?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.padariabelasartes.com.br/,Padaria Belas Artes Itapecerica da Serra (Ye Zhu ),https://www.google.com/maps/contrib/107955652590616814734,https://lh5.googleusercontent.com/p/AF1QipN5aZQmD9CETlc9ZqhJDeIHmziLqMJJPEUBEt3i=w408-h306-k-no,Xi Bing Dian ,Xi Bing Dian ,4.4,06:00-23:00,Open All Days,+55 11 4666-2371,"Padaria Belas Artes Itapecerica da Serra - Rod. Armando Salles, 2337 - Jardim Imperatriz, Itapecerica da Serra - SP, 06859-400Ba Xi ","Pi Sa , Wu Can , Guo Jiang , Qing Shi , Pin Wei , Cang Ying , Chi Dao Bao , Tang ",https://www.google.com/maps/place/Padaria+Belas+Artes+Itapecerica+da+Serra/data=!4m7!3m6!1s0x94cfad36e886a3fd:0xc5f0e17ce52e765b!8m2!3d-23.7083848!4d-46.8322066!16s%2Fg%2F11cs31j010!19sChIJ_aOG6Datz5QRW3Yu5Xzh8MU?authuser=0&hl=zh-TW&rclk=1
ChIJbZgGbxOtz5QRIbZ0IgmEMng,Panificadora Confeitaria da Serra,,False,3582,"Name: Padaria Belas Artes Itapecerica da Serra
link: https://www.google.com/maps/search/Padaria+Belas+Artes+Itapecerica+da+Serra/@-23.708384799999997,-46.8322066?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3880 reviews

Name: Panificadora Confeitaria Nova Itapecerica
link: https://www.google.com/maps/search/Panificadora+Confeitaria+Nova+Itapecerica/@-23.712774,-46.854534?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1311 reviews

Name: Doceria da Serra
link: https://www.google.com/maps/search/Doceria+da+Serra/@-23.716415899999998,-46.8493011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",https://www.instagram.com/panificadoradaserra/,Panificadora Confeitaria da Serra (Ye Zhu ),https://www.google.com/maps/contrib/109033192047765729051,https://lh5.googleusercontent.com/p/AF1QipNgh_qMzDigS4YKxnfH2eXzvpzHygyUfdaCaI6w=w630-h240-k-no,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Zao Can Can Ting ",4.4,06:00-22:00,Open All Days,+55 11 4668-6300,"Panificadora Confeitaria da Serra - Praca Joao Pessoa, 3 - Centro, Itapecerica da Serra - SP, 06850-035Ba Xi ","Pi Sa , Ting Che , Qing Shi , Mei Shu , Zi Zhu Zao Can ",https://www.google.com/maps/place/Panificadora+Confeitaria+da+Serra/data=!4m7!3m6!1s0x94cfad136f06986d:0x783284092274b621!8m2!3d-23.7166364!4d-46.8499256!16s%2Fg%2F1tdqpsv7!19sChIJbZgGbxOtz5QRIbZ0IgmEMng?authuser=0&hl=zh-TW&rclk=1
ChIJ66COL-FSzpQR9JWl1Bla7-Y,Ricoy Supermercados,,False,2687,"Name: Mercado Kiodai
link: https://www.google.com/maps/search/Mercado+Kiodai/@-23.710461799999997,-46.8586077?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1560 reviews

Name: Mercado Paraiso
link: https://www.google.com/maps/search/Mercado+Para%C3%ADso/@-23.705677299999998,-46.8587571?authuser=0&hl=zh-TW&entry=ttu
Reviews: 453 reviews

Name: DIA Supermercado
link: https://www.google.com/maps/search/DIA+Supermercado/@-23.710421699999998,-46.8491638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 446 reviews

Name: Ricoy
link: https://www.google.com/maps/search/Ricoy/@-23.617635099999998,-46.7800603?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://www.associacaoricoy.com.br/lojas/,Ricoy Supermercados (Ye Zhu ),https://www.google.com/maps/contrib/109833662421251862658,https://lh5.googleusercontent.com/p/AF1QipNU4LkIEpOGQkCWLt9zfqQwsABVQbc1IZWH1FRf=w408-h440-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Jiu Pin Dian ",3.7,07:30-22:00,Open All Days,,"Ricoy Supermercados - Rod. Armando Salles, 11555 - Centro, Itapecerica da Serra - SP, 06859-100Ba Xi ","Ting Che , Tui Guang , Zu Zhi , Di Qu , Gong Ying , Jiao Yu , Wu Can Rou ",https://www.google.com/maps/place/Ricoy+Supermercados/data=!4m7!3m6!1s0x94ce52e12f8ea0eb:0xe6ef5a19d4a595f4!8m2!3d-23.6869444!4d-46.8030556!16s%2Fg%2F11c3kq43g6!19sChIJ66COL-FSzpQR9JWl1Bla7-Y?authuser=0&hl=zh-TW&rclk=1
ChIJ4fKCJBqtz5QRTjfvWfyplHs,Cercadao Supermercados,,False,2624,"Name: Supermercado Bandeira
link: https://www.google.com/maps/search/Supermercado+Bandeira/@-23.719153300000002,-46.851181499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2753 reviews

Name: Mercado Extra - Itapecerica da Serra Centro
link: https://www.google.com/maps/search/Mercado+Extra+-+Itapecerica+da+Serra+Centro/@-23.7133224,-46.848846599999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 637 reviews

Name: Tanaka Supermercados
link: https://www.google.com/maps/search/Tanaka+Supermercados/@-23.722828,-46.852031?authuser=0&hl=zh-TW&entry=ttu
Reviews: 560 reviews

Name: DIA Supermercado
link: https://www.google.com/maps/search/DIA+Supermercado/@-23.710421699999998,-46.8491638?authuser=0&hl=zh-TW&entry=ttu
Reviews: 446 reviews",http://www.cercadao.com.br/,Cercadao Supermercados (Ye Zhu ),https://www.google.com/maps/contrib/118026221400532501997,https://lh5.googleusercontent.com/p/AF1QipNApjg9CXAYzuknFzmZ16zEU8P4m7SBpReI_0Zw=w426-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Zi Dong Gui Yuan Ji Di Dian , Jiu Pin Dian ",4,08:00-22:00,Open All Days,+55 11 4666-1720,"Cercadao Supermercados - Av. Quinze de Novembro, 4001 - Centro, Itapecerica da Serra - SP, 06850-100Ba Xi ","Ting Che , Tui Guang , Zu Zhi , Gong Ying , Cai , Jiao Yu , Di Qu ",https://www.google.com/maps/place/Cercad%C3%A3o+Supermercados/data=!4m7!3m6!1s0x94cfad1a2482f2e1:0x7b94a9fc59ef374e!8m2!3d-23.7072509!4d-46.8499615!16s%2Fg%2F11bccmm554!19sChIJ4fKCJBqtz5QRTjfvWfyplHs?authuser=0&hl=zh-TW&rclk=1
ChIJY5zHPBBNzpQRNbVdI--kf80,Ayumi Supermercados,,False,2420,"Name: Mercado Kiodai
link: https://www.google.com/maps/search/Mercado+Kiodai/@-23.710461799999997,-46.8586077?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1560 reviews

Name: Emporio Dona Maria
link: https://www.google.com/maps/search/Emp%C3%B3rio+Dona+Maria/@-23.746457,-46.795871399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Mercadinho e padaria Willians
link: https://www.google.com/maps/search/Mercadinho+e+padaria+Willians/@-23.748497399999998,-46.795460299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: MERCADINHO TIM BAUBA LTDA
link: https://www.google.com/maps/search/MERCADINHO+TIM+BAUBA+LTDA/@-23.747486300000002,-46.7932561?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.ayumi.com.br/,Ayumi Supermercados (Ye Zhu ),https://www.google.com/maps/contrib/109796963406038524648,https://lh5.googleusercontent.com/p/AF1QipOuo4hXFLsi8ORUhrijVJTDLQf8vnk63PhGDvs1=w465-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Za Huo Dian ",4,07:00-22:00,Open All Days,+55 11 4669-9500,"Ayumi Supermercados - R. Jorge Amado, 28 - Jardim Jacira, Itapecerica da Serra - SP, 06864-340Ba Xi ","Ting Che , Tui Guang , Zu Zhi , Di Qu , Pai Dui , Jiao Yu , ATM",https://www.google.com/maps/place/Ayumi+Supermercados/data=!4m7!3m6!1s0x94ce4d103cc79c63:0xcd7fa4ef235db535!8m2!3d-23.7461431!4d-46.7966887!16s%2Fg%2F11bx6dcyg2!19sChIJY5zHPBBNzpQRNbVdI--kf80?authuser=0&hl=zh-TW&rclk=1
ChIJSUZCfLZNzpQR8VZfLxg3o6s,Barbosa Supermercados - 24horas,,False,1885,"Name: Barbosa Supermercados
link: https://www.google.com/maps/search/Barbosa+Supermercados/@-23.577739299999998,-46.7428591?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3655 reviews

Name: Barbosa Supermercados
link: https://www.google.com/maps/search/Barbosa+Supermercados/@-23.7466831,-46.7957?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1553 reviews

Name: mercadinho do patrao
link: https://www.google.com/maps/search/mercadinho+do+patr%C3%A3o/@-23.759014999999998,-46.8136921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Estacionamento Barbosa O Supermercado Da Familia
link: https://www.google.com/maps/search/Estacionamento+Barbosa+O+Supermercado+Da+Familia/@-23.7538785,-46.789721300000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Barbosa Bar E Nercearia
link: https://www.google.com/maps/search/Barbosa+Bar+E+Nercearia/@-23.747582899999998,-46.796369399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.barbosasupermercados.com.br/,Barbosa Supermercados - 24horas (Ye Zhu ),https://www.google.com/maps/contrib/116281580905857065027,https://lh5.googleusercontent.com/p/AF1QipP-lt6MbIg2W33EmQFRYQZwIXcWyuUrECHhuyMx=w533-h240-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Jiu Pin Dian ",3.8,24 Xiao Shi Ying Ye ,Open All Days,+55 11 4669-9454,"Barbosa Supermercados - 24horas - Rod. Jose Simoes Louro Junior, 1926 - Crispim, Itapecerica da Serra - SP, 06865-800Ba Xi ","Ting Che , Tui Guang , Zu Zhi , Di Qu , Pai Dui , Chou , Wu Can Rou , Wei Sheng , ATM",https://www.google.com/maps/place/Barbosa+Supermercados+-+24horas/data=!4m7!3m6!1s0x94ce4db67c424649:0xaba337182f5f56f1!8m2!3d-23.7539995!4d-46.7894847!16s%2Fg%2F11bzrp0dz5!19sChIJSUZCfLZNzpQR8VZfLxg3o6s?authuser=0&hl=zh-TW&rclk=1
ChIJnT6tm_BTzpQRSX0Ev_ZT4R4,Cercadao Supermercados,,False,1867,"Name: Extra Mercado
link: https://www.google.com/maps/search/Extra+Mercado/@-23.6606104,-46.7681513?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3793 reviews

Name: Supermercado Bandeira
link: https://www.google.com/maps/search/Supermercado+Bandeira/@-23.719153300000002,-46.851181499999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2753 reviews

Name: Mercadinho valo velho
link: https://www.google.com/maps/search/Mercadinho+valo+velho/@-23.7015202,-46.802670899999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.cercadao.com.br/,Cercadao Supermercados (Ye Zhu ),https://www.google.com/maps/contrib/113698872518240090290,https://lh5.googleusercontent.com/p/AF1QipP6y7DGCtCWmVS80psX-7qje-R-SpxVuaaUOFXd=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.3,08:00-22:00,Open All Days,+55 11 2391-5119,"Cercadao Supermercados - Av. Soldado-Policia Militar Gilberto Augustinho, 1129 - Jardim Valo Velho, Itapecerica da Serra - SP, 06856-700Ba Xi ","Tui Guang , Zu Zhi , Di Qu , Pai Dui , Jiao Yu , Wu Can Rou ",https://www.google.com/maps/place/Cercad%C3%A3o+Supermercados/data=!4m7!3m6!1s0x94ce53f09bad3e9d:0x1ee153f6bf047d49!8m2!3d-23.6970138!4d-46.8013235!16s%2Fg%2F11fnq2xv1c!19sChIJnT6tm_BTzpQRSX0Ev_ZT4R4?authuser=0&hl=zh-TW&rclk=1
