place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJXfElvoRsuZQRVBeB6wDa3b0,Supermarket Copercana Jaboticabal,,False,1399,"Name: Savegnago Supermercados
link: https://www.google.com/maps/search/Savegnago+Supermercados/@-21.2561292,-48.3237653?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1947 reviews

Name: Cojiba Supermercados | Loja 6 | (proximo a Unesp)
link: https://www.google.com/maps/search/Cojiba+Supermercados+%7C+Loja+6+%7C+%28pr%C3%B3ximo+a+Unesp%29/@-21.249705,-48.3062897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 940 reviews

Name: Supermarket New Commercial
link: https://www.google.com/maps/search/Supermarket+New+Commercial/@-21.2623373,-48.3104312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 797 reviews

Name: Supermercado Correia
link: https://www.google.com/maps/search/Supermercado+Correia/@-21.2456741,-48.3125038?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews",http://www.copercana.com.br/,Supermarket Copercana Jaboticabal (Ye Zhu ),https://www.google.com/maps/contrib/102155841359501488348,https://lh5.googleusercontent.com/p/AF1QipNKIcmJLAfk82QsIXzAeBppeL4zHNpsF7sqqBM6=w408-h726-k-no,Chao Ji Shi Chang ,"Chao Ji Shi Chang , Jiu Pin Dian ",4.4,08:00-20:00,Open All Days,+55 16 3209-4300,"Supermarket Copercana Jaboticabal - R. Sao Joao, 360 - Vila Serra, Jaboticabal - SP, 14870-240Ba Xi ","Zu Zhi , Ting Che , Tui Guang , Huan Jing , Gang Wei , Wu Can , Jiao Yu ",https://www.google.com/maps/place/Supermarket+Copercana+Jaboticabal/data=!4m7!3m6!1s0x94b96c84be25f15d:0xbdddda00eb811754!8m2!3d-21.254341!4d-48.3129587!16s%2Fg%2F11c6t8nlpx!19sChIJXfElvoRsuZQRVBeB6wDa3b0?authuser=0&hl=zh-TW&rclk=1
ChIJ060Z-3lruZQRFJpY_lkeSfA,Cojiba Supermercados | Loja 3 | Centro,,False,1263,"Name: Savegnago Supermercados
link: https://www.google.com/maps/search/Savegnago+Supermercados/@-21.2561292,-48.3237653?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1947 reviews

Name: Supermarket Copercana Jaboticabal
link: https://www.google.com/maps/search/Supermarket+Copercana+Jaboticabal/@-21.254341,-48.3129587?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1397 reviews

Name: Supermarket New Commercial
link: https://www.google.com/maps/search/Supermarket+New+Commercial/@-21.2623373,-48.3104312?authuser=0&hl=zh-TW&entry=ttu
Reviews: 797 reviews

Name: Supermercado Cojiba Guariba
link: https://www.google.com/maps/search/Supermercado+Cojiba+Guariba/@-21.357137299999998,-48.226681?authuser=0&hl=zh-TW&entry=ttu
Reviews: 464 reviews

Name: Supermercado buscaki
link: https://www.google.com/maps/search/Supermercado+buscaki/@-21.2380012,-48.314847699999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews",http://www.cojiba.com.br/,Cojiba Supermercados | Loja 3 | Centro (Ye Zhu ),https://www.google.com/maps/contrib/109678765887239915667,https://lh5.googleusercontent.com/p/AF1QipNXF-7vlnlcLTaAPl_aWcMT5A4AAZdvux6FBl2d=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.5,08:00-21:00,Xing Qi Ri ,+55 16 3209-4000,"Cojiba Supermercados | Loja 3 | Centro - Av. da Saudade, 336 - X, Jaboticabal - SP, 14870-650Ba Xi ","Zu Zhi , Tui Guang , Ke Ren , Gong Ying , Ting Che , Qing Jie , Shui Guo ",https://www.google.com/maps/place/Cojiba+Supermercados+%7C+Loja+3+%7C+Centro/data=!4m7!3m6!1s0x94b96b79fb19add3:0xf0491e59fe589a14!8m2!3d-21.2548604!4d-48.3286791!16s%2Fg%2F11bzwmjhkd!19sChIJ060Z-3lruZQRFJpY_lkeSfA?authuser=0&hl=zh-TW&rclk=1
ChIJMUsMJo9suZQR-UWTWcaqqu0,Cojiba Supermercados | Loja 6 | (proximo a Unesp),,False,940,"Name: Supermarket Copercana Jaboticabal
link: https://www.google.com/maps/search/Supermarket+Copercana+Jaboticabal/@-21.254341,-48.3129587?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1397 reviews

Name: Supermercado Cojiba Guariba
link: https://www.google.com/maps/search/Supermercado+Cojiba+Guariba/@-21.357137299999998,-48.226681?authuser=0&hl=zh-TW&entry=ttu
Reviews: 464 reviews

Name: Supermercado buscaki
link: https://www.google.com/maps/search/Supermercado+buscaki/@-21.2380012,-48.314847699999994?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Mercearia Jachetto
link: https://www.google.com/maps/search/Mercearia+Jachetto/@-21.2533508,-48.328271099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Carregari Comercio de Alimentos
link: https://www.google.com/maps/search/Carregari+Com%C3%A9rcio+de+Alimentos/@-21.2520557,-48.3119958?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.cojiba.com.br/,Cojiba Supermercados | Loja 6 | (proximo a Unesp) (Ye Zhu ),https://www.google.com/maps/contrib/117259240239128750288,https://lh5.googleusercontent.com/p/AF1QipM6TQUbPhO4Hi8iUD9MDk4yY33E6ihsNd6AYIES=w408-h306-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.4,08:00-21:00,Xing Qi Ri ,+55 16 3209-4008,"Cojiba Supermercados | Loja 6 | (proximo a Unesp) - R. Prof. Valdir Pedro Morano, 750 - Vila Industrial, Jaboticabal - SP, 14883-280Ba Xi ","Jia Ge , Zu Zhi , Ting Che , Gong Ying , Ke Ren , Tui Guang , Pin Wei ",https://www.google.com/maps/place/Cojiba+Supermercados+%7C+Loja+6+%7C+%28pr%C3%B3ximo+a+Unesp%29/data=!4m7!3m6!1s0x94b96c8f260c4b31:0xedaaaac6599345f9!8m2!3d-21.249705!4d-48.3062897!16s%2Fg%2F11d_z93r7x!19sChIJMUsMJo9suZQR-UWTWcaqqu0?authuser=0&hl=zh-TW&rclk=1
ChIJZWh-FWJruZQRIlVnEUqJyBs,Padaria Barbieri,,False,868,"Name: Padaria Recanto Doce - Restaurante
link: https://www.google.com/maps/search/Padaria+Recanto+Doce+-+Restaurante/@-21.253823699999998,-48.3229787?authuser=0&hl=zh-TW&entry=ttu
Reviews: 556 reviews

Name: Padaria e Confeitaria Nilza
link: https://www.google.com/maps/search/Padaria+e+Confeitaria+Nilza/@-21.261085599999998,-48.320831999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 188 reviews

Name: Casarao Bakery
link: https://www.google.com/maps/search/Casar%C3%A3o+Bakery/@-21.2613071,-48.3080098?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Padaria Bom Dia
link: https://www.google.com/maps/search/Padaria+Bom+Dia/@-21.265401699999998,-48.322426899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews

Name: Padaria Emporio do Pao
link: https://www.google.com/maps/search/Padaria+Emp%C3%B3rio+do+P%C3%A3o/@-21.254761800000004,-48.3261417?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews",https://www.facebook.com/PadariaBarbieri,Padaria Barbieri (Ye Zhu ),https://www.google.com/maps/contrib/101046228914598658758,https://lh5.googleusercontent.com/p/AF1QipOLsBU70bWQJWhYaIaUAKD2sZu5iy0iNDr1I0mq=w408-h240-k-no-pi-16.896967-ya260.18088-ro0.57139283-fo100,Mian Bao Xi Bing Dian ,"Mian Bao Xi Bing Dian , Zao Can Can Ting ",4.6,06:00-21:00,Open All Days,+55 16 3202-2194,"Padaria Barbieri - Praca Dom Assis, 194 - Centro, Jaboticabal - SP, 14870-110Ba Xi ","Chan Pin , Jia Ge , Huan Jing , Qia Bu Qi Nuo , Zao Can , Guo Jiang , Wu Can Rou ",https://www.google.com/maps/place/Padaria+Barbieri/data=!4m7!3m6!1s0x94b96b62157e6865:0x1bc8894a11675522!8m2!3d-21.2601397!4d-48.3204146!16s%2Fg%2F1pv000jl8!19sChIJZWh-FWJruZQRIlVnEUqJyBs?authuser=0&hl=zh-TW&rclk=1
ChIJ4XBRwNlruZQRbzG10xvQ3Nc,Padaria Recanto Doce - Restaurante,,False,557,"Name: Padaria Barbieri
link: https://www.google.com/maps/search/Padaria+Barbieri/@-21.2601397,-48.3204146?authuser=0&hl=zh-TW&entry=ttu
Reviews: 867 reviews

Name: Casarao Bakery
link: https://www.google.com/maps/search/Casar%C3%A3o+Bakery/@-21.2613071,-48.3080098?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Padaria Emporio do Pao
link: https://www.google.com/maps/search/Padaria+Emp%C3%B3rio+do+P%C3%A3o/@-21.254761800000004,-48.3261417?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Cafe Donuts Jaboticabal
link: https://www.google.com/maps/search/Caf%C3%A9+Donuts+Jaboticabal/@-21.2524276,-48.3244536?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Sabor da Manha
link: https://www.google.com/maps/search/Sabor+da+Manh%C3%A3/@-21.2564745,-48.322210399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",http://www.padariarecantodoce.com.br/,Padaria Recanto Doce - Restaurante (Ye Zhu ),https://www.google.com/maps/contrib/111922091282498554658,https://lh5.googleusercontent.com/p/AF1QipPsLTx0IwDRg_51T4fF9j3oYl6gaFS326szHu_i=w493-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,05:50-21:00,Open All Days,+55 16 3202-1039,"Padaria Recanto Doce - Restaurante - R. Rui Barbosa, 1187 - Centro, Jaboticabal - SP, 14870-740Ba Xi ","Chan Pin , Jia Ge , Huan Jing , Mian Bao , Jiao Yu , Guo Jiang , Qia Bu Qi Nuo , Jia Ting ",https://www.google.com/maps/place/Padaria+Recanto+Doce+-+Restaurante/data=!4m7!3m6!1s0x94b96bd9c05170e1:0xd7dcd01bd3b5316f!8m2!3d-21.2538237!4d-48.3229787!16s%2Fg%2F11h4f_n2wd!19sChIJ4XBRwNlruZQRbzG10xvQ3Nc?authuser=0&hl=zh-TW&rclk=1
ChIJbb9aOIlsuZQRRaXLgU9VaVE,Chopp Cafe,,False,470,"Name: Gringo Bar e Cafe
link: https://www.google.com/maps/search/Gringo+Bar+e+Caf%C3%A9/@-21.2595341,-48.325601299999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 934 reviews

Name: Senhor Boteco Jaboticabal
link: https://www.google.com/maps/search/Senhor+Boteco+Jaboticabal/@-21.2593608,-48.3175286?authuser=0&hl=zh-TW&entry=ttu
Reviews: 588 reviews

Name: Emporio do Espeto Gourmet
link: https://www.google.com/maps/search/Emporio+do+Espeto+Gourmet/@-21.249751999999997,-48.319825699999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 52 reviews

Name: Cafe Donuts Jaboticabal
link: https://www.google.com/maps/search/Caf%C3%A9+Donuts+Jaboticabal/@-21.2524276,-48.3244536?authuser=0&hl=zh-TW&entry=ttu
Reviews: 44 reviews

Name: Esquina do chopp
link: https://www.google.com/maps/search/Esquina+do+chopp/@-21.2486986,-48.3112211?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews",http://choppcafe.com.br/,Chopp Cafe (Ye Zhu ),https://www.google.com/maps/contrib/105559458775671080323,https://lh5.googleusercontent.com/p/AF1QipPw-4odMhTQcAJwTcfSnXO_Tm2_AoJeQ3zHl_6t=w408-h306-k-no,Jiu Ba ,"Jiu Ba , Ka Pei Dian , Can Ting ",4.5,17:00-23:00,"Xing Qi Yi , Xing Qi Ri ",+55 16 3204-6494,"Chopp Cafe - Av. Ferdinando Ruzzante, 106 - Vila Industrial, Jaboticabal - SP, 14883-110Ba Xi ","Bing Qi Lin , Huan Jing ",https://www.google.com/maps/place/Chopp+Caf%C3%A9/data=!4m7!3m6!1s0x94b96c89385abf6d:0x5169554f81cba545!8m2!3d-21.2477099!4d-48.3053852!16s%2Fg%2F11hc_14xh8!19sChIJbb9aOIlsuZQRRaXLgU9VaVE?authuser=0&hl=zh-TW&rclk=1
ChIJSRXTepqTuZQRm8EQWA0eloo,Ice by Nice - Jaboticabal,,False,313,"Name: Creamy ice cream Jaboticabal
link: https://www.google.com/maps/search/Creamy+ice+cream+Jaboticabal/@-21.2590388,-48.3205861?authuser=0&hl=zh-TW&entry=ttu
Reviews: 788 reviews

Name: Chiquinho Sorvetes
link: https://www.google.com/maps/search/Chiquinho+Sorvetes/@-21.255502999999997,-48.3206134?authuser=0&hl=zh-TW&entry=ttu
Reviews: 357 reviews

Name: Ice cream taste
link: https://www.google.com/maps/search/Ice+cream+taste/@-21.2583853,-48.32625530000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 343 reviews

Name: Gelato Borelli Jaboticabal
link: https://www.google.com/maps/search/Gelato+Borelli+Jaboticabal/@-21.254843599999997,-48.3222832?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Uni Acai
link: https://www.google.com/maps/search/Uni+A%C3%A7a%C3%AD/@-21.258046399999998,-48.3128564?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.icebynice.com.br/,Ice by Nice - Jaboticabal (Ye Zhu ),https://www.google.com/maps/contrib/109313660468170396515,https://lh5.googleusercontent.com/p/AF1QipNowqqWWKnwXDzmolTzvUkRAMdQaKTwXebYIwO6=w408-h307-k-no,Xue Gao Dian ,Xue Gao Dian ,4.7,10:00-22:00,Open All Days,+55 16 3202-8799,"Ice by Nice - Jaboticabal, Jaboticabal Shopping - Pr. Dom Jose Marcondes Homem de Mello, 146 - Centro, Jaboticabal - SP, 14870-520Ba Xi ","Ka Pei , Bing Bang ",https://www.google.com/maps/place/Ice+by+Nice+-+Jaboticabal/data=!4m7!3m6!1s0x94b9939a7ad31549:0x8a961e0d5810c19b!8m2!3d-21.2549817!4d-48.3230236!16s%2Fg%2F11bby72qcd!19sChIJSRXTepqTuZQRm8EQWA0eloo?authuser=0&hl=zh-TW&rclk=1
ChIJ8c73DmJruZQRpCvhfb6AWt0,PANIFICADORA PAO KENT OU PADARIA DO MANE,,False,302,"Name: Panificadora Capita
link: https://www.google.com/maps/search/Panificadora+Capita/@-21.246431899999997,-48.331713099999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 427 reviews

Name: Casarao Bakery
link: https://www.google.com/maps/search/Casar%C3%A3o+Bakery/@-21.2613071,-48.3080098?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Padaria Bom Dia
link: https://www.google.com/maps/search/Padaria+Bom+Dia/@-21.265401699999998,-48.322426899999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews

Name: Padaria Emporio do Pao
link: https://www.google.com/maps/search/Padaria+Emp%C3%B3rio+do+P%C3%A3o/@-21.254761800000004,-48.3261417?authuser=0&hl=zh-TW&entry=ttu
Reviews: 55 reviews

Name: Sabor da Manha
link: https://www.google.com/maps/search/Sabor+da+Manh%C3%A3/@-21.2564745,-48.322210399999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",http://www.facebook.com/panificadora.paokent.96,PANIFICADORA PAO KENT OU PADARIA DO MANE (Ye Zhu ),https://www.google.com/maps/contrib/113028681693194597184,https://lh5.googleusercontent.com/p/AF1QipMd0ciIGIuxEsxKqsr0JnsBsHsuf2mu_NsK3fKt=w426-h240-k-no,Mian Bao Xi Bing Dian ,Mian Bao Xi Bing Dian ,4.3,06:00-23:00,Open All Days,+55 16 3202-4277,"PANIFICADORA PAO KENT OU PADARIA DO MANE - Av. Maj. Novaes, 949 - Centro, Jaboticabal - SP, 14870-080Ba Xi ","Jia Ge , Sheng Pi , Chan Pin , Ji Rou , Wu Can , happy hour, Ka Pei ",https://www.google.com/maps/place/PANIFICADORA+P%C3%83O+KENT+OU+PADARIA+DO+MAN%C3%89/data=!4m7!3m6!1s0x94b96b620ef7cef1:0xdd5a80be7de12ba4!8m2!3d-21.2608704!4d-48.318795!16s%2Fg%2F11df4czv_r!19sChIJ8c73DmJruZQRpCvhfb6AWt0?authuser=0&hl=zh-TW&rclk=1
ChIJpcE_26FsuZQR3vgnsHn6VHY,Varejao Earth People,,False,175,"Name: Varejao Farturao
link: https://www.google.com/maps/search/Varej%C3%A3o+Fartur%C3%A3o/@-21.252838099999998,-48.3174667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 475 reviews

Name: VAREJAO AVENIDA
link: https://www.google.com/maps/search/VAREJ%C3%83O+AVENIDA/@-21.2540181,-48.3408278?authuser=0&hl=zh-TW&entry=ttu
Reviews: 58 reviews

Name: Varejao e Mercearia Santa Monica
link: https://www.google.com/maps/search/Varej%C3%A3o+e+Mercearia+Santa+M%C3%B4nica/@-21.2619155,-48.3313673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Varejao Farturao Comercio Varejista de Hortifruti Granjeiro
link: https://www.google.com/maps/search/Varej%C3%A3o+Farturao+Com%C3%A9rcio+Varejista+de+Hortifruti+Granjeiro/@-21.243579099999998,-48.3121723?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Rl Varejao E Atacadao
link: https://www.google.com/maps/search/Rl+Varej%C3%A3o+E+Atacad%C3%A3o/@-21.241310900000002,-48.3374601?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://www.facebook.com/varejaoterradagente,Varejao Earth People (Ye Zhu ),https://www.google.com/maps/contrib/100438083232547875676,https://lh5.googleusercontent.com/p/AF1QipMPv92HzjZzFG4tVTWxTgfxiTXp79UXaU8pgBRI=w427-h240-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.6,07:30-19:00,Xing Qi Yi ,+55 16 3204-1335,"Varejao Earth People - Av. Herminia Castelete Belodi, 111 - Jardim Morumbi, Jaboticabal - SP, 14890-214Ba Xi ","Cai , Jia Ge , Jia Ting ",https://www.google.com/maps/place/Varejao+Earth+People/data=!4m7!3m6!1s0x94b96ca1db3fc1a5:0x7654fa79b027f8de!8m2!3d-21.2666931!4d-48.3157196!16s%2Fg%2F11c0vpy88z!19sChIJpcE_26FsuZQR3vgnsHn6VHY?authuser=0&hl=zh-TW&rclk=1
ChIJ-xaUDGNruZQRX3wc1nrj2x4,Comercial Nosso Doce,,False,142,"Name: SM Doces - Jaboticabal
link: https://www.google.com/maps/search/SM+Doces+-+Jaboticabal/@-21.268036799999997,-48.319958799999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1045 reviews

Name: Alessandra Doces
link: https://www.google.com/maps/search/Alessandra+Doces/@-21.263928999999997,-48.3140911?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Delicatto Sabore
link: https://www.google.com/maps/search/Delicatto+Sabore/@-21.2615925,-48.3176865?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Dona Mel Confeitaria
link: https://www.google.com/maps/search/Dona+Mel+Confeitaria/@None,None?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Brigaderia Au Chocolat
link: https://www.google.com/maps/search/Brigaderia+Au+Chocolat/@-21.259398299999997,-48.3143476?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.nossodocejbt.com.br/,Comercial Nosso Doce (Ye Zhu ),https://www.google.com/maps/contrib/100944063166387443910,https://lh5.googleusercontent.com/p/AF1QipOjQP6bm_mkvwl7oYLBAPzqWc70lqVOLp2EWhIL=w408-h288-k-no,Tang Guo Dian ,Tang Guo Dian ,4.6,08:30-18:00,Xing Qi Ri ,+55 16 3204-9809,"Comercial Nosso Doce - R. Castro Alves, 762 - Centro, Jaboticabal - SP, 14870-420Ba Xi ","Jia Ge , Chan Pin , Ju Hui ",https://www.google.com/maps/place/Comercial+Nosso+Doce/data=!4m7!3m6!1s0x94b96b630c9416fb:0x1edbe37ad61c7c5f!8m2!3d-21.2604391!4d-48.3226664!16s%2Fg%2F11d_tpjl7v!19sChIJ-xaUDGNruZQRX3wc1nrj2x4?authuser=0&hl=zh-TW&rclk=1
