place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJh8Pky0ESMDoRE-C4SCkzY28,Hari Om Cafe & Restaurant,,False,876,"Name: Odianee The Restaurant
link: https://www.google.com/maps/search/Odianee+The+Restaurant/@19.0878829,82.0130863?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1332 reviews

Name: Panchratan Pure Veg Restaurant
link: https://www.google.com/maps/search/Panchratan+Pure+Veg+Restaurant/@19.085408599999997,82.0245537?authuser=0&hl=zh-TW&entry=ttu
Reviews: 365 reviews

Name: gdd' klevaa, aamco bstr
link: https://www.google.com/maps/search/%E0%A4%97%E0%A4%A1%E0%A4%BC+%E0%A4%95%E0%A4%B2%E0%A5%87%E0%A4%B5%E0%A4%BE%2C+%E0%A4%86%E0%A4%AE%E0%A4%9A%E0%A5%8B+%E0%A4%AC%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%B0/@19.0838544,82.02915759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 226 reviews

Name: Ankur Restaurant
link: https://www.google.com/maps/search/Ankur+Restaurant/@19.089786699999998,82.0176721?authuser=0&hl=zh-TW&entry=ttu
Reviews: 186 reviews

Name: TBK The Bamboo Kitchen
link: https://www.google.com/maps/search/TBK+The+Bamboo+Kitchen/@19.0899501,82.0046461?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews",http://hariommessrestaurant.com/,Hari Om Cafe & Restaurant (Ye Zhu ),https://www.google.com/maps/contrib/117933307016900483614,https://lh5.googleusercontent.com/p/AF1QipM49wV9XbUCvhHE1UXbTVtbYhXv1vDWibgn-qq3=w408-h525-k-no,Can Ting ,"Can Ting , Su Shi Can Ting ",4.3,11:30-23:00,Open All Days,+91 97556 40601,"Hari Om Cafe & Restaurant, Nayapara, Jagdalpur, Chhattisgarh 494001Yin Du ","Su Shi , Ju Hui , Yin Le , Zhu Can , Fan Dian , Shi Wu Pin Zhi , Huan Jing , Xing Wei , Er Zi ",https://www.google.com/maps/place/Hari+Om+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x3a301241cbe4c387:0x6f63332948b8e013!8m2!3d19.0830221!4d82.0178761!16s%2Fg%2F11bxb9q7sf!19sChIJh8Pky0ESMDoRE-C4SCkzY28?authuser=0&hl=zh-TW&rclk=1
ChIJlyXy2c8TMDoRPC5g_pwRwzg,X_tra Class,,False,869,"Name: CFC CHILLYS RESTAURANT
link: https://www.google.com/maps/search/CFC+CHILLYS+RESTAURANT/@19.0873915,82.0231369?authuser=0&hl=zh-TW&entry=ttu
Reviews: 505 reviews

Name: Ankur Restaurant
link: https://www.google.com/maps/search/Ankur+Restaurant/@19.089786699999998,82.0176721?authuser=0&hl=zh-TW&entry=ttu
Reviews: 186 reviews

Name: Kailash Hotel
link: https://www.google.com/maps/search/Kailash+Hotel/@19.094060499999998,81.9976348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 176 reviews

Name: South Dhamal Restaurant
link: https://www.google.com/maps/search/South+Dhamal+Restaurant/@19.0808558,82.0307382?authuser=0&hl=zh-TW&entry=ttu
Reviews: 132 reviews

Name: FUSION Food N Cafe
link: https://www.google.com/maps/search/FUSION+Food+N+Cafe/@19.0916751,82.0010489?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews",https://x-tra-class.business.site/,X_tra Class (Ye Zhu ),https://www.google.com/maps/contrib/118334674705166547792,https://lh5.googleusercontent.com/p/AF1QipM737HWKD31fMDqJWylKjIX_yERXRz9s4dY85RW=w408-h306-k-no,Kuai Can Dian ,"Kuai Can Dian , Jia Ting Can Ting , Su Shi Can Ting ",3.5,08:00-23:00,Open All Days,+91 82239 66805,"X_tra Class, Jagdalpur,, Dharmapur, Chhattisgarh 494001Yin Du ","Jia Ge , Shi Wu Pin Zhi , Cai , Ju Hui , Zhu Can , Pei Song , Shu Liang , Qian , Xue Yuan ",https://www.google.com/maps/place/X_tra+Class/data=!4m7!3m6!1s0x3a3013cfd9f22597:0x38c3119cfe602e3c!8m2!3d19.0961948!4d81.9893558!16s%2Fg%2F11c4bgcwvq!19sChIJlyXy2c8TMDoRPC5g_pwRwzg?authuser=0&hl=zh-TW&rclk=1
ChIJA5wNk3MSMDoRFz-JYchbnlI,"ddriim keks,jgdlpur",,False,222,"Name: Laxmi Bakery
link: https://www.google.com/maps/search/Laxmi+Bakery/@19.0868708,82.0162438?authuser=0&hl=zh-TW&entry=ttu
Reviews: 496 reviews

Name: New Modern Bakery
link: https://www.google.com/maps/search/New+Modern+Bakery/@19.0855678,82.0228314?authuser=0&hl=zh-TW&entry=ttu
Reviews: 191 reviews

Name: Sangwari Cake factory
link: https://www.google.com/maps/search/Sangwari+Cake+factory/@19.0788077,82.0344059?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Mukesh bakery
link: https://www.google.com/maps/search/Mukesh+bakery/@19.0704653,82.0215977?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews",http://dreamcakesjagdalpur-cakeshop.business.site/,"ddriim keks,jgdlpur (Ye Zhu )",https://www.google.com/maps/contrib/109768054748448985121,https://lh5.googleusercontent.com/p/AF1QipNjLnaf71mIubc7dVWf7wh__DCFh62NPe42fob7=w426-h240-k-no,Xi Bing Dian ,"Xi Bing Dian , Mian Bao Xi Bing Dian , Hong Bei She Bei , La Zhu Zhuan Mai Dian , Zhu Gu Li Dian , Kuai Di Gong Si , Bo Bing Wai Mai Zi Qu , Hun Li Gao Bing Dian ",4.8,10:00-22:00,Open All Days,+91 94063 32143,"ddriim keks,jgdlpur, Naya Para, Court Road, opp. Nehru Hostel, Jagdalpur, Chhattisgarh 494001Yin Du ","Pei Song , Kou Wei , Jing Yan , Ke Fu , Ju Kao , Sheng Ri , Zui Ba , Chuang Yi ","https://www.google.com/maps/place/%E0%A4%A1%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AE+%E0%A4%95%E0%A5%87%E0%A4%95%E0%A5%8D%E0%A4%B8,%E0%A4%9C%E0%A4%97%E0%A4%A6%E0%A4%B2%E0%A4%AA%E0%A5%81%E0%A4%B0/data=!4m7!3m6!1s0x3a301273930d9c03:0x529e5bc861893f17!8m2!3d19.0846043!4d82.0197024!16s%2Fg%2F11gfcgfsj5!19sChIJA5wNk3MSMDoRFz-JYchbnlI?authuser=0&hl=zh-TW&rclk=1"
ChIJ0aEqTNQTMDoRsLy1mxo90_0,Cafe Refresh,,False,57,"Name: Bastar Cafe
link: https://www.google.com/maps/search/Bastar+Cafe/@19.0932191,82.0199742?authuser=0&hl=zh-TW&entry=ttu
Reviews: 155 reviews

Name: Cafe Karma Jagdalpur
link: https://www.google.com/maps/search/Cafe+Karma+Jagdalpur/@19.090324,82.018519?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Juice Box
link: https://www.google.com/maps/search/Juice+Box/@19.0936477,81.9981967?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews",https://caferefreshjdp.in/,Cafe Refresh (Ye Zhu ),https://www.google.com/maps/contrib/103881783072980941893,https://lh5.googleusercontent.com/p/AF1QipPj5f7MLEozLMtD8PWHOWXQNSdBSMeq7T6fsFb9=w408-h271-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,12:00-22:00,Open All Days,,"3rd Floor, Cafe Refresh, Infront of, Shubham Complex, District and Session Court, Hikmipara, Jagdalpur, Chhattisgarh 494001Yin Du ","Nai Xi , Jing Yan , San Ming Zhi ",https://www.google.com/maps/place/Cafe+Refresh/data=!4m7!3m6!1s0x3a3013d44c2aa1d1:0xfdd33d1a9bb5bcb0!8m2!3d19.0820846!4d82.0182868!16s%2Fg%2F11nxc015qq!19sChIJ0aEqTNQTMDoRsLy1mxo90_0?authuser=0&hl=zh-TW&rclk=1
ChIJ-YazB_oTMDoRpmfaLmiaHt8,FUSION Food N Cafe,,False,38,"Name: Hari Om Cafe & Restaurant
link: https://www.google.com/maps/search/Hari+Om+Cafe+%26+Restaurant/@19.0830221,82.0178761?authuser=0&hl=zh-TW&entry=ttu
Reviews: 875 reviews

Name: Urban Affairs
link: https://www.google.com/maps/search/Urban+Affairs/@19.0916768,82.0010432?authuser=0&hl=zh-TW&entry=ttu
Reviews: 426 reviews

Name: TBK The Bamboo Kitchen
link: https://www.google.com/maps/search/TBK+The+Bamboo+Kitchen/@19.0899501,82.0046461?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: Juice Box
link: https://www.google.com/maps/search/Juice+Box/@19.0936477,81.9981967?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews",https://fusionfnc.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,FUSION Food N Cafe (Ye Zhu ),https://www.google.com/maps/contrib/104196169593481788790,https://lh5.googleusercontent.com/p/AF1QipOPAC_8Ca5U5XQRh4DmnMkzHp3dnUtc1AmFxynV=w408-h725-k-no,Can Ting ,"Can Ting , Yin Du Xiang Fan Can Ting , Ka Pei Ting , Ka Pei Dian , Kuai Can Dian ",4.6,11:20-22:30,Open All Days,,"FUSION Food N Cafe, Shop No 10&11, Varghese Wings Building, 1st Floor, Chitrakoot Road, beside Vishal Mega Mart, Dharampura, Jagdalpur, Chhattisgarh 494001Yin Du ",,https://www.google.com/maps/place/FUSION+Food+N+Cafe/data=!4m7!3m6!1s0x3a3013fa07b386f9:0xdf1e9a682eda67a6!8m2!3d19.0916751!4d82.0010489!16s%2Fg%2F11r0ykss96!19sChIJ-YazB_oTMDoRpmfaLmiaHt8?authuser=0&hl=zh-TW&rclk=1
ChIJDbTEOg0TMDoR2nTw2MgS7Xo,Coco Shack,,False,18,"Name: CHAI-PANI
link: https://www.google.com/maps/search/CHAI-PANI/@19.0841623,82.02668489999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 253 reviews

Name: Cafe Karma Jagdalpur
link: https://www.google.com/maps/search/Cafe+Karma+Jagdalpur/@19.090324,82.018519?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Juice Box
link: https://www.google.com/maps/search/Juice+Box/@19.0936477,81.9981967?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews

Name: Cafe Refresh
link: https://www.google.com/maps/search/Cafe+Refresh/@19.082084599999998,82.0182868?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews",https://www.instagram.com/coco.shack/,Coco Shack (Ye Zhu ),https://www.google.com/maps/contrib/112691529252337979732,https://lh5.googleusercontent.com/p/AF1QipO3XOw06kzP_vWtWR9ZFuKXFZzmt8kIWIP0mHno=w408-h472-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,,Open All Days,+91 94060 43319,"Coco Shack, Murti line, Jagdalpur, Chhattisgarh 494001Yin Du ","Pi Sa , Ji Rou San Ming Zhi , Bu Lang Ni , Song Bing , Ru Luo Dan Gao , Nai You ",https://www.google.com/maps/place/Coco+Shack/data=!4m7!3m6!1s0x3a30130d3ac4b40d:0x7aed12c8d8f074da!8m2!3d19.083996!4d82.0270475!16s%2Fg%2F11p5_dnfgj!19sChIJDbTEOg0TMDoR2nTw2MgS7Xo?authuser=0&hl=zh-TW&rclk=1
ChIJ-cfRFBMSMDoRL3AX06-nkro,Ali Internet Cafe,,False,17,"Name: YAKSHITA CYBER CAFE
link: https://www.google.com/maps/search/YAKSHITA+CYBER+CAFE/@19.089089899999998,82.02610659999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: E Planet Communications & System Services
link: https://www.google.com/maps/search/E+Planet+Communications+%26+System+Services/@19.0877694,82.02058009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Shivam Institute & internet cafe
link: https://www.google.com/maps/search/Shivam+Institute+%26+internet+cafe/@19.0868552,82.01795369999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: CSC Internet Cafe
link: https://www.google.com/maps/search/CSC+Internet+Cafe/@19.0824034,82.0323617?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://ali-internet-cafe786.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Ali Internet Cafe (Ye Zhu ),https://www.google.com/maps/contrib/106116981031852240837,https://lh5.googleusercontent.com/p/AF1QipNthLOGTn6Lsp-LXzCvZLJCD7fR1jJOWpqUlhLw=w426-h240-k-no,Wang Ba ,Wang Ba ,4.2,10:00-20:00,Open All Days,+91 81209 66282,"Ali Internet Cafe, IN Front of Parekh Enterprises, Mahavir Chowk, Circuit House Rd, Jagdalpur, Chhattisgarh 494001Yin Du ",,https://www.google.com/maps/place/Ali+Internet+Cafe/data=!4m7!3m6!1s0x3a30121314d1c7f9:0xba92a7afd317702f!8m2!3d19.0883836!4d82.0257522!16s%2Fg%2F11ddykcc93!19sChIJ-cfRFBMSMDoRL3AX06-nkro?authuser=0&hl=zh-TW&rclk=1
ChIJObC_DSUTMDoRVQM4_8vkSYA,Thaliva South Indian cafe & Chinese Jagdalpur,,False,14,"Name: South Dhamal Restaurant
link: https://www.google.com/maps/search/South+Dhamal+Restaurant/@19.0808558,82.0307382?authuser=0&hl=zh-TW&entry=ttu
Reviews: 132 reviews

Name: Cafe Karma Jagdalpur
link: https://www.google.com/maps/search/Cafe+Karma+Jagdalpur/@19.090324,82.018519?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Bhaiyya Ji Cafe
link: https://www.google.com/maps/search/Bhaiyya+Ji+Cafe/@19.0870192,82.015573?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: The Social Cafe
link: https://www.google.com/maps/search/The+Social+Caf%C3%A9/@19.085642999999997,82.0244574?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Sahu Tea Stall
link: https://www.google.com/maps/search/Sahu+Tea+Stall/@19.087626699999998,82.02712629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://thaliva-south-indian-cafe-jagdalpur.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Thaliva South Indian cafe & Chinese Jagdalpur (Ye Zhu ),https://www.google.com/maps/contrib/112920447176248666317,https://lh5.googleusercontent.com/p/AF1QipOsVbgHcOQI7I7IxjMG9xizEFY-jwyxFu6j3-nZ=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.4,06:00-22:00,Open All Days,+91 91316 26625,"Thaliva South Indian cafe & Chinese Jagdalpur, Infront Of New Narendra Talkies besides Binka Hotel, near JZ Smile, Chhattisgarh 494001Yin Du ",,https://www.google.com/maps/place/Thaliva+South+Indian+cafe+%26+Chinese+Jagdalpur/data=!4m7!3m6!1s0x3a3013250dbfb039:0x8049e4cbff380355!8m2!3d19.0858795!4d82.0221988!16s%2Fg%2F11hrgc2sps!19sChIJObC_DSUTMDoRVQM4_8vkSYA?authuser=0&hl=zh-TW&rclk=1
ChIJAdnikIUTMDoRcBdrWhj6gHk,The Social Cafe,,False,7,"Name: Cafe Karma Jagdalpur
link: https://www.google.com/maps/search/Cafe+Karma+Jagdalpur/@19.090324,82.018519?authuser=0&hl=zh-TW&entry=ttu
Reviews: 82 reviews

Name: Cafe Refresh
link: https://www.google.com/maps/search/Cafe+Refresh/@19.082084599999998,82.0182868?authuser=0&hl=zh-TW&entry=ttu
Reviews: 57 reviews

Name: Thaliva South Indian cafe & Chinese Jagdalpur
link: https://www.google.com/maps/search/Thaliva+South+Indian+cafe+%26+Chinese+Jagdalpur/@19.0858795,82.0221988?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: Shivam Institute & internet cafe
link: https://www.google.com/maps/search/Shivam+Institute+%26+internet+cafe/@19.0868552,82.01795369999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://thesocialcafe-cafe.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,The Social Cafe (Ye Zhu ),https://www.google.com/maps/contrib/102839175270989208046,https://lh5.googleusercontent.com/p/AF1QipOLGBlJL2Obm7bwl8cb4z0p_RoPZO0wVwnyEy5j=w426-h240-k-no,Wang Ba ,"Wang Ba , Ka Pei Dian , Mian Dian , Cha Xie Dian ",4.7,09:30-21:00,Open All Days,+91 70002 83059,"The Social Cafe, Infront of shiv shankar bangle, Chandni Chowk, behind Poonam Hotel, Pratap Dev Ward, Jagdalpur, Chhattisgarh 494001Yin Du ",,https://www.google.com/maps/place/The+Social+Caf%C3%A9/data=!4m7!3m6!1s0x3a30138590e2d901:0x7980fa185a6b1770!8m2!3d19.085643!4d82.0244574!16s%2Fg%2F11pcktr61g!19sChIJAdnikIUTMDoRcBdrWhj6gHk?authuser=0&hl=zh-TW&rclk=1
ChIJWYk1xHkNMDoRQDmGqGfr6XI,"Sikdar Store coffee shop,daily needs & photocopy",,False,1,"Name: Sumit Kirana Store
link: https://www.google.com/maps/search/Sumit+Kirana+Store/@19.0803308,82.0416901?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Samindr Dey
link: https://www.google.com/maps/search/Samindr+Dey/@19.0703759,82.0626753?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://sikdar-store-coffee-shopdaily-needs-photocopy.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,"Sikdar Store coffee shop,daily needs & photocopy (Ye Zhu )",https://www.google.com/maps/contrib/101691254065557556130,https://lh5.googleusercontent.com/p/AF1QipO27bFSUfhZ4FGU3fv7NM6tJtdJv4J70IB3xcBG=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,,"Sikdar Store coffee shop,daily needs & photocopy, Jhanda mandir, Jagdalpur-Jeypore Rd, NaktiSemra, Jagdalpur, Chhattisgarh 494001Yin Du ",,"https://www.google.com/maps/place/Sikdar+Store+coffee+shop,daily+needs+%26+photocopy/data=!4m7!3m6!1s0x3a300d79c4358959:0x72e9eb67a8863940!8m2!3d19.0700342!4d82.0717572!16s%2Fg%2F11q_mw0vl6!19sChIJWYk1xHkNMDoRQDmGqGfr6XI?authuser=0&hl=zh-TW&rclk=1"
