place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ45pkNQFYx5QR6orVgp-MWvk,Monkafe Cafeteria,,False,830,"Name: Cafe Mundi
link: https://www.google.com/maps/search/Caf%C3%A9+Mundi/@-22.296917,-48.545746?authuser=0&hl=zh-TW&entry=ttu
Reviews: 361 reviews

Name: Sukhafe Emporio Gourmet
link: https://www.google.com/maps/search/Sukhafe+Emporio+Gourmet/@-22.2917627,-48.552316999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 220 reviews

Name: Rubbo Cafe
link: https://www.google.com/maps/search/Rubbo+Caf%C3%A9/@-22.2949815,-48.5559121?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews",https://monkafe.com.br/,Monkafe Cafeteria (Ye Zhu ),https://www.google.com/maps/contrib/108754371966796025085,https://lh5.googleusercontent.com/p/AF1QipOgng7nBjkrAORZyXvGh3pS1g70JUXIrF0ZKJcl=w408-h271-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.7,07:00-19:00,Xing Qi Ri ,+55 14 3418-8664,"Monkafe Cafeteria - R. Maj. Prado, 108 - Centro, Jau - SP, 17201-450Ba Xi ","Huan Jing , Chan Pin , Qia Bu Qi Nuo , Zhuo , Bing Qi Lin , Guo Jiang , Pai ",https://www.google.com/maps/place/Monkaf%C3%A9+Cafeteria/data=!4m7!3m6!1s0x94c7580135649ae3:0xf95a8c9f82d58aea!8m2!3d-22.2934523!4d-48.5538704!16s%2Fg%2F11gfg_hsg2!19sChIJ45pkNQFYx5QR6orVgp-MWvk?authuser=0&hl=zh-TW&rclk=1
ChIJKcXQKA5Yx5QRAUDSypSqphM,Cafe Mundi,,False,361,"Name: Monkafe Cafeteria
link: https://www.google.com/maps/search/Monkaf%C3%A9+Cafeteria/@-22.2934523,-48.5538704?authuser=0&hl=zh-TW&entry=ttu
Reviews: 831 reviews

Name: Sukhafe Emporio Gourmet
link: https://www.google.com/maps/search/Sukhafe+Emporio+Gourmet/@-22.2917627,-48.552316999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 220 reviews

Name: Rubbo Cafe
link: https://www.google.com/maps/search/Rubbo+Caf%C3%A9/@-22.2949815,-48.5559121?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Rei do Mate
link: https://www.google.com/maps/search/Rei+do+Mate/@-22.2969415,-48.545925?authuser=0&hl=zh-TW&entry=ttu
Reviews: 98 reviews

Name: Cafe Donuts
link: https://www.google.com/maps/search/Caf%C3%A9+Donuts/@-22.2973386,-48.5455093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",http://www.mundicafeteriajau.com.br/,Cafe Mundi (Ye Zhu ),https://www.google.com/maps/contrib/104597782597694238417,https://lh5.googleusercontent.com/p/AF1QipO43MD4PLmz300T1W04Yc5TrvbC51JIpTkXPfAm=w408-h271-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,10:00-22:00,Open All Days,+55 14 3416-5505,"Cafe Mundi - Av. Dr. Quinzinho, 511 - Chacara Peccioli, Jau - SP, 17210-110Ba Xi ","Dan Gao , Guo Jiang , Qia Bu Qi Nuo , Jia Ge , Shang Chang , Huan Jing ",https://www.google.com/maps/place/Caf%C3%A9+Mundi/data=!4m7!3m6!1s0x94c7580e28d0c529:0x13a6aa94cad24001!8m2!3d-22.296917!4d-48.545746!16s%2Fg%2F11d_1vynwr!19sChIJKcXQKA5Yx5QRAUDSypSqphM?authuser=0&hl=zh-TW&rclk=1
ChIJXdFEIqVXx5QRhBcT9FnSoSQ,Dinos Cafeteria,,False,280,"Name: Sukhafe Emporio Gourmet
link: https://www.google.com/maps/search/Sukhafe+Emporio+Gourmet/@-22.2917627,-48.552316999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 220 reviews

Name: Rubbo Cafe
link: https://www.google.com/maps/search/Rubbo+Caf%C3%A9/@-22.2949815,-48.5559121?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Cafe Donuts
link: https://www.google.com/maps/search/Caf%C3%A9+Donuts/@-22.2973386,-48.5455093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Cafe Emporium 341
link: https://www.google.com/maps/search/Caf%C3%A9+Emporium+341/@-22.295252599999998,-48.564268999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://dinoscafeteria.com.br/,Dinos Cafeteria (Ye Zhu ),https://www.google.com/maps/contrib/105098347724436152289,https://lh5.googleusercontent.com/p/AF1QipNOZqKdfd0k-Ypq7SXMkeugRAmJRxii5pBeE8-6=w408-h543-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,07:00-19:00,Open All Days,+55 14 3621-8890,"Dinos Cafeteria - R. 13 de Maio, 756 - Centro, Jau - SP, 17202-180Ba Xi ","Huan Jing , Chan Pin , Qia Bu Qi Nuo , Jing Yan , Jia Ge , Kong Jian , Zao Can , Guo Jiang ",https://www.google.com/maps/place/Dinos+Cafeteria/data=!4m7!3m6!1s0x94c757a52244d15d:0x24a1d259f4131784!8m2!3d-22.3008001!4d-48.5606726!16s%2Fg%2F11sc2jwp4z!19sChIJXdFEIqVXx5QRhBcT9FnSoSQ?authuser=0&hl=zh-TW&rclk=1
ChIJ_7ceu4wDBDQRfHzwIvWZdN4,JOMO Kitchen & Health Hub,,False,257,"Name: Market Place
link: https://www.google.com/maps/search/Market+Place/@22.307201199999998,114.25706710000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 409 reviews

Name: Urban Coffee Roaster TKO
link: https://www.google.com/maps/search/Urban+Coffee+Roaster+TKO/@22.3015591,114.2579667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 263 reviews

Name: Seoulmate
link: https://www.google.com/maps/search/Seoulmate/@22.3028877,114.26324699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 94 reviews

Name: Hygge
link: https://www.google.com/maps/search/Hygge/@22.303356299999997,114.260573?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews",https://www.jomocnc.com/,JOMO Kitchen & Health Hub (Ye Zhu ),https://www.google.com/maps/contrib/108645917219870108424,https://lh5.googleusercontent.com/p/AF1QipODFriOVrsKmLk_cyLNyjxH83UWU7pIEHuZBhtI=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Jian Shen Shi ",3.7,09:00-18:00,Open All Days,2331 3003,Jiang Jun Ao Tang Jun Jie 23Hao Monterey Place G01Dian JOMO Kitchen & Health Hub,"Qi Feng Dan Gao , Bo Jue Cha , Yi Fen , Zuo , Dan Gao Juan , Song Lu , brunch, Chun Su , Zhi Ma , Fan Shu ",https://www.google.com/maps/place/JOMO+Kitchen+%26+Health+Hub/data=!4m7!3m6!1s0x3404038cbb1eb7ff:0xde7499f522f07c7c!8m2!3d22.3016383!4d114.2622566!16s%2Fg%2F11j1knvqj5!19sChIJ_7ceu4wDBDQRfHzwIvWZdN4?authuser=0&hl=zh-TW&rclk=1
ChIJI839EUABBDQRwuhK4fvQ5lI,Tipsy Tap,,False,254,"Name: Kowloon Taproom
link: https://www.google.com/maps/search/Kowloon+Taproom/@22.2966598,114.17062659999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 605 reviews

Name: Zhang Men Jing Niang (Xiang Gang ) Jian Sha Ju Dian  ZhangMen Hong Kong
link: https://www.google.com/maps/search/%E6%8E%8C%E9%96%80%E7%B2%BE%E9%87%80%28%E9%A6%99%E6%B8%AF%29+%E5%B0%96%E6%B2%99%E5%92%80%E5%BA%97+ZhangMen+Hong+Kong/@22.301392,114.17528759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 296 reviews

Name: Malty bar
link: https://www.google.com/maps/search/Malty+bar/@22.297926999999998,114.17420999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 89 reviews

Name: Vini Novo Wine Bar
link: https://www.google.com/maps/search/Vini+Novo+Wine+Bar/@22.319412500000002,114.16161179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",http://www.facebook.com/tipsytap.hk,Tipsy Tap (Ye Zhu ),https://www.google.com/maps/contrib/116790167367529709899,https://lh5.googleusercontent.com/p/AF1QipPg-ARR3BSQNz6vwaqmhl9nsbOVtH_FWx1E7Ye3=w408-h544-k-no,Jiu Ba ,"Jiu Ba , Pi Jiu Guan , Pi Jiu Zhuan Mai Dian , Zha Yu Shu Tiao Can Ting , Wai Mai Zi Qu Can Ting , Can Ting , Xi Can Ting , Jiu Pin Zhuan Mai Dian ",4.4,16:00-00:00,Open All Days,6882 9840,Jian Sha Ju Ke Shi Dian Lu 5Hao Tipsy TapG/F,"Jiang , An Ge Si , Mo Gu , Yan Rou , Xie Rou , Rou Yan , Ji Yi , Fu Ru ",https://www.google.com/maps/place/Tipsy+Tap/data=!4m7!3m6!1s0x3404014011fdcd23:0x52e6d0fbe14ae8c2!8m2!3d22.3020101!4d114.1760944!16s%2Fg%2F11f79xz600!19sChIJI839EUABBDQRwuhK4fvQ5lI?authuser=0&hl=zh-TW&rclk=1
ChIJyfnhq6RZx5QRZ6EEFpniDuE,Sukhafe Emporio Gourmet,,False,220,"Name: Monkafe Cafeteria
link: https://www.google.com/maps/search/Monkaf%C3%A9+Cafeteria/@-22.2934523,-48.5538704?authuser=0&hl=zh-TW&entry=ttu
Reviews: 831 reviews

Name: Cafe Mundi
link: https://www.google.com/maps/search/Caf%C3%A9+Mundi/@-22.296917,-48.545746?authuser=0&hl=zh-TW&entry=ttu
Reviews: 361 reviews

Name: Emporio Gourmet
link: https://www.google.com/maps/search/Emp%C3%B3rio+Gourmet/@-22.2738974,-48.5398232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Karsudos Cafe
link: https://www.google.com/maps/search/Karsudos+Caf%C3%A9/@-22.2910973,-48.5481871?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.sukhafe.com.br/,Sukhafe Emporio Gourmet (Ye Zhu ),https://www.google.com/maps/contrib/101055921113149325745,https://lh5.googleusercontent.com/p/AF1QipNH2tRcE6j2f6nQNF5WF7eRE_GvzFA-7guSioe9=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,08:00-18:30,Xing Qi Ri ,+55 14 99183-5356,"Sukhafe Emporio Gourmet - R. Aristides Lobo Sobrinho, 98 - Centro, Jau - SP, 17207-300Ba Xi ","Huan Jing , Jia Ge , Can ",https://www.google.com/maps/place/Sukhafe+Emporio+Gourmet/data=!4m7!3m6!1s0x94c759a4abe1f9c9:0xe10ee2991604a167!8m2!3d-22.2917627!4d-48.552317!16s%2Fg%2F11hyd382b1!19sChIJyfnhq6RZx5QRZ6EEFpniDuE?authuser=0&hl=zh-TW&rclk=1
ChIJz10tlPSnuJQRuTNU7HrW7Ew,Garden Coffee,,False,176,"Name: Primavera Decor Floricultura
link: https://www.google.com/maps/search/Primavera+Decor+Floricultura/@-22.2840047,-48.5584462?authuser=0&hl=zh-TW&entry=ttu
Reviews: 500 reviews

Name: Floricultura Avenida Jau
link: https://www.google.com/maps/search/Floricultura+Avenida+Ja%C3%BA/@-22.2876409,-48.57185990000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 108 reviews

Name: Agro Jau - Floricultura & Paisagismo
link: https://www.google.com/maps/search/Agro+Ja%C3%BA+-+Floricultura+%26+Paisagismo/@-22.2976095,-48.561326699999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: La Jardineria jau
link: https://www.google.com/maps/search/La+Jardiner%C3%ADa+ja%C3%BA/@-22.2876889,-48.5645885?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://www.facebook.com/gardencoffee/,Garden Coffee (Ye Zhu ),https://www.google.com/maps/contrib/117491184415812704080,https://lh5.googleusercontent.com/p/AF1QipNmtGnCb0PjnJFietj-AdX4tJKcYofq0-bIWG5n=w408-h272-k-no,Hua Dian ,Hua Dian ,4.7,09:00-18:00,Xing Qi Ri ,+55 14 3418-9333,"Garden Coffee - R. Rui Barbosa, 1800 - Jardim Ferreira Dias, Jau - SP, 17209-656Ba Xi ","Jia Ge , Chan Pin , Shi Pin ",https://www.google.com/maps/place/Garden+Coffee/data=!4m7!3m6!1s0x94b8a7f4942d5dcf:0x4cecd67aec5433b9!8m2!3d-22.2818937!4d-48.5400367!16s%2Fg%2F11g697yssy!19sChIJz10tlPSnuJQRuTNU7HrW7Ew?authuser=0&hl=zh-TW&rclk=1
ChIJyWh-KQ5Yx5QRckugtqxVtok,Rei do Mate,,False,98,"Name: Cafe Mundi
link: https://www.google.com/maps/search/Caf%C3%A9+Mundi/@-22.296917,-48.545746?authuser=0&hl=zh-TW&entry=ttu
Reviews: 361 reviews

Name: Cafe Donuts
link: https://www.google.com/maps/search/Caf%C3%A9+Donuts/@-22.2973386,-48.5455093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Cafe Emporium 341
link: https://www.google.com/maps/search/Caf%C3%A9+Emporium+341/@-22.295252599999998,-48.564268999999996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews",https://www.reidomate.com.br/,Rei do Mate (Ye Zhu ),https://www.google.com/maps/contrib/117156090190542257895,https://lh5.googleusercontent.com/p/AF1QipOMevj0-vH7KIp2GBUrW-UbalOdvsRCpNRG08OV=w408-h271-k-no,Ka Pei Dian ,"Ka Pei Dian , Cha Yi Guan ",4.5,11:00-22:00,Open All Days,+55 14 2104-2317,"Rei do Mate - Av. Dr. Quinzinho, 511 - LUC 67 - Chacara Peccioli, Jau - SP, 17210-110Ba Xi ",,https://www.google.com/maps/place/Rei+do+Mate/data=!4m7!3m6!1s0x94c7580e297e68c9:0x89b655acb6a04b72!8m2!3d-22.2969415!4d-48.545925!16s%2Fg%2F11b6hvc2ct!19sChIJyWh-KQ5Yx5QRckugtqxVtok?authuser=0&hl=zh-TW&rclk=1
ChIJOb1To0oBBDQRH1fjrvfgBuo,Jau Fai Zi * Jiu Kuai Zi ,,False,61,"Name: Er Shi Zu 
link: https://www.google.com/maps/search/%E4%BA%8C%E4%B8%96%E7%A5%96/@22.3209932,114.16491579999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 240 reviews

Name: Xiang Fa Cha Can Ting 
link: https://www.google.com/maps/search/%E7%A5%A5%E7%99%BC%E8%8C%B6%E9%A4%90%E5%BB%B3/@22.3232116,114.16416819999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: OUC......
link: https://www.google.com/maps/search/OUC%E2%80%A6%E2%80%A6/@22.3192783,114.1615031?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",https://www.facebook.com/jaufaizi,Jau Fai Zi * Jiu Kuai Zi  (Ye Zhu ),https://www.google.com/maps/contrib/112317488570035909640,https://lh5.googleusercontent.com/p/AF1QipO3i_SDPQv7SEp9S2G1brq5HOdg0MYR32hGV2b5=w426-h240-k-no,Zhong Can Guan ,Zhong Can Guan ,4.1,11:00-23:30,Open All Days,2348 8389,"Da Jiao Ju Tang Wei Dao 51Hao A, G/F, 51 Tong Mi Road, Tai Kok TsuiJau Fai Zi * Jiu Kuai Zi Hao  A Pu  Shop","E Gan , Jia Ge , Qing Jiu , Zha , Ji You , An Ge Si Niu , Shu Shi , Cha Shao , Xian ",https://www.google.com/maps/place/Jau+Fai+Zi+%E2%80%A2+%E9%85%92%E7%AD%B7%E5%AD%90/data=!4m7!3m6!1s0x3404014aa353bd39:0xea06e0f7aee3571f!8m2!3d22.3197991!4d114.1657383!16s%2Fg%2F11q88q0pr3!19sChIJOb1To0oBBDQRH1fjrvfgBuo?authuser=0&hl=zh-TW&rclk=1
ChIJuQDIAVVZzpQRWhrvSpnI-4k,The Coffee,,False,54,"Name: We Coffee
link: https://www.google.com/maps/search/We+Coffee/@-23.562772400000004,-46.6669591?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1823 reviews

Name: Cafe Jau
link: https://www.google.com/maps/search/Caf%C3%A9+Ja%C3%BA/@-23.558456,-46.663896?authuser=0&hl=zh-TW&entry=ttu
Reviews: 420 reviews

Name: Cafe Paulista
link: https://www.google.com/maps/search/Caf%C3%A9+Paulista/@-23.558488399999998,-46.6601621?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Padaria
link: https://www.google.com/maps/search/Padaria/@-23.576290300000004,-46.6582033?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://thecoffee.jp/shortcut/brasil/sao-paulo/the-coffee-alameda-jau,The Coffee (Ye Zhu ),https://www.google.com/maps/contrib/103941900315382412190,https://lh5.googleusercontent.com/p/AF1QipMDk5dh7gQz03Ul51VYAEuis3o4ZuCaoqT4_X15=w408-h408-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,07:30-20:00,Open All Days,+55 41 99279-7895,"The Coffee - Alameda Jau, 476 - Jardim Paulista, Sao Paulo - SP, 04535-014Ba Xi ","Huan Jing , Mo Cha , Ji Jian , Fu Wu , Jia Ge ",https://www.google.com/maps/place/The+Coffee/data=!4m7!3m6!1s0x94ce595501c800b9:0x89fbc8994aef1a5a!8m2!3d-23.5664967!4d-46.6541557!16s%2Fg%2F11pv6d7tf3!19sChIJuQDIAVVZzpQRWhrvSpnI-4k?authuser=0&hl=zh-TW&rclk=1
