place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJcf7Tg1UDSF4RFveEWssRy8Q,Starbucks Coffee,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,2,,https://www.starbucks.com.cn/,Starbucks Coffee (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,4.5,,Open All Days,,Zhong Guo Ji Lin Sheng Ji Lin Shi Chang Yi Qu Shang Hai Lu Zhong Qing Lu 1367Hao  Starbucks Coffee You Zheng Bian Ma : 132011,,https://www.google.com/maps/place/Starbucks+Coffee/data=!4m7!3m6!1s0x5e48035583d3fe71:0xc4cb11cb5a84f716!8m2!3d43.848342!4d126.567305!16s%2Fg%2F11cm1mq0r7!19sChIJcf7Tg1UDSF4RFveEWssRy8Q?authuser=0&hl=zh-TW&rclk=1
ChIJRXyaFVUDSF4R0f6oTbXT8Z4,Zoo Coffee,,False,,"Name: Mao Quan Ka Pei 
link: https://www.google.com/maps/search/%E8%B2%93%E5%9C%88%E5%92%96%E5%95%A1/@43.84746,126.56963999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Qi Bu Zhuang Yuan 
link: https://www.google.com/maps/search/%E4%B8%83%E6%AD%A5%E8%8E%8A%E5%9C%92/@43.846055,126.56853100000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mao Ka Pei 
link: https://www.google.com/maps/search/%E8%B2%93%E5%92%96%E5%95%A1/@43.84626,126.56075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Yuanzi Cafe
link: https://www.google.com/maps/search/Yuanzi+Cafe/@43.867439999999995,126.59118?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Shang Dao Ka Pei 
link: https://www.google.com/maps/search/%E4%B8%8A%E5%B3%B6%E5%92%96%E5%95%A1/@43.845937,126.577744?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.zoocoffee.com/,Zoo Coffee (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,Zhong Guo Ji Lin Sheng Ji Lin Shi Chang Yi Qu Zhong Qing Jie  Zoo Coffee You Zheng Bian Ma : 132011,,https://www.google.com/maps/place/Zoo+Coffee/data=!4m7!3m6!1s0x5e480355159a7c45:0x9ef1d3b54da8fed1!8m2!3d43.846974!4d126.5678689!16s%2Fg%2F11c2nx70vl!19sChIJRXyaFVUDSF4R0f6oTbXT8Z4?authuser=0&hl=zh-TW&rclk=1
ChIJnSVu3FEbSF4RpXDLzICbqtU,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,,"Name: Jiang Coffe
link: https://www.google.com/maps/search/Jiang+Coffe/@43.841995,126.591573?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Zhen Cafe
link: https://www.google.com/maps/search/Zhen+Cafe/@43.859829999999995,126.58050999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xing Bake Western-Style Food Coffee
link: https://www.google.com/maps/search/Xing+Bake+Western-Style+Food+Coffee/@43.8395079,126.58532989999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Qiwancha
link: https://www.google.com/maps/search/Qiwancha/@43.84614,126.58416?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Kani Kawo
link: https://www.google.com/maps/search/Kani+Kawo/@43.851313,126.587629?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.starbucks.com.cn/stores/?features=&bounds=126.579299%2C43.843166%2C126.608139%2C43.860218,Starbucks (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,+86 432 6997 6232,Zhong Guo CN Ji Lin Sheng  Ji Lin Shi  Chang Yi Qu  CN Ji Lin Sheng  Ji Lin Shi  Chang Yi Qu  Jie Fang Lu 6Hao Ou Ya Shang Du Di Shang Yi Ceng  Starbucks You Zheng Bian Ma : 132001,,https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x5e481b51dc6e259d:0xd5aa9b80cccb70a5!8m2!3d43.8508679!4d126.5884105!16s%2Fg%2F11fjfk7hbs!19sChIJnSVu3FEbSF4RpXDLzICbqtU?authuser=0&hl=zh-TW&rclk=1
ChIJ-cU8ec8ESF4RlHMSK4zPSrk,Caffe Bene,"Chong Man Qie Yi Ou Shi Feng Qing De Lian Suo Ka Pei Dian ,Ti Gong Ge Shi Tian Dian He San Ming Zhi . ",False,,"Name: Yuanzi Cafe
link: https://www.google.com/maps/search/Yuanzi+Cafe/@43.867439999999995,126.59118?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Coffee Shop
link: https://www.google.com/maps/search/Coffee+Shop/@43.870084,126.58648590000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Starbucks
link: https://www.google.com/maps/search/Starbucks/@43.8508679,126.5884105?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Zhen Cafe
link: https://www.google.com/maps/search/Zhen+Cafe/@43.859829999999995,126.58050999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Qiwancha
link: https://www.google.com/maps/search/Qiwancha/@43.84614,126.58416?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://caffebene.com/,Caffe Bene (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,Zhong Guo Ji Lin Sheng Ji Lin Shi Chang Yi Qu Jie Fang Bei Lu Caffe Bene You Zheng Bian Ma : 132001,,https://www.google.com/maps/place/Caffe+Bene/data=!4m7!3m6!1s0x5e4804cf793cc5f9:0xb94acf8c2b127394!8m2!3d43.870084!4d126.5864859!16s%2Fg%2F11b6vh5svr!19sChIJ-cU8ec8ESF4RlHMSK4zPSrk?authuser=0&hl=zh-TW&rclk=1
ChIJoQPRD0wDSF4RneCVXxvg3Js,Er Shi Jiu Hao Ka Pei ,,False,1,"Name: Warmer Coffee
link: https://www.google.com/maps/search/Warmer+Coffee/@43.84071,126.551333?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Hou Qing Yuan 
link: https://www.google.com/maps/search/%E5%8E%9A%E6%85%B6%E6%BA%90/@43.847809999999996,126.55172?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xin Xinchaozu Snack
link: https://www.google.com/maps/search/Xin+Xinchaozu+Snack/@43.8393169,126.539301?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xinlong Snack
link: https://www.google.com/maps/search/Xinlong+Snack/@43.845586999999995,126.54596400000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xi Bao Ka Pei 
link: https://www.google.com/maps/search/%E7%86%B9%E5%AF%B6%E5%92%96%E5%95%A1/@43.85684,126.52301000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Er Shi Jiu Hao Ka Pei  (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,,Zhong Guo Ji Lin Sheng Ji Lin Shi Chuan Ying Qu Bei Jing Lu Er Shi Jiu Hao Ka Pei  You Zheng Bian Ma : 132011,,https://www.google.com/maps/place/%E4%BA%8C%E5%8D%81%E4%B9%9D%E8%99%9F%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x5e48034c0fd103a1:0x9bdce01b5f95e09d!8m2!3d43.839578!4d126.551332!16s%2Fg%2F11c5_1knx1!19sChIJoQPRD0wDSF4RneCVXxvg3Js?authuser=0&hl=zh-TW&rclk=1
ChIJk409KE8DSF4RSW2zmQUxETI,Thailand Pattaya Coffee Deduction Bar,,False,1,"Name: Ba Ti Ya Ka Pei Ba 
link: https://www.google.com/maps/search/%E8%8A%AD%E6%8F%90%E9%9B%85%E5%92%96%E5%95%A1%E5%90%A7/@43.8447803,126.54542839999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Jie Jie Yan Yi Jiu Ba 
link: https://www.google.com/maps/search/%E6%8D%B7%E6%8D%B7%E6%BC%94%E7%B9%B9%E9%85%92%E5%90%A7/@43.846399999999996,126.56158?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Banona Disco-bar
link: https://www.google.com/maps/search/Banona+Disco-bar/@43.843629199999995,126.56589749999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Bao Li Jin Shang Wu KTV
link: https://www.google.com/maps/search/%E5%AF%B6%E5%88%A9%E9%87%91%E5%95%86%E5%8B%99KTV/@43.8402947,126.5476399?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Haidi Pub
link: https://www.google.com/maps/search/Haidi+Pub/@43.863710999999995,126.58973699999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Thailand Pattaya Coffee Deduction Bar (Ye Zhu ),,,Jiu Ba ,Jiu Ba ,3,,Open All Days,,Zhong Guo Ji Lin Sheng Ji Lin Shi Chuan Ying Qu Hou Yu Hu Tong  Thailand Pattaya Coffee Deduction Bar You Zheng Bian Ma : 132011,,https://www.google.com/maps/place/Thailand+Pattaya+Coffee+Deduction+Bar/data=!4m7!3m6!1s0x5e48034f283d8d93:0x3211310599b36d49!8m2!3d43.841032!4d126.547257!16s%2Fg%2F11ddxbfb23!19sChIJk409KE8DSF4RSW2zmQUxETI?authuser=0&hl=zh-TW&rclk=1
ChIJUSn78B0dSF4Rp0ROZVDZguI,Yili Coffee Shop,,False,,"Name: Yi Hu Cha Guan 
link: https://www.google.com/maps/search/%E4%B8%80%E5%A3%BA%E8%8C%B6%E9%A4%A8/@43.829636199999996,126.53658730000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Wei's cafe
link: https://www.google.com/maps/search/Wei%27s+cafe/@43.819452999999996,126.56201499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Yi Li Ka Pei 
link: https://www.google.com/maps/search/%E4%B8%80%E5%8A%9B%E5%92%96%E5%95%A1/@43.837057699999995,126.5653511?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Dingguan Coffee
link: https://www.google.com/maps/search/Dingguan+Coffee/@43.80491,126.53623999999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Shu Li Shi Za Dian 
link: https://www.google.com/maps/search/%E6%A8%B9%E5%88%A9%E9%A3%9F%E9%9B%9C%E5%BA%97/@43.8228412,126.55114030000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Yili Coffee Shop (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,Zhong Guo Ji Lin Sheng Ji Lin Shi Feng Man Qu Shen Zhen Zhong Lu  Yili Coffee Shop You Zheng Bian Ma : 132106,,https://www.google.com/maps/place/Yili+Coffee+Shop/data=!4m7!3m6!1s0x5e481d1df0fb2951:0xe282d950654e44a7!8m2!3d43.808545!4d126.56182!16s%2Fg%2F11cm1mmtbb!19sChIJUSn78B0dSF4Rp0ROZVDZguI?authuser=0&hl=zh-TW&rclk=1
ChIJVWYzADIDSF4RbCYg2IgpJgw,Five Stars Coffee,,False,,"Name: Xi Lai Shun 
link: https://www.google.com/maps/search/%E8%A5%BF%E4%BE%86%E9%A0%86/@43.8282082,126.5290214?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Jing Dian Ka Pei 
link: https://www.google.com/maps/search/%E7%B6%93%E5%85%B8%E5%92%96%E5%95%A1/@43.831849999999996,126.535396?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Tai Ping Yang Ka Pei 
link: https://www.google.com/maps/search/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/@43.849123,126.560959?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Five Stars Coffee (Ye Zhu ),,,Ka Pei Dian ,"Ka Pei Dian , Shi Pin He Yin Pin ",,,Open All Days,+86 432 6482 8667,Zhong Guo Ji Lin Sheng Ji Lin Shi Chuan Ying Qu Chang Chun Lu  Five Stars Coffee You Zheng Bian Ma : 132011,,https://www.google.com/maps/place/Five+Stars+Coffee/data=!4m7!3m6!1s0x5e48033200336655:0xc262988d820266c!8m2!3d43.8295259!4d126.535037!16s%2Fg%2F1tj1m8yg!19sChIJVWYzADIDSF4RbCYg2IgpJgw?authuser=0&hl=zh-TW&rclk=1
ChIJT0aWgrIcSF4RGUGwGJ4Y9-o,Xiang Coffee,,False,,"Name: Yin Xiang Ka Pei 
link: https://www.google.com/maps/search/%E5%8D%B0%E8%B1%A1%E5%92%96%E5%95%A1/@43.8371577,126.54733150000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Yi Hu Cha Guan 
link: https://www.google.com/maps/search/%E4%B8%80%E5%A3%BA%E8%8C%B6%E9%A4%A8/@43.829636199999996,126.53658730000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Mao Ka Pei 
link: https://www.google.com/maps/search/%E8%B2%93%E5%92%96%E5%95%A1/@43.84626,126.56075?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Shang Dao Ka Pei 
link: https://www.google.com/maps/search/%E4%B8%8A%E5%B3%B6%E5%92%96%E5%95%A1/@43.838561999999996,126.552989?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Hands Coffee
link: https://www.google.com/maps/search/Hands+Coffee/@43.831396,126.56742500000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Xiang Coffee (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,"Zhong Guo  1, Chuan Ying Qu Song Jiang Zhong Lu 1-12Hao CN Ji Lin Sheng  Ji Lin Shi  Xiang Coffee You Zheng Bian Ma : 132001",,https://www.google.com/maps/place/Xiang+Coffee/data=!4m7!3m6!1s0x5e481cb28296464f:0xeaf7189e18b04119!8m2!3d43.83971!4d126.56323!16s%2Fg%2F11rv85bb50!19sChIJT0aWgrIcSF4RGUGwGJ4Y9-o?authuser=0&hl=zh-TW&rclk=1
ChIJebg7erccSF4REH5oDRDTAEs,Mao Ka Pei ,,False,,"Name: Hands Coffee
link: https://www.google.com/maps/search/Hands+Coffee/@43.831396,126.56742500000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Xiang Coffee
link: https://www.google.com/maps/search/Xiang+Coffee/@43.839710000000004,126.56322999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: KAYUKAKa Pei Ting 
link: https://www.google.com/maps/search/%EF%BC%AB%EF%BC%A1%EF%BC%B9%EF%BC%B5%EF%BC%AB%EF%BC%A1%E5%92%96%E5%95%A1%E5%BB%B3/@43.83198,126.5728001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Lou Shang De Mao Ka Pei 
link: https://www.google.com/maps/search/%E6%A8%93%E4%B8%8A%E7%9A%84%E8%B2%93%E5%92%96%E5%95%A1/@43.84948,126.56586999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Mao Ka Pei  (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,Zhong Guo Ji Lin Sheng Ji Lin Shi Feng Man Qu Hua Shan Lu Mao Ka Pei  You Zheng Bian Ma : 132001,,https://www.google.com/maps/place/%E8%B2%93%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x5e481cb77a3bb879:0x4b00d3100d687e10!8m2!3d43.831553!4d126.5653021!16s%2Fg%2F11c2p568mr!19sChIJebg7erccSF4REH5oDRDTAEs?authuser=0&hl=zh-TW&rclk=1
