place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJrX-gPLm9yEwR-Jlc5vxIPpg,Brasserie artisanale Albion,,False,776,"Name: Sim's Irish Pub
link: https://www.google.com/maps/search/Sim%27s+Irish+Pub/@46.023778,-73.43918599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 614 reviews

Name: Le Melkior - Bar a Bieres
link: https://www.google.com/maps/search/Le+Melkior+-+Bar+%C3%A0+Bi%C3%A8res/@46.0239465,-73.43989429999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 366 reviews

Name: L'Indecis Resto-Bar
link: https://www.google.com/maps/search/L%27Ind%C3%A9cis+Resto-Bar/@46.0245962,-73.43856079999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 222 reviews

Name: Alchimiste Microbrasserie
link: https://www.google.com/maps/search/Alchimiste+Microbrasserie/@46.0064013,-73.4443502?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: Albion - Brasserie Artisanale / Salle de Brassage & Salon de Degustation
link: https://www.google.com/maps/search/Albion+-+Brasserie+Artisanale+%2F+Salle+de+Brassage+%26+Salon+de+D%C3%A9gustation/@46.1393851,-73.5095218?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",http://www.brasseriealbion.com/,Brasserie artisanale Albion (Ye Zhu ),https://www.google.com/maps/contrib/104412643602413867531,https://lh5.googleusercontent.com/p/AF1QipMUu4KXn-ln6id0-qcuhpAp1PRreUlVinj1U0A-=w408-h272-k-no,Jiu Chang Jiu Ba ,"Jiu Chang Jiu Ba , Can Ting , Fa Shi Can Ting ",4.6,11:30-01:30,Xing Qi Yi ,+1 450-759-7482,"Brasserie artisanale Albion, 408 Bd Manseau, Joliette, QC J6E 3E1Jia Na Da ","Zha Yu Shu Tiao , Bai Pan , Le Pai , Duo Rou , Liao Li , Yan Xun Gui Yu ",https://www.google.com/maps/place/Brasserie+artisanale+Albion/data=!4m7!3m6!1s0x4cc8bdb93ca07fad:0x983e48fce65c99f8!8m2!3d46.025454!4d-73.4394964!16s%2Fg%2F1tf022cs!19sChIJrX-gPLm9yEwR-Jlc5vxIPpg?authuser=0&hl=zh-TW&rclk=1
ChIJ8a-3Idi9yEwRqTqrT-hImF8,Tim Hortons,,False,607,"Name: Tim Hortons
link: https://www.google.com/maps/search/Tim+Hortons/@45.725845799999995,-73.6564566?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1117 reviews

Name: Coco Frutti St-Paul
link: https://www.google.com/maps/search/Coco+Frutti+St-Paul/@45.995117799999996,-73.4589699?authuser=0&hl=zh-TW&entry=ttu
Reviews: 501 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@45.9952475,-73.4589082?authuser=0&hl=zh-TW&entry=ttu
Reviews: 269 reviews

Name: Petro-Canada
link: https://www.google.com/maps/search/Petro-Canada/@45.996666,-73.457798?authuser=0&hl=zh-TW&entry=ttu
Reviews: 161 reviews",http://locations.timhortons.ca/qc/saint-paul-de-joliette/617-boul-de-lindustrie,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/110833714253787914031,https://lh5.googleusercontent.com/p/AF1QipNeEExPhV8_Prc4ANk3L_laIfcuIFDlm90h6FlT=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.4,06:00-20:00,Xing Qi Yi ,+1 450-756-4496,"Tim Hortons, 617 Bd de l'Industrie, Saint-Paul, Quebec J0K 3E0Jia Na Da ","Fu Wu , Xia Ding , Xiao Rong , Tian Tian Quan , San Ming Zhi , Ce Suo , Zao Can , Nong Chang , Ji Rou ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cc8bdd821b7aff1:0x5f9848e84fab3aa9!8m2!3d45.9957095!4d-73.4584213!16s%2Fg%2F1vqtgdfr!19sChIJ8a-3Idi9yEwRqTqrT-hImF8?authuser=0&hl=zh-TW&rclk=1
ChIJ704RHJO9yEwRmEQVEicZ6sg,Tim Hortons,,False,551,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@46.037112199999996,-73.4434423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1782 reviews

Name: Eggsquis
link: https://www.google.com/maps/search/Eggsquis/@46.037665999999994,-73.441782?authuser=0&hl=zh-TW&entry=ttu
Reviews: 761 reviews

Name: Restoroute Joliette
link: https://www.google.com/maps/search/Restoroute+Joliette/@46.017123999999995,-73.451819?authuser=0&hl=zh-TW&entry=ttu
Reviews: 667 reviews

Name: Brulerie Du Roy (La)
link: https://www.google.com/maps/search/Br%C3%BBlerie+Du+Roy+%28La%29/@46.025352,-73.439646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 492 reviews

Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@46.0329826,-73.42197449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews",http://locations.timhortons.ca/qc/joliette/101-joseph-arthur-st,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/102126486267951963173,https://lh5.googleusercontent.com/p/AF1QipMKU_L-6vJvK-ypVfIZSqwwupc0VCDe2Mk-YAqi=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.5,06:00-16:00,Open All Days,+1 450-755-3218,"Tim Hortons, 101 Bd Joseph Arthur, Joliette, QC J6E 4S5Jia Na Da ","De Lai Su , Nong Chang , Tian Tian Quan , Juan Bing , Song Bing , Zhuo , Bei Guo , Qi Si , Xiao Rong ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cc8bd931c114eef:0xc8ea192712154498!8m2!3d46.0213341!4d-73.4238786!16s%2Fg%2F11c5_syh5k!19sChIJ704RHJO9yEwRmEQVEicZ6sg?authuser=0&hl=zh-TW&rclk=1
ChIJ0QdtO7m9yEwRZuYpxydFIXQ,Brulerie Du Roy (La),,False,492,"Name: Restoroute Joliette
link: https://www.google.com/maps/search/Restoroute+Joliette/@46.017123999999995,-73.451819?authuser=0&hl=zh-TW&entry=ttu
Reviews: 667 reviews

Name: Cafe Van Houtte
link: https://www.google.com/maps/search/Caf%C3%A9+Van+Houtte/@46.024316,-73.44055399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 452 reviews

Name: Ras Le Bol
link: https://www.google.com/maps/search/Ras+Le+Bol/@46.0252184,-73.4398049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Cafe Depot Joliette
link: https://www.google.com/maps/search/Caf%C3%A9+D%C3%A9p%C3%B4t+Joliette/@46.032759999999996,-73.42461399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Arome Tropical
link: https://www.google.com/maps/search/Ar%C3%B4me+Tropical/@46.021150999999996,-73.45140599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews",http://www.brulerieduroy.com/,Brulerie Du Roy (La) (Ye Zhu ),https://www.google.com/maps/contrib/117554342293499909406,https://lh5.googleusercontent.com/p/AF1QipMGdpdBZCSL_SxujBIOCkA3bS8dF33oltu_JJQg=w408-h272-k-no,Ka Pei Dian ,"Ka Pei Dian , Yi Lang Ka Pei Ting , Qiao Ke Li Ka Pei Guan , Wai Dai Ka Pei Zhuan Mai Dian , Ka Pei Pi Fa Shang ",4.5,08:00-17:00,"Xing Qi Yi , Xing Qi Er ",+1 450-756-2702,"Brulerie Du Roy (La), 416 Bd Manseau, Joliette, QC J6E 3E1Jia Na Da ","Bai Pan , Can , Jia Ge , Duo Rou , Bai Hui , Fang Jian , Sha La ",https://www.google.com/maps/place/Br%C3%BBlerie+Du+Roy+%28La%29/data=!4m7!3m6!1s0x4cc8bdb93b6d07d1:0x74214527c729e666!8m2!3d46.025352!4d-73.439646!16s%2Fg%2F1xpwjc_6!19sChIJ0QdtO7m9yEwRZuYpxydFIXQ?authuser=0&hl=zh-TW&rclk=1
ChIJccmevzO9yEwRyQGbkNdgKg8,Mr. Puffs,,False,461,"Name: Cafe Van Houtte
link: https://www.google.com/maps/search/Caf%C3%A9+Van+Houtte/@46.024316,-73.44055399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 452 reviews

Name: Delices du Gourmet
link: https://www.google.com/maps/search/D%C3%A9lices+du+Gourmet/@46.043042799999995,-73.4501433?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews

Name: Creations et Saveurs
link: https://www.google.com/maps/search/Cr%C3%A9ations+et+Saveurs/@46.0249014,-73.4412385?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: Muffin Plus
link: https://www.google.com/maps/search/Muffin+Plus/@46.032759999999996,-73.42461399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",https://mrpuffs.com/store-locator/,Mr. Puffs (Ye Zhu ),https://www.google.com/maps/contrib/110339667163772903416,https://lh5.googleusercontent.com/p/AF1QipMf6AIMkUv8vDGtKr_qqt0ydVkN3vz9HrPPACk=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Tian Pin Dian , Dong Shuai Dian ",4.6,12:00-21:00,Open All Days,+1 450-398-6767,"Mr. Puffs, 67 Rue Papineau, Joliette, Quebec J6E 2K5Jia Na Da ","Fu Wu , Tian Tian Quan , Tian Dian , Tang , Zhu , Yuan Gong , Jia Ge , Rou Gui , Gao ",https://www.google.com/maps/place/Mr.+Puffs/data=!4m7!3m6!1s0x4cc8bd33bf9ec971:0xf2a60d7909b01c9!8m2!3d46.0356239!4d-73.4423026!16s%2Fg%2F11f77vhxkt!19sChIJccmevzO9yEwRyQGbkNdgKg8?authuser=0&hl=zh-TW&rclk=1
ChIJ4X7j-a69yEwRyqxcdgD0FDA,Tim Hortons,,False,458,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@46.037112199999996,-73.4434423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1782 reviews

Name: Allo mon Coco
link: https://www.google.com/maps/search/All%C3%B4+mon+Coco/@46.035568,-73.442161?authuser=0&hl=zh-TW&entry=ttu
Reviews: 810 reviews

Name: Eggsquis
link: https://www.google.com/maps/search/Eggsquis/@46.037665999999994,-73.441782?authuser=0&hl=zh-TW&entry=ttu
Reviews: 761 reviews

Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@46.0329826,-73.42197449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: Arome Tropical
link: https://www.google.com/maps/search/Ar%C3%B4me+Tropical/@46.021150999999996,-73.45140599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews",http://locations.timhortons.ca/qc/joliette/531-rue-st-charles-borromee-n,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/116186829840273222919,https://lh5.googleusercontent.com/p/AF1QipOVK7Tn1NgMVkJCmPHuIKjuechdQ9gJHuZMw_sp=w493-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.6,06:00-16:00,Open All Days,+1 450-752-0679,"Tim Hortons, 531 Rue Saint-Charles-Borromee N, Joliette, Quebec J6E 4S5Jia Na Da ","Fu Wu , Yuan Gong , Tian Tian Quan , Bing Qi Lin , Xiao Rong , Ji Rou , Qia Bu Qi Nuo , Pei Gen , Bei Guo , Can ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cc8bdaef9e37ee1:0x3014f400765cacca!8m2!3d46.0362251!4d-73.4426305!16s%2Fg%2F1tm0ss7k!19sChIJ4X7j-a69yEwRyqxcdgD0FDA?authuser=0&hl=zh-TW&rclk=1
ChIJASiD4Li9yEwRrUCompkmJJA,Cafe Van Houtte,,False,452,"Name: Brulerie Du Roy (La)
link: https://www.google.com/maps/search/Br%C3%BBlerie+Du+Roy+%28La%29/@46.025352,-73.439646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 492 reviews

Name: Honicha
link: https://www.google.com/maps/search/Honicha/@46.02502320000001,-73.4395222?authuser=0&hl=zh-TW&entry=ttu
Reviews: 147 reviews

Name: Cafe Depot Joliette
link: https://www.google.com/maps/search/Caf%C3%A9+D%C3%A9p%C3%B4t+Joliette/@46.032759999999996,-73.42461399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Marcel Cafe-Caviste
link: https://www.google.com/maps/search/Marcel+Caf%C3%A9-Caviste/@46.0248109,-73.4411276?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Transit Cafe
link: https://www.google.com/maps/search/Transit+Caf%C3%A9/@46.0218444,-73.42956629999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://cafevanhoutte.com/fr/trouver-un-cafe/%3Futm_source%3DG%26utm_medium%3DLPM%26utm_campaign%3DMTY,Cafe Van Houtte (Ye Zhu ),https://www.google.com/maps/contrib/110854991116327648299,https://lh5.googleusercontent.com/p/AF1QipP1tSrs0bWlvFFOssSR01rmjEccxen3izgJaiix=w408-h544-k-no,Ka Pei Dian ,"Ka Pei Dian , Zao Can Can Ting , Ka Pei Ting , Ka Pei Hong Bei Shang , Zheng Liu Ka Pei Ba , Gao Bing Dian , Can Ting , San Wen Zhi Dian , Cha Yi Guan ",4.3,07:00-20:00,Open All Days,+1 450-755-4140,"Cafe Van Houtte, 5 Pl. Bourget S, Joliette, QC J6E 5E3Jia Na Da ","Fu Wu , Jia Ge , Sha La , wifi, Na Tie , Song Bing , Can Jiu Guan , Yuan Gong , Ke Song ",https://www.google.com/maps/place/Caf%C3%A9+Van+Houtte/data=!4m7!3m6!1s0x4cc8bdb8e0832801:0x902426999aa840ad!8m2!3d46.024316!4d-73.440554!16s%2Fg%2F1tkb4qr1!19sChIJASiD4Li9yEwRrUCompkmJJA?authuser=0&hl=zh-TW&rclk=1
ChIJtc5ubMe9yEwRAKkSuv8ju3k,Dairy Queen (Treat),"Jing Dian Han Bao Yu Shu Tiao Su Shi Lian Suo Dian ,Zui Shou Huan Ying De Shi Shuang Qi Lin Yu Zhao Pai Nai Xi . ",False,394,"Name: Maitre Glacier Joliette
link: https://www.google.com/maps/search/Ma%C3%AEtre+Glacier+Joliette/@46.0388027,-73.4393348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Glace nature
link: https://www.google.com/maps/search/Glace+nature/@46.0233116,-73.4395831?authuser=0&hl=zh-TW&entry=ttu
Reviews: 53 reviews

Name: Patisserie petite Charlotte inc.
link: https://www.google.com/maps/search/P%C3%A2tisserie+petite+Charlotte+inc./@46.019779,-73.4426979?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews",https://www.dairyqueen.com/en-ca/locations/qc/joliette/704-notre-dame-st/2040/%3Futm_source%3Dorganic%26utm_campaign%3Dyext%252F%26y_source%3D1_ODk5NDQxMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,Dairy Queen (Treat) (Ye Zhu ),https://www.google.com/maps/contrib/101399152595467874577,https://lh5.googleusercontent.com/p/AF1QipOml5rNwib26_YxOCQUZUA09qBQWdnXNCOCnNwO=w408-h256-k-no,Xue Gao Dian ,Xue Gao Dian ,4.4,,Open All Days,+1 450-756-0669,"Dairy Queen (Treat), 704 Rue Notre Dame, Joliette, QC J6E 3J4Jia Na Da ",Yuan Gong ,https://www.google.com/maps/place/Dairy+Queen+%28Treat%29/data=!4m7!3m6!1s0x4cc8bdc76c6eceb5:0x79bb23ffba12a900!8m2!3d46.0216284!4d-73.4428176!16s%2Fg%2F1tkqzwkw!19sChIJtc5ubMe9yEwRAKkSuv8ju3k?authuser=0&hl=zh-TW&rclk=1
ChIJ09liHLu9yEwR6m2tmm6BC_I,McDonald's,"Lao Zi Hao De Jing Dian Lian Suo Su Shi Dian ,Yi Han Bao He Shu Tiao Wen Ming . ",False,369,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@46.037112199999996,-73.4434423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1782 reviews

Name: PFK
link: https://www.google.com/maps/search/PFK/@46.017182299999995,-73.4505708?authuser=0&hl=zh-TW&entry=ttu
Reviews: 836 reviews

Name: Faste Fou Restaurant Bar
link: https://www.google.com/maps/search/Faste+Fou+Restaurant+Bar/@46.024638,-73.4382881?authuser=0&hl=zh-TW&entry=ttu
Reviews: 432 reviews

Name: Subway
link: https://www.google.com/maps/search/Subway/@46.0327605,-73.4246143?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Valentine
link: https://www.google.com/maps/search/Valentine/@46.032759999999996,-73.42461399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews",https://www.mcdonalds.com/ca/en-ca/restaurant-locator.html%3Fy_source%3D1_MTQ1MjA1NDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,McDonald's (Ye Zhu ),https://www.google.com/maps/contrib/105697902011091245016,https://lh5.googleusercontent.com/p/AF1QipNXOkVr0QCPEFr01Q_9lUKqmUkCSOhZm2A_TSOn=w426-h240-k-no,Kuai Can Dian ,"Kuai Can Dian , Mei Shi Can Ting , Zao Can Can Ting , Ka Pei Ting , Han Bao Can Ting , Can Ting ",3.6,08:00-21:00,Open All Days,+1 450-755-5172,"McDonald's, 1505 Bd Firestone, Joliette, Quebec J6E 9E5Jia Na Da ",Xia Ding ,https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x4cc8bdbb1c62d9d3:0xf20b816e9aad6dea!8m2!3d46.036702!4d-73.4139745!16s%2Fg%2F11g_xmw4r!19sChIJ09liHLu9yEwR6m2tmm6BC_I?authuser=0&hl=zh-TW&rclk=1
ChIJfyHRkOW9yEwRQVhDnXWuXRg,Tim Hortons,,False,349,"Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@46.037112199999996,-73.4434423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1782 reviews

Name: Eggsquis
link: https://www.google.com/maps/search/Eggsquis/@46.037665999999994,-73.441782?authuser=0&hl=zh-TW&entry=ttu
Reviews: 761 reviews

Name: Brulerie Du Roy (La)
link: https://www.google.com/maps/search/Br%C3%BBlerie+Du+Roy+%28La%29/@46.025352,-73.439646?authuser=0&hl=zh-TW&entry=ttu
Reviews: 492 reviews

Name: McDonald's
link: https://www.google.com/maps/search/McDonald%27s/@46.0329826,-73.42197449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 271 reviews

Name: Arome Tropical
link: https://www.google.com/maps/search/Ar%C3%B4me+Tropical/@46.021150999999996,-73.45140599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews",http://locations.timhortons.ca/qc/joliette/900-rue-saint-pierre-sud,Tim Hortons (Ye Zhu ),https://www.google.com/maps/contrib/111742724663153358232,https://lh5.googleusercontent.com/p/AF1QipMxByBgdo0EP3Mpbai7qDNmqAPwPE_BvcheiYR8=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Mian Bao Xi Bing Dian , Zao Can Can Ting , Ka Pei Ting , Dong Shuai Dian , Kuai Can Dian ",3.3,06:00-22:00,Open All Days,+1 450-756-2862,"Tim Hortons, 900 Rue St Pierre S, Joliette, Quebec J6E 3Z1Jia Na Da ","Fu Wu , Tian Tian Quan , Yuan Gong , San Ming Zhi , Zao Can , Bei Guo ",https://www.google.com/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x4cc8bde590d1217f:0x185dae759d435841!8m2!3d46.0105566!4d-73.4301603!16s%2Fg%2F11b5wpbzp0!19sChIJfyHRkOW9yEwRQVhDnXWuXRg?authuser=0&hl=zh-TW&rclk=1
