place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJo2MxU1grGUcRiX5hVjTNAWI,Biedronka,,False,1216,"Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@52.130852999999995,21.239509899999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Stokrotka
link: https://www.google.com/maps/search/Stokrotka/@52.1371569,21.2335065?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: Sklep Jozefow
link: https://www.google.com/maps/search/Sklep+J%C3%B3zef%C3%B3w/@52.194382,20.696502?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Sklep spozywczy
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy/@52.133784000000006,21.228368?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: WiniarniaOnLine
link: https://www.google.com/maps/search/WiniarniaOnLine/@52.1373992,21.190455399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.biedronka.pl/pl%3Futm_source%3Dgmb,Biedronka (Ye Zhu ),https://www.google.com/maps/contrib/104087274642960849367,https://lh5.googleusercontent.com/p/AF1QipO3rA9jOMrq6SiCFcMTFM1CzDZArpxPdyJ0ufdD=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Pi Jiu Zhuan Mai Dian , Shu Dian , Ka Pei Dian , Hua Zhuang Pin Dian , Shu Guo Dian , Za Huo Dian , Jia Ju Yong Pin Dian , Jiu Pin Zhuan Mai Dian ",4,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 800 080 010,"Biedronka, Nadwislanska 21, 05-410 Jozefow, Bo Lan ",,https://www.google.com/maps/place/Biedronka/data=!4m7!3m6!1s0x47192b58533163a3:0x6201cd3456617e89!8m2!3d52.1463186!4d21.1900282!16s%2Fg%2F1q2wjj3qq!19sChIJo2MxU1grGUcRiX5hVjTNAWI?authuser=0&hl=zh-TW&rclk=1
ChIJz1-EdTYrGUcR0zMedpB8nTI,Lody z Michalina,,False,590,"Name: Restauracja Poezja
link: https://www.google.com/maps/search/Restauracja+Poezja/@52.1443656,21.2294424?authuser=0&hl=zh-TW&entry=ttu
Reviews: 237 reviews",https://www.facebook.com/Lody-z-Michalina-307662113027588/,Lody z Michalina (Ye Zhu ),https://www.google.com/maps/contrib/115339151688088576193,https://lh5.googleusercontent.com/p/AF1QipPdmtxQenUs8KFzaboaRmkMRW7075wlGPrtKcVh=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,4.7,,Open All Days,,"Lody z Michalina, Marszalka Jozefa Pilsudskiego 38a, 05-410 Jozefow, Bo Lan ",,https://www.google.com/maps/place/Lody+z+Michalina/data=!4m7!3m6!1s0x47192b3675845fcf:0x329d7c90761e33d3!8m2!3d52.1476344!4d21.2240333!16s%2Fg%2F11d_czyxpf!19sChIJz1-EdTYrGUcR0zMedpB8nTI?authuser=0&hl=zh-TW&rclk=1
ChIJPTYkeXkrGUcRs6ZvFf1WLjU,Lidl,,False,361,"Name: Netto
link: https://www.google.com/maps/search/Netto/@52.131086499999995,21.2236872?authuser=0&hl=zh-TW&entry=ttu
Reviews: 245 reviews

Name: Sklep spozywczy
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy/@52.1291302,21.2211541?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Sklep spozywczy ,,Dudus""
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy+%2C%2CDudu%C5%9B%22/@52.1382538,21.2404734?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Sklep Spolem
link: https://www.google.com/maps/search/Sklep+Spo%C5%82em/@52.137857600000004,21.2356548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Wierbilowicz Danuta. Sklep spozywczy
link: https://www.google.com/maps/search/Wierbi%C5%82owicz+Danuta.+Sklep+spo%C5%BCywczy/@52.13458190000001,21.229132?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.lidl.pl/,Lidl (Ye Zhu ),https://www.google.com/maps/contrib/116742752917818691916,https://lh5.googleusercontent.com/p/AF1QipPgOPhSUadRlnbyJ-Msj4W-O1GbN4eMCyFE2Zri=w408-h306-k-no,Ping Jia Chao Ji Shi Chang ,"Ping Jia Chao Ji Shi Chang , Chao Ji Shi Chang ",4.2,06:00-22:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+48 61 880 30 00,"Lidl, Kardynala Stefana Wyszynskiego 35, 05-420 Jozefow, Bo Lan ","Zi Zhu Jie Zhang , Guo ",https://www.google.com/maps/place/Lidl/data=!4m7!3m6!1s0x47192b797924363d:0x352e56fd156fa6b3!8m2!3d52.1305636!4d21.2243768!16s%2Fg%2F11pv2x5z_b!19sChIJPTYkeXkrGUcRs6ZvFf1WLjU?authuser=0&hl=zh-TW&rclk=1
ChIJd5vVWSArGUcRho-3ntZ5xtU,Zabka,,False,265,"Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@52.106823999999996,21.2344358?authuser=0&hl=zh-TW&entry=ttu
Reviews: 151 reviews

Name: Sklep spozywczy KAGAMA
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy+KAGAMA/@52.1338935,21.2291874?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Sklep spozywczy
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy/@52.133784000000006,21.228368?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",https://www.zabka.pl/,Zabka (Ye Zhu ),https://www.google.com/maps/contrib/105154562433753130697,https://lh5.googleusercontent.com/p/AF1QipOu0vlrOfCrs1A0RcpdZQWxlfhFhaDtiMmpppXK=w426-h240-k-no,Za Huo Dian ,"Za Huo Dian , Pi Jiu Zhuan Mai Dian , Ka Pei Ting , Su Di Fu Wu , Re Gou Can Ting , Song Bao Fu Wu , Jiu Pin Zhuan Mai Dian ",4.1,06:00-22:00,Open All Days,+48 61 856 37 00,"Zabka, Marszalka Jozefa Pilsudskiego 136A, 05-420 Jozefow, Bo Lan ",,https://www.google.com/maps/place/%C5%BBabka/data=!4m7!3m6!1s0x47192b2059d59b77:0xd5c679d69eb78f86!8m2!3d52.130853!4d21.2395099!16s%2Fg%2F11g81v1gl4!19sChIJd5vVWSArGUcRho-3ntZ5xtU?authuser=0&hl=zh-TW&rclk=1
ChIJ9ZC_-CQrGUcRq9ffIz25j5M,Poczuj Miete,,False,258,"Name: Nad jeziorem
link: https://www.google.com/maps/search/Nad+jeziorem/@52.136852499999996,21.1882937?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1120 reviews

Name: Restauracja Poezja
link: https://www.google.com/maps/search/Restauracja+Poezja/@52.1443656,21.2294424?authuser=0&hl=zh-TW&entry=ttu
Reviews: 237 reviews

Name: ""Zapiekany Swiat""
link: https://www.google.com/maps/search/%22Zapiekany+%C5%9Awiat%22/@52.137228300000004,21.2361461?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Unique Choice - Palarnia Kawy, Kawiarnia, Serwis I Sprzedaz Ekspresow
link: https://www.google.com/maps/search/Unique+Choice+-+Palarnia+Kawy%2C+Kawiarnia%2C+Serwis+I+Sprzeda%C5%BC+Ekspres%C3%B3w/@52.148055199999995,21.2237011?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: tucafe.pl
link: https://www.google.com/maps/search/tucafe.pl/@52.144739799999996,21.220441299999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews",https://poczuj-miete.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Poczuj Miete (Ye Zhu ),https://www.google.com/maps/contrib/113623270773509307219,https://lh5.googleusercontent.com/p/AF1QipPPJQX-ZrgMRoo6W3v65kJgIRbwRWCxFrjeP695=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,09:00-20:00,Open All Days,+48 517 610 618,"Poczuj Miete, Kardynala Stefana Wyszynskiego 2A, 05-420 Jozefow, Bo Lan ",,https://www.google.com/maps/place/Poczuj+Mi%C4%99t%C4%99/data=!4m7!3m6!1s0x47192b24f8bf90f5:0x938fb93d23dfd7ab!8m2!3d52.1368996!4d21.234834!16s%2Fg%2F11ddxdyk5s!19sChIJ9ZC_-CQrGUcRq9ffIz25j5M?authuser=0&hl=zh-TW&rclk=1
ChIJo_K-cYorGUcR8OEZ-HqsJ0Q,Zabka,,False,196,"Name: Restauracja Poezja
link: https://www.google.com/maps/search/Restauracja+Poezja/@52.1443656,21.2294424?authuser=0&hl=zh-TW&entry=ttu
Reviews: 237 reviews

Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@52.106823999999996,21.2344358?authuser=0&hl=zh-TW&entry=ttu
Reviews: 151 reviews

Name: Sklep spozywczy
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy/@52.133784000000006,21.228368?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Zabka Jana Pawla II 1 c
link: https://www.google.com/maps/search/%C5%BBabka+Jana+Paw%C5%82a+II+1+c/@52.416644,21.179959?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Sklep Spolem
link: https://www.google.com/maps/search/Sklep+Spo%C5%82em/@52.137857600000004,21.2356548?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",https://www.zabka.pl/,Zabka (Ye Zhu ),https://www.google.com/maps/contrib/109552269094802790613,https://lh5.googleusercontent.com/p/AF1QipMlmOK0pD3VNIBmOQftzh1sno2KuF0e_lpg5Npi=w408-h725-k-no,Za Huo Dian ,"Za Huo Dian , Pi Jiu Zhuan Mai Dian , Ka Pei Ting , Su Di Fu Wu , Re Gou Can Ting , Song Bao Fu Wu , Jiu Pin Zhuan Mai Dian ",3.8,06:00-22:00,Open All Days,+48 61 856 37 00,"Zabka, Sikorskiego 65C, 05-420 Jozefow, Bo Lan ",,https://www.google.com/maps/place/%C5%BBabka/data=!4m7!3m6!1s0x47192b8a71bef2a3:0x4427ac7af819e1f0!8m2!3d52.1437833!4d21.2297254!16s%2Fg%2F11llfx62gm!19sChIJo_K-cYorGUcR8OEZ-HqsJ0Q?authuser=0&hl=zh-TW&rclk=1
ChIJl28F2bwrGUcRSjFDAWhjExA,Polski Sklep Arhelan,,False,163,"Name: Polski Sklep Arhelan
link: https://www.google.com/maps/search/Polski+Sklep+Arhelan/@52.222074299999996,21.3522532?authuser=0&hl=zh-TW&entry=ttu
Reviews: 146 reviews

Name: Sklep spozywczy KAGAMA
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy+KAGAMA/@52.1338935,21.2291874?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Wierbilowicz Danuta. Sklep spozywczy
link: https://www.google.com/maps/search/Wierbi%C5%82owicz+Danuta.+Sklep+spo%C5%BCywczy/@52.13458190000001,21.229132?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Warzywniak
link: https://www.google.com/maps/search/Warzywniak/@52.145637199999996,21.220049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Polski Sklep ARHELAN
link: https://www.google.com/maps/search/Polski+Sklep+ARHELAN/@52.2009183,20.3858879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.arhelan.com.pl/,Polski Sklep Arhelan (Ye Zhu ),https://www.google.com/maps/contrib/102792032407397068866,https://lh5.googleusercontent.com/p/AF1QipM6Rt75KoZQhrAxW9gUy5awOMXrgr_ZLLpCRRED=w408-h305-k-no,Za Huo Dian ,"Za Huo Dian , Rou Fan , Shang Dian , Chao Ji Shi Chang ",3.7,06:00-22:00,Xing Qi Ri ,+48 691 526 219,"Polski Sklep Arhelan, Zawiszy Czarnego 1C, 05-410 Jozefow, Bo Lan ",,https://www.google.com/maps/place/Polski+Sklep+Arhelan/data=!4m7!3m6!1s0x47192bbcd9056f97:0x101363680143314a!8m2!3d52.1456234!4d21.2201987!16s%2Fg%2F11fqtbzylc!19sChIJl28F2bwrGUcRSjFDAWhjExA?authuser=0&hl=zh-TW&rclk=1
ChIJ2cGUqGArGUcR47Uq2gEMDYI,Stokrotka,,False,121,"Name: Zabka
link: https://www.google.com/maps/search/%C5%BBabka/@52.137035,21.232077?authuser=0&hl=zh-TW&entry=ttu
Reviews: 177 reviews

Name: DELIKATESY KULFON
link: https://www.google.com/maps/search/DELIKATESY+KULFON/@52.13551580000001,21.2218211?authuser=0&hl=zh-TW&entry=ttu
Reviews: 112 reviews

Name: Sklep spozywczy
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy/@52.133784000000006,21.228368?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews

Name: Sobkowicz Jan. Sklep spozywczy
link: https://www.google.com/maps/search/Sobkowicz+Jan.+Sklep+spo%C5%BCywczy/@52.1382062,21.2505481?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",https://stokrotka.pl/,Stokrotka (Ye Zhu ),https://www.google.com/maps/contrib/112070715507722708936,https://lh5.googleusercontent.com/p/AF1QipOsyvB4uHFHojSJscrH3ckXkPxK8oLm2s2GY4j4=w533-h240-k-no,Za Huo Dian ,"Za Huo Dian , Chao Ji Shi Chang ",4.2,06:00-22:00,Xing Qi Ri ,+48 81 888 92 00,"Stokrotka, Polna 1b, 05-420 Jozefow, Bo Lan ",,https://www.google.com/maps/place/Stokrotka/data=!4m7!3m6!1s0x47192b60a894c1d9:0x820d0c01da2ab5e3!8m2!3d52.1371569!4d21.2335065!16s%2Fg%2F11pcdrh9rd!19sChIJ2cGUqGArGUcR47Uq2gEMDYI?authuser=0&hl=zh-TW&rclk=1
ChIJVTJhL_orGUcRiCfpIrYuEQI,DELIKATESY KULFON,,False,112,"Name: Delikatesy Kulfon
link: https://www.google.com/maps/search/Delikatesy+Kulfon/@52.220828999999995,21.0983892?authuser=0&hl=zh-TW&entry=ttu
Reviews: 257 reviews

Name: Stokrotka
link: https://www.google.com/maps/search/Stokrotka/@52.1371569,21.2335065?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: Sklep spozywczy ,,Dudus""
link: https://www.google.com/maps/search/Sklep+spo%C5%BCywczy+%2C%2CDudu%C5%9B%22/@52.1382538,21.2404734?authuser=0&hl=zh-TW&entry=ttu
Reviews: 43 reviews

Name: Milenka
link: https://www.google.com/maps/search/Milenka/@52.1378841,21.223247699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews

Name: Lewiatan
link: https://www.google.com/maps/search/Lewiatan/@52.1468515,21.2218947?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews",https://www.kulfon.eu/,DELIKATESY KULFON (Ye Zhu ),https://www.google.com/maps/contrib/103312489750644390064,https://lh5.googleusercontent.com/p/AF1QipNwAXWmC6wZ6yAq6qXSclfxV49ueJ2vwXmcpfHw=w506-h240-k-no,Shang Dian ,Shang Dian ,4.7,06:00-22:00,Xing Qi Ri ,+48 22 610 10 33,"DELIKATESY KULFON, Polna 19B, 05-420 Jozefow, Bo Lan ",,https://www.google.com/maps/place/DELIKATESY+KULFON/data=!4m7!3m6!1s0x47192bfa2f613255:0x2112eb622e92788!8m2!3d52.1355158!4d21.2218211!16s%2Fg%2F11qnsz19t1!19sChIJVTJhL_orGUcRiCfpIrYuEQI?authuser=0&hl=zh-TW&rclk=1
ChIJlV0CPWkrGUcRVYP0RpdZOh0,Bazar na Polnej,,False,106,"Name: Bazar na Polnej
link: https://www.google.com/maps/search/Bazar+na+Polnej/@52.218452199999994,21.0138177?authuser=0&hl=zh-TW&entry=ttu
Reviews: 144 reviews

Name: Bistro de La Tour
link: https://www.google.com/maps/search/Bistro+de+La+Tour/@52.1357411,21.2377592?authuser=0&hl=zh-TW&entry=ttu
Reviews: 140 reviews

Name: Stokrotka
link: https://www.google.com/maps/search/Stokrotka/@52.1371569,21.2335065?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: BIO Jozefow, Produkty Rolnictwa Ekologicznego
link: https://www.google.com/maps/search/BIO+J%C3%B3zef%C3%B3w%2C+Produkty+Rolnictwa+Ekologicznego/@52.137940799999996,21.2374643?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews",https://www.facebook.com/bazarnapolnej,Bazar na Polnej (Ye Zhu ),https://www.google.com/maps/contrib/111878318796075239913,https://lh5.googleusercontent.com/p/AF1QipNbJE9xUuYmkWQBWVZVmi-pkw1JTO_bTDkQMAlP=w408-h306-k-no,You Ji Shi Pin Dian ,"You Ji Shi Pin Dian , Ka Pei Ting , You Ji Shang Dian , Chun Su Can Ting , Su Shi Can Ting ",4.9,08:00-19:00,"Xing Qi Yi , Xing Qi Er ",+48 730 035 034,"Bazar na Polnej, Polna 9A, 05-420 Jozefow, Bo Lan ",,https://www.google.com/maps/place/Bazar+na+Polnej/data=!4m7!3m6!1s0x47192b693d025d95:0x1d3a599746f48355!8m2!3d52.1366492!4d21.2303194!16s%2Fg%2F11hdpj344w!19sChIJlV0CPWkrGUcRVYP0RpdZOh0?authuser=0&hl=zh-TW&rclk=1
