place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_2PcIi4CBDQRQfXOKfEDi1Y,Bai Fen Bai Can Ting ,,False,552,"Name: Da Jia Le 
link: https://www.google.com/maps/search/%E5%A4%A7%E5%AE%B6%E6%A8%82/@22.2625513,114.24888349999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 557 reviews

Name: Li Xiang Dian Wang Wang Ka Pei Zuo 
link: https://www.google.com/maps/search/%E7%90%86%E6%83%B3%E5%BA%97%E6%97%BA%E6%97%BA%E5%92%96%E5%95%A1%E5%BA%A7/@22.2661066,114.2517199?authuser=0&hl=zh-TW&entry=ttu
Reviews: 215 reviews

Name: Bai Fen Bai Can Ting  (Qi De )
link: https://www.google.com/maps/search/%E7%99%BE%E4%BB%BD%E7%99%BE%E9%A4%90%E5%BB%B3+%28%E5%95%9F%E5%BE%B7%29/@22.3306036,114.20085859999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews",https://www.tasteofasia.com.hk/brand/cafe-100,Bai Fen Bai Can Ting  (Ye Zhu ),https://www.google.com/maps/contrib/106740490884367000601,https://lh5.googleusercontent.com/p/AF1QipMJ_zBAzWAJlbhVnCwbd5jjyanelYzqa4v1poCN=w408-h306-k-no,Can Ting ,Can Ting ,3.3,07:00-21:30,Open All Days,2762 8100,Xiao Xi Wan Xiao Xi Wan Dao 28Hao Bai Fen Bai Can Ting ,"Jia Qian , Zao Can , Ning Meng Cha , Ka Li , Zha , Cai , Mian , Zhuang Xiu , Leng Qi , Xia Wu Cha ",https://www.google.com/maps/place/%E7%99%BE%E4%BB%BD%E7%99%BE%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3404022e22dc63ff:0x568b03f129cef541!8m2!3d22.2668279!4d114.2502631!16s%2Fg%2F11b6vj9yyq!19sChIJ_2PcIi4CBDQRQfXOKfEDi1Y?authuser=0&hl=zh-TW&rclk=1
ChIJVaOq1AYBBDQRX6tzD0TIDNc,Bai Fen Bai Can Ting  (Huang Bu ),,False,274,"Name: California Pizza Kitchen
link: https://www.google.com/maps/search/California+Pizza+Kitchen/@22.3047193,114.1904824?authuser=0&hl=zh-TW&entry=ttu
Reviews: 557 reviews

Name: Cafe 100% (Ho Man Tin)
link: https://www.google.com/maps/search/Cafe+100%25+%28Ho+Man+Tin%29/@22.312303399999998,114.1784905?authuser=0&hl=zh-TW&entry=ttu
Reviews: 278 reviews

Name: Bai Fen Bai Can Ting  (Da Wo Kou )
link: https://www.google.com/maps/search/%E7%99%BE%E4%BB%BD%E7%99%BE%E9%A4%90%E5%BB%B3+%28%E5%A4%A7%E7%AA%A9%E5%8F%A3%29/@22.366611799999998,114.1229328?authuser=0&hl=zh-TW&entry=ttu
Reviews: 223 reviews

Name: Da Kuai Huo 
link: https://www.google.com/maps/search/%E5%A4%A7%E5%BF%AB%E6%B4%BB/@22.3051528,114.1866917?authuser=0&hl=zh-TW&entry=ttu
Reviews: 204 reviews

Name: Bai Fen Bai Can Ting  (Jian Sha Ju )
link: https://www.google.com/maps/search/%E7%99%BE%E4%BB%BD%E7%99%BE%E9%A4%90%E5%BB%B3+%28%E5%B0%96%E6%B2%99%E5%92%80%29/@22.295758,114.171731?authuser=0&hl=zh-TW&entry=ttu
Reviews: 66 reviews",http://www.tasteofasia.com.hk/,Bai Fen Bai Can Ting  (Huang Bu ) (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOHY1acWmCqD1fs6iMUHx6jtyKelMJw_YFTJa7h=w408-h306-k-no,Gang Shi Kuai Can Dian ,Gang Shi Kuai Can Dian ,3.5,07:00-21:00,Open All Days,2387 9100,"Shop G42, Bai Fen Bai Can Ting  (Huang Bu )3 Tak Hong St, Whampoa Garden","Jia Qian , Nai Cha , Cha Can Ting , Ka Li , Zao Can , Yu , Hai Nan Ji Fan , Shi Wu Zhi Su , Dan ",https://www.google.com/maps/place/%E7%99%BE%E4%BB%BD%E7%99%BE%E9%A4%90%E5%BB%B3+%28%E9%BB%83%E5%9F%94%29/data=!4m7!3m6!1s0x34040106d4aaa355:0xd70cc8440f73ab5f!8m2!3d22.305874!4d114.191155!16s%2Fg%2F11fhqr11ln!19sChIJVaOq1AYBBDQRX6tzD0TIDNc?authuser=0&hl=zh-TW&rclk=1
ChIJk-FX5fYBBDQRLTjNW1-XaJs,Tanuki Coffee,,False,136,"Name: On The Hill Coffee Bar
link: https://www.google.com/maps/search/On+The+Hill+Coffee+Bar/@22.312773999999997,114.186357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 134 reviews

Name: Rim Coffee
link: https://www.google.com/maps/search/Rim+Coffee/@22.311955899999997,114.1877776?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Shou Zuo Gong Fu Cha 
link: https://www.google.com/maps/search/%E6%89%8B%E4%BD%9C%E5%8A%9F%E5%A4%AB%E8%8C%B6/@22.312179699999998,114.1878332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Alfalfa Tea House
link: https://www.google.com/maps/search/Alfalfa+Tea+House/@22.3092835,114.1878637?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://instagram.com/tanukicoffeehk%3Figshid%3DYmMyMTA2M2Y%3D,Tanuki Coffee (Ye Zhu ),https://www.google.com/maps/contrib/105176937521708492867,https://lh5.googleusercontent.com/p/AF1QipP6105l5hhousgZExd3Y1P0RTsj_GFH2_jvvzqo=w408-h370-k-no,Ka Pei Dian ,Ka Pei Dian ,3.7,11:30-21:00,Open All Days,6808 3282,"Shop 18, Tanuki Coffee, Qi An  Ma Tau Wai Rd, To Kwa Wan","Yang Nai , Ming Tai Zi , Dai Zi , Mo Yu Zhi , Gai Fan , Ruan Ke Xie , Wen Quan Dan ",https://www.google.com/maps/place/Tanuki+Coffee/data=!4m7!3m6!1s0x340401f6e557e193:0x9b68975f5bcd382d!8m2!3d22.3120515!4d114.1882286!16s%2Fg%2F11rvbqsr_d!19sChIJk-FX5fYBBDQRLTjNW1-XaJs?authuser=0&hl=zh-TW&rclk=1
ChIJTX03FZEABDQRnnLjh6Fgc4o,Cafe 100,,False,87,"Name: GREEN
link: https://www.google.com/maps/search/GREEN/@22.3008588,114.1797158?authuser=0&hl=zh-TW&entry=ttu
Reviews: 488 reviews

Name: Cafe 103
link: https://www.google.com/maps/search/Caf%C3%A9+103/@22.3049692,114.16158209999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 301 reviews

Name: Hai Jing Ka Pei Lang 
link: https://www.google.com/maps/search/%E6%B5%B7%E6%99%AF%E5%92%96%E5%95%A1%E5%BB%8A/@22.2990838,114.179357?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews",https://sky100.com.hk/en/more/experience/cafe100-by-the-ritz-carlton/,Cafe 100 (Ye Zhu ),https://www.google.com/maps/contrib/111692021598646898445,https://lh5.googleusercontent.com/p/AF1QipOYHCxx8vVVg8wA7pxVvcerqPWsPTO7K8OryFYC=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Tian Pin Dian , Gao Bing Dian ",3.7,10:00-20:30,Open All Days,2263 2356,"Cafe 100, Huan Qiu Mao Yi Guang Chang (ICC) 1, 100/F Austin Rd W, Tsim Sha Tsui","Xia Wu Cha , Wo Fu , Sha Lu , Mu Si , Tian , Ji Lian , Men Piao , Ta , Mi ",https://www.google.com/maps/place/Caf%C3%A9+100/data=!4m7!3m6!1s0x3404009115377d4d:0x8a7360a187e3729e!8m2!3d22.3034468!4d114.160242!16s%2Fg%2F11g8dk47fh!19sChIJTX03FZEABDQRnnLjh6Fgc4o?authuser=0&hl=zh-TW&rclk=1
ChIJO6mvD1kBBDQRnUC2RLzQIhY,COFFEE OF THE DAY,,False,51,"Name: Cafe Sausalito
link: https://www.google.com/maps/search/Cafe+Sausalito/@22.3274466,114.16279349999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 589 reviews

Name: COFFEE matters
link: https://www.google.com/maps/search/COFFEE+matters/@22.3279312,114.1633552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 234 reviews

Name: DOZY
link: https://www.google.com/maps/search/DOZY/@22.327826599999998,114.1630916?authuser=0&hl=zh-TW&entry=ttu
Reviews: 168 reviews

Name: KOKONI
link: https://www.google.com/maps/search/KOKONI/@22.327672,114.163713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 100 reviews

Name: Flow
link: https://www.google.com/maps/search/Flow/@22.3273652,114.1628777?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews",https://www.instagram.com/coffeeoftheday.hk/,COFFEE OF THE DAY (Ye Zhu ),https://www.google.com/maps/contrib/100579547713531917909,https://lh5.googleusercontent.com/p/AF1QipMXptA_O1bTvULgYFLvl2RtcLElwmeXYHFB7YWy=w532-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,,Open All Days,,"COFFEE OF THE DAY, B, G/F, 172-174 Tai Nan St, Sham Shui Po",,https://www.google.com/maps/place/COFFEE+OF+THE+DAY/data=!4m7!3m6!1s0x340401590fafa93b:0x1622d0bc44b6409d!8m2!3d22.3267956!4d114.1639818!16s%2Fg%2F11jdm38vk9!19sChIJO6mvD1kBBDQRnUC2RLzQIhY?authuser=0&hl=zh-TW&rclk=1
ChIJl67dgH4ABDQR5a0jKfBjSHk,Qi Fa Cha Zhuang ,,False,45,"Name: Fu Jian Cha Xing 
link: https://www.google.com/maps/search/%E7%A6%8F%E5%BB%BA%E8%8C%B6%E8%A1%8C/@22.285494399999997,114.15200139999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 61 reviews

Name: Lin Qi Yuan Cha Xing  - Zhong Guo Ming Cha Zhuan Jia 
link: https://www.google.com/maps/search/%E6%9E%97%E5%A5%87%E8%8B%91%E8%8C%B6%E8%A1%8C+-+%E4%B8%AD%E5%9C%8B%E8%8C%97%E8%8C%B6%E5%B0%88%E5%AE%B6/@22.2861516,114.1509007?authuser=0&hl=zh-TW&entry=ttu
Reviews: 37 reviews

Name: Yan Qi Xiang Cha Zhuang 
link: https://www.google.com/maps/search/%E9%A1%8F%E5%A5%87%E9%A6%99%E8%8C%B6%E8%8E%8A/@22.284760499999997,114.1509502?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Qi Fa 
link: https://www.google.com/maps/search/%E5%95%93%E7%99%BC/@22.287622799999998,114.14622089999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Qi Fa Hai Wei You Xian Gong Si 
link: https://www.google.com/maps/search/%E5%95%9F%E7%99%BC%E6%B5%B7%E5%91%B3%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/@22.287512,114.14623399999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.kaifattea.com.hk/,Qi Fa Cha Zhuang  (Ye Zhu ),https://www.google.com/maps/contrib/103347538655449005317,https://lh5.googleusercontent.com/p/AF1QipNS6z4EXIKWNAyixZrRXNQ_cs1i6qyutl2NqzjY=w408-h272-k-no,Cha Xie Dian ,"Cha Xie Dian , Zhong Shi Cha Guan , Cha Pi Fa Shang ",4.2,09:00-18:30,Xing Qi Ri ,2543 9988,Shang Huan Yong Le Jie 132Hao Qi Fa Cha Zhuang ,"Ning Meng , Jia Ge , Pin Zhi ",https://www.google.com/maps/place/%E5%95%9F%E7%99%BC%E8%8C%B6%E8%8E%8A/data=!4m7!3m6!1s0x3404007e80ddae97:0x794863f02923ade5!8m2!3d22.2867318!4d114.1496433!16s%2Fg%2F1tfwb2mj!19sChIJl67dgH4ABDQR5a0jKfBjSHk?authuser=0&hl=zh-TW&rclk=1
ChIJnV_21OP_AzQR2hclHK9n4wc,Ka Pei Ya Wu Gai  Ah Jeng's Coffee Club,,False,20,,https://www.google.com/url?sa=t&source=web&rct=j,Ka Pei Ya Wu Gai  Ah Jeng's Coffee Club (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMeJxkE9PZI9tKkhuNhGK0LQT2dsdc4rlL_rnLc=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,08:00-18:00,Open All Days,,"1APu Di Xia , Ka Pei Ya Wu Gai  Ah Jeng's Coffee Club, Dong Xiang Da Sha  Second St, Sai Ying Pun",,https://www.google.com/maps/place/%E5%92%96%E5%95%A1%E5%91%80%E5%94%94%E8%A9%B2+Ah+Jeng%27s+Coffee+Club/data=!4m7!3m6!1s0x3403ffe3d4f65f9d:0x7e367af1c2517da!8m2!3d22.2862192!4d114.143529!16s%2Fg%2F11v60pt8_5!19sChIJnV_21OP_AzQR2hclHK9n4wc?authuser=0&hl=zh-TW&rclk=1
ChIJyXctgk8BBDQRM0gKW2d2RzU,Ka Pei Hui Guan You Xian Gong Si ,,False,,"Name: Coffee Art
link: https://www.google.com/maps/search/Coffee+Art/@22.3109587,114.2262485?authuser=0&hl=zh-TW&entry=ttu
Reviews: 340 reviews

Name: Xing Ba Ke 
link: https://www.google.com/maps/search/%E6%98%9F%E5%B7%B4%E5%85%8B/@22.3108932,114.2262793?authuser=0&hl=zh-TW&entry=ttu
Reviews: 127 reviews

Name: Coffee Public
link: https://www.google.com/maps/search/Coffee+Public/@22.3113644,114.226883?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: HAPicoffee
link: https://www.google.com/maps/search/HAPicoffee/@22.3091801,114.2255362?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Ka Pei Zhuang You Xian Gong Si 
link: https://www.google.com/maps/search/%E5%92%96%E5%95%A1%E8%8E%8A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/@22.316903,114.21520199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.coffeeassembly.com/,Ka Pei Hui Guan You Xian Gong Si  (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,2116 0180,Jiu Long Guan Tang Cheng Ye Jie 12-15Hao Cheng Yun Gong Ye Da Sha Ka Pei Hui Guan You Xian Gong Si ,,https://www.google.com/maps/place/%E5%92%96%E5%95%A1%E6%9C%83%E9%A4%A8%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/data=!4m7!3m6!1s0x3404014f822d77c9:0x354776675b0a4833!8m2!3d22.3118841!4d114.2244217!16s%2Fg%2F12m94gk7y!19sChIJyXctgk8BBDQRM0gKW2d2RzU?authuser=0&hl=zh-TW&rclk=1
ChIJe6E05sYABDQRwU_Sccx7nZA,Coffee Break,,False,331,"Name: Huang Guan Bing Shi 
link: https://www.google.com/maps/search/%E7%9A%87%E5%86%A0%E5%86%B0%E5%AE%A4/@22.3166032,114.1709345?authuser=0&hl=zh-TW&entry=ttu
Reviews: 795 reviews

Name: Zi Pei 
link: https://www.google.com/maps/search/%E5%AD%96%E5%95%A1/@22.315190899999997,114.16998230000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 307 reviews

Name: Christy Cafe
link: https://www.google.com/maps/search/Christy+Cafe/@22.321432299999998,114.1694311?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews",,Coffee Break (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM5Dz-ZQ8McakgRW4md6_-DJ4Tj65QjgCQKl2Bi=w426-h240-k-no,Ka Pei Ting ,Ka Pei Ting ,4,12:00-22:00,Open All Days,3709 2215,"Coffee Break, 2 Tung Choi Street (Ladies' Market), Mong Kok","Yi Fen , Sha Lu , Shu Tiao , Tian , Shu Hu Li , Yi Da Li Fan , Kao , Kou Gan , Zhu Cai , Xi Can ",https://www.google.com/maps/place/Coffee+Break/data=!4m7!3m6!1s0x340400c6e634a17b:0x909d7bcc71d24fc1!8m2!3d22.3158613!4d114.1713605!16s%2Fg%2F11c1n2vcq4!19sChIJe6E05sYABDQRwU_Sccx7nZA?authuser=0&hl=zh-TW&rclk=1
ChIJFzpGJscABDQRW7s9y0eZcr4,Zi Pei ,,False,307,"Name: Huang Guan Bing Shi 
link: https://www.google.com/maps/search/%E7%9A%87%E5%86%A0%E5%86%B0%E5%AE%A4/@22.3166032,114.1709345?authuser=0&hl=zh-TW&entry=ttu
Reviews: 795 reviews

Name: Knockbox Coffee Company
link: https://www.google.com/maps/search/Knockbox+Coffee+Company/@22.3176204,114.17255829999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 713 reviews

Name: Coffee Break
link: https://www.google.com/maps/search/Coffee+Break/@22.315861299999998,114.17136049999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 331 reviews",,Zi Pei  (Ye Zhu ),https://www.google.com/maps/contrib/102254749240956456476,https://lh5.googleusercontent.com/p/AF1QipOHc1l-zSkg-eUy9on0Zjs51NvQkKbO1ms6GoKG=w408-h408-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting , Tian Pin Dian , Can Ting ",3.7,12:00-23:00,Open All Days,9768 2318,"4Lou , Zi Pei Gao Shi Da Lou 577Hao  Nathan Rd, Mong Kok","Yi Fen , Zhuo You , Long Xia , Ruan Ke Xie , Hei Song Lu , Yan San Wen Yu , Ming Tai Zi ",https://www.google.com/maps/place/%E5%AD%96%E5%95%A1/data=!4m7!3m6!1s0x340400c726463a17:0xbe729947cb3dbb5b!8m2!3d22.3151909!4d114.1699823!16s%2Fg%2F1tg4h_26!19sChIJFzpGJscABDQRW7s9y0eZcr4?authuser=0&hl=zh-TW&rclk=1
