place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ5wWLqL1NHzkR5Qw1hYUEUKg,Gourmet Bakers & Sweets (Qatal Garha),,False,312,"Name: Gourmet Bakers
link: https://www.google.com/maps/search/Gourmet+Bakers/@32.0716854,73.6963226?authuser=0&hl=nl&entry=ttu
Reviews: 321 reviews

Name: Gourmet Bakers & Sweets (Kassoke Bypass)
link: https://www.google.com/maps/search/Gourmet+Bakers+%26+Sweets+%28Kassoke+Bypass%29/@32.054310099999995,73.694223?authuser=0&hl=nl&entry=ttu
Reviews: 75 reviews

Name: Hakam Sweets & Bakers
link: https://www.google.com/maps/search/Hakam+Sweets+%26+Bakers/@32.0690653,73.6812942?authuser=0&hl=nl&entry=ttu
Reviews: 52 reviews

Name: Gourmet Bakers & Sweets (Vanike Road)
link: https://www.google.com/maps/search/Gourmet+Bakers+%26+Sweets+%28Vanike+Road%29/@32.0762327,73.685893?authuser=0&hl=nl&entry=ttu
Reviews: 12 reviews

Name: Lalo Sweets & Bakers
link: https://www.google.com/maps/search/Lalo+Sweets+%26+Bakers/@32.070574799999996,73.68528189999999?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",https://www.gourmetpakistan.com/,Gourmet Bakers & Sweets (Qatal Garha) (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipOusIFe-_GlJId2J8glAIV871B1fEVM-5yTSWUt=w426-h240-k-no,Bakkerij,"Bakkerij, IJssalon",3.8,06:00-23:59,Open All Days,,"3M9H+CQG Gourmet Bakers & Sweets (Qatal Garha), Jalalpur Bhattian Rd, Hafizabad, Punjab, Pakistan","ervaring, prijs, bar, service, producten, snacks, kwaliteit",https://www.google.com/maps/place/Gourmet+Bakers+%26+Sweets+%28Qatal+Garha%29/data=!4m7!3m6!1s0x391f4dbda88b05e7:0xa850048585350ce5!8m2!3d32.0685675!4d73.6794555!16s%2Fg%2F11bwqbjjrz!19sChIJ5wWLqL1NHzkR5Qw1hYUEUKg?authuser=0&hl=nl&rclk=1
ChIJ1UVlyUtNHzkRY9jYfM3qw7E,J K Burger Shop,,False,24,"Name: Sarak k Kinarey
link: https://www.google.com/maps/search/Sarak+k+Kinarey/@32.0749468,73.6874024?authuser=0&hl=nl&entry=ttu
Reviews: 98 reviews

Name: Jhara Tea Stall
link: https://www.google.com/maps/search/Jhara+Tea+Stall/@32.067161999999996,73.67260720000002?authuser=0&hl=nl&entry=ttu
Reviews: 68 reviews

Name: Ghufaar Jaleebi Shop
link: https://www.google.com/maps/search/Ghufaar+Jaleebi+Shop/@32.0674239,73.663485?authuser=0&hl=nl&entry=ttu
Reviews: 31 reviews

Name: chy'y bytthkh
link: https://www.google.com/maps/search/%DA%86%D8%A7%D8%A6%DB%92+%D8%A8%DB%8C%D9%B9%DA%BE%DA%A9/@32.060505400000004,73.7036068?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Juice valley
link: https://www.google.com/maps/search/Juice+valley/@32.0716542,73.694025?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",https://youtu.be/wgAsIgBxi3A,J K Burger Shop (eigenaar),https://www.google.com/maps/contrib/118241364297099877438,https://lh5.googleusercontent.com/p/AF1QipM5tHTBmqaBuruSWP1_tC4qww9vqVV23gtZVOGc=w425-h240-k-no,Cafe,Cafe,4.9,24 uur geopend,Open All Days,+92 349 8005913,"J K Burger Shop, Hafizabad-Kolo Tarar Rd, Dhengranwali, Hafizabad, Punjab, Pakistan",,https://www.google.com/maps/place/J+K+Burger+Shop/data=!4m7!3m6!1s0x391f4d4bc96545d5:0xb1c3eacd7cd8d863!8m2!3d32.0850058!4d73.6580229!16s%2Fg%2F11fr208gyj!19sChIJ1UVlyUtNHzkRY9jYfM3qw7E?authuser=0&hl=nl&rclk=1
ChIJF_Ns5gmvGDkR_6HvqaLf7Qg,Gourmet Bakers And Sweets,,False,22,"Name: Gourmet Bakers & Sweets (Kassoke Bypass)
link: https://www.google.com/maps/search/Gourmet+Bakers+%26+Sweets+%28Kassoke+Bypass%29/@32.054310099999995,73.694223?authuser=0&hl=nl&entry=ttu
Reviews: 75 reviews

Name: Gourmet Bakers
link: https://www.google.com/maps/search/Gourmet+Bakers/@32.0734329,73.6865692?authuser=0&hl=nl&entry=ttu
Reviews: 54 reviews

Name: Mughal Bakers
link: https://www.google.com/maps/search/Mughal+Bakers/@31.866113000000002,73.5034998?authuser=0&hl=nl&entry=ttu
Reviews: 32 reviews

Name: Gourmet Bakers & Sweets (Vanike Road)
link: https://www.google.com/maps/search/Gourmet+Bakers+%26+Sweets+%28Vanike+Road%29/@32.0762327,73.685893?authuser=0&hl=nl&entry=ttu
Reviews: 12 reviews

Name: Gourmet Snack Bar
link: https://www.google.com/maps/search/Gourmet+Snack+Bar/@31.9087192,73.56955669999999?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",http://www.gourmetpakistan.com/,Gourmet Bakers And Sweets (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipPxUX31ETjKNiA8Prm6jsKUll3qphJ7KItwflym=w426-h240-k-no,Bakkerij,Bakkerij,4.6,24 uur geopend,Open All Days,,"Gourmet Bakers And Sweets, rest area, Lahore-Islamabad Motorway, Sukheke, Hafizabad, Punjab, Pakistan","thee, prijs",https://www.google.com/maps/place/Gourmet+Bakers+And+Sweets/data=!4m7!3m6!1s0x3918af09e66cf317:0x8eddfa2a9efa1ff!8m2!3d31.906696!4d73.5675487!16s%2Fg%2F11gvfpsnmp!19sChIJF_Ns5gmvGDkR_6HvqaLf7Qg?authuser=0&hl=nl&rclk=1
ChIJM8YNiXBNHzkRrzXmOKTB6Ok,Tea Galaxy,,False,10,"Name: chy' bytthkh
link: https://www.google.com/maps/search/%DA%86%D8%A7%DB%93+%D8%A8%DB%8C%D9%B9%DA%BE%DA%A9/@32.0603516,73.7037021?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Garden Cafe
link: https://www.google.com/maps/search/Garden+Cafe/@32.0602801,73.7035691?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: chy'y bytthkh
link: https://www.google.com/maps/search/%DA%86%D8%A7%D8%A6%DB%92+%D8%A8%DB%8C%D9%B9%DA%BE%DA%A9/@32.060505400000004,73.7036068?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews

Name: Yasmeen tea point
link: https://www.google.com/maps/search/Yasmeen+tea+point/@32.0723718,73.7014097?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/profile.php%3Fid%3D100086169799223,Tea Galaxy (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipMFItMSqoMejfQPqs_gy3cfinaW7e7HDPSku5o7=w408-h544-k-no,Cafe,"Cafe, Koffiebar",4.6,,Open All Days,+92 325 2604242,"Tea Galaxy, Yumei towers sunny garden Shop No 23, Hafizabad, 52110, Pakistan",,https://www.google.com/maps/place/Tea+Galaxy/data=!4m7!3m6!1s0x391f4d70890dc633:0xe9e8c1a438e635af!8m2!3d32.0603561!4d73.7046684!16s%2Fg%2F11s9xsgpsb!19sChIJM8YNiXBNHzkRrzXmOKTB6Ok?authuser=0&hl=nl&rclk=1
ChIJcxZ4jitNHzkRBhZOOy4tOv8,RJ Home Bakers,,False,2,"Name: Gourmet Bakers
link: https://www.google.com/maps/search/Gourmet+Bakers/@32.0716854,73.6963226?authuser=0&hl=nl&entry=ttu
Reviews: 321 reviews

Name: Gourmet Bakers & Sweets (Qatal Garha)
link: https://www.google.com/maps/search/Gourmet+Bakers+%26+Sweets+%28Qatal+Garha%29/@32.0685675,73.6794555?authuser=0&hl=nl&entry=ttu
Reviews: 312 reviews

Name: Hakam Sweets & Bakers
link: https://www.google.com/maps/search/Hakam+Sweets+%26+Bakers/@32.0690653,73.6812942?authuser=0&hl=nl&entry=ttu
Reviews: 52 reviews

Name: Al Saeed Bakers & Super Mart
link: https://www.google.com/maps/search/Al+Saeed+Bakers+%26+Super+Mart/@32.0737181,73.7126868?authuser=0&hl=nl&entry=ttu
Reviews: 26 reviews

Name: Aero Bakers and General Store
link: https://www.google.com/maps/search/Aero+Bakers+and+General+Store/@32.0705086,73.6929842?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",https://instagram.com/rj.homebakers,RJ Home Bakers (eigenaar),https://www.google.com/maps/contrib/110868452133559605315,https://lh5.googleusercontent.com/p/AF1QipO4wYw__AX4ud5j9ZkIiBLXPg4lLxbO-52D7Y2s=w408-h269-k-no,Bakkerij,Bakkerij,4,24 uur geopend,Open All Days,+92 306 6476464,"RJ Home Bakers, M.Ali Block, Sunny Garden, Hafizabad, Punjab 52110, Pakistan",,https://www.google.com/maps/place/RJ+Home+Bakers/data=!4m7!3m6!1s0x391f4d2b8e781673:0xff3a2d2e3b4e1606!8m2!3d32.0604214!4d73.7035395!16s%2Fg%2F11pyydjdm9!19sChIJcxZ4jitNHzkRBhZOOy4tOv8?authuser=0&hl=nl&rclk=1
ChIJ4cLyhAKsGDkRFbnbqBYD5Ck,C-Mart,,False,753,"Name: Ideal Mart
link: https://www.google.com/maps/search/Ideal+Mart/@31.9091214,73.568625?authuser=0&hl=nl&entry=ttu
Reviews: 15 reviews

Name: CALTEX Petrol Pump
link: https://www.google.com/maps/search/CALTEX+Petrol+Pump/@31.994871,73.5902449?authuser=0&hl=nl&entry=ttu
Reviews: 12 reviews

Name: Caltex
link: https://www.google.com/maps/search/Caltex/@32.0722975,73.7016731?authuser=0&hl=nl&entry=ttu
Reviews: 4 reviews

Name: Snacks
link: https://www.google.com/maps/search/Snacks/@31.9089563,73.5684841?authuser=0&hl=nl&entry=ttu
Reviews: 0 reviews",,C-Mart (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipMwi0v_4ThE141LOOq5izy6sK36i856di81vpSQ=w408-h306-k-no,Buurtsuper,Buurtsuper,3.9,24 uur geopend,Open All Days,,"WH59+3G7 C-Mart, Hafizabad, Punjab, Pakistan","thee, prijs, snelweg, tankstation, verzorgingsplaats, reis, kwaliteit, producten, snacks, kardemom",https://www.google.com/maps/place/C-Mart/data=!4m7!3m6!1s0x3918ac0284f2c2e1:0x29e40316a8dbb915!8m2!3d31.9076739!4d73.5688095!16s%2Fg%2F11cjj830hd!19sChIJ4cLyhAKsGDkRFbnbqBYD5Ck?authuser=0&hl=nl&rclk=1
ChIJy8P_wrNNHzkRTVXwAzrBbk4,Gourmet Bakers,,False,321,"Name: Gourmet Bakers & Sweets (Qatal Garha)
link: https://www.google.com/maps/search/Gourmet+Bakers+%26+Sweets+%28Qatal+Garha%29/@32.0685675,73.6794555?authuser=0&hl=nl&entry=ttu
Reviews: 312 reviews

Name: Gourmet Bakers & Sweets (Kassoke Bypass)
link: https://www.google.com/maps/search/Gourmet+Bakers+%26+Sweets+%28Kassoke+Bypass%29/@32.054310099999995,73.694223?authuser=0&hl=nl&entry=ttu
Reviews: 75 reviews

Name: Nizam sweets house
link: https://www.google.com/maps/search/Nizam+sweets+house/@32.0711481,73.6904864?authuser=0&hl=nl&entry=ttu
Reviews: 24 reviews

Name: Gourmet Bakers & Sweets (Vanike Road)
link: https://www.google.com/maps/search/Gourmet+Bakers+%26+Sweets+%28Vanike+Road%29/@32.0762327,73.685893?authuser=0&hl=nl&entry=ttu
Reviews: 12 reviews

Name: Lalo Sweets & Bakers
link: https://www.google.com/maps/search/Lalo+Sweets+%26+Bakers/@32.070574799999996,73.68528189999999?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",,Gourmet Bakers (eigenaar),https://www.google.com/maps/contrib/107805098864080358490,https://lh5.googleusercontent.com/p/AF1QipP3706t60kDHu2GoxpvLWF4FUFfVVE3vgPhc-Ea=w408-h306-k-no,Bakkerij,Bakkerij,4,06:00-00:30,Open All Days,,"Gourmet Bakers, Bilal, Jan, Hafizabad, Punjab 0987654, Pakistan","kwaliteit, producten, dessert, service",https://www.google.com/maps/place/Gourmet+Bakers/data=!4m7!3m6!1s0x391f4db3c2ffc3cb:0x4e6ec13a03f0554d!8m2!3d32.0716854!4d73.6963226!16s%2Fg%2F11cjjznj03!19sChIJy8P_wrNNHzkRTVXwAzrBbk4?authuser=0&hl=nl&rclk=1
ChIJjyuLfYWvGDkR7giUeodv1aA,Gourmet Bakers & Sweets,,False,294,"Name: Gourmet Bakers and Sweets
link: https://www.google.com/maps/search/Gourmet+Bakers+and+Sweets/@31.449131299999994,73.7124951?authuser=0&hl=nl&entry=ttu
Reviews: 89 reviews

Name: Pak Sweets
link: https://www.google.com/maps/search/Pak+Sweets/@31.8335537,73.61969359999999?authuser=0&hl=nl&entry=ttu
Reviews: 24 reviews

Name: nwr Hlwy'y swytts Noor Sweets
link: https://www.google.com/maps/search/%D9%86%D9%88%D8%B1+%D8%AD%D9%84%D9%88%D8%A7%D8%A6%DB%8C+%D8%B3%D9%88%DB%8C%D9%B9%D8%B3+Noor+Sweets/@31.833889699999997,73.62110100000001?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Gourmet Beverages
link: https://www.google.com/maps/search/Gourmet+Beverages/@31.7104845,73.3727552?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews

Name: Pak Deewan Bakers
link: https://www.google.com/maps/search/Pak+Deewan+Bakers/@31.8342111,73.622243?authuser=0&hl=nl&entry=ttu
Reviews: 1 reviews",,Gourmet Bakers & Sweets (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipO5UHni3WQeE6_ye_rj8vjZpKCpMMjr1gkx9vSa=w493-h240-k-no,Bakkerij,"Bakkerij, IJssalon",3.9,09:00-00:00,Open All Days,+92 305 6297092,"RJMC+2C4 Gourmet Bakers & Sweets, Lahore Rd, Khanqah Dogran, Nankana Sahib, Punjab, Pakistan","service, kwaliteit, producten, prijs",https://www.google.com/maps/place/Gourmet+Bakers+%26+Sweets/data=!4m7!3m6!1s0x3918af857d8b2b8f:0xa0d56f877a9408ee!8m2!3d31.8325162!4d73.6210719!16s%2Fg%2F11dx9fy1ky!19sChIJjyuLfYWvGDkR7giUeodv1aA?authuser=0&hl=nl&rclk=1
ChIJeVcy6LBNHzkRAeeomhD8oUA,Hanif Juice Corner,,False,122,"Name: Fri-Chicks
link: https://www.google.com/maps/search/Fri-Chicks/@32.0755623,73.6849402?authuser=0&hl=nl&entry=ttu
Reviews: 508 reviews

Name: Big Bite Hafizabad Fast Food
link: https://www.google.com/maps/search/Big+Bite+Hafizabad+Fast+Food/@32.0717143,73.6913024?authuser=0&hl=nl&entry=ttu
Reviews: 261 reviews

Name: HFC Fast Food
link: https://www.google.com/maps/search/HFC+Fast+Food/@32.0734238,73.7124111?authuser=0&hl=nl&entry=ttu
Reviews: 212 reviews

Name: Halal Fried Chicks
link: https://www.google.com/maps/search/Halal+Fried+Chicks/@32.073847400000005,73.68588079999999?authuser=0&hl=nl&entry=ttu
Reviews: 199 reviews

Name: Fancy Food Corner
link: https://www.google.com/maps/search/Fancy+Food+Corner/@32.0718232,73.6840879?authuser=0&hl=nl&entry=ttu
Reviews: 91 reviews",,Hanif Juice Corner (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipMcgYoHeM58AvldTSoGoShbJUHCjaR77RnMFWVM=w408-h544-k-no,Snackbar,Snackbar,3.7,10:30-03:00,Open All Days,+92 300 6524806,"3MCR+F8H Hanif Juice Corner, Hafizabad, Punjab, Pakistan",shoarma,https://www.google.com/maps/place/Hanif+Juice+Corner/data=!4m7!3m6!1s0x391f4db0e8325779:0x40a1fc109aa8e701!8m2!3d32.0711976!4d73.6908445!16s%2Fg%2F11dxqjxzn1!19sChIJeVcy6LBNHzkRAeeomhD8oUA?authuser=0&hl=nl&rclk=1
ChIJyyIP_gKsGDkRL1C-S01OJlQ,Chicken Broast Sukheki South,,False,122,"Name: KFC
link: https://www.google.com/maps/search/KFC/@31.9063791,73.5682428?authuser=0&hl=nl&entry=ttu
Reviews: 3091 reviews

Name: Fri-Chicks
link: https://www.google.com/maps/search/Fri-Chicks/@31.9100435,73.5698152?authuser=0&hl=nl&entry=ttu
Reviews: 22 reviews

Name: Spice Village
link: https://www.google.com/maps/search/Spice+Village/@31.906616900000003,73.5676783?authuser=0&hl=nl&entry=ttu
Reviews: 7 reviews

Name: Khaber Pass Shanwari
link: https://www.google.com/maps/search/Khaber+Pass+Shanwari/@31.909945399999998,73.5699571?authuser=0&hl=nl&entry=ttu
Reviews: 3 reviews

Name: Gourmet Snack Bar
link: https://www.google.com/maps/search/Gourmet+Snack+Bar/@31.9087192,73.56955669999999?authuser=0&hl=nl&entry=ttu
Reviews: 2 reviews",,Chicken Broast Sukheki South (eigenaar),,https://lh5.googleusercontent.com/p/AF1QipNTPtqJ-nkhBshNAaUridpGGTg06zwWxe3_Tw9s=w426-h240-k-no,Restaurant,Restaurant,4,24 uur geopend,Open All Days,+92 311 1444433,"WH59+WC5 Chicken Broast Sukheki South, AH1, Hafizabad, Punjab, Pakistan","burger, gefrituurde kip, krediet, waarde, kwantiteit",https://www.google.com/maps/place/Chicken+Broast+Sukheki+South/data=!4m7!3m6!1s0x3918ac02fe0f22cb:0x54264e4d4bbe502f!8m2!3d31.9097731!4d73.5685985!16s%2Fg%2F11g6mwxc_y!19sChIJyyIP_gKsGDkRL1C-S01OJlQ?authuser=0&hl=nl&rclk=1
