place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJQ44ZJuju1DsRomz7RU90IVU,PANDE INTERNET CAFE,,False,16,"Name: Friends Net Cafe & COMMON SERVICE CENTER
link: https://www.google.com/maps/search/Friends+Net+Cafe+%26+COMMON+SERVICE+CENTER/@21.2309804,78.91927539999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: VGA Internet Cafe
link: https://www.google.com/maps/search/VGA+Internet+Cafe/@21.235217799999997,78.9103004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://business.google.com/website/narendra-internet-cafe,PANDE INTERNET CAFE (Ye Zhu ),https://www.google.com/maps/contrib/100001135248930232176,https://lh5.googleusercontent.com/p/AF1QipPFKRCdWkoVcz2QfGvkh53Fhjhf4gmI6C2QLde7=w408-h306-k-no,Wang Ba ,Wang Ba ,4.2,10:00-21:00,Open All Days,+91 95279 35346,"PANDE INTERNET CAFE, Near shanti kunj provision, Katol road, near blue magic shop, Kalameshwar, Maharashtra 441501Yin Du ",,https://www.google.com/maps/place/PANDE+INTERNET+CAFE/data=!4m7!3m6!1s0x3bd4eee826198e43:0x5521744f45fb6ca2!8m2!3d21.2350267!4d78.9112999!16s%2Fg%2F11c1r2074h!19sChIJQ44ZJuju1DsRomz7RU90IVU?authuser=0&hl=zh-TW&rclk=1
ChIJm8DiVsju1DsRVcvGuPvKBuo,Gunjan Net Cafe,,False,14,"Name: Friends Net Cafe & COMMON SERVICE CENTER
link: https://www.google.com/maps/search/Friends+Net+Cafe+%26+COMMON+SERVICE+CENTER/@21.2309804,78.91927539999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Nilesh Net Cafe
link: https://www.google.com/maps/search/Nilesh+Net+Cafe/@21.1184698,79.06484689999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: VGA Internet Cafe
link: https://www.google.com/maps/search/VGA+Internet+Cafe/@21.235217799999997,78.9103004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://business.google.com/website/gunjan-net-cafe,Gunjan Net Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOm4oz3WjiOwKHj0mVX5ut4dMtQk2kIcsCc_Qqn=w426-h240-k-no,Wang Ba ,Wang Ba ,3.4,09:30-21:30,Open All Days,+91 91752 30526,"6WJ9+8WJ Gunjan Net Cafe, Nagar Parishad building, Bazar chowk, Kalmeshwar, Nagpur, Maharashtra 441501Yin Du ",,https://www.google.com/maps/place/Gunjan+Net+Cafe/data=!4m7!3m6!1s0x3bd4eec856e2c09b:0xea06cafbb8c6cb55!8m2!3d21.2308268!4d78.9197717!16s%2Fg%2F11c6mk353k!19sChIJm8DiVsju1DsRVcvGuPvKBuo?authuser=0&hl=zh-TW&rclk=1
ChIJFdaSElbv1DsRuPsZtlP9NB0,Amrut Chaha Kalmeshwar,,False,7,"Name: Nukkad Cafe
link: https://www.google.com/maps/search/Nukkad+Cafe/@21.233356099999998,78.9157451?authuser=0&hl=zh-TW&entry=ttu
Reviews: 23 reviews

Name: Shree Sai Amruttulya & WOK ON FIRE Chinese food
link: https://www.google.com/maps/search/Shree+Sai+Amruttulya+%26+WOK+ON+FIRE+Chinese+food/@21.2363769,78.907007?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Anusuya restaurant
link: https://www.google.com/maps/search/Anusuya+restaurant/@21.236930599999997,78.9043655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Ashwini AmrutTulya
link: https://www.google.com/maps/search/Ashwini+AmrutTulya/@21.2321725,78.9182446?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.amrutchaha.com/,Amrut Chaha Kalmeshwar (Ye Zhu ),https://www.google.com/maps/contrib/106451885141594570817,https://lh5.googleusercontent.com/p/AF1QipMDioIKoyurBHBgoS33F-4n0ocu3s7kQ4RDfNqn=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,06:30-21:00,Open All Days,,"Amrut Chaha Kalmeshwar, Ward No.1, Plot No.2, Besides Potdar Nursing Home, Kalameshwar, Maharashtra 441501Yin Du ",,https://www.google.com/maps/place/Amrut+Chaha+Kalmeshwar/data=!4m7!3m6!1s0x3bd4ef561292d615:0x1d34fd53b619fbb8!8m2!3d21.2351022!4d78.910763!16s%2Fg%2F11p14cwl19!19sChIJFdaSElbv1DsRuPsZtlP9NB0?authuser=0&hl=zh-TW&rclk=1
ChIJBxw3RsHu1DsRpfpFYLvgiNw,Piyush Ice Cream & Daily Needs,,False,7,"Name: Wanjari Mata Ice Cream Parlor
link: https://www.google.com/maps/search/Wanjari+Mata+Ice+Cream+Parlor/@21.2335706,78.916125?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",http://business.google.com/website/piyush-ice-cream-daily-needs,Piyush Ice Cream & Daily Needs (Ye Zhu ),https://www.google.com/maps/contrib/103079841983804248755,https://lh5.googleusercontent.com/p/AF1QipOrA9Ps-8SWSNpWhEWJ44mDVX5-Ne77whIyvKY3=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,2.6,09:00-21:00,Open All Days,+91 84840 41515,"Piyush Ice Cream & Daily Needs, MIDC road, Kalmeshwar, near SBI bank, Nagpur, Maharashtra 441501Yin Du ",,https://www.google.com/maps/place/Piyush+Ice+Cream+%26+Daily+Needs/data=!4m7!3m6!1s0x3bd4eec146371c07:0xdc88e0bb6045faa5!8m2!3d21.2322374!4d78.9110902!16s%2Fg%2F11dx8l0bm3!19sChIJBxw3RsHu1DsRpfpFYLvgiNw?authuser=0&hl=zh-TW&rclk=1
ChIJwUeTGFPv1DsRNhleGvcCj-M,Ashwini AmrutTulya,,False,3,"Name: Shree Sai Amruttulya & WOK ON FIRE Chinese food
link: https://www.google.com/maps/search/Shree+Sai+Amruttulya+%26+WOK+ON+FIRE+Chinese+food/@21.2363769,78.907007?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Amrut Chaha Kalmeshwar
link: https://www.google.com/maps/search/Amrut+Chaha+Kalmeshwar/@21.2351022,78.910763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Ashwini amruttulya
link: https://www.google.com/maps/search/Ashwini+amruttulya/@21.156251299999997,79.1053348?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Ashwini Amruttulya
link: https://www.google.com/maps/search/Ashwini+Amruttulya/@21.1807069,79.0698951?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.ashwiniamruttulya.com/,Ashwini AmrutTulya (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNZ06qXuioB1K5F4cP-jJyVQwytemRthzRU9rgt=w408-h906-k-no,Ka Pei Dian ,Ka Pei Dian ,5,,Open All Days,+91 74149 07129,"Ashwini AmrutTulya, Kalmeshwar, opp. Bus stand, Nagpur, Maharashtra 441501Yin Du ",,https://www.google.com/maps/place/Ashwini+AmrutTulya/data=!4m7!3m6!1s0x3bd4ef53189347c1:0xe38f02f71a5e1936!8m2!3d21.2321725!4d78.9182446!16s%2Fg%2F11rk5dhpvj!19sChIJwUeTGFPv1DsRNhleGvcCj-M?authuser=0&hl=zh-TW&rclk=1
ChIJw8Npi8ju1DsRReVi_SlIqZ0,NK MART,,False,288,"Name: Shri Krishna Super Bazar 2- Super Bazar in Nagpur Best Grocery store!
link: https://www.google.com/maps/search/Shri+Krishna+Super+Bazar+2-+Super+Bazar+in+Nagpur+Best+Grocery+store%21/@21.095104,79.0792251?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1389 reviews

Name: Shri Krishna Super Bazar-1
link: https://www.google.com/maps/search/Shri+Krishna+Super+Bazar-1/@21.092803099999998,79.0709572?authuser=0&hl=zh-TW&entry=ttu
Reviews: 360 reviews

Name: Shri Krishna Super Bajar
link: https://www.google.com/maps/search/Shri+Krishna+Super+Bajar/@21.204937599999997,78.987805?authuser=0&hl=zh-TW&entry=ttu
Reviews: 74 reviews

Name: Shri krishna super bazaar
link: https://www.google.com/maps/search/Shri+krishna+super+bazaar/@21.1015752,79.0539845?authuser=0&hl=zh-TW&entry=ttu
Reviews: 49 reviews

Name: KALMESHWAR FATAKA MARKET
link: https://www.google.com/maps/search/KALMESHWAR+FATAKA+MARKET/@21.2314017,78.92344?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,NK MART (Ye Zhu ),https://www.google.com/maps/contrib/115426053629469677613,https://lh5.googleusercontent.com/p/AF1QipOGddwqdSIHjwAzMcC_oRpLRh-1HG2uox_TPE5p=w408-h548-k-no,Chao Ji Shi Chang ,Chao Ji Shi Chang ,4.2,10:00-21:00,Xing Qi Liu ,+91 99603 00086,"NK MART, Kalmeshwar, near bus stand, Nagpur, Maharashtra 441501Yin Du ","Pin Zhi , You Hui , Jia Ge , Jing Yan ",https://www.google.com/maps/place/NK+MART/data=!4m7!3m6!1s0x3bd4eec88b69c3c3:0x9da94829fd62e545!8m2!3d21.231536!4d78.918087!16s%2Fg%2F11c38fb68s!19sChIJw8Npi8ju1DsRReVi_SlIqZ0?authuser=0&hl=zh-TW&rclk=1
ChIJy-7J1rrv1DsRE0zkAPAegfs,Fooddish Pizza,,False,74,"Name: Tandoori knights
link: https://www.google.com/maps/search/Tandoori+knights/@21.2274976,78.9259017?authuser=0&hl=zh-TW&entry=ttu
Reviews: 29 reviews",,Fooddish Pizza (Ye Zhu ),https://www.google.com/maps/contrib/108391447297118080465,https://lh5.googleusercontent.com/p/AF1QipMYbvVnCiFgy1c2s-neVaB8AapFXvRGmJXv5uQ2=w408-h306-k-no,Can Ting ,Can Ting ,4,10:30-22:00,Open All Days,,"Fooddish Pizza, Thorane layout ward no 10, plot no 29, Kalameshwar, Maharashtra 441501Yin Du ",,https://www.google.com/maps/place/Fooddish+Pizza/data=!4m7!3m6!1s0x3bd4efbad6c9eecb:0xfb811ef000e44c13!8m2!3d21.2351541!4d78.9121127!16s%2Fg%2F11qq98jw05!19sChIJy-7J1rrv1DsRE0zkAPAegfs?authuser=0&hl=zh-TW&rclk=1
ChIJb6N3Q_Lv1DsRICKBkQcCPH8,Nukkad Cafe,,False,23,"Name: Amrut Chaha Kalmeshwar
link: https://www.google.com/maps/search/Amrut+Chaha+Kalmeshwar/@21.2351022,78.910763?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Anusuya restaurant
link: https://www.google.com/maps/search/Anusuya+restaurant/@21.236930599999997,78.9043655?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Hukka Parlour
link: https://www.google.com/maps/search/Hukka+Parlour/@21.2335288,78.91190999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",,Nukkad Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNBIrtZLcLq8-8rmyQxiSjgWaC8GXKBZRKMCLfm=w408-h408-k-no,Ka Pei Dian ,Ka Pei Dian ,3.7,10:00-22:00,Open All Days,,"Block No, Nukkad Cafe, 11, Gajanan Maharaj Mandir Rd, Chandrakiran Nagar, Kalameshwar, Maharashtra 444501Yin Du ",,https://www.google.com/maps/place/Nukkad+Cafe/data=!4m7!3m6!1s0x3bd4eff24377a36f:0x7f3c020791812220!8m2!3d21.2333561!4d78.9157451!16s%2Fg%2F11qh23bnhw!19sChIJb6N3Q_Lv1DsRICKBkQcCPH8?authuser=0&hl=zh-TW&rclk=1
ChIJCZEqTmXv1DsRyqS9o_Txmp8,The Tea Factory,,False,22,,,The Tea Factory (Ye Zhu ),https://www.google.com/maps/contrib/116791115278285088763,https://lh5.googleusercontent.com/p/AF1QipPqBzhwcnnq53Whg6o7u8wzFEIwXh-OEMrATtFQ=w519-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,5,24 Xiao Shi Ying Ye ,Open All Days,,"6WM8+MCX The Tea Factory, Kalameshwar, Maharashtra 441501Yin Du ",,https://www.google.com/maps/place/The+Tea+Factory/data=!4m7!3m6!1s0x3bd4ef654e2a9109:0x9f9af1f4a3bda4ca!8m2!3d21.2343403!4d78.9161849!16s%2Fg%2F11kj7_sg3j!19sChIJCZEqTmXv1DsRyqS9o_Txmp8?authuser=0&hl=zh-TW&rclk=1
ChIJY2TA2t3v1DsRtu6NCZqSiT4,Meet and Treat Cafe,,False,21,"Name: ToP TrEat CaFe
link: https://www.google.com/maps/search/ToP+TrEat+CaFe/@21.204199,78.98982?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Hukka Parlour
link: https://www.google.com/maps/search/Hukka+Parlour/@21.2335288,78.91190999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Bharat Chicken Shop
link: https://www.google.com/maps/search/Bharat+Chicken+Shop/@21.236794399999997,78.9057869?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Meet and Treat Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNmiXW4c6rccZv0S4r3-PrjbKWm003p9eIGqqpl=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,11:00-23:00,Open All Days,,"6WM6+3MP Meet and Treat Cafe, Kalameshwar, Maharashtra 441501Yin Du ",,https://www.google.com/maps/place/Meet+and+Treat+Cafe/data=!4m7!3m6!1s0x3bd4efdddac06463:0x3e89929a098deeb6!8m2!3d21.2327075!4d78.9116907!16s%2Fg%2F11f8jwhwwr!19sChIJY2TA2t3v1DsRtu6NCZqSiT4?authuser=0&hl=zh-TW&rclk=1
