place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJF-P4WuFyDjERcUJh4T3PTts,Amazon Cafe,,False,260,"Name: Zone's Coffee-Kampong Thom
link: https://www.google.com/maps/search/Zone%27s+Coffee-Kampong+Thom/@12.7068195,104.89021299999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: Zone Cafe
link: https://www.google.com/maps/search/Zone+Cafe/@12.727960099999999,104.8893049?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Cafe bonjour
link: https://www.google.com/maps/search/Cafe+bonjour/@12.681309599999999,104.90132229999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Cafe Bonjour
link: https://www.google.com/maps/search/Cafe+Bonjour/@12.737849599999999,104.89790219999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: The 09'S cafe
link: https://www.google.com/maps/search/The+09%27S+caf%C3%A8/@12.7097965,104.88972799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.cafe-amazon.com/,Amazon Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM6yzKUaYfxr6n14gx_2jRa5nFasWhvNQpquXvG=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3.9,08:00-20:00,Open All Days,,"PV9P+MV3 Amazon Cafe, Krong Stueng Saen, Jian Bu Zhai ","Jia Ge , Qi You ",https://www.google.com/maps/place/Amazon+Caf%C3%A9/data=!4m7!3m6!1s0x310e72e15af8e317:0xdb4ecf3de1614271!8m2!3d12.7191391!4d104.8871649!16s%2Fg%2F11d_tpn00m!19sChIJF-P4WuFyDjERcUJh4T3PTts?authuser=0&hl=zh-TW&rclk=1
ChIJZ37wZYoSDjERLpTXF_xbIkA,Cafe Xpresso,,False,227,"Name: kMbngdhM braiprooH
link: https://www.google.com/maps/search/%E1%9E%80%E1%9F%86%E1%9E%96%E1%9E%84%E1%9F%8B%E1%9E%92%E1%9F%86+%E1%9E%96%E1%9F%92%E1%9E%9A%E1%9F%83%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9F%84%E1%9F%87/@12.7939399,104.82779869999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 31 reviews

Name: VET Restaurant
link: https://www.google.com/maps/search/VET+Restaurant/@12.790894999999999,104.8197817?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: caebhaab braiprs mhuupkmmng
link: https://www.google.com/maps/search/%E1%9E%85%E1%9F%82%E1%9E%97%E1%9E%B6%E1%9E%96+%E1%9E%96%E1%9F%92%E1%9E%9A%E1%9F%83%E1%9E%94%E1%9F%92%E1%9E%9A%E1%9E%9F%E1%9F%8B+%E1%9E%98%E1%9F%92%E1%9E%A0%E1%9E%BC%E1%9E%94%E1%9E%80%E1%9E%98%E1%9F%92%E1%9E%98%E1%9F%89%E1%9E%84%E1%9F%8B/@12.7927959,104.8240308?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Micro cafe
link: https://www.google.com/maps/search/Micro+cafe/@12.7906968,104.8194626?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: qaahaarttthaan kMbngsvaaytrjaakcitt
link: https://www.google.com/maps/search/%E1%9E%A2%E1%9E%B6%E1%9E%A0%E1%9E%B6%E1%9E%9A%E1%9E%8A%E1%9F%92%E1%9E%8B%E1%9E%B6%E1%9E%93+%E1%9E%80%E1%9F%86%E1%9E%96%E1%9E%84%E1%9F%8B%E1%9E%9F%E1%9F%92%E1%9E%9C%E1%9E%B6%E1%9E%99%E1%9E%8F%E1%9F%92%E1%9E%9A%E1%9E%87%E1%9E%B6%E1%9E%80%E1%9F%8B%E1%9E%85%E1%9E%B7%E1%9E%8F%E1%9F%92%E1%9E%8F/@12.791690299999999,104.8309077?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.facebook.com/TheXpressoCafe/,Cafe Xpresso (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNQzyNxH8gXZva_AYTL3t0M6SZrPXZa1XP4xTFd=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4,07:00-18:00,Open All Days,+855 98 989 555,"QRVG+C8R Cafe Xpresso, Kampong Svay, Jian Bu Zhai ","Jia Ge , Ce Suo , Gong Che , Can , Xiu Xi Zhan , Mian ",https://www.google.com/maps/place/Caf%C3%A9+Xpresso/data=!4m7!3m6!1s0x310e128a65f07e67:0x40225bfc17d7942e!8m2!3d12.7936175!4d104.8257572!16s%2Fg%2F11g8wc_4f4!19sChIJZ37wZYoSDjERLpTXF_xbIkA?authuser=0&hl=zh-TW&rclk=1
ChIJAy22DfCNDjERDo09jfR5zLg,Coffee Today Kampong Chhnang,,False,109,"Name: Monday Cafe saakhaadii3  krungkMbungchnaaMng
link: https://www.google.com/maps/search/Monday+Cafe+%E1%9E%9F%E1%9E%B6%E1%9E%81%E1%9E%B6%E1%9E%91%E1%9E%B8%E1%9F%A3%E2%80%8B+%E1%9E%80%E1%9F%92%E1%9E%9A%E1%9E%BB%E1%9E%84%E1%9E%80%E1%9F%86%E1%9E%96%E1%9E%BB%E1%9E%84%E1%9E%86%E1%9F%92%E1%9E%93%E1%9E%B6%E1%9F%86%E1%9E%84/@12.2541809,104.66803739999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: The coffee & bakery
link: https://www.google.com/maps/search/The+coffee+%26+bakery/@12.249284399999999,104.6649764?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews

Name: tooHkaahve! Tos Coffee!
link: https://www.google.com/maps/search/%E1%9E%8F%E1%9F%84%E1%9F%87%E1%9E%80%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9F%81%21+Tos+Coffee%21/@12.2249638,104.6386677?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Ra Coffee
link: https://www.google.com/maps/search/Ra+Coffee/@12.2682342,104.6804161?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: AIR Coffee
link: https://www.google.com/maps/search/AIR+Coffee/@12.2514378,104.6648986?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://fb.com/TodayKPC,Coffee Today Kampong Chhnang (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipO8SUl_cYhjcfk7zOEbr72r6SkHFZxP4mIlxwnx=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.1,06:00-18:00,Open All Days,+855 81 510 666,"6MWC+V87 Coffee Today Kampong Chhnang, Krong Kampong Chhnang, Jian Bu Zhai ",,https://www.google.com/maps/place/Coffee+Today+Kampong+Chhnang/data=!4m7!3m6!1s0x310e8df00db62d03:0xb8cc79f48d3d8d0e!8m2!3d12.2471739!4d104.6707895!16s%2Fg%2F11gyy89rdk!19sChIJAy22DfCNDjERDo09jfR5zLg?authuser=0&hl=zh-TW&rclk=1
ChIJ-w2yHivZDTERuXfk3nCOAlA,Le Kara Cafe,,False,44,"Name: kaahveyoengjuMmitt 1
link: https://www.google.com/maps/search/%E1%9E%80%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9F%81%E1%9E%99%E1%9E%BE%E1%9E%84%E1%9E%87%E1%9E%BB%E1%9F%86%E1%9E%98%E1%9E%B7%E1%9E%8F%E1%9F%92%E1%9E%8F+%E1%9F%A1/@12.4960524,105.1235095?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: Rest caffe
link: https://www.google.com/maps/search/Rest+caffe/@12.5694825,105.0417111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: subhkt caannii kaahve
link: https://www.google.com/maps/search/%E1%9E%9F%E1%9E%BB%E1%9E%97%E1%9F%90%E1%9E%80%E1%9F%92%E1%9E%8F+%E1%9E%85%E1%9E%B6%E1%9E%93%E1%9F%8B%E1%9E%93%E1%9E%B8+%E1%9E%80%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9F%81/@12.565679,104.990963?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: subhkt caannii caffe
link: https://www.google.com/maps/search/%E1%9E%9F%E1%9E%BB%E1%9E%97%E1%9F%90%E1%9E%80%E1%9F%92%E1%9E%8F+%E1%9E%85%E1%9E%B6%E1%9E%93%E1%9F%8B%E1%9E%93%E1%9E%B8+caff%C3%A9/@12.5692966,105.04508659999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://web.facebook.com/LekaraCafe/,Le Kara Cafe (Ye Zhu ),https://www.google.com/maps/contrib/108227032980687896030,https://lh5.googleusercontent.com/p/AF1QipP5W_1hz5KCKUkwfxC2l-MBtRTvT9KS_rJwyGZh=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,07:00-20:00,Open All Days,+855 77 244 005,"Le Kara Cafe, Santuk, Jian Bu Zhai ",,https://www.google.com/maps/place/Le+Kara+Cafe/data=!4m7!3m6!1s0x310dd92b1eb20dfb:0x50028e70dee477b9!8m2!3d12.5753578!4d105.0363338!16s%2Fg%2F11g_qmq63g!19sChIJ-w2yHivZDTERuXfk3nCOAlA?authuser=0&hl=zh-TW&rclk=1
ChIJjdNybUFrDDERUCmEtJD_w9U,Nobicha Kampong Cham,,False,27,"Name: The Tea Cambodia
link: https://www.google.com/maps/search/The+Tea+Cambodia/@11.9870022,105.4659033?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Daboba Kampong Cham
link: https://www.google.com/maps/search/Daboba+Kampong+Cham/@11.9911623,105.4663085?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Chafe' Kompong Cham
link: https://www.google.com/maps/search/Chafe%27+Kompong+Cham/@11.991603999999999,105.4544282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: 5MM TEA kMbngcaam
link: https://www.google.com/maps/search/5MM+TEA+%E1%9E%80%E1%9F%86%E1%9E%96%E1%9E%84%E1%9F%8B%E1%9E%85%E1%9E%B6%E1%9E%98/@11.9913627,105.45972719999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Nhun Choing Coffee
link: https://www.google.com/maps/search/Nhun+Choing+Coffee/@11.985601599999999,105.45754509999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/100778704741365/posts/211261253693109/?d=n,Nobicha Kampong Cham (Ye Zhu ),https://www.google.com/maps/contrib/105416986564005403102,https://lh5.googleusercontent.com/p/AF1QipOidkUDYdyhL_hDiN2EPrFoOHVU8xvfmAg1QIA-=w408-h544-k-no,Zhen Zhu Nai Cha Dian ,Zhen Zhu Nai Cha Dian ,3.9,07:00-21:00,Open All Days,+855 96 596 4385,"Nobicha Kampong Cham, Phumi 1, Sangkat Vealvong , Kampong Cham City, Jian Bu Zhai ",,https://www.google.com/maps/place/Nobicha+Kampong+Cham/data=!4m7!3m6!1s0x310c6b416d72d38d:0xd5c3ff90b4842950!8m2!3d11.9798529!4d105.4615211!16s%2Fg%2F11qnjsl4s7!19sChIJjdNybUFrDDERUCmEtJD_w9U?authuser=0&hl=zh-TW&rclk=1
ChIJ401uRrshDDERswF3qPm78vg,KOI The SKUN,,False,16,,http://koithe.com/en,KOI The SKUN (Ye Zhu ),https://www.google.com/maps/contrib/102885248104649544408,https://lh5.googleusercontent.com/p/AF1QipN8u0LiNUezLck0ECZ3AMo6myDpVlbWFvOvohVn=w408-h306-k-no,Zhen Zhu Nai Cha Dian ,Zhen Zhu Nai Cha Dian ,4.6,08:00-21:00,Open All Days,+855 87 872 163,"KOI The SKUN, NR6, Jian Bu Zhai ",,https://www.google.com/maps/place/KOI+Th%C3%A9+SKUN/data=!4m7!3m6!1s0x310c21bb466e4de3:0xf8f2bbf9a87701b3!8m2!3d12.0517766!4d105.042503!16s%2Fg%2F11txjxfbb2!19sChIJ401uRrshDDERswF3qPm78vg?authuser=0&hl=zh-TW&rclk=1
ChIJDy9xUKRzDjERe5R8osCXniQ,Zone's Coffee-Kampong Thom,,False,9,"Name: OUR COFFEE
link: https://www.google.com/maps/search/OUR+COFFEE/@12.7282286,104.8896249?authuser=0&hl=zh-TW&entry=ttu
Reviews: 36 reviews

Name: vimaankaahve
link: https://www.google.com/maps/search/%E1%9E%9C%E1%9E%B7%E1%9E%98%E1%9E%B6%E1%9E%93%E1%9E%80%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9F%81/@12.7156381,104.87262539999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: MOKO Kampong Thom
link: https://www.google.com/maps/search/MOKO+Kampong+Thom/@12.7012939,104.89783469999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: mrkt kaahve
link: https://www.google.com/maps/search/%E1%9E%98%E1%9E%9A%E1%9E%80%E1%9E%8F+%E1%9E%80%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9F%81/@12.714939699999999,104.886476?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Mc Coffee
link: https://www.google.com/maps/search/Mc+Coffee/@12.734233,104.8982324?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://m.facebook.com/Zones-Coffee-Kampong-Thom-1887059801599050/,Zone's Coffee-Kampong Thom (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMZSb8y0P8_TItoR5bQeEdZvuTdnF4ypno5944=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,07:00-21:00,Open All Days,+855 96 980 9980,"PV4R+P3G Zone's Coffee-Kampong Thom, Krong Stueng Saen, Jian Bu Zhai ",,https://www.google.com/maps/place/Zone%27s+Coffee-Kampong+Thom/data=!4m7!3m6!1s0x310e73a450712f0f:0x249e97c0a27c947b!8m2!3d12.7068195!4d104.890213!16s%2Fg%2F11gxnvhwj4!19sChIJDy9xUKRzDjERe5R8osCXniQ?authuser=0&hl=zh-TW&rclk=1
ChIJ8VibUCptDjERu_H5nhex0io,kaahvesruksrae,,False,6,"Name: kaahvekuundool
link: https://www.google.com/maps/search/%E1%9E%80%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9F%81%E1%9E%80%E1%9E%BC%E1%9E%93%E1%9E%91%E1%9F%84%E1%9E%9B/@12.273549500000001,104.58848499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: caelengkaahve bhuumibraibrH
link: https://www.google.com/maps/search/%E1%9E%85%E1%9F%82%E1%9E%A1%E1%9F%81%E1%9E%84%E1%9E%80%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9F%81+%E1%9E%97%E1%9E%BC%E1%9E%98%E1%9E%B7%E1%9E%96%E1%9F%92%E1%9E%9A%E1%9F%83%E1%9E%96%E1%9F%92%E1%9E%9A%E1%9F%87/@12.800808199999999,104.9890582?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: kuunbhlooHnMpungqaaMng
link: https://www.google.com/maps/search/%E1%9E%80%E1%9E%BC%E1%9E%93%E1%9E%97%E1%9F%92%E1%9E%9B%E1%9F%84%E1%9F%87%E1%9E%93%E1%9F%86%E1%9E%94%E1%9F%90%E1%9E%BB%E1%9E%84%E1%9E%A2%E1%9E%B6%E1%9F%86%E1%9E%84/@12.6926091,104.9009254?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: kaahve & paaysruup qnkjiHkng
link: https://www.google.com/maps/search/%E1%9E%80%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9F%81+%26+%E1%9E%94%E1%9E%B6%E1%9E%99%E1%9E%9F%E1%9F%92%E1%9E%9A%E1%9E%BC%E1%9E%94+%E1%9E%A2%E1%9F%92%E1%9E%93%E1%9E%80%E1%9E%87%E1%9E%B7%E1%9F%87%E1%9E%80%E1%9E%84%E1%9F%8B/@12.553312499999999,105.00943749999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: tepuutelaa  dpaakgiidpaen
link: https://www.google.com/maps/search/%E1%9E%8A%E1%9F%81%E1%9E%94%E1%9F%89%E1%9E%BC%E1%9E%8F%E1%9F%81%E1%9E%9B%E1%9E%B6%E2%80%8B+%E1%9E%91%E1%9F%92%E1%9E%94%E1%9E%B6%E1%9E%80%E1%9F%8B%E1%9E%82%E1%9E%B8%E1%9E%91%E1%9F%92%E1%9E%94%E1%9F%82%E1%9E%93/@12.864863999999999,104.609352?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://web.facebook.com/profile.php%3Fid%3D100086239550562,kaahvesruksrae (Ye Zhu ),https://www.google.com/maps/contrib/104022993654675704272,https://lh5.googleusercontent.com/p/AF1QipOcshPgwphBSk828iqTwZ-8r9qAQLwOE8Ciz-az=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,5,07:00-21:00,Open All Days,+855 85 623 767,"kaahvesruksrae, Okunthor village, 031, quurkndhr 06042Jian Bu Zhai ",,https://www.google.com/maps/place/%E1%9E%80%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9F%81%E1%9E%9F%E1%9F%92%E1%9E%9A%E1%9E%BB%E1%9E%80%E1%9E%9F%E1%9F%92%E1%9E%9A%E1%9F%82/data=!4m7!3m6!1s0x310e6d2a509b58f1:0x2ad2b1179ef9f1bb!8m2!3d12.6964284!4d104.8314675!16s%2Fg%2F11sc0f252c!19sChIJ8VibUCptDjERu_H5nhex0io?authuser=0&hl=zh-TW&rclk=1
ChIJgxnJ9R_XDTER-_mAQi_fp18,Era Pink Cup Coffee,,False,4,"Name: Phum Yeung Coffee
link: https://www.google.com/maps/search/Phum+Yeung+Coffee/@12.505273899999999,105.1216058?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Panhha Coffee Shop
link: https://www.google.com/maps/search/Panhha+Coffee+Shop/@12.565679,104.990963?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: kaahve maadriit
link: https://www.google.com/maps/search/%E1%9E%80%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9F%81+%E1%9E%98%E1%9F%89%E1%9E%B6%E1%9E%91%E1%9F%92%E1%9E%9A%E1%9E%B8%E1%9E%8F/@12.496460299999999,105.12363030000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Coffee Prue
link: https://www.google.com/maps/search/Coffee+Prue/@12.5000079,105.1252332?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: sukhjaa maaruiiksitthaanmaansrae family
link: https://www.google.com/maps/search/%E1%9E%9F%E1%9E%BB%E1%9E%81%E1%9E%87%E1%9E%B6+%E1%9E%98%E1%9F%89%E1%9E%B6%E1%9E%9A%E1%9E%BB%E1%9E%B8%E1%9E%80%E1%9E%9F%E1%9E%B7%E1%9E%8A%E1%9F%92%E1%9E%90%E1%9E%B6%E1%9E%93%E1%9E%98%E1%9E%B6%E1%9E%93%E1%9F%8B%E1%9E%9F%E1%9F%92%E1%9E%9A%E1%9F%82+family/@12.3734185,105.17615939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://erapinkcupcoffee.business.site/?utm_source=gmb&utm_medium=referral,Era Pink Cup Coffee (Ye Zhu ),https://www.google.com/maps/contrib/100754810264418607586,https://lh5.googleusercontent.com/p/AF1QipMEwYOPTf0RZ1Y41q2SteHwYB9m9GADgIQD98Q4=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,06:30-18:00,Open All Days,+855 86 269 947,"Era Pink Cup Coffee, phluuvkaatkMbngthm, 06207Jian Bu Zhai ",,https://www.google.com/maps/place/Era+Pink+Cup+Coffee/data=!4m7!3m6!1s0x310dd71ff5c91983:0x5fa7df2f4280f9fb!8m2!3d12.494402!4d105.1220422!16s%2Fg%2F11j3zc8txg!19sChIJgxnJ9R_XDTER-_mAQi_fp18?authuser=0&hl=zh-TW&rclk=1
ChIJEQLddVCNDjERlpsMrVe02ws,srukkMnnoet Homeland(nMpnycuk& kaahve),,False,1,,https://www.facebook.com/derlelabyngim%3Fmibextid%3DLQQJ4d,srukkMnnoet Homeland(nMpnycuk& kaahve) (Ye Zhu ),https://www.google.com/maps/contrib/109441867451916060191,https://lh5.googleusercontent.com/p/AF1QipOS2gfnP2l15C_NDqsT1D6MELQPN1tXUpGXtSML=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,5,06:00-18:00,Open All Days,+855 92 687 168,"6MQ8+RW srukkMnnoet Homeland(nMpnycuk& kaahve), Krong Kampong Chhnang, Jian Bu Zhai ",,https://www.google.com/maps/place/%F0%9F%99%8F%E1%9E%9F%E1%9F%92%E1%9E%9A%E1%9E%BB%E1%9E%80%E1%9E%80%E1%9F%86%E1%9E%8E%E1%9E%BE%E1%9E%8F+Homeland%F0%9F%99%8F%28%E1%9E%93%E1%9F%86%E1%9E%94%E1%9E%89%E1%9F%92%E1%9E%85%E1%9E%BB%E1%9E%80%26+%E1%9E%80%E1%9E%B6%E1%9E%A0%E1%9F%92%E1%9E%9C%E1%9F%81%29/data=!4m7!3m6!1s0x310e8d5075dd0211:0xbdbb457ad0c9b96!8m2!3d12.2397068!4d104.6678645!16s%2Fg%2F11v0zwsctp!19sChIJEQLddVCNDjERlpsMrVe02ws?authuser=0&hl=zh-TW&rclk=1
