place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJoxTmVw7w2zsRDjtfTun6UOs,Nkumar Multiservices,,False,10,"Name: Tejas Multyservices
link: https://www.google.com/maps/search/Tejas+Multyservices/@20.2571189,75.1385256?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Niru Nashta Center
link: https://www.google.com/maps/search/Niru+Nashta+Center/@20.2632939,75.1353857?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/nandu.shirse,Nkumar Multiservices (Ye Zhu ),https://www.google.com/maps/contrib/106411764392002219231,https://lh5.googleusercontent.com/p/AF1QipOWi-rbCzIKeipEewLKH0fj-He8a59FnGX0xaH3=w408-h725-k-no,Ka Pei Ting ,"Ka Pei Ting , Nong Ye Fu Wu ",4.5,24 Xiao Shi Ying Ye ,Open All Days,,"Nkumar Multiservices, Phulambri - Kannad Rd, Maliwada, Kannad, Maharashtra 431103Yin Du ",,https://www.google.com/maps/place/Nkumar+Multiservices/data=!4m7!3m6!1s0x3bdbf00e57e614a3:0xeb50fae94e5f3b0e!8m2!3d20.2527653!4d75.1392874!16s%2Fg%2F11f2wbmslw!19sChIJoxTmVw7w2zsRDjtfTun6UOs?authuser=0&hl=zh-TW&rclk=1
ChIJ-2SMllH72zsRwMtgEIWxi4o,Saiba Amruttulya,,False,5,"Name: Sai Tea House
link: https://www.google.com/maps/search/Sai+Tea+House/@20.263495499999998,75.1362165?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: AKHATAR TEA HOTEL
link: https://www.google.com/maps/search/AKHATAR+TEA+HOTEL/@20.256115899999998,75.13137379999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.saibaamruttulya.in/,Saiba Amruttulya (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AcbdWz-rde3-RGv-pJQM6g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=190.44484&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,5,,Open All Days,,"747P+9RF Saiba Amruttulya, Karim Nagar, Kannad, Maharashtra 431103Yin Du ",,https://www.google.com/maps/place/Saiba+Amruttulya/data=!4m7!3m6!1s0x3bdbfb51968c64fb:0x8a8bb1851060cbc0!8m2!3d20.2634408!4d75.1370437!16s%2Fg%2F11j_yylwxk!19sChIJ-2SMllH72zsRwMtgEIWxi4o?authuser=0&hl=zh-TW&rclk=1
ChIJIXnWYqH62zsR9_j8ah1ZipY,Tejas Multyservices,,False,4,"Name: Nkumar Multiservices
link: https://www.google.com/maps/search/Nkumar+Multiservices/@20.2527653,75.1392874?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews

Name: Muzakkir Shabbir Rest House
link: https://www.google.com/maps/search/Muzakkir+Shabbir+Rest+House/@20.2610547,75.1377172?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://business.google.com/website/tejas-multyservices,Tejas Multyservices (Ye Zhu ),https://www.google.com/maps/contrib/110434244479744582002,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0DFCdp-D8AvewzX4A_5KYw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=224.94728&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,3,08:00-22:00,Xing Qi Liu ,+91 2435 222 213,"Tejas Multyservices, Hiwarkheda Road, Nandanvan Colony Kannad, near Wani Mangal Karyalaya, Kannad, Maharashtra 431103Yin Du ",,https://www.google.com/maps/place/Tejas+Multyservices/data=!4m7!3m6!1s0x3bdbfaa162d67921:0x968a591d6afcf8f7!8m2!3d20.2571189!4d75.1385256!16s%2Fg%2F11cls8fm4m!19sChIJIXnWYqH62zsR9_j8ah1ZipY?authuser=0&hl=zh-TW&rclk=1
ChIJWU2Njsfz2zsRir2HBDgrJ50,Samarth Cafe,,False,38,"Name: Adarsh pure veg family Restaurant &party Hall
link: https://www.google.com/maps/search/Adarsh+pure+veg+family+Restaurant+%26party+Hall/@20.2716963,75.1235067?authuser=0&hl=zh-TW&entry=ttu
Reviews: 83 reviews

Name: SWAMI SAMARTH BHOJANALAYA KANNAD
link: https://www.google.com/maps/search/SWAMI+SAMARTH+BHOJANALAYA+KANNAD/@20.2692889,75.1355033?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: SWAD RESTAURANT
link: https://www.google.com/maps/search/SWAD+RESTAURANT/@20.2766241,75.11368639999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Vishal Cafe
link: https://www.google.com/maps/search/Vishal+Cafe/@20.0795957,75.0324301?authuser=0&hl=zh-TW&entry=ttu
Reviews: 19 reviews",,Samarth Cafe (Ye Zhu ),https://www.google.com/maps/contrib/107672816740337230834,https://lh5.googleusercontent.com/p/AF1QipM7BWyFP5J4vxF-eLPaGsI7-xDv_kBo09X1p3p-=w426-h240-k-no,Can Ting ,Can Ting ,4.8,05:30-20:00,Xing Qi Yi ,+91 97639 22530,"Samarth Cafe, NH52 Highway ,Tapargaon, Kannad, Maharashtra 431102Yin Du ",Ka Pei ,https://www.google.com/maps/place/Samarth+Cafe/data=!4m7!3m6!1s0x3bdbf3c78e8d4d59:0x9d272b380487bd8a!8m2!3d20.1294085!4d75.1283726!16s%2Fg%2F11pd2c7xy3!19sChIJWU2Njsfz2zsRir2HBDgrJ50?authuser=0&hl=zh-TW&rclk=1
ChIJ-U_0Tr362zsROr9fsQr-Ieo,Gurukrupa Net Solutions & csc,,False,36,"Name: JADHAV Computers
link: https://www.google.com/maps/search/JADHAV+Computers/@20.2715793,75.1322684?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews

Name: SAMEER PATHAN XEROX
link: https://www.google.com/maps/search/SAMEER+PATHAN+XEROX/@20.2564605,75.13337709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Pramod Chavan
link: https://www.google.com/maps/search/Pramod+Chavan/@20.265162099999998,75.134207?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Gurukrupa Net Solutions & csc (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOI8vypufVorXsd9HD8EJZH4rjG7TTVuQJLhmBy=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3.8,09:30-21:30,Open All Days,,"74FJ+5RV Gurukrupa Net Solutions & csc, Unnamed Road, Shanti Nagar, Kannad, Maharashtra 431103Yin Du ",,https://www.google.com/maps/place/Gurukrupa+Net+Solutions+%26+csc/data=!4m7!3m6!1s0x3bdbfabd4ef44ff9:0xea21fe0ab15fbf3a!8m2!3d20.2729968!4d75.1320457!16s%2Fg%2F11hbg938yw!19sChIJ-U_0Tr362zsROr9fsQr-Ieo?authuser=0&hl=zh-TW&rclk=1
ChIJoXmY34v62zsRVqd-DMLirUw,Rokde Hotel,,False,31,"Name: mewat hotel kannad
link: https://www.google.com/maps/search/mewat+hotel+kannad/@20.2640307,75.1208607?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Hotel Sai
link: https://www.google.com/maps/search/Hotel+Sai/@20.271343299999998,75.123932?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Rokde Hotel (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOHaAV9SjPj55uy-GkSCI-cG-wS7IEzJYqAfjoL=w519-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Zao Can Can Ting , Can Ting ",4.1,07:00-22:30,Open All Days,,"74G6+MRC Rokde Hotel, National HIghway 211, Kannad, Maharashtra 431103Yin Du ",,https://www.google.com/maps/place/Rokde+Hotel/data=!4m7!3m6!1s0x3bdbfa8bdf9879a1:0x4cade2c20c7ea756!8m2!3d20.2766985!4d75.1120252!16s%2Fg%2F1tgnvpcc!19sChIJoXmY34v62zsRVqd-DMLirUw?authuser=0&hl=zh-TW&rclk=1
ChIJ7Y-Ur6D62zsRRdzvd27enqg,A1 xerox center kannad,,False,19,"Name: Quality's Aadhaar Center
link: https://www.google.com/maps/search/Quality%27s+Aadhaar+Center/@20.2624461,75.13739029999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: SAMEER PATHAN XEROX
link: https://www.google.com/maps/search/SAMEER+PATHAN+XEROX/@20.2564605,75.13337709999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Aaple Sarkar Seva Kendra
link: https://www.google.com/maps/search/Aaple+Sarkar+Seva+Kendra/@20.265683799999998,75.1342791?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,A1 xerox center kannad (Ye Zhu ),https://www.google.com/maps/contrib/100383468110789924658,https://lh5.googleusercontent.com/p/AF1QipMJG7yKmUWhzPsJ9GmEXj-sXCoIlSRGVY-xVcp6=w408-h720-k-no,Ka Pei Ting ,Ka Pei Ting ,3.7,09:00-21:00,Open All Days,+91 95956 35395,"A1 xerox center kannad, Chalisgaon Rd, Balaji Nagar, Kannad, Maharashtra 431103Yin Du ",,https://www.google.com/maps/place/A1+xerox+center+kannad/data=!4m7!3m6!1s0x3bdbfaa0af948fed:0xa89ede6e77efdc45!8m2!3d20.2618953!4d75.1363262!16s%2Fg%2F11bymx9tgs!19sChIJ7Y-Ur6D62zsRRdzvd27enqg?authuser=0&hl=zh-TW&rclk=1
ChIJ-6oIc8b02zsRU4mSg9HXSiU,Vishal Cafe,,False,19,"Name: Samarth Cafe
link: https://www.google.com/maps/search/Samarth+Cafe/@20.1294085,75.12837259999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews",,Vishal Cafe (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOs_6S9YdI__X7caNM7g6_jPs4Yl8GeMMqh6kbG=w408-h906-k-no,Ka Pei Ting ,Ka Pei Ting ,4.9,,Open All Days,,"32HJ+RXM Vishal Cafe, malegaon. near goji river., Maharashtra 431115Yin Du ",,https://www.google.com/maps/place/Vishal+Cafe/data=!4m7!3m6!1s0x3bdbf4c67308aafb:0x254ad7d183928953!8m2!3d20.0795957!4d75.0324301!16s%2Fg%2F11x9b5y44!19sChIJ-6oIc8b02zsRU4mSg9HXSiU?authuser=0&hl=zh-TW&rclk=1
ChIJQ36LbZr62zsR9g9dapOYehg,Hotel MH,,False,18,"Name: mewat hotel kannad
link: https://www.google.com/maps/search/mewat+hotel+kannad/@20.2640307,75.1208607?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Hotel Maharashtra
link: https://www.google.com/maps/search/Hotel+Maharashtra/@20.271670000000004,75.1232?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: Om Sai Ram Hotel
link: https://www.google.com/maps/search/Om+Sai+Ram+Hotel/@20.2699828,75.1262519?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Hotel MH (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMYuIysI3QIX-_AyrOYAiefMUgN4pZIGg6ILmUd=w408-h306-k-no,Cha Yi Guan ,Cha Yi Guan ,3.4,,Open All Days,,"74CF+CFC Hotel MH, Shiv Nagar, Kannad, Maharashtra 431103Yin Du ",,https://www.google.com/maps/place/Hotel+MH/data=!4m7!3m6!1s0x3bdbfa9a6d8b7e43:0x187a98936a5d0ff6!8m2!3d20.2710515!4d75.1236273!16s%2Fg%2F11b5zt0x3d!19sChIJQ36LbZr62zsR9g9dapOYehg?authuser=0&hl=zh-TW&rclk=1
ChIJ2_DuLQnw2zsRDlr_onAhrSU,Lucky Hotel Bhaji Mande Kannad,,False,15,"Name: HOTEL SHAMA
link: https://www.google.com/maps/search/HOTEL+SHAMA/@20.2567731,75.1400784?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: HOTEL RIYAJ
link: https://www.google.com/maps/search/HOTEL+RIYAJ/@20.2590616,75.1373575?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Lucky Hotel Bhaji Mande Kannad (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNnx06WoTrQoIG-QE404ua8pSU2AKslJ9r_vjVE=w426-h240-k-no,Cha Yi Guan ,Cha Yi Guan ,3.5,,Open All Days,+91 98904 02931,"744Q+CJQ Lucky Hotel Bhaji Mande Kannad, Kannad, Maharashtra 431103Yin Du ",,https://www.google.com/maps/place/Lucky+Hotel+Bhaji+Mande+Kannad/data=!4m7!3m6!1s0x3bdbf0092deef0db:0x25ad2170a2ff5a0e!8m2!3d20.256098!4d75.1391229!16s%2Fg%2F11c1v03pj8!19sChIJ2_DuLQnw2zsRDlr_onAhrSU?authuser=0&hl=zh-TW&rclk=1
